from_stop,AD,AF,AJ,AR,AS,AV,AY,BB,BI,BL,BX,CM,CO,DL,DO,DR,DY,EA,ED,EH,EK,EN,ET,EU,EV,FA,FF,FK,GJ,GN,GQ,GV,GY,HC,HN,IJ,IO,IS,IX,JH,JM,JO,KM,KO,KR,LI,LJ,LR,LT,MF,MP,MU,MV,NH,NY,OC,OR,OW,OY,PI,PL,PR,PW,PY,QZ,RP,RV,SZ,TL,UL,UZ,VO,VW,VZ,WH,WL,WR,WW,WY,XH,XL,XP,XQ,XR,XS,YD,YG,YI,YK,YQ,YZ,ZC,ZD,ZW
EA,155.5,323.8,384.3,30.2,243.7,25.7,303.9,147.3,292.3,217.6,425.3,356.8,319.3,290.9,140.9,347.3,117.7,0.0,294.5,329.6,174.1,151.6,158.3,357.7,300.8,193.1,204.6,104.9,283.5,462.8,390.7,101.7,64.0,184.7,274.3,139.5,119.8,150.5,137.9,401.6,412.3,263.3,321.0,127.1,116.0,141.6,76.8,151.8,319.8,257.0,123.6,243.0,432.9,156.4,272.1,48.7,267.9,190.5,262.1,378.5,85.1,277.4,347.6,334.6,336.4,348.8,258.0,245.0,308.2,127.0,158.6,351.9,180.2,307.9,390.9,371.1,251.1,256.4,366.8,53.9,64.1,437.5,312.7,216.9,304.4,339.6,203.1,10.3,1822.9,341.7,171.1,176.1,100.8,331.4
ED,302.8,276.5,210.7,279.0,75.5,274.5,139.3,338.1,135.6,214.6,251.7,183.2,145.7,117.3,297.6,173.7,308.5,242.7,0.0,156.0,257.6,308.3,320.8,184.1,127.1,229.9,130.0,252.2,47.8,264.6,217.1,249.0,211.3,193.9,60.9,286.8,267.1,289.6,283.3,228.0,238.7,136.8,147.4,317.9,263.3,309.6,224.1,292.6,83.8,103.5,314.4,76.2,259.3,332.8,47.1,220.3,143.1,241.5,88.5,204.9,232.4,151.5,103.7,114.2,162.8,104.9,107.2,165.8,134.6,294.2,279.8,74.0,249.8,74.1,217.3,115.2,238.1,213.1,193.2,201.2,254.9,263.9,186.2,102.1,130.8,166.0,224.8,254.2,1953.7,168.1,318.4,166.4,244.6,157.8
EH,365.5,339.2,71.1,341.7,138.2,337.2,202.0,400.8,208.4,277.3,130.1,41.0,42.7,87.9,360.3,17.6,371.2,305.4,121.2,0.0,320.3,371.0,383.5,62.5,207.5,292.6,192.7,314.9,103.1,150.1,77.5,311.7,274.0,256.6,93.9,349.5,329.8,352.3,346.0,88.4,168.4,32.6,118.0,380.6,326.0,372.3,286.8,355.3,146.5,166.2,377.1,138.9,137.7,395.5,109.8,283.0,205.8,304.2,102.8,83.3,295.1,54.0,181.7,131.6,70.7,182.9,64.3,228.5,104.5,356.9,342.5,173.9,312.5,127.5,130.3,193.2,300.8,275.8,108.3,263.9,317.6,161.1,109.6,164.8,109.9,10.0,287.5,316.9,2016.4,66.7,381.1,229.1,307.3,54.8
EK,76.9,230.6,442.9,230.4,172.9,225.9,222.0,133.0,228.4,84.7,458.2,389.7,352.2,323.8,39.9,380.2,104.3,199.0,321.0,362.5,0.0,50.6,63.1,390.6,236.9,27.9,151.8,88.7,296.1,434.1,437.0,85.5,110.2,108.6,309.2,101.4,75.9,154.2,25.6,427.2,408.2,296.2,355.9,94.9,99.8,56.7,96.5,43.4,297.2,186.2,127.3,172.2,451.9,223.0,201.3,161.9,225.8,16.3,295.0,439.1,103.1,310.3,276.8,340.7,369.3,278.0,290.9,206.3,341.1,36.5,22.1,269.0,86.2,322.4,387.6,288.3,192.2,191.2,399.7,120.4,143.9,434.2,345.6,146.1,337.3,372.5,75.1,210.5,1953.6,374.6,92.5,82.0,121.4,364.3
EN,100.7,287.6,499.9,220.2,229.9,215.7,279.0,172.4,285.4,141.7,515.2,446.7,409.2,380.8,14.8,437.2,143.7,188.8,378.0,419.5,56.9,0.0,12.4,447.6,293.9,84.9,208.8,119.5,353.1,491.1,494.0,116.3,122.8,165.6,366.2,50.7,56.2,192.8,65.0,484.2,465.2,353.2,412.9,134.3,130.6,65.9,109.1,82.8,354.2,243.2,165.9,229.2,508.9,212.8,258.3,214.2,282.8,73.3,352.0,496.1,99.7,367.3,333.8,397.7,426.3,335.0,347.9,263.3,398.1,75.9,34.2,326.0,125.6,379.4,444.6,345.3,249.2,248.2,456.7,133.0,196.4,491.2,402.6,203.1,394.3,429.5,132.1,200.3,1966.2,431.6,116.3,139.0,134.0,421.3
ET,88.2,304.7,511.9,222.9,247.0,218.4,296.1,162.3,302.5,158.8,572.9,463.8,426.3,397.9,31.9,454.3,133.6,205.9,395.1,436.6,74.0,17.1,0.0,464.7,311.0,102.0,225.9,108.7,370.2,503.1,506.0,105.5,112.0,182.7,383.3,38.2,43.7,180.0,82.1,496.2,493.2,370.3,424.9,124.2,119.8,83.0,98.3,99.9,303.4,231.8,155.9,246.3,520.9,229.9,275.4,203.4,299.9,90.4,369.1,508.1,88.9,384.4,350.9,420.1,443.4,350.9,365.0,280.4,415.2,77.7,51.3,345.0,142.7,395.6,456.6,362.4,265.7,260.2,473.8,122.2,185.6,503.2,419.7,220.2,442.0,446.6,149.2,217.4,1955.4,448.7,103.8,156.1,123.2,438.4
EU,421.4,395.1,39.6,397.6,194.1,393.1,257.9,456.7,264.3,333.2,67.5,32.1,84.4,83.6,416.2,58.2,427.1,361.3,177.1,78.0,376.2,426.9,439.4,0.0,216.6,348.5,248.6,370.8,135.8,87.5,46.0,367.6,329.9,312.5,126.6,405.4,385.7,408.2,401.9,56.9,94.0,88.5,91.4,436.5,381.9,428.2,342.7,411.2,190.1,209.3,433.8,194.8,75.1,451.4,165.7,338.9,261.7,360.1,111.7,20.7,351.0,112.1,181.6,147.0,21.2,181.6,120.2,284.4,55.0,412.8,398.4,161.2,368.4,153.9,67.7,170.5,356.1,277.9,65.5,319.8,373.5,99.9,47.0,220.7,74.8,66.8,343.4,372.8,2072.3,60.4,437.0,285.0,363.2,72.3
EV,327.4,221.3,241.0,324.6,89.1,320.1,47.7,384.2,8.4,207.4,282.0,213.5,176.0,147.6,290.4,204.0,354.1,288.3,103.0,186.3,250.4,301.1,313.6,214.4,0.0,222.7,122.8,297.8,78.1,303.4,247.4,294.6,256.9,186.7,91.2,332.4,312.7,335.2,276.1,296.5,277.5,167.1,177.7,345.4,308.9,302.4,269.7,285.4,79.2,64.3,360.0,89.8,321.2,322.0,98.9,265.9,33.5,234.3,163.3,235.2,278.0,181.8,76.8,122.7,193.1,78.0,137.5,56.2,164.9,287.0,272.6,51.0,242.6,104.4,256.9,88.3,182.9,154.0,223.5,246.8,300.5,303.5,216.5,94.9,169.6,196.3,217.6,299.8,1999.3,198.4,343.0,159.2,290.2,188.1
FA,104.6,202.6,414.9,247.3,144.9,242.8,194.0,160.7,200.4,56.7,430.2,361.7,324.2,295.8,67.6,352.2,132.0,215.9,293.0,334.5,27.6,78.3,90.8,362.6,208.9,0.0,123.8,116.4,268.1,406.1,409.0,113.2,137.9,80.6,281.2,129.1,103.6,181.9,53.3,399.2,380.2,268.2,327.9,122.6,127.5,84.4,124.2,71.1,269.2,158.2,155.0,144.2,423.9,306.6,173.3,189.6,197.8,11.5,267.0,411.1,130.8,282.3,248.8,312.7,341.3,250.0,262.9,178.3,313.1,64.2,49.8,241.0,72.1,294.4,359.6,260.3,164.2,163.2,371.7,148.1,171.6,406.2,317.6,118.1,336.0,344.5,47.1,227.4,1987.2,346.6,120.2,54.0,149.1,336.3
FF,236.8,168.8,298.5,213.0,63.4,208.5,99.2,272.1,87.6,106.9,359.5,327.0,272.2,242.3,189.9,300.2,242.5,176.7,199.2,282.5,149.9,200.6,213.1,301.0,96.1,122.2,0.0,186.2,174.3,289.7,292.6,183.0,145.3,86.2,187.4,220.8,201.1,223.6,175.6,282.8,263.8,186.7,211.5,251.9,197.3,201.9,158.1,184.9,175.4,95.8,248.4,62.7,307.5,207.1,91.8,154.3,63.2,133.8,222.4,294.7,166.4,278.0,173.0,199.8,322.3,174.2,233.7,40.3,256.0,186.5,172.1,147.2,142.1,200.6,243.2,166.4,130.4,83.0,318.0,135.2,188.9,289.8,321.0,36.6,219.6,292.5,117.1,188.2,1887.7,289.5,252.4,58.7,178.6,284.3
FK,90.9,184.5,403.1,129.3,200.8,124.8,249.9,82.6,256.3,112.6,464.1,431.6,380.1,346.9,94.5,408.1,53.9,97.9,348.9,390.4,115.8,105.2,111.9,405.6,264.8,88.1,179.7,0.0,324.0,394.3,397.2,2.9,41.8,123.6,337.1,93.1,73.4,33.4,73.3,387.4,384.4,324.1,316.1,44.5,11.0,80.5,28.1,118.0,257.2,185.6,66.8,200.1,412.1,236.7,229.2,93.5,265.6,99.7,322.9,399.3,20.0,312.4,304.7,354.2,426.9,304.7,318.8,242.7,361.9,62.4,138.0,296.9,75.2,349.4,347.8,316.2,145.5,151.4,422.6,52.0,75.5,394.4,425.6,174.0,324.2,400.4,98.1,109.4,1885.2,395.4,106.5,109.9,53.0,392.2
GJ,364.2,302.1,162.8,340.4,117.1,335.9,128.5,399.5,89.2,256.2,203.8,135.3,97.8,69.4,339.2,125.8,369.9,304.1,46.3,108.1,299.2,349.9,362.4,136.2,80.7,271.5,171.6,313.6,0.0,216.7,169.2,310.4,272.7,235.5,13.0,348.2,328.5,351.0,324.9,180.1,190.8,88.9,99.5,379.3,324.7,350.3,285.5,334.2,58.1,145.1,375.8,117.8,211.4,381.1,88.7,281.7,114.3,283.1,84.2,157.0,293.8,103.6,57.3,67.8,114.9,58.5,59.3,137.0,86.7,335.7,321.4,27.6,291.4,24.3,169.4,68.8,263.7,234.8,145.3,262.6,316.3,216.0,138.3,143.7,82.9,118.1,266.4,315.6,2015.1,120.2,379.8,208.0,306.0,109.9
GN,468.2,289.6,71.3,444.4,240.9,439.9,240.0,422.8,261.8,344.4,132.3,99.8,152.7,120.3,453.6,125.9,427.7,408.1,223.9,145.7,423.0,464.3,471.0,73.8,253.3,395.3,295.4,417.6,172.5,0.0,65.4,414.4,376.7,286.7,163.3,452.2,432.5,405.4,390.5,55.6,18.2,135.3,89.5,418.3,364.3,454.3,389.5,408.3,249.2,268.9,430.2,241.6,80.3,476.5,212.5,385.7,308.5,406.9,148.4,67.5,397.8,156.7,218.3,183.7,95.1,217.1,167.0,331.2,128.9,439.7,405.0,200.2,415.2,190.6,16.0,207.2,251.2,211.0,90.8,366.6,420.3,62.6,93.8,267.5,97.6,134.5,334.2,419.6,2162.2,128.7,483.8,331.8,410.0,140.6
GQ,445.8,374.5,5.8,422.0,218.5,417.5,282.3,481.1,288.7,357.6,120.8,34.3,104.6,103.8,440.6,60.4,451.5,385.7,201.5,80.2,400.6,451.3,463.8,53.2,236.8,372.9,273.0,395.2,156.0,72.8,0.0,392.0,354.3,336.9,146.8,429.8,410.1,432.6,426.3,10.9,91.1,112.9,111.6,460.9,406.3,452.6,367.1,435.6,226.8,246.5,457.4,219.2,101.2,475.8,190.1,363.3,286.1,384.5,131.9,74.0,375.4,134.3,201.8,167.2,41.4,200.6,144.6,308.8,75.2,437.2,422.8,183.7,392.8,174.1,54.9,190.7,336.1,295.9,85.7,344.2,397.9,83.5,100.3,245.1,103.5,69.0,367.8,397.2,2215.9,80.6,461.4,309.4,387.6,92.5
GV,87.9,187.7,406.3,126.3,204.0,121.8,253.1,79.6,259.5,115.8,467.3,434.8,378.6,350.1,91.5,406.6,50.9,94.9,352.1,388.9,119.0,102.2,108.9,408.8,268.0,91.3,182.9,3.1,327.2,397.5,400.4,0.0,38.8,126.8,340.3,90.1,70.4,40.5,70.3,390.6,371.6,322.6,319.3,41.5,14.2,77.5,25.1,121.2,328.3,217.3,73.9,203.3,415.3,233.7,232.4,90.5,268.8,102.9,321.4,402.5,17.0,336.7,307.9,362.7,430.1,309.1,317.3,245.9,365.1,59.4,91.1,300.1,78.4,353.5,351.0,319.4,149.3,154.6,425.8,49.0,72.5,397.6,428.8,177.2,336.4,398.9,101.3,106.4,1882.2,398.6,103.5,113.1,50.0,390.7
GY,91.4,225.4,444.0,87.4,241.7,82.9,290.8,133.1,297.2,153.5,445.7,377.2,339.7,311.3,76.8,367.7,103.5,56.0,389.8,350.0,110.0,87.5,94.2,378.1,305.7,129.0,220.6,40.8,364.9,435.2,438.1,37.6,0.0,164.5,294.7,75.4,55.7,78.2,73.8,428.3,409.3,283.7,357.0,65.0,51.9,77.5,12.7,87.7,366.0,255.0,109.4,241.0,453.0,194.8,270.1,51.6,306.5,126.4,282.5,440.2,21.0,297.8,345.6,400.4,356.8,346.8,278.4,283.6,328.6,62.9,94.5,337.8,116.1,391.2,388.7,357.1,187.0,192.3,387.2,10.1,33.6,435.3,333.1,214.9,324.8,360.0,139.0,67.5,1843.3,362.1,107.0,150.8,33.2,351.8
HC,198.9,139.0,329.2,269.5,142.5,265.0,209.5,255.0,216.1,78.9,390.2,357.7,345.5,273.0,161.9,383.8,226.3,238.1,327.7,400.9,121.9,172.6,185.1,331.7,224.6,94.2,152.0,210.7,302.8,320.4,323.3,207.5,242.4,0.0,315.9,223.4,166.6,188.4,147.6,313.5,310.5,265.8,242.2,216.9,221.8,173.9,184.9,156.9,198.9,127.3,250.1,141.8,338.2,304.2,170.9,251.4,191.7,105.8,301.1,325.4,193.8,360.2,298.0,280.3,353.0,298.0,342.5,168.8,288.0,158.5,144.1,275.7,114.1,328.9,273.9,286.9,71.6,77.5,348.7,232.3,232.3,320.5,351.7,115.7,259.3,392.4,89.1,249.6,1984.8,321.5,214.5,51.6,209.8,333.4
HN,331.3,305.0,149.7,307.5,104.0,303.0,137.7,366.6,98.4,243.1,190.7,122.2,84.7,56.3,326.1,112.7,337.0,271.2,55.5,95.0,286.1,336.8,349.3,123.1,89.9,258.4,158.5,280.7,9.1,203.6,156.1,277.5,239.8,222.4,0.0,315.3,295.6,318.1,311.8,167.0,177.7,75.8,86.4,346.4,291.8,338.1,252.6,321.1,67.3,132.0,342.9,104.7,198.3,368.0,75.6,248.8,123.5,270.0,27.5,143.9,260.9,90.5,66.5,77.0,101.8,67.7,46.2,146.2,73.6,322.7,308.3,36.8,278.3,33.5,156.3,78.0,266.6,241.6,132.2,229.7,283.4,202.9,125.2,130.6,69.8,105.0,253.3,282.7,1982.2,107.1,346.9,194.9,273.1,96.8
