from_stop,AA,AS,AX,BG,BI,BJ,BK,BL,BX,CE,CH,CJ,CL,DE,EA,EL,EM,EQ,ER,EU,EW,FC,FY,GA,GD,GL,HA,HP,IM,IO,KI,KU,KX,LJ,LW,MD,MH,MM,MN,MO,MP,NA,NK,NM,NN,NP,NQ,NT,OB,OE,PE,PG,PM,PO,PP,QA,QF,QM,RD,RG,RK,RW,SJ,SY,TH,TL,TP,TU,UK,UV,UX,VB,VC,VJ,VK,VL,VM,VV,VX,WD,WH,WM,XK,XM,XP,YK,YL,YV,ZB,ZD,ZO,ZR
CL,492.7,512.0,503.3,445.9,293.3,513.0,512.6,553.3,441.0,557.9,458.7,470.4,0.0,528.6,468.3,485.9,504.9,76.8,396.6,220.3,417.5,485.5,555.1,172.6,512.9,515.9,203.7,228.5,210.7,209.9,293.2,186.1,452.3,437.8,437.7,542.3,239.0,220.9,529.2,19.2,372.2,394.0,466.6,455.5,298.4,473.9,351.4,512.8,493.9,113.0,504.3,520.8,393.3,486.6,215.4,441.3,431.0,448.5,501.3,50.8,429.7,459.9,488.3,393.9,482.3,423.4,218.1,381.4,470.0,190.6,471.0,492.2,388.9,587.7,509.2,1142.0,501.0,515.8,395.7,496.9,542.1,538.9,430.8,534.3,97.9,493.9,428.2,493.0,520.2,206.7,452.1,231.3
DE,212.5,314.6,305.9,266.5,408.6,247.4,211.7,209.6,516.0,360.5,261.3,190.2,548.7,0.0,227.4,208.0,224.7,555.8,471.6,464.4,492.5,185.5,289.5,416.7,98.7,336.5,414.5,472.6,421.5,454.0,408.5,430.2,254.9,512.8,157.5,91.1,449.8,465.0,332.8,563.8,447.2,414.5,186.4,276.1,413.7,294.5,426.4,292.7,213.7,548.4,306.9,106.6,468.3,307.2,459.5,261.9,506.0,168.3,299.7,513.0,74.2,179.7,208.1,468.9,76.5,498.4,462.2,456.4,92.2,434.7,291.6,187.5,463.9,737.8,16.0,1093.8,221.9,101.6,470.7,216.7,90.9,124.7,73.1,268.7,533.3,228.3,503.2,78.8,323.8,450.8,254.7,442.1
EA,60.3,259.1,187.2,125.7,362.0,98.9,55.5,139.2,469.4,305.0,205.8,103.2,502.1,225.5,0.0,17.5,82.7,509.2,425.0,417.8,445.9,80.1,141.0,370.1,266.8,195.7,367.9,426.0,374.9,407.4,361.9,383.6,199.4,466.2,140.8,217.6,403.2,418.4,166.4,517.2,400.6,367.9,128.7,135.3,367.1,153.7,379.8,192.6,73.3,501.8,251.4,274.7,421.7,166.4,412.9,121.1,459.4,90.1,181.1,466.4,218.5,127.7,78.7,422.3,244.6,451.8,415.6,409.8,258.8,388.1,150.8,38.4,417.3,691.2,206.1,927.4,66.2,269.7,424.1,90.7,217.4,292.8,219.6,120.2,486.7,79.8,456.6,246.9,157.4,404.2,199.2,395.5
EL,60.4,286.7,214.8,153.3,389.6,126.5,37.9,116.8,497.0,332.6,233.4,85.6,529.7,207.9,27.5,0.0,82.8,536.8,452.6,445.4,473.5,62.5,168.6,397.7,249.2,223.3,395.5,453.6,402.5,435.0,389.5,411.2,227.0,493.8,123.2,200.0,430.8,446.0,194.0,544.8,428.2,395.5,111.1,162.9,394.7,181.3,407.4,213.3,55.7,529.4,279.0,257.1,449.3,194.0,440.5,148.7,487.0,72.5,208.7,494.0,224.7,127.2,61.3,449.9,227.0,479.4,443.2,437.4,242.7,415.7,178.4,20.8,444.9,718.8,188.5,955.0,48.6,252.1,451.7,90.8,199.8,275.2,223.6,147.8,514.3,107.4,484.2,229.3,185.0,431.8,226.8,423.1
EM,22.3,312.7,270.0,208.5,444.8,179.7,87.1,184.7,545.5,356.4,255.8,84.7,584.9,244.6,82.7,92.8,0.0,592.0,510.3,500.6,513.8,81.0,223.8,452.9,317.8,280.3,450.7,508.8,462.7,490.2,444.7,466.4,249.9,549.0,72.3,236.7,486.0,501.2,236.9,594.8,477.2,450.7,65.9,218.1,449.9,237.6,457.4,270.2,70.8,556.4,301.9,299.0,504.5,244.0,495.7,205.2,542.2,95.8,258.7,544.0,261.4,50.1,65.2,505.1,266.1,529.4,498.4,492.6,288.2,465.7,233.6,115.0,494.9,774.0,225.2,1010.2,77.9,288.8,506.9,8.0,236.0,311.9,260.3,203.0,580.0,162.6,539.4,266.0,240.2,483.2,249.7,464.4
EQ,509.5,528.8,520.1,462.7,310.1,529.8,529.4,570.1,457.8,574.7,475.5,487.2,66.5,545.4,485.1,502.7,521.7,0.0,413.4,237.1,434.3,502.3,571.9,189.4,529.7,532.7,220.5,245.3,227.5,226.7,310.0,202.9,469.1,454.6,454.5,559.1,255.8,237.7,546.0,81.6,389.0,410.8,483.4,472.3,315.2,490.7,368.2,522.7,510.7,132.1,521.1,537.6,410.1,503.4,232.2,458.1,447.8,465.3,518.1,76.7,446.5,476.7,505.1,410.7,499.1,440.2,234.9,398.2,486.8,207.4,487.8,509.0,405.7,604.5,526.0,1158.8,517.8,532.6,412.5,513.7,558.9,555.7,447.6,551.1,117.0,510.7,445.0,509.8,537.0,223.5,468.9,248.1
ER,433.9,456.3,447.7,387.1,311.8,452.2,451.4,497.7,169.3,503.2,399.4,411.6,400.5,469.8,409.5,427.1,451.1,407.6,0.0,316.2,132.4,426.7,496.3,268.5,486.0,458.9,266.3,324.4,283.5,305.8,314.9,282.0,393.5,167.6,378.9,483.5,301.6,316.8,458.1,418.8,94.7,252.6,411.0,396.7,320.1,416.2,50.2,450.3,435.1,372.0,445.5,465.2,122.0,431.0,311.3,383.8,160.8,389.7,442.5,368.0,370.9,401.1,432.7,40.7,425.9,153.2,314.0,55.8,420.0,289.7,412.2,432.2,117.6,508.7,450.4,1083.2,442.2,457.0,125.5,441.3,482.8,480.1,372.0,475.5,395.6,435.1,156.9,434.2,464.6,298.8,393.3,280.0
EU,443.1,465.5,453.7,396.3,243.7,461.4,460.6,503.7,389.9,509.2,408.6,420.8,228.1,479.0,418.7,436.3,460.3,235.2,347.0,0.0,353.0,435.9,505.5,58.1,465.2,466.3,133.1,8.1,170.3,72.7,243.6,49.5,402.7,388.2,388.1,492.7,149.6,18.8,477.4,243.2,322.6,344.4,417.0,405.9,248.8,424.3,301.8,456.3,444.3,199.6,454.7,471.2,343.7,437.0,24.7,393.0,381.4,398.9,451.7,192.4,380.1,410.3,438.7,344.3,435.1,373.8,74.4,331.8,428.3,45.0,421.4,440.4,339.3,538.1,459.6,1092.4,451.4,466.2,346.1,447.3,492.5,489.3,381.2,484.7,212.7,444.3,378.6,443.4,470.6,24.3,402.5,121.6
EW,462.3,484.7,458.0,400.6,293.8,480.6,479.8,522.9,85.0,513.5,427.8,440.0,369.7,498.2,437.9,455.5,479.5,376.8,131.4,285.4,0.0,440.2,524.7,237.7,514.4,487.3,235.5,293.6,237.8,275.0,293.7,251.2,421.9,83.3,392.4,511.9,270.8,286.0,486.5,384.8,98.3,221.8,436.2,425.1,298.9,444.6,83.7,482.4,463.5,341.2,473.9,490.4,125.6,456.2,280.5,412.2,76.5,418.1,456.0,334.0,399.3,429.5,457.9,126.2,454.3,32.1,283.2,83.3,448.4,240.8,440.6,460.6,106.3,477.9,478.8,1020.8,470.6,485.4,21.7,466.5,511.2,508.5,400.4,503.9,364.8,463.5,160.5,462.6,489.8,268.0,421.7,249.2
FC,63.3,282.8,247.6,219.4,400.6,139.4,40.4,103.6,506.5,326.5,225.9,23.0,540.7,194.7,79.4,51.8,80.5,547.8,466.1,456.4,484.5,0.0,183.5,408.7,267.9,275.2,406.5,464.6,423.7,446.0,400.5,422.2,220.0,504.8,69.0,186.8,441.8,457.0,224.6,555.8,433.0,406.5,48.5,214.8,405.7,233.2,418.4,265.2,37.6,512.2,272.0,243.9,460.3,245.9,451.5,200.6,498.0,45.7,260.6,505.0,211.5,81.1,43.2,460.9,216.2,490.4,454.2,448.4,229.5,426.7,230.3,31.3,455.9,729.8,175.3,987.8,30.5,238.9,462.7,93.7,186.1,262.0,210.4,162.7,525.3,122.3,495.2,216.1,217.8,439.0,219.8,420.2
FY,198.6,398.4,282.4,229.7,466.0,115.4,193.8,178.5,573.4,411.6,333.8,214.3,606.1,286.4,138.2,155.8,221.0,613.2,529.0,521.8,549.9,191.2,0.0,474.1,327.7,299.7,471.9,530.0,478.9,511.4,465.9,487.6,303.4,570.2,260.3,278.5,507.2,522.4,261.6,621.2,504.6,471.9,239.8,239.3,471.1,257.7,483.8,289.7,211.6,605.8,390.7,335.6,525.7,270.4,516.9,225.1,563.4,219.2,285.1,570.4,303.2,266.0,217.0,526.3,305.5,555.8,519.6,513.8,321.2,492.1,254.8,176.7,521.3,795.2,267.0,1022.6,204.5,330.6,528.1,229.0,278.3,353.7,302.1,118.7,590.7,60.1,560.6,307.8,252.6,508.2,327.2,499.5
GA,390.0,409.3,400.6,343.2,190.6,410.3,409.9,450.6,338.3,455.2,356.0,367.7,175.0,425.9,365.6,383.2,402.2,182.1,293.9,49.3,314.8,382.8,452.4,0.0,410.2,413.2,97.6,57.5,124.6,37.2,190.5,15.1,349.6,335.1,335.0,439.6,114.1,48.2,426.5,190.1,269.5,291.3,363.9,352.8,195.7,371.2,248.7,410.1,391.2,174.7,401.6,418.1,290.6,383.9,42.7,338.6,328.3,345.8,398.6,139.3,327.0,357.2,385.6,291.2,379.6,320.7,47.1,278.7,367.3,19.6,368.3,389.5,286.2,485.0,406.5,1039.3,398.3,413.1,293.0,394.2,439.4,436.2,328.1,431.6,159.6,391.2,325.5,390.3,417.5,35.7,349.4,86.1
GD,249.9,353.3,341.5,327.6,439.0,283.4,249.1,245.2,544.9,422.5,298.7,227.6,579.1,114.8,264.8,245.4,262.1,586.2,502.0,493.0,522.9,246.6,326.9,447.1,0.0,373.9,444.9,503.0,485.8,482.6,462.6,484.3,290.5,543.2,193.1,128.5,480.2,495.4,368.4,594.2,475.8,468.6,247.5,313.5,442.3,335.9,456.8,328.3,251.1,548.8,344.3,48.2,496.9,368.3,489.9,301.0,536.4,205.7,360.8,567.1,104.6,240.8,269.2,499.3,133.0,552.5,492.6,486.8,130.5,488.8,352.7,223.7,518.0,768.2,95.4,1131.2,259.3,43.2,501.1,252.3,128.3,25.9,103.5,306.1,563.7,265.7,533.6,21.3,384.9,481.2,290.3,478.1
GL,253.9,394.3,172.9,88.3,492.7,236.2,251.2,280.3,600.4,407.1,223.8,296.8,632.8,386.4,193.5,211.1,271.1,639.9,558.2,548.5,561.7,273.7,280.3,500.8,459.6,0.0,498.6,556.7,515.8,538.1,492.6,514.3,328.3,596.9,288.9,378.5,533.9,549.1,235.1,647.9,525.1,498.6,322.3,59.8,497.8,78.3,512.3,209.5,266.9,604.3,383.5,435.6,552.4,188.4,543.6,118.0,590.1,283.7,203.1,597.1,349.2,321.3,272.3,553.0,409.7,582.5,546.3,540.5,398.3,520.6,44.3,233.3,548.0,821.9,367.0,1015.4,259.8,430.6,554.8,284.3,377.8,453.7,350.3,259.5,627.9,219.1,587.3,407.8,226.1,531.1,217.7,512.3
HA,382.8,402.1,393.4,336.0,183.4,403.1,402.7,443.4,331.1,448.0,348.8,360.5,202.1,418.7,358.4,376.0,395.0,209.2,286.7,117.8,307.6,375.6,445.2,70.1,403.0,406.0,0.0,125.7,27.0,72.7,183.3,83.6,342.4,327.9,327.8,432.4,55.3,115.6,419.3,217.2,262.3,284.1,356.7,345.6,188.5,364.0,241.5,396.0,384.0,201.8,394.4,410.9,283.4,376.7,110.1,331.4,321.1,338.6,391.4,166.4,319.8,350.0,378.4,284.0,372.4,313.5,115.6,271.5,360.1,88.1,361.1,382.3,279.0,477.8,399.3,1032.1,391.1,405.9,285.8,387.0,432.2,429.0,320.9,424.4,186.7,384.0,318.3,383.1,410.3,104.2,342.2,27.5
HP,440.0,459.3,450.6,393.2,240.6,460.3,459.9,500.6,388.3,505.2,406.0,417.7,225.0,475.9,415.6,433.2,452.2,232.1,343.9,7.7,364.8,432.8,502.4,49.9,460.2,463.2,124.9,0.0,151.9,64.5,240.5,57.3,399.6,385.1,385.0,489.6,141.4,10.7,476.5,240.1,319.5,341.3,413.9,402.8,245.7,421.2,298.7,453.2,441.2,224.7,451.6,468.1,340.6,433.9,16.5,388.6,378.3,395.8,448.6,189.3,377.0,407.2,435.6,341.2,429.6,370.7,82.2,328.7,417.3,52.8,418.3,439.5,336.2,535.0,456.5,1089.3,448.3,463.1,343.0,444.2,489.4,486.2,378.1,481.6,209.6,441.2,375.5,440.3,467.5,33.1,399.4,113.4
IM,421.6,444.0,432.2,374.8,222.2,439.9,439.1,482.2,368.4,487.7,387.6,399.3,240.9,457.5,397.2,414.8,433.8,248.0,325.5,156.6,331.5,414.4,484.0,108.9,473.7,444.8,38.8,154.5,0.0,101.5,222.1,122.4,381.2,366.7,366.6,471.2,48.8,144.4,445.8,256.0,294.9,322.9,395.5,384.4,227.3,403.9,280.3,434.8,422.8,212.4,433.2,449.7,322.2,415.5,138.9,370.2,359.9,377.4,430.2,205.2,358.6,388.8,417.2,322.8,413.6,352.3,154.4,310.3,398.9,126.9,399.9,418.9,317.8,516.6,438.1,1070.9,429.9,444.7,324.6,425.8,470.5,467.8,359.7,463.2,225.5,422.8,357.1,421.9,449.1,139.2,381.0,66.4
IO,425.1,447.5,435.7,378.3,225.7,443.4,442.6,485.7,371.9,491.2,390.6,402.8,212.3,461.0,400.7,418.3,442.3,219.4,329.0,60.7,349.9,417.9,487.5,37.2,477.2,448.3,60.3,52.9,97.5,0.0,225.6,52.4,384.7,370.2,370.1,474.7,76.8,42.8,449.3,227.4,304.6,326.4,399.0,387.9,230.8,410.0,283.8,438.3,426.3,183.8,436.7,453.2,325.7,419.0,37.3,377.2,363.4,380.9,433.7,176.6,362.1,392.3,420.7,326.3,417.1,355.8,84.4,313.8,402.4,56.9,403.4,424.6,321.3,520.1,441.6,1074.4,433.4,448.2,328.1,429.3,474.0,471.3,363.2,466.7,196.9,426.3,360.6,425.4,452.6,73.7,384.5,48.8
KI,369.6,392.0,380.2,322.8,95.9,387.9,387.1,430.2,379.0,435.7,335.1,347.3,337.2,405.5,345.2,362.8,386.8,344.3,336.1,252.9,357.0,362.4,432.0,205.2,421.7,392.8,203.0,261.1,220.2,242.5,0.0,218.7,329.2,377.3,314.6,419.2,238.3,253.5,393.8,352.3,305.5,283.9,343.5,332.4,48.0,354.8,290.9,389.7,370.8,308.7,381.2,397.7,332.8,363.5,248.0,321.7,370.5,325.4,378.2,301.5,306.6,336.8,365.2,333.4,361.6,362.9,250.7,320.9,346.9,223.2,347.9,369.1,328.4,527.2,386.1,1018.9,377.9,392.7,335.2,373.8,418.5,415.8,307.7,411.2,321.8,370.8,367.7,369.9,397.1,240.0,329.0,216.7
KU,393.5,415.9,404.1,346.7,194.1,411.8,411.0,454.1,340.3,459.6,359.0,371.2,178.5,429.4,369.1,386.7,410.7,185.6,297.4,34.1,318.3,386.3,455.9,25.1,445.6,416.7,122.8,42.3,121.7,62.4,194.0,0.0,353.1,338.6,338.5,443.1,139.3,53.0,417.7,193.6,269.7,294.8,367.4,356.3,199.2,378.4,252.2,406.7,394.7,150.0,405.1,421.6,294.1,387.4,58.8,342.1,331.8,349.3,402.1,142.8,330.5,360.7,389.1,294.7,385.5,324.2,31.9,282.2,370.8,4.5,371.8,390.8,289.7,488.5,410.0,1042.8,401.8,416.6,296.5,397.7,442.4,439.7,331.6,435.1,163.1,394.7,329.0,393.8,421.0,16.7,352.9,111.3
KX,233.9,127.9,201.1,205.1,402.5,272.2,251.4,284.6,508.4,171.6,156.0,211.6,542.6,291.0,227.5,253.9,251.1,549.7,465.5,458.3,486.4,226.7,314.3,410.6,364.2,275.1,408.4,466.5,425.6,447.9,402.4,424.1,0.0,506.7,178.9,283.1,443.7,458.9,288.4,557.7,441.1,408.4,207.8,214.7,407.6,233.1,420.3,200.8,235.1,514.1,117.1,340.2,462.2,233.8,453.4,200.5,499.9,189.7,194.9,506.9,259.0,201.1,229.5,462.8,312.5,492.3,456.1,450.3,307.2,428.6,230.2,232.2,457.8,731.7,271.6,927.2,242.2,335.2,464.6,238.1,282.9,358.3,260.1,293.5,537.7,253.1,497.1,312.4,279.4,440.9,149.9,443.4
LJ,488.4,507.7,499.0,441.6,319.9,508.7,508.3,549.0,40.5,553.6,454.4,466.1,395.8,524.3,464.0,481.6,500.6,402.9,155.0,311.5,59.1,481.2,550.8,263.8,508.6,511.6,261.6,319.7,268.6,301.1,319.8,277.3,448.0,0.0,433.4,538.0,296.9,312.1,524.9,410.9,130.6,247.9,462.3,451.2,325.0,469.6,109.8,501.6,489.6,395.5,500.0,516.5,151.7,482.3,306.6,437.0,5.5,444.2,497.0,360.1,425.4,455.6,484.0,152.3,478.0,45.2,309.3,109.4,465.7,281.8,466.7,487.9,147.3,504.0,504.9,1046.9,496.7,511.5,68.9,492.6,537.8,534.6,426.5,530.0,380.4,489.6,186.6,488.7,515.9,297.9,447.8,289.2
LW,82.8,245.5,233.7,194.3,363.3,208.8,100.3,171.0,469.2,289.2,188.6,47.6,503.4,177.4,130.4,102.8,72.3,510.5,426.3,419.1,432.3,68.9,250.9,371.4,218.7,264.3,369.2,427.3,386.4,408.7,363.2,384.9,182.7,467.5,0.0,169.5,404.5,419.7,290.7,518.5,401.9,369.2,28.8,203.9,368.4,226.3,381.1,233.4,84.0,474.9,234.7,226.6,423.0,235.0,414.2,193.2,460.7,38.6,227.5,467.7,194.2,22.1,78.4,423.6,198.9,453.1,416.9,411.1,220.1,389.4,219.4,80.1,418.6,692.5,158.0,1055.2,91.1,221.6,425.4,59.1,168.8,244.7,193.1,230.1,488.0,189.7,457.9,198.8,285.2,401.7,182.5,404.2
MD,201.9,304.0,295.3,255.9,419.6,236.8,201.1,199.0,527.0,349.9,250.7,179.6,559.7,68.4,216.8,197.4,214.1,566.8,482.6,475.4,503.5,174.9,278.9,427.7,109.7,325.9,425.5,483.6,432.5,465.0,419.5,441.2,244.3,523.8,146.9,0.0,460.8,476.0,322.2,574.8,458.2,425.5,175.8,265.5,424.7,283.9,437.4,295.0,203.1,559.4,296.3,117.6,479.3,296.6,470.5,251.3,517.0,157.7,289.1,524.0,85.2,169.1,197.5,479.9,87.5,509.4,473.2,467.4,103.2,445.7,281.0,176.9,474.9,748.8,49.0,1083.2,211.3,112.6,481.7,206.1,0.1,135.7,84.1,258.1,544.3,217.7,514.2,89.8,313.2,461.8,244.1,453.1
