from_stop,AF,AQ,AR,BZ,CC,CE,CF,CM,CR,DP,DS,DU,EG,ER,ES,FO,FP,FS,FW,FY,FZ,GK,GP,GR,HA,HB,HU,IS,IV,JW,JZ,KC,KM,KR,LG,LU,ML,MO,MW,ND,NI,NM,NN,OC,PI,PP,PQ,PU,QT,RA,RE,SV,SZ,TK,TO,UD,UH,VK,VP,VQ,VS,WL,XH,XJ,XK,XR,YC,YL,YN,YS,YW,YZ,ZF,ZJ,ZL,ZQ,ZW
GR,180.5,199.6,229.5,220.5,241.2,272.2,144.4,280.4,297.0,139.3,497.9,181.5,178.4,283.7,278.4,148.4,557.0,136.8,83.1,157.8,468.1,513.8,480.0,0.0,250.9,554.1,289.3,118.1,211.2,362.3,314.0,2086.8,474.2,227.0,195.8,174.3,211.7,270.4,195.2,616.8,338.1,330.5,216.6,295.2,174.1,233.0,340.2,284.9,183.0,179.9,256.5,492.4,340.9,331.9,259.7,266.3,464.6,608.1,48.4,207.0,282.3,376.1,297.1,592.0,445.8,556.0,265.7,300.6,202.4,525.1,100.0,368.5,249.4,130.5,169.7,544.9,379.1
HA,293.0,263.1,232.2,321.2,341.7,165.3,289.8,270.2,224.5,127.5,636.0,274.8,285.0,98.9,140.4,289.4,652.5,282.2,228.5,116.6,591.3,616.6,605.0,174.5,0.0,649.6,279.3,138.8,47.2,387.8,138.4,2089.5,626.8,185.8,309.3,177.0,69.2,257.0,139.6,684.4,396.4,235.3,270.4,240.0,121.1,200.1,416.2,178.0,185.7,214.7,300.3,581.0,111.6,250.3,262.4,269.0,560.1,669.1,193.8,266.5,209.1,280.9,62.3,696.0,561.5,672.8,158.8,216.9,205.1,650.0,245.4,273.3,101.8,275.9,128.5,640.4,283.9
HB,328.0,356.1,562.7,369.0,392.5,512.5,491.8,475.7,492.3,435.7,156.2,350.6,334.9,574.5,560.3,325.3,172.2,344.1,393.4,454.2,123.5,136.8,81.6,467.5,547.3,0.0,484.6,432.5,507.6,203.3,547.1,2282.1,83.6,523.4,344.3,436.4,517.6,410.3,489.0,204.6,230.7,525.8,373.1,577.6,470.5,497.2,164.7,493.3,445.1,396.8,400.4,73.0,595.5,533.4,426.9,429.0,100.7,189.3,427.3,384.3,481.0,577.2,593.5,216.2,126.7,193.0,527.6,501.4,464.5,175.3,376.5,563.8,540.2,343.9,466.1,160.6,574.4
HU,245.1,222.5,120.3,285.1,292.8,96.3,251.8,115.5,127.3,154.9,544.5,234.2,244.4,89.8,102.5,264.0,603.6,253.9,255.9,144.0,514.7,560.4,526.6,201.9,150.6,600.7,0.0,166.2,138.3,408.9,138.1,2009.8,520.8,213.2,260.4,154.4,138.8,234.2,169.6,663.4,384.7,166.3,225.3,281.4,148.5,46.3,386.8,109.0,163.1,174.1,273.2,539.0,154.6,167.7,239.8,246.2,511.2,654.7,221.2,225.9,135.4,217.7,111.2,638.6,492.4,602.6,89.8,147.9,182.5,571.7,272.8,204.3,55.5,303.3,155.9,595.8,214.9
IS,185.4,154.5,123.6,225.4,233.1,190.3,183.8,174.5,191.1,53.4,484.8,166.2,176.4,201.8,196.5,210.7,543.9,199.1,145.4,71.9,455.0,500.7,466.9,100.4,165.0,541.0,183.4,0.0,125.3,349.2,232.1,1980.9,461.1,141.1,200.7,68.4,125.8,148.4,109.3,603.7,325.0,224.6,161.8,209.3,88.2,127.1,327.1,192.1,77.1,106.1,191.7,479.3,259.0,226.0,153.8,160.4,451.5,595.0,110.7,157.9,176.4,276.0,223.2,578.9,432.7,542.9,183.8,194.7,96.5,512.0,162.3,262.6,167.5,192.8,83.8,536.1,273.2
IV,246.7,215.8,184.9,286.7,294.4,124.2,242.5,229.1,155.2,80.2,546.1,227.5,237.7,135.7,130.4,246.5,605.2,234.9,181.2,69.3,516.3,562.0,528.2,127.2,39.6,602.3,238.2,91.5,0.0,410.5,166.0,2042.2,522.4,138.5,262.0,129.7,21.9,209.7,94.9,665.0,386.3,194.2,223.1,206.7,73.8,177.0,388.4,136.9,138.4,167.4,253.0,540.6,166.2,195.6,215.1,221.7,512.8,656.3,146.5,219.2,168.0,245.6,85.8,640.2,494.0,604.2,117.7,175.8,157.8,573.3,198.1,232.2,101.4,228.6,81.2,593.1,242.8
JW,146.7,173.8,362.8,200.7,224.2,330.2,309.5,293.4,318.7,234.6,330.4,168.3,133.8,392.2,392.0,143.5,346.9,161.8,211.1,253.1,267.4,320.4,202.1,285.2,365.0,344.0,302.3,250.2,325.3,0.0,364.8,2099.8,321.2,322.3,176.0,235.3,335.3,228.0,323.3,388.2,100.6,343.5,172.0,409.3,288.2,292.4,130.1,311.0,262.8,214.5,239.5,282.3,394.4,332.3,244.6,246.7,263.9,398.0,245.0,202.0,309.3,376.1,392.4,381.9,235.7,345.9,345.3,319.1,263.4,315.0,194.2,381.5,339.1,161.6,283.8,237.5,392.1
JZ,286.0,272.1,187.6,326.0,333.7,70.8,362.5,175.3,84.2,200.2,585.4,288.6,372.5,80.7,36.0,304.9,644.5,352.7,301.2,189.3,555.6,601.3,567.5,247.2,139.3,641.6,181.3,211.5,183.6,449.8,0.0,2050.7,561.7,258.5,301.3,249.7,184.1,275.1,214.9,704.3,425.6,123.2,266.2,326.7,193.8,174.4,427.7,65.5,258.4,302.2,314.1,579.9,65.8,124.6,298.5,287.1,552.1,695.6,266.5,293.1,114.2,168.8,119.0,679.5,533.3,643.5,63.9,104.4,277.8,612.6,318.1,161.2,110.7,348.6,201.2,632.4,171.8
KC,2045.8,2031.9,2022.8,2085.8,2093.5,2081.3,2157.1,2054.9,2061.1,2058.9,2345.2,2048.4,2050.7,2153.7,2139.5,2064.7,2404.3,2112.5,2176.8,2077.4,2315.4,2361.1,2327.3,2105.9,2214.5,2401.4,2063.8,2055.7,2130.8,2209.6,2126.3,0.0,2321.5,2146.6,2061.1,2049.3,2131.3,2034.9,2114.8,2464.1,2185.4,2072.0,2026.0,2214.8,2093.7,2107.7,2187.5,2072.5,2058.0,2079.4,2073.9,2339.7,2174.7,2021.9,2058.3,2046.9,2311.9,2455.4,2125.2,2052.9,2056.8,2123.4,2175.1,2439.3,2293.1,2403.3,2106.8,2075.1,2077.4,2372.4,2155.2,2110.0,2119.4,2088.7,2089.3,2392.2,2120.6
KM,296.7,324.8,408.2,352.6,361.2,481.2,460.5,444.4,461.0,404.4,156.6,319.3,303.6,543.2,519.4,288.6,172.6,312.8,362.1,422.9,111.9,137.2,50.3,436.2,516.0,170.2,453.3,401.2,476.3,164.7,515.8,2250.8,0.0,492.1,313.0,405.1,486.3,379.0,457.7,205.0,147.8,494.5,341.8,546.3,439.2,462.2,133.4,462.0,413.8,365.5,369.1,101.6,564.2,502.1,395.6,397.7,69.4,224.2,396.0,353.0,449.7,545.9,562.2,208.1,64.1,193.4,496.3,464.6,433.2,170.6,345.2,532.5,508.9,312.6,434.8,161.0,543.1
KR,322.3,286.5,315.8,344.6,365.1,230.4,313.2,306.5,289.6,150.9,659.4,298.2,308.4,241.9,227.0,312.6,675.9,305.6,251.9,81.7,626.7,640.0,628.4,197.9,189.5,673.0,315.4,162.2,149.8,481.2,272.2,2112.9,650.2,0.0,332.7,200.4,174.8,280.4,131.2,707.8,419.8,300.4,293.8,74.3,112.7,259.1,459.1,243.1,209.1,238.1,323.7,617.2,299.1,315.4,285.8,292.4,583.5,692.5,217.2,289.9,274.2,346.0,235.7,710.9,584.9,696.2,223.9,288.9,228.5,673.4,268.8,338.4,207.6,299.3,69.7,668.1,349.0
LG,91.7,131.7,361.7,24.6,48.1,321.2,264.0,251.3,312.5,211.3,451.6,126.2,110.5,350.1,326.3,128.5,467.6,115.7,180.0,229.8,418.9,432.2,420.6,254.1,322.9,465.2,260.2,208.1,283.2,273.4,322.7,2057.7,442.4,299.0,0.0,212.0,293.2,144.8,264.6,500.0,224.0,311.9,93.3,353.2,246.1,272.8,251.3,268.9,220.7,172.4,76.8,409.4,371.1,276.2,95.3,183.3,375.7,484.7,213.9,174.0,256.6,363.3,369.1,511.6,377.1,488.4,303.2,277.0,240.1,465.6,158.4,349.9,315.8,188.9,241.7,456.0,360.5
LU,172.0,159.1,265.2,198.7,220.7,183.7,340.0,146.9,163.5,259.8,515.0,175.6,177.9,245.7,221.9,197.3,531.0,239.7,304.0,278.3,482.3,495.6,484.0,306.8,306.5,528.6,155.8,256.6,294.2,266.8,218.3,1953.3,505.8,347.5,188.3,0.0,294.7,162.1,322.9,563.4,312.8,197.0,153.2,401.7,304.4,196.0,314.7,164.5,8.7,262.3,201.1,460.0,266.7,204.6,185.5,174.1,439.1,548.1,326.1,243.1,152.2,242.6,267.1,566.5,440.5,530.5,198.8,167.1,28.1,529.0,282.4,235.0,211.4,215.9,290.2,519.4,245.6
ML,266.7,232.9,170.7,301.8,324.5,90.3,259.6,195.2,121.3,97.3,574.5,244.6,267.8,94.4,91.5,257.0,620.3,252.0,198.3,99.4,559.1,555.1,514.0,144.3,133.4,641.9,204.3,106.6,80.7,380.1,132.1,2059.3,609.6,168.6,292.1,169.3,0.0,226.8,110.0,652.2,391.5,160.3,262.7,221.8,103.9,162.6,403.5,103.0,155.5,184.5,268.1,555.7,169.0,194.8,232.2,238.8,552.4,671.4,163.6,236.3,129.1,211.7,133.2,655.3,509.1,619.3,103.3,147.4,197.4,588.4,215.2,198.3,67.5,258.7,98.3,578.9,208.9
MO,97.5,83.6,137.3,137.5,132.2,210.3,231.7,173.5,190.1,133.5,396.9,100.1,143.2,272.3,258.1,116.4,456.0,148.4,212.7,152.0,367.1,412.8,379.0,180.5,245.1,453.1,182.4,130.3,205.4,261.3,244.9,1979.9,373.2,221.2,112.8,123.9,205.9,0.0,189.4,515.8,237.1,260.1,49.9,289.4,168.3,195.0,239.2,191.1,132.6,136.5,86.9,391.4,293.3,210.0,38.9,53.5,363.6,507.1,199.8,104.6,175.4,305.7,291.3,491.0,344.8,455.0,225.4,193.7,152.0,424.1,191.1,298.1,238.0,140.4,163.9,448.2,308.7
MW,255.9,220.1,249.4,269.6,296.1,164.0,246.8,240.1,223.2,81.9,590.4,231.8,239.4,172.9,160.6,244.2,609.0,239.2,185.5,59.2,548.3,571.0,559.4,131.5,120.5,604.0,249.0,95.8,83.4,344.8,205.8,2046.5,581.2,128.4,266.3,131.4,81.0,214.0,0.0,641.4,353.4,234.0,224.8,185.2,18.5,192.7,373.2,176.7,142.7,171.7,236.7,555.2,232.7,249.0,219.4,226.0,514.5,626.1,150.8,223.5,211.2,277.0,166.7,653.0,518.5,629.8,154.9,222.5,162.1,607.0,202.4,272.0,138.6,232.9,73.7,594.8,282.6
ND,402.5,429.6,636.2,429.7,466.0,586.0,565.3,549.2,577.3,509.2,91.7,424.1,408.4,648.0,624.2,393.4,74.5,417.6,466.9,527.7,132.1,135.1,155.1,541.0,620.8,145.1,558.1,506.0,581.1,269.5,620.6,2355.6,157.1,596.9,417.8,509.9,578.7,483.8,562.5,0.0,275.7,599.3,446.6,651.1,544.0,567.0,256.1,566.8,518.6,470.3,481.3,129.3,669.0,606.9,500.4,502.5,174.2,124.8,500.8,457.8,551.1,644.9,667.0,64.5,200.2,76.8,601.1,576.3,538.0,82.7,450.0,637.3,613.7,417.4,539.6,114.1,647.9
NI,190.7,217.8,405.8,236.1,257.5,374.2,353.5,337.4,357.3,297.4,229.7,212.3,176.8,439.5,427.4,167.7,259.7,205.8,255.1,321.3,210.5,210.3,169.2,329.2,389.2,256.8,346.3,294.2,369.3,72.2,408.8,2143.8,220.5,385.1,195.0,298.1,374.5,272.0,358.7,278.1,0.0,387.5,234.8,458.7,332.2,335.2,93.9,355.0,306.8,258.5,274.9,195.1,457.2,384.1,288.6,290.7,288.1,310.8,289.0,246.0,344.7,413.3,435.4,294.7,148.5,258.7,389.3,360.9,326.2,227.8,238.2,425.5,419.3,194.6,327.8,259.6,436.1
NM,316.5,302.6,231.8,356.5,364.2,142.7,454.0,138.3,122.5,291.7,615.9,319.1,321.4,244.6,206.1,335.4,675.0,383.2,392.7,280.8,586.1,631.8,598.0,338.7,305.4,672.1,211.8,303.0,275.1,480.3,203.8,2014.3,592.2,350.0,331.8,341.2,275.6,305.6,306.4,734.8,456.1,0.0,296.7,418.2,285.3,258.2,458.2,160.5,349.9,354.8,344.6,610.4,247.1,83.1,329.0,317.6,582.6,726.1,358.0,323.6,151.6,51.3,266.0,710.0,563.8,674.0,173.4,118.4,369.3,643.1,409.6,37.9,210.3,359.4,292.7,667.2,48.5
NN,67.6,59.4,320.1,108.6,116.3,215.8,212.4,179.0,195.6,139.0,410.6,71.2,104.1,277.8,254.0,96.4,426.6,109.3,173.6,157.5,365.9,391.2,379.6,186.0,250.6,424.2,187.9,135.8,210.9,162.4,250.4,1985.4,401.4,226.7,83.9,139.7,229.8,62.0,192.3,459.0,198.3,270.3,0.0,280.9,173.8,196.8,210.3,196.6,148.4,112.3,50.1,355.6,298.8,234.6,53.7,141.7,334.7,443.7,207.5,80.4,184.3,321.7,296.8,470.6,336.1,426.1,230.9,199.2,167.8,424.6,152.0,308.3,243.5,111.5,169.4,419.3,318.9
