from_stop,AG,AK,AS,AW,BA,BI,BY,CA,CJ,CQ,CV,DC,DL,DM,DO,DR,DV,EC,EI,EQ,EU,EV,FA,FM,FX,GG,GO,GU,GV,HJ,HX,IM,IQ,IS,IW,JG,JJ,JP,JQ,JV,JZ,KC,KE,KK,KO,KR,KT,LG,LH,LQ,LR,LW,LZ,MI,MM,MY,ND,NP,OE,OJ,PD,PF,PK,PM,PV,PZ,QF,QH,QI,QK,QL,QO,QP,QR,QW,RT,SB,SQ,SS,ST,SY,TJ,TW,UD,UI,UM,UN,UR,UU,UW,UY,VA,VL,VP,VS,WA,WE,WS,WU,XJ,XK,XM,XO,XX,YA,YH,YQ,YS,ZE,ZN,ZP,ZT,ZW,ZY
CV,17.9,128.2,117.4,116.9,303.3,213.6,273.7,83.0,243.9,49.6,0.0,164.2,276.3,154.9,204.8,325.0,296.2,86.7,67.5,168.9,315.4,300.2,197.1,70.6,66.0,185.0,90.8,210.0,210.8,159.2,61.4,249.7,65.7,259.4,94.2,219.0,225.4,107.6,84.7,2394.6,73.6,32.7,238.7,144.5,222.6,17.3,171.5,84.0,313.2,192.8,50.8,224.8,243.1,203.2,77.6,232.1,269.2,306.8,133.3,281.2,32.3,170.6,198.1,110.9,125.5,209.4,204.0,309.4,111.2,147.0,298.6,276.7,284.6,307.6,267.6,110.4,51.6,92.1,270.7,197.4,248.5,100.7,281.1,74.5,134.2,147.0,221.0,229.3,261.3,286.6,108.2,132.7,101.1,251.2,199.3,145.1,274.4,199.1,94.7,72.1,193.5,192.6,90.4,141.2,187.3,309.2,290.4,186.6,313.6,173.4,164.7,145.1,222.5,283.3
DC,146.2,214.1,144.5,224.1,173.6,44.7,133.9,201.3,85.8,142.3,158.4,0.0,136.2,39.5,177.1,188.7,156.4,159.7,215.5,227.4,172.9,159.1,179.7,147.1,163.4,70.1,198.0,211.9,135.3,101.5,209.4,111.5,171.5,114.5,84.5,167.7,85.3,205.0,94.1,2236.5,185.7,138.5,97.6,257.3,14.6,175.8,230.0,128.1,183.5,190.7,201.6,50.4,117.6,307.0,101.3,92.0,129.1,155.8,191.8,135.4,195.2,102.9,180.7,83.5,53.1,234.0,63.9,169.3,241.2,259.8,153.7,130.9,120.8,165.1,129.6,233.4,157.4,225.6,95.3,57.3,90.4,133.8,141.3,220.8,60.2,259.8,169.7,71.2,123.0,146.5,205.6,238.5,235.2,76.8,70.2,250.9,134.3,311.9,153.2,174.2,74.2,141.3,235.8,120.7,238.3,169.1,150.3,135.3,167.3,168.5,178.2,203.6,82.4,141.9
DL,261.9,243.6,207.0,259.3,83.6,172.8,76.0,198.6,139.0,258.0,274.1,160.2,0.0,169.5,189.6,105.3,52.5,194.9,331.2,235.4,124.8,56.5,214.9,253.8,279.1,105.3,233.2,224.4,145.5,164.0,325.1,109.7,287.2,92.5,200.2,180.2,62.6,223.0,209.8,2198.1,250.8,254.2,109.2,278.0,162.6,291.5,238.0,242.3,93.5,203.2,273.6,103.2,103.1,333.2,217.0,55.8,9.1,140.4,199.8,141.2,306.5,153.7,215.9,213.5,168.8,263.3,85.2,65.7,235.0,264.9,132.2,136.7,117.0,112.5,101.2,268.6,273.1,250.3,138.7,95.4,143.6,223.7,61.4,316.8,190.2,264.9,182.2,124.4,91.2,24.9,223.6,354.2,343.4,79.1,132.7,366.6,79.3,332.0,241.9,209.4,136.7,153.8,332.7,183.2,231.3,65.5,14.0,147.8,147.2,203.7,213.4,211.6,130.9,88.2
DM,150.4,195.1,106.1,212.1,192.3,76.0,151.8,151.4,113.1,136.5,162.6,9.2,165.3,0.0,141.6,214.0,185.2,147.7,184.8,184.0,219.3,189.2,167.7,84.2,132.9,74.0,186.0,176.4,81.8,66.0,178.7,138.7,175.7,143.3,88.7,132.2,114.4,174.5,98.3,2263.8,149.9,142.7,108.4,230.8,85.0,137.5,186.6,130.8,202.2,155.2,171.1,87.2,132.1,286.0,105.5,121.1,158.2,194.8,148.4,181.8,149.6,55.7,168.7,43.9,81.2,203.2,93.0,198.4,187.8,217.7,186.6,177.3,167.2,211.5,155.6,221.4,161.6,203.1,141.7,86.4,117.7,54.1,170.1,202.5,20.6,217.7,134.2,135.2,150.3,175.6,175.1,242.7,233.8,105.6,61.7,255.1,163.4,284.8,109.8,162.2,55.9,105.8,223.1,82.3,184.1,198.2,179.4,99.8,201.6,156.5,179.8,160.2,111.5,172.3
DO,229.1,165.9,113.8,181.6,173.9,128.9,177.2,120.9,137.7,210.6,241.3,152.2,179.8,142.9,0.0,195.6,199.7,117.2,250.2,114.6,173.2,221.5,68.9,169.7,190.9,88.5,155.5,81.8,66.9,70.8,244.1,111.8,254.4,162.9,167.4,42.9,128.9,145.3,177.0,2298.3,157.6,221.4,142.2,200.3,137.9,202.9,102.9,209.5,183.8,13.5,180.4,140.1,117.9,255.5,184.2,135.6,172.7,160.8,95.5,135.7,215.0,85.9,69.9,133.2,206.9,139.9,107.5,212.9,157.3,187.2,152.6,131.2,121.1,165.4,129.9,190.9,240.3,172.6,95.6,100.9,133.2,143.4,175.5,223.6,138.1,187.2,63.1,89.1,164.8,202.6,145.9,263.8,250.2,166.5,114.6,251.3,154.0,248.3,156.6,131.7,108.8,24.2,239.5,90.0,85.3,212.5,193.9,30.2,167.6,39.7,49.4,71.2,126.0,146.4
DR,326.8,256.0,225.8,283.2,15.0,162.2,79.9,222.5,123.7,322.9,339.0,187.0,107.3,221.5,184.7,0.0,120.7,218.8,359.4,259.3,37.6,105.2,222.6,263.7,293.1,129.2,257.1,209.7,156.1,189.6,353.3,104.2,352.1,120.8,265.1,165.5,86.5,246.9,274.7,2125.8,257.2,319.1,116.2,316.0,214.6,312.1,233.3,307.2,5.6,198.9,282.6,152.1,110.3,355.1,281.9,79.7,100.2,98.4,223.7,108.1,328.6,198.4,192.0,228.3,233.7,257.7,109.1,133.6,258.9,288.8,91.6,103.6,60.0,66.0,87.5,292.5,338.0,284.7,87.6,119.3,128.3,238.5,40.0,320.2,210.8,288.8,206.1,148.3,67.5,85.3,247.2,364.9,352.4,128.0,181.6,352.9,74.6,316.2,265.8,233.3,185.6,176.6,341.7,203.1,215.7,95.2,121.4,171.7,94.0,224.5,234.2,235.5,126.4,62.8
DV,303.5,256.4,218.9,275.9,100.6,236.6,121.6,216.7,156.0,299.6,315.7,179.7,69.6,228.7,206.6,117.6,0.0,211.9,371.9,253.5,141.8,46.7,231.9,256.8,286.2,123.4,250.2,241.4,162.5,209.6,365.8,126.7,328.8,101.3,241.8,197.2,79.6,240.0,282.8,2166.5,254.0,295.8,109.3,296.1,221.8,332.2,256.1,283.0,110.1,221.3,276.8,161.4,121.2,347.8,258.6,72.8,62.5,157.4,216.8,158.2,321.7,192.6,232.9,221.4,210.4,269.6,102.2,13.1,251.6,283.0,150.6,154.8,144.3,129.5,118.2,286.7,314.7,277.8,155.7,112.4,160.6,231.6,78.7,312.9,203.9,281.9,200.3,141.4,79.7,59.9,241.7,394.9,345.5,125.6,178.3,346.0,96.3,348.6,258.9,226.4,194.9,170.8,334.4,196.2,248.3,56.7,96.5,164.4,164.2,220.7,230.4,228.6,119.5,109.6
EC,126.9,48.6,69.7,64.3,216.5,136.4,186.9,3.7,157.1,106.0,89.4,159.0,189.5,149.7,118.0,238.2,209.4,0.0,154.3,61.9,228.6,213.4,110.3,75.2,88.0,98.2,38.2,123.2,124.0,98.5,148.2,162.9,152.2,172.6,152.0,132.2,138.6,28.0,120.6,2307.8,54.7,119.2,151.9,83.0,145.4,107.0,76.8,107.3,226.4,106.0,77.5,165.4,156.3,138.2,127.8,145.3,182.4,220.0,38.6,194.4,119.1,113.6,111.3,109.4,152.6,70.1,117.2,222.6,40.0,69.9,211.8,189.9,197.8,220.8,180.8,73.6,138.1,55.3,183.9,110.6,161.7,99.2,194.3,120.7,129.0,69.9,134.2,142.5,174.5,199.8,28.6,146.5,147.3,191.8,139.9,134.0,187.6,137.0,60.7,14.4,134.1,105.8,136.6,88.8,92.6,222.4,203.6,99.8,226.8,99.1,70.0,50.4,135.7,196.5
EI,73.6,156.2,161.1,177.1,346.0,250.9,316.4,125.7,286.6,77.6,55.6,192.2,319.0,182.9,236.7,367.7,338.9,129.4,0.0,196.9,358.1,342.9,227.8,98.6,94.0,227.7,133.5,240.7,259.3,196.5,5.4,292.4,28.9,302.1,143.7,261.7,268.1,135.6,168.1,2392.9,117.3,88.4,281.4,76.9,259.9,45.3,199.5,112.0,355.9,224.7,96.8,262.1,285.8,157.2,127.1,274.8,311.9,349.5,161.3,323.9,33.2,207.9,252.3,138.9,175.0,203.5,246.7,352.1,87.2,79.4,341.3,319.4,327.3,350.3,310.3,119.9,62.1,101.6,319.2,240.1,329.8,128.7,323.8,61.2,162.2,79.4,263.7,312.7,304.0,329.3,136.2,125.7,54.8,288.5,236.6,117.1,317.1,131.5,122.7,114.8,230.8,235.3,65.5,178.5,215.3,351.9,333.1,229.3,356.3,201.4,192.7,173.1,265.2,326.0
EQ,158.4,100.4,103.5,104.3,258.6,217.2,236.6,66.9,194.3,137.5,165.9,210.7,239.0,191.0,107.6,234.6,259.2,63.2,185.8,0.0,257.9,261.9,77.1,106.7,119.5,143.5,101.5,73.1,151.6,145.3,179.7,196.5,183.7,222.1,129.5,116.0,188.1,91.3,170.1,2339.3,83.6,150.7,201.4,160.4,194.9,138.5,66.2,140.3,240.2,95.0,110.0,210.9,202.6,199.5,136.2,194.8,231.9,201.7,7.8,216.9,155.0,133.4,78.1,147.0,184.1,35.9,166.7,272.1,80.0,127.5,232.7,204.3,220.8,250.1,214.6,136.6,169.6,129.1,180.3,160.1,189.8,136.8,220.8,146.6,170.3,133.2,157.6,173.8,225.8,249.3,91.6,251.2,178.8,237.3,185.4,197.3,238.7,177.0,92.2,77.7,179.6,118.7,168.1,127.3,82.0,297.2,253.1,124.7,252.3,68.7,78.4,46.4,185.2,241.9
EU,340.3,274.5,232.8,290.2,30.0,169.2,94.9,229.5,118.1,318.1,352.5,212.7,122.3,222.0,179.1,53.1,135.4,225.8,366.4,254.2,0.0,119.2,217.0,270.7,300.1,136.2,264.1,204.1,150.5,209.2,360.3,98.6,365.6,97.2,278.6,159.9,93.5,253.9,288.2,2174.7,266.8,332.6,123.6,308.9,215.1,319.1,248.1,320.7,41.3,192.7,289.6,148.4,104.7,364.1,295.4,86.7,115.2,67.5,230.7,102.5,331.2,198.9,205.5,235.3,247.2,272.5,116.1,148.6,265.9,295.8,59.3,87.1,54.4,19.1,79.8,299.5,351.5,281.2,82.0,126.3,122.7,245.5,55.2,332.8,217.8,295.8,209.9,155.3,82.5,100.3,254.5,372.4,359.4,124.3,177.9,359.9,51.0,329.7,272.8,240.3,181.9,171.0,348.7,210.1,230.5,110.2,136.4,177.0,56.3,218.9,228.6,242.5,139.3,43.4
EV,295.4,231.0,200.8,258.2,82.5,163.8,74.1,197.5,137.9,291.5,307.6,162.0,51.5,189.6,188.5,99.9,45.6,193.8,334.4,234.3,123.7,0.0,213.8,238.7,268.1,104.2,232.1,223.3,144.4,164.6,328.3,108.6,320.7,83.2,233.7,179.1,61.5,221.9,243.3,2190.2,234.8,287.7,91.2,291.0,146.2,287.1,236.9,275.8,92.4,202.1,258.6,138.8,102.0,330.1,250.5,54.7,44.4,139.3,198.7,140.1,303.6,154.3,214.8,203.3,202.3,262.2,84.1,58.8,233.9,258.1,132.5,135.6,111.9,111.4,100.1,267.5,306.6,259.7,137.6,94.3,142.5,213.5,60.6,295.2,185.8,263.8,181.1,123.3,62.3,41.8,222.2,340.4,327.4,114.7,168.3,327.9,78.2,330.9,240.8,208.3,172.3,152.7,316.7,178.1,230.2,9.9,65.6,146.7,146.1,202.6,212.3,210.5,101.4,91.9
FA,209.7,127.9,113.3,146.7,213.0,178.1,222.9,110.0,132.2,188.8,217.2,201.4,225.5,192.1,81.5,194.6,245.4,106.3,237.1,82.8,221.0,260.9,0.0,151.2,170.8,134.2,144.6,12.9,106.3,120.0,231.0,151.2,235.0,208.6,188.0,47.0,174.6,134.4,164.2,2277.2,137.5,202.0,187.9,189.4,187.1,189.8,31.0,190.1,203.5,72.7,160.3,189.3,157.3,244.6,171.4,181.3,218.4,165.0,82.4,154.8,201.9,135.1,16.0,153.0,256.1,68.0,153.2,258.6,146.4,176.3,171.7,170.6,160.5,192.8,169.3,180.0,220.9,161.7,135.0,146.6,127.7,142.8,214.9,203.5,165.0,176.3,112.3,128.5,210.5,242.0,135.0,252.9,230.1,215.7,163.8,240.4,193.4,194.4,143.5,120.8,158.0,73.4,219.4,139.2,13.4,251.9,239.6,79.4,196.9,45.8,55.5,77.3,171.7,185.8
FM,98.6,99.3,60.6,182.7,259.0,152.2,229.4,86.5,239.3,52.2,80.6,112.3,232.0,84.2,139.5,276.4,251.9,90.2,100.5,99.7,271.1,254.9,130.6,0.0,48.6,136.5,115.5,143.5,160.6,97.8,94.4,205.4,105.9,215.1,104.5,177.7,181.1,90.2,69.4,2377.4,74.5,83.4,192.7,177.5,161.2,53.2,102.3,73.0,268.9,126.9,86.8,163.4,198.8,254.0,76.6,187.8,224.9,272.1,64.1,236.9,69.7,101.5,149.6,40.2,114.2,106.3,159.7,265.1,144.2,180.0,255.7,232.4,246.0,263.3,223.3,150.6,102.3,143.1,220.5,153.1,234.8,30.0,237.1,119.9,63.5,180.0,182.3,214.0,217.0,242.3,90.8,183.9,149.5,189.8,137.9,195.8,230.1,230.4,25.5,123.1,132.1,153.9,138.8,79.8,118.1,264.9,246.1,147.9,269.3,104.2,95.5,75.9,178.2,243.8
FX,73.6,62.1,67.0,134.0,258.1,163.2,228.5,37.8,240.2,19.6,66.0,152.2,231.1,142.9,159.6,279.8,251.0,41.5,85.9,124.1,270.2,255.0,151.9,58.6,0.0,139.8,69.7,164.8,165.6,108.8,79.8,204.5,91.3,214.2,97.8,173.8,180.2,41.5,128.1,2349.4,23.2,65.9,193.5,152.1,172.2,38.6,126.7,54.0,268.0,147.6,38.1,174.4,197.9,214.4,81.2,186.9,224.0,273.0,88.5,236.0,50.7,120.2,158.2,98.9,129.1,143.3,158.8,264.2,71.5,101.4,253.4,231.5,239.4,262.4,222.4,105.1,84.8,86.8,225.5,152.2,235.7,88.7,235.9,81.3,122.2,101.4,175.8,184.1,216.1,241.4,42.1,165.9,107.9,200.8,148.9,178.3,229.2,181.7,73.7,45.9,143.1,147.4,97.2,90.8,142.5,264.0,245.2,141.4,268.4,128.6,119.9,100.3,177.3,238.1
GG,193.3,134.4,96.5,153.9,118.2,63.8,88.8,91.1,58.8,181.8,205.5,67.1,91.2,81.7,84.2,139.8,111.4,89.5,230.1,100.6,130.3,114.1,109.5,132.3,163.8,0.0,127.8,116.9,40.1,74.4,224.0,64.6,218.6,74.3,129.5,74.8,40.3,117.6,139.1,2209.5,127.9,185.6,53.6,186.7,47.1,182.8,130.5,175.2,128.1,98.4,154.3,73.5,58.0,225.8,148.4,51.2,84.1,121.7,92.3,96.1,197.2,64.1,110.5,99.0,116.1,145.1,18.9,124.3,129.6,153.8,114.9,80.0,99.5,122.5,82.5,162.9,204.5,153.3,100.0,12.3,63.4,109.2,96.3,188.8,81.5,159.5,74.7,44.2,78.0,101.5,117.9,235.6,221.0,99.5,43.1,223.6,89.3,224.5,136.5,104.0,51.3,48.4,210.3,73.8,125.9,124.1,109.5,40.3,128.5,98.3,108.0,106.2,37.4,107.2
GO,100.5,76.2,117.0,26.1,302.0,183.7,234.2,43.5,221.2,88.4,82.5,206.3,236.8,197.0,216.2,283.6,256.7,47.2,117.2,137.4,310.0,260.7,166.5,127.4,68.7,145.5,0.0,179.4,223.7,145.8,111.1,210.2,104.6,219.9,199.3,184.0,185.9,98.0,167.9,2362.0,81.3,115.3,199.2,76.1,192.7,90.2,141.9,122.8,292.5,204.2,76.2,212.7,203.6,131.3,175.1,192.6,229.7,254.0,134.9,243.8,85.2,160.9,139.2,156.7,197.9,124.3,164.5,269.9,33.1,63.0,260.7,272.3,295.9,281.8,228.1,66.7,134.2,48.4,270.4,157.9,216.7,146.5,241.6,82.8,176.3,63.0,181.5,236.5,221.8,247.1,97.3,139.6,100.1,239.1,187.2,127.1,234.9,126.4,108.0,32.6,181.4,210.4,89.4,136.1,162.9,269.7,250.9,147.1,285.9,177.3,169.8,150.2,183.0,243.8
GU,222.6,144.3,126.2,159.6,200.4,195.9,213.5,122.9,132.4,201.7,230.1,190.0,216.1,179.2,68.6,198.1,236.0,119.2,250.0,87.4,199.7,249.0,12.9,164.1,183.7,120.6,157.5,0.0,93.4,107.1,243.9,138.3,247.9,199.2,203.7,34.1,165.2,147.3,177.1,2290.1,147.8,214.9,178.5,216.4,174.2,202.7,43.9,203.0,203.7,82.2,173.2,176.4,144.4,255.5,184.3,171.9,209.0,165.2,95.3,155.0,219.2,162.0,28.9,169.5,243.2,68.3,143.8,249.2,159.3,189.2,170.8,146.1,147.6,191.9,156.4,192.9,233.8,185.1,122.1,137.2,127.9,155.7,201.8,210.8,174.4,189.2,99.4,115.6,201.1,229.1,147.9,265.8,243.0,202.8,150.9,253.3,180.5,207.3,156.4,133.7,145.1,60.5,232.3,126.3,26.3,239.0,230.2,66.5,194.1,58.7,68.4,90.2,162.3,168.7
