from_stop,AD,AO,CC,CO,CX,DO,DV,EB,EC,ED,EG,EH,EX,FB,FD,FF,FI,FL,FQ,FT,GF,GG,GJ,GN,GO,GQ,HR,IK,IO,IT,JB,JF,JH,JO,JT,JU,JW,JZ,KN,KV,KW,LD,LK,LU,LX,MG,MQ,ND,NH,NI,NO,NX,OH,OI,OR,PA,PE,PR,PX,PY,PZ,QB,QK,QO,RB,RD,RH,RL,RT,RY,SE,SM,TD,TW,TZ,UM,UU,UV,UX,VB,VH,VN,VV,WC,WF,WM,WR,WU,XN,XO,XX,XZ,YO,ZA,ZE,ZI,ZJ,ZV,ZX
FL,178.2,364.8,301.9,236.7,213.8,387.0,283.6,321.6,290.4,224.0,200.8,142.2,437.7,379.9,251.2,285.8,411.6,0.0,145.8,396.0,166.9,234.2,156.4,424.4,289.1,327.9,217.9,344.0,266.9,269.0,238.0,319.2,88.6,448.3,119.9,108.2,330.9,40.0,103.4,343.8,153.6,318.8,88.2,343.5,107.8,359.2,273.6,320.3,177.4,385.5,176.5,130.7,386.1,162.4,199.9,377.7,340.8,195.1,263.5,99.2,191.0,113.1,457.1,45.6,320.4,59.7,226.8,247.2,417.7,195.3,301.5,291.3,401.8,362.7,418.2,487.9,237.9,122.9,261.6,380.7,413.7,1777.6,388.8,293.7,7.3,253.7,240.9,129.7,119.4,25.1,219.3,140.1,131.9,178.9,260.3,69.7,259.1,369.3,233.3
FQ,204.6,390.7,327.8,266.8,240.2,480.8,377.4,324.2,384.2,246.2,226.7,165.8,513.5,473.7,277.6,379.6,487.4,129.1,0.0,421.9,260.7,328.0,250.2,500.2,364.9,421.7,240.1,369.9,365.2,362.8,263.9,413.0,115.5,520.4,8.8,37.5,329.0,133.8,179.2,442.1,247.4,412.6,156.8,369.4,176.4,458.5,356.1,346.2,203.3,479.3,202.4,9.9,476.3,188.3,293.7,468.7,434.6,221.0,357.3,200.0,284.8,186.2,532.9,95.9,346.3,153.5,252.7,341.0,418.0,221.2,395.3,392.2,500.1,438.5,516.5,563.7,263.8,167.0,288.0,474.5,409.5,1803.5,464.6,387.5,136.4,347.5,334.7,153.3,145.3,118.9,241.5,233.9,225.7,272.7,354.1,101.0,281.3,463.1,327.1
FT,656.0,633.9,571.0,632.9,706.4,850.3,748.3,713.3,779.1,596.0,469.9,617.2,899.7,777.9,706.5,677.7,873.6,558.1,574.2,0.0,655.6,670.5,660.8,886.4,751.1,730.2,589.9,613.1,760.5,706.0,507.1,700.6,559.1,904.2,562.0,536.6,715.2,585.2,565.4,750.3,595.9,734.0,608.2,612.6,627.8,757.2,762.9,158.1,492.6,801.3,552.2,562.8,854.8,538.1,704.3,811.9,781.9,464.2,673.4,592.9,707.9,637.6,919.1,547.3,589.5,604.9,495.9,692.2,804.2,571.0,751.3,705.7,804.3,824.7,813.7,949.9,507.0,553.2,716.9,857.4,795.7,1834.3,850.8,696.0,544.7,754.8,698.5,604.7,495.1,570.3,484.7,685.3,617.6,671.1,670.2,524.0,524.5,767.3,737.7
GF,309.6,513.3,450.4,372.6,360.0,271.0,167.6,210.1,174.4,368.8,349.3,270.8,459.7,263.9,382.6,169.8,433.6,183.0,281.9,544.5,0.0,118.2,11.9,446.4,279.2,211.9,362.7,492.5,155.4,153.0,386.5,203.2,212.7,464.2,251.3,249.9,214.9,138.9,259.2,232.0,97.1,202.8,219.6,492.0,239.2,243.2,157.6,468.8,325.9,269.5,325.0,276.1,270.1,310.9,107.2,258.9,224.8,343.6,147.5,113.1,164.1,249.0,479.1,177.0,468.9,173.6,375.3,131.2,306.2,343.8,185.5,179.8,290.3,389.4,297.6,479.5,386.4,200.6,393.0,264.7,297.7,1926.1,410.8,177.7,194.0,137.7,124.9,258.3,267.9,153.8,364.1,219.8,75.4,62.9,144.3,212.6,403.9,253.3,117.3
GG,348.7,489.6,426.7,382.0,399.1,205.9,102.5,152.2,109.3,345.1,325.6,309.9,411.1,203.1,421.7,109.0,385.0,200.9,266.9,520.8,114.8,0.0,104.3,397.8,218.4,151.1,339.0,468.8,90.3,87.9,362.8,132.7,251.8,418.0,254.7,229.3,154.1,182.8,218.0,171.2,112.2,137.7,263.5,468.3,283.1,182.4,92.5,445.1,302.2,204.4,301.3,255.5,205.0,287.2,151.1,193.8,159.7,319.9,86.7,155.4,208.0,292.9,430.5,215.8,445.2,176.9,351.6,20.4,245.4,320.1,120.4,121.6,229.5,328.6,232.5,418.7,362.7,172.5,432.1,199.6,236.9,1902.4,362.2,116.9,187.5,83.0,26.7,297.4,244.2,197.7,340.4,263.7,119.3,106.2,83.5,188.9,380.2,192.5,82.6
GJ,297.7,501.4,438.5,360.7,348.1,259.1,155.7,201.1,162.5,356.9,337.4,258.9,447.8,252.0,370.7,157.9,421.7,171.1,270.0,532.6,10.4,106.3,0.0,434.5,267.3,200.0,350.8,480.6,143.5,141.1,374.6,191.3,200.8,452.3,239.4,238.0,203.0,127.0,247.3,220.1,85.2,190.9,207.7,480.1,227.3,231.3,145.7,456.9,314.0,257.6,313.1,264.2,258.2,299.0,95.3,247.0,212.9,331.7,135.6,101.2,152.2,237.1,467.2,165.1,457.0,161.7,363.4,119.3,294.3,331.9,173.6,170.5,278.4,377.5,285.7,467.6,374.5,188.7,381.1,252.8,285.8,1914.2,398.9,165.8,182.1,125.8,113.0,246.4,256.0,141.9,352.2,207.9,63.5,51.0,132.4,200.7,392.0,241.4,105.4
GN,578.9,719.8,656.9,612.2,629.3,186.2,326.7,305.2,267.2,575.3,555.8,540.1,13.3,256.3,651.9,324.4,21.4,431.1,497.1,751.0,402.1,358.3,407.3,0.0,245.5,325.0,569.2,699.0,314.5,352.7,593.0,295.4,482.0,28.5,484.9,459.5,310.0,431.7,448.2,345.1,342.4,328.8,506.9,698.5,526.5,356.3,282.5,675.3,532.4,191.2,531.5,485.7,173.6,517.4,450.8,201.8,267.7,550.1,320.1,385.6,486.1,536.3,43.4,446.0,675.4,407.1,581.8,380.0,194.1,550.3,346.1,352.4,224.8,136.2,162.9,74.2,592.9,402.7,662.3,220.3,202.0,1726.2,42.8,290.8,417.7,361.2,386.3,527.6,474.4,451.6,570.6,521.9,364.1,417.6,316.9,419.1,610.4,366.4,360.8
GO,441.7,582.6,519.7,475.0,492.1,119.6,196.5,145.8,185.6,438.1,418.6,402.9,256.7,121.6,514.7,187.2,252.1,293.9,359.9,613.8,264.9,221.1,270.1,243.4,0.0,138.2,432.0,561.8,208.7,213.4,455.8,136.0,344.8,281.6,347.7,322.3,130.0,294.5,311.0,132.0,205.2,169.3,369.7,561.3,389.3,100.9,200.9,538.1,395.2,91.0,394.3,348.5,135.6,380.2,313.6,101.6,125.6,412.9,182.9,248.4,348.9,399.1,274.8,308.8,538.2,269.9,444.6,228.4,53.0,413.1,186.6,208.6,94.0,154.2,96.3,244.3,455.7,265.5,525.1,147.1,44.5,1794.3,253.0,131.4,280.5,279.6,234.7,390.4,337.2,314.4,433.4,384.7,226.9,280.4,179.7,281.9,473.2,111.0,279.2
GQ,445.0,585.9,523.0,478.3,495.4,165.2,106.4,58.3,100.9,441.4,421.9,406.2,324.7,105.6,518.0,132.8,298.6,297.2,363.2,617.1,234.2,149.3,223.7,311.4,120.9,0.0,435.3,565.1,118.6,123.3,459.1,34.9,348.1,329.2,351.0,325.6,36.0,297.8,314.3,20.0,208.5,79.0,373.0,564.6,392.6,84.9,116.2,541.4,398.5,129.0,397.6,351.8,164.3,383.5,270.5,139.6,92.5,416.2,176.6,251.7,327.4,402.4,344.1,312.1,541.5,273.2,447.9,138.3,147.9,416.4,96.3,120.9,132.0,231.1,141.4,321.2,459.0,268.8,528.4,158.9,139.4,1871.2,275.8,100.6,283.8,194.9,144.6,393.7,340.5,317.1,436.7,383.1,230.2,225.6,173.4,285.2,476.5,95.0,189.1
HR,188.1,335.7,272.8,51.0,173.3,572.7,469.3,386.4,476.1,54.3,223.6,149.3,572.8,451.0,136.3,350.8,546.7,217.3,248.8,418.8,352.6,419.9,342.1,559.5,424.2,403.3,0.0,314.9,457.1,454.5,260.8,373.7,152.7,577.3,224.8,216.8,388.3,225.7,238.5,423.7,339.3,407.1,248.7,314.4,268.3,435.8,448.0,343.1,124.0,474.4,48.2,243.0,568.2,43.0,385.6,560.6,526.5,217.9,346.5,291.9,376.7,278.1,592.2,187.8,291.3,248.3,249.6,432.9,477.3,18.8,487.2,378.8,477.4,497.8,493.8,623.0,260.7,226.3,146.7,566.4,468.8,1800.4,523.9,369.1,228.3,439.4,426.6,154.8,84.7,210.8,238.4,325.8,317.7,364.6,343.3,192.9,226.3,440.4,419.0
IK,489.4,20.7,143.2,416.6,539.8,683.7,581.7,546.7,612.5,280.8,184.5,450.6,733.1,611.3,490.2,511.1,707.0,391.5,407.6,450.9,489.0,503.9,494.2,719.8,584.5,563.6,353.8,0.0,593.9,539.4,248.6,534.0,392.5,737.6,395.4,370.0,548.6,418.6,398.8,583.7,429.3,567.4,441.6,56.2,461.2,590.6,596.3,375.2,201.1,634.7,325.2,396.2,688.2,386.9,537.7,645.3,615.3,178.8,506.8,426.3,541.3,471.0,752.5,380.7,62.1,438.3,210.5,525.6,637.6,334.9,584.7,539.1,637.7,658.1,647.1,783.3,221.6,386.6,500.6,690.8,629.1,1832.5,684.2,529.4,378.1,588.2,531.9,438.1,328.5,403.7,199.3,518.7,451.0,504.5,503.6,357.4,75.9,600.7,571.1
IO,401.8,589.6,526.7,464.8,387.0,136.0,12.2,88.5,39.4,445.1,425.6,363.0,402.1,139.0,474.8,82.2,384.0,281.2,366.9,620.8,163.1,98.7,152.6,388.8,213.6,129.4,439.0,568.8,0.0,72.7,462.8,104.5,304.9,417.0,350.1,329.3,121.3,231.1,351.4,109.5,189.3,67.8,311.8,568.3,331.4,177.6,11.3,545.1,402.2,134.5,401.3,355.5,131.5,387.2,199.4,123.9,89.8,419.9,133.6,212.3,258.5,341.2,429.5,269.2,545.2,265.8,451.6,85.7,201.0,420.1,50.5,49.9,165.0,299.6,176.3,389.7,462.7,292.8,485.2,129.7,208.9,2002.4,361.2,112.1,286.2,87.1,83.9,350.5,344.2,246.0,440.4,312.0,167.7,154.5,130.4,288.9,480.2,187.7,86.7
IT,385.0,538.1,475.2,418.8,370.2,170.0,66.8,124.3,73.6,393.6,374.1,346.2,386.7,173.2,458.0,26.9,358.6,242.1,315.6,569.3,146.3,61.4,135.8,371.4,210.0,142.7,387.5,517.3,54.4,0.0,411.3,119.0,299.9,391.8,309.8,283.8,145.7,214.3,266.5,143.5,160.7,102.0,295.0,516.8,314.6,179.5,45.5,493.6,350.7,168.7,349.8,304.0,165.7,335.7,182.6,157.9,124.0,368.4,78.3,194.8,241.7,324.4,406.1,252.4,493.7,222.5,400.1,48.4,235.2,368.6,84.7,104.6,199.0,320.2,210.3,410.3,411.2,221.0,468.4,163.9,228.5,1950.9,337.2,108.5,236.0,84.3,56.7,333.9,292.7,229.4,388.9,295.2,150.9,137.7,75.1,250.5,428.9,184.1,83.9
JB,381.3,268.4,205.5,377.9,431.7,575.6,473.6,435.7,504.4,242.1,95.3,342.5,625.0,503.2,451.5,403.0,598.9,283.4,299.5,363.9,380.9,395.8,386.1,611.7,476.4,455.5,315.1,247.6,485.8,431.3,0.0,425.9,284.4,629.5,287.3,261.9,440.5,310.5,290.7,475.6,321.2,459.3,333.5,247.1,353.1,482.5,488.2,288.2,162.4,526.6,286.5,288.1,580.1,348.2,429.6,537.2,507.2,98.7,398.7,318.2,433.2,362.9,644.4,272.6,224.0,330.2,118.6,417.5,529.5,296.2,476.6,433.6,529.6,550.0,539.0,675.2,101.5,278.5,461.9,582.7,521.0,1745.5,576.1,421.3,270.0,480.1,423.8,330.0,220.4,295.6,80.7,410.6,342.9,396.4,395.5,249.3,159.0,492.6,463.0
JF,395.6,536.5,473.6,428.9,446.0,189.7,86.3,24.4,93.1,392.0,372.5,356.8,331.2,130.1,468.6,83.0,305.1,247.8,313.8,567.7,211.0,122.2,200.5,317.9,142.4,45.0,385.9,515.7,98.5,110.1,409.7,0.0,298.7,338.1,301.6,276.2,29.2,248.4,264.9,65.1,159.1,48.0,323.6,515.2,343.2,116.7,101.7,492.0,349.1,160.8,348.2,302.4,188.8,334.1,247.3,171.4,124.0,366.8,119.6,202.3,302.8,353.0,350.6,262.7,492.1,223.8,398.5,125.1,179.7,367.0,65.3,43.7,163.8,262.9,173.2,353.0,409.6,219.4,479.0,183.4,171.2,1949.3,282.3,51.2,234.4,180.4,131.4,344.3,291.1,268.3,387.3,338.6,180.8,202.4,116.4,235.8,427.1,126.8,175.9
JH,89.0,381.7,318.8,148.1,124.6,419.9,324.3,359.0,331.1,227.9,217.7,58.0,504.5,420.6,162.0,326.5,478.4,76.0,96.0,412.9,207.6,274.9,197.1,491.2,435.9,368.6,169.5,360.9,304.3,309.7,254.9,359.9,0.0,513.0,73.2,71.8,371.6,80.7,170.2,389.0,194.3,359.5,103.7,360.4,123.3,399.9,314.3,337.2,194.3,426.2,185.6,98.0,426.8,179.3,240.6,415.6,381.5,212.0,304.2,139.9,231.7,133.1,523.9,42.8,337.3,100.4,243.7,287.9,455.1,192.4,342.2,328.7,447.0,429.5,455.6,554.7,254.8,163.6,172.4,421.4,454.4,1794.5,455.6,334.4,83.3,294.4,281.6,33.7,136.3,65.8,224.7,180.8,172.6,219.6,301.0,54.7,264.5,410.0,274.0
