from_stop,AF,AI,AK,AQ,AT,BO,BV,CC,CE,CO,CP,DB,DK,DN,DR,DW,EB,EF,EJ,EN,EP,ET,FF,FJ,FL,FO,FQ,FR,FT,FW,FX,FZ,GD,GG,GI,GK,GR,GT,GV,HA,HB,HG,HH,HO,HP,HT,IF,IS,IT,IY,IZ,JE,JM,JP,JV,KB,KE,KH,KL,KN,KO,KP,KS,LC,ME,MH,ML,MW,NB,NK,NO,NT,NU,NX,NZ,OE,OG,OK,PC,PD,PE,PG,PP,QD,QH,QY,RD,RN,SJ,SL,SU,SX,TE,TL,TO,TS,TY,UL,UM,UV,VA,VF,VR,VV,VX,WA,WE,WR,WW,WY,XC,XI,XO,YE,YF,YI,YJ,YT,YX,YY,ZE,ZT
CP,517.1,813.8,321.8,640.3,48.0,529.0,312.6,618.6,505.9,465.4,0.0,139.1,205.1,548.3,790.3,570.9,540.0,850.1,312.1,399.6,524.9,281.7,865.4,347.8,316.6,162.6,610.3,256.9,143.5,1304.8,360.8,485.0,212.3,436.9,200.7,1306.7,192.6,1340.4,285.8,1383.3,564.9,188.3,471.7,525.8,269.4,232.9,194.0,521.8,612.3,507.4,285.8,303.1,362.9,1328.7,287.9,577.5,451.2,286.4,123.7,396.9,266.1,238.9,564.4,1317.7,502.7,240.0,1281.5,329.3,551.0,1776.1,348.1,672.5,509.1,524.8,654.1,842.1,1317.2,532.3,1318.5,553.7,530.8,191.0,67.6,502.1,923.9,7.2,628.2,1283.8,1305.9,680.5,152.2,117.4,603.5,575.8,129.1,617.8,633.1,241.2,201.6,703.3,340.4,783.9,452.2,44.2,654.7,533.3,419.9,550.6,810.8,508.2,216.1,265.0,576.9,178.8,589.5,628.9,109.3,540.8,190.4,97.2,649.5,491.2
DB,546.7,693.7,351.4,520.2,164.1,558.6,192.5,498.5,535.5,495.0,153.9,0.0,60.3,577.9,670.2,450.8,569.6,730.0,192.0,429.2,404.8,161.6,745.3,377.4,196.5,42.5,490.2,286.5,173.1,1184.7,390.4,514.6,92.2,466.5,80.6,1186.6,82.5,1220.3,315.4,1263.2,594.5,93.0,351.6,555.4,299.0,112.8,73.9,551.4,492.2,537.0,165.7,183.0,242.8,1208.6,167.8,457.4,480.8,166.3,139.4,426.5,295.7,118.8,594.0,1197.6,532.3,269.6,1161.4,209.2,430.9,1805.7,228.0,702.1,538.7,554.4,683.7,722.0,1197.1,561.9,1198.4,583.3,560.4,70.9,85.2,531.7,803.8,146.6,508.1,1163.7,1185.8,560.4,13.0,34.5,483.4,605.4,144.8,497.7,513.0,121.1,231.2,583.2,220.3,663.8,481.8,115.4,534.6,562.9,449.5,580.2,690.7,388.1,96.0,144.9,606.5,58.7,619.1,508.8,138.9,570.4,220.0,112.9,529.4,520.8
DK,598.2,723.1,402.9,549.6,215.6,610.1,221.9,537.3,587.0,546.5,205.4,55.9,0.0,629.4,699.6,480.2,621.1,759.4,221.4,480.7,434.2,148.2,774.7,428.9,225.9,53.9,519.6,338.0,224.6,1214.1,441.9,566.1,121.6,518.0,50.6,1216.0,83.9,1249.7,366.9,1292.6,646.0,80.9,381.0,606.9,350.5,142.2,103.3,602.9,521.6,588.5,195.1,212.4,272.2,1238.0,197.2,486.8,532.3,195.7,190.9,478.0,347.2,148.2,645.5,1227.0,583.8,321.1,1190.8,238.6,460.3,1857.2,257.4,753.6,590.2,605.9,735.2,751.4,1226.5,613.4,1227.8,634.8,611.9,40.9,136.7,583.2,833.2,198.1,537.5,1193.1,1215.2,589.8,36.3,106.3,512.8,656.9,196.3,527.1,542.4,150.5,282.7,612.6,249.7,693.2,533.3,166.9,564.0,614.4,501.0,631.7,720.1,417.5,125.4,142.2,658.0,26.2,670.6,538.2,190.4,621.9,271.5,164.4,558.8,572.3
DN,143.7,1203.7,365.9,1030.2,508.4,299.1,702.5,1008.5,189.6,196.8,498.2,529.0,595.0,0.0,1180.2,960.8,893.0,1227.6,702.0,282.0,914.8,671.6,1242.9,700.8,706.5,552.5,1000.2,464.4,470.5,1350.6,713.8,74.1,602.2,102.6,590.6,1352.5,582.5,1386.2,493.3,1299.2,254.2,578.2,861.6,295.9,596.4,622.8,583.9,45.9,1002.2,191.1,675.7,693.0,752.8,1270.9,677.8,967.4,207.0,676.3,513.6,749.9,473.6,628.8,172.5,1363.5,306.0,567.0,1327.3,719.2,940.9,1606.5,738.0,243.6,862.1,214.1,1007.1,1133.8,1363.0,14.3,1364.3,142.8,119.9,580.9,457.5,107.8,1301.4,490.9,1018.1,1329.6,1351.7,1070.4,542.1,507.3,993.4,146.9,519.0,1007.7,1023.0,631.1,528.6,1093.2,730.3,1173.8,117.9,459.7,1044.6,122.4,772.9,320.7,1168.7,898.1,606.0,654.9,929.9,568.7,278.8,1018.8,436.3,224.5,542.2,487.1,1039.4,174.9
DR,1153.9,179.3,958.6,408.5,771.3,1165.8,546.6,386.8,1142.7,1102.2,761.1,646.2,666.0,1185.1,0.0,339.1,1176.8,215.6,563.1,1036.4,335.2,590.9,230.9,984.6,567.6,627.6,186.8,893.7,780.3,670.3,997.6,1121.8,545.9,1073.7,666.0,672.2,657.6,705.9,922.6,748.8,1201.7,732.2,344.2,1162.6,906.2,574.0,593.0,1158.6,184.6,1144.2,556.5,473.3,546.7,694.2,571.3,345.7,1088.0,487.6,746.6,1033.7,902.9,548.1,1201.2,683.2,1139.5,876.8,647.0,552.1,361.3,1416.2,540.1,1309.3,1145.9,1161.6,1290.9,207.6,682.7,1169.1,684.0,1190.5,1167.6,651.9,692.4,1138.9,289.4,753.8,205.2,649.3,671.4,448.7,659.3,641.7,371.7,1212.6,752.0,386.0,163.8,516.2,838.4,471.5,437.5,149.4,1089.0,722.6,142.4,1170.1,1056.7,1187.4,176.3,318.5,542.0,596.9,1213.7,639.7,1226.3,168.0,746.1,1177.6,827.2,720.1,417.7,1128.0
DW,952.3,353.1,757.0,69.3,560.8,964.2,345.0,57.0,941.1,900.6,559.5,444.6,464.4,983.5,329.6,0.0,965.9,389.4,360.9,834.8,133.6,390.8,404.7,783.0,366.0,426.0,149.6,692.1,578.7,844.1,796.0,920.2,344.3,872.1,464.4,846.0,456.0,879.7,721.0,922.6,1000.1,530.6,142.6,961.0,704.6,372.4,386.5,957.0,151.6,942.6,354.9,271.7,345.1,868.0,369.7,62.6,886.4,286.0,545.0,832.1,701.3,346.5,999.6,857.0,937.9,675.2,820.8,350.5,159.7,1590.0,338.5,1107.7,944.3,960.0,1089.3,381.4,856.5,967.5,857.8,991.6,966.0,450.3,490.8,937.3,463.2,552.2,167.5,823.1,845.2,109.5,457.7,440.1,32.5,1011.0,550.4,98.2,172.4,314.6,636.8,132.3,235.9,323.2,887.4,521.0,194.0,968.5,841.1,985.8,350.1,116.9,340.4,395.3,1012.1,438.1,1024.7,168.2,544.5,976.0,625.6,518.5,134.6,926.4
EB,870.2,1229.8,674.9,1056.3,525.6,882.1,728.6,1034.6,859.0,818.5,524.3,555.1,621.1,901.4,1206.3,986.9,0.0,1266.1,727.5,752.7,940.9,699.2,1281.4,190.6,732.6,578.6,1026.3,604.0,401.5,1720.8,177.6,838.1,628.3,790.0,615.2,1722.7,695.1,1756.4,638.9,1821.9,918.0,604.3,866.5,878.9,377.6,648.9,586.3,874.9,1028.3,860.5,701.8,719.1,792.7,1744.7,703.9,993.5,797.3,702.4,539.7,141.5,619.2,654.9,896.3,1733.7,834.6,299.5,1697.5,745.3,945.8,2129.2,751.4,1025.6,60.3,877.9,150.8,1258.1,1733.2,885.4,1756.2,888.3,883.9,607.0,483.6,855.2,1339.9,517.0,1044.2,1699.8,1721.9,1096.5,568.2,512.2,1019.5,928.9,545.1,1029.1,1049.1,657.2,339.1,1098.1,756.4,1199.9,805.3,464.6,1070.7,886.4,132.5,903.7,1226.8,924.2,632.1,681.0,73.6,594.8,942.6,1044.9,444.4,872.7,568.3,513.2,1065.5,844.3
EF,1223.5,219.0,1028.2,478.1,840.9,1235.4,616.2,456.4,1212.3,1171.8,830.7,715.8,735.6,1254.7,245.4,408.7,1246.4,0.0,632.7,1106.0,404.8,660.5,15.3,1054.2,637.2,697.2,256.4,963.3,849.9,555.2,1067.2,1191.4,615.5,1143.3,735.6,557.1,727.2,590.8,992.2,633.7,1271.3,801.8,413.8,1232.2,975.8,643.6,662.6,1228.2,254.2,1213.8,626.1,542.9,616.3,579.1,640.9,415.3,1157.6,557.2,816.2,1103.3,972.5,617.7,1270.8,568.1,1209.1,946.4,531.9,621.7,430.9,1301.1,609.7,1378.9,1215.5,1231.2,1360.5,92.5,567.6,1238.7,568.9,1260.1,1237.2,721.5,762.0,1208.5,83.6,823.4,274.8,534.2,556.3,518.3,728.9,711.3,441.3,1282.2,821.6,455.6,233.4,585.8,908.0,541.1,507.1,177.1,1158.6,792.2,212.0,1239.7,1126.3,1257.0,61.2,388.1,611.6,666.5,1283.3,709.3,1295.9,237.6,815.7,1247.2,896.8,789.7,487.3,1197.6
EJ,786.1,580.3,590.8,406.8,394.6,798.0,142.8,385.1,774.9,734.4,393.3,278.4,298.2,817.3,556.8,337.4,799.7,616.6,0.0,668.6,291.4,257.4,632.5,616.8,4.4,259.8,376.8,519.9,412.5,1071.3,629.8,754.0,178.1,705.9,344.2,1073.2,289.8,1106.9,554.8,1149.8,833.9,364.4,238.2,794.8,538.4,206.2,220.2,790.8,378.8,776.4,152.7,100.7,187.9,1095.2,167.5,344.0,713.2,115.0,378.8,665.9,535.1,180.3,833.4,1084.2,771.7,509.0,1048.0,140.9,317.5,1817.2,116.3,941.5,778.1,793.8,923.1,608.6,1083.7,801.3,1106.7,825.4,800.4,284.1,324.6,771.1,690.4,386.0,394.7,1050.3,1072.4,447.0,291.5,302.9,370.0,844.8,384.2,379.6,399.6,148.4,470.6,469.8,92.9,550.4,721.2,354.8,421.2,802.3,674.9,819.6,577.3,274.7,174.2,261.9,845.9,271.9,858.5,395.4,378.3,809.8,459.4,352.3,416.0,760.2
EN,272.4,1170.3,332.5,996.8,475.0,370.7,669.1,984.5,261.2,286.4,464.8,495.6,561.6,303.6,1146.8,927.4,859.6,1179.4,668.6,0.0,881.4,638.2,1194.7,667.4,673.1,519.1,966.8,431.0,437.1,1302.4,680.4,240.3,568.8,192.2,557.2,1304.3,549.1,1338.0,459.9,1251.0,325.8,544.8,828.2,367.5,563.0,589.4,550.5,277.1,968.8,262.7,642.3,659.6,719.4,1222.7,644.4,934.0,296.6,642.9,480.2,716.5,440.2,595.4,319.7,1315.3,355.8,533.6,1279.1,685.8,907.5,1558.3,704.6,427.8,828.7,285.7,973.7,1085.6,1314.8,287.6,1316.1,309.0,286.1,547.5,424.1,257.4,1253.2,457.5,984.7,1281.4,1303.5,1037.0,508.7,473.9,960.0,331.1,485.6,974.3,989.6,597.7,495.2,1059.8,696.9,1140.4,207.5,426.3,1011.2,288.6,739.5,392.3,1120.5,864.7,572.6,621.5,896.5,535.3,350.4,985.4,402.9,296.1,508.8,453.7,1006.0,246.5
EP,928.2,369.4,732.9,195.9,545.6,940.1,320.9,174.2,917.0,876.5,535.4,420.5,440.3,959.4,345.9,126.5,951.1,405.7,337.4,810.7,0.0,365.2,421.0,758.9,341.9,401.9,165.9,668.0,554.6,860.4,771.9,896.1,320.2,848.0,440.3,862.3,431.9,896.0,696.9,938.9,976.0,506.5,118.5,936.9,680.5,348.3,367.3,932.9,167.9,918.5,330.8,247.6,321.0,884.3,345.6,133.1,862.3,261.9,520.9,808.0,677.2,322.4,975.5,873.3,913.8,651.1,837.1,326.4,23.5,1606.3,314.4,1083.6,920.2,935.9,1065.2,397.7,872.8,943.4,874.1,964.8,941.9,426.2,466.7,913.2,479.5,528.1,183.8,839.4,861.5,236.1,433.6,416.0,159.1,986.9,526.3,173.4,188.7,290.5,612.7,258.9,211.8,339.5,863.3,496.9,210.3,944.4,831.0,961.7,366.4,18.9,316.3,371.2,988.0,414.0,1000.6,184.5,520.4,951.9,601.5,494.4,205.1,902.3
ET,673.9,646.1,477.1,472.6,282.4,685.8,128.7,450.9,662.7,622.2,281.1,202.6,146.6,705.1,622.6,404.7,687.5,682.4,125.8,556.4,357.2,0.0,698.2,504.6,130.9,147.6,442.6,407.7,300.3,1137.1,517.6,641.8,73.4,593.7,86.7,1139.0,215.6,1172.7,442.6,1215.6,721.7,226.8,304.8,682.6,426.2,76.0,142.4,678.6,444.6,664.2,100.1,121.4,195.0,1161.0,101.3,409.8,601.0,104.7,266.6,553.7,422.9,50.5,720.4,1150.0,658.7,396.8,1113.8,142.7,384.1,1883.0,149.7,829.3,665.9,681.6,810.9,674.4,1149.5,689.1,1172.5,712.4,687.1,95.9,210.9,658.9,757.7,273.8,460.5,1116.1,1139.7,512.8,183.0,160.9,435.8,732.1,272.0,445.4,465.4,72.6,357.9,536.4,158.7,616.2,609.0,241.8,487.0,690.1,562.7,707.4,643.1,341.0,77.2,5.9,733.2,120.3,746.3,461.2,266.1,696.8,347.2,240.1,481.8,648.0
FF,1238.8,234.3,1043.5,493.4,856.2,1250.7,631.5,481.1,1227.6,1187.1,846.0,731.1,750.9,1270.0,260.7,424.0,1252.4,15.3,648.0,1121.3,420.1,676.3,0.0,1069.5,652.5,712.5,271.7,978.6,865.2,570.5,1082.5,1206.7,630.8,1158.6,752.4,572.4,742.5,606.1,1007.5,649.0,1286.6,817.1,429.1,1247.5,991.1,658.9,672.9,1243.5,269.5,1229.1,641.4,558.2,641.1,594.4,656.2,430.6,1172.9,572.5,831.5,1118.6,987.8,633.0,1286.1,583.4,1224.4,961.7,547.2,637.0,446.2,1316.4,625.0,1394.2,1230.8,1246.5,1375.8,107.8,582.9,1254.0,584.2,1278.1,1252.5,736.8,777.3,1223.8,98.9,838.7,290.1,549.5,571.6,533.6,744.2,755.6,456.6,1297.5,836.9,466.2,248.7,601.1,923.3,556.4,522.4,192.4,1173.9,807.5,227.3,1255.0,1141.6,1272.3,76.5,403.4,626.9,681.8,1298.6,724.6,1311.2,252.9,831.0,1262.5,912.1,805.0,502.6,1212.9
FJ,679.5,1039.1,484.2,865.6,343.8,691.4,537.9,843.9,668.3,627.8,333.6,364.4,430.4,710.7,1015.6,796.2,192.1,1075.4,537.4,562.0,750.2,507.0,1090.7,0.0,541.9,387.9,835.6,419.3,210.8,1530.1,12.9,647.4,437.6,599.3,426.0,1532.0,504.4,1565.7,448.2,1631.2,727.3,413.6,697.0,688.2,186.9,458.2,419.3,684.2,837.6,669.8,511.1,528.4,588.2,1554.0,513.2,802.8,613.6,511.7,349.0,49.0,428.5,464.2,726.8,1543.0,665.1,108.8,1506.8,554.6,776.3,1938.5,573.4,834.9,161.2,687.2,306.2,1067.4,1542.5,694.7,1543.8,716.1,693.2,416.3,292.9,664.5,1149.2,326.3,853.5,1509.1,1531.2,905.8,377.5,342.7,828.8,738.2,354.4,843.1,858.4,466.5,148.4,928.6,565.7,1009.2,614.6,295.1,880.0,695.7,72.0,713.0,1036.1,733.5,441.4,490.3,229.0,404.1,751.9,854.2,253.7,703.2,377.6,322.5,874.8,653.6
FL,781.6,575.8,586.3,402.3,399.0,793.5,138.3,380.6,770.4,729.9,388.8,273.9,293.7,812.8,552.3,332.9,804.5,612.1,154.8,664.1,286.9,251.4,627.4,612.3,0.0,255.3,372.3,521.4,408.0,1066.8,625.3,749.5,173.6,701.4,338.2,1068.7,285.3,1102.4,550.3,1145.3,829.4,359.9,233.7,790.3,533.9,201.7,220.7,786.3,374.3,771.9,148.2,96.2,169.6,1090.7,163.0,339.5,715.7,110.5,374.3,661.4,530.6,175.8,828.9,1079.7,767.2,504.5,1043.5,136.4,313.0,1812.7,124.4,937.0,773.6,789.3,918.6,604.1,1079.2,796.8,1080.5,818.2,795.3,279.6,320.1,766.6,685.9,381.5,390.2,1045.8,1067.9,442.5,287.0,269.4,365.5,840.3,379.7,379.8,395.1,143.9,466.1,465.3,88.4,545.9,716.7,350.3,416.7,797.8,684.4,815.1,572.8,270.2,169.7,257.4,841.4,267.4,854.0,390.9,373.8,805.3,454.9,347.8,411.5,755.7
