from_stop,AD,AE,AH,BB,BC,BD,BH,BK,BQ,BV,CA,CF,CL,CR,DI,DL,DP,DU,DV,EL,EQ,FA,FJ,FN,FP,FU,FX,GP,GQ,GS,GU,HH,IB,IJ,IM,IQ,IR,IY,JH,JM,JO,JQ,JT,JV,JZ,KH,KP,KV,KX,KY,LC,LD,LF,LK,LW,ME,MW,MY,ND,NM,NN,NU,NW,NY,OB,OQ,PF,PG,PH,PM,PN,PZ,QA,QB,QK,QV,RB,RH,RW,SE,SG,SK,SM,SN,ST,SV,TB,TE,TG,TN,TO,UC,UD,UF,UN,UW,VC,VK,VT,VV,WQ,WR,WT,WV,WY,XC,XF,XI,XR,XV,XY,YC,YD,YE,YG,YY,ZF,ZO,ZY
CA,525.0,198.7,487.8,186.7,353.6,384.1,495.9,170.7,65.3,488.7,0.0,662.5,368.8,412.8,295.9,353.3,213.9,268.7,528.3,500.5,377.6,411.6,520.0,437.1,409.2,171.7,399.9,143.5,274.9,233.2,197.6,382.5,479.7,217.0,144.2,229.9,388.8,659.4,188.9,455.1,429.9,44.4,288.5,151.5,390.1,183.0,381.2,499.1,411.4,633.8,256.3,262.8,507.5,238.1,520.6,188.8,400.5,365.3,388.7,179.7,256.0,54.4,502.7,181.0,507.8,519.9,392.1,612.7,10.3,533.8,441.2,428.6,330.9,149.6,337.9,180.5,457.9,218.8,18.3,383.7,334.9,171.6,202.5,382.1,437.6,119.5,176.6,460.0,138.9,85.1,378.1,203.3,158.0,172.9,229.2,701.0,169.7,329.5,540.1,582.2,198.9,479.8,560.6,174.0,408.7,403.1,24.1,207.6,639.6,1097.1,442.2,390.1,577.5,201.1,416.5,398.4,234.2,176.1,382.6
CF,393.1,677.6,355.9,748.3,759.0,811.8,364.0,614.4,690.9,305.5,708.1,0.0,776.6,506.8,706.5,758.7,689.0,775.0,396.4,547.9,783.0,869.1,567.4,573.4,836.9,657.9,447.4,678.0,686.4,756.4,676.5,516.8,545.9,726.6,665.1,733.8,816.5,78.7,667.8,516.5,565.8,669.6,700.0,665.6,795.5,748.2,827.1,378.1,839.1,136.4,724.9,731.4,372.8,744.4,568.0,754.0,805.9,411.8,523.0,700.6,725.1,703.9,564.6,707.1,375.9,387.1,575.2,128.2,719.5,581.2,488.6,476.0,758.6,714.8,765.6,648.3,505.3,725.1,715.5,594.3,762.6,696.6,596.4,809.8,610.1,676.1,696.6,887.7,704.1,646.7,512.4,719.7,729.3,717.9,758.2,112.9,714.7,761.7,415.6,102.8,736.3,347.9,606.1,694.9,603.0,536.2,685.2,710.5,123.1,1314.1,495.6,817.8,98.1,766.3,512.4,557.8,755.8,721.9,788.0
CL,371.2,438.9,334.0,509.6,17.5,573.1,342.1,375.7,452.2,334.9,470.4,508.7,0.0,242.0,467.8,63.6,450.3,536.3,374.5,346.7,90.3,600.6,368.6,195.4,600.6,400.8,245.2,425.7,447.7,500.8,437.8,211.7,325.9,487.9,426.4,495.1,577.8,505.6,429.1,301.3,188.2,430.9,461.3,426.9,100.4,509.5,570.2,345.3,600.4,480.0,488.6,492.7,353.7,505.7,366.8,515.3,110.8,211.5,217.9,461.9,488.3,465.2,348.9,488.7,354.0,365.2,150.4,458.9,480.8,380.0,260.2,274.8,519.9,476.1,526.9,409.6,304.1,486.4,476.8,142.0,523.9,457.9,387.4,571.1,195.9,442.4,457.9,649.0,465.4,408.0,207.3,481.0,464.3,479.2,555.7,547.2,476.0,518.5,386.3,428.4,497.6,326.0,406.8,456.2,167.0,211.7,448.9,471.8,485.8,1206.2,288.4,579.1,423.7,527.6,244.8,156.7,501.8,483.2,92.9
CR,323.8,373.5,286.6,444.2,228.8,507.7,294.7,310.3,386.8,287.5,404.0,461.3,246.4,0.0,402.4,228.5,384.9,470.9,327.1,216.8,252.8,565.0,236.3,170.5,532.8,353.8,55.8,373.9,382.3,452.3,372.4,27.9,214.8,422.5,361.0,429.7,512.4,458.2,363.7,185.4,162.9,365.5,395.9,361.5,265.3,444.1,523.0,308.8,535.0,432.6,420.8,427.3,303.5,440.3,236.9,449.9,275.7,106.7,23.1,396.5,421.0,399.8,233.5,403.0,306.6,317.8,172.3,424.4,415.4,250.1,18.1,21.4,454.5,410.7,461.5,344.2,174.2,421.0,411.4,191.4,458.5,392.5,292.3,505.7,207.2,372.0,392.5,583.6,400.0,342.6,33.4,415.6,425.2,413.8,454.1,499.8,410.6,457.6,346.3,381.0,432.2,278.6,275.0,390.8,200.1,133.3,381.1,406.4,419.3,1158.8,164.5,513.7,376.3,462.2,56.4,154.9,451.7,417.8,257.8
DI,574.6,227.6,537.4,326.5,403.2,231.1,545.5,210.8,286.8,538.3,304.0,712.1,418.4,462.4,0.0,402.9,239.0,179.0,577.9,550.1,427.2,288.4,569.6,486.7,256.2,268.8,448.6,259.2,36.7,160.4,226.5,432.1,548.1,236.5,246.3,160.7,235.8,709.0,217.8,504.7,479.5,265.5,68.3,159.5,439.7,155.5,228.2,548.7,258.4,683.4,128.9,135.4,557.1,148.4,570.2,145.3,450.1,414.9,438.3,281.8,128.6,299.8,552.3,181.7,557.4,568.6,438.2,675.2,315.4,583.4,490.8,478.2,177.9,156.2,184.9,233.2,507.5,129.1,311.4,433.3,181.9,150.9,289.4,229.1,487.2,256.4,277.8,307.0,166.9,226.2,427.7,229.6,196.9,211.8,174.2,750.6,208.6,176.5,589.7,631.8,246.2,529.4,608.3,276.1,458.3,452.7,281.1,220.4,671.5,1210.7,491.8,237.1,627.1,157.6,465.2,448.0,159.8,148.8,432.2
DL,363.2,430.9,326.0,501.6,68.9,565.1,334.1,367.7,444.2,326.9,461.4,500.7,63.0,234.0,459.8,0.0,442.3,528.3,366.5,338.7,43.1,622.4,358.2,187.4,590.2,411.2,238.2,431.3,439.7,509.7,429.8,203.7,336.7,479.9,418.4,487.1,569.8,497.6,421.1,307.3,180.2,422.9,453.3,418.9,44.0,501.5,580.4,348.2,592.4,472.0,478.2,484.7,342.9,497.7,358.8,507.3,47.1,202.6,209.9,453.9,478.4,457.2,355.4,460.4,346.0,357.2,138.9,463.8,472.8,372.0,252.2,266.8,511.9,468.1,518.9,401.6,296.1,478.4,468.8,134.0,515.9,449.9,349.7,563.1,187.9,429.4,449.9,641.0,457.4,400.0,199.3,473.0,482.6,471.2,511.5,539.2,468.0,515.0,385.7,420.4,489.6,318.0,396.9,448.2,159.0,203.7,438.5,463.8,458.7,1198.2,286.4,571.1,415.7,519.6,236.8,148.7,509.1,475.2,29.2
DP,507.3,72.7,470.1,257.1,337.5,329.3,478.2,145.1,199.7,472.6,216.9,644.8,352.7,395.1,209.2,337.2,0.0,236.2,512.2,482.8,361.5,386.6,502.3,419.4,354.4,201.5,381.3,193.5,189.1,200.7,70.0,364.8,480.8,168.9,179.0,176.1,334.0,641.7,61.3,437.4,412.2,178.4,202.7,107.9,372.4,192.1,328.0,481.4,356.6,616.1,203.1,209.6,489.8,205.6,504.5,196.3,384.4,346.7,371.0,216.1,202.8,212.7,485.0,169.7,490.1,501.3,376.0,609.5,229.9,516.1,425.1,410.9,276.1,157.1,283.1,165.9,440.2,186.3,224.3,366.0,280.1,138.9,222.1,328.9,419.9,184.9,210.5,405.2,146.4,155.5,360.4,162.0,145.3,160.2,225.2,683.3,157.0,280.8,529.8,564.5,178.6,462.1,544.5,208.8,392.6,385.4,194.0,152.8,621.9,1134.3,426.1,336.9,561.4,208.6,397.9,380.7,217.0,164.2,364.9
DU,643.5,252.2,606.3,296.7,472.1,288.5,614.4,279.7,257.0,607.2,274.2,781.0,489.7,531.3,199.4,471.8,266.5,0.0,646.8,619.0,496.1,345.8,638.5,555.6,313.6,337.7,517.5,312.1,179.3,66.7,251.1,501.0,600.1,232.9,299.2,157.1,293.2,777.9,242.4,573.6,548.4,235.7,192.9,155.9,508.6,125.7,285.6,617.6,315.8,752.3,160.7,167.2,626.0,85.7,639.1,115.5,519.0,482.9,507.2,334.7,160.4,270.0,635.7,185.9,626.3,637.5,507.1,744.1,285.6,652.3,559.7,547.1,235.3,126.4,242.3,302.1,576.4,55.7,281.6,502.2,239.3,147.3,340.8,286.5,556.1,224.5,330.7,364.4,137.1,196.4,496.6,226.0,217.4,206.0,144.4,819.5,202.8,233.9,666.0,700.7,231.1,598.3,677.2,329.0,527.2,521.6,251.3,216.8,739.0,1222.6,560.7,294.5,696.0,127.8,534.1,516.9,86.6,145.2,501.1
DV,115.2,492.6,78.0,563.3,446.7,626.8,86.1,429.4,505.9,142.7,523.1,316.5,464.3,321.8,521.5,446.4,504.0,590.0,0.0,362.9,470.7,684.1,382.4,388.4,651.9,472.9,262.4,493.0,501.4,571.4,491.5,331.8,360.9,541.6,480.1,548.8,631.5,313.4,482.8,331.5,380.8,484.6,515.0,480.6,483.2,563.2,642.1,56.7,654.1,287.8,539.9,546.4,94.9,559.4,383.0,569.0,493.6,226.8,338.0,515.6,540.1,518.9,379.6,522.1,98.0,52.3,390.2,279.6,534.5,396.2,303.6,291.0,573.6,529.8,580.6,463.3,320.3,540.1,530.5,409.3,577.6,511.6,411.4,624.8,425.1,491.1,511.6,702.7,519.1,461.7,327.4,534.7,544.3,532.9,573.2,355.0,529.7,576.7,80.8,236.2,551.3,70.0,421.1,509.9,418.0,351.2,500.2,525.5,274.5,1130.9,310.6,632.8,231.5,581.3,327.4,372.8,570.8,536.9,475.7
EL,327.7,459.3,290.5,530.0,397.0,593.5,298.6,396.1,472.6,291.4,489.8,465.2,414.6,204.9,488.2,396.7,473.6,556.7,331.0,0.0,421.0,650.8,90.9,338.7,618.6,439.6,145.5,459.7,468.1,538.1,458.2,214.9,74.3,508.3,446.8,515.5,598.2,462.1,449.5,40.0,331.1,451.3,481.7,447.3,433.5,529.9,608.8,312.7,620.8,436.5,506.6,513.1,307.4,526.1,46.3,535.7,443.9,111.0,221.1,482.3,506.8,485.6,126.8,488.8,310.5,321.7,340.5,428.3,501.2,33.2,186.7,174.1,540.3,496.5,547.3,430.0,113.5,506.8,497.2,359.6,544.3,478.3,378.1,591.5,375.4,457.8,478.3,669.4,485.8,428.4,210.5,501.4,511.0,499.6,539.9,503.7,496.4,543.4,350.2,384.9,518.0,282.5,135.5,476.6,368.3,301.5,466.9,492.2,423.2,1162.7,104.1,599.5,380.2,548.0,210.5,323.1,537.5,503.6,426.0
EQ,374.3,442.0,337.1,512.7,80.0,576.2,345.2,378.8,455.3,338.0,472.5,511.8,74.1,245.1,470.9,49.9,456.3,539.4,377.6,349.8,0.0,633.5,369.3,198.5,601.3,403.9,248.3,442.4,450.8,520.8,440.9,214.8,329.0,491.0,429.5,498.2,580.9,508.7,432.2,304.4,191.3,434.0,464.4,430.0,46.1,512.6,573.3,348.4,603.5,483.1,489.3,495.8,356.8,508.8,369.9,518.4,97.1,213.7,221.0,465.0,489.0,468.3,352.0,491.8,357.1,368.3,153.5,474.9,483.9,383.1,263.3,277.9,523.0,479.2,530.0,412.7,307.2,489.5,479.9,145.1,527.0,461.0,390.5,574.2,199.0,440.5,461.0,652.1,468.5,411.1,210.4,484.1,467.4,482.3,522.6,550.3,479.1,521.6,396.8,431.5,500.7,329.1,408.0,459.3,170.1,214.8,449.6,474.9,488.9,1209.3,291.5,582.2,426.8,530.7,247.9,159.8,520.2,486.3,60.9
FA,674.0,355.3,636.8,441.0,504.5,36.3,644.9,338.5,401.3,637.7,418.5,811.5,520.2,561.8,257.6,502.3,366.7,274.6,677.3,649.5,528.5,0.0,650.1,586.1,128.9,396.5,548.0,386.9,256.4,274.9,354.2,531.5,630.6,351.0,374.0,275.2,55.5,808.4,345.5,585.2,560.0,361.1,270.0,274.0,539.1,270.0,110.9,659.0,73.6,782.8,224.5,231.0,656.5,262.9,669.6,259.8,549.5,513.4,537.7,409.5,224.2,414.3,666.2,296.2,656.8,649.1,537.6,774.6,429.9,682.8,590.2,577.6,140.1,272.6,101.8,360.9,608.8,243.6,425.9,532.7,144.1,265.4,417.1,98.5,586.6,370.7,386.6,62.0,281.4,340.7,527.1,344.1,337.7,326.3,281.3,850.0,323.1,143.2,696.5,731.2,360.7,628.8,709.6,403.8,557.7,552.1,395.6,334.9,770.9,1314.8,591.2,131.8,726.5,272.1,545.7,528.5,274.3,263.3,512.7
FJ,367.2,498.8,330.0,569.5,436.5,633.0,338.1,435.6,512.1,330.9,529.3,504.7,451.7,244.4,527.7,436.2,513.1,596.2,370.5,90.9,460.5,690.3,0.0,378.2,658.1,460.7,184.0,499.2,507.6,560.7,497.7,254.4,48.3,547.8,486.3,555.0,637.7,501.6,489.0,74.8,370.6,490.8,521.2,486.8,473.0,569.4,648.3,352.2,660.3,476.0,546.1,552.6,349.7,565.6,53.6,575.2,483.4,148.2,260.6,521.8,545.8,525.1,97.0,548.6,350.0,361.2,380.0,467.8,540.7,94.7,226.2,213.6,579.8,536.0,586.8,469.5,115.0,546.3,536.7,399.1,583.8,517.8,447.3,631.0,414.9,497.3,517.8,708.9,525.3,467.9,250.0,540.9,524.2,539.1,579.4,543.2,535.9,578.4,389.7,424.4,557.5,322.0,56.0,516.1,407.8,341.0,506.4,531.7,464.1,1202.2,129.2,639.0,419.7,587.5,250.0,362.6,577.0,543.1,465.5
FN,378.7,428.4,341.5,499.1,172.3,562.6,349.6,365.2,441.7,342.4,458.9,516.2,189.9,177.9,457.3,172.0,442.7,525.8,382.0,349.9,196.3,619.9,369.4,0.0,587.7,408.7,190.0,428.8,437.2,507.2,427.3,147.6,347.9,477.4,415.9,484.6,567.3,513.1,418.6,318.5,93.0,420.4,450.8,416.4,208.8,499.0,577.9,363.7,589.9,487.5,475.7,482.2,358.4,495.2,370.0,504.8,219.2,218.1,153.8,451.4,475.9,454.7,366.6,457.9,361.5,372.7,115.8,479.3,470.3,383.2,196.1,213.1,509.4,465.6,516.4,399.1,307.3,475.9,466.3,134.9,513.4,447.4,347.2,560.6,137.3,426.9,447.4,638.5,454.9,397.5,143.2,470.5,480.1,468.7,509.0,554.7,465.5,512.5,401.2,435.9,487.1,333.5,408.1,445.7,130.2,84.1,436.0,461.3,474.2,1213.7,297.6,568.6,431.2,517.1,180.7,62.8,506.6,472.7,201.3
FP,672.7,354.0,635.5,439.7,501.3,115.9,643.6,337.2,400.0,636.4,417.2,810.2,516.5,560.5,275.2,501.0,368.3,292.2,676.0,648.2,525.3,144.8,667.7,584.8,0.0,395.2,546.7,385.6,255.1,256.7,352.9,530.2,627.4,349.7,372.7,273.9,81.1,807.1,344.2,602.8,577.6,378.7,268.7,272.7,537.8,268.7,42.0,657.7,143.2,781.5,242.1,248.6,655.2,261.6,668.3,258.5,548.2,512.1,536.4,408.2,241.8,413.0,664.9,294.9,655.5,666.7,536.3,760.4,428.6,681.5,588.9,576.3,138.8,269.4,61.2,359.6,605.6,242.3,424.6,531.4,142.8,264.1,415.8,69.6,585.3,369.6,404.2,174.3,280.1,339.4,525.8,342.8,336.4,325.0,298.9,848.7,321.8,137.4,687.8,729.9,359.4,627.5,706.4,402.5,556.4,550.8,394.3,333.6,768.2,1313.5,589.9,41.3,725.2,270.8,563.3,546.1,273.0,262.0,530.3
FU,479.7,210.4,442.5,257.1,308.3,395.8,450.6,84.6,199.7,443.4,217.9,617.2,323.5,367.5,257.6,308.0,224.7,297.8,483.0,455.2,332.3,423.3,474.7,391.8,416.0,0.0,353.7,97.0,286.6,267.2,209.3,337.2,434.4,235.4,117.7,242.6,400.5,576.6,200.6,372.3,384.6,162.9,251.1,174.4,344.8,257.0,392.9,453.8,423.1,588.5,268.0,269.6,424.7,272.1,475.3,262.8,355.2,320.0,343.4,133.2,267.7,212.7,457.4,231.3,425.0,473.7,346.8,567.4,228.3,488.5,395.9,383.3,337.7,218.7,349.6,76.5,375.1,252.8,224.3,338.4,346.6,205.4,89.5,393.8,392.3,189.9,124.5,471.7,208.0,155.5,332.8,228.5,211.8,226.7,303.2,618.2,223.5,341.2,494.8,536.9,240.2,434.5,515.3,147.5,363.4,357.8,178.5,219.3,594.3,1115.8,396.9,401.8,532.2,275.1,370.3,353.1,268.2,230.7,337.3
FX,265.4,397.0,228.2,467.7,252.4,531.2,236.3,333.8,410.3,229.1,428.5,402.9,267.6,61.0,425.9,252.1,408.4,494.4,268.7,158.8,276.4,577.6,178.3,194.1,556.3,377.3,0.0,397.4,405.8,475.8,395.9,70.3,138.0,446.0,384.5,453.2,535.9,399.8,387.2,113.4,186.5,389.0,419.4,385.0,288.9,467.6,528.3,250.4,558.5,374.2,444.3,450.8,247.9,463.8,178.9,473.4,299.3,48.7,76.5,420.0,444.0,423.3,161.0,446.8,248.2,259.4,195.9,353.1,438.9,192.1,51.3,29.5,478.0,434.2,485.0,367.7,116.2,444.5,434.9,215.0,482.0,416.0,345.5,529.2,230.8,395.5,416.0,607.1,423.5,366.1,65.9,439.1,448.7,437.3,513.8,441.4,434.1,481.1,280.5,322.6,455.7,220.2,217.0,414.3,223.7,156.9,404.6,429.9,360.9,1100.4,100.5,537.2,317.9,485.7,65.9,178.5,475.2,441.3,281.4
