from_stop,AD,AL,AR,AZ,BM,CG,CK,CT,DC,DF,DH,DI,DR,DS,DW,EA,EC,ED,EF,EI,ET,FI,GA,GD,GF,GT,HL,HO,HQ,HT,ID,IN,IR,JH,JJ,JK,JN,JO,JQ,KD,KY,LA,LI,LR,ME,MK,MW,NA,NB,NJ,NQ,NU,NX,OC,OJ,OM,OP,OQ,OS,PA,PH,PI,PX,PY,QE,QF,QM,QO,QR,QU,RN,RS,RV,RW,SB,SC,ST,SW,TE,TH,TI,TO,TU,UC,UT,UX,UY,VA,VC,VE,VG,VI,VL,VZ,WL,WM,WY,WZ,XK,XQ,YD,YF,YJ,YM,YN,YY,ZD,ZH,ZJ,ZM,ZY
DH,137.9,502.2,340.9,680.1,236.0,523.0,26.2,498.7,523.4,462.9,0.0,498.2,638.0,477.7,337.7,221.0,189.7,193.0,579.1,68.2,554.7,555.5,411.8,533.0,675.7,523.8,396.5,559.4,495.9,578.7,425.3,557.0,104.8,585.9,629.0,520.2,145.9,149.5,491.3,169.8,276.3,486.8,448.7,620.8,659.0,507.7,555.2,494.8,108.2,518.6,445.0,352.6,469.3,556.7,601.3,466.8,127.4,87.7,508.0,141.4,605.2,520.0,541.5,541.3,86.3,571.6,512.9,420.1,623.8,559.4,562.3,89.4,552.0,620.8,590.5,513.6,506.3,530.6,249.8,88.4,529.7,512.1,311.3,151.1,155.4,568.5,507.9,518.6,494.2,336.0,571.3,565.4,497.8,96.8,478.5,586.2,459.6,507.1,517.6,464.4,209.6,161.9,503.1,516.5,495.1,138.7,508.2,523.0,546.8,546.0,1943.8
DI,463.1,99.8,482.9,263.1,470.6,106.0,489.7,170.5,34.2,146.4,494.4,0.0,262.6,173.6,501.3,455.6,441.2,629.2,269.4,531.7,137.7,160.3,375.6,116.0,250.9,195.6,538.5,137.1,271.9,307.6,167.1,140.0,511.5,87.6,212.0,117.8,582.1,585.7,88.9,606.0,310.5,228.5,167.0,289.6,198.0,49.3,382.3,90.2,544.4,101.6,106.0,548.2,296.4,108.7,148.4,247.8,472.8,502.9,155.3,489.7,152.3,226.7,124.5,368.4,533.5,398.7,108.3,207.2,163.6,142.4,252.6,536.6,135.0,245.4,137.6,185.4,178.1,220.4,484.4,551.9,356.8,339.2,474.9,587.3,517.9,297.4,203.8,214.5,321.3,533.4,135.0,148.4,145.1,522.8,168.3,227.7,120.6,204.3,189.4,206.6,645.8,423.6,91.7,192.6,367.8,492.2,380.9,218.9,129.8,60.3,2003.3
DR,576.8,341.2,596.6,302.3,584.3,217.7,603.4,325.3,275.6,236.4,608.1,241.3,0.0,216.1,615.0,569.3,554.9,742.9,105.8,620.7,238.9,311.2,489.3,213.0,66.7,370.8,637.7,174.0,239.3,264.2,307.2,187.9,625.2,326.4,276.0,359.2,695.8,699.4,330.3,717.1,424.2,185.1,307.1,91.8,69.2,290.7,496.0,230.3,659.5,229.5,249.8,661.9,410.1,337.8,299.3,205.0,586.5,616.6,364.0,603.4,305.5,354.2,176.7,482.1,647.2,512.4,248.4,280.5,300.2,120.4,124.5,676.3,228.4,17.2,341.2,325.5,353.3,360.5,598.1,665.6,472.6,457.8,579.0,701.0,631.6,254.0,245.6,146.3,435.0,647.1,247.7,200.6,359.8,636.5,308.4,117.4,275.4,355.2,373.6,361.4,763.8,537.3,316.0,342.3,482.5,605.9,495.1,189.5,188.9,288.7,2117.0
DS,501.1,278.9,521.6,308.0,508.6,208.7,527.7,266.3,213.3,64.2,533.1,179.0,176.9,0.0,540.0,493.6,479.2,667.9,177.0,545.7,244.6,316.9,414.3,218.7,197.2,309.2,562.7,84.1,226.1,259.1,262.9,162.8,549.5,266.7,281.7,296.9,620.8,624.4,268.0,642.1,348.5,180.0,234.1,162.3,181.2,228.4,420.3,186.0,584.5,217.4,190.1,586.9,334.4,287.8,305.0,199.9,511.5,540.9,293.4,528.4,311.2,305.4,181.7,407.1,572.2,436.7,204.1,205.5,305.9,153.0,157.6,601.3,234.1,143.0,316.7,281.2,291.7,316.0,523.1,590.6,394.8,380.0,504.0,626.0,556.6,248.9,29.4,141.2,360.0,572.1,253.4,206.3,289.2,560.8,263.9,131.0,216.4,292.5,303.0,301.7,688.8,461.6,253.7,348.0,407.5,530.9,420.2,184.4,194.6,226.4,2042.0
DW,299.9,531.4,199.1,709.3,307.4,552.2,326.5,527.9,552.6,492.1,331.2,527.4,667.2,506.9,0.0,292.4,278.0,466.0,608.3,368.5,583.9,584.7,441.0,562.2,704.9,553.0,254.7,588.6,525.1,607.9,454.5,586.2,348.3,615.1,658.2,549.4,418.9,422.5,520.5,442.8,350.9,516.0,477.9,650.0,688.2,536.9,604.2,524.0,381.2,547.8,474.2,269.0,518.3,585.9,630.5,496.0,309.6,339.7,537.2,326.5,634.4,549.2,570.7,590.3,370.3,620.6,542.1,449.3,653.0,588.6,591.5,373.4,581.2,650.0,619.7,542.8,535.5,559.8,321.2,388.7,578.7,561.1,191.1,424.1,354.7,597.7,537.1,547.8,543.2,229.2,600.5,594.6,527.0,359.6,507.7,615.4,488.8,536.3,546.8,493.6,482.6,260.4,532.3,545.7,589.7,329.0,602.8,552.2,576.0,575.2,2086.7
EA,145.0,419.5,202.2,572.6,14.9,440.3,182.6,416.0,440.7,380.2,199.1,415.5,555.3,395.0,255.0,0.0,41.2,260.0,496.4,224.6,472.0,472.8,329.1,450.3,593.0,441.1,243.3,476.7,420.4,496.0,342.6,474.3,193.4,503.2,546.3,437.5,212.9,216.5,408.6,234.2,193.6,404.1,366.0,520.7,576.3,425.0,472.5,412.1,176.6,435.9,351.3,224.1,386.6,474.0,518.6,384.1,154.7,184.8,425.3,89.7,522.5,437.3,458.8,458.6,242.7,488.9,430.2,337.4,541.1,476.7,477.7,245.8,469.3,538.1,507.8,430.9,423.6,447.9,28.7,244.8,447.0,432.2,219.0,218.1,128.1,485.8,425.2,435.9,411.5,197.3,488.6,482.7,418.0,122.8,395.8,499.2,376.9,424.4,434.9,381.7,280.9,21.9,448.0,433.8,412.4,92.2,426.0,440.3,464.1,462.9,1974.8
EC,140.6,415.1,197.8,568.2,46.2,435.9,141.3,411.6,436.3,375.8,157.8,411.1,550.9,390.6,250.6,31.2,0.0,218.7,492.0,161.7,467.6,468.4,324.7,445.9,588.6,436.7,238.9,472.3,408.8,491.6,338.2,469.9,219.9,498.8,541.9,433.1,171.6,175.2,404.2,192.9,189.2,399.7,361.6,516.3,571.9,420.6,468.1,407.7,133.9,431.5,346.9,219.7,382.2,469.6,514.2,379.7,150.3,172.5,420.9,48.4,474.1,432.9,454.4,454.2,201.4,484.5,425.8,333.0,536.7,472.3,473.3,204.5,464.9,533.7,503.4,426.5,419.2,443.5,60.0,203.5,442.6,427.8,224.2,176.8,86.8,481.4,420.8,431.5,407.1,192.9,484.2,478.3,416.7,81.5,391.4,499.1,372.5,420.0,430.5,377.3,235.3,17.5,416.0,429.4,408.0,50.9,421.6,435.9,466.6,458.5,1970.4
ED,289.1,595.2,429.4,773.1,277.8,616.0,177.4,591.7,616.4,555.9,193.9,591.2,731.0,570.7,430.7,262.8,231.5,0.0,672.1,219.4,647.7,648.5,504.8,626.0,768.7,616.8,485.0,652.4,588.9,671.7,518.3,650.0,256.0,678.9,722.0,613.2,133.5,43.4,584.3,23.1,369.3,579.8,541.7,713.8,752.0,600.7,648.2,587.8,94.7,611.6,538.0,451.3,562.3,649.7,694.3,559.8,278.6,183.0,601.0,183.2,698.2,613.0,634.5,634.3,245.3,664.6,605.9,513.1,716.8,652.4,655.3,248.4,645.0,713.8,683.5,606.6,599.3,623.6,291.6,239.6,622.7,605.1,404.3,117.1,197.2,661.5,600.9,611.6,587.2,424.5,664.3,658.4,590.8,138.6,571.5,679.2,552.6,600.1,610.6,557.4,26.4,249.1,596.1,609.5,588.1,180.5,601.2,616.0,639.8,639.0,1874.9
EF,506.9,292.7,526.7,339.2,514.4,215.1,533.5,289.2,302.5,174.9,538.2,268.2,95.5,145.5,545.1,499.4,485.0,673.0,0.0,575.5,243.2,323.3,419.4,225.1,129.6,314.3,582.3,173.3,158.4,190.5,225.6,169.2,555.3,338.5,288.1,310.7,625.9,629.5,281.8,649.8,354.3,111.4,239.2,59.1,138.9,317.6,426.1,242.4,588.2,241.6,235.5,592.0,340.2,347.2,311.4,132.7,516.6,546.7,298.5,533.5,315.3,310.5,188.8,412.2,577.3,442.5,260.5,210.6,312.3,159.4,16.7,580.4,240.5,112.7,338.6,304.1,296.8,321.1,528.2,595.7,400.6,383.0,518.7,631.1,561.7,180.3,175.7,72.2,365.1,577.2,259.8,212.7,288.3,566.6,269.0,28.8,250.1,297.6,308.1,278.7,689.6,467.4,293.6,307.0,411.6,536.0,424.7,115.8,194.1,328.6,2047.1
EI,91.2,495.8,297.3,673.7,241.8,528.8,32.8,504.5,517.0,456.5,56.3,491.8,631.6,471.3,343.5,210.9,195.5,186.6,572.7,0.0,548.3,549.1,405.4,526.6,681.5,517.4,335.3,553.0,489.5,572.3,418.9,550.6,58.1,579.5,622.6,513.8,139.5,155.3,484.9,163.4,282.1,480.4,442.3,609.2,652.6,501.3,545.1,488.4,101.8,512.2,423.9,309.0,459.2,550.3,594.9,460.4,80.7,90.5,501.6,135.0,598.8,513.6,531.4,534.9,49.9,577.4,506.5,413.7,617.4,553.0,550.3,53.0,545.6,614.4,584.1,507.2,499.9,524.2,243.4,54.5,535.5,520.7,304.9,144.7,149.0,562.1,513.7,512.2,487.8,292.4,564.9,559.0,494.3,86.7,472.1,579.8,465.4,500.7,511.2,458.0,203.2,151.8,496.7,510.1,488.7,132.3,514.5,516.6,540.4,539.6,1934.4
ET,529.7,191.9,534.5,257.7,537.2,140.4,541.3,237.1,155.0,203.6,546.0,142.0,294.5,225.9,552.9,522.2,507.8,680.8,288.8,558.6,0.0,80.0,427.2,135.4,285.3,193.5,590.6,206.7,335.7,359.2,218.7,141.4,578.1,95.2,231.4,209.9,633.7,652.3,181.0,655.0,377.1,280.1,218.6,289.1,217.4,170.1,448.9,141.8,597.4,42.9,161.6,599.8,363.0,106.6,68.1,300.0,524.4,569.5,164.7,541.3,74.3,224.6,158.9,420.0,585.1,450.3,159.9,258.8,69.0,161.8,285.1,614.2,21.3,264.8,87.5,247.3,176.0,278.1,536.0,603.5,423.4,408.6,516.9,638.9,569.5,349.0,270.4,253.0,372.9,585.0,16.5,167.8,160.5,589.4,219.9,242.8,187.2,124.0,187.3,273.2,701.7,490.2,126.9,111.1,420.4,543.8,448.0,270.5,156.1,123.5,2054.9
FI,495.9,134.3,515.7,364.8,503.4,207.7,522.5,184.9,143.3,191.6,527.2,171.8,364.3,206.4,534.1,488.4,474.0,662.0,307.8,564.5,81.4,0.0,408.4,217.7,352.6,122.0,571.3,256.8,300.9,340.4,217.9,228.1,544.3,127.8,313.7,152.3,614.9,618.5,123.4,638.8,343.3,261.3,217.8,349.5,299.7,128.1,415.1,189.8,577.2,129.6,156.8,581.0,329.2,65.6,11.9,282.6,505.6,535.7,84.6,522.5,8.0,147.3,226.2,401.2,566.3,431.5,207.9,258.0,91.2,244.1,291.0,569.4,102.8,347.1,54.3,170.0,135.0,200.8,517.2,584.7,389.6,372.0,507.7,620.1,550.7,330.2,236.6,247.3,354.1,566.2,62.6,250.1,74.4,555.6,204.6,314.9,171.4,43.9,123.4,257.4,678.6,456.4,100.0,32.2,400.6,525.0,413.7,251.7,231.5,101.2,2036.1
GA,309.6,276.9,329.4,454.8,317.1,297.7,336.2,273.4,298.1,237.6,340.9,272.9,412.7,252.4,347.8,302.1,287.7,475.7,353.8,378.2,329.4,330.2,0.0,307.7,450.4,298.5,385.0,334.1,270.6,353.4,200.0,331.7,358.0,360.6,403.7,294.9,428.6,432.2,266.0,452.5,157.0,261.5,223.4,395.5,433.7,282.4,211.6,269.5,390.9,293.3,219.7,399.3,125.7,331.4,376.0,241.5,319.3,349.4,282.7,336.2,379.9,294.7,316.2,197.7,380.0,228.0,287.6,194.8,398.5,334.1,337.0,383.1,326.7,395.5,365.2,288.3,281.0,305.3,330.9,398.4,186.1,168.5,321.4,433.8,364.4,343.2,282.6,293.3,150.6,379.9,346.0,340.1,272.5,369.3,253.2,360.9,234.3,281.8,292.3,239.1,492.3,270.1,277.8,291.2,254.3,338.7,241.2,297.7,321.5,320.7,1867.8
GD,516.6,254.6,536.4,240.5,524.1,116.4,543.2,224.0,189.0,205.5,547.9,154.7,154.5,186.6,554.8,509.1,494.7,682.7,153.3,585.2,144.5,224.6,429.1,0.0,169.2,284.2,592.0,163.2,203.3,235.4,220.6,107.5,565.0,239.8,189.4,272.6,635.6,639.2,243.7,659.5,364.0,156.3,220.5,173.5,116.3,204.1,435.8,143.7,597.9,142.9,159.5,601.7,349.9,251.2,212.7,177.6,526.3,556.4,277.4,543.2,216.6,267.6,90.1,421.9,587.0,452.2,161.8,251.7,213.6,60.7,136.5,590.1,141.8,137.3,239.9,238.9,266.7,273.9,537.9,605.4,410.3,392.7,528.4,640.8,571.4,225.2,216.8,117.5,374.8,586.9,161.1,114.0,267.2,576.3,221.8,111.6,174.1,268.6,287.0,260.1,699.3,477.1,246.5,256.9,421.3,545.7,434.4,160.7,95.4,215.1,2056.8
GF,587.2,325.2,607.0,286.3,594.7,187.0,613.8,294.6,259.6,269.8,618.5,225.3,58.2,243.1,625.4,579.7,565.3,753.3,118.2,634.2,222.9,295.2,499.7,197.0,0.0,354.8,648.1,207.4,272.7,297.6,291.2,201.5,635.6,310.4,260.0,343.2,706.2,709.8,314.3,730.1,434.6,218.5,291.1,104.2,56.6,274.7,506.4,214.3,668.5,213.5,219.1,672.3,420.5,321.8,283.3,238.4,596.9,627.0,348.0,613.8,289.5,338.2,160.7,492.5,657.6,522.8,232.4,308.2,284.2,104.4,136.9,660.7,212.4,63.6,310.5,309.5,337.3,344.5,608.5,676.0,480.9,466.1,589.4,711.4,642.0,287.4,273.3,179.7,445.4,657.5,231.7,184.6,337.8,646.9,292.4,129.8,244.7,339.2,357.6,330.7,769.9,547.7,300.0,326.3,491.9,616.3,505.5,222.9,172.9,272.7,2127.4
GT,523.7,162.1,543.5,392.6,531.2,235.5,550.3,107.2,171.1,219.4,555.0,251.1,392.1,234.2,561.9,516.2,501.8,689.8,335.6,592.3,238.9,176.5,436.2,245.5,380.4,0.0,599.1,284.6,295.9,378.7,186.1,269.5,572.1,252.9,341.5,180.1,642.7,646.3,151.2,666.6,371.1,286.8,186.0,377.3,327.5,155.9,442.9,217.6,605.0,231.1,185.3,608.8,357.0,120.0,164.6,266.8,533.4,563.5,64.7,550.3,168.5,69.6,254.0,429.0,594.1,459.3,235.7,226.2,248.7,271.9,318.8,597.2,260.3,374.9,153.8,92.3,15.2,123.1,545.0,612.5,417.4,399.8,535.5,647.9,578.5,368.5,264.4,275.1,381.9,594.0,220.1,277.9,54.5,583.4,126.9,342.7,171.3,131.0,45.7,225.6,706.4,484.2,179.3,140.4,428.4,552.8,441.5,279.5,259.3,180.5,2063.9
HL,262.3,497.3,41.0,650.4,275.7,518.1,288.9,493.8,518.5,458.0,293.6,493.3,633.1,473.5,259.2,260.7,246.3,428.4,574.2,330.9,557.6,550.6,432.3,528.1,670.8,518.9,0.0,554.5,498.2,573.8,420.4,552.1,310.7,581.0,624.1,515.3,381.3,384.9,486.4,402.6,233.4,481.9,443.8,598.5,654.1,502.8,486.7,489.9,345.0,513.7,429.1,177.5,400.8,551.8,596.4,461.9,272.0,302.1,503.1,294.8,600.3,515.1,536.6,472.8,332.7,503.1,508.0,415.2,618.9,554.5,555.5,361.8,547.1,615.9,585.6,508.7,501.4,525.7,289.5,351.1,461.2,446.4,220.8,386.5,333.2,563.6,503.0,513.7,425.7,137.7,566.4,560.5,492.9,327.9,473.6,577.0,454.7,502.2,512.7,459.5,449.3,228.7,498.2,513.1,472.2,297.3,485.8,518.1,541.9,540.7,2078.0
HO,417.6,203.4,437.4,391.1,425.1,267.0,444.2,199.9,224.6,62.3,448.9,237.3,218.5,58.2,455.8,410.1,395.7,583.7,159.6,486.2,295.1,256.7,330.1,277.0,256.2,225.0,493.0,0.0,134.7,192.2,183.1,221.1,466.0,325.0,340.0,221.4,536.6,540.2,192.5,560.5,265.0,113.1,149.9,201.3,239.5,208.9,336.8,244.3,498.9,219.8,146.2,502.7,250.9,257.9,302.5,134.4,427.3,457.4,209.2,444.2,306.4,221.2,240.7,322.9,488.0,353.2,262.4,121.3,364.2,211.3,142.8,491.1,292.4,201.3,291.7,214.8,207.5,231.8,438.9,506.4,311.3,293.7,429.4,541.8,472.4,182.0,88.4,99.1,275.8,487.9,311.7,264.6,199.0,477.3,179.7,166.7,160.8,208.3,218.8,222.6,600.3,378.1,204.3,217.7,322.3,446.7,335.4,103.5,246.0,247.2,1957.8
HQ,421.8,279.4,434.4,372.1,429.3,272.8,448.4,283.1,302.3,178.4,445.9,268.0,259.0,120.0,452.8,414.3,392.7,580.7,170.0,458.5,308.7,332.7,327.1,282.8,280.0,301.0,482.7,203.5,0.0,82.9,117.9,226.9,470.2,355.7,345.8,297.4,533.6,544.4,268.5,554.9,269.2,61.6,163.9,200.4,263.3,284.9,333.8,300.1,497.3,299.3,218.4,499.7,247.9,333.9,369.1,42.8,424.3,461.6,285.2,441.2,375.3,297.2,253.7,319.9,485.0,350.2,318.2,197.3,370.0,217.1,158.5,514.1,298.2,225.1,374.9,290.8,283.5,307.8,435.9,503.4,308.3,300.7,416.8,538.8,469.4,24.7,156.7,114.5,272.8,484.9,317.5,270.4,281.0,481.5,255.7,161.9,182.9,284.3,294.8,178.2,601.6,382.3,307.9,295.2,320.3,443.7,332.9,101.4,258.7,315.4,1954.8
