from_stop,AI,AR,AY,BA,BE,BK,BM,BR,BS,BW,BX,CO,CV,DA,DE,DG,DL,DW,EE,EO,FA,FH,FJ,FK,FL,FS,FU,FZ,GL,GN,GX,HJ,HL,HN,HS,IA,IF,IT,JI,JO,JR,JT,KT,LB,LC,LE,LV,ML,MN,MS,MV,MW,MY,NE,NG,NN,NR,OH,OM,OW,PF,PH,PP,QA,QT,QU,QY,QZ,RA,RB,RI,SA,SC,SJ,SL,SU,SV,SY,TB,TI,TK,TL,TN,TR,UE,UG,UH,UJ,UX,VF,VH,VI,VK,VW,WI,WJ,WO,WX,XG,XI,XJ,XP,XY,YJ,YT,ZI,ZK,ZN
BX,504.5,850.5,707.9,747.9,125.7,679.8,717.6,868.6,776.3,422.9,0.0,447.5,697.8,416.0,565.9,677.1,883.7,725.8,457.5,435.3,363.3,846.7,828.7,410.7,668.8,426.8,77.5,487.1,776.1,620.3,800.7,501.7,725.7,109.1,44.1,745.0,797.6,961.7,483.2,808.4,903.0,23.4,404.1,419.4,441.2,121.6,20.9,971.4,440.2,645.9,872.7,920.3,442.3,850.6,586.0,690.3,470.1,411.8,952.6,451.3,710.1,591.0,837.9,939.2,743.6,913.2,703.0,163.2,857.4,853.4,1735.8,820.2,8.6,739.5,859.0,783.8,55.6,862.1,130.3,76.8,46.0,881.6,630.2,690.5,443.7,407.3,478.3,687.5,836.4,824.7,442.1,685.8,640.0,562.2,673.6,921.8,697.9,676.0,467.2,732.4,687.3,112.6,901.0,747.6,493.5,952.7,691.1,723.0
CO,536.1,685.9,543.3,583.3,479.3,515.2,553.0,704.0,611.7,28.2,443.6,0.0,533.2,102.2,401.3,512.5,706.6,561.2,201.3,121.5,153.9,688.1,664.1,154.5,504.2,170.6,431.1,329.2,611.5,455.7,636.1,337.1,561.1,462.7,506.0,580.4,633.0,797.1,318.6,643.8,738.4,443.7,63.4,38.0,127.4,475.2,456.9,806.8,275.6,481.3,708.1,755.7,21.2,657.8,421.4,525.7,213.9,98.0,788.0,209.5,545.5,426.4,673.3,774.6,579.0,748.6,538.4,496.1,692.8,688.8,1740.8,655.6,452.3,574.9,694.4,620.1,411.5,697.5,405.3,474.4,417.6,717.0,465.6,525.9,129.9,165.5,313.7,522.9,687.4,664.4,185.9,521.2,475.4,569.4,509.0,757.2,533.3,511.4,302.6,567.8,522.7,466.2,735.9,583.0,328.9,788.1,526.5,558.4
CV,291.5,459.3,166.9,356.7,615.9,288.6,176.6,477.4,385.1,461.9,580.2,500.2,0.0,413.8,367.0,95.3,492.5,184.8,485.1,433.1,488.5,455.5,437.5,438.3,87.0,454.4,567.7,307.5,384.9,131.6,409.5,292.9,334.5,599.3,598.7,47.1,406.4,570.5,321.6,417.2,511.8,578.0,457.3,472.6,439.0,611.8,593.5,580.2,278.6,157.2,481.5,529.1,495.5,459.4,194.8,42.7,468.6,409.6,561.4,449.1,95.1,543.5,446.7,548.0,202.6,522.0,162.0,632.7,466.2,462.2,1556.3,429.0,588.9,348.3,467.8,392.6,548.1,470.9,541.9,639.3,554.2,490.4,141.5,171.7,441.5,405.1,284.6,146.5,445.2,433.5,469.7,294.6,151.3,575.4,91.8,530.6,306.7,135.0,305.6,150.6,10.5,602.8,509.8,59.1,248.8,561.5,155.3,25.1
DA,459.7,609.5,466.9,506.9,402.9,438.8,476.6,627.6,535.3,53.9,367.2,92.2,456.8,0.0,324.9,436.1,630.2,484.8,148.4,18.1,137.9,611.7,587.7,87.7,427.8,103.8,354.7,252.8,535.1,379.3,559.7,260.7,484.7,386.3,426.1,504.0,556.6,720.7,242.2,567.4,662.0,367.3,61.2,77.0,10.2,398.8,380.5,730.4,199.2,404.9,631.7,679.3,97.5,584.1,345.0,449.3,147.1,4.1,711.6,133.1,473.5,350.0,596.9,698.2,502.6,672.2,462.0,440.4,616.4,612.4,1664.4,579.2,377.7,498.5,618.0,543.7,335.1,621.1,328.9,398.0,341.2,640.6,389.2,449.5,26.5,89.1,237.3,446.5,611.0,588.0,119.1,444.8,399.0,488.3,432.6,680.8,456.9,435.0,226.2,491.4,446.3,389.8,659.5,506.6,252.5,711.7,450.1,482.0
DE,453.4,603.2,460.6,500.6,417.4,432.5,470.3,621.3,529.0,263.4,381.7,301.7,450.5,215.3,0.0,429.8,623.9,478.5,300.5,234.6,290.0,605.4,581.4,239.8,421.5,255.9,369.2,80.1,528.8,373.0,553.4,152.9,478.4,400.8,400.7,497.7,550.3,714.4,90.7,561.1,655.7,381.8,258.8,274.1,240.5,413.3,395.0,724.1,123.7,398.6,625.4,673.0,297.0,577.8,338.7,443.0,270.1,211.1,705.3,250.6,467.2,345.0,590.6,691.9,496.3,665.9,455.7,434.2,610.1,606.1,1659.4,572.9,392.2,492.2,611.7,537.4,349.6,614.8,343.4,412.5,355.7,634.3,382.9,443.2,243.0,206.6,231.0,440.2,604.7,577.4,271.2,438.5,392.7,488.0,426.3,674.5,450.6,428.7,118.4,485.1,440.0,404.3,653.2,500.3,246.2,705.4,443.8,475.7
DG,280.8,448.6,156.2,346.0,605.2,277.9,165.9,466.7,374.4,451.2,569.5,489.5,85.3,403.1,356.3,0.0,469.3,174.1,488.3,422.4,477.8,450.8,426.8,427.6,8.3,443.7,557.0,321.5,374.2,120.9,398.8,282.2,323.8,588.6,588.5,107.0,395.7,559.8,310.9,406.5,501.1,569.6,446.1,461.9,428.3,601.1,582.8,569.5,267.9,146.5,470.8,518.4,482.4,423.2,184.1,77.8,457.9,398.9,550.7,438.4,49.0,532.8,436.0,537.3,191.9,511.3,151.3,642.7,455.5,451.5,1545.6,418.3,578.2,337.6,457.1,382.8,537.4,460.2,531.2,600.3,543.5,479.7,130.8,161.0,430.8,394.4,273.9,135.8,450.1,427.1,459.0,283.9,140.6,569.4,36.3,519.9,296.0,124.3,294.9,55.2,74.8,592.1,498.6,95.0,238.1,550.8,144.6,110.5
DL,513.7,299.4,496.0,396.3,820.1,328.2,505.7,149.9,169.9,666.1,784.4,704.4,485.9,618.0,571.2,465.2,0.0,513.9,689.3,637.3,692.7,53.8,184.4,642.5,456.9,658.6,771.9,536.4,294.1,408.4,110.0,497.1,374.1,803.5,802.9,533.1,153.3,212.3,525.8,194.4,39.0,784.5,661.5,676.8,643.2,816.0,797.7,222.0,482.8,434.0,197.6,72.1,697.3,35.1,333.2,478.4,672.8,613.8,203.2,653.3,498.2,747.7,286.8,189.8,531.7,163.8,491.1,836.9,306.3,183.9,1778.5,145.1,793.1,257.5,189.5,302.7,752.3,143.4,746.1,815.2,758.4,65.2,418.3,478.6,645.7,609.3,488.8,475.6,145.7,215.0,673.9,334.2,428.1,802.3,461.7,48.4,346.3,464.1,509.8,520.5,475.4,807.0,52.3,535.7,453.0,203.3,479.2,511.1
DW,345.0,512.8,60.0,410.2,669.4,342.1,50.3,530.9,438.6,515.4,633.7,553.7,190.3,467.3,420.5,169.6,533.5,0.0,552.5,486.6,542.0,515.0,491.0,491.8,161.3,507.9,621.2,385.7,438.4,187.7,463.0,346.4,388.0,652.8,696.1,237.5,459.9,624.0,375.1,470.7,565.3,633.8,510.8,526.1,492.5,665.3,647.0,633.7,332.1,166.8,535.0,582.6,546.6,512.9,248.3,182.8,522.1,463.1,614.9,502.6,202.6,597.0,500.2,601.5,17.8,575.5,22.7,706.9,519.7,515.7,1609.8,482.5,642.4,401.8,521.3,447.0,601.6,524.4,595.4,664.5,607.7,543.9,182.5,162.0,495.0,458.6,338.1,38.5,498.7,491.3,523.2,348.1,172.7,633.6,166.1,584.1,360.2,53.6,359.1,224.9,179.8,656.3,562.8,240.1,302.3,615.0,145.6,215.5
EE,521.0,670.8,528.2,568.2,464.2,500.1,537.9,688.9,596.6,192.6,428.5,237.5,518.1,144.5,386.2,497.4,691.5,546.1,0.0,163.8,201.2,673.0,649.0,56.7,489.1,90.1,416.0,314.1,596.4,440.6,621.0,322.0,546.0,447.6,490.9,565.3,617.9,806.1,303.5,628.7,723.3,452.7,169.5,185.3,193.8,460.1,465.9,791.7,260.5,466.2,693.0,740.6,205.8,645.4,406.3,510.6,133.4,140.3,772.9,147.5,534.8,411.3,658.2,759.5,563.9,733.5,547.4,481.0,677.7,673.7,1725.7,640.5,461.3,559.8,679.3,629.1,396.4,682.4,414.3,459.3,402.5,701.9,474.6,510.8,196.3,97.8,298.6,507.8,672.3,649.3,32.8,506.1,460.3,554.3,493.9,742.1,518.2,496.3,287.5,552.7,531.7,451.1,720.8,567.9,313.8,773.0,511.4,543.3
EO,479.0,628.8,486.2,526.2,422.2,458.1,495.9,646.9,554.6,73.2,386.5,111.5,476.1,18.1,344.2,455.4,662.0,504.1,153.8,0.0,157.2,625.0,607.0,107.0,447.1,123.1,374.0,265.4,554.4,398.6,579.0,280.0,504.0,405.6,405.0,523.3,575.9,740.0,261.5,586.7,681.3,384.3,81.0,96.3,33.5,418.1,399.8,749.7,218.5,424.2,651.0,698.6,119.2,628.9,364.3,468.6,166.4,23.4,730.9,152.4,488.4,369.3,616.2,717.5,521.9,691.5,481.3,459.7,635.7,631.7,1683.7,598.5,395.2,517.8,637.3,562.1,354.4,640.4,348.2,445.6,360.5,659.9,408.5,468.8,8.4,108.4,256.6,465.8,614.7,603.0,138.4,464.1,418.3,507.6,451.9,700.1,476.2,454.3,245.5,510.7,465.6,409.1,679.3,525.9,271.8,731.0,469.4,501.3
FA,504.0,653.8,511.2,551.2,383.9,483.1,520.9,671.9,579.6,131.6,348.2,156.2,501.1,132.9,369.2,480.4,674.5,529.1,180.1,152.2,0.0,656.0,632.0,119.4,472.1,135.5,335.7,297.1,579.4,423.6,604.0,305.0,529.0,367.3,407.1,548.3,600.9,765.0,286.5,611.7,706.3,348.3,112.8,128.1,158.1,379.8,361.5,774.7,243.5,449.2,676.0,723.6,148.6,625.7,389.3,493.6,178.8,128.7,755.9,182.8,513.4,394.3,641.2,742.5,546.9,716.5,506.3,400.7,660.7,656.7,1708.7,623.5,356.9,542.8,662.3,588.0,316.1,665.4,309.9,379.0,322.2,684.9,433.5,493.8,160.6,143.2,281.6,490.8,655.3,632.3,150.8,489.1,443.3,537.3,476.9,725.1,501.2,479.3,270.5,535.7,490.6,370.8,703.8,550.9,296.8,756.0,494.4,526.3
FH,498.6,245.5,480.9,381.2,811.0,313.1,490.6,140.8,154.8,657.0,769.3,689.3,470.8,608.9,562.1,456.1,53.8,504.8,688.1,622.2,683.6,0.0,169.3,627.4,441.8,643.5,762.8,521.3,279.0,393.3,94.9,482.0,359.0,788.4,831.7,518.0,138.2,164.4,510.7,179.3,56.2,769.4,645.9,667.7,628.1,800.9,782.6,168.1,467.7,418.9,182.5,73.5,682.2,89.0,318.1,463.3,657.7,598.7,155.3,638.2,487.5,738.6,232.9,135.9,516.6,109.9,482.0,842.5,252.4,168.8,1763.4,130.0,784.0,242.4,174.4,293.6,737.2,128.3,731.0,800.1,743.3,34.8,409.2,463.5,636.6,594.2,473.7,460.5,146.2,199.9,664.8,319.1,419.0,787.2,446.6,102.3,331.2,449.0,494.7,505.4,466.3,791.9,46.5,520.6,437.9,149.4,464.1,496.0
FJ,488.2,359.0,470.5,370.8,794.6,302.7,480.2,178.8,107.5,640.6,758.9,678.9,460.4,592.5,545.7,439.7,193.9,488.4,663.8,611.8,667.2,156.9,0.0,617.0,431.4,633.1,746.4,486.2,268.6,382.9,105.9,471.6,348.6,778.0,777.4,507.6,28.8,271.9,500.3,168.9,213.2,756.7,636.0,651.3,617.7,790.5,772.2,281.6,457.3,408.5,182.9,230.5,674.2,160.8,307.7,452.9,647.3,588.3,262.8,627.8,472.7,722.2,346.4,249.4,506.2,223.4,465.6,832.1,365.9,82.4,1753.0,130.4,769.4,232.0,88.0,276.3,726.8,172.3,720.6,818.0,732.9,191.8,392.8,453.1,620.2,583.8,463.3,450.1,69.8,206.4,648.4,308.7,402.6,772.1,436.2,232.0,320.8,438.6,484.3,495.0,449.9,781.5,211.2,510.2,427.5,262.9,453.7,485.6
FK,464.2,614.0,471.4,511.4,407.4,443.3,481.1,632.1,539.8,135.8,371.7,156.6,461.3,87.7,329.4,440.6,647.2,489.3,46.7,107.0,144.4,610.2,592.2,0.0,432.3,33.3,359.2,250.6,539.6,383.8,564.2,265.2,489.2,390.8,390.2,508.5,561.1,725.2,246.7,571.9,666.5,369.5,113.2,128.5,112.9,403.3,385.0,734.9,203.7,409.4,636.2,683.8,151.4,614.1,349.5,453.8,76.6,83.5,716.1,90.7,473.6,354.5,601.4,702.7,507.1,676.7,466.5,424.2,620.9,616.9,1668.9,583.7,380.4,503.0,622.5,547.3,339.6,625.6,333.4,430.8,345.7,645.1,393.7,454.0,115.4,41.0,241.8,451.0,599.9,588.2,31.3,449.3,403.5,492.8,437.1,685.3,461.4,439.5,230.7,495.9,450.8,394.3,664.5,511.1,257.0,716.2,454.6,486.5
FL,272.5,440.3,147.9,337.7,596.9,269.6,157.6,458.4,366.1,442.9,561.2,481.2,77.0,394.8,348.0,8.3,473.5,165.8,466.1,414.1,469.5,436.5,418.5,419.3,0.0,435.4,548.7,288.5,365.9,112.6,390.5,273.9,315.5,580.3,579.7,114.0,387.4,551.5,302.6,398.2,492.8,559.0,438.3,453.6,420.0,592.8,574.5,561.2,259.6,138.2,462.5,510.1,476.5,440.4,175.8,69.5,449.6,390.6,542.4,430.1,57.3,524.5,427.7,529.0,183.6,503.0,143.0,634.4,447.2,443.2,1537.3,410.0,569.9,329.3,448.8,373.6,529.1,451.9,522.9,620.3,535.2,471.4,122.5,152.7,422.5,386.1,265.6,127.5,426.2,414.5,450.7,275.6,132.3,556.4,28.0,511.6,287.7,116.0,286.6,63.5,66.5,583.8,490.8,102.0,229.8,542.5,136.3,102.2
FS,470.3,620.1,477.5,517.5,413.5,449.4,487.2,638.2,545.9,141.9,377.8,162.7,467.4,93.8,335.5,446.7,653.3,495.4,86.3,113.1,150.5,616.3,598.3,43.3,438.4,0.0,365.3,256.7,545.7,389.9,570.3,271.3,495.3,396.9,396.3,514.6,567.2,731.3,252.8,578.0,672.6,375.6,119.3,134.6,119.0,409.4,391.1,741.0,209.8,415.5,642.3,689.9,157.5,620.2,355.6,459.9,77.7,89.6,722.2,91.8,479.7,360.6,607.5,708.8,513.2,682.8,472.6,451.0,627.0,623.0,1675.0,589.8,386.5,509.1,628.6,553.4,345.7,631.7,339.5,436.9,351.8,651.2,399.8,460.1,121.5,42.1,247.9,457.1,606.0,594.3,53.4,455.4,409.6,498.9,443.2,691.4,467.5,445.6,236.8,502.0,456.9,400.4,670.6,517.2,263.1,722.3,460.7,492.6
FU,460.0,806.0,663.4,703.4,48.1,635.3,673.1,824.1,731.8,378.4,65.5,403.0,653.3,371.5,521.4,632.6,826.7,681.3,426.9,390.8,318.8,808.2,784.2,366.2,624.3,382.3,0.0,449.3,731.6,575.8,756.2,457.2,681.2,31.5,84.5,700.5,753.1,917.2,438.7,763.9,858.5,65.6,359.1,374.9,396.7,44.0,78.8,926.9,395.7,601.4,828.2,875.8,395.4,806.1,541.5,645.8,425.6,367.3,908.1,406.8,665.6,546.5,793.4,894.7,699.1,868.7,658.5,64.9,812.9,808.9,1691.3,775.7,74.2,695.0,814.5,740.2,33.4,817.6,85.8,96.3,39.5,837.1,585.7,646.0,399.2,362.8,433.8,643.0,807.5,784.5,397.6,641.3,595.5,522.4,629.1,877.3,653.4,631.5,422.7,687.9,642.8,35.0,856.0,703.1,449.0,908.2,646.6,678.5
FZ,373.2,523.0,380.4,420.4,422.9,352.3,390.1,541.1,448.8,268.9,387.2,307.2,370.3,220.8,72.0,349.6,543.7,398.3,306.0,240.1,295.5,525.2,501.2,245.3,341.3,261.4,374.7,0.0,448.6,292.8,473.2,72.7,398.2,406.3,449.6,417.5,470.1,634.2,10.5,480.9,575.5,387.3,264.3,279.6,246.0,418.8,400.5,643.9,43.5,318.4,545.2,592.8,300.1,523.1,258.5,362.8,275.6,216.6,625.1,256.1,387.0,350.5,510.4,611.7,416.1,585.7,375.5,460.4,529.9,525.9,1638.0,492.7,395.9,412.0,531.5,457.2,355.1,534.6,348.9,418.0,361.2,554.1,302.7,363.0,248.5,212.1,150.8,360.0,508.9,497.2,276.7,358.3,312.5,488.8,346.1,594.3,370.4,348.5,38.2,404.9,359.8,409.8,573.0,420.1,166.0,625.2,363.6,395.5
GL,398.0,272.8,380.3,280.6,704.4,212.5,390.0,290.9,198.6,550.4,668.7,588.7,370.2,502.3,455.5,349.5,306.0,398.2,573.6,521.6,577.0,269.0,251.0,526.8,341.2,542.9,656.2,396.0,0.0,292.7,223.0,381.4,258.4,687.8,687.2,417.4,219.9,384.0,410.1,230.7,325.3,666.5,545.8,561.1,527.5,700.3,682.0,393.7,367.1,318.3,295.0,342.6,584.0,272.9,217.5,362.7,557.1,498.1,374.9,537.6,382.5,632.0,260.2,361.5,416.0,335.5,375.4,721.2,279.7,275.7,1662.8,242.5,677.4,55.0,281.3,7.7,636.6,284.4,630.4,727.8,642.7,303.9,302.6,362.9,530.0,493.6,373.1,359.9,258.7,247.0,558.2,218.5,312.4,681.9,346.0,344.1,230.6,348.4,394.1,404.8,359.7,691.3,323.3,420.0,337.3,375.0,363.5,395.4
GN,251.9,419.7,145.1,317.1,576.3,249.0,154.8,437.8,345.5,422.3,540.6,460.6,144.4,374.2,327.4,123.7,440.4,172.4,459.4,393.5,448.9,421.9,397.9,398.7,115.4,414.8,528.1,292.6,345.3,0.0,369.9,253.3,294.9,559.7,603.0,191.6,366.8,530.9,282.0,377.6,472.2,540.7,417.7,433.0,399.4,572.2,553.9,540.6,239.0,20.9,441.9,489.5,453.5,425.8,155.2,136.9,429.0,370.0,521.8,409.5,161.1,503.9,407.1,508.4,190.2,482.4,149.6,593.1,426.6,422.6,1516.7,389.4,549.3,308.7,428.2,353.9,508.5,431.3,502.3,571.4,514.6,450.8,5.2,70.1,401.9,365.5,245.0,134.1,405.6,393.9,430.1,255.0,15.0,540.5,120.2,491.0,267.1,122.6,266.0,179.0,133.9,563.2,469.7,194.2,209.2,521.9,66.1,169.6
