from_stop,AB,AE,AH,AO,AP,AQ,AR,AT,AX,BB,BE,BG,BH,BK,BO,BU,BY,CM,CV,DG,DJ,DQ,DR,DS,DU,ED,EI,EK,ER,EZ,FA,FG,FM,FP,FS,FY,GD,GI,GP,GS,GW,HA,HH,HQ,HV,HZ,ID,II,IQ,IS,IX,JB,JT,JX,JZ,KA,KM,KP,KR,KW,KY,LG,LL,LX,MA,MJ,ML,NA,ND,NE,NG,NH,NL,NN,NZ,OB,OE,ON,OR,OT,OV,OY,PE,PG,PL,PO,QA,QB,QD,QE,QH,QN,QV,QW,RA,RC,RH,RI,RX,SI,SL,SM,TC,TE,TL,TO,TT,UC,UD,UE,UF,UP,UQ,UU,UV,UW,VA,VB,VJ,VV,VW,WB,WD,WF,WO,WX,WY,WZ,XD,XF,XQ,XY,XZ,YF,YL,YO,YT,YU,ZM,ZO,ZS
BE,325.5,601.6,721.6,288.3,207.2,130.3,791.4,344.6,633.8,772.8,0.0,645.9,733.9,629.7,191.0,671.4,696.1,633.9,697.6,669.9,359.6,133.3,152.4,366.4,723.9,630.3,645.9,133.4,138.8,749.0,654.1,206.0,94.6,322.5,724.3,579.2,158.0,369.8,723.6,683.4,672.4,387.9,631.3,627.9,755.1,172.9,690.4,383.8,754.1,586.7,310.1,657.6,133.7,412.4,204.5,666.5,141.8,744.6,230.3,631.6,316.3,627.9,111.1,217.0,776.6,725.8,594.0,114.5,360.0,134.2,205.0,758.8,385.2,313.6,160.3,693.5,229.3,322.0,79.9,614.4,608.7,718.7,650.4,182.2,337.5,286.4,464.4,167.3,617.8,323.6,712.4,323.0,37.2,299.9,301.4,714.0,2417.4,129.3,725.3,219.9,41.7,299.6,342.8,726.2,61.0,618.9,301.0,751.7,123.3,164.9,250.1,143.5,797.5,107.1,148.0,304.8,669.4,191.4,235.7,571.7,664.0,344.6,6.9,333.5,646.7,345.5,778.5,347.9,125.6,600.0,694.1,313.1,134.2,185.8,750.8,405.9,194.7,230.7,777.8,713.6,105.6
BG,560.4,119.0,107.9,523.2,733.5,656.6,193.0,839.3,40.2,159.1,629.2,0.0,190.0,112.3,732.6,142.8,94.7,135.3,119.5,141.3,828.1,719.9,690.6,601.3,180.0,131.7,110.6,675.0,680.4,213.6,187.9,747.6,696.5,817.2,188.9,87.4,666.5,589.4,179.7,133.7,230.9,607.5,144.8,141.2,156.7,714.5,161.8,610.5,155.7,94.9,429.8,159.0,698.6,408.8,699.2,150.6,635.0,209.2,743.7,19.2,795.7,99.3,713.0,758.6,178.2,124.4,95.4,701.1,595.0,660.5,733.7,160.4,620.1,548.5,668.8,149.6,755.6,556.9,681.8,70.5,51.8,117.3,60.7,710.9,592.0,781.1,204.4,708.9,91.4,427.8,168.1,817.9,623.8,534.8,536.3,185.4,2296.6,670.9,174.6,761.5,643.6,442.7,445.4,190.8,647.6,120.3,795.7,200.9,631.8,658.1,744.8,673.5,217.2,648.7,648.9,539.7,68.0,686.1,764.4,114.4,63.3,841.5,636.2,828.2,148.1,405.9,180.1,827.3,667.2,156.4,92.7,548.0,642.7,714.5,149.4,640.8,736.3,710.1,197.5,125.4,647.2
BH,641.1,197.0,238.7,603.9,782.1,705.2,268.1,911.1,171.0,289.9,677.8,160.0,0.0,208.3,781.2,106.8,179.7,247.3,250.3,105.3,899.9,768.5,739.2,682.0,82.3,243.7,241.4,723.6,729.0,344.4,90.2,796.2,745.1,889.0,320.7,192.6,715.1,670.1,82.0,264.5,133.2,688.2,226.7,237.2,269.3,763.1,64.1,691.2,286.5,200.1,510.5,257.3,747.2,489.5,771.0,279.9,683.6,340.0,792.3,168.0,867.5,69.5,761.6,807.2,283.3,194.9,207.4,749.7,675.7,709.1,782.3,291.2,706.9,629.2,717.4,113.6,804.2,637.6,730.4,108.2,147.8,248.1,191.5,759.5,672.7,852.9,285.1,757.5,222.2,508.5,147.8,889.7,672.4,615.5,617.0,87.7,2198.9,728.5,305.4,810.1,692.2,523.4,526.1,321.6,696.2,232.3,867.5,218.1,680.4,706.7,816.6,722.1,266.1,697.3,697.5,620.4,198.8,757.9,813.0,210.4,194.1,913.3,684.8,900.0,260.1,486.6,258.6,899.1,715.8,252.4,223.5,628.7,691.3,763.1,188.9,721.5,784.9,781.9,246.4,149.0,695.8
BK,552.0,140.4,164.1,514.8,725.1,648.2,249.2,830.9,96.4,215.3,620.8,85.4,191.4,0.0,725.1,144.2,150.9,174.0,175.7,142.7,819.7,711.5,677.1,592.9,181.4,170.4,166.8,666.6,672.0,269.8,189.3,739.2,686.5,808.8,246.1,119.3,658.1,581.0,181.1,189.9,232.3,599.1,170.1,85.1,212.9,706.1,163.2,602.1,211.9,126.8,421.4,197.7,690.2,400.4,690.8,206.6,626.6,265.4,735.3,93.4,787.3,100.7,699.3,750.2,234.4,164.2,134.1,692.7,587.4,652.1,725.3,216.6,617.8,540.1,660.4,154.5,747.2,548.5,673.4,71.9,41.1,173.5,116.9,702.5,583.6,772.7,196.0,700.5,147.6,419.4,187.3,809.5,615.4,526.4,527.9,186.8,2298.0,671.5,230.8,757.3,635.2,434.3,437.0,247.0,639.2,159.0,781.0,253.8,623.4,649.7,732.4,665.1,273.4,640.3,636.0,531.3,124.2,677.7,756.0,58.3,119.5,833.1,627.8,819.8,186.8,397.5,239.7,818.9,658.8,100.3,148.9,539.6,634.3,706.1,205.6,632.4,727.9,701.7,253.7,181.6,638.8
BO,459.0,735.1,838.9,421.8,74.5,192.7,924.9,440.3,766.4,890.1,224.9,763.2,851.2,763.2,0.0,804.9,829.6,767.4,831.1,803.4,454.4,105.8,185.1,499.9,841.2,763.8,779.4,210.2,216.5,882.5,787.6,25.1,201.2,418.2,857.8,712.7,291.5,488.0,840.9,816.9,805.9,505.2,764.8,745.2,888.6,56.4,823.9,517.3,887.6,720.2,443.6,791.1,134.6,545.9,300.2,800.0,259.1,878.1,134.7,765.1,395.8,761.4,142.8,100.5,910.1,859.3,727.5,161.1,493.5,126.9,125.6,891.4,517.8,447.1,293.8,810.8,32.2,455.5,186.5,731.7,726.0,852.2,783.9,102.8,471.0,382.1,597.0,176.2,751.3,440.9,845.9,418.7,192.8,433.4,434.9,847.5,2550.9,138.2,842.6,57.0,212.0,416.9,523.8,859.7,178.1,752.4,396.7,885.2,256.8,282.2,345.8,110.4,931.0,139.8,281.5,438.3,802.9,287.1,156.3,705.2,797.5,440.3,208.1,429.2,780.2,462.8,912.0,427.4,203.3,733.5,827.6,446.6,267.7,106.4,884.3,538.5,31.8,310.2,911.3,847.1,183.3
BU,594.9,150.8,140.5,557.7,768.0,691.1,173.0,873.8,124.8,191.7,663.7,113.8,127.8,162.1,768.0,0.0,72.8,201.1,152.1,29.3,888.8,754.4,720.0,635.8,117.8,197.5,157.4,709.5,714.9,246.2,125.7,782.1,729.4,851.7,222.5,146.4,701.0,623.9,117.5,166.3,168.7,642.0,180.5,191.0,189.3,749.0,99.6,645.0,188.3,153.9,464.3,211.1,733.1,443.3,733.7,183.2,669.5,241.8,778.2,121.8,830.2,37.1,742.2,793.1,188.2,59.5,161.2,735.6,630.3,695.0,768.2,193.0,660.7,583.0,703.3,10.3,790.1,591.4,716.3,62.0,101.6,149.9,145.3,745.4,626.5,815.6,238.9,743.4,167.9,462.3,43.0,852.4,658.3,569.3,570.8,123.2,2234.4,714.4,207.2,800.2,678.1,477.2,479.9,223.4,682.1,186.1,823.9,128.5,666.3,692.6,775.3,708.0,171.0,683.2,678.9,574.2,149.3,720.6,798.9,164.2,147.9,876.0,670.7,862.7,213.9,440.4,163.5,861.8,701.7,206.2,125.3,582.5,677.2,749.0,82.0,675.3,770.8,744.6,151.3,42.1,681.7
BY,629.3,185.2,67.6,592.1,802.4,725.5,152.7,908.2,94.6,118.8,698.1,115.4,191.7,178.5,802.4,63.8,0.0,142.9,79.2,93.2,897.0,788.8,754.4,670.2,181.7,137.6,84.5,743.9,749.3,173.3,189.6,816.5,763.8,886.1,149.6,160.6,735.4,658.3,181.4,93.4,229.5,676.4,201.4,207.4,116.4,783.4,163.5,679.4,115.4,168.1,498.7,206.3,767.5,477.7,768.1,110.3,703.9,168.9,812.6,103.4,864.6,101.0,776.6,827.5,137.9,13.2,152.0,770.0,664.7,729.4,802.6,120.1,695.1,617.4,737.7,53.5,824.5,625.8,750.7,125.9,118.0,77.0,130.5,779.8,660.9,850.0,273.3,777.8,95.0,496.7,75.4,886.8,692.7,603.7,605.2,187.1,2298.3,748.8,134.3,834.6,712.5,511.6,514.3,150.5,716.5,137.4,858.3,157.3,700.7,727.0,809.7,742.4,176.9,717.6,713.3,608.6,76.4,755.0,833.3,180.6,86.9,910.4,705.1,897.1,154.0,474.8,143.2,896.2,736.1,222.6,52.4,616.9,711.6,783.4,54.6,709.7,805.2,779.0,157.2,30.6,716.1
CM,556.9,129.1,72.3,519.7,730.0,653.1,157.4,835.8,118.5,123.5,625.7,154.6,267.8,194.7,730.0,205.8,141.9,0.0,63.6,219.1,824.6,716.4,682.0,597.8,257.8,66.1,77.8,671.5,676.9,115.0,265.7,744.1,691.4,813.7,91.3,83.9,663.0,585.9,257.5,49.4,244.7,604.0,117.7,211.0,121.1,711.0,239.6,607.0,120.1,91.4,426.3,116.9,695.1,405.3,695.7,32.5,631.5,110.6,740.2,142.6,792.2,177.1,704.2,755.1,142.6,155.2,68.3,697.6,592.3,657.0,730.2,124.8,622.7,545.0,665.3,195.5,752.1,553.4,678.3,148.3,147.6,146.9,151.7,707.4,588.5,777.6,200.9,705.4,73.6,424.3,217.4,814.4,620.3,531.3,532.8,263.2,2302.2,676.4,76.0,762.2,640.1,439.2,441.9,92.2,644.1,15.0,785.9,162.0,628.3,654.6,737.3,670.0,181.6,645.2,640.9,536.2,142.5,682.6,760.9,170.1,119.8,838.0,632.7,824.7,82.5,402.4,147.9,823.8,663.7,198.4,79.9,544.5,639.2,711.0,196.6,637.3,732.8,706.6,161.9,172.6,643.7
CV,620.6,189.0,8.6,583.4,793.7,716.8,93.7,899.5,98.4,59.8,689.4,119.2,260.0,182.3,793.7,142.1,78.2,63.6,0.0,171.5,888.3,780.1,745.7,661.5,218.7,129.8,88.3,735.2,740.6,94.0,215.5,807.8,755.1,877.4,70.3,147.6,726.7,649.6,249.7,14.1,181.0,667.7,181.4,211.2,57.4,774.7,231.8,670.7,56.4,155.1,490.0,180.6,758.8,469.0,759.4,31.0,695.2,89.6,803.9,107.2,855.9,169.3,767.9,818.8,78.9,91.5,132.0,761.3,656.0,720.7,793.9,61.1,686.4,608.7,729.0,131.8,815.8,617.1,742.0,140.5,121.8,83.2,134.3,771.1,652.2,841.3,264.6,769.1,98.8,488.0,153.7,878.1,684.0,595.0,596.5,243.7,2288.1,740.1,55.0,825.9,703.8,502.9,505.6,71.2,707.8,78.6,849.6,98.3,692.0,718.3,801.0,733.7,117.9,708.9,704.6,599.9,80.2,746.3,824.6,184.4,90.7,901.7,696.4,888.4,146.2,466.1,84.2,887.5,727.4,226.4,16.2,608.2,702.9,774.7,132.9,701.0,796.5,770.3,98.2,108.9,707.4
DG,604.2,160.1,159.9,567.0,777.3,700.4,192.4,883.1,134.1,211.1,673.0,123.1,137.1,171.4,777.3,19.3,92.2,210.4,171.5,0.0,898.1,763.7,729.3,645.1,127.1,206.8,176.8,718.8,724.2,265.6,135.0,791.4,738.7,861.0,241.9,155.7,710.3,633.2,126.8,185.7,178.0,651.3,189.8,200.3,208.7,758.3,108.9,654.3,207.7,163.2,473.6,220.4,742.4,452.6,743.0,202.6,678.8,261.2,787.5,131.1,839.5,46.4,751.5,802.4,207.6,78.9,170.5,744.9,639.6,704.3,777.5,212.4,670.0,592.3,712.6,29.6,799.4,600.7,725.6,71.3,110.9,169.3,154.6,754.7,635.8,824.9,248.2,752.7,185.3,471.6,62.4,861.7,667.6,578.6,580.1,132.5,2243.7,723.7,226.6,809.5,687.4,486.5,489.2,242.8,691.4,195.4,833.2,147.9,675.6,701.9,784.6,717.3,190.4,692.5,688.2,583.5,161.9,729.9,808.2,173.5,157.2,885.3,680.0,872.0,223.2,449.7,182.9,871.1,711.0,215.5,144.7,591.8,686.5,758.3,101.4,684.6,780.1,753.9,170.7,61.5,691.0
DJ,562.2,806.3,930.0,506.0,362.5,310.4,1018.2,72.6,838.5,981.2,324.6,854.3,923.3,853.4,361.6,876.1,919.8,857.6,921.3,893.6,0.0,382.8,323.0,584.1,909.8,854.0,850.6,328.8,334.2,953.7,872.8,376.6,385.5,8.9,928.4,802.9,410.2,591.2,930.2,888.1,872.1,609.3,836.0,817.3,1000.4,362.5,896.9,612.3,977.8,810.4,546.8,862.3,346.6,626.1,244.8,890.2,378.7,968.3,391.7,855.3,96.3,832.6,353.9,406.6,1033.4,930.5,798.7,391.7,577.7,289.5,362.7,982.5,602.9,550.3,393.5,901.9,384.6,558.7,372.4,822.8,798.1,923.4,874.1,358.9,574.2,88.0,688.1,356.9,822.5,526.0,936.1,41.5,314.4,517.6,538.1,953.8,2617.1,327.9,914.7,390.5,334.2,521.0,491.9,930.9,338.2,842.6,35.7,954.7,356.5,401.8,290.4,302.5,1016.2,296.7,388.1,522.5,874.1,250.7,393.4,776.4,868.7,65.1,326.8,392.8,870.4,566.9,1005.3,48.7,321.0,804.7,898.8,530.8,386.4,362.5,974.5,642.6,384.3,274.7,977.5,937.3,320.0
DQ,429.7,705.8,810.5,392.5,104.7,172.0,895.6,419.6,738.0,861.7,135.3,734.8,822.8,733.9,103.8,775.6,800.3,738.1,801.8,774.1,434.6,0.0,161.0,470.6,812.8,734.5,750.1,190.4,195.8,853.2,758.3,118.8,92.8,397.5,827.9,683.4,262.2,458.7,812.5,787.6,776.6,476.8,735.5,716.8,859.3,85.7,794.6,488.0,858.3,690.9,414.3,761.8,57.2,516.6,279.5,770.7,230.7,848.8,96.9,735.8,376.0,732.1,44.6,129.8,880.8,813.6,698.2,55.2,464.3,107.1,86.9,863.0,489.4,417.8,264.5,782.4,126.8,426.2,79.7,703.3,697.6,822.9,754.6,64.1,461.3,361.4,568.6,155.5,722.0,412.5,816.6,398.0,86.0,404.1,405.6,818.2,2521.6,117.5,814.2,132.7,106.1,388.5,504.0,830.4,72.2,723.1,369.7,853.7,227.5,253.8,321.1,82.3,901.7,119.1,240.1,409.0,773.6,266.4,117.6,675.9,768.2,419.6,118.5,408.5,750.9,434.4,882.7,407.6,182.6,704.2,798.3,417.3,238.4,67.7,855.0,510.1,107.5,290.4,882.0,817.8,162.6
DR,380.5,656.6,761.3,343.3,123.6,111.7,846.4,361.8,686.3,810.0,122.6,683.1,771.1,684.7,126.1,726.4,751.1,688.9,752.6,724.9,352.3,129.1,0.0,421.4,761.1,685.3,700.9,130.1,138.0,804.0,709.1,140.2,194.5,339.7,779.3,634.2,213.0,409.5,760.8,738.4,727.4,425.1,686.3,665.1,810.1,107.1,745.4,430.6,809.1,641.7,365.1,712.6,88.7,467.4,221.7,721.5,179.0,799.6,133.8,686.6,315.7,682.9,103.8,151.2,831.6,764.4,649.0,154.4,415.1,84.5,126.3,811.3,441.9,368.6,215.3,734.9,145.7,377.0,181.4,651.6,648.4,773.7,705.4,103.5,412.1,303.6,516.9,36.5,672.8,360.8,769.5,340.4,114.7,354.9,356.4,769.0,2472.4,72.3,762.5,155.8,137.0,336.8,443.7,781.2,138.5,673.9,311.9,806.7,178.3,202.1,263.3,66.1,852.5,20.9,195.4,359.8,724.4,208.6,157.0,626.7,719.0,364.0,129.6,350.7,701.7,385.2,836.9,347.3,124.8,655.0,749.1,368.1,189.2,107.1,805.8,458.4,128.9,232.6,832.8,768.6,104.8
