from_stop,AC,AE,AH,AI,AO,AQ,AU,BA,BC,BE,BR,BS,BV,BW,BY,CJ,CS,CW,CZ,EC,ED,EZ,FB,FQ,FZ,GA,GO,HA,HC,HG,HK,HM,HZ,IM,IV,JE,JL,JN,JP,KH,KI,KL,LO,LX,MK,MO,MT,NI,NY,OF,OV,OX,OZ,PC,PG,PH,PU,PY,QK,QU,RH,UB,UM,US,UX,VC,VF,VH,VL,VO,WD,WI,WX,XA,XC,XI,XL,YK,YP,ZQ
BR,303.9,177.2,411.2,206.6,109.4,248.1,234.8,29.3,303.2,742.1,0.0,355.0,266.8,211.3,76.5,184.3,343.3,146.3,589.0,443.4,706.2,705.5,325.4,398.1,989.3,611.6,313.0,336.5,492.0,130.5,60.2,302.1,103.9,295.1,82.2,325.7,304.7,115.0,270.3,167.4,330.9,184.1,322.6,482.3,732.1,137.9,531.7,709.8,393.5,65.1,354.0,414.0,61.6,186.7,240.5,316.7,153.2,182.4,298.2,216.6,648.4,201.8,156.8,441.5,368.2,278.9,161.2,474.8,668.4,117.4,454.1,91.3,334.8,327.6,233.9,439.0,108.5,217.4,129.2,224.0
BS,432.0,384.7,544.5,190.3,237.8,344.7,189.8,317.2,436.5,974.9,345.1,0.0,382.7,210.3,305.5,222.6,476.6,200.9,819.9,576.7,937.1,962.5,458.7,377.4,1136.4,749.2,482.3,469.8,722.9,328.1,329.2,471.4,354.0,420.8,308.0,459.0,433.2,342.3,405.0,179.8,233.0,240.1,206.9,713.2,963.0,264.8,762.6,940.7,320.5,288.4,256.1,547.3,318.9,250.6,184.8,73.7,255.2,164.8,435.6,277.6,798.5,278.8,301.8,420.8,501.5,412.2,384.9,454.1,899.3,229.8,549.2,355.5,314.1,460.9,274.6,418.3,295.7,213.8,282.0,199.2
BV,234.8,82.4,380.3,256.6,208.4,80.5,354.4,231.0,272.3,853.7,258.9,421.9,0.0,330.9,219.3,234.3,312.4,245.3,753.8,412.5,895.0,828.8,294.5,562.9,1101.6,741.7,298.0,305.6,656.8,313.3,243.0,287.1,267.8,97.7,221.8,294.8,236.0,256.1,225.8,266.4,447.7,303.7,421.6,647.1,896.9,257.5,696.5,873.9,535.2,202.2,470.8,383.1,232.7,255.1,360.1,383.6,203.2,281.4,267.3,266.6,791.0,358.5,331.9,606.3,337.3,248.0,161.5,639.6,833.2,216.4,385.0,274.1,499.6,296.7,401.0,603.8,204.6,286.5,179.2,343.6
BW,404.2,277.5,511.5,206.2,207.8,361.8,23.4,191.7,403.5,845.5,219.6,229.3,398.6,0.0,180.0,222.0,443.6,170.9,692.4,543.7,809.6,808.9,425.7,320.0,1092.7,715.0,413.3,436.8,595.4,117.7,178.6,402.4,210.5,436.7,164.5,426.0,449.1,198.8,370.6,149.8,175.6,29.7,149.5,585.7,835.5,79.9,635.1,812.5,263.1,162.9,198.7,514.3,193.4,220.6,29.1,191.0,254.6,134.8,398.5,277.0,751.8,102.6,91.4,363.4,468.5,379.2,266.8,396.7,771.8,199.8,554.4,145.1,256.7,427.9,80.4,360.9,208.8,188.3,229.5,12.7
BY,274.2,147.5,381.5,176.9,79.7,218.4,205.1,44.2,273.5,687.5,72.1,325.3,237.1,181.6,0.0,154.6,313.6,116.6,534.4,413.7,651.6,650.9,295.7,343.5,934.7,557.0,283.3,306.8,437.4,93.9,23.6,272.4,98.5,265.4,52.5,296.0,275.0,86.8,240.6,137.7,276.3,154.4,275.1,427.7,677.5,108.2,477.1,654.5,338.9,19.1,299.4,384.3,13.3,157.0,210.8,287.0,123.5,152.7,268.5,186.9,593.8,165.2,120.2,386.9,338.5,249.2,136.8,420.2,613.8,87.7,424.4,54.7,280.2,297.9,197.3,384.4,78.8,187.7,99.5,194.3
CJ,301.4,174.7,408.7,22.2,110.0,245.6,281.9,158.5,300.7,834.4,186.4,223.8,264.3,258.4,146.8,0.0,340.8,124.7,681.3,440.9,798.5,797.8,322.9,397.8,1081.6,703.9,310.5,334.0,584.3,240.8,170.5,299.6,195.3,292.6,149.3,323.2,302.2,183.6,267.8,103.6,253.4,231.2,227.3,574.6,824.4,185.0,624.0,801.4,340.9,129.7,276.5,411.5,160.2,56.1,287.6,185.5,32.5,87.1,295.7,54.9,740.7,286.0,259.0,441.2,365.7,276.4,147.4,474.5,760.7,118.0,451.6,201.6,334.5,325.1,328.5,438.7,112.2,74.5,59.3,271.1
CS,190.5,261.1,157.7,374.9,326.7,277.6,472.7,349.3,56.2,610.9,377.2,494.7,314.4,449.2,337.6,352.6,0.0,363.6,714.8,239.8,652.2,586.0,135.3,682.8,858.8,686.7,143.1,124.7,651.7,431.6,361.3,185.6,386.1,352.5,340.1,89.4,170.2,374.4,135.8,384.7,538.4,422.0,512.3,608.1,667.9,375.8,691.4,644.9,625.9,320.5,561.5,160.5,351.0,373.4,478.4,456.4,321.5,399.7,71.9,384.9,683.9,476.8,449.8,726.2,114.7,88.8,297.8,759.5,669.5,334.7,163.7,392.4,619.5,40.7,519.3,723.7,305.3,400.3,297.5,461.9
CW,308.1,181.4,415.4,125.1,36.9,252.3,239.6,116.2,307.4,792.1,144.1,208.6,271.0,216.1,104.5,104.7,347.5,0.0,639.0,447.6,756.2,755.5,329.6,346.7,1039.3,661.6,317.2,340.7,542.0,198.5,128.2,306.3,153.0,299.3,107.0,329.9,308.9,141.3,274.5,21.1,202.3,188.9,176.2,532.3,782.1,142.7,581.7,759.1,289.8,87.4,225.4,418.2,117.9,103.3,154.1,170.3,131.8,36.0,302.4,159.7,698.4,243.7,216.7,390.1,372.4,283.1,147.4,423.4,718.4,28.9,458.3,159.3,283.4,331.8,286.2,387.6,94.7,71.0,107.8,228.8
CZ,766.8,640.1,674.2,669.5,572.3,711.0,680.1,536.8,652.7,290.3,540.8,801.6,729.7,656.6,492.5,647.2,657.6,609.2,0.0,581.7,285.8,303.1,788.3,686.1,586.9,329.1,709.5,676.2,208.3,561.8,494.2,765.0,554.8,758.0,545.1,665.4,736.6,565.9,702.2,630.3,667.1,629.4,665.9,144.2,329.7,600.8,248.0,306.7,729.7,511.6,690.2,603.8,477.6,649.6,679.7,763.3,616.1,645.3,665.1,679.5,285.3,574.3,585.6,729.5,631.2,741.8,624.1,762.8,248.0,580.3,612.8,525.3,622.8,694.5,596.3,727.0,571.4,680.3,592.1,669.3
EC,246.0,316.6,163.3,430.4,382.2,331.9,528.2,404.8,141.8,619.7,432.7,550.2,369.9,504.7,393.1,408.1,146.7,419.1,637.0,0.0,642.2,576.0,205.8,738.3,848.8,642.0,198.6,150.5,573.9,487.1,416.8,241.1,441.6,408.0,395.6,139.7,225.7,429.9,191.3,440.2,593.9,477.5,567.8,530.3,657.9,431.3,613.6,634.9,681.4,376.0,617.0,165.5,406.5,428.9,533.9,511.9,377.0,455.2,154.2,440.4,651.7,532.3,505.3,781.7,120.3,162.3,353.3,815.0,659.5,390.2,80.7,447.9,675.0,183.6,574.8,779.2,355.6,460.3,353.0,517.4
ED,857.2,747.4,759.5,776.8,679.6,818.3,787.4,644.1,738.0,173.7,648.1,908.9,837.0,763.9,599.8,754.5,742.9,716.5,288.3,667.0,0.0,290.3,839.3,812.2,587.3,391.0,820.6,771.5,303.6,669.1,601.5,856.9,662.1,865.3,652.4,760.7,821.9,673.2,787.5,737.6,774.4,736.7,773.2,234.2,372.2,708.1,343.3,349.2,837.0,618.9,797.5,689.1,584.9,756.9,787.0,870.6,723.4,752.6,750.4,786.8,388.2,681.6,692.9,826.6,716.5,792.8,736.7,888.9,29.8,687.6,723.3,632.6,720.7,779.8,703.6,860.2,678.7,787.6,699.4,776.6
EZ,772.2,794.9,810.8,824.1,726.9,864.6,803.9,691.4,789.3,195.9,695.4,920.8,884.5,793.2,647.1,801.8,794.2,763.8,352.6,718.3,218.4,0.0,799.3,706.4,481.5,250.5,846.1,817.8,349.9,698.4,648.8,790.4,709.4,912.8,699.7,807.0,873.2,720.5,838.8,784.9,786.3,766.0,785.1,280.5,266.4,755.4,389.6,243.4,848.9,666.2,809.4,740.4,632.2,804.2,798.9,882.5,770.7,799.9,801.7,834.1,260.2,710.9,722.2,720.8,767.8,839.1,784.0,783.1,235.7,734.9,638.3,679.9,716.9,735.7,732.9,754.4,726.0,830.4,746.7,813.3
FB,158.1,238.6,161.9,353.8,304.2,273.9,450.2,326.8,35.9,641.2,354.7,462.3,310.7,426.7,315.1,331.5,76.0,341.1,687.3,194.1,682.5,616.3,0.0,658.7,889.1,717.0,110.7,87.2,624.2,409.1,338.8,153.2,363.6,348.8,317.6,76.4,137.8,351.9,103.4,362.2,506.0,399.5,479.9,580.6,698.2,353.3,663.9,675.9,593.5,298.0,529.1,164.7,328.5,352.3,455.9,424.0,300.4,377.2,67.3,363.8,714.2,454.3,427.3,702.1,118.9,50.7,284.1,735.4,699.8,312.2,194.0,369.9,595.4,96.7,496.8,699.6,268.9,379.2,276.4,439.4
FQ,626.6,498.1,739.1,384.9,386.5,539.3,291.1,394.8,631.1,812.6,398.8,408.0,577.3,311.6,350.5,400.7,671.2,349.6,686.5,665.5,826.1,819.0,653.3,0.0,802.8,605.7,633.9,664.4,589.5,331.6,352.2,623.0,412.8,615.4,403.1,653.6,627.8,423.9,591.2,328.5,273.5,341.4,272.3,626.3,732.7,390.6,629.2,709.7,336.1,369.6,296.6,741.9,335.6,399.3,286.1,369.7,433.3,313.5,626.1,455.7,655.0,282.0,330.4,70.3,696.1,606.8,482.1,76.6,788.3,378.5,696.6,359.0,74.3,655.5,277.8,47.9,429.4,362.5,457.5,300.5
FZ,910.8,1059.7,927.9,1098.3,1001.1,1060.9,1026.1,965.6,871.8,625.3,969.6,1122.5,1097.7,1046.6,921.3,1076.0,881.3,1038.0,631.2,853.0,628.4,565.0,937.9,798.8,0.0,578.1,963.2,915.1,628.5,990.6,923.0,929.0,983.6,1135.8,973.9,904.3,943.5,994.7,955.9,1063.5,1008.5,1058.2,1007.3,559.1,473.0,1029.6,668.2,450.7,1071.1,940.4,1031.6,890.3,906.4,1078.4,1021.1,1104.2,1044.9,1048.5,918.8,1108.3,575.3,1003.1,1014.4,813.2,884.9,922.4,1058.2,875.5,601.9,1009.1,776.9,954.1,809.3,874.3,1012.8,846.8,1000.2,1102.0,1020.9,1035.5
GA,755.0,656.4,672.3,685.6,588.4,727.3,665.4,552.9,650.8,331.8,556.9,782.3,746.0,654.7,508.6,663.3,655.7,625.3,320.2,579.8,373.1,236.0,714.8,628.2,537.8,0.0,707.6,702.3,317.5,559.9,510.3,750.1,570.9,774.3,561.2,691.5,734.7,582.0,700.3,646.4,647.8,627.5,646.6,290.4,280.6,616.9,357.2,257.6,710.4,527.7,670.9,601.9,493.7,665.7,660.4,744.0,632.2,661.4,663.2,695.6,103.7,572.4,583.7,671.6,629.3,671.3,640.2,704.9,390.4,596.4,610.9,541.4,564.9,692.6,594.4,669.1,587.5,691.9,608.2,674.8
GO,74.6,205.7,199.7,319.5,271.3,208.1,417.3,293.9,167.2,700.3,321.8,437.6,277.8,393.8,282.2,297.2,176.7,308.2,716.2,318.9,722.8,656.6,113.9,625.7,929.4,722.6,0.0,125.0,653.1,376.2,305.9,50.9,330.7,315.9,284.7,114.2,107.3,319.0,78.7,329.3,481.3,366.6,455.2,609.5,738.5,320.4,692.8,716.2,568.8,265.1,504.4,202.5,295.6,318.0,423.0,399.3,266.1,344.3,90.8,329.5,732.3,421.4,394.4,669.1,156.7,67.4,242.4,702.4,740.1,279.3,242.8,337.0,562.4,169.7,463.9,666.6,265.6,349.4,242.1,406.5
HA,183.7,254.3,136.5,368.1,319.9,270.8,465.9,342.5,79.5,661.4,370.4,487.9,307.6,442.4,330.8,345.8,108.7,356.8,649.5,168.7,702.7,636.5,143.5,676.0,909.3,702.3,136.3,0.0,600.7,424.8,354.5,178.8,379.3,345.7,333.3,11.3,163.4,367.6,129.0,377.9,531.6,415.2,505.5,542.8,718.4,369.0,640.4,695.4,619.1,313.7,554.7,139.3,344.2,366.6,471.6,449.6,314.7,392.9,91.9,378.1,734.4,470.0,443.0,719.4,93.5,100.0,291.0,752.7,720.0,327.9,141.2,385.6,612.7,149.5,512.5,716.9,293.3,393.5,290.7,455.1
HC,760.6,659.4,661.4,688.8,591.6,730.3,699.4,556.1,639.9,250.2,560.1,820.9,749.0,675.9,511.8,666.5,644.8,628.5,190.2,568.9,245.7,284.3,741.2,711.7,608.5,316.0,722.5,673.4,0.0,581.1,513.5,758.8,574.1,777.3,564.4,662.6,723.8,585.2,689.4,649.6,686.4,648.7,685.2,136.1,351.3,620.1,39.6,328.3,673.7,530.9,709.5,591.0,496.9,668.9,699.0,782.6,635.4,664.6,652.3,698.8,309.8,593.6,604.9,755.1,618.4,694.7,643.4,788.4,207.9,599.6,600.0,544.6,648.4,681.7,615.6,752.6,590.7,695.1,611.4,688.6
HG,372.5,245.8,479.8,275.2,178.0,315.5,138.7,142.5,371.8,743.8,128.5,330.2,335.4,115.2,98.2,252.9,411.9,214.9,590.7,512.0,707.9,707.2,394.0,333.9,991.0,578.6,381.6,405.1,493.7,0.0,60.8,370.7,142.5,363.7,137.5,394.3,373.3,153.6,338.9,250.7,240.0,88.0,238.8,530.5,733.8,95.2,533.4,710.8,234.9,117.3,263.1,482.6,83.3,255.3,144.4,291.9,221.8,235.7,370.9,285.2,627.9,71.2,26.2,377.3,436.8,347.5,235.1,410.6,670.1,186.0,522.7,27.3,270.6,396.2,103.3,374.8,177.1,284.7,197.8,127.9
HK,311.6,184.9,418.9,214.3,117.1,255.8,209.0,81.6,310.9,682.9,67.6,362.7,274.5,185.5,37.3,192.0,351.0,154.0,529.8,451.1,647.0,646.3,333.1,338.9,930.1,552.4,320.7,344.2,432.8,70.2,0.0,309.8,81.6,302.8,89.9,333.4,312.4,92.7,278.0,175.1,271.7,158.3,270.5,423.1,672.9,159.4,472.5,649.9,334.3,56.4,294.8,421.7,22.4,194.4,214.7,324.4,160.9,190.1,305.9,224.3,589.2,141.5,96.5,382.3,375.9,286.6,168.9,415.6,609.2,125.1,461.8,31.0,275.6,335.3,173.6,379.8,116.2,225.1,136.9,198.2
HM,62.4,211.2,229.4,325.0,276.8,249.8,422.8,299.4,155.0,688.1,327.3,467.3,287.8,399.3,287.7,302.7,164.5,313.7,745.9,306.7,710.6,644.4,143.6,631.3,917.2,710.4,29.6,154.7,682.8,381.7,311.4,0.0,336.2,325.9,290.2,143.9,95.1,324.5,108.4,334.8,511.0,372.1,484.9,681.5,726.3,325.9,722.5,704.0,523.2,270.6,534.1,232.2,301.1,323.5,428.5,429.0,271.6,349.8,184.3,335.0,720.1,426.9,399.9,674.7,186.4,97.1,220.5,708.0,727.9,284.8,230.6,342.5,568.0,157.5,469.4,672.2,271.1,354.9,247.6,412.0
HZ,306.3,179.6,413.6,209.0,111.8,249.3,219.2,128.4,305.6,771.3,99.1,357.4,269.2,195.7,105.7,186.7,345.7,148.7,618.2,445.8,735.4,734.7,327.8,427.3,1018.5,606.1,315.4,338.9,521.2,159.7,89.4,304.5,0.0,297.5,43.5,328.1,307.1,11.0,272.7,169.8,354.9,168.5,328.8,558.0,761.3,122.3,560.9,738.3,347.4,85.0,378.0,416.4,90.8,189.1,224.9,319.1,155.6,184.8,304.7,219.0,655.4,223.3,186.0,470.7,370.6,281.3,168.9,504.0,697.6,119.8,456.5,120.5,364.0,330.0,263.1,468.2,110.9,215.3,131.6,208.4
IM,279.2,97.5,411.9,271.7,223.5,126.1,369.5,246.1,303.9,922.0,274.0,469.1,84.0,346.0,234.4,249.4,344.0,260.4,768.9,444.1,886.1,868.6,326.1,578.0,1141.4,791.5,313.7,337.2,671.9,328.4,258.1,302.8,282.9,0.0,236.9,326.4,280.4,271.2,271.0,281.5,462.8,318.8,436.7,662.2,912.0,272.6,711.6,889.7,550.3,217.3,485.9,414.7,247.8,270.2,375.2,430.8,218.3,296.5,298.9,281.7,828.3,373.6,346.6,621.4,368.9,279.6,176.6,654.7,848.3,231.5,454.8,289.2,514.7,328.3,416.1,618.9,219.7,297.1,194.3,358.7
IV,262.8,136.1,370.1,165.5,68.3,207.0,175.7,70.3,262.1,746.2,98.2,313.9,225.7,152.2,58.6,143.2,302.2,105.2,593.1,402.3,710.3,709.6,284.3,402.2,993.4,615.7,271.9,295.4,496.1,137.8,82.3,261.0,46.0,254.0,0.0,284.6,263.6,34.3,229.2,126.3,311.4,125.0,285.3,486.4,736.2,78.8,535.8,713.9,398.9,41.5,334.5,372.9,72.0,145.6,181.4,275.6,112.1,141.3,257.1,175.5,652.5,179.8,152.8,445.6,327.1,237.8,120.1,478.9,672.5,76.3,413.0,113.4,338.9,286.5,222.3,443.1,67.4,176.3,88.1,164.9
JE,172.4,243.0,125.2,356.8,308.6,259.5,454.6,331.2,68.2,650.1,359.1,476.6,296.3,431.1,319.5,334.5,119.5,345.5,638.2,157.4,691.4,625.2,132.2,664.7,898.0,691.0,125.0,10.7,589.4,413.5,343.2,167.5,368.0,334.4,322.0,0.0,152.1,356.3,117.7,366.6,520.3,403.9,494.2,531.5,707.1,357.7,629.1,684.8,607.8,302.4,543.4,128.0,332.9,355.3,460.3,438.3,303.4,381.6,80.6,366.8,723.1,458.7,431.7,708.1,82.2,88.7,252.3,741.4,708.7,316.6,129.9,374.3,601.4,110.0,501.2,705.6,282.0,382.2,279.4,443.8
JL,20.2,221.2,280.4,335.0,286.8,197.3,432.8,309.4,166.9,681.2,337.3,394.7,234.1,409.3,297.7,312.7,176.4,323.7,785.1,318.6,722.5,656.3,194.6,582.8,929.1,757.0,83.4,205.7,735.2,391.7,321.4,72.5,346.2,272.2,300.2,194.9,0.0,334.5,113.9,344.8,438.4,382.1,412.3,678.4,738.2,335.9,774.9,715.9,525.9,280.6,461.5,283.2,311.1,333.5,438.5,356.4,281.6,359.8,199.4,345.0,754.2,436.9,409.9,626.2,237.4,148.1,257.9,659.5,739.8,294.8,242.5,352.5,519.5,169.4,479.4,623.7,281.1,360.4,257.6,422.0
JN,295.2,168.5,402.5,197.9,100.7,238.2,208.1,102.7,294.5,778.6,110.8,346.3,258.1,184.6,91.0,175.6,334.6,137.6,625.5,434.7,742.7,742.0,316.7,434.6,1025.8,613.4,304.3,327.8,528.5,170.2,101.1,293.4,11.6,286.4,32.4,317.0,296.0,0.0,261.6,158.7,343.8,157.4,317.7,565.3,768.6,111.2,568.2,745.6,356.0,73.9,366.9,405.3,102.5,178.0,213.8,308.0,144.5,173.7,289.5,207.9,662.7,212.2,185.2,478.0,359.5,270.2,152.5,511.3,704.9,108.7,445.4,132.2,371.3,318.9,254.7,475.5,99.8,204.2,120.5,197.3
JP,54.6,180.5,314.8,369.4,321.2,141.7,359.3,343.8,201.3,715.6,371.7,358.8,178.5,443.7,332.1,347.1,210.8,358.1,819.5,353.0,756.9,690.7,229.0,546.9,963.5,791.4,117.8,240.1,769.6,426.1,355.8,106.9,380.6,216.6,334.6,229.3,34.3,368.9,0.0,379.2,402.5,416.5,376.4,712.8,772.6,370.3,809.3,749.6,490.0,315.0,425.6,317.6,345.5,367.9,354.3,320.5,316.0,394.2,233.8,379.4,788.6,471.3,444.3,590.3,271.8,182.5,232.2,623.6,774.2,329.2,276.9,386.9,483.6,203.8,513.8,587.8,315.5,394.8,292.0,456.4
KH,329.2,202.5,436.5,104.0,58.0,272.2,138.0,137.3,328.5,832.0,165.2,187.5,292.1,237.2,125.6,83.6,368.6,21.1,660.1,468.7,777.3,776.6,350.7,325.6,1060.4,648.0,338.3,361.8,563.1,219.6,149.3,327.4,174.1,320.4,128.1,351.0,330.0,162.4,295.6,0.0,181.2,210.0,155.1,553.4,803.2,163.8,602.8,780.9,193.4,108.5,204.3,439.3,139.0,82.2,133.0,149.2,116.2,14.9,323.5,138.6,697.3,264.8,237.8,369.0,393.5,304.2,168.5,402.3,739.5,50.0,479.4,180.4,262.3,352.9,307.3,366.5,115.8,45.4,128.9,147.4
KI,477.6,382.1,590.1,235.9,237.5,391.5,142.1,316.9,482.1,827.6,327.0,259.0,428.3,162.6,278.7,251.7,522.2,200.6,691.4,622.3,808.6,834.0,504.3,248.9,1007.9,655.4,517.9,515.4,594.4,217.9,278.8,507.0,341.0,466.4,307.7,504.6,478.8,342.0,450.6,179.5,0.0,192.4,88.1,584.7,834.5,241.6,634.1,811.5,146.8,288.1,23.1,592.9,263.8,250.3,137.1,220.7,284.3,164.5,477.1,306.7,692.2,150.3,198.7,292.3,547.1,457.8,384.6,325.6,770.8,229.5,594.8,245.3,185.6,506.5,146.1,289.8,295.4,218.0,308.5,151.5
