from_stop,AA,AF,AI,AJ,AL,AM,AS,AU,AX,BA,BE,BG,BN,BP,BQ,BV,BW,CP,CR,CT,CV,CW,CY,DK,DU,DZ,EC,EL,EZ,FG,FM,FN,FQ,FS,FT,GI,GJ,GN,GP,GR,GU,GX,GY,HC,HD,HE,HH,HP,HX,ID,IF,IM,IP,IU,IX,JA,JE,JF,JG,JJ,JM,JN,JS,JV,JZ,KE,KI,KK,LG,LH,LK,LM,LV,MM,MT,ND,NM,NO,NP,NU,NW,NZ,OL,OP,OR,OS,OT,OV,OW,OX,OY,PK,PO,PX,QN,QP,QQ,QR,QU,QW,RA,RC,RF,RG,RI,RP,RT,RW,RZ,SD,SE,SL,SM,SO,SQ,TB,TD,TE,TI,TJ,TP,TW,TY,UL,UM,UV,VI,VL,VM,VN,VO,VW,WJ,WS,WU,XA,XB,XF,XH,XV,XW,YB,YC,YG,YM,YO,YU,ZB,ZC,ZJ,ZR,ZV
BE,191.7,71.9,131.8,120.2,184.3,204.9,220.9,38.4,238.0,227.1,0.0,88.8,142.2,141.1,873.5,1402.5,783.0,132.9,119.2,146.6,108.4,144.9,197.2,269.6,119.3,897.7,192.7,207.7,184.6,282.3,40.7,213.7,87.3,129.3,1034.3,86.8,101.5,48.3,991.6,202.1,864.7,196.0,137.1,99.0,881.2,983.3,212.0,162.6,88.8,756.1,234.9,149.1,180.7,127.9,122.8,103.9,52.4,80.3,270.2,193.7,209.2,154.2,809.6,221.4,123.5,294.4,262.3,32.2,101.4,113.6,278.5,119.6,805.1,808.7,24.4,172.3,152.6,143.0,156.7,828.4,168.7,990.7,1044.6,928.6,210.8,228.6,134.8,848.8,248.3,195.8,886.5,886.0,154.8,131.1,170.4,200.6,248.0,924.4,249.3,195.1,67.7,203.8,164.7,289.8,171.5,162.2,327.1,188.2,1007.1,260.8,171.4,116.1,113.1,123.1,173.3,757.2,901.4,861.4,213.1,112.0,277.7,123.7,960.4,186.0,92.1,175.8,177.4,1027.9,815.2,62.9,166.6,949.6,226.6,207.6,123.5,286.5,160.9,192.6,118.0,840.9,265.0,177.5,999.1,135.1,85.3,187.9,129.2,48.7,137.6,819.1,126.6,107.3
BG,88.8,136.7,205.8,171.1,189.7,183.0,257.0,107.0,288.6,240.0,97.3,0.0,125.6,151.8,924.1,1467.1,833.6,115.7,210.0,154.9,140.2,176.7,247.8,320.2,198.1,948.3,143.9,213.2,156.3,347.1,138.1,159.6,90.2,47.1,1084.9,146.5,161.1,91.7,1042.2,162.0,915.3,227.6,185.1,79.2,931.8,1030.6,262.6,201.2,129.2,820.9,226.2,131.6,245.5,179.7,182.5,127.7,121.0,119.2,320.8,202.8,292.4,97.4,874.4,272.0,125.1,290.3,312.9,129.6,145.0,62.8,259.7,85.0,855.7,859.3,93.0,208.4,95.1,193.6,194.1,879.0,208.7,1041.3,1095.2,979.2,184.5,248.2,175.2,899.4,298.9,167.6,881.0,936.6,198.2,181.4,187.8,198.1,218.5,975.0,314.1,200.5,130.8,179.3,130.6,271.0,67.1,167.9,286.6,147.3,1057.7,311.4,143.1,166.7,24.2,157.6,169.4,807.8,952.0,912.0,189.4,117.7,328.3,129.3,1011.0,219.8,122.6,218.2,148.9,1097.6,868.6,113.5,167.9,1000.2,235.7,158.8,181.9,311.2,129.2,175.9,194.5,866.5,249.4,228.1,1049.7,140.8,91.1,164.2,129.1,104.7,188.2,871.5,183.5,104.0
BN,182.7,206.9,352.9,255.5,274.1,62.6,317.3,191.4,435.3,328.9,181.7,169.0,0.0,246.6,1091.2,1553.1,918.0,191.6,278.8,230.8,216.1,242.5,332.2,404.6,265.5,1032.7,222.2,65.4,75.9,417.3,222.5,235.5,178.7,147.8,1169.3,215.3,221.4,235.4,1126.6,237.9,1070.9,297.8,234.9,163.6,1016.2,1098.4,347.0,285.6,213.6,891.1,92.6,81.9,315.7,255.6,258.4,112.7,205.4,203.6,405.2,278.7,376.8,176.5,944.6,356.4,201.0,453.4,421.8,299.6,232.5,163.5,374.9,171.8,940.1,943.7,177.4,268.7,133.2,278.0,278.5,963.4,264.7,1125.7,1179.6,1050.8,248.6,318.4,259.6,983.8,450.6,243.5,975.0,1021.0,274.1,227.5,272.2,352.9,105.7,1077.5,384.3,284.9,201.0,61.5,182.4,386.2,231.7,224.3,427.4,61.9,1142.1,395.8,62.7,251.1,122.4,217.9,245.3,892.2,1078.4,996.4,101.5,198.3,464.5,56.5,1095.4,280.0,212.5,269.8,224.8,1167.8,996.8,215.9,24.3,1055.0,311.6,237.1,217.5,395.6,93.7,260.3,277.5,948.8,361.4,312.5,1134.1,197.2,202.8,198.4,189.4,189.1,272.6,985.5,243.8,191.5
BP,114.7,182.3,265.6,245.1,144.7,299.5,303.4,109.0,348.4,293.4,154.3,153.9,234.7,0.0,983.9,1504.8,893.4,55.9,204.4,51.6,54.9,219.4,307.6,380.0,221.6,1008.1,275.3,315.5,272.8,392.7,195.1,136.7,187.7,117.5,1144.7,161.3,186.7,133.5,1102.0,121.3,975.1,226.2,211.6,83.7,991.6,1093.7,322.4,148.7,155.1,866.5,342.7,233.9,291.1,76.4,81.5,231.1,118.7,156.9,380.6,99.5,319.6,77.2,920.0,331.8,46.5,350.1,372.7,186.6,80.0,101.8,363.7,224.8,915.5,919.1,126.8,257.5,125.6,253.4,223.0,938.8,253.9,1101.1,1155.0,1039.0,303.6,189.0,102.4,959.2,358.7,115.0,940.8,996.4,94.9,216.3,236.7,265.1,329.3,1034.8,359.7,155.5,134.0,295.8,246.4,375.0,94.5,255.8,350.3,263.8,1117.5,371.2,259.6,226.5,165.8,208.3,92.5,867.6,1011.8,971.8,290.9,211.7,388.1,245.8,1070.8,260.5,166.6,250.3,101.2,1138.3,925.6,87.7,284.4,1060.0,132.4,305.9,198.0,396.9,245.7,257.1,203.2,926.3,350.2,287.9,1109.5,234.8,88.0,265.7,203.7,98.7,248.0,929.5,211.8,61.2
BQ,1054.7,807.9,782.3,798.3,1002.4,1012.0,774.3,901.8,731.6,842.2,869.2,931.3,984.7,998.1,0.0,1083.3,179.6,1006.2,853.7,1003.1,981.7,898.5,854.9,730.2,819.0,164.7,939.6,1050.2,997.2,688.2,910.0,1073.6,929.8,961.3,295.9,898.6,869.8,890.8,227.9,1010.8,61.1,811.1,890.7,962.4,142.4,237.6,768.1,1007.4,914.5,137.6,1041.9,991.6,854.5,944.4,939.3,946.4,892.5,844.7,786.2,1051.5,838.9,1016.4,109.8,780.1,996.8,725.7,761.8,901.5,921.6,991.8,808.7,929.1,170.1,202.7,908.8,788.1,995.1,748.4,791.8,47.1,865.4,238.8,286.7,73.7,960.3,942.8,920.7,53.0,812.5,1004.5,195.4,108.0,963.5,830.7,785.5,787.6,1043.8,81.5,808.4,1013.2,878.0,1029.3,905.4,797.4,1033.0,911.7,821.0,1030.7,243.4,737.8,1013.9,788.3,955.6,838.5,982.0,157.2,51.0,65.6,972.4,905.7,771.3,966.2,196.7,913.1,892.1,902.1,993.9,277.0,194.9,944.3,1009.1,81.2,1043.9,954.5,877.1,804.0,984.7,785.8,854.6,229.5,739.5,857.9,248.2,884.6,963.5,902.2,864.8,912.1,787.4,184.1,864.5,962.6
BV,1586.8,1423.7,1398.1,1414.1,1476.3,1567.1,1351.3,1466.6,1279.1,1458.0,1485.0,1547.1,1600.5,1556.9,1041.8,0.0,1072.8,1528.0,1380.6,1546.7,1503.5,1383.0,1382.5,1257.8,1340.2,1036.2,1400.3,1606.5,1546.5,1215.8,1439.8,1611.3,1480.3,1544.2,1136.9,1445.6,1414.7,1459.7,1099.4,1574.6,1065.7,1426.9,1395.5,1521.0,1052.5,1057.3,1295.7,1481.3,1438.5,1073.1,1576.5,1529.2,1382.1,1508.2,1503.1,1562.2,1457.3,1404.7,1268.0,1570.8,1366.5,1549.3,1089.7,1307.7,1518.6,1341.5,1289.4,1400.0,1478.2,1528.5,1336.3,1484.9,1066.5,1171.3,1470.9,1351.2,1563.0,1364.2,1407.6,1089.0,1349.5,1093.3,1147.2,1001.4,1407.1,1431.1,1484.5,1094.9,1294.3,1568.3,996.2,1050.4,1527.3,1375.6,1401.3,1403.4,1586.1,1028.1,1336.0,1487.1,1442.8,1578.6,1450.3,1325.0,1566.6,1405.5,1348.6,1559.1,1114.9,1265.4,1554.9,1404.1,1552.2,1383.4,1545.8,1121.2,1029.0,1107.5,1514.7,1456.2,1318.8,1582.0,1068.2,1373.9,1439.1,1382.7,1557.7,1130.5,1020.6,1477.8,1579.7,1005.6,1532.2,1409.6,1407.8,1251.1,1522.7,1401.6,1381.5,1084.8,1352.8,1385.5,1101.7,1429.5,1500.2,1407.0,1409.7,1476.9,1315.0,1008.7,1404.9,1519.2
BW,947.2,700.4,674.8,690.8,878.1,904.5,666.8,794.3,624.1,734.7,761.7,823.8,877.2,890.6,169.7,1030.3,0.0,898.7,746.2,895.6,874.2,791.0,695.6,779.4,711.5,295.8,832.1,942.7,889.7,737.4,802.5,966.1,822.3,853.8,427.0,791.1,762.3,783.3,359.0,903.3,160.9,703.6,783.2,854.9,312.1,347.5,817.3,883.1,807.0,55.0,934.4,884.1,679.7,836.9,831.8,838.9,785.0,737.2,679.5,944.0,707.6,908.9,83.7,751.4,889.3,618.2,692.4,794.0,814.1,884.3,645.5,821.6,32.8,99.8,801.3,680.6,887.6,640.9,684.3,124.6,757.9,369.9,417.8,228.7,852.8,835.3,813.2,138.9,653.7,897.0,76.1,277.8,856.0,723.2,678.0,680.1,936.3,232.0,723.1,878.8,770.5,921.8,797.9,656.8,925.5,804.2,645.3,923.2,374.5,787.0,906.4,680.8,848.1,731.0,874.5,48.3,197.6,126.9,864.9,798.2,663.8,858.7,327.8,805.6,784.6,794.6,886.4,408.1,75.6,836.8,901.6,226.6,936.4,847.0,769.6,692.3,877.2,678.3,747.1,122.0,632.0,683.1,379.3,777.1,856.0,794.7,757.3,804.6,696.4,64.8,757.0,855.1
CP,58.7,179.9,211.9,193.3,128.2,243.5,300.8,116.7,346.0,296.9,144.7,104.9,182.0,74.3,981.5,1482.6,891.0,0.0,209.8,39.1,24.4,208.0,305.2,377.6,199.4,1005.7,244.7,259.5,216.8,390.3,185.5,80.7,139.4,87.2,1142.3,146.3,194.4,141.2,1099.6,72.0,972.7,230.8,200.4,68.7,989.2,1088.0,320.0,116.4,99.9,864.1,286.7,177.9,288.7,63.9,66.7,175.1,122.2,134.7,378.2,87.0,349.8,15.0,917.6,329.4,9.3,374.5,370.3,177.0,84.6,68.8,358.4,175.8,913.1,916.7,117.2,252.2,69.6,251.0,226.5,936.4,240.0,1098.7,1152.6,1036.6,262.9,172.5,89.9,956.8,356.3,65.7,986.6,994.0,82.4,211.0,240.2,269.7,273.3,1089.1,357.3,139.0,113.7,239.8,205.5,369.7,38.5,214.3,344.0,207.8,1115.1,368.8,203.6,224.1,109.8,201.4,53.6,865.2,1009.4,969.4,234.9,164.1,385.7,189.8,1068.4,245.5,151.6,235.3,52.3,1140.8,923.2,95.4,228.4,1066.6,119.9,258.1,183.0,368.6,189.7,261.7,208.5,921.0,344.9,285.5,1107.1,187.2,73.0,209.7,197.4,106.4,245.6,928.9,217.2,46.2
CR,240.8,103.8,93.7,98.6,153.0,245.0,140.7,120.6,245.2,221.3,100.4,202.2,218.6,197.2,880.7,1349.8,790.2,182.0,0.0,200.7,157.5,108.7,256.4,350.5,66.6,874.1,165.7,284.1,224.4,318.3,93.8,265.3,127.9,197.4,1010.7,73.0,62.6,79.0,968.0,228.6,871.9,194.7,113.8,148.4,857.6,961.0,243.9,164.5,92.5,763.3,264.6,212.4,232.5,162.2,157.1,180.3,111.3,58.7,299.8,224.8,274.6,197.1,816.8,308.9,172.6,268.2,245.2,54.0,132.2,181.7,198.3,139.3,812.3,815.9,124.9,92.1,251.7,201.7,175.4,835.6,70.1,967.1,1021.0,909.6,194.0,197.3,138.5,856.0,274.0,222.3,833.8,862.4,181.3,50.9,169.1,124.7,265.2,936.3,275.9,163.8,79.9,256.5,128.1,209.6,220.6,134.4,250.8,248.5,983.5,292.7,237.6,148.0,226.5,62.7,210.2,764.4,908.6,868.6,195.1,110.1,287.9,200.1,936.8,119.4,65.0,108.4,211.7,1009.2,824.8,131.8,243.0,913.8,257.7,177.2,96.4,306.8,200.6,132.3,0.9,788.2,188.0,235.9,975.5,107.3,153.4,187.9,87.5,130.9,169.5,826.3,28.0,173.2
CT,117.9,185.7,269.0,248.5,106.7,302.7,306.8,112.4,351.8,296.8,158.4,164.1,241.2,70.0,987.3,1496.3,896.8,59.1,207.8,0.0,38.1,248.3,311.0,383.4,213.1,1011.5,303.9,318.7,276.0,396.1,199.2,107.9,198.6,137.6,1148.1,190.2,190.1,136.9,1105.4,83.3,978.5,229.6,240.5,112.6,995.0,1097.1,325.8,120.2,158.5,869.9,345.9,237.1,294.5,38.4,43.5,234.3,122.1,148.4,384.0,61.5,355.6,74.2,923.4,335.2,49.7,388.2,376.1,190.7,83.4,121.9,367.1,235.0,918.9,922.5,130.9,260.9,128.8,256.8,226.4,942.2,257.3,1104.5,1158.4,1042.4,322.1,151.0,64.4,962.6,362.1,77.0,944.2,999.8,56.9,219.7,240.1,268.5,332.5,1038.2,363.1,117.5,127.4,299.0,264.7,378.4,97.7,273.5,353.7,267.0,1120.9,374.6,262.8,229.9,169.0,210.1,64.9,871.0,1015.2,975.2,294.1,223.3,391.5,249.0,1074.2,289.4,195.5,279.2,63.2,1146.6,929.0,91.1,287.6,1063.4,94.4,317.3,226.9,400.3,248.9,260.5,206.5,934.7,353.6,291.3,1112.9,246.4,93.6,268.9,228.6,102.1,251.4,932.9,215.2,74.7
