from_stop,AA,AB,AI,AK,AM,AP,AZ,BB,BC,BD,BK,BQ,BW,BY,CC,CR,CT,CV,CW,CY,DD,DV,DX,EB,EC,EE,EI,EM,FB,FL,FW,FY,GB,GC,GJ,GK,GM,GN,GW,GX,HA,HB,HD,HF,HP,HS,HZ,IC,IK,IO,IR,IT,IU,IW,IX,JA,JB,JC,JH,JS,JU,KB,KH,KI,KJ,KP,KV,KW,LD,LP,LQ,LY,MA,MC,MD,MG,MI,MJ,MY,NA,NG,NM,NN,NQ,NU,NW,OA,OE,OI,OP,OQ,OW,OZ,PA,PB,PD,PJ,PN,PQ,PS,PV,QC,QD,QH,QJ,QL,QT,QW,RI,RQ,RS,RV,RX,SB,SE,SF,SK,SM,SR,SS,TD,TG,TI,TS,TZ,UD,UJ,UO,UT,UY,UZ,VD,VI,VK,VM,VQ,VR,VX,WB,WD,WE,WK,XC,XG,XJ,XK,XP,XQ,XV,XZ,YB,YK,YL,YQ,YX,ZA,ZH,ZX
BK,515.3,511.8,319.6,404.0,302.8,131.7,364.3,232.7,304.1,409.1,0.0,301.2,337.1,344.1,75.7,920.7,434.1,406.4,543.3,887.8,102.7,331.1,147.7,59.4,332.5,340.4,966.6,574.5,978.2,350.0,249.7,239.2,203.8,920.7,868.1,336.8,332.1,416.2,250.5,177.8,331.5,346.9,415.3,232.9,239.6,367.1,374.8,322.5,248.4,308.5,468.7,902.6,275.1,348.3,301.7,70.1,167.7,320.8,100.7,436.6,777.9,272.3,863.5,916.1,442.3,325.3,909.7,269.0,200.8,813.5,306.4,262.0,51.4,271.7,360.6,172.9,331.9,344.5,243.9,851.9,1002.1,346.5,936.4,364.1,436.2,288.1,505.2,335.7,456.4,396.4,475.7,264.6,375.3,496.6,351.3,498.2,67.7,259.0,135.8,267.9,304.0,377.5,542.0,272.5,890.5,142.3,84.3,362.3,274.5,942.0,201.6,278.2,405.5,202.7,155.1,160.2,426.0,204.2,381.8,919.1,257.1,906.8,412.3,294.0,383.8,315.4,178.7,323.0,967.8,351.2,330.8,308.4,270.3,210.0,325.1,557.2,311.3,290.2,135.4,36.5,282.9,352.3,863.0,214.7,936.9,950.2,564.7,357.7,201.0,347.0,290.5,945.6,267.9,303.0,962.1,875.5,296.3,468.8
BQ,309.2,305.7,160.2,197.9,60.0,244.3,219.7,71.5,67.8,203.0,301.7,0.0,120.6,101.3,298.9,757.3,412.5,163.6,337.2,724.4,258.1,194.1,188.1,282.6,215.5,138.0,803.2,552.9,814.8,107.2,192.5,204.0,224.7,757.3,704.7,74.4,89.3,173.4,233.9,198.7,141.4,45.6,172.5,253.8,227.9,222.5,230.2,59.7,131.4,191.5,447.1,739.2,145.3,112.6,184.7,328.7,166.0,58.4,209.8,230.5,614.5,260.4,700.1,752.7,236.2,135.2,746.3,124.4,146.2,650.1,86.2,183.3,310.0,85.6,100.3,196.5,69.1,82.1,58.9,688.5,838.7,201.9,773.0,176.5,414.6,102.0,299.1,218.7,434.8,153.6,454.1,220.5,230.7,475.0,124.2,292.1,290.9,247.1,206.6,77.8,170.2,171.4,520.4,171.4,727.1,237.9,239.7,229.3,236.0,778.6,240.1,133.6,187.7,228.1,149.9,144.8,163.2,225.1,166.5,755.7,45.6,743.4,206.2,185.0,141.0,170.8,199.6,178.4,804.4,88.8,88.0,163.8,176.3,214.2,145.5,535.6,82.0,164.9,231.0,295.1,138.3,191.2,699.6,224.2,773.5,786.8,543.1,167.6,205.2,129.1,100.4,782.2,251.3,40.6,1119.9,712.1,106.2,447.2
BW,255.2,251.7,103.6,143.9,106.9,294.9,163.1,122.1,108.2,149.0,352.3,123.3,0.0,148.2,349.5,813.5,438.9,210.5,283.2,780.6,308.7,241.0,236.6,333.2,241.9,112.4,859.4,579.3,871.0,154.1,218.9,147.4,182.8,813.5,760.9,158.9,136.2,220.3,260.3,225.1,51.5,126.9,219.4,216.8,254.3,185.5,173.6,51.0,157.8,217.9,473.5,795.4,192.2,64.6,211.1,379.3,216.6,142.9,260.4,176.5,670.7,203.8,756.3,808.9,182.2,87.6,802.5,86.7,196.8,706.3,90.5,126.7,360.6,150.5,52.3,247.1,41.4,170.9,123.8,744.7,894.9,164.9,829.2,55.8,441.0,150.7,245.1,245.1,461.2,200.5,480.5,163.9,174.1,501.4,171.1,238.1,341.5,190.5,260.2,95.5,113.6,117.4,546.8,218.3,783.3,288.5,290.3,282.4,179.4,834.8,273.5,77.0,133.7,278.7,200.5,195.4,109.2,245.5,101.8,811.9,110.5,799.6,152.2,214.1,187.9,198.8,207.9,102.9,860.6,173.3,134.9,146.8,119.7,264.8,192.4,562.0,128.9,192.0,281.6,345.7,166.3,101.3,755.8,171.9,829.7,843.0,569.5,77.7,255.8,176.0,72.2,838.4,277.7,125.1,1055.8,768.3,66.1,473.6
BY,356.7,353.2,225.7,245.4,51.2,309.8,276.4,137.0,85.5,250.5,367.2,103.9,168.1,0.0,364.4,861.3,398.0,98.3,384.7,828.4,323.6,134.6,268.8,344.5,201.0,185.5,907.2,538.4,918.8,5.9,178.0,269.5,290.2,861.3,808.7,130.7,85.6,108.1,219.4,264.2,219.7,150.1,107.2,319.3,213.4,288.0,264.9,107.2,152.3,177.0,432.6,843.2,138.8,160.1,149.9,394.2,246.7,92.4,275.3,278.0,718.5,325.9,804.1,856.7,283.7,183.1,850.3,189.9,211.7,754.1,133.7,248.8,375.5,136.8,147.8,262.0,116.6,58.7,124.4,792.5,942.7,275.6,877.0,224.0,400.1,121.5,346.6,204.2,420.3,88.3,439.6,286.0,295.9,460.5,58.9,339.6,356.4,312.6,272.1,143.6,235.7,218.9,505.9,138.5,835.3,281.9,305.2,214.8,301.5,882.6,232.6,199.1,235.2,245.2,216.2,210.3,210.7,290.6,214.0,859.7,111.1,854.7,253.7,170.5,75.7,236.3,265.1,243.9,908.4,122.2,63.5,229.3,241.8,266.5,78.4,521.1,99.7,181.9,288.8,360.6,203.8,225.2,803.6,289.7,877.5,890.8,528.6,238.1,220.0,104.6,165.9,886.2,236.8,105.7,1156.9,816.1,171.7,432.7
CC,498.3,494.8,302.6,387.0,285.8,153.5,347.3,215.7,293.6,392.1,81.5,284.2,320.1,327.1,0.0,959.1,472.5,389.4,526.3,926.2,85.7,314.1,128.6,40.4,315.5,323.4,1005.0,612.9,1016.6,333.0,232.7,222.2,186.8,959.1,906.5,319.8,315.1,399.2,233.5,160.8,314.5,329.9,398.3,215.9,222.6,350.1,357.8,305.5,231.4,291.5,507.1,941.0,258.1,331.3,284.7,108.5,150.7,303.8,83.7,419.6,816.3,255.3,901.9,954.5,425.3,308.3,948.1,252.0,183.8,851.9,289.4,245.0,89.8,254.7,343.6,176.6,314.9,327.5,226.9,890.3,1040.5,337.7,974.8,347.1,474.6,271.1,488.2,318.7,494.8,379.4,514.1,247.6,358.3,535.0,334.3,481.2,48.7,242.0,115.8,250.9,291.3,360.5,580.4,255.5,928.9,125.3,67.3,318.6,257.5,980.4,184.6,261.2,388.5,185.7,137.3,143.2,409.0,187.2,364.8,957.5,240.1,952.5,395.3,274.3,366.8,298.4,161.7,306.0,1006.2,334.2,313.8,291.4,253.3,193.0,308.1,595.6,294.3,272.5,118.4,74.9,265.9,335.3,901.4,202.0,975.3,988.6,603.1,340.7,184.0,330.0,273.5,984.0,250.9,286.0,1000.5,913.9,279.3,507.2
CR,587.5,498.9,655.1,489.1,645.4,792.6,569.4,656.9,646.7,484.0,822.8,585.3,617.4,686.7,845.1,0.0,634.5,749.0,615.5,143.1,894.1,740.6,798.1,819.3,702.5,683.2,102.5,735.0,414.7,692.6,695.9,658.9,694.3,122.6,91.8,659.8,674.7,758.8,737.3,732.8,597.6,607.5,757.9,719.2,731.3,733.8,557.9,645.1,690.1,678.5,669.1,339.1,742.5,635.4,716.8,822.6,778.1,643.8,854.5,510.6,214.4,665.1,173.6,41.9,516.3,658.4,346.2,635.0,731.6,117.1,671.6,638.2,780.2,671.0,623.1,833.8,612.2,667.5,644.3,139.9,100.4,713.2,9.3,639.6,636.6,687.4,577.4,660.0,656.8,739.0,676.1,675.4,588.9,697.0,731.4,570.4,811.0,680.3,829.4,663.2,645.1,515.6,702.5,729.8,114.2,799.8,875.7,720.5,667.2,159.2,750.5,624.9,528.2,763.1,735.3,730.2,652.6,747.9,580.5,142.8,631.0,72.1,526.1,671.1,726.4,756.2,719.4,571.9,66.1,674.2,673.4,695.1,631.2,784.4,710.1,717.7,667.4,757.6,806.7,795.1,723.7,540.8,170.9,683.4,135.8,29.4,701.3,604.6,737.9,714.5,640.5,24.8,754.7,626.0,1218.2,312.0,634.4,629.3
CT,521.7,518.2,311.2,410.4,318.2,305.2,370.7,257.1,328.5,415.5,335.4,325.6,343.5,311.2,357.7,750.2,0.0,337.1,549.7,717.3,406.7,253.2,312.8,331.9,215.1,346.8,796.1,171.7,807.7,305.3,208.5,355.0,390.4,750.2,697.6,361.2,321.1,346.9,249.9,367.7,339.5,371.3,346.0,422.8,243.9,373.5,381.2,361.4,202.7,191.1,34.5,732.1,255.1,369.9,229.4,335.2,290.7,345.2,367.1,443.0,607.4,411.4,693.0,745.6,448.7,346.9,739.2,275.4,315.2,643.0,312.8,334.3,292.8,296.1,382.2,346.4,370.8,312.1,268.3,681.4,831.6,352.9,765.9,370.5,149.2,312.5,511.6,172.6,52.7,327.1,41.5,371.5,381.7,62.4,244.0,504.6,323.6,398.1,345.0,291.7,321.2,387.1,139.2,242.4,720.0,312.4,388.3,221.5,387.0,771.5,256.7,284.6,411.9,275.7,318.9,313.8,452.8,394.1,389.8,748.6,281.5,736.3,418.7,181.0,314.5,321.8,368.6,329.4,797.3,375.6,330.5,314.8,327.3,297.0,222.7,154.4,335.7,269.5,319.3,307.7,289.3,358.7,692.5,379.5,766.4,779.7,104.4,365.7,250.5,316.1,312.1,775.1,267.3,327.4,1056.8,705.0,317.9,127.7
CV,410.3,406.8,279.3,299.0,104.8,363.4,330.0,190.6,132.6,304.1,420.8,157.5,221.7,109.6,418.0,914.9,445.2,0.0,438.3,882.0,377.2,181.8,313.9,401.7,248.2,239.1,960.8,585.6,972.4,115.5,225.2,323.1,343.8,914.9,862.3,170.7,139.2,30.3,266.6,317.8,273.3,203.7,70.8,372.9,260.6,341.6,318.5,160.8,199.5,224.2,479.8,896.8,186.0,213.7,197.1,447.8,293.9,132.4,328.9,331.6,772.1,379.5,857.7,913.0,337.3,236.7,903.9,243.5,265.3,807.7,187.3,302.4,440.1,190.4,201.4,315.6,170.2,98.7,178.0,846.1,996.3,321.0,930.6,277.6,447.3,175.1,400.2,251.4,467.5,10.8,486.8,339.6,349.5,507.7,104.3,393.2,410.0,366.2,328.7,196.9,289.3,272.5,553.1,185.7,884.7,329.1,358.8,288.7,355.1,936.2,279.8,252.7,288.8,292.4,269.0,263.9,264.3,344.2,267.6,913.3,164.7,901.0,307.3,220.4,23.8,289.9,318.7,297.5,962.0,162.2,117.1,282.9,295.4,313.7,125.6,568.3,153.3,229.8,336.0,414.2,257.4,278.8,857.2,354.7,931.1,944.4,575.8,291.7,267.2,158.2,219.5,939.8,284.0,150.4,1204.1,869.7,225.3,479.9
CW,169.0,215.7,266.8,100.8,289.4,443.2,181.1,302.1,297.2,113.0,500.6,305.8,229.1,330.7,497.8,777.5,598.9,393.0,0.0,744.6,457.0,394.9,392.5,481.5,401.9,294.9,823.4,739.3,835.0,336.6,378.9,270.6,306.0,777.5,724.9,341.4,318.7,402.8,420.3,344.5,209.3,309.4,401.9,330.9,414.3,345.5,169.6,233.5,317.8,377.9,633.5,759.4,336.9,247.1,371.1,527.6,370.4,325.4,408.7,140.5,634.7,276.8,720.3,772.9,146.2,270.1,766.5,246.7,350.6,670.3,273.0,249.9,485.8,332.2,234.8,400.9,223.9,353.4,306.3,708.7,858.9,324.9,793.2,251.3,601.0,333.2,32.6,405.1,621.2,383.0,640.5,287.1,200.6,661.4,353.6,151.9,489.8,292.0,408.5,275.2,256.8,124.1,706.8,359.9,747.3,451.2,438.6,415.7,278.9,798.8,433.5,236.6,139.9,446.1,354.3,349.2,264.3,359.6,192.2,775.9,293.0,770.9,137.8,371.4,370.4,332.9,331.1,183.6,824.6,355.8,317.4,306.8,242.9,418.6,374.9,722.0,311.4,352.0,444.3,494.0,300.4,152.5,719.8,290.8,793.7,807.0,729.5,216.3,420.9,348.5,252.2,802.4,437.7,307.6,1136.5,732.3,246.1,633.6
CY,609.5,520.9,677.1,511.1,667.4,807.8,591.4,678.9,668.7,506.0,838.0,607.3,639.4,708.7,860.3,156.1,649.7,771.0,637.5,0.0,909.3,755.8,813.3,834.5,717.7,705.2,135.9,750.2,352.7,714.6,711.1,680.9,716.3,172.7,136.2,681.8,696.7,780.8,752.5,754.8,619.6,629.5,779.9,741.2,746.5,755.8,579.9,667.1,705.3,693.7,684.3,277.1,757.7,657.4,732.0,837.8,793.3,665.8,869.7,532.6,152.4,687.1,65.0,154.2,538.3,680.4,284.2,657.0,753.6,81.6,693.6,660.2,795.4,693.0,645.1,849.0,634.2,689.5,666.3,26.7,171.4,735.2,171.8,661.6,651.8,709.4,599.4,675.2,672.0,761.0,691.3,697.4,610.9,712.2,746.6,592.4,826.2,702.3,844.6,685.2,667.1,537.6,717.7,745.0,158.6,815.0,890.9,735.7,689.2,209.3,765.7,646.9,550.2,778.3,757.3,752.2,674.6,769.9,602.5,187.2,653.0,112.4,548.1,686.3,748.4,778.2,741.4,593.9,137.1,696.2,695.4,717.1,653.2,799.6,725.3,732.9,689.4,772.8,821.9,810.3,745.7,562.8,57.7,705.4,99.0,185.6,716.5,626.6,753.1,736.5,662.5,181.0,769.9,648.0,1233.4,250.0,656.4,644.5
