from_stop,AJ,AN,BF,BN,BO,CC,CK,CL,CU,CW,DB,DC,DL,DM,DZ,EL,EU,FB,FE,FF,FH,FR,FS,FV,GK,GN,GS,GX,HB,HC,HF,HJ,HO,IE,IF,IT,JZ,KB,KC,KE,KF,KG,KN,KU,LN,LO,LP,LU,LV,MD,ML,MT,NS,NT,NW,OV,PB,PH,PI,PJ,PK,PV,QL,QQ,QU,QY,RO,RQ,RR,TE,TJ,TK,UC,UD,UF,UH,UK,UU,UX,VC,WC,WE,WJ,WK,WV,XF,XI,XK,XN,XO,XU,XV,YJ,YN,YO,YR,YT,YY,ZD,ZQ
DB,214.4,227.7,75.4,169.9,185.6,244.9,429.1,409.6,247.8,236.0,0.0,182.2,114.8,40.3,304.8,171.6,424.7,205.6,180.4,176.2,226.9,222.7,79.0,324.4,152.1,184.7,63.0,153.2,161.1,162.7,154.4,118.7,270.9,139.2,211.6,226.9,165.6,336.4,392.9,198.0,196.8,88.5,181.1,144.4,77.1,121.4,164.8,130.4,142.8,205.6,94.5,127.5,371.9,206.0,261.2,160.7,244.1,243.8,166.8,289.3,1319.2,187.8,85.9,179.1,174.7,185.8,161.0,235.3,157.1,351.0,148.1,73.8,272.6,170.6,112.1,92.6,127.3,86.2,53.3,229.0,220.9,60.6,25.3,136.6,187.0,187.8,151.2,143.0,136.6,75.7,115.9,47.0,209.3,204.6,269.2,165.8,167.5,120.1,232.2,239.6
DC,93.3,153.8,168.9,280.6,296.3,262.0,380.8,362.8,173.9,346.7,126.4,0.0,227.4,98.9,415.5,6.6,377.9,31.0,140.2,180.2,337.6,305.3,193.9,277.6,37.7,293.9,107.8,237.3,271.8,219.0,112.7,44.3,380.1,79.8,263.0,232.7,151.6,289.6,346.1,147.9,15.0,182.0,233.0,17.8,162.8,232.1,77.7,96.8,216.8,32.8,114.3,238.2,323.6,315.2,141.9,271.4,137.1,145.4,128.1,297.6,1274.2,101.2,55.1,289.8,78.8,296.5,271.7,76.0,267.8,302.7,257.3,91.3,383.3,113.0,221.3,80.4,127.3,173.4,125.4,338.2,330.2,129.3,113.2,116.9,97.5,101.2,260.4,253.7,103.4,122.0,192.5,163.3,110.9,84.6,379.9,275.0,276.7,229.3,233.3,350.3
DL,276.9,267.1,141.4,94.7,107.7,215.2,517.7,527.7,287.2,119.2,196.1,262.4,0.0,158.4,188.0,252.9,542.8,291.3,219.8,222.8,110.1,105.9,127.3,442.5,233.4,67.9,181.1,36.4,44.3,105.8,216.9,232.1,154.1,201.7,95.0,225.8,196.1,454.5,511.0,249.1,259.3,154.5,92.9,257.8,136.0,56.9,276.1,228.3,56.6,291.3,210.8,72.9,490.0,88.5,300.6,46.6,280.5,283.2,206.6,244.8,1282.6,250.3,204.0,62.6,237.2,69.0,44.2,267.7,81.9,469.1,31.3,187.2,155.8,246.7,34.6,248.9,189.8,126.9,176.3,112.2,100.6,170.4,143.4,199.1,249.5,250.3,33.8,26.2,226.2,193.8,83.2,168.6,248.7,244.0,152.4,96.6,50.7,48.4,202.5,85.3
DM,181.5,194.8,102.9,181.6,197.3,230.2,388.7,369.2,214.9,247.7,27.4,149.3,126.5,0.0,316.5,138.7,384.3,172.7,147.5,143.3,238.6,234.4,94.9,284.0,119.2,196.4,22.6,164.9,172.8,148.0,121.5,85.8,282.6,106.3,223.3,194.0,132.7,296.0,352.5,165.1,163.9,116.0,166.4,111.5,95.0,133.1,124.4,97.5,157.7,172.7,54.1,139.2,331.5,217.7,228.3,172.4,211.2,210.9,133.9,272.0,1280.6,154.9,45.5,190.8,141.8,197.5,172.7,202.4,168.8,310.6,159.8,40.9,284.3,137.7,123.8,52.2,94.4,104.1,26.4,240.7,232.6,64.2,15.7,103.7,154.1,154.9,162.9,154.7,103.7,35.3,130.8,65.8,176.4,171.7,280.9,177.5,179.2,131.8,214.4,251.3
DZ,302.8,182.1,252.9,242.3,236.4,199.8,686.3,666.8,202.2,165.8,303.1,332.3,216.8,297.5,0.0,325.6,681.9,350.7,205.8,151.7,156.7,195.4,319.8,581.6,308.6,227.4,320.2,292.9,235.0,175.3,250.4,307.3,90.5,260.8,223.7,148.4,171.0,593.6,650.1,235.1,318.4,266.0,193.7,333.0,279.1,290.4,351.3,303.5,283.5,350.7,351.7,287.6,629.6,109.7,215.6,261.3,221.9,200.3,192.2,142.4,1443.5,263.1,343.1,277.3,266.3,198.5,203.7,253.7,255.1,608.2,181.7,262.4,53.4,305.8,253.0,324.1,218.9,288.2,251.5,75.7,159.7,245.6,291.4,228.2,295.0,263.1,178.5,224.3,258.2,332.9,256.6,287.8,200.0,230.0,157.4,311.3,210.2,263.1,125.1,274.1
EL,78.3,146.1,141.8,245.0,260.7,254.3,388.0,368.5,166.2,320.1,132.1,5.6,231.2,104.6,388.9,0.0,383.6,23.3,133.7,172.5,311.0,278.2,199.6,283.3,16.1,301.1,115.0,211.7,277.5,187.5,103.8,50.0,355.0,82.8,235.9,223.2,143.9,295.3,351.8,139.9,7.3,154.9,205.9,23.5,149.2,237.8,54.2,104.5,191.2,23.3,123.3,243.9,330.8,290.1,132.4,277.1,130.6,137.7,118.6,289.9,1279.9,96.5,60.8,295.5,71.1,302.2,277.4,69.5,232.2,309.9,264.5,97.0,356.7,89.6,228.5,85.0,133.9,158.3,131.1,313.1,305.0,115.7,120.4,109.2,93.8,96.5,267.6,223.7,81.3,127.7,164.3,170.5,103.2,78.1,353.3,282.2,283.9,236.5,225.6,356.0
EU,465.0,525.5,493.3,572.0,587.7,633.7,54.2,37.8,545.6,638.1,417.8,371.6,516.9,390.3,706.9,378.3,0.0,385.4,513.1,533.7,629.0,624.8,485.3,117.0,409.4,586.8,400.7,555.3,563.2,538.4,484.3,400.7,673.0,451.5,613.7,584.4,523.3,123.5,54.5,519.3,386.7,506.4,556.8,378.8,485.4,523.5,438.7,436.8,548.1,385.4,409.0,529.6,82.9,608.1,511.8,562.8,510.0,517.1,498.0,662.4,1110.0,484.5,346.5,581.2,450.5,587.9,563.1,448.9,559.2,86.4,550.2,431.3,674.7,477.6,514.2,372.7,484.8,494.5,416.8,631.1,623.0,454.6,406.1,494.1,472.6,484.5,553.3,545.1,461.8,413.4,521.2,456.2,482.6,457.5,671.3,567.9,569.6,522.2,605.0,641.7
FB,104.6,165.1,184.1,287.3,275.1,273.3,407.4,387.9,185.2,346.6,170.4,43.9,269.5,142.9,415.4,37.2,403.0,0.0,152.7,191.5,337.5,304.7,237.9,302.7,58.4,339.4,153.3,254.0,315.8,214.0,124.0,101.6,381.5,91.1,262.4,242.2,162.9,314.7,371.2,158.9,26.3,197.2,232.4,75.1,191.5,276.1,96.5,146.8,233.5,0.0,161.6,282.2,350.7,316.6,151.4,315.4,149.6,156.7,137.6,308.9,1299.3,112.5,99.1,333.8,90.1,340.5,315.7,88.5,274.5,329.3,302.8,148.6,383.2,131.9,266.8,136.6,138.6,200.6,169.4,339.6,331.5,158.0,158.7,128.2,108.8,112.5,305.9,266.0,123.6,166.0,206.6,208.8,122.2,97.1,379.8,320.5,322.2,274.8,244.6,394.3
FE,139.0,90.4,148.7,201.7,195.8,159.2,525.3,505.8,110.5,267.3,198.9,141.8,262.6,193.3,336.1,136.2,520.9,161.3,0.0,77.4,258.2,225.4,215.6,420.6,169.0,275.4,216.0,218.6,283.0,140.6,91.5,190.3,298.6,128.3,183.1,128.1,48.8,432.6,489.1,29.0,129.0,161.8,153.1,160.8,174.9,234.1,196.6,171.2,196.1,161.3,245.7,310.7,468.1,236.6,76.7,330.5,71.9,82.0,23.1,187.6,1427.0,75.9,198.1,325.3,98.0,246.5,251.7,66.5,214.5,447.2,229.7,158.2,303.9,165.0,291.6,189.1,81.0,184.0,147.3,260.3,238.1,138.6,187.2,70.6,120.3,75.9,226.5,230.6,144.5,228.7,171.2,183.6,47.5,42.8,300.5,349.9,258.2,308.2,130.5,350.2
FF,163.2,83.6,113.3,154.9,149.0,133.6,546.7,527.2,103.7,220.5,163.5,192.7,262.6,157.9,289.3,186.0,542.3,211.1,66.2,0.0,211.4,178.6,180.2,442.0,169.0,228.6,180.6,183.2,236.2,87.9,110.8,167.7,255.4,121.2,136.3,96.0,31.4,454.0,510.5,95.5,178.8,126.4,106.3,193.4,139.5,198.7,211.7,163.9,162.7,211.1,212.1,275.3,489.5,190.5,117.1,295.1,112.5,101.8,52.6,129.8,1438.6,123.5,203.5,278.5,126.7,199.7,204.9,114.1,167.7,468.6,182.9,122.8,257.1,166.2,259.9,184.5,79.3,148.6,111.9,213.5,205.4,106.0,151.8,88.6,155.4,123.5,179.7,195.2,118.6,193.3,135.8,148.2,101.5,90.4,253.7,313.6,211.4,264.3,72.7,304.0
FH,352.1,231.4,302.2,140.2,152.3,249.1,735.6,716.1,251.5,9.1,352.4,381.6,137.1,346.8,134.9,374.9,731.2,400.0,255.1,201.0,0.0,115.7,245.7,630.9,357.9,147.7,369.5,154.8,155.3,224.6,299.7,356.6,101.0,310.1,139.6,197.7,220.3,642.9,699.4,284.4,367.7,315.3,137.5,382.3,328.4,175.3,400.6,352.8,173.1,400.0,401.0,207.9,678.9,36.1,264.9,181.6,271.2,249.6,241.5,191.7,1416.8,312.4,392.4,197.6,315.6,118.8,124.0,303.0,153.0,657.5,102.0,311.7,102.7,355.1,173.3,373.4,268.2,245.3,300.8,59.1,80.0,294.9,340.7,277.5,344.3,312.4,98.8,144.6,307.5,382.2,201.6,337.1,249.3,279.3,99.3,231.6,130.5,183.4,174.4,194.4
FR,260.4,251.9,190.9,80.4,92.5,200.0,643.9,624.4,272.0,117.8,260.7,289.9,95.3,255.1,226.1,283.2,639.5,308.3,204.6,207.6,108.7,0.0,216.9,539.2,266.2,105.9,277.8,131.0,113.5,96.5,208.0,264.9,152.7,218.4,79.8,210.6,180.9,551.2,607.7,233.9,276.0,173.8,77.7,290.6,212.6,128.5,308.9,261.1,144.3,308.3,309.3,166.1,586.7,87.8,285.4,139.8,268.3,268.0,191.0,244.4,1301.0,237.0,300.7,155.8,223.9,77.0,82.2,252.5,93.2,565.8,60.2,220.0,182.7,263.4,131.5,281.7,176.5,216.5,209.1,110.8,102.7,203.2,249.0,185.8,252.6,237.0,57.0,143.0,215.8,290.5,172.8,244.4,233.5,228.8,151.0,189.8,88.7,141.6,187.3,124.7
FS,229.9,243.2,99.9,137.3,153.0,226.3,509.9,490.4,263.3,237.3,92.1,197.7,174.8,121.1,306.1,187.1,505.5,225.5,195.9,191.7,228.2,223.3,0.0,405.2,167.6,186.0,143.8,104.0,175.0,144.1,169.9,154.1,272.2,154.7,179.0,236.9,181.1,417.2,473.7,213.5,212.3,113.0,176.9,179.8,32.5,119.5,210.3,162.5,83.5,225.5,175.3,187.5,452.7,207.3,276.7,215.9,259.6,259.3,182.3,270.7,1379.2,203.3,166.7,239.1,190.2,187.1,162.3,250.8,124.5,431.8,149.4,109.2,273.9,186.1,172.1,170.9,142.8,23.4,88.7,230.3,222.2,68.9,106.1,152.1,202.5,203.3,152.5,116.0,152.1,156.5,56.6,48.1,224.8,220.1,270.5,225.8,168.8,180.1,213.6,214.1
FV,363.8,424.3,392.1,470.8,486.5,532.5,112.8,93.3,444.4,536.9,316.6,270.4,415.7,289.1,605.7,277.1,139.2,318.4,411.9,432.5,527.8,523.6,384.1,0.0,308.2,485.6,299.5,454.1,462.0,437.2,383.1,299.5,571.8,350.3,512.5,483.2,422.1,67.9,76.6,418.1,285.5,405.2,455.6,277.6,384.2,422.3,337.5,335.6,446.9,318.4,307.8,428.4,62.7,506.9,410.6,461.6,408.8,415.9,396.8,561.2,1081.1,383.3,245.3,480.0,349.3,486.7,461.9,347.7,458.0,111.1,449.0,330.1,573.5,376.4,413.0,271.5,383.6,393.3,315.6,529.9,521.8,353.4,304.9,392.9,371.4,383.3,452.1,443.9,360.6,312.2,420.0,355.0,381.4,356.3,570.1,466.7,468.4,421.0,503.8,540.5
GK,78.8,178.3,125.6,228.8,244.5,253.5,412.4,392.9,198.4,303.9,156.5,30.0,255.6,129.0,372.7,19.4,408.0,57.8,165.9,166.6,294.8,262.0,173.7,307.7,0.0,277.5,139.4,195.5,266.5,171.3,87.6,54.5,338.8,68.7,219.7,217.3,156.0,319.7,376.2,144.7,41.8,138.7,189.7,47.9,133.0,211.0,34.7,88.3,175.0,57.8,147.7,268.3,355.7,273.9,164.6,301.5,162.8,169.9,150.8,295.3,1304.3,80.3,85.2,319.9,85.2,278.6,253.8,104.0,216.0,334.3,240.9,101.5,340.5,73.4,252.9,74.6,117.7,142.1,105.4,296.9,288.8,99.5,144.8,114.0,68.4,80.3,244.0,207.5,65.1,152.1,148.1,141.7,135.4,114.3,337.1,306.6,260.3,260.9,237.7,305.6
GN,295.8,287.3,180.2,115.8,127.9,235.4,602.6,583.1,307.4,139.4,209.2,302.3,55.3,213.8,208.2,291.7,598.2,330.1,240.0,243.0,130.3,109.3,166.1,497.9,272.2,0.0,236.5,75.2,75.7,126.0,243.4,270.9,170.7,240.5,115.2,235.4,216.3,509.9,566.4,269.0,298.1,193.3,113.1,296.6,174.8,95.6,314.9,267.1,93.5,203.1,266.2,128.3,545.9,108.7,320.8,102.0,300.7,303.4,226.4,265.0,1338.0,272.4,259.4,118.0,259.3,78.3,18.6,287.9,120.7,524.5,51.5,226.0,176.0,285.5,93.7,266.1,211.9,165.7,215.1,132.4,121.8,206.4,198.8,221.2,288.0,272.4,98.0,65.0,265.0,249.2,122.0,207.4,268.9,264.2,172.6,152.0,13.5,100.9,222.7,107.9
GS,174.4,230.7,138.8,217.5,233.2,266.1,362.8,372.8,225.5,283.6,63.3,153.7,139.0,35.8,352.4,144.2,387.9,179.4,183.4,179.2,274.5,270.3,130.8,287.6,124.7,232.3,0.0,200.8,208.7,164.5,136.4,83.8,314.9,139.2,259.2,240.2,168.6,299.6,356.1,202.4,154.7,151.9,202.3,109.5,105.6,169.0,128.0,88.9,191.6,215.2,44.9,175.1,324.1,252.9,234.4,208.3,244.1,257.2,170.2,307.9,1284.2,167.6,49.1,226.7,172.5,233.4,208.6,213.0,204.7,314.2,170.4,76.8,320.2,129.7,156.0,44.8,130.3,140.0,62.3,276.6,266.0,97.3,26.3,139.6,155.7,165.5,198.2,190.6,120.2,12.7,166.7,101.7,222.7,201.6,316.8,214.3,215.1,164.8,225.0,261.9
GX,240.4,253.7,104.9,58.2,73.9,220.1,545.1,555.1,273.8,133.2,159.6,225.9,50.5,185.8,202.0,216.4,570.2,254.8,206.4,202.2,124.1,119.9,90.8,469.9,196.9,81.9,208.5,0.0,70.9,110.7,180.4,195.6,168.1,165.2,99.9,220.1,201.0,481.9,538.4,224.0,222.8,118.0,97.8,221.3,99.5,20.4,239.6,191.8,18.2,187.8,238.2,123.5,517.9,102.5,258.1,116.8,267.1,269.8,192.8,258.8,1333.2,213.8,231.4,113.2,200.7,83.0,58.2,261.3,45.4,496.5,45.3,150.7,169.8,210.2,82.5,212.4,153.3,90.4,139.8,126.2,104.0,131.1,179.7,162.6,213.0,213.8,48.4,11.9,162.6,221.2,46.7,132.1,235.3,230.6,166.4,147.2,64.7,96.1,207.4,110.0
HB,309.7,299.9,174.2,127.5,140.5,248.0,584.0,564.5,320.0,152.0,190.6,296.3,38.9,195.2,220.8,285.7,579.6,324.1,252.6,255.6,142.9,148.5,160.1,479.3,266.2,43.2,217.9,69.2,0.0,144.5,249.7,264.9,186.9,234.5,127.8,258.6,228.9,491.3,547.8,281.9,292.1,187.3,125.7,290.6,168.8,89.7,308.9,261.1,87.5,324.1,249.4,109.7,526.8,122.0,333.4,83.4,316.3,316.0,239.0,277.6,1319.4,283.1,240.8,99.4,270.0,122.8,61.9,300.5,114.7,505.9,64.1,220.0,188.6,279.5,75.1,247.5,222.6,159.7,209.1,145.0,136.9,203.2,180.2,231.9,282.3,283.1,67.2,59.0,231.9,230.6,116.0,201.4,281.5,276.8,185.2,133.4,56.8,85.2,235.3,38.0
HC,169.7,161.2,100.2,61.0,55.1,109.3,553.2,533.7,181.3,126.6,170.0,198.1,121.9,164.4,195.4,192.5,548.8,217.6,113.9,116.9,117.5,84.7,137.6,448.5,175.5,134.7,171.8,111.6,142.3,0.0,117.3,174.2,161.5,127.7,42.4,109.3,90.2,460.5,517.0,142.9,185.3,83.1,12.4,199.9,121.9,109.1,218.2,170.4,113.3,77.0,216.8,194.9,496.0,96.6,194.7,168.6,174.6,177.3,100.3,153.7,1385.8,146.3,210.0,184.6,133.2,105.8,111.0,161.8,73.8,475.1,89.0,129.3,163.2,172.7,171.2,191.0,85.8,131.0,118.4,119.6,97.4,109.7,158.3,95.1,161.9,146.3,85.8,123.6,152.2,199.8,88.4,147.7,142.8,138.1,159.8,218.6,117.5,167.5,96.6,209.5
HF,85.4,136.7,102.0,205.2,187.0,208.1,500.3,480.8,156.8,258.5,165.4,116.8,266.4,137.9,327.3,111.2,495.9,136.3,101.5,121.2,249.4,216.6,168.9,395.6,102.7,253.9,148.3,171.9,242.9,131.8,0.0,114.7,289.8,46.4,174.3,171.9,110.6,407.6,464.1,72.2,104.0,115.1,144.3,135.8,128.2,187.4,128.9,79.6,149.4,136.3,171.4,277.2,443.1,227.8,105.5,283.8,121.2,128.3,102.4,249.9,1392.2,62.0,173.1,328.8,48.9,237.7,230.2,109.5,192.4,422.2,217.3,100.9,295.1,73.4,258.1,131.5,42.5,137.3,100.6,251.5,229.3,91.9,153.7,32.1,77.6,62.0,219.8,183.9,25.8,161.0,124.5,136.9,93.8,93.1,291.7,315.5,236.7,266.9,192.3,282.0
HJ,106.7,197.9,124.5,227.7,243.4,252.4,407.4,387.9,218.0,302.8,119.3,55.7,218.4,91.8,371.6,76.5,403.0,86.8,169.7,165.5,293.7,260.9,140.5,302.7,57.0,288.3,102.2,194.4,264.7,170.2,99.9,0.0,337.7,88.3,218.6,216.2,154.9,314.7,371.2,164.3,70.8,137.6,188.6,25.6,119.9,209.9,60.3,52.4,173.9,86.8,110.5,231.1,350.7,272.8,184.2,264.3,182.4,189.5,156.1,294.2,1299.3,99.9,80.2,282.7,104.8,289.4,264.6,147.4,214.9,329.3,251.7,46.9,339.4,93.0,215.7,34.9,116.6,129.0,72.2,295.8,287.7,86.4,107.6,125.9,88.0,99.9,254.8,206.4,77.4,114.9,147.0,108.5,155.0,133.9,336.0,269.4,271.1,223.7,236.6,343.2
HO,326.1,205.4,276.2,186.0,256.1,223.1,680.1,690.1,225.5,131.9,326.4,354.5,177.1,320.8,70.5,348.9,705.2,374.0,225.5,175.0,122.8,161.5,343.1,604.9,331.9,193.5,328.2,200.6,201.1,200.9,273.7,330.6,0.0,284.1,247.0,161.1,194.3,616.9,673.4,257.0,341.7,289.3,217.0,356.3,298.8,221.0,374.6,326.8,220.8,162.6,369.6,253.7,648.8,76.5,209.8,227.4,242.2,223.6,215.9,165.7,1462.6,286.4,366.4,243.4,289.6,164.6,169.8,273.4,198.8,627.9,144.2,285.7,76.7,329.1,215.4,347.4,242.2,311.5,274.8,38.2,122.3,266.1,314.7,251.5,318.3,282.8,145.3,190.4,308.6,356.2,276.3,307.5,223.3,249.7,123.5,278.3,172.7,226.3,148.4,236.6
