from_stop,AF,AL,AS,AT,AV,AW,BS,BU,BZ,CD,CF,CJ,CN,CQ,CY,DD,DG,DH,DM,DN,DQ,DS,DT,DU,DZ,EA,EC,ED,EG,EI,EJ,EL,EP,EV,EW,EX,EZ,FF,FI,FL,FZ,GC,GH,GO,GY,HH,HJ,HO,HX,HY,IB,ID,IG,IJ,IQ,IR,IW,JE,JF,JH,JJ,JM,JN,JV,JX,KA,KF,KH,KT,KU,KW,LL,LN,LQ,LU,LV,MD,MF,MP,MR,NC,NG,NQ,NS,NT,NW,NY,OB,OC,OF,OI,OP,OR,OT,PB,PF,PH,PJ,PM,PR,PY,QE,QG,QJ,QX,RB,RJ,RY,RZ,SE,SU,SW,TE,TJ,TZ,UC,UG,UH,UN,UQ,UZ,VB,VG,VH,VO,VR,WD,WE,WF,WN,WQ,WS,WW,WZ,XB,XD,XW,XY,XZ,YB,YH,YN,YP,YS,YW,ZF,ZG,ZK,ZW,ZX
CF,310.2,354.2,641.3,1054.3,1174.6,130.8,945.3,588.2,443.9,487.0,0.0,662.6,497.3,49.5,339.5,465.7,660.9,40.8,69.7,621.3,683.8,939.0,394.4,318.2,594.1,1153.0,606.9,555.1,936.9,532.8,349.9,842.6,1201.2,696.9,627.6,792.3,821.3,465.6,699.3,522.8,752.4,728.5,126.9,386.2,735.0,400.3,472.0,830.6,219.6,1075.6,1181.3,582.2,1023.3,497.7,536.5,762.2,524.5,801.7,804.5,161.1,509.8,808.1,498.7,415.1,158.2,889.7,508.1,520.5,422.6,530.0,936.7,555.9,1037.2,977.7,626.7,721.0,494.6,757.6,607.5,384.2,377.6,1026.3,485.8,411.0,822.8,520.6,938.9,785.1,861.5,475.5,715.4,525.9,777.0,959.5,529.0,773.2,922.2,474.6,522.3,250.6,496.4,521.5,912.6,409.7,743.4,196.6,2094.8,1144.1,545.7,1004.2,538.0,548.2,201.7,533.8,593.0,260.0,1062.0,850.9,114.9,499.6,522.5,912.0,489.1,591.8,568.3,561.4,322.9,426.3,615.4,943.6,911.6,300.2,1049.3,350.7,825.7,491.4,480.6,722.1,329.8,559.3,879.5,631.2,482.4,1002.5,343.7,141.4,948.8,460.2,678.0,597.1
CJ,420.4,513.9,207.4,545.2,665.5,566.5,436.2,154.3,335.1,378.2,663.4,0.0,388.5,619.4,499.2,308.7,525.9,663.7,603.6,187.4,143.0,429.9,269.2,450.4,459.1,643.9,471.9,446.3,427.8,424.0,460.1,333.5,768.3,96.7,193.7,283.2,462.4,356.8,404.7,414.0,243.3,193.8,571.0,545.9,225.9,291.5,363.2,321.5,638.0,566.5,672.2,447.2,513.1,388.9,427.7,428.8,415.7,292.6,295.4,594.5,401.0,299.0,389.9,306.3,548.4,384.3,399.3,416.9,313.8,240.4,427.6,447.1,528.1,468.6,192.8,211.9,385.8,448.6,472.5,326.8,511.9,517.2,182.3,353.6,313.7,385.6,429.8,476.1,352.4,192.8,206.3,417.1,257.3,450.4,420.2,464.2,413.1,359.9,413.5,248.4,387.6,412.7,403.5,352.3,234.3,496.7,1585.7,635.0,436.9,495.1,429.2,439.4,632.3,425.0,484.2,257.8,552.9,341.8,583.0,390.8,413.7,402.9,354.1,157.9,433.3,426.4,501.5,368.9,506.6,434.5,402.5,468.4,540.2,485.0,316.6,288.3,226.8,413.1,508.4,450.5,370.4,197.3,373.6,493.4,339.6,541.9,439.7,397.6,83.8,462.1
CN,248.2,341.7,380.3,793.3,913.6,394.3,684.3,327.2,123.3,166.4,491.2,403.7,0.0,451.6,327.0,204.7,256.5,491.0,431.4,360.3,422.8,678.0,133.4,278.2,211.4,892.0,224.2,67.4,675.9,212.2,287.9,581.6,940.2,376.5,366.6,531.3,416.9,145.0,294.9,102.4,491.4,441.9,398.8,373.7,474.0,110.8,151.4,569.6,465.8,814.6,920.3,199.5,761.2,177.1,215.9,357.8,203.9,540.7,543.5,422.3,189.2,547.1,178.1,94.5,376.2,628.7,32.4,23.1,77.6,269.0,674.7,235.3,776.2,716.7,365.7,460.0,174.0,353.2,227.0,154.6,339.7,765.3,224.8,181.4,561.8,137.9,677.9,380.7,600.5,214.5,454.4,205.3,516.0,698.5,208.4,368.8,661.2,38.5,109.1,232.8,83.4,48.0,651.6,180.1,482.4,330.7,1833.8,883.1,83.4,743.2,217.4,70.1,462.9,213.2,272.4,239.7,801.0,589.9,410.8,23.9,201.9,651.0,101.9,330.8,186.8,178.7,332.1,196.7,139.7,682.6,650.6,296.2,788.3,312.8,564.7,230.4,219.6,317.7,336.2,61.9,618.5,370.2,161.8,741.5,167.4,369.7,695.3,230.6,417.0,214.4
CQ,260.6,304.6,591.7,1004.7,1125.0,81.2,891.3,538.6,394.3,433.0,43.9,608.6,447.7,0.0,289.9,416.1,611.3,80.9,20.2,571.7,634.2,889.4,344.8,264.2,544.5,1099.0,557.3,505.5,887.3,483.2,300.3,793.0,1151.6,647.3,578.0,738.3,771.7,416.0,649.7,473.2,702.8,674.5,72.9,336.6,685.4,346.3,422.4,781.0,165.6,1026.0,1131.7,532.6,974.0,448.1,486.9,712.6,474.9,752.1,754.9,111.5,460.2,758.5,449.1,365.5,104.2,843.8,458.5,476.1,373.0,480.4,882.7,506.3,996.9,928.1,577.1,671.4,445.0,708.0,553.5,334.6,328.0,976.7,436.2,361.4,773.2,471.0,889.3,735.5,811.9,425.9,731.7,476.3,716.8,909.9,479.4,723.6,872.6,425.0,472.7,201.0,446.8,471.9,863.0,360.1,693.8,147.0,2045.2,1090.1,503.5,954.6,488.4,498.6,149.3,484.2,543.4,210.4,1012.4,801.3,65.3,450.0,472.9,862.4,435.1,542.2,518.7,511.8,273.3,376.7,565.8,894.0,862.0,250.6,999.7,301.1,776.1,441.8,431.0,672.5,280.2,509.7,825.5,581.6,432.8,952.9,294.1,91.8,899.2,405.4,628.4,547.5
CY,88.7,14.6,466.0,879.0,999.3,192.6,770.0,412.9,268.6,311.7,289.5,489.4,322.0,249.9,0.0,290.4,485.6,289.3,229.7,446.0,508.5,763.7,219.1,58.7,418.8,977.7,431.6,379.8,761.6,357.5,91.5,667.3,1025.9,462.2,452.3,617.0,646.0,290.3,524.0,347.5,577.1,553.2,197.1,46.6,559.7,225.0,296.7,655.3,264.1,900.3,1006.0,406.9,846.9,322.4,361.2,586.9,349.2,626.4,629.2,220.6,334.5,632.8,323.4,239.8,174.5,714.4,332.8,345.2,247.3,354.7,760.4,380.6,861.9,802.4,451.4,545.7,319.3,582.3,434.4,208.9,57.5,851.0,310.5,235.7,647.5,345.3,763.6,609.8,686.2,300.2,540.1,350.6,601.7,784.2,353.7,597.9,746.9,293.4,347.0,201.3,321.1,346.2,737.3,234.4,568.1,129.0,1919.5,968.8,370.4,828.9,362.7,372.9,261.2,358.5,417.7,208.2,886.7,675.6,209.1,324.3,347.2,736.7,309.3,416.5,394.2,386.1,71.4,251.0,440.1,768.3,736.3,40.7,874.0,61.9,650.4,316.1,305.3,546.8,75.5,384.0,704.2,455.9,307.1,827.2,168.4,168.0,781.0,284.9,502.7,421.8
DD,232.1,325.6,276.0,689.0,809.3,378.2,580.0,222.9,146.8,189.9,475.1,299.4,200.2,435.5,310.9,0.0,337.6,474.9,415.3,256.0,318.5,573.7,80.9,262.1,270.8,787.7,283.6,258.0,571.6,235.7,271.8,477.3,835.9,272.2,262.3,427.0,498.0,168.5,376.0,225.7,387.1,337.6,382.7,357.6,369.7,103.2,174.9,465.3,449.7,710.3,816.0,258.9,656.9,200.6,239.4,438.9,227.4,436.4,439.2,406.2,212.7,442.8,201.6,118.0,360.1,524.4,211.0,223.4,125.5,164.7,570.4,258.8,671.9,612.4,261.4,355.7,197.5,434.3,286.4,138.5,323.6,661.0,120.5,165.3,457.5,197.3,573.6,461.8,496.2,110.2,350.1,228.8,411.7,594.2,231.9,449.9,556.9,171.6,225.2,115.1,199.3,224.4,547.3,164.0,378.1,314.6,1729.5,778.8,248.6,638.9,240.9,251.1,446.8,236.7,295.9,124.5,696.7,485.6,394.7,202.5,225.4,546.7,157.4,226.5,246.2,238.1,316.0,180.6,318.3,578.3,546.3,280.1,684.0,296.7,460.4,126.1,115.3,398.8,320.1,262.2,514.2,265.9,185.3,637.2,151.3,353.6,591.0,214.5,312.7,273.8
DG,411.9,505.4,523.5,867.2,912.8,558.6,758.2,470.4,287.0,330.1,654.9,495.6,258.3,615.3,490.7,347.9,0.0,654.7,595.1,503.5,514.7,751.9,272.0,441.9,249.9,891.2,262.7,188.8,749.8,375.9,451.6,655.5,921.4,468.4,509.8,605.2,236.6,308.7,114.6,174.5,565.3,515.8,562.5,537.4,547.9,274.5,315.1,643.5,629.5,888.5,977.2,238.0,835.1,340.8,379.6,177.5,367.6,614.6,617.4,586.0,352.9,621.0,341.8,258.2,539.9,702.6,258.7,232.7,241.3,412.2,748.6,399.0,850.1,790.6,508.9,533.9,337.7,172.9,265.5,318.3,503.4,839.2,368.0,345.1,664.4,176.4,751.8,200.4,674.4,357.7,528.3,369.0,589.9,821.0,372.1,188.5,735.1,229.7,147.1,305.1,182.6,207.8,725.5,343.8,556.3,494.4,1907.7,957.0,197.4,817.1,381.1,215.4,626.6,376.9,436.1,298.2,874.9,663.8,574.5,260.6,365.6,724.9,175.2,474.0,225.3,217.2,495.8,360.4,312.1,805.1,724.5,459.9,862.2,476.5,667.3,373.6,362.8,137.4,499.9,194.3,721.1,513.4,325.5,815.4,331.1,533.4,769.2,394.3,508.9,252.9
DH,310.5,354.0,641.1,1054.1,1174.9,130.6,945.1,588.0,443.7,486.8,40.8,662.4,497.1,90.4,339.8,465.5,660.7,0.0,80.0,621.6,683.6,938.8,394.2,318.5,593.9,1152.8,606.7,554.9,936.7,532.6,349.7,842.4,1201.0,637.3,627.9,792.1,821.6,465.4,699.6,522.6,752.2,728.8,126.7,386.0,734.8,400.1,472.3,830.9,219.9,1075.9,1181.1,582.5,1023.1,497.5,536.3,762.0,524.3,801.5,804.3,160.9,509.6,808.4,498.5,414.9,158.5,893.2,507.9,520.3,422.9,529.8,936.5,555.7,1037.5,977.5,626.5,720.8,494.4,757.9,607.3,384.0,377.4,1026.1,485.6,410.8,822.6,520.4,938.7,784.9,861.8,475.3,715.2,525.7,776.8,959.8,528.8,773.5,922.0,474.4,522.1,250.9,496.2,521.3,912.4,409.5,743.7,196.9,2094.6,1144.4,545.5,1004.0,537.8,548.0,198.7,533.6,592.8,259.8,1061.8,850.7,114.7,499.4,522.3,912.3,488.9,592.1,568.6,561.2,322.7,426.6,615.7,943.9,911.9,300.0,1049.1,350.5,825.5,491.2,480.4,721.9,329.6,559.6,879.8,631.5,482.2,1002.3,344.0,141.2,956.1,454.8,677.8,596.9
DM,240.4,284.4,571.5,984.5,1104.8,61.0,875.5,518.4,374.1,417.2,59.7,592.8,427.5,20.2,269.7,395.9,591.1,90.0,0.0,551.5,614.0,869.2,324.6,248.4,524.3,1083.2,537.1,485.3,867.1,463.0,280.1,772.8,1131.4,627.1,557.8,722.5,751.5,395.8,629.5,453.0,682.6,633.1,57.1,316.4,665.2,330.5,402.2,760.8,149.8,1005.8,1111.5,512.4,952.4,427.9,466.7,692.4,454.7,731.9,734.7,91.3,440.0,738.3,428.9,345.3,88.4,819.9,438.3,450.7,352.8,460.2,866.9,486.1,976.7,907.9,556.9,651.2,424.8,687.8,537.7,314.4,307.8,956.5,416.0,341.2,753.0,450.8,869.1,715.3,791.7,405.7,715.3,456.1,696.6,889.7,459.2,703.4,852.4,404.8,452.5,180.8,426.6,451.7,842.8,339.9,673.6,120.6,2025.0,1074.3,475.9,934.4,468.2,478.4,129.1,464.0,523.2,190.2,992.2,781.1,45.1,429.8,452.7,842.2,419.3,522.0,498.5,491.6,253.1,356.5,545.6,873.8,841.8,230.4,979.5,280.9,755.9,421.6,410.8,652.3,260.0,489.5,809.7,561.4,412.6,932.7,273.9,71.6,886.5,385.2,608.2,527.3
DN,387.0,480.5,34.0,567.0,687.3,533.7,458.0,33.0,301.7,344.8,630.0,177.4,355.1,590.4,465.8,275.3,492.5,629.8,570.2,0.0,196.5,451.7,235.8,417.0,425.7,665.7,438.5,412.9,449.6,390.6,426.7,355.3,713.9,150.2,47.7,305.0,515.9,323.4,530.9,380.6,265.1,241.2,537.6,512.5,247.7,258.1,329.8,343.3,604.6,588.3,694.0,413.8,534.9,355.5,394.3,593.8,382.3,314.4,317.2,561.1,367.6,320.8,356.5,272.9,515.0,402.4,365.9,378.3,280.4,207.0,448.4,413.7,549.9,490.4,5.4,233.7,352.4,589.2,441.3,293.4,478.5,539.0,148.9,320.2,335.5,352.2,451.6,616.7,374.2,159.4,228.1,383.7,289.7,472.2,386.8,604.8,434.9,326.5,380.1,217.5,354.2,379.3,425.3,318.9,256.1,469.5,1607.5,656.8,403.5,516.9,395.8,406.0,601.7,391.6,450.8,224.4,574.7,363.6,549.6,357.4,380.3,424.7,312.3,62.5,401.1,393.0,470.9,335.5,473.2,456.3,424.3,435.0,562.0,451.6,338.4,254.9,193.4,553.7,475.0,417.1,392.2,44.1,340.2,515.2,306.2,508.5,469.0,369.4,190.7,428.7
DQ,495.0,588.5,282.0,619.8,719.4,641.1,510.8,228.9,409.7,452.8,738.0,169.5,463.1,698.4,573.8,383.3,405.4,737.8,678.2,262.0,0.0,504.5,343.8,525.0,533.7,697.8,546.5,520.9,502.4,498.6,534.7,408.1,728.0,56.4,268.3,357.8,422.1,431.4,364.4,488.6,317.9,268.4,645.6,620.5,300.5,366.1,437.8,396.1,712.6,641.1,783.8,521.8,587.7,463.5,502.3,388.5,490.3,367.2,370.0,669.1,475.6,373.6,464.5,380.9,623.0,455.2,473.9,486.3,388.4,315.0,501.2,521.7,602.7,543.2,267.4,286.5,460.4,408.3,549.3,401.4,586.5,591.8,256.9,428.2,388.3,460.2,504.4,435.8,427.0,267.4,280.9,491.7,342.5,627.6,494.8,423.9,487.7,434.5,488.1,323.0,462.2,487.3,478.1,426.9,308.9,577.5,1637.3,709.6,511.5,569.7,503.8,514.0,709.7,499.6,558.8,332.4,627.5,416.4,657.6,465.4,488.3,477.5,420.3,232.5,509.1,501.0,578.9,443.5,581.2,611.7,477.1,543.0,614.8,559.6,391.2,362.9,301.4,372.8,583.0,525.1,445.0,271.9,448.2,568.0,414.2,616.5,521.8,477.4,212.4,536.7
