from_stop,AD,AF,AJ,AK,AQ,AY,AZ,BK,CK,CP,CR,DI,DQ,DV,DY,EE,EH,EK,EM,EN,EQ,FM,GI,GN,GW,GY,HF,HK,HS,HT,IC,IF,IG,IJ,IN,IU,IZ,JU,JV,KG,KJ,KQ,KT,KU,KW,KY,LF,LJ,LK,LL,MC,MF,ML,MP,MQ,MR,NA,OB,OD,OR,OT,PB,PF,PJ,PN,QI,QQ,QR,QT,QU,RH,RI,RJ,RT,RZ,SL,ST,SX,TB,TF,TQ,TY,UO,UR,UW,UX,VK,VX,VZ,WC,WH,WI,WQ,WR,WY,WZ,XA,XI,XK,XL,XQ,XV,YF,YI,YT,ZE,ZI,ZN
CR,334.6,409.9,134.1,372.2,432.6,338.0,356.2,122.2,377.3,344.4,0.0,531.0,178.6,508.2,423.0,227.7,121.1,598.2,295.2,506.6,147.8,545.4,260.8,615.2,333.5,681.2,157.9,239.6,299.4,535.8,326.9,282.1,254.7,430.6,540.0,622.7,267.8,460.9,131.7,230.9,116.8,132.2,115.5,409.0,647.0,429.4,621.4,452.9,397.9,155.0,396.1,364.1,617.4,593.4,1576.9,366.0,324.9,224.1,245.3,452.7,258.5,103.7,106.3,181.1,465.9,417.2,327.7,480.1,439.3,416.9,258.0,321.5,326.9,95.0,587.0,402.5,145.7,321.0,614.0,152.9,339.7,327.9,547.9,642.1,46.2,517.1,258.4,352.2,445.2,478.1,411.0,354.2,447.7,408.6,319.2,258.2,425.5,144.9,137.7,255.9,160.1,517.6,225.4,362.3,252.1,515.6,547.7,365.6
DI,346.3,333.3,600.7,299.0,252.4,380.7,419.9,554.0,292.2,332.8,557.6,0.0,382.6,103.1,419.8,389.4,574.3,107.3,315.1,131.6,597.0,219.3,502.0,215.9,444.0,118.4,530.0,371.4,393.3,133.2,345.5,374.5,432.9,381.8,47.8,142.8,586.6,217.0,531.2,462.1,485.6,494.9,582.1,296.4,107.4,273.7,140.8,204.2,293.3,620.8,310.8,429.6,80.0,100.8,1362.8,307.7,456.7,490.6,476.5,225.2,375.9,595.9,521.7,576.7,209.4,285.9,352.8,361.8,263.8,510.8,500.7,419.7,346.8,548.2,215.8,325.9,541.3,334.4,177.1,561.9,433.4,422.8,382.4,96.5,543.0,211.3,498.1,405.0,202.6,209.3,262.9,428.1,241.7,283.1,361.8,429.9,258.7,550.9,503.9,359.2,513.9,180.3,371.3,308.9,364.7,116.9,16.6,329.1
DQ,156.0,231.2,218.0,193.5,253.9,159.3,175.7,171.3,200.3,161.7,174.9,352.3,0.0,332.1,117.8,49.0,191.6,419.5,116.5,327.9,214.3,289.4,119.3,310.0,61.3,376.0,147.3,60.9,120.7,357.1,146.9,92.5,76.0,251.9,361.3,317.5,203.9,282.2,148.5,79.4,102.9,112.2,199.4,230.3,341.8,250.7,364.7,274.2,219.2,238.1,217.4,185.4,312.2,414.7,1527.5,187.3,146.2,107.9,93.8,274.0,79.9,213.2,139.0,194.0,287.2,238.5,149.5,224.1,260.6,238.2,118.0,161.4,148.2,165.5,281.8,223.8,158.6,135.8,313.0,179.2,161.3,149.2,242.7,336.9,160.3,331.9,115.4,178.8,266.5,299.4,232.3,169.0,265.9,229.9,140.5,73.0,246.8,168.2,121.2,77.2,131.2,345.0,44.8,183.6,73.4,336.9,369.0,186.9
DV,250.3,230.1,551.4,209.0,149.2,287.2,328.2,504.7,203.9,225.3,634.8,103.8,333.3,0.0,367.9,340.1,525.0,149.6,265.8,28.4,547.7,113.5,450.1,112.7,394.7,37.3,480.7,322.1,344.0,24.9,280.7,336.1,383.6,278.6,44.4,37.0,537.3,113.8,481.9,412.8,436.3,443.0,532.8,193.2,152.4,170.5,33.2,101.0,190.1,571.5,207.6,336.1,140.8,204.7,1417.8,204.5,372.0,441.3,427.2,122.0,332.5,551.2,472.4,527.4,106.2,182.7,259.8,256.0,160.6,458.9,448.8,307.6,244.2,498.9,112.6,222.7,492.0,253.0,70.4,556.8,339.6,329.3,276.6,168.1,493.7,105.5,448.8,296.5,99.4,106.1,159.7,332.0,135.8,179.9,268.3,380.6,155.5,501.6,454.6,309.9,464.6,82.9,323.9,218.9,315.4,161.9,120.5,222.1
DY,203.8,279.1,380.6,241.4,301.8,207.2,244.5,333.9,246.5,264.3,385.1,416.7,162.5,391.4,0.0,136.3,354.2,481.4,178.4,389.8,379.4,371.4,281.9,371.9,226.4,434.5,308.1,151.3,161.7,419.0,219.3,140.4,212.8,305.0,423.2,379.4,366.5,359.0,311.1,242.0,265.5,274.8,362.0,278.2,403.7,298.6,426.6,336.1,267.1,400.7,265.3,256.7,374.1,476.6,1667.7,273.5,207.8,270.5,256.4,361.1,66.4,375.8,301.6,356.6,345.2,288.9,196.9,326.7,308.5,224.7,280.6,193.2,250.8,328.1,339.8,271.7,321.2,197.7,419.9,386.0,229.8,192.7,295.8,398.8,322.9,393.8,278.0,223.0,354.2,384.4,321.5,237.8,316.9,277.8,188.4,209.8,294.7,330.8,283.8,125.1,293.8,396.6,153.1,231.5,156.4,398.8,430.9,234.8
EE,153.2,228.4,277.5,190.7,251.1,156.5,172.9,230.8,197.5,158.9,234.4,349.5,59.4,329.3,112.5,0.0,251.1,416.7,113.7,325.1,273.8,286.6,178.8,307.2,120.8,373.2,206.8,58.1,117.9,354.3,144.1,89.7,109.7,249.1,358.5,314.7,263.4,279.4,208.0,138.9,162.4,171.7,258.9,227.5,339.0,247.9,361.9,271.4,216.4,297.6,214.6,182.6,309.4,411.9,1603.0,184.5,143.4,167.4,153.3,271.2,74.6,272.7,198.5,253.5,284.4,235.7,146.7,221.3,257.8,232.9,177.5,158.6,145.4,225.0,279.0,221.0,218.1,133.0,310.2,238.7,158.5,146.4,239.9,334.1,219.8,329.1,174.9,176.0,263.7,296.6,229.5,166.2,263.1,227.1,137.7,106.7,244.0,227.7,180.7,74.4,190.7,342.2,48.1,180.8,70.6,334.1,366.2,184.1
EH,363.1,438.3,162.5,400.6,461.0,366.4,382.8,150.6,407.4,368.8,112.8,559.4,207.0,539.2,324.9,256.1,0.0,626.6,323.6,535.0,152.2,496.5,211.2,517.1,241.2,583.1,85.2,268.0,327.8,564.2,354.0,299.6,283.1,459.0,568.4,524.6,20.1,489.3,153.6,259.3,145.2,154.1,143.9,437.4,548.9,457.8,571.8,481.3,426.3,183.4,424.5,392.5,519.3,621.8,1628.9,394.4,353.3,174.5,273.7,481.1,287.0,151.1,134.7,209.5,494.3,445.6,356.6,431.2,467.7,445.3,159.9,368.5,355.3,36.0,488.9,430.9,174.1,342.9,520.1,22.3,368.4,356.3,449.8,544.0,98.2,539.0,160.3,385.9,473.6,506.5,439.4,376.1,473.0,437.0,347.6,280.1,453.9,173.3,166.1,284.3,110.5,552.1,251.9,390.7,280.5,544.0,576.1,394.0
EK,398.8,373.5,653.2,351.5,292.6,433.2,472.4,606.5,344.7,373.0,610.1,98.5,435.1,143.3,472.3,441.9,626.8,0.0,367.6,171.8,649.5,259.5,554.5,256.1,496.5,158.6,582.5,423.9,445.8,173.4,398.0,427.0,485.4,422.0,88.0,183.0,639.1,257.2,583.7,514.6,538.1,547.4,634.6,336.6,177.5,313.9,181.0,244.4,333.5,673.3,351.0,482.1,107.4,123.6,1390.2,347.9,509.2,543.1,529.0,265.4,428.4,648.4,574.2,629.2,249.6,326.1,405.3,402.0,304.0,563.3,553.2,472.2,399.3,600.7,256.0,366.1,593.8,386.9,217.3,614.4,485.9,475.3,422.6,119.3,595.5,251.5,550.6,457.8,242.8,249.5,303.1,480.6,281.9,323.3,414.3,482.4,298.9,603.4,556.4,411.7,566.4,220.5,423.8,361.4,417.2,187.0,81.8,381.6
EM,108.5,183.7,343.2,113.7,184.0,107.8,147.0,296.5,106.9,45.1,300.1,313.4,125.1,288.5,162.3,131.9,316.8,426.3,0.0,266.7,339.5,196.8,244.5,254.5,186.5,259.4,272.5,113.9,135.8,301.6,30.3,117.0,175.4,223.2,321.1,262.0,329.1,165.6,273.7,204.6,228.1,237.4,324.6,138.5,302.9,165.0,309.2,218.7,171.7,363.3,152.9,156.7,273.3,375.8,1566.9,70.7,175.6,233.1,219.0,157.4,118.4,338.4,264.2,319.2,170.6,177.2,102.0,107.5,155.1,253.3,243.2,129.3,31.6,290.7,165.2,176.3,283.8,19.2,257.5,304.4,162.9,132.9,214.0,298.0,285.5,276.4,240.6,90.1,179.6,207.6,115.7,155.2,173.3,182.4,93.0,172.4,199.3,293.4,246.4,101.7,256.4,228.4,113.8,136.1,107.2,298.0,330.1,139.4
EN,259.8,251.6,557.0,223.1,154.5,294.2,333.4,510.3,216.3,226.6,513.9,122.1,338.9,18.2,376.1,345.7,530.6,167.9,272.9,0.0,553.3,121.7,458.3,118.3,400.3,55.6,486.3,327.7,357.0,43.2,276.4,330.8,389.2,300.1,62.7,45.2,542.9,110.8,487.5,418.4,441.9,451.2,538.4,190.2,170.7,167.5,50.8,106.6,197.1,577.1,204.6,343.1,159.1,223.0,1436.1,201.5,379.0,446.9,432.8,119.0,332.2,552.2,478.0,533.0,111.8,179.7,266.3,255.6,157.6,467.1,457.0,333.2,241.2,504.5,118.2,244.2,497.6,252.6,79.5,518.2,346.9,336.3,286.2,183.8,499.3,113.7,454.4,298.8,105.0,111.7,156.7,341.6,143.8,186.9,275.3,386.2,160.8,507.2,460.2,315.5,470.2,82.7,327.6,233.0,321.0,180.2,138.8,229.1
EQ,354.0,429.3,153.5,391.6,452.0,357.4,373.8,141.6,396.7,359.8,147.8,550.4,198.0,527.6,315.9,247.1,140.5,617.6,314.6,526.0,0.0,487.5,202.2,508.1,232.2,574.1,56.9,259.0,318.8,555.2,346.3,290.6,274.1,450.0,559.4,515.6,160.7,480.3,144.6,250.3,136.2,145.1,134.9,428.4,539.9,448.8,562.8,472.3,417.3,174.4,415.5,383.5,510.3,612.8,1603.3,385.4,344.3,165.5,264.7,472.1,277.9,1.1,125.7,200.5,485.3,436.6,347.1,422.2,458.7,436.3,150.9,359.5,346.3,114.4,479.9,421.9,165.1,333.9,510.2,128.1,359.4,347.3,440.8,535.0,72.6,530.0,151.3,370.7,464.6,497.5,430.4,367.1,464.0,428.0,338.6,271.1,444.9,164.3,157.1,275.3,101.5,537.0,242.9,381.7,271.5,535.0,567.1,385.0
FM,163.5,140.7,509.1,144.7,58.1,197.8,237.0,462.4,137.9,148.2,544.0,222.3,291.0,115.8,352.6,297.8,482.7,268.1,194.5,114.2,505.4,0.0,410.4,105.9,352.4,144.6,436.6,279.8,260.6,143.4,198.0,259.0,341.3,189.2,162.9,103.8,495.0,57.7,439.6,370.5,394.0,403.3,490.5,111.8,270.9,89.1,151.7,94.2,100.7,529.2,126.2,246.7,229.0,323.2,1522.6,123.1,282.6,399.0,384.9,49.5,312.4,504.3,430.1,485.1,11.1,101.3,170.4,177.2,79.2,419.2,409.1,218.2,162.8,456.6,21.5,133.3,449.7,174.2,144.3,514.5,250.5,239.9,189.8,253.7,451.4,118.2,406.5,220.4,34.0,9.9,78.3,245.2,44.7,90.5,178.9,338.3,64.4,459.3,412.3,241.8,422.3,40.9,281.6,154.6,273.1,280.4,239.0,132.7
GI,261.2,336.5,212.5,298.8,359.2,264.6,281.0,165.8,305.6,267.0,295.9,457.6,105.2,434.8,225.4,154.3,186.1,524.8,221.8,433.2,208.8,394.7,0.0,415.3,43.1,481.3,140.0,166.2,226.0,462.4,252.2,208.7,181.3,357.2,466.6,422.8,198.4,387.5,179.7,75.9,140.8,106.7,193.9,335.6,447.1,356.0,470.7,379.5,324.5,232.6,322.7,290.7,417.5,520.0,1512.0,292.6,251.5,139.1,90.3,379.3,185.2,212.3,116.5,188.5,392.5,343.8,254.3,329.4,365.9,343.5,112.5,248.1,253.5,160.0,387.1,329.1,153.1,241.1,417.4,217.9,266.6,254.5,348.0,442.2,154.8,437.2,146.6,284.1,371.8,404.7,337.6,274.3,371.2,335.2,245.8,178.3,352.1,199.4,152.4,182.5,125.7,450.3,152.0,288.9,178.7,442.2,474.3,292.2
GN,245.2,222.4,542.0,199.6,139.8,279.5,320.5,495.3,192.8,225.1,576.2,209.3,323.9,105.4,361.1,330.7,515.6,255.1,256.4,101.2,538.3,112.9,443.3,0.0,385.3,142.8,469.5,312.7,334.6,130.4,280.5,315.8,374.2,270.9,149.9,90.8,527.9,114.0,472.5,403.4,426.9,436.2,523.4,193.0,257.9,170.7,138.0,91.6,182.4,562.1,207.4,328.4,246.3,310.2,1523.3,204.3,364.3,431.9,417.8,122.2,323.1,537.2,463.0,518.0,96.8,182.9,252.1,258.4,160.8,452.1,442.0,299.9,244.0,489.5,103.2,215.0,482.6,255.4,131.3,528.3,331.9,321.6,271.5,271.0,484.3,105.2,439.4,296.3,90.0,106.3,154.2,326.9,129.1,172.2,260.6,371.2,146.1,492.2,445.2,300.5,455.2,107.1,312.6,209.5,306.0,267.4,226.0,214.4
GW,218.1,293.3,212.7,255.6,316.0,221.4,237.8,166.0,262.4,223.8,169.6,414.4,62.0,394.2,179.9,111.1,186.3,481.6,178.6,390.0,209.0,351.5,57.9,372.1,0.0,438.1,142.0,123.0,182.8,419.2,209.0,154.6,138.1,314.0,423.4,379.6,198.6,344.3,136.5,32.7,97.6,106.9,194.1,292.4,403.9,312.8,426.8,336.3,281.3,232.8,279.5,247.5,374.3,476.8,1466.1,249.4,208.3,95.9,47.1,336.1,142.0,207.9,127.0,188.7,349.3,300.6,211.6,286.2,322.7,300.3,112.7,223.5,210.3,160.2,343.9,285.9,153.3,197.9,375.1,173.9,223.4,211.3,304.8,399.0,155.0,394.0,103.4,240.9,328.6,361.5,294.4,231.1,328.0,292.0,202.6,135.1,308.9,156.2,109.2,139.3,125.9,407.1,106.9,245.7,135.5,399.0,431.1,249.0
GY,239.6,216.8,580.5,214.5,145.9,273.9,313.1,533.8,209.4,218.0,614.7,130.8,362.4,29.0,399.6,369.2,554.1,176.6,264.3,57.5,576.8,145.2,481.8,141.8,423.8,0.0,509.7,351.2,336.7,59.1,267.8,354.3,412.7,265.3,71.4,68.7,566.4,102.2,511.0,441.9,465.4,474.7,561.9,181.6,179.4,158.9,66.7,130.1,176.8,600.6,196.0,322.8,167.8,231.7,1444.8,192.9,358.7,470.4,456.3,110.4,361.6,580.3,501.5,556.5,135.3,171.1,246.5,247.0,149.0,490.6,480.5,312.9,232.6,528.0,141.7,209.4,521.1,244.0,60.0,585.9,326.3,316.0,265.9,192.5,522.8,137.2,477.9,290.2,128.5,135.2,148.1,321.3,132.5,166.6,255.0,409.7,152.2,530.7,483.7,317.9,493.7,112.0,353.0,224.4,344.5,188.9,147.5,208.8
HF,297.0,372.2,96.5,334.5,393.2,300.4,316.8,82.8,339.6,302.7,167.9,493.3,139.2,471.4,258.9,188.3,81.7,560.6,257.6,468.9,66.9,428.7,143.4,451.1,175.1,515.3,0.0,201.9,261.7,496.4,288.0,231.8,217.1,392.9,500.6,456.8,103.6,423.2,85.8,193.3,77.4,88.1,76.1,371.3,482.9,391.7,504.0,415.2,360.3,115.6,358.4,326.4,453.2,555.7,1543.7,328.4,285.5,108.4,207.6,415.0,220.9,65.9,66.9,143.4,426.5,379.5,290.0,363.4,401.7,377.5,92.1,282.1,289.3,57.4,422.8,364.8,108.0,276.8,453.1,96.2,300.6,290.3,382.0,476.2,12.9,472.9,92.5,318.1,407.5,440.5,371.6,310.0,408.3,370.9,281.6,214.0,387.9,107.2,100.0,218.2,42.7,480.0,185.9,322.9,212.7,476.2,508.3,328.0
HK,166.5,230.8,272.7,204.0,264.4,147.1,114.7,226.0,210.8,238.4,229.6,354.8,54.6,334.6,120.3,61.4,246.3,422.0,119.0,330.4,269.0,334.0,174.0,312.5,116.0,397.1,202.0,0.0,59.7,359.6,183.2,100.2,104.9,190.9,363.8,320.0,258.6,321.6,203.2,134.1,157.6,166.9,254.1,240.8,344.3,261.2,367.2,276.7,229.7,292.8,227.9,124.4,314.7,417.2,1582.2,236.1,85.2,162.6,148.5,323.7,82.4,267.9,193.7,248.7,307.8,249.0,160.0,300.8,271.1,240.7,172.7,171.9,224.9,220.2,302.4,238.7,213.3,217.2,315.5,233.9,100.3,88.2,181.7,339.4,215.0,334.4,170.1,200.8,316.8,344.5,284.1,108.0,276.4,240.4,151.0,101.9,257.3,222.9,175.9,83.0,185.9,365.3,43.3,194.1,75.9,339.4,371.5,197.4
HS,106.7,208.2,316.6,144.2,204.6,124.5,92.1,269.9,151.0,167.1,273.5,370.2,98.5,366.4,131.7,105.3,290.2,437.4,143.8,360.2,312.9,274.2,217.9,340.7,159.9,337.3,245.9,83.6,0.0,383.9,123.4,40.4,148.8,168.3,403.4,344.3,302.5,261.8,247.1,178.0,201.5,210.8,298.0,181.0,359.7,201.4,391.5,304.9,169.9,336.7,168.1,101.8,330.1,432.6,1626.1,176.3,67.4,206.5,192.4,263.9,93.8,311.8,237.6,292.6,248.0,189.2,100.2,229.5,211.3,252.1,216.6,112.1,153.6,264.1,242.6,174.5,257.2,145.9,339.8,277.8,77.7,65.6,159.1,354.8,258.9,358.7,214.0,129.5,257.0,284.7,224.3,85.4,216.6,180.6,91.2,145.8,197.5,266.8,219.8,23.2,229.8,305.5,87.2,134.3,65.0,354.8,386.9,137.6
HT,282.9,260.2,581.5,239.1,179.3,317.3,356.5,534.8,232.3,259.7,538.4,119.0,363.4,30.0,400.6,370.2,555.1,164.8,295.9,58.5,577.8,146.2,482.8,142.8,424.8,52.5,510.8,352.2,374.1,0.0,309.5,355.3,413.7,308.7,59.6,69.7,567.4,143.9,512.0,442.9,466.4,475.7,562.9,223.3,167.6,200.6,7.6,131.1,220.2,601.6,237.7,366.2,156.0,219.9,1433.0,234.6,402.1,471.4,457.3,152.1,356.7,576.7,502.5,557.5,136.3,212.8,289.4,288.7,190.7,491.6,481.5,356.3,274.3,529.0,142.7,252.8,522.1,285.7,104.0,542.7,370.0,359.4,309.3,180.7,523.8,138.2,478.9,331.9,129.5,136.2,189.8,364.7,168.6,210.0,298.4,410.7,185.6,531.7,484.7,340.0,494.7,107.2,352.1,249.0,345.5,177.1,135.7,252.2
