from_stop,AF,AP,AV,BC,BE,BF,BH,BK,BM,BP,BV,BY,BZ,CC,CE,CG,CI,CJ,CR,CT,CU,CZ,DA,DE,DK,DO,DS,DW,EC,EI,EP,EQ,ES,EW,EZ,FA,FE,FH,FI,FJ,FO,FW,FZ,GA,GC,GN,GR,GW,HF,HG,HH,HT,IF,II,IL,IR,IS,IT,IV,IY,IZ,JC,JH,KJ,KS,KU,KV,KW,LE,LN,LT,LU,MC,MH,MI,MJ,MK,MM,MO,MR,NA,NF,NL,NN,NP,NU,NX,OE,OJ,OT,OW,PP,QE,QH,QJ,QR,QV,QW,RE,RJ,RZ,SJ,SM,SN,ST,SU,TF,TG,TH,TN,TO,TP,TQ,TR,TS,TV,TW,UH,UJ,UQ,US,UT,UX,VG,VI,VM,VR,VS,VW,VZ,WD,WI,WK,WL,WM,WX,XE,XF,XL,XP,XS,XX,YC,YH,YL,YM,YP,YW,ZA,ZH,ZJ,ZK,ZP
BV,414.0,353.8,1083.3,1229.3,1072.4,165.7,131.3,690.8,1115.7,378.1,0.0,1209.5,94.8,709.0,1040.5,372.6,387.6,374.3,626.3,963.4,57.0,1215.2,935.5,1154.8,1154.0,1141.7,675.8,441.5,673.3,349.2,1042.0,333.3,1076.5,723.2,315.0,734.7,416.4,1017.0,670.2,145.2,926.3,755.2,394.2,740.3,398.0,371.4,605.5,972.4,635.2,342.4,1183.2,379.5,173.0,403.2,1090.4,638.8,323.3,1065.5,1181.4,349.7,392.1,94.8,738.2,327.7,309.3,1094.5,408.1,399.8,372.1,126.3,320.6,1166.9,362.8,383.3,1481.0,1123.3,337.8,319.9,297.5,129.3,1202.6,329.8,938.8,1361.0,1029.0,439.9,563.2,959.2,420.0,667.3,1026.6,1087.2,696.0,701.3,305.5,431.3,728.7,1062.3,649.0,329.1,343.5,1111.9,913.6,1122.3,997.4,374.9,1188.0,964.2,1503.3,709.8,693.7,919.0,297.2,1178.4,994.9,876.9,707.3,1055.7,990.7,0.0,683.3,1044.9,355.7,210.6,960.9,402.1,428.9,330.1,1111.9,1332.8,197.1,1132.2,165.7,363.2,967.1,260.2,673.2,1079.5,368.7,914.6,1059.0,45.2,336.4,651.3,316.6,1360.5,672.4,734.1,975.4,1010.1,371.1,277.8,367.8
BY,960.7,1252.5,809.3,734.0,343.1,1120.0,1073.6,748.8,633.4,1222.7,1178.6,0.0,1218.2,705.9,373.4,1050.7,1115.7,874.9,951.0,394.0,1109.0,570.5,375.0,158.3,634.7,786.6,659.0,1169.6,680.5,940.7,736.4,1177.9,347.2,733.4,1159.6,731.6,1096.7,345.4,626.9,1149.4,524.0,752.1,924.3,747.9,1126.1,970.5,930.2,529.4,963.5,1088.5,734.2,1278.2,1115.3,1195.3,477.7,963.5,1003.6,352.7,536.7,1095.8,960.6,1218.2,735.1,1146.1,1055.4,604.1,908.7,1080.1,1173.1,1149.4,970.1,522.2,1181.2,1227.9,1419.5,604.0,1161.7,1164.5,1038.1,1133.5,561.5,960.4,371.7,1191.7,299.7,1168.0,826.4,534.2,1148.1,992.0,297.3,357.9,591.3,704.9,1150.1,1159.4,725.6,417.6,676.2,1147.5,987.9,766.1,511.1,688.1,268.1,1218.0,543.3,441.6,1330.4,737.0,653.1,516.5,1065.4,659.1,388.8,503.6,709.2,713.8,396.6,1178.6,1008.0,652.8,1101.8,1029.0,586.8,1008.6,1167.0,1174.7,703.9,675.9,1129.9,646.3,1120.0,1043.5,444.5,1078.6,736.5,350.2,907.6,385.9,189.2,1168.6,1081.4,976.0,1140.5,703.6,651.4,731.0,452.8,391.1,1215.7,1096.2,959.3
BZ,391.2,346.2,1126.3,1379.7,1061.2,126.1,174.3,684.6,1279.1,366.9,78.2,1201.9,0.0,697.8,1029.3,359.2,392.5,363.1,615.1,1090.5,103.6,1204.0,1062.6,1143.6,1285.5,1184.7,664.6,433.6,662.1,338.0,1085.0,322.1,1065.3,705.1,303.8,723.5,405.2,1005.8,659.0,188.2,969.3,744.0,383.0,729.1,390.1,360.2,594.3,1015.4,627.6,385.4,1226.2,371.9,186.8,395.6,1079.2,627.6,312.1,1054.3,1170.2,392.7,380.9,0.0,727.0,370.7,352.3,1249.8,396.9,388.6,360.9,85.6,309.4,1155.7,405.8,372.1,1581.2,1249.7,326.6,308.7,286.3,172.3,1195.0,318.6,1065.9,1353.4,1017.8,432.0,552.0,1002.2,412.1,650.8,1015.4,1076.0,684.8,690.1,294.3,423.4,717.5,1051.1,637.8,372.1,327.2,1154.9,956.6,1165.3,986.2,363.7,1176.8,1091.3,1492.1,698.6,682.5,962.0,281.4,1304.8,1103.6,919.9,699.7,1098.7,1114.7,78.2,672.1,1087.9,398.7,253.6,1003.9,390.9,417.7,318.9,1154.9,1321.6,156.4,1292.0,126.1,352.0,1094.2,303.2,665.6,1068.3,357.5,1041.7,1047.8,41.4,378.3,640.1,305.4,1349.3,661.2,722.9,1102.5,1109.2,359.9,320.8,356.6
CC,432.5,663.5,1056.7,981.4,590.5,640.5,595.2,51.5,880.8,704.9,700.2,731.2,739.8,0.0,558.6,532.9,637.3,357.1,447.4,619.8,630.6,733.3,591.9,672.9,887.2,1034.0,155.4,691.2,176.9,422.9,983.8,660.1,594.6,27.4,641.8,74.1,578.9,535.1,91.3,671.0,686.6,94.6,406.5,61.5,647.7,452.7,426.6,708.4,459.9,610.1,981.6,728.4,636.9,716.9,769.6,459.9,485.8,583.6,699.5,617.4,442.8,739.8,77.6,667.7,577.0,851.5,390.9,562.3,694.7,671.0,452.3,685.0,702.8,710.1,1271.6,851.4,643.9,646.7,520.3,655.1,724.3,442.6,595.2,1043.8,547.1,689.6,322.8,713.2,669.7,483.1,544.7,605.3,117.1,201.3,632.3,681.0,68.1,580.4,172.6,669.1,470.1,1013.5,673.9,935.5,515.5,681.0,706.1,620.6,1182.5,233.4,149.5,679.3,549.5,906.5,632.9,637.2,263.3,961.2,644.0,700.2,504.4,900.2,623.4,550.6,721.2,490.8,688.6,656.9,951.3,923.3,651.5,893.7,640.5,525.7,623.5,600.2,49.9,597.6,389.8,571.0,577.1,690.2,603.0,472.4,622.7,951.0,147.8,73.5,631.8,638.5,697.9,617.8,441.5
CE,773.3,1032.7,671.1,595.8,204.9,899.1,853.8,566.8,495.2,1045.7,958.8,345.6,998.4,528.9,0.0,873.7,895.9,697.9,774.0,239.3,889.2,350.7,220.3,287.3,501.6,648.4,482.0,949.8,503.5,763.7,598.2,1000.9,209.0,556.4,982.6,554.6,919.7,190.7,449.9,929.6,369.3,575.1,747.3,570.9,906.3,793.5,753.2,374.7,786.5,868.7,596.0,1058.4,895.5,975.5,339.5,786.5,826.6,198.0,316.9,876.0,783.6,998.4,558.1,926.3,835.6,465.9,731.7,903.1,953.3,929.6,793.1,302.4,961.4,1050.9,1242.5,465.8,1010.7,987.5,861.1,913.7,341.7,783.4,217.0,1014.7,161.5,948.2,649.4,379.5,928.3,809.7,159.1,219.7,414.3,527.9,973.1,939.6,548.6,197.8,499.2,927.7,810.9,627.9,291.3,549.9,129.9,998.2,323.5,286.9,1153.4,560.0,476.1,296.7,890.3,520.9,247.3,348.9,532.2,575.6,258.4,958.8,831.0,514.6,882.0,809.2,338.6,831.6,947.2,997.7,565.7,537.7,910.1,508.1,899.1,866.5,289.8,858.8,559.5,212.0,730.6,231.2,191.5,948.8,861.6,799.0,989.5,565.4,474.4,554.0,298.1,252.9,1069.7,876.4,782.3
CG,197.0,304.9,1183.1,1261.7,938.0,275.8,305.1,556.4,1161.1,305.4,406.5,1080.9,377.2,574.6,906.1,0.0,349.0,236.6,497.1,967.3,340.5,1080.8,939.4,1020.4,1162.4,1314.3,546.6,390.1,544.1,132.2,1141.8,260.6,942.1,588.8,242.3,600.3,88.5,882.6,535.8,380.9,1034.1,620.8,180.8,605.9,346.6,154.4,476.3,1055.9,509.6,432.8,1261.9,328.9,316.1,352.1,961.2,509.6,46.7,931.1,1047.0,440.1,175.1,377.2,603.8,418.3,399.7,1131.8,196.4,29.3,317.4,305.2,103.6,1032.5,426.9,310.6,1463.2,1131.7,312.9,247.2,105.0,365.0,1074.0,112.8,942.7,1237.6,894.6,388.5,434.0,1060.7,368.6,538.1,892.2,952.8,561.6,572.1,232.8,379.9,594.3,927.9,519.8,444.8,126.5,1293.8,1021.4,1215.8,863.0,320.2,1053.6,968.1,1374.1,580.6,564.5,1026.8,136.6,1186.8,985.9,984.7,581.7,1241.5,991.5,406.5,554.1,1180.5,446.1,301.0,1081.2,185.1,374.2,257.4,1231.6,1203.6,285.7,1174.0,275.8,22.8,971.0,350.6,544.6,945.1,160.1,918.5,924.6,384.5,426.8,522.1,289.5,1231.3,543.2,599.7,979.3,986.0,298.4,368.2,150.8
CI,432.6,186.6,1014.9,1160.9,1012.8,316.4,311.7,710.9,1050.9,254.2,416.7,1153.5,418.9,673.0,936.1,400.6,0.0,399.8,537.5,895.0,347.1,1001.5,867.1,1095.2,1090.7,1073.3,578.1,94.9,575.6,379.4,973.6,209.4,956.4,700.5,191.1,698.7,446.6,880.2,594.0,387.5,857.9,719.2,428.0,715.0,51.4,401.6,516.7,904.0,550.0,292.0,1114.8,212.3,357.8,120.6,992.7,550.0,353.5,922.7,967.7,299.3,422.3,418.9,702.2,246.3,258.9,1026.1,443.6,430.0,98.4,346.9,350.8,953.2,254.9,259.4,1425.8,1054.9,215.7,196.0,305.0,371.6,992.5,360.0,870.4,1266.9,969.4,93.3,474.4,890.8,73.4,573.2,967.0,961.0,607.8,603.6,181.6,84.7,692.7,848.6,551.3,272.8,368.6,1043.5,845.2,1053.9,937.8,143.3,974.3,895.8,1405.6,612.1,596.0,850.6,300.1,1110.0,933.4,808.5,613.2,987.3,922.3,416.7,594.5,976.5,305.3,314.1,892.5,432.3,92.3,203.9,1043.5,1235.1,327.4,1063.8,316.4,393.4,898.7,291.6,703.6,1019.9,405.1,846.2,999.4,426.2,284.9,562.5,223.1,1166.9,574.7,698.1,907.0,941.7,223.6,253.6,398.0
CJ,75.3,386.8,976.3,1122.1,731.2,324.3,354.7,354.6,1021.5,389.5,459.7,871.9,426.8,367.8,699.3,217.5,433.1,0.0,414.8,760.5,390.1,874.0,732.6,813.6,1027.9,1034.7,393.1,474.2,414.6,107.5,935.0,344.7,735.3,375.1,326.4,393.5,263.5,675.8,329.0,430.5,827.3,414.0,49.3,399.1,430.7,121.2,394.0,849.1,427.3,495.7,1122.3,413.0,365.7,436.2,878.9,427.3,170.4,724.3,840.2,503.0,85.6,426.8,397.0,502.4,462.6,992.2,33.7,246.9,401.5,354.8,136.9,825.7,511.0,394.7,1380.9,992.1,397.6,331.3,204.9,414.6,865.0,127.2,735.9,1153.1,687.8,472.6,351.7,853.9,452.7,450.5,685.4,746.0,354.8,439.0,316.9,464.0,387.5,721.1,410.3,528.9,129.3,1004.9,814.6,1076.2,656.2,404.3,846.8,761.3,1291.8,471.1,387.2,820.0,234.1,1047.2,773.6,777.9,501.0,948.7,784.7,459.7,471.8,937.9,509.0,350.6,861.9,133.6,458.3,341.5,1092.0,1064.0,335.3,1034.4,324.3,210.3,764.2,400.2,335.6,738.3,74.4,711.7,717.8,434.1,488.6,439.8,376.4,1091.7,385.5,392.9,772.5,779.2,382.5,417.8,126.1
CR,640.6,738.7,931.0,948.1,719.0,848.6,803.3,356.1,847.5,752.2,908.3,859.7,947.9,318.2,687.1,741.0,845.4,565.2,0.0,748.3,838.7,861.8,720.4,801.4,853.9,1000.7,223.3,899.3,220.8,631.0,889.7,707.4,723.1,345.7,689.1,343.9,787.0,663.6,239.2,879.1,848.2,364.4,614.6,360.2,855.8,660.8,103.2,836.9,26.0,818.2,948.3,775.7,845.0,788.1,647.6,26.0,693.9,712.1,828.0,825.5,650.9,947.9,347.4,875.8,785.1,818.2,599.0,770.4,753.4,879.1,660.4,813.5,910.9,757.4,1149.6,818.1,719.1,694.0,728.4,863.2,852.8,650.7,723.7,921.8,675.6,897.7,272.3,868.5,877.8,67.2,673.2,733.8,253.0,248.8,679.6,889.1,337.9,708.9,196.5,877.2,678.2,980.2,784.0,902.2,644.0,756.2,834.6,749.1,1060.5,257.3,241.2,789.4,757.6,873.2,761.4,798.8,258.4,927.9,772.5,908.3,70.5,866.9,831.5,758.7,767.6,698.9,896.7,704.2,918.0,890.0,859.6,860.4,848.6,733.8,752.0,808.3,348.8,726.1,597.9,699.5,705.6,898.3,811.1,56.5,697.9,917.7,219.9,343.3,760.3,767.0,745.2,825.9,649.6
CT,834.4,990.3,590.4,650.1,259.2,856.7,811.4,627.9,549.5,1008.6,916.4,399.9,956.0,590.0,208.1,934.8,853.5,759.0,835.1,0.0,846.8,308.3,40.1,341.6,555.9,702.7,543.1,907.4,564.6,824.8,652.5,963.8,180.2,617.5,945.5,615.7,980.8,152.2,511.0,887.2,202.0,636.2,808.4,632.0,863.9,854.6,814.3,207.4,847.6,826.3,650.3,1016.0,853.1,933.1,393.8,847.6,887.7,41.3,274.5,833.6,844.7,956.0,619.2,883.9,793.2,520.2,792.8,964.2,910.9,887.2,854.2,260.0,919.0,1013.8,1250.3,520.1,968.3,950.4,928.0,871.3,299.3,844.5,49.7,1075.8,215.8,905.8,710.5,212.2,885.9,870.8,199.3,184.8,475.4,589.0,936.0,897.2,609.7,155.4,560.3,885.3,872.0,682.2,268.6,604.2,184.2,955.8,281.1,119.6,1214.5,621.1,537.2,274.0,923.1,575.2,157.2,181.6,593.3,629.9,146.1,916.4,892.1,568.9,839.6,766.8,301.6,892.7,904.8,960.6,620.0,592.0,867.7,562.4,856.7,927.6,122.5,816.4,620.6,254.6,791.7,63.9,245.8,906.4,819.2,860.1,947.1,619.7,535.5,615.1,130.8,165.5,1027.3,834.0,843.4
