from_stop,AL,AQ,AW,AZ,BB,BP,BS,BX,BZ,CB,CJ,CM,CP,CR,CV,DN,DR,DU,DY,DZ,EF,EN,EO,EQ,EX,FH,FK,FM,FO,FV,FW,FZ,GA,GE,GF,GG,GJ,GO,HM,HN,HO,HP,HQ,HV,IQ,IV,IY,IZ,JA,JD,JM,JR,JS,JU,JX,KB,KD,KH,KO,KZ,LE,LI,LV,MC,ML,MO,MS,MU,NE,NF,NH,NN,OE,OR,OT,OX,PA,PJ,PL,PP,PR,PU,PX,QC,QG,QL,QO,QT,QZ,RF,RP,RQ,RR,RY,SA,SK,SN,SQ,SU,SY,TJ,TS,TW,UM,UN,UV,UW,UX,VB,VD,VM,VY,WD,WF,WH,WJ,WK,WQ,WV,XB,XC,XJ,XS,XV,YB,YC,YE,YK,YV,ZO,ZQ
CJ,984.3,989.8,876.4,131.5,1051.6,324.5,1013.8,1030.4,1009.2,872.9,0.0,293.5,931.7,351.7,133.5,356.1,632.4,823.7,1078.5,849.9,318.8,947.8,87.2,628.5,936.5,110.3,186.4,815.5,441.0,362.4,928.2,336.7,364.2,1130.7,319.1,408.1,414.8,454.5,886.0,1010.9,1007.7,399.6,306.0,793.2,984.4,444.0,914.4,932.0,938.2,307.1,544.7,938.3,91.6,46.6,481.6,879.7,355.7,791.3,929.5,1115.5,882.0,875.9,819.8,420.5,832.5,306.7,897.8,845.9,686.4,474.8,825.8,357.4,22.4,968.7,944.0,463.3,932.6,367.1,78.6,816.6,499.4,70.6,858.3,996.6,276.5,811.0,959.5,725.2,684.8,887.2,835.1,826.9,408.2,321.2,521.1,835.5,298.2,367.7,350.3,232.2,131.5,886.0,1061.7,82.7,784.2,938.7,387.6,354.8,482.1,835.8,2053.7,360.3,419.0,360.3,956.4,1094.1,529.8,448.6,962.9,950.3,802.4,401.6,770.8,461.0,354.2,433.8,870.5,854.7,336.5,779.3,337.4
CM,820.4,1002.1,712.5,213.1,1107.7,160.6,1026.1,976.6,1018.8,709.0,250.3,0.0,754.9,82.3,215.2,192.2,468.5,659.8,1024.1,862.2,70.4,1003.5,243.6,464.6,954.4,182.4,162.3,827.3,277.1,198.5,764.3,88.3,200.3,1144.9,107.2,244.2,250.9,290.6,722.1,1023.2,1020.0,235.7,57.6,629.3,996.7,280.1,930.1,944.3,993.9,58.7,380.8,956.2,180.3,215.3,311.5,891.5,189.7,627.4,765.6,1171.6,718.1,888.2,655.9,238.4,777.8,13.1,733.9,682.0,522.5,310.9,661.9,84.5,249.4,984.4,1010.6,299.4,768.7,82.8,193.3,652.7,335.5,201.3,870.6,832.7,51.1,647.1,795.6,561.3,520.9,723.3,847.4,663.0,244.3,157.3,357.2,671.6,56.2,82.5,186.4,84.4,244.4,722.1,1117.8,261.2,620.3,956.6,133.8,190.9,318.2,847.6,1889.8,196.4,255.1,90.6,792.5,1150.2,365.9,284.7,969.7,975.6,768.7,237.7,606.9,297.1,190.3,269.9,706.6,690.8,69.3,814.1,173.5
CP,206.0,710.3,254.4,906.4,649.5,647.3,723.1,518.4,727.0,340.5,943.6,817.0,0.0,888.3,944.1,612.6,283.9,235.8,554.7,595.2,839.5,545.3,936.9,367.0,496.2,875.7,880.0,251.9,530.0,616.3,149.9,857.4,618.1,672.1,841.1,647.6,645.2,587.4,353.6,615.5,728.2,639.1,826.7,377.9,704.9,534.4,634.9,652.5,535.7,816.6,429.5,498.0,873.6,908.6,482.3,327.3,632.5,283.2,307.5,713.4,335.2,621.2,104.8,591.4,152.2,827.4,275.8,302.4,229.8,580.3,98.3,878.1,942.7,689.2,552.4,525.6,175.9,887.8,886.6,273.1,638.9,883.4,603.6,218.3,797.2,249.0,181.2,446.0,283.7,265.2,580.4,323.6,565.6,626.5,660.6,87.8,818.9,888.4,652.2,769.0,937.7,35.1,659.6,994.9,506.8,498.4,908.3,653.7,524.8,283.4,2096.2,636.8,576.4,875.8,24.7,692.0,669.3,588.1,677.9,517.4,253.2,655.5,276.7,566.5,593.9,495.3,191.4,194.9,857.2,298.6,639.3
CR,883.4,1065.1,775.5,276.1,1170.7,223.6,1089.1,1039.6,1081.8,772.0,313.3,85.6,817.9,0.0,278.2,255.2,531.5,722.8,1092.9,925.2,110.9,1066.5,312.4,527.6,1017.4,245.4,225.3,896.1,340.1,261.5,827.3,128.8,263.3,1210.3,168.5,307.2,313.9,353.6,785.1,1086.2,1083.0,298.7,98.1,692.3,1059.7,343.1,995.5,1007.3,1056.9,101.5,443.8,1025.0,243.3,278.3,374.5,954.5,252.7,696.2,828.6,1240.4,781.1,951.2,718.9,301.4,840.8,73.4,796.9,745.0,585.5,373.9,724.9,1.7,312.4,1049.8,1073.6,362.4,831.7,0.0,256.3,715.7,398.5,264.3,933.6,895.7,124.6,710.1,858.6,624.3,583.9,786.3,910.4,726.0,307.3,220.3,420.2,734.6,85.4,73.9,249.4,147.4,307.4,785.1,1180.8,324.2,683.3,1019.6,88.0,253.9,381.2,910.6,1952.8,259.4,318.1,10.6,855.5,1213.2,428.9,347.7,1032.7,1046.7,831.7,300.7,669.9,360.1,253.3,332.9,769.6,753.8,15.1,877.1,236.5
CV,939.3,984.9,831.4,150.4,1046.7,279.5,1008.9,1025.5,1004.3,827.9,151.8,248.5,886.7,306.7,0.0,311.1,587.4,778.7,1073.6,845.0,273.8,942.9,104.6,583.5,931.6,150.3,52.9,810.6,396.0,317.4,883.2,291.7,319.2,1125.8,274.1,363.1,369.8,409.5,841.0,1006.0,1002.8,354.6,261.0,748.2,979.5,399.0,909.5,927.1,933.3,262.1,499.7,933.4,131.6,118.9,436.6,874.8,310.7,746.3,884.5,1110.6,837.0,871.0,774.8,375.5,896.7,261.7,852.8,800.9,641.4,429.8,780.8,312.4,121.0,963.8,939.1,418.3,887.6,322.1,118.6,771.6,454.4,110.6,853.4,951.6,231.5,766.0,914.5,680.2,639.8,842.2,830.2,781.9,363.2,276.2,476.1,790.5,253.2,322.7,305.3,187.2,123.2,841.0,1056.8,50.7,739.2,933.8,342.6,309.8,437.1,830.9,2008.7,315.3,374.0,315.3,911.4,1089.2,484.8,403.6,958.0,945.4,797.5,356.6,725.8,416.0,309.2,388.8,825.5,809.7,291.5,774.4,292.4
DN,673.7,1178.0,565.8,327.7,1117.2,60.2,1202.0,986.1,1197.4,677.7,374.4,233.7,621.1,291.9,339.3,0.0,321.8,513.1,1033.6,1062.9,259.0,1013.0,367.7,317.9,963.9,306.5,286.4,730.8,130.4,51.8,617.6,276.9,53.6,1151.0,257.5,124.0,58.6,143.9,690.8,1083.2,1195.9,115.5,246.2,598.0,1172.6,133.4,1102.6,1120.2,1003.4,247.3,234.1,965.7,304.4,339.4,151.4,795.0,47.5,480.7,618.9,1181.1,686.8,1088.9,509.2,109.9,631.1,246.9,587.2,535.3,375.8,164.2,515.2,297.6,373.5,1156.9,1020.1,152.7,622.0,307.3,317.4,506.0,188.8,325.4,1071.3,686.0,216.7,500.4,648.9,530.0,374.2,576.6,1048.1,516.3,78.0,102.9,210.5,524.9,238.4,307.9,65.1,190.4,368.5,575.4,1127.3,385.3,589.0,966.1,327.8,59.0,171.5,751.1,1858.5,31.7,88.8,300.5,645.8,1159.7,219.2,138.0,1151.1,993.2,720.9,91.0,460.2,150.4,70.3,123.2,559.9,544.1,276.7,766.3,52.2
DR,351.8,856.1,243.9,624.2,795.3,363.3,880.1,664.2,875.5,486.3,670.9,530.2,299.2,588.4,635.8,328.6,0.0,191.2,711.7,741.0,555.5,691.1,664.2,83.0,642.0,603.0,582.9,408.9,246.0,332.3,295.7,573.4,334.1,829.1,554.0,363.6,361.2,303.4,499.4,761.3,874.0,355.1,542.7,523.7,850.7,250.4,780.7,798.3,681.5,543.8,145.5,643.8,600.9,635.9,192.1,473.1,346.2,158.8,297.0,859.2,481.0,767.0,187.3,325.6,309.2,543.4,265.3,213.4,53.9,296.3,193.3,594.1,670.0,835.0,698.2,241.6,300.1,603.8,613.9,184.1,354.9,621.9,749.4,364.1,513.2,178.5,327.0,591.8,52.3,254.7,726.2,194.4,281.6,342.5,376.6,203.0,534.9,604.4,368.2,486.9,665.0,253.5,805.4,681.8,652.6,644.2,624.3,369.7,240.8,429.2,2125.8,352.8,292.4,597.0,323.9,837.8,385.3,304.1,829.2,671.3,399.0,371.5,138.3,282.5,309.9,211.3,238.0,222.2,573.2,444.4,355.3
DU,201.2,705.5,52.6,815.0,644.7,554.1,729.5,513.6,724.9,335.7,861.7,721.0,239.6,779.2,826.6,519.4,190.7,0.0,561.1,590.4,746.3,540.5,855.0,273.8,491.4,793.8,773.7,258.3,436.8,523.1,179.1,764.2,524.9,678.5,744.8,554.4,552.0,494.2,348.8,610.7,723.4,545.9,733.5,373.1,700.1,441.2,630.1,647.7,530.9,734.6,336.3,493.2,791.7,826.7,382.9,322.5,537.0,58.5,105.7,708.6,330.4,616.4,212.5,516.4,158.6,734.2,74.0,66.5,136.6,487.1,218.5,784.9,860.8,684.4,547.6,432.4,108.8,794.6,804.7,37.2,545.7,812.7,598.8,213.5,704.0,13.1,176.4,441.2,190.5,63.4,575.6,87.7,472.4,533.3,567.4,194.0,725.7,795.2,559.0,677.7,855.8,193.9,654.8,872.6,502.0,493.6,815.1,560.5,431.6,278.6,2091.4,543.6,483.2,787.8,264.3,687.2,576.1,494.9,678.6,520.7,248.4,562.3,147.9,473.3,500.7,402.1,46.7,30.9,764.0,293.8,546.1
DY,450.9,366.0,574.2,1008.0,159.5,1058.1,390.0,111.9,361.2,403.7,1054.7,1033.6,544.2,1107.7,1055.2,1023.4,694.7,555.6,0.0,305.6,1058.9,255.7,1048.0,777.8,206.6,986.8,1002.3,395.0,940.8,1027.1,483.7,1076.8,1028.9,193.3,1057.4,978.4,1056.0,998.2,416.8,125.5,359.7,969.9,1046.1,374.5,360.6,945.2,342.3,265.7,246.1,1047.2,840.3,208.4,984.7,1019.7,893.1,459.2,1041.0,614.2,627.3,223.4,280.5,331.6,515.6,1002.2,394.0,1046.8,595.6,622.2,640.6,991.1,509.1,1097.5,1053.8,305.0,262.8,936.4,495.7,1107.2,997.7,592.9,1049.7,1005.7,314.0,463.2,1016.6,568.8,426.1,442.6,694.5,585.0,290.8,643.4,976.4,919.2,1071.4,498.6,1038.3,1107.8,1063.0,988.4,1048.8,498.5,169.6,1106.0,503.4,208.8,1127.7,1064.5,935.6,415.3,1967.2,1047.6,987.2,1106.4,568.9,202.0,1080.1,998.9,305.1,235.9,288.5,1066.3,687.5,977.3,1004.7,906.1,511.2,525.9,1076.6,332.2,1050.1
DZ,494.2,162.9,617.5,775.8,326.5,884.5,186.9,252.1,182.3,447.0,822.5,853.5,587.5,911.7,823.0,916.1,738.0,598.9,299.6,0.0,878.8,169.5,815.8,821.1,158.2,754.6,770.1,438.3,984.1,922.4,527.0,896.7,924.2,417.0,879.1,968.1,974.8,1014.5,460.1,285.8,180.8,959.6,866.0,417.8,157.5,988.5,87.5,105.1,159.9,867.1,883.6,160.0,752.5,787.5,930.2,502.5,915.7,657.5,670.6,390.4,323.8,25.9,558.9,980.5,437.3,866.7,638.9,665.5,683.9,1034.8,552.4,917.4,821.6,141.8,165.7,979.7,539.0,927.1,765.5,636.2,1059.4,773.5,39.8,506.5,836.5,612.1,469.4,485.9,737.8,628.3,44.6,686.7,968.2,881.2,1081.1,541.9,858.2,927.7,910.3,792.2,816.6,541.8,336.6,873.8,546.7,160.4,947.6,914.8,978.9,458.6,1753.2,920.3,979.0,920.3,612.2,369.0,1089.8,1008.6,136.0,172.0,331.8,961.6,730.8,1021.0,914.2,949.4,554.5,569.2,896.5,375.5,897.4
EF,863.0,1044.7,755.1,246.2,1150.3,203.2,1068.7,1019.2,1064.1,751.6,292.9,67.7,810.4,103.4,257.8,234.8,511.1,702.4,1066.7,904.8,0.0,1046.1,286.2,507.2,997.0,225.0,204.9,869.9,319.7,241.1,806.9,78.7,242.9,1184.1,134.5,286.8,293.5,333.2,764.7,1065.8,1062.6,278.3,11.5,671.9,1039.3,322.7,969.3,986.9,1036.5,49.1,423.4,998.8,222.9,257.9,360.3,934.1,234.4,670.0,808.2,1214.2,760.7,930.8,698.5,299.2,820.4,80.9,776.5,724.6,565.1,353.5,704.5,109.1,292.0,1023.6,1053.2,342.0,811.3,118.8,235.9,695.3,378.1,243.9,913.2,875.3,93.7,689.7,838.2,603.9,563.5,765.9,890.0,705.6,286.9,199.9,399.8,714.2,95.4,119.4,229.0,131.4,287.0,764.7,1160.4,303.8,662.9,999.2,184.8,233.5,360.8,890.2,1932.4,239.0,297.7,112.0,835.1,1192.8,408.5,327.3,1017.8,1026.3,811.3,280.3,649.5,339.7,232.9,312.5,749.2,733.4,88.2,856.7,216.1
EN,464.5,284.8,587.8,853.9,353.5,962.6,308.8,222.4,304.2,417.3,900.6,931.6,557.8,989.8,901.1,994.2,708.3,569.2,269.9,169.7,956.9,0.0,893.9,791.4,128.5,832.7,848.2,408.6,954.4,1000.5,497.3,974.8,1002.3,387.3,957.2,1046.2,1052.9,1092.6,430.4,319.5,302.7,1037.7,944.1,388.1,279.4,958.8,209.4,227.0,77.6,945.2,853.9,130.3,830.6,865.6,900.5,472.8,993.8,627.8,640.9,417.4,294.1,195.7,529.2,1058.6,407.6,944.8,609.2,635.8,654.2,1004.7,522.7,995.5,899.7,263.7,89.0,950.0,509.3,1005.2,843.6,606.5,1137.5,851.6,178.1,476.8,914.6,582.4,439.7,456.2,708.1,598.6,154.9,657.0,1046.3,959.3,1159.2,512.2,936.3,1005.8,988.4,870.3,894.7,512.1,363.6,951.9,517.0,130.7,1025.7,992.9,949.2,428.9,1831.3,998.4,1057.1,998.4,582.5,396.0,1167.9,1086.7,257.9,83.3,302.1,1039.7,701.1,990.9,992.3,919.7,524.8,539.5,974.6,345.8,975.5
EO,966.4,971.9,858.5,113.6,1033.7,306.6,995.9,1012.5,988.6,855.0,96.0,275.6,913.8,349.7,95.1,338.2,614.5,805.8,1060.6,832.0,300.9,929.9,0.0,610.6,918.6,92.4,148.0,797.6,423.1,344.5,910.3,318.8,346.3,1112.8,299.1,390.2,396.9,436.6,868.1,993.0,989.8,381.7,288.1,775.3,966.5,426.1,896.5,914.1,920.3,289.2,526.8,920.4,73.7,61.0,457.5,861.8,337.8,773.4,911.6,1097.6,864.1,858.0,801.9,384.4,814.6,288.8,879.9,828.0,668.5,456.9,807.9,339.5,66.9,950.8,926.1,445.4,914.7,349.2,60.7,798.7,481.5,52.7,840.4,978.7,258.6,793.1,941.6,707.3,666.9,869.3,817.2,809.0,390.3,303.3,503.2,817.6,280.3,349.8,332.4,212.4,93.1,868.1,1043.8,44.3,766.3,920.8,369.7,336.9,464.2,817.9,2035.8,342.4,401.1,348.4,938.5,1076.2,511.9,430.7,945.0,924.3,784.5,383.7,752.9,443.1,336.3,415.9,852.6,836.8,318.6,761.4,319.5
EQ,442.8,947.1,334.9,608.2,886.3,347.3,971.1,755.2,966.5,577.3,654.9,514.2,390.2,572.4,619.8,312.6,90.9,282.2,802.7,832.0,539.5,782.1,648.2,0.0,733.0,587.0,566.9,499.9,230.0,316.3,386.7,557.4,318.1,920.1,538.0,347.6,345.2,287.4,590.4,852.3,965.0,339.1,526.7,614.7,941.7,234.4,871.7,889.3,772.5,527.8,129.5,734.8,584.9,619.9,176.1,564.1,330.2,249.8,388.0,950.2,572.0,858.0,278.3,309.6,400.2,527.4,356.3,304.4,144.9,280.3,284.3,578.1,654.0,926.0,789.2,225.6,391.1,587.8,597.9,275.1,338.9,605.9,840.4,455.1,497.2,269.5,418.0,682.8,143.3,345.7,817.2,285.4,265.6,326.5,360.6,294.0,518.9,588.4,352.2,470.9,649.0,344.5,896.4,665.8,840.3,735.2,608.3,353.7,224.8,520.2,2109.8,336.8,276.4,581.0,414.9,928.8,369.3,288.1,920.2,762.3,490.0,355.5,229.3,266.5,293.9,195.3,329.0,313.2,557.2,535.4,339.3
