from_stop,AH,AJ,AO,AP,AS,BC,BN,BV,CC,CE,CI,CO,DC,DG,DL,DM,DN,DQ,EG,EP,EW,FE,FG,FI,FP,GA,GD,GF,GH,GI,GO,GS,HI,HJ,HV,HX,HZ,ID,IE,IJ,IL,IT,IV,IW,JI,JJ,JN,JQ,JU,JV,KC,KM,KN,KO,KR,KW,KZ,LM,LT,MD,ME,MM,MQ,MU,MZ,NG,NJ,NN,NP,OI,OM,OP,OV,OZ,PL,PN,PS,QB,QD,QG,QX,RA,RC,RL,RQ,RR,SA,SM,SS,SW,SY,TA,TB,TF,TG,TQ,UA,UD,UR,US,VD,VE,VK,VY,WA,WF,WK,WL,WO,WS,WT,WX,XH,XK,XP,XZ,YC,YQ,YS,YT,ZF,ZG,ZK
CI,112.0,63.3,699.0,253.8,82.2,773.9,738.8,176.3,108.9,216.2,0.0,90.9,754.0,653.3,725.5,131.6,150.8,75.4,796.2,198.5,185.4,724.5,721.8,630.8,286.6,154.5,83.9,127.6,95.2,253.1,118.9,258.4,109.7,197.2,96.2,747.6,235.6,111.6,62.8,281.4,108.5,173.5,85.7,173.1,114.8,682.2,135.4,185.7,269.6,118.6,179.7,714.5,312.3,278.4,131.9,1622.1,224.6,158.3,804.3,674.4,169.2,131.1,821.7,244.0,865.5,257.1,757.9,819.1,164.7,739.9,88.6,198.2,700.4,754.6,794.4,247.2,59.9,742.4,100.3,76.1,784.6,72.7,706.0,149.1,80.8,204.4,71.0,765.9,801.0,126.8,90.6,100.1,163.5,810.3,172.1,720.5,762.4,145.2,217.8,179.3,38.9,692.4,168.1,722.5,755.1,807.9,283.2,273.8,254.2,153.6,191.7,158.3,752.1,537.9,719.6,76.2,783.2,707.1,180.5,715.2,770.1,103.5,774.6
CO,65.8,15.2,690.8,245.6,162.9,765.7,730.6,168.1,129.7,208.0,80.6,0.0,745.8,645.1,717.3,123.4,104.6,67.2,788.0,219.3,177.2,716.3,713.6,622.6,249.7,108.3,75.7,119.4,104.2,216.2,28.0,250.2,101.5,189.0,50.0,739.4,189.4,132.4,54.6,273.2,62.3,127.3,166.4,164.9,106.6,674.0,89.2,139.5,232.7,199.3,133.5,706.3,304.1,241.5,85.7,1613.9,187.7,150.1,796.1,666.2,161.0,122.9,813.5,235.8,857.3,248.9,749.7,810.9,185.5,731.7,80.4,190.0,692.2,746.4,786.2,210.3,140.6,734.2,121.1,85.1,776.4,153.4,697.8,102.9,101.6,167.5,91.8,757.7,792.8,80.6,82.4,120.9,117.3,802.1,125.9,712.3,754.2,99.0,180.9,171.1,119.6,684.2,159.9,714.3,746.9,799.7,275.0,265.6,217.3,145.4,145.5,150.1,743.9,529.7,711.4,97.0,775.0,698.9,172.3,707.0,761.9,95.3,766.4
DC,816.2,714.1,340.4,674.0,841.9,170.7,241.0,756.1,808.7,645.0,759.6,741.7,0.0,341.0,298.9,682.8,801.6,722.7,125.1,898.3,712.6,53.4,362.7,318.5,757.2,805.3,687.6,707.4,810.2,811.7,770.4,705.6,722.5,654.4,747.0,234.8,863.7,811.4,707.8,701.6,759.3,851.0,845.4,662.3,650.8,371.0,797.3,850.6,803.8,878.1,860.6,235.8,661.9,749.0,782.7,1890.1,787.6,664.9,201.1,177.7,749.0,737.9,218.5,672.8,194.4,784.2,112.0,141.3,864.5,194.3,683.2,752.4,221.7,273.7,218.2,751.9,811.5,291.8,800.1,764.1,141.2,832.4,180.4,808.5,780.6,763.0,769.4,121.8,197.8,804.8,703.4,826.9,831.1,132.5,810.0,241.8,249.6,796.0,780.8,685.9,825.6,380.1,747.9,147.3,170.4,118.8,712.0,694.0,824.2,740.4,842.5,738.1,289.4,430.4,215.0,774.0,180.0,157.8,760.3,253.1,305.4,683.3,103.5
DG,636.6,641.0,236.4,634.7,768.8,237.8,194.1,641.0,735.6,690.3,686.5,668.6,359.0,0.0,427.2,643.5,718.3,656.4,320.5,825.2,600.3,285.9,185.1,34.0,574.2,732.2,648.3,620.9,710.1,628.7,696.6,639.3,649.4,615.1,673.9,211.5,670.0,738.3,668.5,662.3,676.0,668.0,772.3,623.0,584.5,223.6,613.2,640.6,620.8,805.2,677.6,281.1,622.6,566.0,709.6,1850.8,604.6,625.6,268.2,308.6,656.7,637.8,285.6,718.1,354.6,574.2,368.1,415.4,791.4,203.8,643.9,613.1,322.8,237.8,258.3,568.9,746.5,245.6,727.0,691.0,303.1,759.3,425.7,599.5,707.5,580.0,697.7,275.4,264.9,621.8,630.3,726.8,661.4,406.6,627.0,302.4,226.3,722.9,597.8,646.6,725.5,43.1,635.6,186.4,426.5,375.2,757.3,654.7,614.2,660.3,769.4,645.8,252.6,241.0,183.5,702.9,247.1,426.8,648.0,254.6,247.2,610.2,281.9
DL,779.3,730.6,374.8,690.5,858.4,370.2,358.4,772.6,825.2,661.5,776.1,758.2,313.8,504.8,0.0,699.3,818.1,712.2,321.1,914.8,729.1,249.4,426.7,482.3,702.7,821.8,704.1,723.9,799.7,757.2,786.9,695.1,739.0,670.9,763.5,375.8,809.2,827.9,724.3,718.1,775.8,796.5,861.9,678.8,640.3,398.4,741.7,769.1,749.3,894.6,806.1,290.4,678.4,694.5,799.2,1906.6,733.1,681.4,397.1,278.9,765.5,727.4,414.5,689.3,390.4,702.7,282.8,344.0,881.0,363.3,699.7,741.9,288.7,332.4,405.1,697.4,836.1,320.2,816.6,780.6,309.5,848.9,270.0,727.0,797.1,708.5,785.9,290.8,411.7,750.3,719.9,816.4,776.6,335.2,755.5,295.1,361.0,812.5,726.3,702.4,815.1,543.9,764.4,343.3,254.8,332.8,728.5,710.5,742.7,756.9,859.0,754.6,329.9,457.5,411.0,792.5,376.0,247.4,776.8,297.3,347.9,699.8,299.5
DM,155.9,107.2,663.4,179.4,235.0,738.3,703.2,199.2,201.8,141.8,152.7,134.8,718.4,617.7,689.9,0.0,194.7,55.9,760.6,291.4,149.8,688.9,686.2,595.2,221.5,198.4,47.8,150.5,176.3,223.6,162.8,184.0,132.6,122.8,140.1,712.0,279.5,204.5,68.0,207.0,152.4,217.4,238.5,98.7,61.0,646.6,179.3,229.6,240.1,271.4,223.6,678.9,237.9,213.3,175.8,1547.7,199.5,102.1,768.7,638.8,192.1,154.0,786.1,169.6,829.9,221.5,722.3,783.5,257.6,704.3,43.4,162.6,664.8,719.0,758.8,216.2,212.7,706.8,193.2,157.2,749.0,225.5,670.4,193.0,173.7,174.9,163.9,730.3,765.4,170.7,113.5,193.0,207.4,774.7,216.0,684.9,726.8,189.1,192.7,123.1,191.7,656.8,191.0,686.9,719.5,772.3,208.8,199.4,224.7,176.5,235.6,181.2,716.5,502.3,684.0,169.1,747.6,671.5,203.4,679.6,734.5,126.4,739.0
DN,56.3,93.1,718.7,323.5,240.8,793.6,758.5,171.0,171.4,285.9,158.5,102.6,773.7,673.0,745.2,201.3,0.0,145.1,815.9,297.2,230.5,744.2,741.5,650.5,240.2,141.4,153.6,150.9,182.1,206.7,130.6,328.1,179.4,266.9,83.1,767.3,179.9,210.3,132.5,351.1,28.1,117.8,244.3,242.8,184.5,701.9,79.7,130.0,223.2,277.2,124.0,734.2,382.0,232.0,118.8,1691.8,178.2,228.0,824.0,694.1,186.7,172.1,841.4,313.7,885.2,276.8,777.6,838.8,263.4,759.6,158.3,243.3,720.1,774.3,814.1,200.8,218.5,762.1,199.0,163.0,804.3,231.3,725.7,93.4,179.5,158.0,169.7,785.6,820.7,71.1,160.3,198.8,107.8,830.0,116.4,740.2,782.1,132.1,171.4,249.0,197.5,712.1,165.6,742.2,774.8,827.6,352.9,343.5,207.8,199.8,178.6,175.8,771.8,557.6,739.3,174.9,802.9,726.8,178.0,734.9,789.8,173.2,794.3
DQ,99.9,51.2,665.9,212.5,179.0,740.8,705.7,143.2,145.8,174.9,96.7,78.8,720.9,620.2,692.4,56.1,138.7,0.0,763.1,235.4,152.3,691.4,688.7,597.7,253.5,142.4,8.5,94.5,120.3,220.0,107.5,217.1,76.6,155.9,84.1,714.5,234.2,148.5,12.1,240.1,96.4,161.4,182.5,131.8,81.7,689.5,122.2,173.6,236.5,215.2,167.6,681.4,271.0,245.3,119.8,1580.8,191.5,125.2,771.2,641.3,136.1,98.0,788.6,202.7,832.4,224.0,724.8,786.0,201.6,706.8,13.1,165.1,667.3,721.5,761.3,214.1,148.6,709.3,137.2,101.2,751.5,169.5,672.9,138.0,117.7,171.3,106.5,732.8,767.9,114.7,57.5,137.0,138.1,777.2,160.0,687.4,729.3,133.1,184.7,146.2,135.7,659.3,135.0,689.4,722.0,774.8,241.9,232.5,221.1,120.5,179.6,125.2,719.0,504.8,686.5,113.1,750.1,674.0,147.4,698.7,737.0,70.4,741.5
EG,801.7,806.1,322.5,799.8,933.9,152.8,223.1,806.1,900.7,855.4,851.6,833.7,165.7,323.1,334.7,808.6,883.4,821.5,0.0,990.3,765.4,92.6,344.8,300.6,739.3,897.3,813.4,786.0,875.2,793.8,861.7,804.4,814.5,780.2,839.0,216.9,835.1,903.4,833.6,827.4,841.1,833.1,937.4,788.1,749.6,277.9,778.3,805.7,785.9,970.3,842.7,298.6,787.7,731.1,874.7,2015.9,769.7,790.7,183.2,240.5,821.8,802.9,200.6,883.2,176.5,739.3,174.8,222.1,956.5,149.4,809.0,778.2,284.5,255.8,173.3,734.0,911.6,285.9,892.1,856.1,222.0,924.4,243.2,764.6,872.6,745.1,862.8,76.9,179.9,786.9,795.4,891.9,826.5,213.3,792.1,304.6,231.7,888.0,762.9,811.7,890.6,362.2,800.7,129.4,233.2,199.6,922.4,819.8,779.3,825.4,934.5,810.9,271.5,412.5,197.1,868.0,162.1,220.6,813.1,294.9,287.5,775.3,88.6
EP,228.2,179.5,815.2,370.0,238.3,890.1,855.0,292.5,192.5,332.4,156.0,207.1,870.2,769.5,841.7,247.8,267.0,191.6,912.4,0.0,301.6,840.7,838.0,747.0,402.8,270.7,200.1,243.8,211.4,369.3,235.1,374.6,225.9,313.4,212.4,863.8,351.8,195.2,179.0,397.6,224.7,289.7,241.8,289.3,231.0,798.4,251.6,301.9,385.8,274.7,295.9,830.7,428.5,394.6,244.3,1738.3,340.8,274.5,920.5,790.6,285.4,247.3,937.9,360.2,981.7,373.3,874.1,935.3,25.2,856.1,204.8,314.4,816.6,870.8,910.6,363.4,216.0,858.6,183.9,192.3,900.8,228.8,822.2,265.3,88.2,320.6,154.6,882.1,917.2,243.0,206.8,73.7,279.7,926.5,288.3,836.7,878.6,231.6,334.0,295.5,195.0,808.6,284.3,838.7,871.3,924.1,399.4,390.0,370.4,269.8,276.2,274.5,868.3,654.1,835.8,159.8,899.4,823.3,296.7,831.4,886.3,219.7,890.8
EW,171.7,150.7,603.6,237.6,278.5,678.5,643.4,176.1,245.3,200.0,196.2,178.3,658.6,557.9,630.1,158.2,238.2,161.8,700.8,334.9,0.0,629.1,626.4,535.4,161.7,241.9,163.0,144.0,219.8,163.8,206.3,242.2,159.1,181.0,183.6,652.2,205.1,248.0,149.2,265.2,195.9,203.1,282.0,156.9,98.6,586.8,148.3,175.7,180.3,314.9,212.7,619.1,296.1,153.5,219.3,1605.9,139.7,137.4,708.9,579.0,185.6,147.5,726.3,227.8,770.1,161.7,662.5,723.7,301.1,644.5,158.6,12.7,605.0,659.2,699.0,156.4,256.2,647.0,236.7,200.7,689.2,269.0,610.6,134.6,217.2,115.1,207.4,670.5,705.6,156.9,140.0,236.5,196.5,714.9,162.1,625.1,667.0,232.6,132.9,118.2,235.2,597.0,170.7,627.1,659.7,712.5,267.0,257.6,164.9,170.0,279.1,174.7,656.7,442.5,624.2,212.6,687.8,611.7,183.1,619.8,674.7,119.9,679.2
FE,766.1,684.2,286.9,644.1,812.0,117.2,187.5,770.5,778.8,615.1,729.7,711.8,73.0,287.5,242.0,652.9,771.7,665.8,71.6,868.4,729.8,0.0,309.2,265.0,703.7,775.4,657.7,677.5,753.3,758.2,739.8,648.7,692.6,624.5,717.1,181.3,799.5,781.5,677.9,671.7,729.4,797.5,815.5,632.4,593.9,242.3,742.7,770.1,750.3,848.4,807.1,205.9,632.0,695.5,752.8,1860.2,734.1,635.0,147.6,147.8,719.1,681.0,165.0,642.9,140.9,703.7,82.1,129.4,834.6,113.8,653.3,742.6,191.8,220.2,137.7,698.4,789.7,250.3,770.2,734.2,129.3,802.5,150.5,729.0,750.7,709.5,740.9,41.3,144.3,751.3,673.5,770.0,790.9,120.6,756.5,211.9,196.1,766.1,727.3,656.0,768.7,326.6,765.1,93.8,140.5,106.9,682.1,664.1,743.7,703.5,812.6,708.2,235.9,376.9,161.5,746.1,126.5,127.9,777.5,227.5,251.9,653.4,50.0
FG,673.8,678.2,61.7,671.9,806.0,305.8,155.0,678.2,772.8,727.5,723.7,705.8,397.0,211.4,350.5,680.7,755.5,693.6,388.5,862.4,637.5,367.5,0.0,188.9,611.4,769.4,685.5,658.1,747.3,665.9,733.8,676.5,686.6,652.3,711.1,224.5,707.2,775.5,705.7,699.5,713.2,705.2,809.5,660.2,621.7,98.4,650.4,677.8,658.0,842.4,714.8,259.7,659.8,603.2,746.8,1888.0,641.8,662.8,336.2,248.2,693.9,675.0,353.6,755.3,422.6,611.4,400.9,462.1,828.6,271.8,681.1,650.3,301.7,216.7,326.3,606.1,783.7,207.1,764.2,728.2,371.1,796.5,349.0,636.7,744.7,617.2,734.9,343.4,332.9,659.0,667.5,764.0,698.6,453.3,664.2,264.4,209.7,760.1,635.0,683.8,762.7,250.5,672.8,254.4,398.1,450.9,794.5,691.9,651.4,697.5,806.6,683.0,231.5,253.6,251.5,740.1,315.1,350.1,685.2,233.5,226.1,647.4,349.9
FI,602.5,606.9,202.3,600.6,734.7,203.7,160.0,606.9,701.5,656.2,652.4,634.5,324.9,22.4,393.1,609.4,684.2,622.3,286.4,791.1,566.2,251.8,151.0,0.0,540.1,698.1,614.2,586.8,676.0,594.6,662.5,605.2,615.3,581.0,639.8,177.4,635.9,704.2,634.4,628.2,641.9,633.9,738.2,588.9,550.4,189.5,579.1,606.5,586.7,771.1,643.5,247.0,588.5,531.9,675.5,1816.7,570.5,591.5,234.1,274.5,622.6,603.7,251.5,684.0,320.5,540.1,334.0,381.3,757.3,169.7,609.8,579.0,288.7,203.7,224.2,534.8,712.4,211.5,692.9,656.9,269.0,725.2,391.6,565.4,673.4,545.9,663.6,241.3,230.8,587.7,596.2,692.7,627.3,372.5,592.9,268.3,192.2,688.8,563.7,612.5,691.4,61.5,601.5,152.3,392.4,341.1,723.2,620.6,580.1,626.2,735.3,611.7,218.5,206.9,149.4,668.8,213.0,392.7,613.9,220.5,213.1,576.1,247.8
FP,189.8,194.2,589.3,281.1,322.0,664.2,629.1,194.2,288.8,243.5,239.7,221.8,644.3,543.6,615.8,201.7,271.5,205.3,686.5,378.4,153.5,614.8,612.1,521.1,0.0,285.4,206.5,174.1,263.3,135.3,249.8,285.7,202.6,224.5,227.1,637.9,223.2,291.5,192.7,308.7,229.2,221.2,325.5,200.4,142.1,572.5,166.4,193.8,101.2,358.4,230.8,604.8,339.6,8.1,262.8,1649.4,157.8,185.6,694.6,564.7,209.9,191.0,712.0,271.3,755.8,119.4,648.2,709.4,344.6,630.2,202.1,166.3,590.7,644.9,684.7,49.3,299.7,632.7,280.2,244.2,674.9,312.5,596.3,152.7,260.7,102.5,250.9,656.2,691.3,175.0,183.5,280.0,214.6,700.6,180.2,610.8,652.7,276.1,151.0,176.3,278.7,582.7,188.8,612.8,645.4,698.2,310.5,301.1,94.6,213.5,322.6,199.0,642.4,428.2,609.9,256.1,673.5,597.4,201.2,605.5,660.4,163.4,664.9
GA,88.0,62.2,737.8,292.6,209.9,812.7,777.6,202.7,138.8,255.0,127.6,71.7,792.8,692.1,764.3,170.4,126.8,114.2,835.0,266.3,224.2,763.3,760.6,669.6,271.9,0.0,122.7,166.4,151.2,238.4,99.7,297.2,148.5,236.0,50.5,786.4,211.6,179.4,101.6,320.2,84.5,149.5,213.4,211.9,153.6,721.0,111.4,161.7,254.9,246.3,155.7,753.3,351.1,263.7,86.2,1660.9,209.9,197.1,843.1,713.2,208.0,169.9,860.5,282.8,904.3,295.9,796.7,857.9,232.5,778.7,127.4,237.0,739.2,793.4,833.2,232.5,187.6,781.2,168.1,132.1,823.4,200.4,744.8,125.1,148.6,189.7,138.8,804.7,839.8,102.8,129.4,167.9,139.5,849.1,148.1,759.3,801.2,99.5,203.1,218.1,166.6,731.2,197.3,761.3,793.9,846.7,322.0,312.6,239.5,192.4,146.0,197.1,790.9,576.7,758.4,144.0,822.0,745.9,209.7,754.0,808.9,142.3,813.4
