from_stop,AD,AE,AH,BB,BC,BD,BH,BK,BQ,BV,CA,CF,CL,CR,DI,DL,DP,DU,DV,EL,EQ,FA,FJ,FN,FP,FU,FX,GP,GQ,GS,GU,HH,IB,IJ,IM,IQ,IR,IY,JH,JM,JO,JQ,JT,JV,JZ,KH,KP,KV,KX,KY,LC,LD,LF,LK,LW,ME,MW,MY,ND,NM,NN,NU,NW,NY,OB,OQ,PF,PG,PH,PM,PN,PZ,QA,QB,QK,QV,RB,RH,RW,SE,SG,SK,SM,SN,ST,SV,TB,TE,TG,TN,TO,UC,UD,UF,UN,UW,VC,VK,VT,VV,WQ,WR,WT,WV,WY,XC,XF,XI,XR,XV,XY,YC,YD,YE,YG,YY,ZF,ZO,ZY
DU,806.8,287.2,829.4,451.8,510.4,273.5,844.1,662.0,534.0,841.4,492.1,860.2,715.6,412.7,163.5,715.3,193.9,0.0,799.2,677.1,678.6,253.1,660.8,755.7,222.6,592.8,637.4,356.7,169.1,70.9,466.1,723.6,592.9,457.5,368.2,151.7,302.0,836.3,246.6,695.5,755.6,512.3,208.4,399.4,913.5,164.3,259.6,821.5,186.5,853.4,122.7,167.8,827.3,90.0,614.6,111.6,819.1,548.1,714.1,188.0,101.9,504.0,517.0,480.8,736.8,797.8,670.1,868.6,440.6,668.2,419.0,481.7,252.1,489.1,214.8,616.6,539.5,94.1,457.8,740.8,318.9,420.4,606.6,221.5,723.7,437.8,397.1,245.0,653.6,543.1,676.4,410.2,434.7,387.0,121.6,836.5,359.5,192.7,788.3,831.5,457.5,775.8,572.6,343.5,690.1,754.7,323.3,509.6,822.0,2178.4,641.3,242.7,791.9,159.1,453.7,732.6,68.5,152.1,860.4
DV,7.5,484.4,243.9,501.8,399.5,910.6,94.7,551.1,584.0,201.5,542.1,220.3,604.7,358.2,624.1,604.4,593.7,805.5,0.0,195.7,567.7,890.2,353.3,644.8,859.7,481.9,416.7,450.5,618.5,779.3,651.5,612.7,285.4,817.3,462.0,765.9,939.1,196.4,531.0,110.0,644.7,562.3,619.9,753.7,802.6,707.4,896.7,181.6,805.7,213.5,665.8,667.3,77.9,798.4,207.4,782.5,708.2,327.4,603.2,599.6,676.7,554.0,258.8,671.7,73.7,157.9,559.2,228.7,490.6,233.0,351.8,293.9,889.2,663.4,626.3,505.7,281.7,685.3,507.8,629.9,956.0,732.7,495.7,697.0,612.8,623.2,627.5,882.1,703.6,593.1,565.5,742.9,794.5,766.1,772.5,196.6,793.0,829.8,85.1,191.6,817.3,69.1,305.1,573.9,579.2,643.8,448.6,804.0,182.1,1709.0,383.5,674.0,152.0,745.2,349.6,621.7,720.2,752.1,749.5
EL,237.9,376.9,260.5,394.3,292.0,803.1,275.2,443.6,476.5,272.5,434.6,291.3,497.2,250.7,516.6,496.9,486.2,698.0,230.3,0.0,460.2,782.7,245.8,537.3,752.2,374.4,309.2,343.0,511.0,671.8,544.0,505.2,177.9,709.8,354.5,658.4,831.6,267.4,423.5,126.6,537.2,454.8,512.4,646.2,695.1,599.9,789.2,252.6,698.2,284.5,558.3,559.8,258.4,690.9,99.9,675.0,600.7,219.9,495.7,492.1,569.2,446.5,151.3,564.2,167.9,228.9,451.7,299.7,383.1,125.5,244.3,186.4,781.7,555.9,518.8,398.2,174.2,577.8,400.3,522.4,848.5,625.2,388.2,589.5,505.3,515.7,520.0,774.6,596.1,485.6,458.0,635.4,687.0,658.6,665.0,267.6,685.5,722.3,219.4,262.6,709.8,206.9,197.6,466.4,471.7,536.3,341.1,696.5,253.1,1780.0,276.0,566.5,223.0,637.7,242.1,514.2,612.7,644.6,642.0
EQ,618.1,426.6,640.7,444.0,279.1,852.8,655.4,109.7,526.2,652.7,484.3,671.5,36.9,300.4,566.3,91.4,535.9,747.7,610.5,488.4,0.0,832.4,472.1,524.4,801.9,149.9,448.7,392.7,560.7,721.5,593.7,492.3,404.2,759.5,404.2,708.1,881.3,647.6,473.2,506.8,524.3,504.5,562.1,695.9,289.6,649.6,838.9,632.8,747.9,664.7,608.0,609.5,638.6,740.6,425.9,724.7,195.2,359.4,482.8,541.8,618.9,496.2,328.3,613.9,548.1,609.1,438.8,679.9,432.8,479.5,294.0,293.0,831.4,605.6,568.5,173.7,350.8,627.5,450.0,509.5,898.2,674.9,185.3,639.2,492.4,565.4,569.7,824.3,645.8,535.3,445.1,685.1,736.7,708.3,714.7,647.8,735.2,772.0,599.6,642.8,759.5,587.1,383.9,516.1,458.8,523.4,390.8,746.2,633.3,2160.2,452.6,616.2,603.2,687.4,291.8,501.3,662.4,694.3,236.5
FA,936.0,416.4,958.6,581.0,639.6,106.4,973.3,791.2,673.6,972.3,621.3,989.4,844.8,541.9,292.7,844.5,323.1,262.0,928.4,806.3,807.8,0.0,790.0,884.9,30.4,722.0,766.6,485.9,298.3,193.5,595.3,852.8,722.1,413.4,497.4,150.2,48.8,965.5,375.8,824.7,884.8,641.5,289.2,355.3,1042.7,209.6,6.5,950.7,100.4,982.6,251.0,297.0,956.5,174.4,743.8,188.9,948.3,677.3,843.3,317.2,282.8,633.2,646.2,436.7,866.0,927.0,799.3,997.8,569.8,797.4,548.2,610.9,103.0,445.0,282.8,745.8,666.9,269.7,587.0,870.0,169.8,376.3,735.8,209.0,852.9,567.0,526.3,77.9,628.2,616.4,805.6,366.1,390.6,342.9,190.3,965.7,315.4,69.7,917.5,960.7,413.4,905.0,701.8,472.7,819.3,883.9,452.5,465.5,951.2,2307.6,770.5,230.2,921.1,171.1,582.9,857.0,253.4,164.1,989.6
FJ,398.0,363.1,420.6,380.5,278.2,789.3,435.3,429.8,473.1,434.3,420.8,451.4,483.4,236.9,502.8,483.1,472.4,684.2,390.4,268.3,446.4,768.9,0.0,523.5,738.4,360.6,295.4,329.2,497.2,658.0,530.2,491.4,120.5,696.0,340.7,644.6,817.8,427.5,409.7,286.7,523.4,441.0,498.6,632.4,681.3,586.1,775.4,412.7,684.4,444.6,544.5,546.0,418.5,677.1,205.8,661.2,586.9,206.1,481.9,478.3,555.4,432.7,137.5,550.4,328.0,389.0,437.9,459.8,369.3,259.4,230.5,172.6,767.9,542.1,505.0,384.4,160.4,564.0,386.5,508.6,834.7,611.4,374.4,575.7,491.5,501.9,506.2,760.8,582.3,471.8,444.2,621.6,673.2,644.8,651.2,427.7,671.7,708.5,379.5,422.7,696.0,367.0,183.8,452.6,457.9,522.5,327.3,682.7,413.2,1940.1,262.2,552.7,383.1,623.9,228.3,500.4,598.9,630.8,628.2
FN,681.2,489.7,703.8,507.1,262.8,915.9,718.5,513.8,589.3,715.8,547.4,734.6,567.4,363.5,629.4,567.1,599.0,810.8,673.6,551.5,530.4,895.5,535.2,0.0,865.0,444.6,511.8,455.8,623.8,784.6,656.8,532.8,467.3,822.6,467.3,771.2,944.4,710.7,536.3,569.9,84.2,567.6,625.2,759.0,765.3,712.7,902.0,695.9,811.0,727.8,671.1,672.6,701.7,803.7,489.0,787.8,670.9,422.5,523.3,604.9,682.0,559.3,391.4,677.0,611.2,672.2,85.9,743.0,495.9,542.6,357.1,356.1,894.5,668.7,631.6,468.4,413.9,690.6,513.1,204.5,961.3,738.0,458.4,702.3,187.4,628.5,632.8,887.4,708.9,598.4,216.3,748.2,799.8,771.4,777.8,710.9,798.3,835.1,662.7,705.9,822.6,650.2,447.0,579.2,65.0,50.1,453.9,809.3,696.4,2139.9,515.7,679.3,666.3,750.5,354.9,190.3,725.5,757.4,712.2
FP,905.5,385.9,928.1,550.5,609.1,75.9,942.8,760.7,632.7,940.1,590.8,958.9,814.3,511.4,262.2,814.0,292.6,231.5,897.9,775.8,777.3,30.4,759.5,854.4,0.0,691.5,736.1,455.4,267.8,163.0,564.8,822.3,691.6,382.9,466.9,119.7,79.3,935.0,345.3,794.2,854.3,611.0,258.7,324.8,1012.2,179.1,36.9,920.2,69.9,952.1,220.5,266.5,926.0,143.9,713.3,158.4,917.8,646.8,812.8,286.7,252.3,602.7,615.7,406.2,835.5,896.5,768.8,967.3,539.3,766.9,517.7,580.4,72.5,414.5,252.3,715.3,638.2,248.5,556.5,839.5,139.3,345.8,705.3,178.5,822.4,536.5,495.8,47.4,597.7,585.9,775.1,335.6,360.1,312.4,159.8,935.2,284.9,39.2,887.0,930.2,382.9,874.5,671.3,442.2,788.8,853.4,422.0,435.0,920.7,2277.1,740.0,199.7,890.6,140.6,552.4,831.3,222.9,133.6,959.1
FU,535.0,343.5,557.6,360.9,196.0,769.7,572.3,116.0,443.1,569.6,401.2,588.4,169.6,217.3,483.2,169.3,452.8,664.6,527.4,405.3,132.6,749.3,389.0,441.3,718.8,0.0,365.6,309.6,477.6,638.4,510.6,409.2,321.1,676.4,321.1,625.0,798.2,564.5,390.1,423.7,441.2,421.4,479.0,612.8,367.5,566.5,755.8,549.7,664.8,581.6,524.9,526.4,555.5,657.5,342.8,641.6,273.1,276.3,399.7,458.7,535.8,413.1,245.2,530.8,465.0,526.0,355.7,596.8,349.7,396.4,210.9,209.9,748.3,522.5,485.4,23.8,267.7,544.4,366.9,426.4,815.1,591.8,102.2,556.1,409.3,482.3,486.6,741.2,562.7,452.2,362.0,602.0,653.6,625.2,631.6,564.7,652.1,688.9,516.5,559.7,676.4,504.0,300.8,433.0,375.7,440.3,307.7,663.1,550.2,2077.1,369.5,533.1,520.1,604.3,208.7,418.2,579.3,611.2,314.4
FX,464.0,342.3,486.6,359.7,257.4,768.5,501.3,409.0,441.9,498.6,400.0,517.4,462.6,216.1,482.0,462.3,451.6,663.4,456.4,334.3,425.6,748.1,318.0,502.7,717.6,339.8,0.0,308.4,476.4,637.2,509.4,470.6,250.1,675.2,319.9,623.8,797.0,493.5,388.9,352.7,502.6,420.2,477.8,611.6,660.5,565.3,754.6,478.7,663.6,510.6,523.7,525.2,484.5,656.3,271.8,640.4,566.1,138.0,461.1,457.5,534.6,411.9,174.2,529.6,394.0,455.0,417.1,525.8,348.5,325.4,209.7,151.8,747.1,521.3,484.2,363.6,196.7,543.2,365.7,487.8,813.9,590.6,353.6,554.9,470.7,481.1,485.4,740.0,561.5,451.0,423.4,600.8,652.4,624.0,630.4,493.7,650.9,687.7,445.5,488.7,675.2,433.0,229.8,431.8,437.1,501.7,306.5,661.9,479.2,2006.1,298.5,531.9,449.1,603.1,207.5,479.6,578.1,610.0,607.4
