from_stop,AI,AJ,AP,AS,AT,AV,AX,BA,BB,BH,BM,BS,CB,CF,CG,CK,CO,CP,CZ,DA,DL,DM,DS,DX,EA,EB,EC,ED,EE,EJ,ER,ET,EY,FB,FE,FI,FP,FQ,FY,GC,GE,GH,GJ,GL,GS,GU,GW,GY,HK,HM,HS,HT,IK,IN,IO,IS,IT,IX,IY,IZ,JA,JL,JR,JS,JU,KL,KM,KQ,KY,LD,LF,LL,LT,LV,LW,MK,MS,MT,MX,NA,ND,NJ,NK,NM,NW,OA,OE,OG,OI,OL,OQ,OW,PA,PD,PE,PF,PN,PO,PY,PZ,QI,QO,QU,QV,QY,QZ,RC,RF,RI,RL,SF,SH,SM,SN,SP,SU,SY,TF,TH,TN,TS,TZ,UH,UM,UO,UV,UW,VA,VC,VD,VG,VJ,VO,VR,VW,VX,VZ,WA,WR,WS,XF,XQ,XW,XX,YI,YJ,YO,YQ,YW,YX,ZE,ZH,ZI,ZO,ZQ,ZR,ZS,ZW,ZX
BM,657.4,894.5,328.5,840.3,523.1,70.2,795.7,920.3,2731.1,735.5,0.0,85.6,798.5,969.0,915.5,311.6,880.4,208.9,308.4,284.1,885.3,224.5,318.6,505.8,802.4,279.1,213.1,399.3,438.2,238.0,372.4,227.7,857.4,814.0,766.6,287.9,233.6,316.3,769.2,509.5,202.6,559.5,676.2,333.7,927.5,988.1,449.5,813.9,516.4,231.2,276.9,949.0,444.6,262.7,811.6,486.7,251.9,566.5,927.3,460.0,407.2,541.1,964.9,219.1,930.0,933.1,458.2,936.1,258.8,870.2,759.7,835.8,309.5,992.3,297.7,538.9,211.5,339.6,903.5,368.9,782.6,917.5,499.3,188.7,322.2,926.3,199.0,251.0,774.3,702.5,390.3,451.7,244.9,208.3,151.5,679.9,472.3,914.6,210.3,804.0,774.3,245.9,799.4,176.6,256.2,506.3,795.6,406.7,907.0,996.9,335.4,88.2,244.9,747.1,377.9,337.3,977.4,365.6,223.1,345.7,341.5,948.9,870.4,737.8,300.2,183.6,518.0,682.0,293.0,782.3,102.8,378.7,941.1,944.2,983.5,774.7,427.4,614.7,297.4,235.4,205.9,972.0,778.9,428.1,711.1,860.0,741.1,446.6,467.0,387.9,541.6,569.0,538.0,151.5,775.7,812.1,897.8,753.5,269.7
BS,571.7,808.8,242.8,754.6,437.4,62.2,710.0,834.6,2645.4,649.8,75.6,0.0,712.8,883.3,829.8,225.9,794.7,123.2,222.7,198.4,799.6,138.8,232.9,420.1,716.7,193.4,127.4,313.6,352.5,152.3,286.7,142.0,771.7,728.3,680.9,202.2,147.9,230.6,683.5,423.8,116.9,473.8,590.5,248.0,841.8,902.4,363.8,728.2,430.7,145.5,191.2,863.3,358.9,177.0,725.9,401.0,166.2,480.8,841.6,374.3,321.5,455.4,879.2,133.4,844.3,847.4,372.5,850.4,173.1,784.5,674.0,750.1,223.8,906.6,212.0,453.2,125.8,253.9,817.8,283.2,696.9,831.8,413.6,103.0,236.5,840.6,113.3,165.3,688.6,616.8,304.6,366.0,159.2,122.6,65.8,594.2,386.6,828.9,124.6,718.3,688.6,160.2,713.7,90.9,170.5,420.6,709.9,321.0,821.3,911.2,249.7,50.0,159.2,661.4,292.2,251.6,891.7,279.9,137.4,260.0,255.8,863.2,784.7,652.1,214.5,97.9,432.3,596.3,207.3,696.6,33.6,293.0,855.4,858.5,897.8,689.0,341.7,529.0,211.7,149.7,120.2,886.3,693.2,342.4,625.4,774.3,655.4,360.9,381.3,302.2,455.9,483.3,452.3,65.8,690.0,726.4,812.1,667.8,184.0
CB,892.1,487.1,746.4,432.9,523.4,793.9,135.7,512.9,2351.5,82.8,807.3,731.6,0.0,561.6,508.1,729.5,473.0,724.1,684.0,628.0,477.9,739.7,667.4,556.2,3.9,776.6,728.3,481.1,442.2,717.4,558.9,644.1,450.0,278.6,359.2,891.2,748.8,818.9,361.8,559.9,717.8,681.8,268.8,841.3,520.1,580.7,571.8,406.5,638.7,746.4,603.5,541.6,679.3,777.9,404.2,721.4,568.2,310.3,519.9,582.3,547.5,775.8,557.5,734.3,522.6,524.5,712.9,528.7,621.6,462.8,120.6,300.4,912.8,584.9,552.4,338.8,726.7,680.6,496.1,558.8,25.8,510.1,621.6,758.8,556.9,518.9,714.2,814.1,366.9,295.1,537.4,517.0,752.6,721.8,717.8,325.5,522.7,507.2,666.7,128.7,135.2,663.8,158.7,775.3,859.5,506.6,388.2,567.5,499.6,589.5,676.4,781.7,635.5,139.3,632.6,678.3,570.0,968.9,821.8,584.3,551.8,541.5,463.0,182.4,815.4,725.6,640.3,116.3,795.6,374.9,765.3,633.4,533.7,536.8,576.1,374.1,682.1,377.3,632.4,838.7,794.5,436.6,44.4,452.3,303.7,452.6,384.0,701.3,457.4,622.6,663.9,803.7,580.8,757.7,124.7,75.7,490.4,82.4,784.9
CF,1096.6,218.2,950.9,335.2,727.9,998.4,616.2,415.2,2197.6,556.0,1011.8,936.1,619.0,0.0,71.3,934.0,224.1,928.6,888.5,832.5,348.5,944.2,871.9,760.7,622.9,981.1,932.8,685.6,646.7,921.9,763.4,848.6,265.5,634.5,545.2,1095.7,953.3,1023.4,547.8,764.4,922.3,886.3,454.8,1045.8,354.7,415.3,776.3,192.1,843.2,950.9,808.0,357.1,883.8,982.4,219.7,925.9,772.7,514.8,335.4,786.8,752.0,980.3,373.0,938.8,239.1,234.8,917.4,363.3,826.1,193.9,580.2,656.3,1117.3,419.5,756.9,543.3,931.2,885.1,247.2,763.3,603.1,226.6,826.1,963.3,761.4,262.2,918.7,1018.6,293.1,481.1,741.9,721.5,957.1,928.0,922.3,527.3,727.2,216.3,871.2,624.5,594.8,868.3,619.9,979.8,1064.0,711.1,290.5,772.0,315.1,198.3,880.9,986.2,840.0,567.6,837.1,882.8,286.5,1173.4,1026.3,788.8,756.3,99.1,278.5,558.3,1019.9,930.1,844.8,502.5,1000.1,423.8,969.8,837.9,349.2,36.4,391.6,553.3,886.6,581.8,836.9,1043.2,999.0,792.5,599.4,656.8,489.7,203.7,588.5,905.8,671.8,827.1,868.4,1008.2,785.3,962.2,596.2,632.6,199.5,574.0,989.4
CG,1025.2,146.8,879.5,263.8,656.5,927.0,544.8,343.8,2126.2,484.6,940.4,864.7,547.6,53.4,0.0,862.6,152.7,857.2,817.1,761.1,277.1,872.8,800.5,689.3,551.5,909.7,861.4,614.2,575.3,850.5,692.0,777.2,194.1,563.1,473.8,1024.3,881.9,952.0,476.4,693.0,850.9,814.9,383.4,974.4,283.3,343.9,704.9,120.7,771.8,879.5,736.6,285.7,812.4,911.0,148.3,854.5,701.3,443.4,264.0,715.4,680.6,908.9,301.6,867.4,167.7,163.4,846.0,291.9,754.7,122.5,508.8,584.9,1045.9,348.1,685.5,471.9,859.8,813.7,175.8,691.9,531.7,155.2,754.7,891.9,690.0,190.8,847.3,947.2,221.7,409.7,670.5,650.1,885.7,856.6,850.9,455.9,655.8,144.9,799.8,553.1,523.4,796.9,548.5,908.4,992.6,639.7,219.1,700.6,243.7,126.9,809.5,914.8,768.6,496.2,765.7,811.4,215.1,1102.0,954.9,717.4,684.9,62.1,207.1,486.9,948.5,858.7,773.4,431.1,928.7,352.4,898.4,766.5,277.8,28.6,320.2,481.9,815.2,510.4,765.5,971.8,927.6,721.1,528.0,585.4,418.3,132.3,517.1,834.4,600.4,755.7,797.0,936.8,713.9,890.8,524.8,561.2,128.1,502.6,918.0
CK,685.6,774.1,16.9,719.9,349.0,274.0,675.3,799.9,2650.1,615.1,287.4,211.7,678.1,848.6,795.1,0.0,760.0,237.1,336.6,110.0,764.9,252.7,346.8,331.7,682.0,307.6,241.3,225.2,264.1,145.4,400.6,255.9,737.0,693.6,646.2,319.2,261.8,349.9,648.8,335.4,230.8,385.4,555.8,372.3,807.1,867.7,275.4,693.5,342.3,259.4,102.8,828.6,472.8,290.9,691.2,514.9,280.1,393.3,806.9,285.9,233.1,569.3,844.5,247.3,809.6,811.5,486.4,815.7,84.7,749.8,639.3,715.4,340.8,871.9,325.9,364.8,239.7,372.7,783.1,194.8,662.2,797.1,325.2,186.8,350.4,805.9,227.2,329.8,653.9,582.1,216.2,277.6,180.6,234.8,145.8,562.2,298.2,794.2,238.5,683.6,653.9,52.5,679.0,255.4,287.5,332.2,675.2,232.6,786.6,876.5,363.6,261.8,70.8,626.7,406.1,365.5,857.0,396.9,301.9,171.6,369.7,828.5,750.0,617.4,328.4,153.6,343.9,561.6,326.6,661.9,245.4,406.9,820.7,825.0,863.1,661.1,455.6,440.6,123.3,266.7,222.5,851.6,658.5,254.0,590.7,739.6,620.7,474.8,283.0,416.1,367.5,597.2,363.9,185.7,655.3,691.7,777.4,633.1,297.9
CO,973.4,71.2,827.7,294.3,604.7,875.2,493.0,374.3,2068.6,432.8,888.6,812.9,495.8,197.6,144.1,810.8,0.0,805.4,765.3,709.3,307.6,821.0,748.7,637.5,499.7,857.9,809.6,562.4,523.5,798.7,640.2,725.4,224.6,511.3,422.0,972.5,830.1,900.2,424.6,641.2,799.1,763.1,331.6,922.6,313.8,374.4,653.1,151.2,720.0,827.7,684.8,316.2,760.6,859.2,178.8,802.7,649.5,391.6,294.5,663.6,628.8,857.1,332.1,815.6,72.2,101.7,794.2,322.4,702.9,46.9,457.0,533.1,994.1,378.6,633.7,420.1,808.0,761.9,23.0,640.1,479.9,59.7,702.9,840.1,638.2,63.0,795.5,895.4,252.2,357.9,618.7,598.3,833.9,804.8,799.1,404.1,604.0,83.2,748.0,501.3,471.6,745.1,496.7,856.6,940.8,587.9,249.6,648.8,274.2,225.5,757.7,863.0,716.8,444.4,713.9,759.6,119.6,1050.2,903.1,665.6,633.1,177.5,237.6,435.1,896.7,806.9,721.6,379.3,876.9,300.6,846.6,714.7,308.3,172.8,350.7,430.1,763.4,458.6,713.7,920.0,875.8,669.3,476.2,533.6,366.5,23.3,465.3,782.6,548.6,703.9,745.2,885.0,662.1,839.0,473.0,509.4,54.5,450.8,866.2
CP,587.1,824.2,291.1,770.0,485.7,188.4,725.4,850.0,2660.8,665.2,201.8,126.1,728.2,898.7,845.2,274.2,810.1,0.0,238.1,246.7,815.0,58.0,248.3,468.4,732.1,186.7,88.2,361.9,400.8,200.6,302.1,157.4,787.1,743.7,696.3,281.1,75.0,229.0,698.9,472.1,84.3,522.1,605.9,251.4,857.2,917.8,412.1,743.6,479.0,79.1,239.5,878.7,374.3,110.6,741.3,416.4,181.6,496.2,857.0,422.6,369.8,470.8,894.6,100.8,859.7,862.8,387.9,865.8,221.4,799.9,689.4,765.5,302.7,922.0,227.4,501.5,93.2,269.3,833.2,331.5,712.3,847.2,461.9,181.9,251.9,856.0,46.9,224.2,704.0,632.2,352.9,414.3,216.0,41.8,114.1,609.6,434.9,844.3,140.0,733.7,704.0,208.5,729.1,169.8,249.4,468.9,725.3,369.3,836.7,926.6,265.1,176.2,207.5,676.8,307.6,267.0,907.1,358.8,216.3,308.3,271.2,878.6,800.1,667.5,133.7,176.8,480.6,611.7,205.7,712.0,159.8,308.4,870.8,873.9,913.2,704.4,357.1,577.3,260.0,228.6,199.1,901.7,708.6,390.7,640.8,789.7,670.8,376.3,429.6,317.6,504.2,498.7,500.6,144.7,705.4,741.8,827.5,683.2,62.5
CZ,533.2,770.3,376.8,716.1,571.4,274.1,671.5,796.1,2606.9,611.3,287.5,211.8,674.3,844.8,791.3,359.9,756.2,204.3,0.0,332.4,761.1,219.9,194.4,554.1,678.2,256.8,208.5,447.6,486.5,286.3,248.2,124.3,733.2,689.8,642.4,366.8,229.0,299.1,645.0,557.8,198.0,607.8,552.0,321.5,803.3,863.9,497.8,689.7,564.7,226.6,325.2,824.8,320.4,258.1,687.4,362.5,127.7,442.3,803.1,508.3,455.5,416.9,840.7,214.5,805.8,808.9,334.0,811.9,307.1,746.0,635.5,711.6,388.4,868.1,173.5,470.8,206.9,215.4,779.3,417.2,658.4,793.3,547.6,267.6,198.0,802.1,194.4,294.3,650.1,578.3,438.6,500.0,301.7,203.7,199.8,555.7,520.6,790.4,146.9,679.8,650.1,294.2,675.2,255.5,335.1,554.6,671.4,455.0,782.8,872.7,211.2,261.9,293.2,622.9,253.7,213.1,853.2,444.5,302.0,394.0,217.3,824.7,746.2,613.6,295.6,262.5,566.3,557.8,275.8,658.1,245.5,254.5,816.9,820.0,859.3,650.5,303.2,509.3,345.7,314.3,284.8,847.8,654.7,476.4,586.9,735.8,616.9,322.4,515.3,263.7,589.9,444.8,586.3,230.4,651.5,687.9,773.6,629.3,265.1
DA,671.2,685.7,160.0,631.5,260.6,259.6,586.9,711.5,2561.7,526.7,273.0,197.3,589.7,760.2,706.7,143.1,671.6,222.7,322.2,0.0,676.5,238.3,332.4,221.6,593.6,293.2,226.9,136.8,175.7,131.0,386.2,241.5,648.6,605.2,557.8,304.8,247.4,335.5,560.4,225.3,216.4,275.3,467.4,357.9,718.7,779.3,165.3,605.1,232.2,245.0,14.4,740.2,458.4,276.5,602.8,500.5,265.7,304.9,718.5,175.8,123.0,554.9,756.1,232.9,721.2,723.1,472.0,727.3,35.2,661.4,550.9,627.0,326.4,783.5,311.5,276.4,225.3,353.4,694.7,84.7,573.8,708.7,215.1,172.4,336.0,717.5,212.8,315.4,565.5,493.7,106.1,167.5,166.2,220.4,131.4,473.8,188.1,705.8,224.1,595.2,565.5,77.4,590.6,241.0,273.1,243.8,586.8,122.5,698.2,788.1,349.2,247.4,49.1,538.3,391.7,351.1,768.6,382.5,287.5,57.5,355.3,740.1,661.6,529.0,314.0,139.2,233.8,473.2,312.2,573.5,231.0,392.5,732.3,736.6,774.7,572.7,441.2,352.2,13.3,252.3,208.1,763.2,570.1,165.6,502.3,651.2,532.3,460.4,194.6,401.7,257.4,582.8,253.8,171.3,566.9,603.3,689.0,544.7,283.5
DL,968.8,315.8,823.1,35.6,600.1,870.6,488.4,88.2,2228.8,428.2,884.0,808.3,491.2,316.1,262.6,806.2,350.3,800.8,760.7,704.7,0.0,816.4,744.1,632.9,495.1,853.3,805.0,557.8,518.9,794.1,635.6,720.8,95.3,506.7,417.4,967.9,825.5,895.6,420.0,636.6,794.5,758.5,327.0,918.0,42.1,102.7,648.5,161.0,715.4,823.1,680.2,93.5,756.0,854.6,146.5,798.1,644.9,387.0,71.8,659.0,624.2,852.5,109.4,811.0,399.9,401.8,789.6,50.7,698.3,291.5,452.4,528.5,989.5,106.9,629.1,415.5,803.4,762.2,373.4,635.5,475.3,387.4,698.3,835.5,633.6,396.2,790.9,890.8,165.3,353.3,614.1,593.7,829.3,800.2,794.5,402.2,600.9,384.5,743.4,496.7,467.0,740.5,492.1,852.0,936.2,583.3,71.7,644.2,51.5,344.0,753.1,858.4,712.2,439.8,709.3,755.0,447.3,1045.6,898.5,664.8,628.5,296.0,159.5,430.5,892.1,802.3,717.0,374.7,872.3,296.0,842.0,710.1,56.6,291.3,128.0,432.3,758.8,452.5,709.1,915.4,871.2,664.7,471.6,529.0,361.9,329.9,460.7,778.0,534.1,699.3,740.6,880.4,657.5,834.4,468.4,504.8,367.7,446.2,861.6
DM,594.1,831.2,298.1,777.0,492.7,195.4,732.4,857.0,2667.8,672.2,208.8,133.1,735.2,905.7,852.2,281.2,817.1,69.4,245.1,253.7,822.0,0.0,255.3,475.4,739.1,128.6,101.8,368.9,407.8,207.6,309.1,164.4,794.1,750.7,703.3,288.1,122.3,170.9,705.9,479.1,91.3,529.1,612.9,193.3,864.2,924.8,419.1,750.6,486.0,86.1,246.5,885.7,381.3,97.7,748.3,423.4,188.6,503.2,864.0,429.6,376.8,477.8,901.6,107.8,866.7,869.8,394.9,872.8,228.4,806.9,696.4,772.5,309.7,929.0,234.4,508.5,100.2,276.3,840.2,338.5,719.3,854.2,468.9,188.9,258.9,863.0,53.9,166.1,711.0,639.2,359.9,421.3,223.0,17.2,121.1,616.6,441.9,851.3,147.0,740.7,711.0,215.5,736.1,176.8,256.4,475.9,732.3,376.3,843.7,933.6,272.1,183.2,214.5,683.8,314.6,274.0,914.1,365.8,194.1,315.3,278.2,885.6,807.1,674.5,75.6,183.8,487.6,618.7,147.6,719.0,166.8,315.4,877.8,880.9,920.2,711.4,364.1,584.3,267.0,235.6,206.1,908.7,715.6,397.7,647.8,796.7,677.8,383.3,436.6,324.6,511.2,505.7,507.6,151.7,712.4,748.8,834.5,690.2,132.0
DS,509.0,746.1,419.4,691.9,631.2,316.7,647.3,771.9,2582.7,587.1,330.1,254.4,650.1,820.6,767.1,402.5,732.0,246.9,206.8,375.0,736.9,262.5,0.0,596.7,654.0,299.4,251.1,490.2,550.0,328.9,224.0,166.9,709.0,665.6,618.2,409.4,271.6,341.7,620.8,600.4,240.6,650.4,527.8,364.1,779.1,839.7,540.4,665.5,607.3,269.2,367.8,800.6,296.2,300.7,663.2,338.3,103.5,418.1,778.9,550.9,498.1,392.7,816.5,257.1,781.6,784.7,309.8,787.7,349.7,721.8,611.3,687.4,431.0,843.9,149.3,446.6,249.5,203.4,755.1,459.8,634.2,769.1,590.2,310.2,173.8,777.9,237.0,336.9,625.9,554.1,481.2,542.6,344.3,246.3,242.4,531.5,563.2,766.2,189.5,655.6,625.9,336.8,651.0,298.1,377.7,614.4,647.2,497.6,758.6,848.5,199.2,304.5,335.8,598.7,229.5,201.1,829.0,487.1,344.6,436.6,193.1,800.5,722.0,589.4,338.2,305.1,608.9,533.6,318.4,633.9,288.1,230.3,792.7,795.8,835.1,626.3,279.0,485.1,388.3,356.9,327.4,823.6,630.5,519.0,562.7,711.6,592.7,298.2,575.1,239.5,632.5,420.6,628.9,273.0,627.3,663.7,749.4,605.1,307.7
DX,885.6,600.3,374.4,546.1,84.2,474.0,501.5,626.1,2476.3,441.3,487.4,411.7,504.3,674.8,621.3,357.5,586.2,437.1,536.6,215.7,591.1,452.7,546.8,0.0,508.2,507.6,441.3,109.1,90.3,345.4,540.9,455.9,563.2,519.8,472.4,519.2,461.8,549.9,475.0,3.7,430.8,269.8,382.0,572.3,633.3,693.9,159.8,519.7,226.7,459.4,230.2,654.8,672.8,490.9,517.4,714.9,480.1,219.5,633.1,153.1,92.5,769.3,670.7,447.3,635.8,637.7,686.4,641.9,249.6,576.0,465.5,541.6,540.8,698.1,525.9,191.0,439.7,572.7,609.3,128.8,488.4,623.3,209.6,386.8,550.4,632.1,427.2,529.8,480.1,408.3,107.4,50.2,380.6,434.8,345.8,388.4,28.3,620.4,438.5,509.8,480.1,291.8,505.2,455.4,487.5,98.8,501.4,137.5,612.8,702.7,563.6,461.8,263.5,452.9,606.1,565.5,683.2,596.9,501.9,154.3,533.8,654.7,576.2,443.6,528.4,353.6,228.3,387.8,526.6,488.1,445.4,606.9,646.9,650.0,689.3,480.5,655.6,265.3,202.4,466.7,422.5,677.8,484.7,80.2,416.9,565.8,446.9,674.8,109.2,616.1,251.9,797.2,32.1,385.7,481.5,517.9,603.6,459.3,497.9
EA,896.0,491.0,750.3,436.8,527.3,797.8,139.6,516.8,2355.4,86.7,811.2,735.5,3.9,565.5,512.0,733.4,476.9,728.0,687.9,631.9,481.8,743.6,671.3,560.1,0.0,780.5,732.2,485.0,446.1,721.3,562.8,648.0,453.9,282.5,363.1,895.1,752.7,822.8,365.7,563.8,721.7,685.7,272.7,845.2,524.0,584.6,575.7,410.4,642.6,750.3,607.4,545.5,683.2,781.8,408.1,725.3,572.1,314.2,523.8,586.2,551.4,779.7,561.4,738.2,526.5,529.6,716.8,532.6,625.5,466.7,124.5,304.3,916.7,588.8,556.3,342.7,730.6,684.5,500.0,562.7,29.7,514.0,625.5,762.7,560.8,522.8,718.1,818.0,370.8,299.0,541.3,520.9,756.5,727.4,721.7,326.7,526.6,511.1,670.6,132.6,139.1,667.7,162.6,779.2,863.4,510.5,392.1,571.4,503.5,593.4,680.3,785.6,639.4,143.2,636.5,682.2,573.9,972.8,825.7,588.2,555.7,545.4,466.9,186.3,819.3,729.5,644.2,120.2,799.5,378.8,769.2,637.3,537.6,540.7,580.0,371.2,686.0,381.2,636.3,842.6,798.4,440.5,48.3,456.2,307.6,456.5,387.9,705.2,471.2,626.5,667.8,807.6,584.7,761.6,128.6,79.6,494.3,78.5,788.8
EB,607.3,844.4,329.3,790.2,523.9,226.6,745.6,870.2,2681.0,685.4,240.0,164.3,748.4,918.9,865.4,312.4,830.3,176.8,258.3,284.9,835.2,122.6,268.5,506.6,752.3,0.0,181.0,400.1,439.0,238.8,322.3,177.6,807.3,763.9,716.5,259.2,201.5,42.2,719.1,510.3,170.5,560.3,626.1,64.6,877.4,938.0,450.3,763.8,517.2,179.0,277.7,898.9,394.5,182.0,761.5,436.6,201.8,516.4,877.2,460.8,408.0,491.0,914.8,187.0,879.9,881.8,408.1,886.0,259.6,820.1,709.6,785.7,280.8,942.2,247.6,539.7,179.4,289.5,853.4,369.7,732.5,867.4,500.1,215.9,272.1,876.2,166.9,37.4,724.2,652.4,391.1,452.5,220.2,139.8,152.3,632.5,473.1,864.5,160.2,753.9,724.2,246.7,749.3,112.0,227.5,507.1,745.5,407.5,856.9,946.8,285.3,214.4,245.7,697.0,327.8,287.2,927.3,336.9,65.4,346.5,291.4,898.8,820.3,687.7,159.9,210.8,518.8,631.9,18.9,732.2,198.0,328.6,891.9,894.1,933.4,731.4,377.3,581.9,298.2,206.7,177.2,921.9,728.8,428.9,661.0,809.9,691.0,396.5,457.9,337.8,542.4,518.9,538.8,178.7,725.6,762.0,847.7,703.4,237.6
EC,591.3,828.4,295.3,774.2,489.9,192.6,729.6,854.2,2665.0,669.4,206.0,130.3,732.4,902.9,849.4,278.4,814.3,74.8,242.3,250.9,819.2,90.4,252.5,472.6,736.3,193.3,0.0,366.1,405.0,204.8,306.3,161.6,791.3,747.9,700.5,285.3,20.4,235.6,703.1,476.3,10.4,526.3,610.1,258.0,861.4,922.0,416.3,747.8,483.2,97.1,243.7,882.9,378.5,128.6,745.5,420.6,185.8,500.4,861.2,426.8,374.0,475.0,898.8,42.4,863.9,867.0,392.1,870.0,225.6,804.1,693.6,769.7,306.9,926.2,231.6,505.7,34.8,273.5,837.4,335.7,716.5,851.4,466.1,186.1,256.1,860.2,64.9,230.8,708.2,636.4,357.1,418.5,220.2,74.2,118.3,613.8,439.1,848.5,144.2,737.9,708.2,212.7,733.3,174.0,253.6,473.1,729.5,373.5,840.9,930.8,269.3,180.4,211.7,681.0,311.8,271.2,911.3,363.0,220.5,312.5,275.4,882.8,804.3,671.7,166.1,181.0,484.8,615.9,212.3,716.2,164.0,312.6,875.0,878.1,917.4,708.6,361.3,581.5,264.2,232.8,203.3,905.9,712.8,394.9,645.0,793.9,675.0,380.5,433.8,321.8,508.4,502.9,504.8,148.9,709.6,746.0,831.7,687.4,56.5
ED,776.4,548.8,265.2,494.6,123.7,364.8,450.0,574.6,2424.8,389.8,378.2,302.5,452.8,623.3,569.8,248.3,534.7,327.9,427.4,146.8,539.6,343.5,437.6,112.7,456.7,398.4,332.1,0.0,38.8,236.2,491.4,346.7,511.7,468.3,420.9,410.0,352.6,440.7,423.5,116.4,321.6,200.6,330.5,463.1,581.8,642.4,90.6,468.2,157.5,350.2,122.3,603.3,563.6,381.7,465.9,605.7,370.9,168.0,581.6,101.1,66.3,660.1,619.2,338.1,584.3,586.2,577.2,590.4,140.4,524.5,414.0,490.1,431.6,646.6,416.7,139.5,330.5,458.6,557.8,77.6,436.9,571.8,140.4,277.6,441.2,580.6,318.0,420.6,428.6,356.8,56.2,73.5,271.4,325.6,236.6,336.9,80.7,568.9,329.3,458.3,428.6,182.6,453.7,346.2,378.3,106.9,449.9,86.3,561.3,651.2,454.4,352.6,154.3,401.4,496.9,456.3,631.7,487.7,392.7,106.9,460.5,603.2,524.7,392.1,419.2,244.4,159.1,336.3,417.4,436.6,336.2,497.7,595.4,598.5,637.8,435.8,546.4,213.8,151.2,357.5,313.3,626.3,433.2,28.7,365.4,514.3,395.4,565.6,57.7,506.9,182.7,688.0,144.9,276.5,430.0,466.4,552.1,407.8,388.7
EE,783.7,509.9,304.1,455.7,84.8,403.7,411.1,535.7,2385.9,350.9,417.1,341.4,413.9,584.4,530.9,287.2,495.8,366.8,466.3,185.7,500.7,382.4,476.5,113.9,417.8,437.3,371.0,38.8,0.0,275.1,450.5,385.6,472.8,429.4,382.0,448.9,391.5,479.6,384.6,117.6,360.5,239.5,291.6,502.0,542.9,603.5,129.5,429.3,196.4,389.1,161.2,564.4,570.9,420.6,427.0,613.0,409.8,129.1,542.7,140.0,105.2,667.4,580.3,377.0,545.4,547.3,616.1,551.5,179.3,485.6,375.1,451.2,470.5,607.7,455.6,100.6,369.4,497.5,518.9,116.5,398.0,532.9,179.3,316.5,448.5,541.7,356.9,459.5,389.7,317.9,95.1,74.7,310.3,364.5,275.5,298.0,80.4,530.0,368.2,419.4,389.7,221.5,414.8,385.1,417.2,68.0,411.0,125.2,522.4,612.3,493.3,391.5,193.2,362.5,535.8,495.2,592.8,526.6,431.6,145.8,443.4,564.3,485.8,353.2,458.1,283.3,198.0,297.4,456.3,397.7,375.1,536.6,556.5,560.8,598.9,396.9,585.3,176.4,190.1,396.4,352.2,587.4,394.3,10.1,326.5,475.4,356.5,604.5,18.8,514.2,221.6,695.3,142.2,315.4,391.1,427.5,513.2,368.9,427.6
EJ,626.2,776.2,156.5,722.0,351.1,214.6,677.4,802.0,2652.2,617.2,228.0,152.3,680.2,850.7,797.2,139.6,762.1,177.7,277.2,112.1,767.0,193.3,287.4,333.8,684.1,248.2,181.9,227.3,266.2,0.0,341.2,196.5,739.1,695.7,648.3,259.8,202.4,290.5,650.9,337.5,171.4,387.5,557.9,312.9,809.2,869.8,277.5,695.6,344.4,200.0,104.9,830.7,413.4,231.5,693.3,455.5,220.7,395.4,809.0,288.0,235.2,509.9,846.6,187.9,811.7,814.8,427.0,817.8,86.8,751.9,641.4,717.5,281.4,874.0,266.5,366.9,180.3,308.4,785.2,196.9,664.3,799.2,327.3,127.4,291.0,808.0,167.8,270.4,656.0,584.2,218.3,279.7,121.2,177.1,86.4,561.6,300.3,796.3,179.1,685.7,656.0,73.9,681.1,196.0,228.1,334.3,677.3,234.7,788.7,878.6,304.2,202.4,72.9,628.8,346.7,306.1,859.1,337.5,242.5,173.7,310.3,830.6,752.1,619.5,269.0,94.2,346.0,563.7,267.2,664.0,186.0,347.5,822.8,825.9,865.2,656.4,396.2,442.7,125.4,207.3,163.1,853.7,660.6,256.1,592.8,741.7,622.8,415.4,295.0,356.7,369.6,537.8,366.0,126.3,657.4,693.8,779.5,635.2,238.5
ER,434.0,642.9,438.5,588.7,528.0,335.8,544.1,668.7,2479.5,483.9,349.2,273.5,546.9,717.4,663.9,421.6,628.8,266.0,225.9,394.1,633.7,281.6,209.3,560.8,550.8,318.5,270.2,485.7,446.8,348.0,0.0,186.0,605.8,562.4,515.0,428.5,290.7,360.8,517.6,564.5,259.7,669.5,424.6,383.2,675.9,736.5,559.5,562.3,626.4,288.3,386.9,697.4,221.2,319.8,560.0,263.3,110.1,314.9,675.7,570.0,517.2,317.7,713.3,276.2,678.4,681.5,254.8,684.5,368.8,618.6,508.1,584.2,450.1,740.7,94.3,343.4,268.6,222.5,651.9,478.9,531.0,665.9,609.3,329.3,98.8,674.7,256.1,356.0,522.7,450.9,500.3,521.6,363.4,265.4,261.5,428.3,527.3,663.0,208.6,552.4,522.7,355.9,547.8,317.2,396.8,511.2,544.0,516.7,655.4,745.3,218.3,323.6,354.9,495.5,174.5,220.2,725.8,506.2,363.7,455.7,93.7,697.3,618.8,486.2,357.3,324.2,628.0,430.4,337.5,530.7,307.2,175.3,689.5,692.6,731.9,523.1,224.0,381.9,407.4,376.0,346.5,720.4,527.3,456.9,459.5,608.4,489.5,243.2,471.9,164.5,651.6,345.6,585.4,292.1,524.1,560.5,646.2,501.9,326.8
