from_stop,AC,AD,AF,AI,AM,BC,BH,BI,BJ,BP,BX,CC,CE,CO,CQ,CR,CU,CX,CY,DH,DN,DU,DX,EI,EQ,EW,EY,FA,FB,FI,FN,FZ,GA,GX,GY,HB,HE,HH,HM,HP,HV,IO,IW,IY,IZ,JB,JH,JL,JN,JU,KK,KL,KP,KT,KU,KZ,LB,LL,LN,LP,LV,MA,MD,MJ,MP,MZ,NG,NH,NI,NK,NM,NN,NQ,NU,NX,NZ,OD,OH,OU,PD,PL,PN,PO,PP,PQ,RA,RG,RR,RS,SE,SF,SK,SM,SN,SY,TD,TF,TL,TP,TT,TX,UG,UQ,VL,VQ,VZ,WE,WH,WJ,WK,WL,WM,WS,WV,WX,XA,XH,XK,XL,XO,XP,YC,YK,YL,YM,YO,YU,YV,YX,YY,ZA,ZD,ZV,ZW,ZX
CU,604.4,723.2,402.2,735.9,434.1,397.8,345.0,877.7,312.3,894.1,1889.0,907.8,261.5,257.9,370.5,159.9,0.0,420.9,849.2,563.4,1108.4,61.1,177.6,850.5,130.5,926.6,125.6,173.6,319.4,716.5,849.3,415.8,413.8,421.2,833.8,862.7,367.1,717.9,92.7,287.4,327.4,161.7,906.1,77.9,1047.8,877.9,174.3,142.0,346.0,329.9,101.2,1146.4,1069.1,228.8,131.1,874.5,431.0,483.3,844.7,155.9,845.3,179.9,450.6,382.3,747.8,865.2,179.1,90.3,717.5,95.6,581.4,882.5,899.5,441.1,691.6,1108.7,854.2,147.2,667.4,285.9,372.3,297.7,628.1,58.6,833.9,732.1,575.4,236.6,379.1,891.6,692.6,1140.9,492.7,34.9,223.7,317.1,862.0,923.1,803.9,823.3,1012.4,283.2,313.3,626.1,1083.7,575.3,163.9,216.0,290.6,453.6,162.7,163.0,457.7,615.1,238.0,74.2,366.4,930.6,853.6,289.6,726.4,447.5,754.1,335.7,731.9,592.7,993.9,351.6,338.2,821.4,583.9,593.1,149.1,101.1,242.2
CX,260.3,979.9,107.6,992.6,250.5,257.6,155.9,1134.4,440.3,1150.8,2183.7,1164.5,389.5,385.9,44.7,437.5,420.0,0.0,1105.9,219.3,1365.1,442.4,546.3,1107.2,348.5,1183.3,353.4,430.3,164.7,973.2,1106.0,71.7,69.7,264.8,1090.5,1119.4,109.4,974.6,512.8,415.4,190.4,581.8,1162.8,498.0,1304.5,1134.6,594.4,381.1,199.2,140.8,360.3,1403.1,1325.8,288.1,288.2,1131.2,86.9,257.8,1101.4,410.2,1102.0,600.0,106.5,288.1,1004.5,1121.9,335.7,510.4,974.2,323.7,266.3,1139.2,1156.2,97.0,347.5,1365.4,1110.9,567.3,323.3,345.2,232.1,357.0,284.0,361.2,1090.6,988.8,231.3,364.6,35.7,1148.3,949.3,1397.6,148.6,455.0,283.0,222.9,1118.7,1179.8,1060.6,1080.0,1269.1,342.5,197.6,282.0,1340.4,285.2,320.5,275.3,173.6,231.2,290.7,529.4,188.0,271.0,179.5,422.3,272.2,1187.3,1110.3,417.6,983.1,103.4,1010.8,241.5,988.6,248.6,1250.6,107.8,172.7,1078.1,239.8,278.0,569.2,521.2,246.5
CY,1308.6,246.2,1106.4,157.0,1120.3,1084.0,1049.2,56.1,1016.5,72.5,2082.6,93.8,965.7,962.1,1074.7,695.6,865.1,1125.1,0.0,1267.6,722.9,887.5,1015.0,199.7,816.7,112.6,811.8,680.0,1023.6,217.3,35.3,1120.0,1118.0,1107.4,183.0,13.4,1071.3,176.0,922.7,991.6,1031.6,752.7,84.5,783.5,527.7,109.3,785.9,735.7,1032.2,1034.1,787.4,626.3,683.6,933.0,835.3,223.7,1135.2,1169.5,94.1,842.1,76.7,770.9,1154.8,1086.5,230.1,214.4,883.3,920.3,199.8,799.8,1267.6,68.5,130.9,1145.3,1395.8,588.6,85.6,777.4,1371.6,990.1,1058.5,1001.9,1332.3,806.3,19.9,245.7,1279.6,940.8,1083.3,70.0,235.6,620.8,1196.9,900.1,927.9,1021.3,40.4,587.4,153.1,172.5,626.9,987.4,999.5,1330.3,563.6,1261.5,868.1,920.2,994.8,1139.8,866.9,787.5,1161.9,1319.3,942.2,867.4,1070.6,109.0,85.0,993.8,166.9,1151.7,123.3,1039.9,161.9,1296.9,608.4,1055.8,1024.4,17.7,1288.1,1279.3,760.7,931.1,928.4
DH,293.3,1082.8,271.5,1096.0,96.9,134.8,319.8,1237.8,604.2,1254.2,2271.2,1267.9,553.4,549.8,208.6,540.9,559.9,220.7,1209.3,0.0,1468.5,563.8,514.9,1210.6,400.4,1286.7,405.3,533.7,328.6,1076.6,1209.4,162.6,211.2,111.2,1196.9,1220.9,273.3,1078.0,595.7,579.3,354.3,643.8,1266.2,594.6,1406.2,1231.4,656.4,484.5,341.5,304.7,430.1,1506.5,1429.2,452.0,452.1,1234.6,208.2,104.2,1204.8,462.1,1205.4,660.4,248.0,452.0,1107.9,1225.3,499.6,593.3,1077.6,456.1,137.7,1242.6,1259.6,192.2,252.3,1468.8,1214.3,629.3,272.0,509.1,160.3,520.9,311.3,482.6,1194.0,1092.2,261.8,528.5,199.6,1251.7,1063.5,1501.0,71.5,576.4,446.9,386.8,1222.1,1283.2,1164.0,1183.4,1372.5,506.4,339.9,315.0,1443.8,131.6,484.4,439.2,377.3,77.6,454.6,545.2,351.9,304.0,343.4,543.7,436.1,1290.7,1213.7,581.5,1086.5,138.0,1114.2,405.4,1092.0,29.2,1354.0,271.7,315.0,1195.4,272.8,149.4,631.2,604.1,305.1
DN,1122.2,577.1,1258.6,589.8,1272.5,1236.2,1201.4,731.6,1168.7,748.0,2234.8,761.7,1117.9,1114.3,1226.9,847.8,1017.3,1277.3,703.1,1416.8,0.0,1039.7,1167.2,704.4,968.9,780.5,964.0,832.2,1175.8,570.4,703.2,1272.2,1270.2,1259.6,687.7,716.6,1223.5,571.8,1074.9,1143.8,1183.8,904.9,760.0,935.7,172.5,731.8,938.1,887.9,1184.4,1186.3,939.6,263.1,32.2,1085.2,987.5,728.4,1287.4,1355.4,698.6,994.3,699.2,923.1,1307.0,1238.7,601.7,719.1,1035.5,1072.5,571.4,952.0,1326.6,736.4,753.4,1297.5,1259.6,233.4,708.1,929.6,1249.4,1142.3,1210.7,1154.1,1210.1,958.5,687.8,586.0,1248.3,1093.0,1235.5,745.5,546.5,257.6,1324.4,1052.3,1080.1,1173.5,715.9,129.9,657.8,677.2,60.0,1139.6,1151.7,1161.7,208.4,1385.5,1020.3,1072.4,1147.0,1292.0,1019.1,939.7,1314.1,1203.6,1094.4,1019.6,1222.8,784.5,707.5,1146.0,580.3,1254.9,608.0,1192.1,585.8,1446.1,68.3,1208.0,1176.6,675.3,1165.9,1338.3,912.9,1083.3,1080.6
DU,641.6,779.2,439.4,791.9,471.3,435.0,382.2,933.7,349.5,950.1,1945.0,963.8,298.7,295.1,407.7,215.9,55.9,458.1,905.2,600.6,1164.4,0.0,233.6,906.5,167.7,982.6,162.8,229.6,356.6,772.5,905.3,453.0,451.0,458.4,889.8,918.7,404.3,773.9,148.7,324.6,364.6,217.7,962.1,133.9,1103.8,933.9,230.3,179.2,383.2,367.1,138.4,1202.4,1125.1,266.0,168.3,930.5,468.2,520.5,900.7,193.1,901.3,235.9,487.8,419.5,803.8,921.2,216.3,146.3,773.5,132.8,618.6,938.5,955.5,478.3,728.8,1164.7,910.2,203.2,704.6,323.1,409.5,334.9,665.3,95.8,889.9,788.1,612.6,273.8,416.3,947.6,748.6,1196.9,529.9,90.9,260.9,354.3,918.0,979.1,859.9,879.3,1068.4,320.4,350.5,663.3,1139.7,612.5,201.1,253.2,327.8,490.8,199.9,219.0,494.9,652.3,275.2,111.4,403.6,986.6,909.6,326.8,782.4,484.7,810.1,372.9,787.9,629.9,1049.9,388.8,375.4,877.4,621.1,630.3,205.1,157.1,279.4
DX,718.9,814.2,498.7,827.4,442.8,406.5,521.3,969.2,488.6,985.6,1880.6,999.3,437.8,434.2,485.0,251.4,176.2,535.4,940.7,529.9,1199.9,237.4,0.0,942.0,306.8,1018.1,301.9,265.1,495.7,808.0,938.5,530.3,528.3,429.9,928.3,952.3,543.4,809.4,212.0,467.9,503.7,253.2,994.1,200.5,1137.6,962.8,265.8,318.3,458.8,506.2,277.5,1241.6,1160.6,405.1,307.4,966.0,545.5,468.5,936.2,332.2,936.8,269.8,565.1,558.6,839.3,956.7,355.4,209.6,809.0,271.9,540.3,974.0,991.0,555.6,654.9,1200.2,945.7,238.7,674.6,462.2,381.0,474.0,713.9,234.9,925.4,823.6,687.4,412.9,493.6,984.7,794.9,1232.4,515.7,211.7,400.0,493.4,953.5,1014.6,895.4,914.8,1103.9,459.5,426.1,740.6,1175.2,542.5,340.2,392.3,466.9,462.3,339.0,154.6,579.1,729.6,414.3,250.5,542.7,1022.1,945.1,465.9,817.9,563.6,845.6,512.0,823.4,559.2,1085.4,527.9,451.0,926.8,698.4,552.0,240.6,220.4,355.0
EI,1303.6,223.2,1101.4,134.0,1115.3,1079.0,1044.2,241.9,1011.5,258.3,2077.6,272.0,960.7,957.1,1069.7,690.6,860.1,1120.1,213.4,1262.6,717.9,882.5,1010.0,0.0,811.7,290.8,806.8,675.0,1018.6,212.3,213.5,1115.0,1113.0,1102.4,45.1,226.9,1066.3,153.0,917.7,986.6,1026.6,747.7,270.3,778.5,522.7,242.1,780.9,730.7,1027.2,1029.1,782.4,621.3,678.6,928.0,830.3,56.7,1130.2,1164.5,208.9,837.1,209.5,765.9,1149.8,1081.5,207.1,20.6,878.3,915.3,176.8,794.8,1262.6,246.7,263.7,1140.3,1390.8,583.6,218.4,772.4,1366.6,985.1,1053.5,996.9,1327.3,801.3,198.1,222.7,1274.6,935.8,1078.3,255.8,212.6,615.8,1191.9,895.1,922.9,1016.3,226.2,582.4,68.4,55.6,621.9,982.4,994.5,1325.3,558.6,1256.5,863.1,915.2,989.8,1134.8,861.9,782.5,1156.9,1314.3,937.2,862.4,1065.6,294.8,217.8,988.8,143.9,1146.7,100.3,1034.9,138.9,1291.9,603.4,1050.8,1019.4,185.6,1283.1,1274.3,755.7,926.1,923.4
EQ,537.4,682.8,335.2,695.5,303.5,267.2,278.0,837.3,272.3,853.7,1886.6,867.4,221.5,217.9,303.5,140.4,140.9,353.9,808.8,432.1,1068.0,163.3,318.6,810.1,0.0,886.2,4.8,133.2,252.4,676.1,808.9,348.8,346.8,290.6,793.4,822.3,300.1,677.5,233.7,247.4,242.4,197.5,865.7,218.9,1007.4,837.5,230.7,84.0,215.4,262.9,29.6,1106.0,1028.7,188.8,91.1,834.1,364.0,352.7,804.3,61.6,804.9,215.7,383.6,342.3,707.4,824.8,139.1,231.3,677.1,55.6,450.8,842.1,859.1,374.1,565.4,1068.3,813.8,288.2,585.1,245.9,241.7,257.7,561.1,82.1,793.5,691.7,508.4,196.6,312.1,851.2,652.2,1100.5,425.7,175.9,183.7,277.1,821.6,882.7,763.5,782.9,972.0,243.2,182.7,559.1,1043.3,444.7,123.9,176.0,183.8,323.0,122.7,232.3,390.7,548.1,198.0,143.2,326.4,890.2,813.2,249.6,686.0,380.5,713.7,295.7,691.5,461.4,953.5,284.6,207.6,781.0,516.9,462.5,205.5,242.1,111.6
EW,1396.0,333.1,1193.8,244.4,1207.7,1171.4,1136.6,72.5,1103.9,46.1,2170.0,22.9,1053.1,1049.5,1162.1,783.0,952.5,1212.5,102.6,1355.0,810.3,974.9,1102.4,287.1,904.1,0.0,899.2,767.4,1111.0,304.7,77.2,1207.4,1205.4,1194.8,273.4,114.2,1158.7,263.4,1010.1,1083.2,1119.0,840.1,64.9,874.4,613.4,190.1,873.3,823.1,1119.6,1121.5,874.8,713.7,771.0,1020.4,922.7,311.1,1222.6,1256.9,181.5,929.5,164.1,856.7,1242.2,1173.9,317.5,301.8,970.7,1007.7,285.1,887.2,1355.0,48.2,218.3,1232.7,1483.2,676.0,173.0,864.8,1459.0,1077.5,1145.9,1089.3,1419.7,893.7,92.6,333.1,1364.5,1028.2,1170.7,59.7,333.8,708.2,1284.3,987.5,1015.3,1108.7,88.2,674.8,240.5,259.9,714.3,1074.8,1086.9,1417.7,651.0,1348.9,955.5,1007.6,1082.2,1227.2,954.3,874.9,1249.3,1406.7,1029.6,954.8,1158.0,23.5,172.4,1081.2,254.3,1240.7,210.7,1127.3,249.3,1384.3,695.8,1143.2,1111.8,117.9,1375.5,1366.7,848.1,1018.5,1015.8
EY,542.3,677.9,340.1,690.6,308.4,272.1,282.9,832.4,267.4,848.8,1881.7,862.5,216.6,213.0,308.4,135.5,136.0,358.8,803.9,437.0,1063.1,158.4,313.7,805.2,4.8,881.3,0.0,128.3,257.3,671.2,804.0,353.7,351.7,295.5,788.5,817.4,305.0,672.6,228.8,242.5,247.3,192.6,860.8,214.0,1002.5,832.6,225.8,79.1,220.3,267.8,24.7,1101.1,1023.8,183.9,86.2,829.2,368.9,357.6,799.4,56.7,800.0,210.8,388.5,337.4,702.5,819.9,134.2,226.4,672.2,50.7,455.7,837.2,854.2,379.0,570.3,1063.4,808.9,283.3,590.0,241.0,246.6,252.8,566.0,77.2,788.6,686.8,513.3,191.7,317.0,846.3,647.3,1095.6,430.6,171.0,178.8,272.2,816.7,877.8,758.6,778.0,967.1,238.3,187.6,564.0,1038.4,449.6,119.0,171.1,188.7,327.9,117.8,227.4,395.6,553.0,193.1,138.3,321.5,885.3,808.3,244.7,681.1,385.4,708.8,290.8,686.6,466.3,948.6,289.5,212.5,776.1,521.8,467.4,200.6,237.2,116.5
FA,628.5,549.5,426.3,562.2,440.2,403.9,369.1,704.0,336.4,720.4,1753.3,734.1,285.6,282.0,394.6,15.5,185.0,445.0,675.5,587.5,934.7,207.4,334.9,676.8,136.6,752.9,131.7,0.0,343.5,542.8,675.6,439.9,437.9,427.3,660.1,689.0,391.2,544.2,242.6,311.5,351.5,72.6,732.4,103.4,874.1,704.2,105.8,55.6,352.1,354.0,107.3,972.7,895.4,252.9,155.2,700.8,455.1,489.4,671.0,162.0,671.6,90.8,474.7,406.4,574.1,691.5,203.2,240.2,543.8,119.7,587.5,708.8,725.8,465.2,715.7,935.0,680.5,97.3,691.5,310.0,378.4,321.8,652.2,126.2,660.2,558.4,599.5,260.7,403.2,717.9,518.9,967.2,516.8,220.0,247.8,341.2,688.3,749.4,630.2,649.6,838.7,307.3,319.4,650.2,910.0,581.4,188.0,240.1,314.7,459.7,186.8,107.4,481.8,639.2,262.1,187.3,390.5,756.9,679.9,313.7,552.7,471.6,580.4,359.8,558.2,616.8,820.2,375.7,344.3,647.7,608.0,599.2,80.6,251.0,248.3
FB,345.7,895.4,143.5,908.6,309.8,273.5,86.3,1050.4,356.3,1066.8,2099.7,1080.5,305.5,301.9,111.8,353.5,336.0,162.2,1021.9,304.7,1281.1,358.4,506.5,1023.2,264.5,1099.3,269.4,346.3,0.0,889.2,1019.7,157.1,155.1,296.9,1009.5,1033.5,108.4,890.6,428.8,331.4,106.4,497.8,1075.3,410.3,1218.8,1044.0,510.4,297.1,215.1,71.2,276.3,1322.8,1241.8,204.1,204.2,1047.2,172.3,343.2,1017.4,326.2,1018.0,514.4,191.9,204.1,920.5,1037.9,251.7,426.4,890.2,239.7,351.7,1055.2,1072.2,182.4,432.9,1281.4,1026.9,483.3,408.7,261.2,248.0,273.0,369.4,277.2,1006.6,904.8,314.2,280.6,120.4,1064.3,876.1,1313.6,234.0,371.0,199.0,138.9,1034.7,1095.8,976.6,996.0,1185.1,258.5,167.5,367.4,1256.4,370.6,236.5,191.3,89.6,316.6,206.7,445.4,199.0,356.4,95.5,338.3,188.2,1103.3,1026.3,333.6,899.1,190.4,926.8,157.5,904.6,334.0,1166.6,92.9,188.6,1008.0,325.2,363.4,485.2,437.2,162.5
FI,1167.5,162.3,965.2,143.3,979.1,942.8,908.0,246.9,875.3,263.3,1941.4,276.9,824.5,820.9,933.5,554.4,723.9,983.9,218.4,1126.5,629.0,746.3,873.8,219.7,675.5,295.7,670.6,538.8,882.4,0.0,216.2,978.9,976.8,966.2,206.0,230.0,930.1,176.0,781.5,854.6,890.4,611.5,271.8,645.8,432.1,240.5,644.7,594.5,891.0,892.9,646.2,536.1,589.7,791.8,694.1,243.7,994.0,1028.3,213.9,700.9,214.5,628.2,1013.6,945.3,230.1,234.4,742.1,779.2,197.7,658.6,1126.5,251.7,268.7,1004.1,1254.6,494.7,223.4,636.2,1230.4,848.9,917.3,860.7,1191.1,665.1,203.1,171.7,1136.0,799.6,942.2,257.0,143.0,526.9,1055.8,758.9,786.7,880.1,231.2,493.5,173.1,192.5,533.0,846.2,858.3,1189.1,469.7,1120.3,726.9,779.0,853.6,998.6,725.7,646.3,1020.7,1178.1,801.0,726.3,929.4,299.8,222.8,852.6,166.9,1012.1,123.3,898.7,161.9,1155.7,514.5,914.6,883.2,204.4,1146.9,1138.1,619.5,789.9,787.3
FN,1316.4,255.8,1116.5,153.4,1130.4,1094.1,1059.3,81.5,1026.6,55.3,2092.7,58.4,973.5,972.2,1084.8,705.7,875.2,1135.2,25.3,1275.4,733.0,897.6,1025.1,209.8,826.8,77.2,821.9,690.1,1033.7,227.3,0.0,1130.1,1128.1,1117.5,196.1,36.9,1081.4,186.1,932.8,1005.9,1041.7,762.8,79.9,797.1,536.1,112.8,796.0,745.8,1042.3,1044.2,797.5,640.1,693.7,943.1,845.4,233.8,1145.3,1179.6,104.2,852.2,86.8,777.1,1164.9,1096.6,240.2,224.5,893.4,930.4,207.8,809.9,1275.4,33.1,141.0,1155.4,1405.9,598.7,95.7,787.5,1381.7,1000.2,1068.6,1012.0,1342.4,816.4,15.4,255.8,1284.9,950.9,1091.1,65.1,256.5,630.9,1204.7,910.2,938.0,1031.4,65.8,597.5,163.2,182.6,637.0,997.5,1009.6,1340.4,573.7,1271.6,878.2,930.3,1004.9,1149.9,877.0,797.6,1172.0,1329.4,952.3,875.2,1080.7,93.4,95.1,1003.9,177.0,1161.1,133.4,1050.0,172.0,1304.7,618.5,1065.9,1034.5,40.6,1298.2,1289.4,770.8,941.2,936.2
FZ,188.5,980.6,108.8,993.8,178.7,216.6,157.1,1135.6,441.5,1152.0,2184.9,1165.7,390.7,387.1,45.9,438.7,421.2,58.0,1107.1,147.5,1366.3,443.6,547.5,1108.4,349.7,1184.5,354.6,431.5,165.9,974.5,1104.9,0.0,48.5,193.0,1091.7,1120.6,110.6,975.8,514.0,416.6,191.6,583.0,1160.5,499.2,1304.0,1129.2,595.6,382.3,200.4,142.0,361.5,1408.0,1327.0,289.3,289.4,1132.4,45.5,186.0,1102.6,411.4,1103.2,599.6,85.3,289.3,1005.7,1123.1,336.9,511.6,993.3,324.9,194.5,1140.4,1157.4,25.2,275.7,1366.6,1112.1,568.5,251.5,346.4,242.1,358.2,212.2,362.4,1091.8,990.0,157.0,365.8,36.9,1145.7,961.3,1398.8,76.8,456.2,284.2,224.1,1119.9,1181.0,1061.8,1081.2,1270.3,343.7,198.8,210.2,1341.6,213.4,321.7,276.5,174.8,159.4,291.9,530.6,189.2,199.2,180.7,423.5,273.4,1188.5,1111.5,418.8,984.3,33.2,1012.0,242.7,989.8,176.8,1251.8,109.0,173.9,1093.2,168.0,206.2,570.4,522.4,247.7
GA,227.0,988.5,116.7,1001.7,217.2,255.1,165.0,1143.5,449.4,1159.9,2192.8,1173.6,398.6,395.0,53.8,446.6,429.1,65.9,1115.0,186.0,1374.2,451.5,555.4,1116.3,357.6,1192.4,362.5,439.4,173.8,982.4,1112.8,38.4,0.0,231.5,1099.6,1128.5,118.5,983.7,521.9,424.5,199.5,590.9,1168.4,507.1,1313.6,1137.1,603.5,390.2,208.3,149.9,369.4,1412.2,1334.9,297.2,297.3,1140.3,53.6,224.5,1110.5,419.3,1111.1,607.5,36.7,297.2,1013.6,1131.0,344.8,519.5,1001.2,332.8,233.0,1148.3,1165.3,63.7,314.2,1374.5,1120.0,576.4,290.0,354.3,280.6,366.1,250.7,370.3,1099.7,997.9,195.5,373.7,44.8,1153.6,969.2,1406.7,115.3,464.1,292.1,232.0,1127.8,1188.9,1069.7,1089.1,1278.2,351.6,206.7,248.7,1349.5,251.9,329.6,284.4,182.7,197.9,299.8,538.5,197.1,237.7,188.6,431.4,281.3,1196.4,1119.4,426.7,992.2,71.7,1019.9,250.6,997.7,215.3,1259.7,116.9,181.8,1101.1,206.5,244.7,578.3,530.3,255.6
GX,349.0,972.0,234.3,984.7,12.8,23.5,300.6,1126.5,561.5,1142.9,2216.4,1156.6,510.7,507.1,220.6,429.6,430.1,271.0,1098.0,141.4,1357.2,452.5,460.1,1099.3,289.1,1175.4,294.0,422.4,334.6,965.3,1098.1,218.3,263.9,0.0,1082.6,1111.5,254.1,966.7,522.9,536.6,324.6,589.0,1154.9,536.3,1296.6,1126.7,601.6,373.2,230.2,285.5,318.8,1395.2,1317.9,432.8,380.3,1123.3,281.1,62.0,1093.5,350.8,1094.1,607.2,300.7,432.8,996.6,1114.0,428.3,520.5,966.3,344.8,160.1,1131.3,1148.3,291.2,274.7,1357.5,1103.0,574.5,294.4,489.9,49.0,501.7,333.7,371.3,1082.7,980.9,320.0,485.8,229.2,1140.4,941.4,1389.7,127.2,465.1,427.7,367.6,1110.8,1171.9,1052.7,1072.1,1261.2,487.2,228.6,370.7,1332.5,154.0,413.1,420.0,266.0,32.3,411.9,490.4,314.7,359.7,324.2,432.4,416.9,1179.4,1102.4,538.8,975.2,192.1,1002.9,386.2,980.7,170.7,1242.7,252.5,203.7,1070.2,328.5,171.8,576.4,531.3,193.8
GY,1281.2,197.3,1076.0,94.9,1089.9,1053.6,1018.8,216.5,986.1,232.9,2052.2,249.6,938.3,931.7,1044.3,665.2,834.7,1094.7,188.0,1240.2,692.5,857.1,984.6,58.7,786.3,265.4,781.4,649.6,993.2,186.8,185.8,1089.6,1090.6,1077.0,0.0,199.6,1040.9,127.6,892.3,965.4,1001.2,722.3,241.4,756.6,495.6,210.1,755.5,705.3,1001.8,1003.7,757.0,599.6,653.2,902.6,804.9,78.1,1104.8,1139.1,183.5,811.7,184.1,738.9,1124.4,1056.1,181.7,68.8,852.9,889.9,149.3,769.4,1240.2,221.3,238.3,1114.9,1365.4,558.2,193.0,747.0,1341.2,959.7,1028.1,971.5,1301.9,775.9,172.7,197.3,1249.7,910.4,1052.9,226.6,198.0,590.4,1169.5,869.7,897.5,990.9,200.8,557.0,38.8,10.4,596.5,957.0,969.1,1299.9,533.2,1231.1,837.7,889.8,964.4,1109.4,836.5,757.1,1131.5,1288.9,911.8,840.0,1040.2,269.4,192.4,963.4,118.5,1122.9,74.9,1009.5,113.5,1266.5,578.0,1025.4,994.0,177.1,1257.7,1248.9,730.3,900.7,898.0
HB,1320.2,259.2,1119.9,156.8,1133.8,1097.5,1062.7,42.6,1030.0,59.0,2096.1,105.4,977.3,975.6,1088.2,709.1,878.6,1138.6,13.4,1281.1,736.4,901.0,1026.6,213.2,830.2,109.0,825.3,693.5,1035.2,230.7,46.5,1131.6,1129.6,1120.9,199.5,0.0,1084.8,189.5,936.2,1009.3,1043.2,766.2,67.5,800.5,539.5,116.2,799.4,749.2,1045.7,1047.6,800.9,643.5,697.1,946.5,848.8,237.2,1148.7,1183.0,107.6,855.6,90.2,780.9,1168.3,1100.0,243.6,227.9,896.8,931.9,211.2,813.3,1281.1,82.0,144.4,1158.8,1409.3,602.1,99.1,790.9,1385.1,1003.6,1072.0,1015.4,1345.8,819.8,33.4,259.2,1288.7,954.3,1096.8,52.7,258.0,634.3,1208.5,913.6,941.4,1034.8,26.9,600.9,166.6,186.0,640.4,1000.9,1013.0,1343.8,577.1,1275.0,881.6,933.7,1008.3,1153.3,880.4,801.0,1175.4,1330.9,955.7,880.9,1084.1,95.5,96.6,1007.3,180.4,1164.9,136.8,1053.4,175.4,1308.5,621.9,1069.3,1037.9,42.1,1301.6,1292.8,774.2,944.6,940.0
HE,310.2,923.4,108.0,936.1,274.3,238.0,99.4,1077.9,383.8,1094.3,2127.2,1108.0,333.0,329.4,76.3,381.0,363.5,126.7,1049.4,269.2,1308.6,385.9,526.7,1050.7,292.0,1126.8,296.9,373.8,108.2,916.7,1049.5,121.6,119.6,261.4,1034.0,1062.9,0.0,918.1,456.3,358.9,133.9,525.3,1106.3,441.5,1248.0,1078.1,537.9,324.6,179.6,84.3,303.8,1346.6,1269.3,231.6,231.7,1074.7,136.8,307.7,1044.9,353.7,1045.5,543.5,156.4,231.6,948.0,1065.4,279.2,453.9,917.7,267.2,316.2,1082.7,1099.7,146.9,397.4,1308.9,1054.4,510.8,373.2,288.7,212.5,300.5,333.9,304.7,1034.1,932.3,281.2,308.1,84.9,1091.8,892.8,1341.1,198.5,398.5,226.5,166.4,1062.2,1123.3,1004.1,1023.5,1212.6,286.0,178.0,331.9,1283.9,335.1,264.0,218.8,117.1,281.1,234.2,472.9,212.1,320.9,123.0,365.8,215.7,1130.8,1053.8,361.1,926.6,153.3,954.3,185.0,932.1,298.5,1194.1,57.4,153.1,1021.6,289.7,327.9,512.7,464.7,190.0
HH,1274.0,70.1,1071.8,17.9,1085.7,1049.4,1014.6,192.3,981.9,208.7,2048.0,222.4,931.1,927.5,1040.1,661.0,830.5,1090.5,163.8,1233.0,669.6,852.9,980.4,147.1,782.1,241.2,777.2,645.4,989.0,143.1,163.9,1085.4,1083.4,1072.8,130.4,177.3,1036.7,0.0,888.1,957.0,997.0,718.1,220.7,748.9,474.4,192.5,751.3,701.1,997.6,999.5,752.8,573.0,630.3,898.4,800.7,171.1,1100.6,1134.9,159.3,807.5,159.9,736.3,1120.2,1051.9,54.0,161.8,848.7,885.7,23.7,765.2,1233.0,197.1,214.1,1110.7,1361.2,535.3,168.8,742.8,1337.0,955.5,1023.9,967.3,1297.7,771.7,148.5,69.6,1245.0,906.2,1048.7,206.2,59.5,567.5,1162.3,865.5,893.3,986.7,176.6,534.1,100.5,119.9,573.6,952.8,964.9,1295.7,510.3,1226.9,833.5,885.6,960.2,1105.2,832.3,752.9,1127.3,1284.7,907.6,832.8,1036.0,245.2,168.2,959.2,8.4,1117.1,49.5,1005.3,13.9,1262.3,555.1,1021.2,989.8,136.0,1253.5,1244.7,726.1,896.5,893.8
HM,731.4,831.2,529.2,843.9,561.1,524.8,472.0,985.7,439.3,1002.1,1939.0,1015.8,388.5,384.9,497.5,267.9,126.9,547.9,957.2,690.4,1216.4,188.1,227.6,958.5,257.5,1034.6,252.6,281.6,446.4,824.5,957.3,542.8,540.8,548.2,941.8,970.7,494.1,825.9,0.0,414.4,454.4,269.7,1014.1,185.9,1155.8,985.9,282.3,269.0,473.0,456.9,228.2,1254.4,1177.1,355.8,258.1,982.5,558.0,610.3,952.7,282.9,953.3,287.9,577.6,509.3,855.8,973.2,306.1,80.5,825.5,222.6,708.4,990.5,1007.5,568.1,818.6,1216.7,962.2,255.2,794.4,412.9,499.3,424.7,755.1,185.6,941.9,840.1,702.4,363.6,506.1,999.6,800.6,1248.9,619.7,162.4,350.7,444.1,970.0,1031.1,911.9,931.3,1120.4,410.2,440.3,753.1,1191.7,702.3,290.9,343.0,417.6,580.6,289.7,213.0,584.7,742.1,365.0,201.2,493.4,1038.6,961.6,416.6,834.4,574.5,862.1,462.7,839.9,719.7,1101.9,478.6,465.2,929.4,710.9,720.1,257.1,60.9,369.2
