from_stop,AE,AG,AJ,AM,AR,AT,AW,BA,BR,CF,CG,CN,CP,CR,CS,CT,CW,CX,DA,DF,DG,DH,DI,DJ,DL,DN,DO,DQ,DU,DZ,EG,EI,EK,EM,ET,EV,FA,FG,FP,FU,FW,GD,GQ,GR,GT,GU,GV,HE,HH,HK,HO,HZ,IA,IF,IN,IO,IV,IW,IY,JA,JD,JG,JR,JU,JW,KE,KG,KH,KJ,KK,KO,KQ,KU,KW,KZ,LE,LK,LX,MB,MG,MM,MP,MT,MW,NF,NL,NS,NW,NZ,OA,OC,OE,OG,OH,OJ,OO,OT,OU,OW,PB,PG,PM,PO,PR,PT,PW,QC,QD,QI,QN,QT,QU,QV,RB,RI,RO,RT,RY,RZ,SA,ST,SX,TC,TE,TL,TT,TZ,UD,UF,UG,UI,UM,UN,UP,UZ,VA,VJ,VM,VW,VX,VZ,WH,WJ,WZ,XD,XE,XI,XN,XO,XS,XY,YA,YG,YH,YP,YV,ZB,ZG,ZI,ZN,ZR,ZS,ZT
CG,406.8,643.6,540.0,1020.3,379.6,688.6,51.1,443.7,1038.8,995.7,0.0,980.1,117.3,258.3,202.2,252.5,321.4,144.8,196.6,317.6,1105.6,464.7,478.7,631.9,69.0,922.8,293.4,306.1,282.2,2130.0,502.3,280.6,904.8,537.3,181.6,468.5,479.1,996.3,187.7,1078.4,638.6,492.6,504.3,588.5,223.0,951.6,296.7,101.8,312.9,327.2,970.5,503.7,203.5,694.5,183.3,507.0,764.7,445.9,862.7,310.8,717.3,849.7,135.5,293.3,400.2,236.0,386.9,216.4,495.3,346.9,117.3,615.2,184.8,1017.8,1052.4,514.9,839.3,967.0,575.1,246.3,495.7,483.7,445.5,297.3,189.2,254.0,1085.3,558.5,162.3,547.6,499.0,978.2,110.3,675.7,493.4,415.3,577.9,121.4,658.9,872.0,495.5,112.1,410.7,508.9,613.7,231.9,1011.5,726.5,345.8,265.0,344.4,1075.0,106.5,338.2,1078.1,1108.7,256.1,249.7,824.1,405.6,992.0,177.9,454.0,514.2,158.0,174.0,1075.0,1101.3,457.9,132.2,340.6,544.4,543.7,423.6,886.8,536.4,918.5,306.1,872.5,677.7,449.6,416.4,359.0,124.1,780.5,560.2,34.0,113.4,322.9,243.2,309.5,1051.7,227.2,234.0,1019.5,167.4,946.3,514.6,1030.0,593.5,594.5,138.5,454.4
CN,825.9,426.5,436.7,200.4,827.9,356.2,921.5,602.1,141.6,9.0,972.9,0.0,990.7,817.9,815.3,745.5,840.6,983.4,988.1,759.3,237.0,878.9,892.9,630.9,958.8,238.8,732.9,813.3,840.1,2049.8,519.2,820.2,270.2,536.3,834.9,882.7,928.9,278.3,881.7,159.6,421.5,906.8,603.3,587.5,1006.7,249.1,781.4,940.4,870.8,860.8,208.0,529.3,879.5,292.5,996.3,921.2,345.3,577.6,228.1,772.5,247.1,215.1,888.6,851.2,861.9,781.4,836.7,907.7,520.9,826.0,990.7,614.2,968.5,99.0,148.3,538.1,204.7,294.1,477.3,804.2,609.1,897.9,859.7,762.0,994.3,744.0,216.7,480.3,853.5,546.6,598.0,215.7,1000.1,458.6,907.6,580.1,427.5,1011.2,407.8,172.1,945.3,950.7,872.4,598.8,612.7,1029.6,92.7,237.5,812.0,833.7,806.1,206.4,887.5,799.9,209.5,220.1,867.1,824.1,431.6,593.0,319.1,871.9,868.2,928.4,903.4,874.7,186.4,212.7,872.1,970.8,798.2,462.4,433.0,837.8,129.1,522.2,188.5,770.8,237.9,676.7,584.0,830.6,820.7,870.6,183.4,465.9,967.1,952.0,736.1,774.4,774.2,183.1,835.0,845.0,122.3,1015.5,293.8,563.2,111.2,592.5,593.5,977.1,570.4
CP,425.3,662.1,558.5,1038.8,398.1,707.1,104.3,462.2,1057.3,1014.2,140.6,998.6,0.0,276.8,220.7,271.0,339.9,148.7,200.5,336.1,1124.1,483.2,497.2,650.4,92.8,941.3,311.9,324.6,300.7,2089.6,520.8,299.1,923.3,555.8,200.1,487.0,497.6,1014.8,206.2,1096.9,657.1,511.1,522.8,607.0,240.1,970.1,315.2,105.7,331.4,345.7,989.0,522.2,222.0,713.0,142.9,525.5,783.2,464.4,881.2,329.3,735.8,868.2,170.7,311.8,418.7,254.5,405.4,234.9,513.8,365.4,0.0,633.7,181.2,1036.3,1070.9,533.4,857.8,985.5,593.6,264.8,514.2,502.2,464.0,315.8,193.1,272.5,1103.8,577.0,180.8,566.1,517.5,996.7,103.1,694.2,511.9,433.8,596.4,121.9,677.4,890.5,514.0,41.4,429.2,527.4,632.2,191.5,1030.0,745.0,364.3,283.5,362.9,1093.5,141.7,356.7,1096.6,1127.2,274.6,268.2,842.6,424.1,1010.5,196.4,472.5,532.7,193.2,209.2,1093.5,1119.8,476.4,136.1,359.1,562.9,562.2,442.1,905.3,554.9,937.0,324.6,891.0,696.2,468.1,434.9,377.5,159.3,799.0,578.7,134.8,117.3,341.4,261.7,328.0,1070.2,245.7,252.5,1038.0,171.3,964.8,533.1,1048.5,612.0,613.0,98.1,472.9
CR,215.1,444.6,341.0,821.3,218.9,489.6,190.2,244.7,839.8,796.7,241.6,781.1,259.4,0.0,137.7,60.8,172.7,252.1,256.8,160.1,906.6,273.0,287.0,432.9,227.5,723.8,101.7,145.4,162.5,1948.8,303.3,70.9,705.8,338.3,157.3,276.8,287.4,797.3,171.8,879.4,439.6,300.9,305.3,389.5,275.4,752.6,136.0,209.1,193.2,192.9,771.5,304.7,151.8,495.5,265.0,315.3,565.7,246.9,663.7,150.1,518.3,650.7,157.3,173.6,239.5,103.8,195.2,211.2,296.3,188.3,259.4,416.2,237.2,818.8,853.4,315.9,640.3,768.0,376.1,126.6,296.7,292.0,253.8,162.8,263.0,62.3,886.3,359.5,157.1,348.6,300.0,779.2,268.8,476.7,301.7,216.3,378.9,279.9,459.9,673.0,303.8,219.4,250.0,309.9,414.7,298.3,812.5,527.5,185.1,102.4,183.7,876.0,156.2,177.5,879.1,909.7,135.8,26.9,625.1,206.6,793.0,194.3,262.3,322.5,172.1,143.4,876.0,902.3,266.2,239.5,179.9,345.4,344.7,231.9,687.8,337.4,719.5,171.6,673.5,478.7,250.6,224.7,198.3,139.3,581.5,361.2,235.8,220.7,131.2,96.8,175.0,852.7,61.1,113.7,820.5,284.2,747.3,315.6,831.0,394.5,395.5,245.8,255.4
CS,229.8,441.3,337.7,818.0,177.3,486.3,133.7,241.4,836.5,793.4,185.1,777.8,202.9,141.1,0.0,174.9,119.1,195.6,200.3,115.3,903.3,287.7,301.7,429.6,186.7,720.5,170.4,103.8,79.9,1945.5,300.0,203.0,702.5,335.0,19.5,291.5,302.1,794.0,66.3,876.1,436.3,315.6,302.0,386.2,218.9,749.3,94.4,152.6,110.6,124.9,768.2,301.4,82.1,492.2,208.5,330.0,562.4,243.6,660.4,108.5,515.0,647.4,176.8,91.0,197.9,33.7,209.9,92.3,293.0,144.6,202.9,412.9,180.7,815.5,850.1,312.6,637.0,764.7,372.8,44.0,293.4,306.7,268.5,95.0,206.5,176.4,883.0,356.2,38.1,345.3,296.7,775.9,228.0,473.4,316.4,213.0,375.6,239.1,456.6,669.7,318.5,162.9,208.4,306.6,411.4,241.8,809.2,524.2,143.5,187.4,142.1,872.7,175.7,135.9,875.8,906.4,178.5,142.5,621.8,203.3,789.7,56.5,277.0,337.2,155.2,126.5,872.7,899.0,280.9,183.0,138.3,342.1,341.4,246.6,684.5,334.1,716.2,103.8,670.2,475.4,247.3,239.4,156.7,158.8,578.2,357.9,179.3,164.2,115.4,40.9,107.2,849.4,149.6,156.4,817.2,227.7,744.0,312.3,827.7,391.2,392.2,189.3,252.1
CT,154.2,383.7,280.1,760.4,167.8,428.7,175.9,183.8,778.9,735.8,227.3,720.2,245.1,72.3,155.2,0.0,180.5,237.8,242.5,99.2,845.7,212.1,226.1,372.0,213.2,662.9,40.8,153.2,180.0,1887.9,242.4,74.6,644.9,277.4,162.1,215.9,226.5,736.4,157.5,818.5,378.7,240.0,244.4,328.6,261.1,691.7,121.3,194.8,210.7,200.7,710.6,243.8,137.5,434.6,250.7,254.4,504.8,186.0,602.8,112.4,457.4,589.8,143.0,191.1,201.8,121.3,134.3,196.9,235.4,175.9,245.1,355.3,222.9,757.9,792.5,255.0,579.4,707.1,315.2,144.1,235.8,231.1,192.9,101.9,248.7,1.4,825.4,298.6,142.8,287.7,239.1,718.3,254.5,415.8,240.8,155.4,318.0,265.6,399.0,612.1,242.9,205.1,212.3,249.0,353.8,284.0,751.6,466.6,151.9,88.1,146.0,815.1,141.9,139.8,818.2,848.8,121.5,78.5,564.2,145.7,732.1,158.4,201.4,261.6,157.8,129.1,815.1,841.4,205.3,225.2,138.1,284.5,283.8,171.0,626.9,276.5,658.6,110.7,612.6,417.8,189.7,163.8,160.6,125.0,520.6,300.3,221.5,206.4,70.3,114.3,114.1,791.8,89.4,99.4,759.6,269.9,686.4,254.7,770.1,333.6,334.6,231.5,194.5
CW,261.7,473.2,369.6,849.9,133.7,518.2,265.6,273.3,868.4,825.3,317.0,809.7,334.8,182.7,131.8,194.9,0.0,327.5,332.2,143.9,935.2,319.6,333.6,461.5,318.6,752.4,202.3,37.2,38.3,1977.4,331.9,253.7,734.4,366.9,151.4,323.4,334.0,825.9,198.2,908.0,468.2,347.5,333.9,418.1,350.8,781.2,85.6,284.5,49.9,40.9,800.1,333.3,196.0,524.1,340.4,361.9,594.3,275.5,692.3,96.6,546.9,679.3,258.9,27.2,98.8,90.4,241.8,224.2,324.9,25.4,334.8,444.8,312.6,847.4,882.0,344.5,668.9,796.6,404.7,76.7,325.3,338.6,300.4,123.1,338.4,193.4,914.9,388.1,170.0,377.2,328.6,807.8,359.9,505.3,348.3,244.9,407.5,371.0,488.5,701.6,350.4,294.8,109.3,338.5,443.3,373.7,841.1,556.1,103.1,256.3,65.5,904.6,257.8,72.0,907.7,938.3,247.4,184.1,653.7,235.2,821.6,188.4,308.9,369.1,273.7,245.0,904.6,930.9,312.8,314.9,94.7,374.0,373.3,278.5,716.4,366.0,748.1,131.9,702.1,507.3,279.2,271.3,57.6,240.9,610.1,389.8,311.2,296.1,147.3,97.6,135.3,881.3,195.3,225.3,849.1,359.6,775.9,344.2,859.6,423.1,424.1,321.2,284.0
CX,394.8,631.6,528.0,1008.3,367.6,676.6,90.9,431.7,1026.8,983.7,142.3,968.1,145.5,246.3,190.2,240.5,309.4,0.0,96.4,305.6,1093.6,452.7,466.7,619.9,143.9,910.8,281.4,294.1,270.2,2123.4,490.3,268.6,892.8,525.3,169.6,456.5,467.1,984.3,175.7,1066.4,626.6,480.6,492.3,576.5,136.0,939.6,284.7,40.0,300.9,315.2,958.5,491.7,191.5,682.5,133.4,495.0,752.7,433.9,850.7,298.8,705.3,837.7,190.4,281.3,388.2,224.0,374.9,204.4,483.3,334.9,145.5,603.2,146.5,1005.8,1040.4,502.9,827.3,955.0,563.1,234.3,483.7,471.7,433.5,285.3,89.0,242.0,1073.3,546.5,150.3,535.6,487.0,966.2,185.2,663.7,481.4,403.3,565.9,196.3,646.9,860.0,483.5,105.5,398.7,496.9,601.7,166.7,999.5,714.5,333.8,253.0,332.4,1063.0,161.4,326.2,1066.1,1096.7,244.1,237.7,812.1,393.6,980.0,165.9,442.0,502.2,191.9,185.8,1063.0,1089.3,445.9,32.0,328.6,532.4,531.7,411.6,874.8,524.4,906.5,294.1,860.5,665.7,437.6,404.4,347.0,179.0,768.5,548.2,136.5,17.2,310.9,231.2,297.5,1039.7,215.2,222.0,1007.5,67.2,934.3,502.6,1018.0,581.5,582.5,96.8,442.4
DA,441.5,678.3,574.7,1055.0,414.3,723.3,137.6,478.4,1073.5,1030.4,189.0,1014.8,192.2,293.0,236.9,287.2,356.1,71.3,0.0,352.3,1140.3,499.4,513.4,666.6,190.6,957.5,328.1,340.8,316.9,2153.4,537.0,315.3,939.5,572.0,216.3,503.2,513.8,1031.0,222.4,1113.1,673.3,527.3,539.0,623.2,39.5,986.3,331.4,86.7,347.6,361.9,1005.2,538.4,238.2,729.2,77.8,541.7,799.4,480.6,897.4,345.5,752.0,884.4,237.1,328.0,434.9,270.7,421.6,251.1,530.0,381.6,192.2,649.9,50.0,1052.5,1087.1,549.6,874.0,1001.7,609.8,281.0,530.4,518.4,480.2,332.0,6.2,288.7,1120.0,593.2,197.0,582.3,533.7,1012.9,231.9,710.4,528.1,450.0,612.6,243.0,693.6,906.7,530.2,152.2,445.4,543.6,648.4,111.1,1046.2,761.2,380.5,299.7,379.1,1109.7,208.1,372.9,1112.8,1143.4,290.8,284.4,858.8,440.3,1026.7,212.6,488.7,548.9,238.6,232.5,1109.7,1136.0,492.6,59.3,375.3,579.1,578.4,458.3,921.5,571.1,953.2,340.8,907.2,712.4,484.3,451.1,393.7,225.7,815.2,594.9,183.2,54.0,357.6,277.9,344.2,1086.4,261.9,268.7,1054.2,27.3,981.0,549.3,1064.7,628.2,629.2,121.8,489.1
DF,184.3,395.8,292.2,772.5,115.0,440.8,239.6,195.9,791.0,747.9,291.0,732.3,308.8,130.8,105.8,117.5,133.4,301.5,306.2,0.0,857.8,242.2,256.2,384.1,292.6,675.0,130.4,103.8,130.6,1900.0,254.5,201.8,657.0,289.5,125.4,246.0,256.6,748.5,172.2,830.6,390.8,270.1,256.5,340.7,324.8,703.8,71.9,258.5,161.3,157.7,722.7,255.9,170.0,446.7,314.4,284.5,516.9,198.1,614.9,45.0,469.5,601.9,232.9,141.7,134.4,71.9,164.4,192.4,247.5,108.5,308.8,367.4,286.6,770.0,804.6,267.1,591.5,719.2,327.3,94.7,247.9,261.2,223.0,52.5,312.4,116.0,837.5,310.7,144.0,299.8,251.2,730.4,333.9,427.9,270.9,167.5,330.1,345.0,411.1,624.2,273.0,268.8,144.9,261.1,365.9,347.7,763.7,478.7,79.4,205.7,78.6,827.2,231.8,72.4,830.3,860.9,221.4,132.2,576.3,157.8,744.2,162.4,231.5,291.7,247.7,219.0,827.2,853.5,235.4,288.9,76.0,296.6,295.9,201.1,639.0,288.6,670.7,61.3,624.7,429.9,201.8,193.9,93.2,214.9,532.7,312.4,285.2,270.1,69.9,64.9,57.8,803.9,143.4,199.3,771.7,333.6,698.5,266.8,782.2,345.7,346.7,295.2,206.6
DG,714.0,596.4,606.6,111.4,881.3,526.1,956.9,772.0,220.5,226.8,1008.3,211.2,1026.1,853.3,868.7,780.9,894.0,1018.8,1023.5,812.7,0.0,771.9,785.9,800.8,994.2,317.7,788.3,866.7,893.5,1960.8,689.1,855.6,440.1,706.2,888.3,775.7,821.9,189.3,938.5,163.6,591.4,799.8,773.2,757.4,1042.1,164.6,834.8,975.8,924.2,914.2,286.9,699.2,918.5,462.4,1031.7,814.2,515.2,747.5,398.0,825.9,417.0,385.0,924.0,904.6,915.3,834.8,729.7,977.9,690.8,889.4,1026.1,784.1,1003.9,191.9,74.8,701.7,348.0,205.1,647.2,857.6,779.0,790.9,752.7,815.4,1029.7,779.4,65.7,650.2,923.8,716.5,767.9,294.6,1035.5,628.5,800.6,750.0,597.4,1046.6,577.7,342.0,838.3,986.1,925.8,768.7,782.6,1065.0,131.2,407.4,865.4,869.1,859.5,55.4,922.9,853.3,23.0,113.1,902.5,859.5,342.6,762.9,230.1,939.4,761.2,821.4,938.8,910.1,79.4,105.7,765.1,1006.2,851.6,632.3,602.9,730.8,299.0,698.7,267.4,824.2,382.4,846.6,753.9,723.6,874.1,906.0,353.3,635.8,1002.5,987.4,786.7,827.8,827.6,48.8,870.4,880.4,201.2,1050.9,204.8,733.1,112.5,762.4,763.4,1012.5,740.3
DH,72.0,519.5,415.9,778.8,323.6,564.5,399.2,319.6,914.7,871.6,450.6,856.0,468.4,295.6,311.0,223.2,336.3,461.1,465.8,255.0,805.8,0.0,13.9,507.8,436.5,798.7,230.6,309.0,335.8,2023.7,378.2,297.9,780.7,413.2,330.6,49.4,94.4,872.2,380.8,954.3,514.5,113.3,380.2,464.4,484.4,827.5,277.1,418.1,366.5,356.5,846.4,379.6,360.8,570.4,474.0,87.9,640.6,321.8,738.6,268.2,593.2,725.6,366.3,346.9,357.6,277.1,186.6,420.2,371.2,331.7,468.4,491.1,446.2,893.7,770.6,390.8,715.2,842.9,451.0,299.9,371.6,64.6,110.7,257.7,472.0,221.7,785.5,434.4,366.1,423.5,374.9,854.1,477.8,551.6,28.6,291.2,453.8,488.9,534.8,747.9,78.0,428.4,368.1,384.8,489.6,507.3,887.4,602.4,307.7,311.4,301.8,775.2,365.2,295.6,778.3,779.3,344.8,301.8,700.0,281.5,867.9,381.7,34.9,95.1,381.1,352.4,745.6,771.9,123.1,448.5,293.9,420.3,419.6,88.8,762.7,412.3,794.4,266.5,748.4,553.6,325.5,58.2,316.4,348.3,656.4,436.1,444.8,429.7,229.0,270.1,269.9,751.9,312.7,322.7,895.4,493.2,822.2,390.5,905.9,469.4,470.4,454.8,330.3
DI,101.4,544.0,440.4,803.3,348.1,589.0,423.7,344.1,939.2,889.6,475.1,880.5,492.9,320.1,335.5,247.7,360.8,485.6,490.3,279.5,830.3,24.4,0.0,532.3,461.0,813.1,255.1,333.5,360.3,2048.2,402.7,322.4,805.2,437.7,355.1,73.9,96.8,896.7,405.3,978.8,528.9,115.7,404.7,488.9,508.9,857.1,301.6,442.6,380.9,381.0,870.9,416.0,385.3,594.9,498.5,90.3,665.1,346.3,763.1,282.6,617.7,740.0,380.7,371.4,382.1,301.6,195.5,434.6,385.6,336.1,492.9,515.6,460.6,922.7,795.1,421.6,729.6,867.4,465.4,324.4,386.0,67.0,125.1,282.2,496.5,264.2,810.0,458.9,390.6,448.0,399.4,878.6,500.6,576.1,28.2,315.7,478.3,513.4,559.3,769.8,80.4,452.9,388.2,409.3,504.0,531.8,901.8,616.8,332.2,335.9,316.2,799.7,389.7,320.1,802.8,803.8,369.3,326.3,724.5,306.0,892.4,406.2,59.4,97.5,405.6,376.9,760.0,798.4,147.6,473.0,308.3,434.7,451.5,113.3,787.2,420.1,818.9,291.0,772.9,578.1,350.0,82.7,330.8,372.8,680.9,464.7,459.2,454.2,256.3,294.6,294.4,776.4,337.2,347.2,919.9,517.7,846.7,404.9,930.4,493.9,484.8,479.3,344.7
DJ,501.7,285.4,181.8,761.0,497.3,330.4,590.9,264.9,680.6,637.5,642.3,621.9,660.1,487.3,484.7,414.9,510.0,652.8,657.5,428.7,797.6,559.6,573.6,0.0,628.2,564.6,402.3,482.7,509.5,2062.0,305.8,489.6,546.6,130.3,504.3,563.4,574.0,838.9,551.1,720.2,280.4,587.5,346.1,172.1,676.1,814.2,450.8,609.8,540.2,530.2,612.3,192.1,548.9,336.3,665.7,601.9,406.5,320.4,504.5,441.9,359.1,491.5,558.0,520.6,531.3,450.8,481.8,577.1,183.7,505.4,660.1,198.8,637.9,659.6,708.9,318.4,481.1,854.7,216.9,473.6,271.9,578.6,540.4,431.4,663.7,413.4,777.3,200.3,522.9,127.4,340.8,620.0,669.5,317.5,588.3,311.1,230.4,680.6,300.7,513.8,590.4,620.1,541.8,287.7,28.1,699.0,653.3,368.3,481.4,503.1,475.5,767.0,556.9,469.3,770.1,780.7,536.5,493.5,738.3,319.8,879.7,541.3,548.9,609.1,572.8,544.1,747.0,773.3,552.8,640.2,467.6,249.0,185.5,518.5,528.6,191.6,560.3,440.2,514.3,68.1,250.8,511.3,490.1,540.0,422.3,202.0,636.5,621.4,402.7,443.8,443.6,743.7,504.4,514.4,661.3,684.9,860.5,226.0,671.8,48.9,46.8,646.5,233.2
DL,406.9,646.9,543.3,1023.6,382.9,691.9,54.4,447.0,1042.1,999.0,90.7,983.4,71.2,258.4,205.5,252.6,324.7,148.1,199.9,320.9,1108.9,464.8,478.8,635.2,0.0,926.1,293.5,309.4,285.5,2121.1,505.6,280.7,908.1,540.6,184.9,468.6,479.2,999.6,191.0,1081.7,641.9,492.7,507.6,591.8,226.3,954.9,300.0,105.1,316.2,330.5,973.8,507.0,206.8,697.8,174.4,507.1,768.0,449.2,866.0,314.1,720.6,853.0,120.8,296.6,403.5,239.3,387.0,219.7,498.6,350.2,71.2,618.5,188.1,1021.1,1055.7,518.2,842.6,970.3,578.4,249.6,499.0,483.8,445.6,300.6,192.5,254.1,1088.6,561.8,165.6,550.9,502.3,981.5,64.2,679.0,493.5,418.6,581.2,52.3,662.2,875.3,495.6,72.9,414.0,512.2,617.0,223.0,1014.8,729.8,349.1,265.1,347.7,1078.3,91.8,341.5,1081.4,1112.0,256.2,249.8,827.4,408.9,995.3,181.2,454.1,514.3,143.3,159.3,1078.3,1104.6,458.0,135.5,343.9,547.7,547.0,423.7,890.1,539.7,921.8,309.4,875.8,681.0,452.9,416.5,362.3,109.4,783.8,563.5,84.9,116.7,323.0,246.5,312.8,1055.0,227.3,234.1,1022.8,170.7,949.6,517.9,1033.3,596.8,597.8,129.6,457.7
DN,778.5,367.8,378.0,294.5,769.2,297.5,862.8,543.4,173.4,262.0,914.2,246.4,932.0,759.2,756.6,686.8,781.9,924.7,929.4,700.6,331.1,831.5,845.9,572.2,900.1,0.0,674.2,754.6,781.4,2143.9,460.5,761.5,175.9,477.6,776.2,835.3,845.9,372.4,823.0,253.7,362.8,859.4,544.6,528.8,948.0,347.7,722.7,881.7,812.1,802.1,105.1,482.5,820.8,233.8,937.6,873.8,286.6,518.9,133.8,713.8,188.4,120.8,829.9,792.5,803.2,722.7,753.7,849.0,462.2,767.3,932.0,555.5,909.8,227.1,242.4,473.1,67.7,388.2,418.6,745.5,550.4,850.5,812.3,703.3,935.6,704.5,310.8,421.6,794.8,487.9,539.3,112.8,939.7,399.9,860.2,521.4,368.8,952.5,349.1,145.2,862.3,892.0,809.3,540.1,554.0,970.9,186.8,178.8,753.3,775.0,747.4,300.5,828.8,741.2,303.6,314.2,808.4,765.4,525.7,534.3,413.2,813.2,820.8,881.0,844.7,816.0,280.5,306.8,824.7,912.1,739.5,403.7,394.6,790.4,173.5,463.5,53.1,712.1,102.1,618.0,525.3,783.2,762.0,811.9,124.7,403.1,908.4,893.3,674.6,715.7,715.5,277.2,776.3,786.3,154.1,956.8,387.9,504.5,205.3,533.8,534.8,918.4,511.7
DO,174.3,374.3,270.7,751.0,187.6,419.3,209.5,174.4,769.5,726.4,260.9,710.8,278.7,105.9,175.0,33.5,200.3,271.4,276.1,114.7,836.3,232.2,246.2,362.6,246.8,653.5,0.0,173.0,199.8,1878.5,233.0,108.2,635.5,268.0,194.6,236.0,246.6,727.0,191.1,809.1,369.3,260.1,235.0,319.2,294.7,682.3,141.1,228.4,230.5,220.5,701.2,234.4,171.1,425.2,284.3,274.5,495.4,176.6,593.4,132.2,448.0,580.4,176.6,210.9,221.6,141.1,154.4,224.7,226.0,195.7,278.7,345.9,256.5,748.5,783.1,245.6,570.0,697.7,305.8,163.9,226.4,251.2,213.0,121.7,282.3,32.0,816.0,289.2,176.4,278.3,229.7,708.9,288.1,406.4,260.9,146.0,308.6,299.2,389.6,602.7,263.0,238.7,232.1,239.6,344.4,317.6,742.2,457.2,171.7,121.7,165.8,805.7,175.5,159.6,808.8,839.4,155.1,112.1,554.8,136.3,722.7,192.0,221.5,281.7,191.4,162.7,805.7,832.0,225.4,258.8,157.9,275.1,274.4,191.1,617.5,267.1,649.2,130.5,603.2,408.4,180.3,183.9,180.4,158.6,511.2,290.9,255.1,240.0,72.4,134.1,133.9,782.4,123.0,133.0,750.2,303.5,677.0,245.3,760.7,324.2,325.2,265.1,185.1
DQ,224.4,435.9,332.3,812.6,99.6,480.9,254.2,236.0,831.1,788.0,305.6,772.4,323.4,145.4,120.4,157.6,27.2,316.1,320.8,109.9,897.9,282.3,296.3,424.2,307.2,715.1,165.0,0.0,65.6,1940.1,294.6,216.4,697.1,329.6,140.0,286.1,296.7,788.6,186.8,870.7,430.9,310.2,296.6,380.8,339.4,743.9,60.2,273.1,77.2,68.2,762.8,296.0,184.6,486.8,329.0,324.6,557.0,238.2,655.0,80.5,509.6,642.0,247.5,54.5,116.2,86.5,204.5,212.8,287.6,42.8,323.4,407.5,301.2,810.1,844.7,307.2,631.6,759.3,367.4,88.8,288.0,301.3,263.1,97.7,327.0,156.1,877.6,350.8,158.6,339.9,291.3,770.5,348.5,468.0,311.0,207.6,370.2,359.6,451.2,664.3,313.1,283.4,126.7,301.2,406.0,362.3,803.8,518.8,65.8,245.8,81.2,867.3,246.4,75.0,870.4,901.0,236.0,146.8,616.4,197.9,784.3,177.0,271.6,331.8,262.3,233.6,867.3,893.6,275.5,303.5,60.6,336.7,336.0,241.2,679.1,328.7,710.8,106.5,664.8,470.0,241.9,234.0,75.0,229.5,572.8,352.5,299.8,284.7,110.0,79.5,109.9,844.0,158.0,213.9,811.8,348.2,738.6,306.9,822.3,385.8,386.8,309.8,246.7
DU,248.1,459.6,356.0,836.3,132.7,504.6,227.2,259.7,854.8,811.7,278.6,796.1,296.4,159.4,93.4,181.3,39.1,289.1,293.8,133.6,921.6,306.0,320.0,447.9,280.2,738.8,188.7,70.7,0.0,1963.8,318.3,230.4,720.8,353.3,113.0,309.8,320.4,812.3,159.8,894.4,454.6,333.9,320.3,404.5,312.4,767.6,93.3,246.1,30.6,66.4,786.5,319.7,157.6,510.5,302.0,348.3,580.7,261.9,678.7,113.6,533.3,665.7,220.5,11.1,138.0,52.0,228.2,185.8,311.3,64.6,296.4,431.2,274.2,833.8,868.4,330.9,655.3,783.0,391.1,38.3,311.7,325.0,286.8,113.3,300.0,179.8,901.3,374.5,131.6,363.6,315.0,794.2,321.5,491.7,334.7,231.3,393.9,332.6,474.9,688.0,336.8,256.4,148.5,324.9,429.7,335.3,827.5,542.5,98.9,217.9,104.7,891.0,219.4,108.1,894.1,924.7,209.0,160.8,640.1,221.6,808.0,150.0,295.3,355.5,235.3,206.6,891.0,917.3,299.2,276.5,93.7,360.4,359.7,264.9,702.8,352.4,734.5,122.1,688.5,493.7,265.6,257.7,96.8,202.5,596.5,376.2,272.8,257.7,133.7,59.2,125.5,867.7,172.0,186.9,835.5,321.2,762.3,330.6,846.0,409.5,410.5,282.8,270.4
DZ,2120.8,2208.9,2146.0,2012.6,2116.4,2253.9,2210.0,2040.1,2190.4,2196.7,2261.4,2181.1,2279.2,2106.4,2103.8,2034.0,2129.1,2283.6,2276.6,2047.8,2097.9,2178.7,2192.7,2246.3,2247.3,2287.6,2021.4,2101.8,2128.6,0.0,2028.9,2108.7,2410.0,2151.7,2123.4,2182.5,2193.1,1988.6,2170.2,2133.5,2203.9,2206.6,2003.2,2202.9,2295.2,1943.9,2069.9,2240.6,2159.3,2149.3,2256.8,2118.1,2168.0,2259.8,2261.1,2221.0,2330.0,1944.8,2367.9,2061.0,2282.6,2354.9,2177.1,2139.7,2150.4,2069.9,2100.9,2196.2,2109.7,2124.5,2279.2,2229.6,2283.4,2161.8,2044.7,2041.5,2317.9,1959.3,2186.6,2092.7,2110.1,2197.7,2159.5,2050.5,2282.8,2032.5,2077.6,2172.9,2142.0,2162.0,1997.9,2264.5,2288.6,2241.0,2207.4,1941.9,2104.5,2299.7,2224.2,2311.9,2209.5,2239.2,2160.9,2052.5,2228.1,2289.7,2101.1,2291.8,2100.5,2122.2,2094.6,2067.3,2176.0,2088.4,2070.4,2130.4,2155.6,2112.6,1816.4,1932.2,1984.3,2160.4,2168.0,2228.2,2191.9,2163.2,2096.7,2123.0,2171.9,2271.0,2086.7,2071.0,2142.3,2137.6,2268.9,2150.8,2237.3,2059.3,2352.3,2292.1,1995.1,2130.4,2109.2,2159.1,2323.2,2106.6,2255.6,2252.2,2021.8,2062.9,2062.7,2044.0,2123.5,2133.5,2171.1,2304.0,1938.6,2129.0,2082.4,2207.9,2208.9,2216.3,2031.3
