from_stop,AB,AE,AF,AH,AN,AO,AP,AW,AX,AZ,CF,CG,CH,CJ,CX,DL,DZ,EF,EJ,EQ,EW,FH,FM,FU,FW,FX,FY,GB,GC,GD,GE,GH,GN,GQ,GS,GW,GX,GY,HD,HH,HK,HS,HT,IE,IJ,IX,JG,JR,JS,JU,JV,JX,JY,KF,KJ,KK,KO,KS,KT,KZ,LQ,LU,LV,LX,LY,MY,NG,NT,NW,NZ,OB,OG,OK,OP,PI,PN,PQ,PT,PW,PX,QC,QD,QH,QM,QO,RC,RN,RU,RV,SF,SN,SW,SX,SY,SZ,TG,TM,TP,TS,UO,US,UT,VB,VF,VU,VY,WS,WX,XN,YA,YJ,YK,YQ,YZ,ZC,ZH,ZQ
CF,539.7,224.8,255.1,718.8,207.3,782.5,226.3,519.6,902.2,330.7,0.0,271.2,935.2,448.0,684.2,240.7,951.5,132.2,106.0,376.5,897.6,289.5,315.3,147.8,449.0,588.2,956.0,570.4,561.4,266.8,791.1,324.2,63.7,845.4,956.9,16.5,1734.5,700.4,269.0,235.4,302.0,306.8,478.0,632.9,66.7,873.9,272.5,961.9,633.1,324.9,271.2,895.4,0.2,899.5,154.0,953.1,253.1,167.7,290.0,863.1,113.0,700.4,495.5,448.5,271.2,458.4,963.0,441.6,324.5,162.7,394.8,591.1,379.2,479.9,172.0,328.4,498.9,885.4,546.2,452.0,576.7,471.7,529.1,195.1,116.6,408.7,157.2,389.6,229.1,212.2,570.8,507.4,591.6,892.8,622.4,444.9,164.2,313.6,448.9,378.5,442.4,224.4,226.3,143.6,11.9,747.9,994.0,190.6,930.1,184.6,464.8,293.7,880.5,277.3,402.7,524.1,375.8
CG,637.4,237.9,182.5,816.5,209.0,880.2,226.4,587.0,1052.2,307.9,245.4,0.0,1085.2,598.0,781.9,52.5,1101.5,193.5,351.5,412.3,995.3,264.8,292.5,212.9,599.0,685.9,1106.0,592.7,581.2,146.8,888.8,291.0,309.2,943.1,1054.6,262.0,1884.5,798.1,149.6,226.6,182.0,284.0,575.7,730.6,216.9,1023.9,84.3,1059.6,730.8,302.1,0.0,1045.4,245.2,1049.5,215.3,1093.1,133.1,206.2,170.0,960.8,139.6,798.1,593.2,470.8,0.0,547.5,1113.0,591.6,204.5,224.0,370.1,688.8,354.5,629.9,147.3,208.4,596.6,983.1,643.9,602.0,674.4,494.0,626.8,170.4,136.3,414.0,109.4,539.6,229.2,231.4,638.2,605.1,689.3,1042.8,720.1,594.9,121.5,290.8,478.8,445.9,531.5,226.1,226.4,250.7,257.4,845.6,1091.7,340.6,1080.1,192.7,614.8,186.3,978.2,157.3,552.7,591.5,351.1
CH,649.4,1230.3,1009.0,429.8,1167.6,366.6,1218.8,586.2,152.2,943.1,1094.0,1108.1,0.0,747.6,573.1,1109.3,16.3,1150.8,1200.1,931.7,343.9,930.5,921.4,1126.8,788.2,690.3,136.4,649.6,617.7,1074.9,446.6,1035.2,1157.8,361.3,287.9,1110.6,1817.3,448.2,998.1,989.3,1070.2,875.1,679.3,567.8,1085.3,118.9,1141.1,292.9,685.8,931.0,1108.1,92.5,1093.8,74.7,1172.6,216.1,1041.2,1146.7,1082.4,354.4,1098.2,589.3,694.1,689.8,1108.1,781.0,226.0,780.8,1092.7,1192.4,1069.0,693.2,951.0,779.5,1040.3,1096.6,745.5,331.7,707.8,751.6,629.4,666.6,727.7,1088.6,1094.9,933.4,1096.0,738.7,1221.6,966.1,534.6,706.0,611.5,142.8,675.1,744.5,1090.1,881.9,681.8,665.8,765.0,1184.7,1218.8,1108.3,1106.0,521.8,325.0,1076.2,193.1,1232.0,764.4,1022.8,371.8,1045.5,739.3,515.5,1095.3
CJ,151.1,544.1,464.8,330.2,566.2,393.9,556.8,256.0,737.8,398.9,434.3,563.9,733.8,0.0,295.6,565.1,750.1,491.1,540.4,387.5,509.0,386.3,377.2,467.1,90.0,199.6,745.5,195.1,186.1,530.7,402.5,501.1,498.1,456.8,568.3,450.9,1937.7,311.8,453.9,445.1,511.3,330.9,89.4,244.3,425.6,731.9,596.9,573.3,244.5,386.8,563.9,732.4,434.1,714.6,512.9,691.3,497.0,487.0,538.2,474.5,471.9,311.8,106.9,88.3,563.9,155.8,688.2,82.6,548.5,521.6,524.8,202.5,406.8,31.8,496.1,552.4,110.3,496.8,157.6,39.4,188.1,96.4,140.5,554.0,475.5,389.2,516.1,87.0,559.6,421.9,307.2,118.8,203.0,728.4,233.8,32.3,523.1,338.3,80.3,166.2,139.8,583.3,556.8,462.9,446.3,359.3,605.4,416.5,743.1,550.8,52.2,478.6,491.9,501.3,41.1,260.5,551.1
CX,210.1,769.0,671.7,125.4,791.1,189.1,881.5,462.9,533.0,605.8,659.2,770.8,529.0,304.3,0.0,772.0,545.3,716.0,765.3,594.4,304.2,593.2,584.1,692.0,314.9,176.3,540.7,402.0,393.0,737.6,197.7,708.0,723.0,252.0,363.5,675.8,2144.6,107.0,660.8,652.0,718.2,537.8,206.0,53.8,650.5,527.1,803.8,368.5,303.5,593.7,770.8,527.6,659.0,509.8,737.8,486.5,703.9,711.9,745.1,269.7,696.8,16.2,220.8,295.2,770.8,386.4,483.4,307.5,755.4,746.5,731.7,179.2,613.7,336.2,703.0,759.3,272.2,292.0,234.5,308.3,247.1,303.3,254.4,751.3,700.4,596.1,758.7,311.9,884.3,628.8,514.1,232.7,97.5,523.6,292.8,301.2,748.0,545.2,287.2,373.1,370.4,808.2,881.5,687.8,671.2,102.8,400.6,641.4,538.3,775.7,321.1,685.5,287.1,708.2,266.0,467.4,758.0
DL,632.9,233.4,178.0,812.0,204.5,875.7,221.9,582.5,1047.7,303.4,240.9,62.8,1080.7,593.5,777.4,0.0,1097.0,189.0,347.0,407.8,990.8,260.3,288.0,208.4,594.5,681.4,1101.5,588.2,579.2,142.3,884.3,296.6,304.7,938.6,1050.1,257.5,1880.0,793.6,145.1,222.1,162.8,279.5,571.2,726.1,212.4,1019.4,40.4,1055.1,726.3,297.6,62.8,1040.9,240.7,1045.0,210.8,1088.6,128.6,201.7,165.5,956.3,135.1,793.6,588.7,466.3,62.8,543.0,1108.5,587.1,200.0,219.5,365.6,684.3,350.0,625.4,142.8,203.9,592.1,978.6,639.4,597.5,669.9,489.5,622.3,165.9,131.8,409.5,104.9,535.1,224.7,226.9,633.7,600.6,684.8,1038.3,715.6,590.4,117.0,286.9,474.3,441.4,527.0,221.6,221.9,246.2,252.9,841.1,1087.2,336.1,1075.6,235.1,610.3,181.8,973.7,152.8,548.2,587.0,346.6
DZ,663.2,1244.1,1022.8,443.6,1181.4,380.4,1232.6,600.0,166.0,956.9,1107.8,1121.9,13.8,761.4,586.9,1123.1,0.0,1164.6,1213.9,945.5,357.7,944.3,935.2,1140.6,802.0,704.1,150.2,663.4,634.0,1088.7,460.4,1057.5,1171.6,375.1,301.7,1124.4,1831.1,462.0,1011.9,1003.1,1084.0,888.9,693.1,581.6,1099.1,132.7,1154.9,306.7,699.6,944.8,1121.9,106.3,1107.6,88.5,1186.4,219.9,1055.0,1160.5,1096.2,368.2,1112.0,603.1,707.9,703.6,1121.9,794.8,239.8,794.6,1106.5,1195.1,1082.8,707.0,964.8,793.3,1052.0,1110.4,759.3,345.5,721.6,765.4,643.2,680.4,741.5,1102.4,1108.7,947.2,1109.8,752.5,1235.4,979.9,548.4,719.8,625.3,156.6,688.9,758.3,1103.9,896.3,695.6,679.6,778.8,1198.5,1232.6,1122.1,1119.8,535.6,338.8,1090.0,206.9,1245.8,778.2,1036.6,385.6,1059.3,753.1,529.3,1109.1
EF,588.2,177.6,242.3,767.3,147.1,831.0,166.1,568.1,950.7,367.7,143.9,211.0,983.7,496.5,732.7,180.5,1000.0,0.0,250.0,316.3,946.1,229.3,352.3,152.6,497.5,636.7,1004.5,633.1,624.1,206.6,839.6,264.0,207.7,893.9,1005.4,160.5,1783.0,748.9,209.4,286.4,241.8,343.8,526.5,681.4,115.4,922.4,212.3,1010.4,681.6,361.9,211.0,943.9,143.7,948.0,21.7,1001.6,192.9,145.9,229.8,911.6,52.8,748.9,544.0,511.2,211.0,506.9,1011.5,490.1,264.3,38.5,334.6,639.6,319.0,528.4,113.8,268.2,547.4,933.9,594.7,500.5,625.2,534.4,577.6,134.9,56.4,348.5,97.0,438.1,168.9,260.7,619.3,555.9,640.1,941.3,670.9,493.4,104.0,350.6,519.2,427.0,490.9,164.2,166.1,192.1,155.9,796.4,1042.5,239.1,978.6,179.3,513.3,246.1,929.0,217.1,451.2,572.6,315.6
EJ,649.1,334.2,364.5,828.2,316.7,891.9,335.7,629.0,1011.6,440.1,109.3,380.6,1044.6,557.4,793.6,350.1,1060.9,241.6,0.0,485.9,1007.0,398.9,424.7,257.2,558.4,697.6,1065.4,679.8,668.3,376.2,900.5,425.1,64.3,954.8,1066.3,122.8,1843.9,809.8,378.4,344.8,411.4,416.2,587.4,742.3,176.1,983.3,381.9,1071.3,742.5,434.3,380.6,1004.8,109.5,1008.9,263.4,1052.5,362.5,277.1,399.4,972.5,222.4,809.8,604.9,557.9,380.6,567.8,1072.4,551.0,433.9,272.1,504.2,700.5,488.6,589.3,281.4,437.8,608.3,994.8,655.6,561.4,686.1,581.1,638.5,304.5,226.0,518.1,266.6,499.0,338.5,321.6,680.2,616.8,701.0,1002.2,731.8,554.3,273.6,423.0,558.3,487.9,551.8,333.8,335.7,253.0,97.7,857.3,1103.4,300.0,1039.5,340.9,574.2,403.1,989.9,386.7,512.1,633.5,485.2
EQ,471.2,388.3,374.4,650.3,325.6,714.0,376.8,420.8,1057.9,277.5,362.0,343.1,973.9,397.5,615.7,312.6,990.2,310.1,468.1,0.0,829.1,88.5,255.8,363.3,423.7,519.7,1065.6,426.5,417.5,338.7,722.6,201.7,425.8,776.9,888.4,378.6,2001.1,631.9,341.5,323.7,373.9,209.5,409.5,564.4,333.5,1052.0,344.4,893.4,564.6,265.4,343.1,1052.5,361.8,1034.7,331.9,1011.4,325.0,356.6,361.9,794.6,256.2,631.9,427.0,304.6,343.1,381.3,1008.3,416.3,396.4,340.6,227.0,522.6,112.4,429.4,196.2,400.3,430.4,816.9,477.7,401.5,508.2,327.8,460.6,246.6,252.9,141.9,307.7,339.0,379.6,300.5,472.0,438.9,523.1,1048.5,553.9,394.4,256.1,216.9,312.6,279.7,365.3,342.7,376.8,410.2,374.0,679.4,925.5,457.2,1063.2,390.0,414.3,378.2,812.0,349.2,377.4,425.3,253.3
EW,409.5,1002.4,905.1,189.9,1024.5,126.7,1114.9,696.3,312.8,839.2,892.6,1004.2,308.8,537.7,333.2,1005.4,325.1,949.4,998.7,827.8,0.0,826.6,817.5,925.4,548.3,450.4,320.5,635.4,626.4,971.0,206.7,941.4,956.4,121.4,143.3,909.2,2085.2,208.3,894.2,885.4,951.6,771.2,439.4,327.9,883.9,306.9,1037.2,148.3,445.9,827.1,1004.2,307.4,892.4,289.6,971.2,266.3,937.3,945.3,978.5,114.5,930.2,349.4,454.2,528.6,1004.2,619.8,263.2,540.9,988.8,979.9,965.1,453.3,847.1,569.6,936.4,992.7,505.6,44.0,467.9,541.7,389.5,536.7,487.8,984.7,933.8,829.5,992.1,545.3,1117.7,862.2,802.5,466.1,371.6,303.4,435.2,534.6,981.4,778.6,520.6,606.5,603.8,1041.6,1114.9,921.2,904.6,281.9,180.4,874.8,318.1,1009.1,554.5,918.9,131.9,941.6,499.4,700.8,991.4
FH,448.4,299.7,285.8,627.5,237.0,691.2,288.2,398.0,1035.1,254.7,273.4,254.5,951.1,374.7,592.9,224.0,967.4,221.5,379.5,86.9,806.3,0.0,233.0,274.7,400.9,496.9,1042.8,403.7,394.7,250.1,699.8,114.7,337.2,754.1,865.6,290.0,1912.5,609.1,252.9,329.9,270.6,186.7,386.7,541.6,244.9,1029.2,255.8,870.6,541.8,242.6,254.5,1029.7,273.2,1011.9,243.3,988.6,236.4,268.0,273.3,771.8,167.6,609.1,404.2,281.8,254.5,358.5,985.5,393.5,307.8,252.0,105.2,499.8,89.6,406.6,109.7,311.7,407.6,794.1,454.9,378.7,485.4,305.0,437.8,158.0,164.3,119.1,219.1,316.2,291.0,277.7,449.2,416.1,500.3,1025.7,531.1,371.6,167.5,194.1,289.8,256.9,342.5,254.1,288.2,321.6,285.4,656.6,902.7,368.6,1040.4,301.4,391.5,289.6,789.2,260.6,354.6,402.5,164.7
FM,455.5,362.5,178.2,634.6,346.8,698.3,382.2,405.1,979.4,73.9,285.6,277.3,1012.4,381.8,600.0,278.5,1028.7,342.4,391.7,230.4,813.4,229.2,0.0,285.5,408.0,504.0,1033.2,410.8,401.8,244.1,706.9,344.0,349.4,761.2,872.7,302.2,1811.7,616.2,167.3,158.5,224.7,102.1,393.8,548.7,276.9,951.1,310.3,877.7,548.9,87.6,277.3,972.6,285.4,976.7,364.2,1020.3,210.4,305.4,251.6,778.9,277.4,616.2,411.3,288.9,277.3,365.6,1040.2,400.6,261.9,372.9,367.7,506.9,249.7,413.7,285.1,265.8,414.7,801.2,462.0,385.8,492.5,312.1,444.9,308.2,274.1,232.1,265.2,323.3,385.0,135.3,456.3,423.2,507.4,970.0,538.2,378.7,259.3,109.5,296.9,264.0,349.6,363.9,382.2,277.5,297.6,663.7,909.8,249.8,1007.3,369.2,398.6,192.0,796.3,214.7,361.7,409.6,394.0
FU,558.8,134.4,229.0,737.9,214.5,801.6,147.1,538.7,921.3,304.6,154.1,229.5,954.3,467.1,703.3,194.7,970.6,146.8,260.2,409.0,916.7,296.7,289.2,0.0,468.1,607.3,975.1,589.5,580.5,238.8,810.2,333.0,217.9,864.5,976.0,170.7,1753.6,719.5,241.6,209.3,259.3,280.7,497.1,652.0,170.2,893.0,226.5,981.0,652.2,298.8,229.5,914.5,153.9,918.6,168.6,962.2,225.1,18.5,262.0,882.2,120.2,719.5,514.6,467.6,229.5,477.5,982.1,460.7,296.5,177.3,402.0,610.2,386.4,499.0,179.2,300.4,518.0,904.5,565.3,471.1,595.8,490.8,548.2,202.3,123.8,410.7,101.5,408.7,149.9,186.1,589.9,526.5,610.7,911.9,641.5,464.0,193.5,288.1,468.0,397.6,461.5,231.6,147.1,109.8,166.1,767.0,1013.1,209.7,949.2,141.1,483.9,267.6,899.6,249.3,421.8,543.2,383.0
FW,192.6,536.0,479.8,371.7,558.1,435.4,548.7,277.5,779.3,413.9,426.2,578.9,775.3,100.9,337.1,580.1,791.6,483.0,532.3,402.5,550.5,401.3,392.2,459.0,0.0,241.1,787.0,216.6,207.6,545.7,444.0,516.1,490.0,498.3,609.8,442.8,1943.5,353.3,468.9,460.1,526.3,345.9,130.9,285.8,417.5,773.4,611.9,614.8,286.0,401.8,578.9,773.9,426.0,756.1,504.8,732.8,512.0,478.9,553.2,516.0,463.8,353.3,148.4,109.8,578.9,147.7,729.7,50.5,563.5,513.5,539.8,244.0,421.8,132.8,511.1,567.4,151.8,538.3,199.1,104.9,229.6,117.9,182.0,545.9,467.4,404.2,508.0,78.9,551.5,436.9,328.7,160.3,244.5,769.9,275.3,97.8,515.0,353.3,101.8,181.2,131.7,575.2,548.7,454.8,438.2,400.8,646.9,408.4,784.6,542.7,117.7,493.6,533.4,516.3,55.6,282.0,566.1
FX,115.5,674.4,577.1,284.0,696.5,347.7,786.9,368.3,691.6,511.2,564.6,676.2,687.6,209.7,197.7,677.4,703.9,621.4,670.7,499.8,462.8,498.6,489.5,597.4,220.3,0.0,699.3,307.4,298.4,643.0,356.3,613.4,628.4,410.6,522.1,581.2,2050.0,265.6,566.2,557.4,623.6,443.2,111.4,146.4,555.9,685.7,709.2,527.1,208.9,499.1,676.2,686.2,564.4,668.4,643.2,645.1,609.3,617.3,650.5,428.3,602.2,213.9,126.2,200.6,676.2,291.8,642.0,212.9,660.8,651.9,637.1,2.9,519.1,241.6,608.4,664.7,177.6,450.6,139.9,213.7,152.5,208.7,159.8,656.7,605.8,501.5,664.1,217.3,789.7,534.2,419.5,138.1,105.1,682.2,198.2,206.6,653.4,450.6,192.6,278.5,275.8,713.6,786.9,593.2,576.6,261.4,559.2,546.8,696.9,681.1,226.5,590.9,445.7,613.6,171.4,372.8,663.4
FY,613.7,1206.6,1109.3,394.1,1228.7,330.9,1319.1,654.3,93.5,1043.4,1096.8,1208.4,109.0,741.9,537.4,1209.6,125.3,1153.6,1202.9,1032.0,308.2,1030.8,1021.7,1129.6,752.5,654.6,0.0,717.7,688.3,1175.2,410.9,1145.6,1160.6,325.6,252.2,1113.4,1885.4,412.5,1098.4,1089.6,1155.8,975.4,643.6,532.1,1088.1,105.6,1241.4,257.2,650.1,1031.3,1208.4,107.1,1096.6,89.8,1175.4,152.4,1141.5,1149.5,1182.7,318.7,1134.4,553.6,658.4,732.8,1208.4,824.0,172.3,745.1,1193.0,1184.1,1169.3,657.5,1051.3,773.8,1140.6,1196.9,709.8,296.0,672.1,745.9,593.7,734.7,692.0,1188.9,1138.0,1033.7,1196.3,749.5,1321.9,1066.4,602.7,670.3,575.8,84.1,639.4,738.8,1185.6,982.8,724.8,733.9,808.0,1245.8,1319.1,1125.4,1108.8,486.1,289.3,1079.0,139.4,1213.3,758.7,1123.1,336.1,1145.8,703.6,583.6,1195.6
