from_stop,AI,AP,BA,BR,BX,BZ,CA,CI,CJ,CV,CW,CY,CZ,DO,EK,EL,EP,ER,FC,FH,FR,FV,GI,GP,GR,GW,GX,HK,HL,HO,HQ,HY,ID,IM,IV,IY,JE,JX,KB,KC,KD,KH,KI,KJ,KN,KO,KV,LI,LX,MJ,NA,NH,NI,NM,NO,NR,NZ,OE,OF,OJ,OQ,OS,OX,PA,PB,PP,PU,QJ,QL,RG,SG,SN,SV,TF,TM,TX,UK,UW,UZ,VB,VG,VH,VJ,VM,VW,WS,WU,XO,XR,XT,YA,YR,YV,YZ,ZL
CW,328.8,396.6,736.0,412.3,759.6,221.4,444.8,538.8,552.6,378.1,0.0,538.3,425.6,203.5,426.5,749.3,699.2,748.3,773.7,313.4,384.7,369.4,518.3,381.9,256.7,407.5,440.8,765.9,84.0,104.4,683.3,343.5,419.2,472.1,719.8,474.7,303.0,435.4,428.9,267.2,321.0,351.1,392.2,2387.3,434.8,348.9,496.5,635.0,654.0,428.0,297.4,283.9,306.9,433.3,402.5,387.2,473.4,219.4,662.5,263.9,278.9,725.5,402.7,377.4,667.2,666.1,387.3,377.2,330.4,472.5,801.4,159.9,426.9,251.2,696.9,231.5,369.9,233.5,335.9,338.7,228.4,411.6,771.9,338.8,729.6,804.8,402.9,632.8,347.4,169.1,203.9,738.1,576.7,346.3,365.4
CY,201.7,240.5,248.9,194.8,363.3,417.3,106.0,25.1,156.7,194.3,528.6,0.0,159.1,398.3,157.6,291.3,248.1,259.9,339.7,226.5,191.8,163.3,53.4,208.7,332.5,189.7,210.3,354.9,453.0,443.9,244.6,207.9,123.4,62.9,246.7,166.4,271.4,217.6,258.2,286.0,299.1,224.0,215.7,2229.7,142.8,262.4,51.3,136.9,166.2,210.2,306.2,258.7,263.4,113.0,187.8,206.6,103.3,391.4,223.8,285.3,277.7,266.0,180.9,191.5,201.1,230.7,191.3,175.5,238.8,87.4,332.6,405.2,145.3,364.3,254.2,329.5,201.4,320.1,234.4,192.2,303.0,167.4,298.8,239.5,260.0,318.2,238.6,236.9,260.3,360.7,392.1,265.0,102.6,200.8,245.1
CZ,262.7,327.6,351.5,287.1,469.9,273.7,173.3,145.7,248.2,91.2,384.1,145.2,0.0,283.5,292.1,392.8,329.1,362.9,446.3,98.2,88.7,224.3,156.7,70.8,247.1,83.6,306.2,461.5,311.8,299.5,325.6,93.1,184.4,183.5,353.3,69.9,252.2,111.5,110.0,262.9,139.9,285.0,230.1,2327.8,48.1,271.4,171.9,260.0,273.9,104.1,191.4,115.1,186.3,233.6,54.3,73.9,88.6,276.6,304.8,182.2,244.9,359.0,105.5,53.5,307.7,311.7,91.9,16.3,74.6,208.0,428.3,263.2,162.2,220.7,409.1,185.9,116.8,224.7,215.2,253.2,240.3,50.4,405.4,126.3,366.6,425.6,299.6,329.3,167.8,221.3,276.5,371.6,205.2,76.8,254.1
DO,188.7,260.0,599.4,275.7,647.4,186.0,315.6,393.6,393.3,265.1,190.7,393.1,283.9,0.0,292.8,624.3,554.3,610.4,623.8,185.5,273.1,287.3,403.9,233.0,116.6,279.3,315.7,639.0,127.7,135.1,550.8,197.6,291.3,342.9,579.7,309.5,178.7,307.2,337.4,127.1,142.9,211.0,251.5,2294.7,293.1,208.8,367.3,507.9,521.8,299.8,98.8,156.0,247.2,305.4,228.4,209.6,332.0,61.1,530.0,337.6,138.8,599.0,235.6,249.2,534.1,536.9,217.3,270.5,220.8,366.6,665.6,79.9,297.7,189.1,657.0,171.8,259.8,109.3,183.3,202.1,91.8,248.8,631.8,203.5,593.0,651.2,261.9,492.7,267.5,58.3,62.9,598.0,453.1,207.9,225.3
EK,118.9,165.8,349.7,49.3,372.4,424.0,108.2,135.6,179.9,311.1,421.0,160.4,287.5,274.6,0.0,373.0,346.9,365.1,362.4,222.6,305.3,80.5,135.5,335.7,224.8,280.2,52.6,364.0,358.9,352.7,343.4,315.1,72.4,126.9,333.5,275.8,168.3,308.1,329.9,191.9,184.6,174.2,75.4,2106.0,279.0,128.1,141.1,248.7,267.7,300.7,232.3,212.7,315.7,81.0,291.9,259.5,234.8,304.6,322.6,377.6,183.6,352.8,177.9,268.6,287.9,329.5,331.5,285.8,221.6,73.6,367.0,311.1,90.3,318.3,351.6,283.5,377.3,257.1,127.3,105.4,193.7,298.7,385.6,192.1,360.4,384.0,137.8,260.1,385.0,285.3,265.9,351.8,209.4,291.9,110.8
EL,378.4,449.6,103.6,325.3,198.0,525.2,331.4,322.2,272.7,473.4,659.2,301.7,439.0,545.5,309.5,0.0,230.7,115.0,165.7,436.7,462.2,340.0,235.1,487.8,500.6,468.8,337.3,189.6,597.1,595.8,212.0,470.7,321.5,337.3,195.1,436.8,421.3,496.7,450.7,462.8,442.4,423.7,336.5,2084.2,424.8,385.9,285.6,226.2,184.9,489.3,490.1,468.9,431.0,314.6,453.0,480.5,393.5,546.5,246.3,508.6,454.5,195.8,424.1,470.6,123.0,216.9,445.4,445.9,449.0,330.8,138.5,542.8,344.9,460.3,60.6,437.4,480.5,488.2,385.1,381.2,464.6,441.3,237.4,427.6,219.8,135.0,424.8,232.2,471.5,518.4,536.8,233.5,241.5,461.4,368.6
EP,378.1,416.9,140.5,349.3,197.6,601.3,305.2,275.6,330.8,421.3,716.7,249.6,380.1,569.4,347.1,236.3,0.0,129.8,174.0,410.5,418.8,339.7,217.7,435.7,533.2,416.7,382.0,189.2,653.7,564.9,31.9,405.4,299.8,279.6,78.9,393.4,462.5,444.6,356.2,486.7,493.9,400.4,388.0,2257.4,369.8,437.4,259.4,233.2,280.8,437.2,503.7,442.7,403.4,330.2,396.4,415.2,330.3,599.4,45.8,443.3,478.4,91.1,358.8,382.2,148.5,36.4,388.8,396.5,422.8,304.6,152.3,605.9,277.6,548.3,251.8,513.5,420.8,520.8,436.6,368.6,488.5,376.0,156.2,423.5,103.1,143.3,415.0,400.2,487.3,584.3,560.7,108.1,287.5,404.8,420.1
ER,402.9,478.5,10.6,363.7,155.1,588.6,288.9,268.4,200.9,419.6,720.8,247.9,385.2,574.4,374.5,121.4,138.8,0.0,131.5,410.5,417.1,364.5,201.3,434.0,538.2,415.0,396.9,146.7,658.7,666.1,116.0,425.1,324.6,276.1,92.2,392.1,468.1,442.9,405.1,491.7,507.4,445.0,401.5,2147.6,371.0,450.9,243.1,159.8,164.6,435.5,523.4,442.7,423.1,344.2,413.1,431.9,348.4,604.4,136.0,463.0,483.4,68.4,407.6,416.8,77.4,112.3,408.5,400.8,422.8,318.6,104.3,610.9,329.3,548.3,142.0,500.8,426.7,525.8,450.1,418.8,493.9,392.7,123.0,423.9,140.9,100.8,482.1,299.5,485.6,585.1,565.7,146.3,196.8,424.5,433.6
FC,443.4,553.2,134.0,428.5,23.6,590.2,384.9,355.3,324.3,501.0,720.3,329.3,465.8,649.1,376.1,172.5,174.0,122.9,0.0,490.2,498.5,405.0,297.3,515.4,612.9,496.4,402.3,15.2,662.1,669.5,132.0,514.6,395.2,359.3,148.8,473.1,542.8,524.3,519.8,566.4,507.4,536.9,401.5,2149.2,449.5,450.9,339.1,268.6,288.0,516.9,555.1,522.4,496.0,409.9,494.5,513.3,438.3,611.5,152.0,560.6,558.1,84.4,487.3,498.2,183.9,169.5,498.0,482.2,502.5,384.3,24.1,607.8,409.0,525.3,226.9,502.4,508.1,600.5,450.1,493.5,568.2,474.1,68.9,501.3,87.2,27.5,498.5,398.5,536.5,577.5,640.4,92.2,319.8,507.5,433.6
FH,184.0,216.2,430.5,212.1,527.0,190.7,130.0,224.7,207.7,165.3,302.0,224.2,78.9,227.0,164.4,438.0,368.7,441.5,506.7,0.0,174.3,145.6,235.0,121.9,208.9,89.3,206.9,521.9,228.8,217.3,365.2,98.8,105.7,157.3,432.3,122.2,152.0,117.2,238.6,160.8,115.3,206.3,116.4,2263.9,119.2,163.1,181.7,339.0,352.9,109.8,97.6,32.1,135.1,119.8,75.1,56.3,163.1,220.1,344.4,197.0,142.8,451.6,70.2,59.2,347.8,351.3,118.5,62.5,12.2,146.4,518.2,180.2,112.1,137.7,488.1,102.9,161.0,185.8,115.0,174.5,163.3,95.5,484.4,28.8,445.6,503.8,214.3,313.1,168.7,134.1,183.5,450.6,284.2,81.4,145.8
FR,313.1,378.0,401.9,337.5,494.0,279.3,223.7,196.1,297.8,35.4,360.3,195.6,86.4,260.3,328.6,457.7,421.3,412.9,511.6,177.3,0.0,274.7,206.3,87.2,325.8,142.5,319.2,500.3,317.4,275.6,405.4,69.9,234.8,233.9,403.7,132.0,301.8,170.4,49.5,313.3,226.4,335.4,280.5,2287.7,98.5,327.2,222.3,310.4,324.3,163.0,168.2,132.8,120.2,284.0,89.3,108.1,154.3,253.4,384.6,114.6,295.3,409.4,155.9,148.8,372.6,362.1,44.6,102.8,161.1,258.4,478.7,268.8,212.6,226.3,459.5,191.5,12.7,259.7,265.6,303.6,301.0,68.9,455.8,206.2,417.0,475.2,350.0,379.7,101.7,226.9,254.1,422.0,255.6,76.8,309.9
FV,38.3,135.5,354.4,43.4,407.4,354.7,75.3,139.5,197.5,278.2,352.6,148.1,235.6,205.3,52.8,383.3,314.0,365.4,383.8,156.6,275.7,0.0,158.9,278.6,169.1,246.0,42.0,399.0,289.6,297.0,310.5,255.5,39.5,102.6,357.5,207.3,98.4,273.9,342.1,122.6,213.4,60.6,63.8,2141.0,228.1,101.3,127.0,262.9,271.9,266.5,217.4,188.8,291.8,83.1,231.8,213.0,173.3,235.3,289.7,353.7,114.3,369.7,153.7,215.9,293.1,296.6,275.2,219.2,168.9,103.0,430.9,241.8,57.4,294.4,346.1,338.8,285.3,156.7,131.3,28.9,139.6,252.2,408.3,163.6,369.5,421.9,137.4,277.7,325.4,220.2,196.6,374.5,208.1,238.1,66.3
GI,202.7,251.4,214.1,131.1,314.5,383.6,87.5,57.9,110.0,224.2,494.2,52.5,189.0,351.7,129.4,237.4,211.6,229.9,290.9,192.8,221.7,165.1,0.0,238.6,315.5,237.8,164.3,306.1,436.0,443.4,194.7,237.8,164.0,61.9,197.9,181.6,244.0,265.7,288.1,269.0,276.2,239.5,170.3,2171.8,198.7,219.7,41.7,122.6,132.1,258.3,323.9,225.0,328.0,112.5,217.7,249.2,140.9,381.7,214.7,315.2,260.7,217.2,189.9,239.6,152.3,185.1,221.2,230.1,205.1,86.9,272.9,388.2,111.6,330.6,204.1,295.8,231.3,303.1,218.9,196.1,270.8,197.3,250.0,205.8,211.2,269.4,249.5,191.9,290.2,362.4,343.0,216.2,67.8,230.7,202.4
GP,309.2,348.0,398.0,334.1,520.3,244.7,219.8,192.2,293.9,78.6,356.0,191.7,82.5,225.7,324.7,444.4,375.6,409.0,492.8,129.7,73.1,270.8,202.5,0.0,300.2,130.4,359.2,526.6,282.8,271.3,415.3,35.3,230.9,230.0,399.8,115.8,298.7,158.3,139.5,309.4,203.0,331.5,276.6,2374.3,91.7,323.3,218.4,306.5,320.4,150.9,133.6,96.8,135.8,280.1,57.8,76.6,130.6,218.8,394.5,187.4,291.4,419.1,152.0,106.0,354.2,358.2,34.9,79.4,137.7,254.5,485.7,234.2,208.7,191.7,455.6,156.9,59.8,228.2,261.7,299.7,264.5,65.0,451.9,158.6,413.1,471.3,346.1,375.8,117.3,188.1,219.5,418.1,251.7,40.8,306.0
GR,128.1,173.3,535.3,216.8,576.0,261.6,244.1,308.3,351.9,332.6,258.6,316.9,246.9,112.2,215.7,563.7,482.8,550.7,552.4,181.2,330.1,168.7,321.1,294.2,0.0,257.3,240.1,567.6,196.5,203.9,479.3,276.2,208.3,271.4,519.1,290.2,102.9,285.2,379.7,66.5,102.3,150.4,195.0,2255.1,283.5,148.2,295.8,434.3,453.3,277.8,177.4,234.6,321.1,269.6,239.4,220.6,272.7,142.2,458.5,416.2,78.2,521.0,202.0,227.2,473.5,465.4,295.9,230.5,180.2,271.8,594.1,148.7,226.2,264.5,525.3,245.7,338.4,63.6,135.2,141.5,40.3,259.8,571.2,180.9,532.4,590.6,201.3,432.1,346.1,128.8,103.5,537.4,379.5,253.7,164.7
GW,285.0,301.1,384.8,320.9,503.2,303.6,240.2,179.0,280.7,150.0,414.9,178.5,83.3,300.3,259.9,444.8,362.4,395.8,479.6,130.6,147.5,246.6,189.3,128.8,278.0,0.0,282.8,494.8,341.7,330.2,395.4,128.0,206.7,205.2,386.6,65.4,221.5,27.8,213.9,220.3,170.0,307.3,218.6,2348.1,46.6,248.0,179.2,293.3,307.2,20.4,208.2,145.0,198.4,197.3,84.6,90.3,117.4,293.4,374.6,250.0,202.3,405.9,62.9,38.5,354.6,345.0,147.7,66.9,104.7,233.3,472.5,293.1,184.5,250.6,442.4,215.8,172.2,241.9,184.5,275.5,240.1,105.0,438.7,143.6,399.9,458.1,299.2,362.6,179.9,247.0,294.1,404.9,238.5,101.4,230.7
GX,85.3,106.1,383.8,40.4,414.1,433.8,104.7,168.9,208.0,307.6,431.7,177.5,265.0,284.4,59.5,412.7,343.4,394.8,390.5,186.0,305.1,46.9,188.3,308.0,248.2,303.1,0.0,405.7,368.7,376.1,339.9,284.9,68.9,132.0,386.9,236.7,177.5,331.0,371.5,201.7,207.5,107.6,88.7,2147.7,257.5,95.0,156.4,290.4,301.3,323.6,255.2,218.2,321.2,107.2,301.2,282.4,235.4,314.4,319.1,383.1,193.4,399.1,200.8,245.3,322.5,326.0,304.6,248.6,198.3,132.4,403.4,320.9,86.8,323.8,375.5,289.0,314.7,235.8,150.2,75.8,218.7,321.6,427.3,201.4,388.5,451.3,104.2,288.2,354.8,299.3,275.7,393.5,235.6,267.5,77.7
HK,454.7,511.7,145.3,440.3,8.4,601.5,396.2,366.6,335.6,512.3,736.4,340.6,477.1,660.4,371.9,183.8,185.3,134.6,11.2,501.5,509.8,416.3,308.7,526.7,624.2,507.7,413.6,0.0,673.4,680.8,143.3,525.9,406.5,370.6,160.1,484.4,553.5,535.6,488.2,577.7,518.7,548.2,412.8,2160.5,460.8,462.2,350.4,279.9,299.3,528.2,566.4,533.7,507.3,421.2,505.8,524.6,421.3,622.8,163.3,571.9,569.4,104.4,498.6,509.5,195.2,180.8,509.3,493.5,513.8,395.6,30.1,619.1,420.3,536.6,238.2,513.7,519.4,611.8,461.4,504.8,594.7,485.4,80.2,512.6,98.5,38.8,509.8,409.8,547.8,590.5,651.7,103.5,331.1,518.8,444.9
HL,256.8,328.1,664.0,343.8,687.6,149.4,372.8,466.8,480.6,306.1,95.0,466.3,357.1,131.5,358.0,685.4,627.2,679.8,705.2,241.4,311.8,297.4,449.6,309.9,184.7,335.5,368.8,693.9,0.0,39.4,611.3,271.5,347.2,400.1,647.8,402.7,231.0,363.4,356.9,195.2,249.0,279.1,323.7,2315.3,366.3,276.9,424.5,563.0,582.0,356.0,225.4,211.9,234.9,361.3,334.0,315.2,405.2,147.4,590.5,199.8,206.9,667.1,330.7,305.4,595.2,594.1,315.3,308.7,258.4,400.5,724.1,87.9,354.9,179.2,632.8,159.5,301.4,165.0,263.9,270.2,169.0,339.6,699.9,270.3,661.1,732.8,330.0,560.8,275.4,98.9,131.0,666.1,508.2,277.8,293.4
HO,274.3,345.6,561.7,361.3,612.4,166.9,342.2,391.6,419.9,230.9,83.7,391.1,281.9,149.0,392.9,649.2,552.0,572.7,630.0,212.1,236.6,357.8,401.8,280.6,202.2,306.2,386.3,618.7,29.5,0.0,536.1,242.2,317.9,369.5,583.1,327.5,248.5,334.1,281.7,212.7,271.8,296.6,328.6,2273.4,291.1,294.4,393.9,505.9,519.8,326.7,221.0,182.6,159.7,332.0,265.5,246.7,349.8,164.9,515.3,160.3,224.4,577.9,282.4,276.1,520.0,563.5,240.1,279.4,229.1,358.6,654.2,105.4,324.3,171.0,593.3,148.1,226.2,182.5,281.4,287.7,177.4,264.4,656.1,241.0,607.3,657.6,347.5,525.3,200.2,112.2,148.5,612.3,451.1,248.5,310.9
HQ,377.2,441.5,108.5,321.7,165.6,573.7,277.6,248.0,298.8,393.7,689.1,222.0,358.5,541.8,319.5,209.9,41.9,97.8,142.0,382.9,391.2,338.8,190.1,408.1,505.6,389.1,354.4,157.2,626.1,633.5,0.0,407.3,298.9,252.0,46.9,365.8,434.9,417.0,369.6,459.1,466.3,429.6,360.4,2231.0,342.2,409.8,231.8,201.2,253.2,409.6,514.0,415.1,388.6,302.6,387.2,406.0,302.7,571.8,19.9,428.5,450.8,59.1,380.0,390.9,116.5,57.5,390.7,374.9,395.2,277.0,120.3,578.3,301.7,520.7,225.4,485.9,400.8,493.2,409.0,386.2,476.1,366.8,109.9,395.9,71.1,111.3,439.6,372.6,459.7,556.7,533.1,76.1,255.5,400.2,392.5
HY,312.9,351.7,401.7,337.8,505.0,209.3,223.5,195.9,297.6,67.4,320.6,195.4,86.2,190.3,315.2,457.4,415.9,412.7,522.6,107.3,75.8,274.5,206.2,35.3,255.8,126.5,338.1,511.3,247.4,235.9,400.0,0.0,234.6,233.7,403.5,118.1,286.1,154.4,139.7,266.3,189.8,335.2,223.8,2287.4,95.4,303.3,222.1,310.2,324.1,147.0,98.2,99.1,106.4,227.2,60.1,78.9,134.3,183.4,379.2,158.0,279.1,422.8,154.7,96.4,367.2,361.9,19.6,81.7,135.5,258.2,489.4,198.8,212.4,156.3,459.3,121.5,62.5,216.7,257.8,303.4,240.1,68.7,455.6,136.2,416.8,475.0,349.8,379.5,87.9,152.7,184.1,421.8,255.4,43.1,286.0
ID,78.2,117.0,314.8,85.7,432.7,394.6,35.7,99.9,157.9,238.6,392.5,108.5,195.2,245.2,104.4,338.6,274.4,325.8,413.0,117.0,236.1,39.8,119.2,239.0,209.0,206.4,84.3,439.0,329.5,336.9,270.9,215.9,0.0,63.0,317.9,167.7,137.5,234.3,257.4,162.5,160.2,100.5,54.3,2187.6,184.8,103.7,87.4,223.3,232.3,226.9,207.9,149.2,252.2,43.5,192.2,173.4,127.0,275.2,250.1,314.1,154.2,312.7,153.5,176.3,253.5,257.0,235.6,179.6,129.3,63.4,385.8,281.7,17.8,254.8,306.5,220.0,245.7,196.6,102.9,68.7,179.5,212.6,368.7,154.1,329.9,382.3,115.1,238.1,285.8,260.1,236.5,334.9,168.5,198.5,86.4
IM,156.7,195.5,281.7,142.1,418.3,373.4,62.1,47.7,94.8,252.2,509.5,72.5,199.4,362.2,113.7,329.3,260.0,292.7,373.0,182.6,249.7,118.3,81.8,244.8,326.0,216.0,166.4,388.2,446.5,400.0,256.5,267.1,78.4,0.0,280.0,159.8,255.3,243.9,316.1,279.5,273.9,179.0,152.7,2182.3,180.6,199.4,53.2,177.2,217.9,236.5,321.6,214.8,317.8,69.1,229.1,239.0,128.4,392.2,235.7,343.2,271.2,299.3,179.7,217.8,239.1,242.6,266.7,208.3,194.9,43.5,365.9,398.7,56.2,320.4,292.1,285.6,259.3,313.6,216.6,147.2,296.5,224.4,332.1,195.6,293.3,351.5,193.6,175.0,318.2,316.8,353.5,298.3,122.4,251.6,182.1
