from_stop,AC,AJ,AR,AY,BD,BJ,BN,BO,BQ,BR,BZ,CA,CC,CF,CM,CP,CU,CX,DA,DC,DK,DL,DQ,DU,EK,EL,EV,EX,EZ,FB,FE,FM,FP,FV,GD,GE,GJ,GK,GR,HA,HC,HJ,HM,HN,HU,HZ,IG,IH,IR,IS,IW,IZ,JI,JL,JR,JZ,KH,KJ,KY,LD,LI,LN,LR,LU,LY,MI,MW,NA,NB,NL,NR,NS,OM,OO,OR,OT,OV,OW,PA,PC,PI,PL,PO,PS,PU,PV,PW,QE,QK,QY,RC,RE,RH,RN,RU,SA,SU,SW,TH,TI,TK,TQ,TR,TX,UF,UG,UH,UT,UV,UY,VI,VL,VM,VQ,VR,VZ,WP,WQ,WR,WU,WW,WX,XE,XF,XJ,XO,XS,XY,YR,YX,ZA,ZF,ZJ,ZN,ZO,ZU
BZ,276.6,237.5,119.4,280.2,431.6,444.7,17.7,295.3,670.8,424.5,0.0,234.9,210.9,121.3,364.4,314.4,453.7,652.5,363.1,754.1,251.6,248.9,436.8,196.2,451.4,390.3,429.2,397.8,316.8,758.7,456.4,256.7,469.6,192.7,291.4,223.9,96.6,355.0,420.7,614.9,276.8,2517.5,312.2,209.5,264.4,711.3,158.3,671.3,102.7,377.7,323.0,688.6,726.8,673.7,150.2,316.0,284.4,891.9,147.8,93.4,910.4,435.8,205.6,462.6,317.9,192.4,270.7,232.2,641.1,292.3,842.1,502.0,231.5,542.2,361.4,326.6,471.8,160.9,247.0,522.0,184.3,233.0,635.0,329.0,118.3,224.0,125.4,516.5,156.7,314.3,708.7,155.1,165.6,181.3,354.7,289.6,728.7,676.8,126.0,312.0,286.2,291.0,82.8,349.9,10.2,114.5,698.3,355.3,241.8,363.1,785.0,243.7,245.6,392.6,330.6,511.7,471.4,93.6,336.1,223.3,388.1,199.7,227.2,321.8,433.2,261.3,358.0,256.3,272.3,400.7,427.2,341.2,678.0,433.6,299.4,138.7
CA,380.3,460.3,182.2,305.3,287.7,265.2,240.5,518.1,700.1,291.4,222.7,0.0,210.2,225.0,213.6,163.6,218.7,729.0,212.3,809.5,100.8,471.7,258.2,299.9,282.6,239.5,196.4,260.3,221.8,789.0,341.6,482.8,236.8,296.4,514.2,446.7,200.3,380.1,296.8,670.3,126.0,2600.7,521.8,40.7,29.4,787.8,194.6,747.8,206.4,226.9,532.6,732.9,782.2,703.0,373.0,165.2,407.5,947.3,251.5,316.2,986.9,267.0,309.3,436.7,540.7,415.2,198.8,455.0,696.5,400.1,897.5,333.2,454.3,373.4,584.2,93.8,377.5,264.6,300.5,287.0,288.0,336.7,711.5,538.6,222.0,168.3,229.1,281.5,260.4,292.0,765.0,100.5,159.7,285.0,307.6,267.3,773.0,732.2,229.7,337.1,135.4,513.8,305.6,572.7,212.5,218.2,774.8,122.5,122.0,297.5,861.5,8.7,349.3,223.8,179.8,342.9,236.4,316.4,167.3,12.2,325.3,303.4,330.9,171.0,274.6,110.5,383.1,21.3,495.1,282.3,328.8,190.4,725.8,282.8,462.0,242.4
CC,391.0,471.0,192.9,95.0,220.6,484.8,251.2,528.8,684.4,429.3,233.4,228.0,0.0,235.7,369.2,319.2,444.0,713.3,340.4,820.2,256.4,482.4,224.5,310.6,266.9,395.1,416.0,226.6,105.8,799.7,271.2,493.5,456.4,307.1,524.9,457.4,211.0,169.8,209.7,681.0,281.6,2567.0,532.5,184.6,257.5,772.1,205.3,732.1,217.1,334.1,543.3,743.6,792.9,687.3,383.7,320.8,418.2,958.0,262.2,326.9,971.2,251.3,320.0,277.4,551.4,425.9,257.5,465.7,707.2,410.8,908.2,317.5,465.0,357.7,594.9,313.4,276.9,275.3,343.0,512.3,298.7,357.0,695.8,549.3,232.7,210.8,239.8,506.8,271.1,334.5,749.3,159.9,152.4,295.7,143.7,309.8,783.7,742.9,240.4,126.8,291.0,613.2,316.3,583.4,223.2,228.9,759.1,342.1,228.6,152.1,845.8,236.8,360.0,208.1,335.4,327.2,461.7,327.1,151.6,216.4,392.9,314.1,341.6,326.6,240.9,266.1,172.8,249.4,505.8,405.5,432.0,346.0,710.1,325.6,472.7,253.1
CF,155.1,341.7,124.5,285.3,436.7,449.8,121.9,399.5,670.5,429.6,104.1,240.0,216.0,0.0,369.5,319.5,458.8,652.2,368.2,584.4,256.7,353.1,441.9,168.4,456.5,395.4,434.3,402.9,321.9,563.9,461.5,257.6,474.7,161.4,395.6,328.1,68.8,360.1,425.8,445.2,281.9,2517.2,296.6,214.6,269.5,711.0,163.4,671.0,54.9,382.8,307.4,507.8,557.1,673.4,254.4,321.1,182.3,722.2,46.3,197.6,792.7,440.9,84.1,467.7,422.1,296.6,255.5,336.4,471.4,174.9,672.4,507.1,235.1,547.3,465.6,331.7,476.9,59.4,219.2,527.1,62.8,205.2,634.7,313.4,75.5,233.9,4.0,521.6,55.2,272.1,708.4,160.2,170.7,79.8,359.8,247.4,547.9,507.1,58.5,317.1,291.3,395.2,187.0,454.1,93.9,66.7,698.0,360.4,246.9,368.2,629.5,248.8,124.1,397.7,335.7,516.8,476.5,197.8,341.2,228.4,393.2,78.2,157.2,326.9,438.3,266.4,363.1,261.4,376.5,405.8,432.3,346.3,677.7,438.7,236.8,17.3
CM,537.0,617.0,338.9,473.1,473.5,218.4,397.2,674.8,855.2,198.2,379.4,220.8,378.0,381.7,0.0,69.7,255.0,914.8,204.7,966.2,129.7,628.4,192.3,456.6,468.4,99.5,206.1,201.8,389.6,945.7,527.4,639.5,210.5,453.1,670.9,603.4,357.0,547.9,482.6,827.0,153.8,2449.4,678.5,215.4,250.3,955.1,351.3,933.6,363.1,309.3,689.3,889.6,938.9,858.1,529.7,193.0,564.2,1104.0,408.2,472.9,1154.2,452.8,466.0,622.5,697.4,571.9,419.7,611.7,853.2,556.8,1054.2,519.0,611.0,559.2,740.9,314.7,563.3,421.3,507.4,275.5,444.7,493.4,878.2,695.3,378.7,374.8,385.8,320.8,417.1,498.5,920.1,257.2,316.4,441.7,493.4,473.8,929.7,888.9,386.4,504.9,95.2,670.5,462.3,729.4,369.2,374.9,960.6,279.1,342.9,483.3,1028.8,229.6,506.0,409.6,124.3,528.7,327.2,473.1,353.1,209.2,161.8,460.1,487.6,62.1,217.6,119.8,550.9,242.2,651.8,174.4,200.9,114.9,880.9,300.8,618.7,399.1
CP,467.2,547.2,269.1,381.2,392.6,148.6,327.4,605.0,863.4,128.4,309.6,151.0,311.9,311.9,49.9,0.0,239.7,833.9,87.0,896.4,59.9,558.6,200.5,386.8,387.5,75.8,136.3,161.6,326.7,875.9,446.5,569.7,205.9,383.3,601.1,533.6,287.2,456.0,401.7,757.2,84.0,2457.6,608.7,145.6,180.5,963.3,281.5,852.7,293.3,184.9,619.5,819.8,869.1,866.3,459.9,123.2,494.4,1034.2,338.4,403.1,1162.4,371.9,396.2,541.6,627.6,502.1,349.9,541.9,783.4,487.0,984.4,438.1,541.2,478.3,671.1,244.9,482.4,351.5,437.6,268.3,374.9,423.6,886.4,625.5,308.9,305.0,316.0,251.0,347.3,428.7,928.3,187.4,246.6,371.9,412.5,404.0,859.9,819.1,316.6,413.0,25.4,600.7,392.5,659.6,299.4,305.1,879.7,209.3,273.1,402.4,1037.0,159.8,436.2,328.7,54.5,447.8,257.4,403.3,272.2,139.4,92.0,390.3,417.8,7.3,225.8,50.0,459.0,172.4,582.0,104.6,131.1,45.1,889.1,227.6,548.9,329.3
CU,606.1,693.5,415.4,509.5,527.7,176.6,473.7,751.3,940.1,202.8,455.9,239.9,440.2,458.2,244.1,231.7,0.0,969.0,292.2,1028.6,291.7,704.9,351.0,442.7,522.6,204.0,107.8,360.5,461.8,1008.1,581.6,708.6,153.0,464.7,747.4,679.9,417.2,584.3,536.8,889.4,315.8,2608.1,747.6,280.7,209.6,1027.8,427.8,987.8,441.3,427.9,758.4,952.0,1001.3,943.0,606.2,382.7,633.3,1166.4,423.7,549.4,1226.9,507.0,535.1,676.7,773.9,648.4,208.3,688.2,915.6,625.9,1116.6,573.2,686.1,613.4,817.4,173.3,617.5,411.0,405.4,67.1,513.8,419.4,951.5,764.4,455.2,273.2,462.3,96.6,414.9,396.9,1005.0,340.5,296.1,463.3,547.6,372.2,992.1,951.3,462.9,541.3,257.2,747.0,538.8,805.9,445.7,453.1,1014.8,144.0,229.0,537.5,1101.5,231.2,575.1,463.8,259.7,582.9,12.5,549.6,407.3,252.2,236.7,529.2,495.4,224.1,376.3,281.8,587.3,218.6,728.3,193.7,240.2,197.1,965.8,438.9,687.8,475.6
CX,785.6,731.4,817.7,721.7,681.4,1041.1,679.4,639.9,162.9,983.4,698.2,775.8,762.3,699.3,923.3,873.3,994.6,0.0,906.2,403.7,810.5,593.5,790.3,867.8,487.6,949.2,972.3,792.4,773.9,408.3,543.4,667.7,1012.7,860.8,636.0,717.8,768.2,645.0,690.5,283.2,835.7,2188.9,723.2,732.4,805.3,127.6,856.6,18.7,754.3,899.9,734.0,477.0,376.4,159.9,582.9,874.9,695.4,541.5,745.7,601.0,387.7,501.6,777.6,638.5,662.5,686.3,931.0,576.8,259.2,703.3,491.7,535.0,642.5,397.5,706.0,869.7,579.3,758.8,952.8,1062.9,762.2,904.6,239.1,740.0,774.9,906.1,694.8,1057.4,754.6,944.3,312.8,853.4,863.9,779.2,701.3,931.3,460.5,326.4,757.9,742.8,845.1,408.2,708.6,694.5,708.5,766.1,45.7,898.4,897.9,691.2,262.3,784.6,823.5,617.5,889.5,544.7,1012.3,677.1,602.6,764.2,947.0,777.6,856.6,880.7,806.7,820.2,685.1,797.2,616.9,959.6,986.1,892.9,282.1,891.4,710.4,681.4
DA,522.6,602.6,324.5,430.5,430.9,186.0,382.8,660.4,897.6,165.8,365.0,206.4,335.4,367.3,123.7,73.7,277.1,872.2,0.0,951.8,115.3,614.0,152.7,442.2,425.8,149.6,173.7,112.8,347.0,931.3,484.8,625.1,243.3,438.7,656.5,589.0,342.6,505.3,440.0,812.6,203.3,2491.8,664.1,201.0,235.9,931.0,336.9,891.0,348.7,196.9,674.9,875.2,924.5,900.5,515.3,151.7,549.8,1089.6,393.8,458.5,1130.1,410.2,451.6,579.9,683.0,557.5,405.3,597.3,838.8,542.4,1039.8,476.4,596.6,516.6,726.5,289.1,520.7,406.9,493.0,305.7,430.3,479.0,854.7,680.9,364.3,360.4,371.4,288.4,402.7,484.1,962.5,242.8,302.0,427.3,450.8,459.4,915.3,874.5,372.0,462.3,80.8,656.1,447.9,715.0,354.8,360.5,918.0,259.8,328.5,440.7,1004.7,215.2,491.6,367.0,28.7,486.1,294.8,458.7,310.5,194.8,129.4,445.7,473.2,81.1,149.1,105.4,508.3,227.8,637.4,142.0,168.5,82.5,923.3,207.9,604.3,384.7
DC,793.3,772.4,762.7,923.5,946.6,1088.0,760.1,680.9,336.3,1067.8,742.3,878.2,854.2,638.1,1007.7,957.7,1081.6,433.0,1006.4,0.0,894.9,634.5,1080.1,806.6,752.8,1033.6,1081.8,1041.1,960.1,81.0,808.6,708.7,1122.2,799.6,677.0,758.8,707.0,998.3,955.7,222.7,920.1,2246.8,764.2,852.8,907.7,305.9,801.6,414.2,693.1,1021.0,775.0,195.5,122.9,333.3,623.9,959.3,820.5,206.4,684.5,642.0,471.3,766.8,716.4,903.7,703.5,727.3,869.8,617.8,198.7,813.1,156.6,800.2,683.5,662.7,747.0,979.2,844.5,697.6,891.6,1149.9,701.0,843.4,391.6,781.0,713.7,844.9,633.6,1144.4,693.4,875.0,433.5,798.4,808.9,718.0,998.0,858.4,125.4,87.4,696.7,955.3,929.5,449.2,825.2,735.5,732.1,704.9,387.2,1007.9,894.4,1006.4,308.1,887.0,762.3,882.7,973.9,809.9,1099.3,718.1,867.8,866.6,1031.4,716.4,795.4,965.1,1076.5,904.6,1001.3,899.6,657.9,1044.0,1070.5,984.5,394.3,1076.9,751.4,620.2
DK,407.2,487.2,209.1,321.2,332.6,193.0,267.4,545.0,745.0,172.8,249.6,91.0,251.9,251.9,112.7,62.7,271.1,773.9,111.4,836.4,0.0,498.6,185.1,326.8,327.5,138.6,198.6,146.1,266.7,815.9,386.5,509.7,239.0,323.3,541.1,473.6,227.2,396.0,341.7,697.2,25.1,2520.4,548.7,85.6,120.5,832.7,221.5,792.7,233.3,126.0,559.5,759.8,809.1,747.9,399.9,64.3,434.4,974.2,278.4,343.1,1031.8,311.9,336.2,481.6,567.6,442.1,289.9,481.9,723.4,427.0,924.4,378.1,481.2,418.3,611.1,184.9,422.4,291.5,377.6,301.4,314.9,363.6,756.4,565.5,248.9,245.0,256.0,302.1,287.3,368.7,809.9,127.4,186.6,311.9,352.5,344.0,799.9,759.1,256.6,353.0,34.5,540.7,332.5,599.6,239.4,245.1,819.7,149.3,213.1,342.4,906.4,99.8,376.2,268.7,78.9,387.8,288.8,343.3,212.2,79.4,136.4,330.3,357.8,70.1,181.5,9.6,399.0,112.4,522.0,149.0,175.5,89.5,770.7,181.9,488.9,269.3
DL,353.0,298.8,385.1,545.9,697.3,710.4,246.8,46.3,562.8,690.2,265.6,500.6,476.6,387.0,630.1,580.1,719.4,544.5,628.8,646.1,517.3,0.0,702.5,461.9,543.8,656.0,694.9,663.5,582.5,650.7,599.6,235.1,735.3,458.4,80.8,285.2,362.3,620.7,686.4,506.9,542.5,2409.5,290.6,475.2,530.1,603.3,424.0,563.3,368.4,643.4,301.4,580.6,618.8,565.7,150.3,581.7,262.8,783.9,413.5,168.4,802.4,557.8,362.1,728.3,107.3,253.7,536.4,16.9,533.1,270.7,734.1,591.2,209.9,453.7,150.8,592.3,635.5,426.6,512.7,787.7,455.1,498.7,527.0,307.4,384.0,489.7,391.1,782.2,422.4,580.0,600.7,420.8,431.3,447.0,620.4,555.3,620.7,568.8,391.7,577.7,551.9,183.0,276.0,139.3,275.9,380.2,590.3,621.0,507.5,628.8,677.0,509.4,469.3,658.3,596.3,600.9,737.1,244.5,601.8,489.0,653.8,442.2,492.9,587.5,698.9,527.0,623.7,522.0,23.3,666.4,692.9,606.9,570.0,699.3,277.8,404.4
DQ,595.2,675.2,397.1,324.6,325.0,310.5,455.4,733.0,737.4,290.3,437.6,261.0,229.5,439.9,243.7,193.7,401.6,766.3,142.7,1040.2,188.3,686.6,0.0,514.8,319.9,269.6,298.2,28.9,241.1,1044.8,378.9,697.7,367.8,511.3,729.1,661.6,415.2,399.4,334.1,919.7,190.2,2424.0,736.7,217.6,290.5,825.1,409.5,785.1,421.3,136.4,747.5,947.8,1012.9,740.3,587.9,138.6,622.4,1178.0,466.4,531.1,1024.2,304.3,524.2,474.0,755.6,630.1,459.9,669.9,895.7,615.0,1128.2,370.5,669.2,410.7,799.1,354.9,414.8,479.5,561.6,430.2,502.9,551.6,748.8,753.5,436.9,429.4,444.0,412.9,475.3,553.1,802.3,389.5,382.0,499.9,344.9,528.4,987.9,962.9,444.6,356.4,165.5,666.2,520.5,787.6,427.4,433.1,812.1,383.6,383.1,334.8,898.8,269.8,564.2,261.1,136.9,380.2,419.3,531.3,204.6,249.4,253.9,518.3,545.8,201.1,25.2,219.0,402.4,282.4,710.0,266.5,293.0,207.0,763.1,127.9,676.9,457.3
