from_stop,AF,AL,AS,AT,AV,AW,BS,BU,BZ,CD,CF,CJ,CN,CQ,CY,DD,DH,DM,DN,DQ,DS,DT,DU,DZ,EA,EC,EG,EI,EJ,EL,EP,EV,EW,EX,FF,FL,FZ,GC,GH,GO,GY,HH,HJ,HO,HX,HY,IB,ID,IG,IJ,IQ,IW,JE,JF,JH,JJ,JM,JN,JV,JX,KA,KF,KH,KT,KU,KW,LL,LN,LQ,LU,LV,MD,MP,MR,NC,NG,NQ,NS,NT,NW,NY,OC,OF,OI,OP,OR,OT,PB,PH,PJ,PR,PY,QE,QG,QJ,QX,RB,RJ,RY,SE,SU,TE,TJ,TZ,UC,UG,UH,UN,UQ,UZ,VB,VG,VH,VO,VR,WD,WE,WF,WN,WQ,WS,WW,WZ,XB,XD,XW,XZ,YH,YN,YP,YS,YW,ZF,ZG,ZK,ZW,ZX
CF,733.3,776.4,163.1,633.7,560.3,232.1,401.4,66.7,730.1,748.2,0.0,145.8,704.8,20.1,706.0,361.3,183.7,166.9,97.7,101.6,394.2,411.2,95.4,324.2,530.8,362.0,470.7,565.3,732.0,229.5,473.6,93.7,157.1,211.7,720.7,701.3,229.8,206.8,126.1,754.5,142.5,572.8,720.9,203.2,223.8,497.6,651.0,523.5,495.8,641.9,732.3,648.5,341.8,337.8,260.7,721.7,238.4,720.4,737.2,297.7,447.2,751.6,723.1,719.9,244.4,209.5,727.8,667.8,486.3,113.6,199.6,761.7,349.1,662.2,682.0,610.9,221.9,667.2,218.3,369.6,484.5,254.0,283.1,170.4,689.3,277.9,565.0,752.3,273.9,766.7,418.5,714.9,715.5,344.6,490.4,180.7,171.1,2575.0,444.2,272.5,727.1,350.9,642.7,707.6,416.0,437.2,217.3,140.7,741.5,757.2,417.7,369.3,192.9,321.9,335.7,727.9,487.3,745.3,545.3,553.2,116.8,319.2,686.9,242.9,412.2,386.1,674.6,240.7,241.5,664.0,605.2,718.9,158.8,456.3,403.6,120.5,468.7
CJ,791.8,834.9,93.9,618.5,647.2,308.6,386.2,222.6,788.6,806.7,155.8,0.0,763.3,128.6,764.5,388.2,114.5,243.4,253.6,199.7,379.0,392.2,79.7,309.0,589.3,346.8,455.5,623.8,790.5,214.3,532.1,77.2,141.9,196.5,779.2,759.8,186.3,137.6,202.6,813.0,91.6,631.3,774.3,152.3,154.6,482.4,635.8,508.3,480.6,700.4,790.8,707.0,290.9,286.9,337.2,780.2,223.2,778.9,795.7,374.2,432.0,810.1,781.6,778.4,229.2,194.3,786.3,652.6,471.1,269.5,148.7,814.7,333.9,720.7,740.5,595.7,206.7,725.7,203.1,354.4,469.3,203.1,267.9,104.8,747.8,227.0,545.6,810.8,258.7,825.2,403.3,773.4,774.0,329.4,548.9,111.5,188.7,2633.5,429.0,257.3,793.7,377.8,701.2,766.1,400.8,422.0,166.4,217.2,800.0,815.7,402.5,354.1,177.7,306.7,320.5,786.4,545.8,803.8,530.1,538.0,121.3,304.0,745.4,227.7,397.0,370.9,733.1,189.8,172.3,722.5,590.0,777.4,225.5,441.1,462.1,27.5,453.5
CN,338.8,465.4,653.0,696.8,617.2,776.0,927.3,710.0,139.3,370.5,643.2,708.5,0.0,616.0,405.6,696.9,660.6,710.8,741.0,744.9,920.1,783.8,621.3,612.2,587.7,537.6,938.1,187.6,418.6,755.4,530.5,729.4,683.0,737.6,343.0,110.5,849.2,831.4,670.0,428.3,758.6,352.1,125.0,819.3,713.7,780.4,627.6,750.6,936.3,264.2,141.5,270.8,827.8,831.9,731.4,130.9,764.3,129.6,359.5,841.6,894.2,89.4,132.3,115.0,657.4,735.4,137.0,813.9,951.7,756.9,815.7,165.4,576.2,290.6,395.9,699.4,681.3,295.6,744.2,746.0,969.9,730.3,688.7,776.0,98.5,894.0,809.4,161.5,799.8,61.8,548.0,124.1,124.7,870.5,317.9,782.7,710.1,2047.3,833.8,798.4,144.4,686.5,265.0,116.8,483.6,842.1,764.2,684.6,36.6,166.4,943.6,745.7,710.7,698.3,712.1,344.3,215.7,113.0,863.5,832.1,642.7,845.1,432.7,768.8,575.9,762.5,397.3,742.2,731.4,286.3,676.1,431.7,702.7,982.2,248.8,736.6,695.8
CQ,712.1,746.8,97.5,604.1,530.7,202.5,371.8,93.9,703.8,718.6,27.1,173.0,675.2,0.0,676.4,331.7,105.1,137.3,124.9,128.8,364.6,381.6,65.8,294.6,509.6,332.4,441.5,535.7,702.4,199.9,444.0,120.9,135.9,182.1,691.1,680.1,257.0,234.0,96.5,724.9,169.7,543.2,691.3,230.4,166.6,468.0,621.4,493.9,474.6,612.3,702.7,618.9,272.0,365.0,231.1,692.1,208.8,690.8,707.6,268.1,417.6,722.0,693.5,690.3,214.8,179.9,698.2,638.2,456.7,140.8,226.8,740.5,319.5,632.6,652.4,581.3,192.3,637.6,188.7,340.0,454.9,174.8,253.5,194.2,650.0,305.1,543.8,722.7,244.3,737.1,388.9,685.3,685.9,323.4,460.8,207.9,141.5,2545.4,414.6,242.9,697.5,321.3,621.5,678.0,386.4,407.6,244.5,111.1,711.9,736.0,388.1,339.7,163.3,292.3,306.1,698.3,457.7,715.7,515.7,523.6,87.2,289.6,657.3,213.3,382.6,356.5,645.0,267.9,175.9,634.4,584.0,689.3,129.2,426.7,382.4,147.7,439.1
CY,61.2,104.3,763.7,413.9,334.3,762.0,710.6,820.7,473.1,477.2,753.9,819.2,447.8,726.7,0.0,648.0,771.3,821.5,851.7,855.6,663.9,734.9,732.0,563.3,304.8,488.7,655.2,294.3,211.1,783.0,289.9,840.1,698.9,842.7,449.7,444.3,937.0,942.1,780.7,108.3,869.3,464.5,458.8,930.0,824.4,497.5,344.7,701.7,653.4,370.9,475.3,377.5,775.5,779.6,682.5,464.7,773.3,463.4,466.2,770.9,611.3,494.6,466.1,462.9,608.5,822.4,470.8,531.0,668.8,867.6,926.4,499.2,527.3,175.1,75.9,416.5,632.4,223.3,849.3,697.1,687.0,835.4,639.8,886.7,432.3,1004.7,526.5,495.3,758.0,509.7,499.1,457.9,458.5,715.0,428.6,893.4,820.8,2018.2,550.9,728.1,478.2,637.6,371.7,450.6,434.7,559.2,869.3,795.3,484.5,500.2,697.0,696.8,661.8,649.4,663.2,55.8,266.4,488.3,580.6,549.2,753.4,677.5,112.7,873.9,527.0,713.6,45.6,847.3,842.1,393.0,393.2,198.0,813.4,677.3,350.1,847.3,646.9
DD,606.7,649.8,395.2,513.3,433.7,211.7,576.6,434.2,772.9,791.0,367.4,390.7,747.6,340.2,579.4,0.0,357.8,350.2,465.2,469.1,569.4,279.1,363.5,107.5,404.2,130.8,645.9,608.1,605.4,404.7,347.0,411.6,243.1,386.9,763.5,744.1,517.4,491.0,312.0,627.9,510.0,626.7,758.6,570.7,412.4,596.9,444.1,292.3,671.0,684.7,775.1,691.3,477.1,481.2,132.2,764.5,413.6,763.2,780.0,220.6,622.4,794.4,765.9,762.7,152.7,384.7,770.6,630.4,661.5,481.1,506.7,799.0,117.9,661.2,555.4,515.9,176.6,709.4,393.5,241.3,659.7,379.6,184.0,458.2,732.1,534.0,625.9,795.1,449.1,809.5,187.3,757.7,758.3,519.8,592.5,464.9,341.3,2448.4,619.4,447.7,778.0,8.2,685.5,750.4,184.8,612.4,413.5,324.0,784.3,800.0,592.9,241.0,206.0,193.6,207.4,601.3,530.1,788.1,720.5,648.6,365.7,494.4,560.3,418.1,181.0,257.8,548.0,391.5,473.6,706.8,492.6,592.3,329.0,631.5,446.4,418.3,237.5
DH,749.4,792.5,84.5,591.1,619.8,266.2,358.8,180.2,746.2,764.3,113.4,140.0,720.9,86.2,722.1,360.8,0.0,201.0,211.2,215.1,351.6,364.8,52.8,281.6,546.9,319.4,428.1,581.4,748.1,186.9,489.7,207.2,114.5,169.1,736.8,717.4,343.3,320.3,160.2,770.6,256.0,588.9,731.9,316.7,145.2,455.0,608.4,480.9,453.2,658.0,748.4,664.6,259.3,263.4,294.8,737.8,195.8,736.5,753.3,331.8,404.6,767.7,739.2,736.0,201.8,166.9,743.9,625.2,443.7,227.1,313.1,772.3,306.5,678.3,698.1,568.3,179.3,683.3,175.7,327.0,441.9,161.8,240.5,287.5,705.4,391.4,518.2,768.4,231.3,782.8,375.9,731.0,731.6,302.0,506.5,294.2,146.3,2591.1,401.6,229.9,751.3,350.4,658.8,723.7,373.4,394.6,195.7,174.8,757.6,773.3,375.1,326.7,150.3,279.3,293.1,744.0,503.4,761.4,502.7,510.6,78.9,276.6,703.0,200.3,369.6,343.5,690.7,173.7,162.9,680.1,562.6,735.0,154.0,413.7,419.7,234.0,426.1
DM,850.9,894.0,204.6,711.2,739.9,192.7,478.9,243.6,827.6,845.7,176.8,260.1,802.3,155.2,823.6,321.9,212.2,0.0,274.6,278.5,471.7,488.7,172.9,351.7,648.4,375.0,548.2,662.8,849.6,307.0,591.2,270.6,234.6,289.2,818.2,798.8,406.7,383.7,35.6,872.1,319.4,670.3,818.4,380.1,226.8,575.1,728.5,536.5,573.3,739.4,829.8,746.0,379.1,383.5,221.3,819.2,315.9,817.9,834.7,258.3,524.7,849.1,820.6,817.4,321.9,287.0,825.3,745.3,563.8,290.5,376.5,853.7,362.1,905.4,799.6,688.4,299.4,953.6,295.8,447.1,562.0,281.9,360.6,343.9,777.1,454.8,642.5,849.8,351.4,864.2,431.5,812.4,813.0,422.1,587.9,357.6,155.7,2692.6,521.7,350.0,832.7,311.5,740.2,805.1,429.0,514.7,315.8,22.1,839.0,854.7,495.2,446.8,270.4,399.4,413.2,845.5,584.8,842.8,622.8,630.7,180.1,396.7,804.5,320.4,425.2,463.6,792.2,293.8,283.0,761.5,682.7,836.5,143.4,533.8,501.1,297.4,481.7
DN,849.8,892.9,151.9,676.5,705.2,343.6,444.2,66.3,846.6,864.7,111.4,223.2,821.3,141.0,822.5,472.8,172.5,278.4,0.0,103.2,437.0,450.2,137.7,367.0,647.3,404.8,513.5,681.8,848.5,272.3,590.1,82.5,199.9,254.5,837.2,817.8,307.9,195.6,237.6,871.0,219.9,689.3,832.3,280.6,212.6,540.4,693.8,566.3,538.6,758.4,848.8,765.0,419.2,415.2,372.2,838.2,281.2,836.9,853.7,409.2,490.0,868.1,839.6,836.4,287.2,252.3,844.3,710.6,529.1,15.8,211.3,872.7,391.9,778.7,798.5,653.7,264.7,783.7,261.1,412.4,527.3,331.4,325.9,162.8,805.8,355.3,603.6,868.8,316.7,883.2,461.3,831.4,832.0,387.4,606.9,169.5,246.7,2691.5,487.0,315.3,851.7,462.4,759.2,824.1,458.8,480.0,294.7,252.2,858.0,873.7,460.5,412.1,235.7,364.7,378.5,844.4,603.8,861.8,588.1,596.0,179.3,362.0,803.4,285.7,455.0,428.9,791.1,318.1,230.3,780.5,648.0,835.4,283.5,499.1,520.1,197.9,511.5
DQ,846.2,889.3,148.3,672.9,701.6,344.1,440.6,72.5,843.0,861.1,111.9,161.9,817.7,132.1,818.9,473.3,168.9,278.9,112.7,0.0,433.4,450.4,134.1,363.4,643.7,401.2,509.9,678.2,844.9,268.7,586.5,20.6,196.3,250.9,833.6,814.2,271.3,192.0,238.1,867.4,158.6,685.7,833.8,219.3,209.0,536.8,690.2,562.7,535.0,754.8,845.2,761.4,357.9,353.9,372.7,834.6,277.6,833.3,850.1,409.7,486.4,864.5,836.0,832.8,283.6,248.7,840.7,707.0,525.5,128.6,207.7,874.6,388.3,775.1,794.9,650.1,261.1,780.1,257.5,408.8,523.7,270.1,322.3,152.2,792.5,294.0,604.2,865.2,313.1,879.6,457.7,827.8,828.4,383.8,603.3,165.9,243.1,2687.9,483.4,311.7,848.1,462.9,755.6,820.5,455.2,476.4,233.4,252.7,854.4,870.1,456.9,408.5,232.1,361.1,374.9,840.8,600.2,858.2,584.5,592.4,175.7,358.4,799.8,282.1,451.4,425.3,787.5,256.8,226.7,776.9,644.4,831.8,279.9,495.5,516.5,136.6,507.9
DS,594.4,637.5,353.9,291.2,319.9,550.6,275.7,423.9,994.1,998.2,397.8,389.4,968.8,370.6,567.1,597.3,356.5,485.4,464.1,431.0,0.0,601.3,321.7,518.1,361.0,603.0,219.7,815.3,640.3,293.8,404.2,410.3,351.0,276.0,970.7,965.3,388.5,459.7,444.6,641.5,365.4,895.6,979.8,447.6,414.6,209.3,308.5,717.4,324.8,891.9,996.3,898.5,380.3,384.4,579.2,985.7,302.7,984.4,987.2,616.2,51.9,1015.6,987.1,983.9,438.3,186.8,991.8,325.3,301.8,480.0,444.0,1020.2,543.0,696.1,590.3,268.4,415.8,744.3,282.6,563.5,300.0,250.7,477.0,456.9,953.3,405.1,188.7,1016.3,148.2,1030.7,613.4,978.9,979.5,50.0,861.4,463.6,430.7,2436.1,262.7,336.8,999.2,586.9,892.7,971.6,549.0,271.0,284.6,459.2,1005.5,1021.2,275.7,563.2,386.8,515.8,529.6,589.0,787.4,1009.3,145.1,157.9,363.3,282.3,595.2,307.2,641.3,580.0,535.7,262.6,432.3,914.0,262.7,627.2,438.4,61.0,715.3,417.0,662.6
DT,720.6,763.7,346.2,627.2,547.6,400.1,567.6,416.2,890.1,904.9,394.3,381.7,861.5,368.5,693.3,286.1,348.8,481.9,456.4,427.5,560.4,0.0,314.0,206.9,522.3,244.7,637.3,722.0,719.3,395.7,460.9,402.6,234.1,377.9,877.4,858.0,508.4,482.0,436.9,741.8,473.4,740.6,877.6,534.1,411.1,663.8,558.0,406.2,666.2,798.6,889.0,805.2,467.8,472.2,320.6,878.4,408.8,881.3,893.9,409.0,613.4,908.3,879.8,876.6,143.7,379.9,884.5,834.0,652.5,472.3,497.7,912.9,231.8,775.1,669.3,629.8,167.6,823.3,384.5,132.2,650.7,370.6,175.0,442.2,836.3,525.0,731.2,909.0,440.1,923.4,301.2,875.8,872.2,515.0,706.4,455.9,423.0,2562.3,610.4,442.9,883.8,275.7,803.6,864.3,298.7,603.4,404.5,451.5,898.2,913.9,583.9,131.9,197.0,84.5,98.3,715.2,644.0,902.0,715.7,719.4,355.6,485.4,674.2,409.1,294.9,23.0,666.1,382.5,424.6,820.7,610.7,706.2,430.7,622.5,560.3,409.3,351.4
DU,742.4,785.5,31.6,538.2,566.9,228.8,305.9,142.8,712.1,726.9,76.0,87.1,683.5,48.8,715.1,307.9,34.7,163.6,173.8,128.7,298.7,315.7,0.0,228.7,608.0,266.5,375.6,544.0,741.1,134.0,482.7,108.0,61.6,116.2,699.4,680.0,246.7,187.4,122.8,763.6,218.6,551.5,699.6,279.3,92.3,402.1,555.5,428.0,400.3,620.6,711.0,627.2,206.1,210.5,257.4,700.4,142.9,699.1,715.9,294.4,351.7,730.3,701.8,698.6,148.9,114.0,706.5,572.3,390.8,189.7,203.1,740.4,253.6,640.9,691.1,515.4,126.4,645.9,122.8,274.1,389.0,108.9,187.6,154.6,658.3,263.3,469.5,731.0,178.4,745.4,323.0,693.6,694.2,249.1,469.1,161.3,108.9,2584.1,348.7,177.0,713.9,297.5,621.4,686.3,320.5,341.7,142.8,137.4,720.2,735.9,322.2,273.8,97.4,226.4,240.2,737.0,466.0,724.0,449.8,457.7,41.5,223.7,696.0,147.4,316.7,290.6,683.7,120.8,110.0,642.7,509.7,728.0,116.6,360.8,382.3,114.7,373.2
