from_stop,AB,AE,AF,AH,AN,AO,AP,AW,AX,AZ,CF,CG,CJ,CX,DL,EF,EJ,EQ,EW,FH,FM,FU,FW,FX,FY,GB,GC,GD,GE,GH,GN,GQ,GS,GW,GX,GY,HD,HH,HK,HS,HT,IE,IJ,IX,JG,JR,JS,JU,JV,JY,KJ,KK,KO,KS,KT,KZ,LQ,LU,LV,LX,LY,MY,NG,NT,NW,NZ,OB,OG,OK,OP,PI,PN,PQ,PT,PW,PX,QC,QD,QH,QM,QO,RC,RN,RU,RV,SF,SN,SW,SX,SY,SZ,TG,TM,TP,TS,UO,US,UT,VF,VU,VY,WS,WX,XN,YA,YJ,YK,YQ,YZ,ZC,ZH,ZQ
CF,916.9,412.1,564.9,815.3,534.4,802.1,435.9,510.7,934.4,567.1,0.0,494.2,1047.8,1090.8,521.0,399.8,468.9,373.8,885.8,403.0,555.5,364.0,635.1,1001.9,1017.8,599.6,611.1,503.1,777.8,396.6,483.4,811.2,1002.6,59.7,2566.5,876.2,566.4,570.8,560.7,464.7,973.7,1039.0,335.0,1015.7,516.4,982.2,991.7,581.6,585.0,373.1,386.1,895.7,712.2,399.9,513.4,867.7,380.5,1277.9,1150.7,671.2,485.0,618.9,975.8,761.7,630.4,527.8,448.7,948.8,332.4,871.6,581.3,567.3,1232.8,1041.8,959.6,637.8,926.1,647.1,1282.4,572.2,520.9,448.5,455.7,788.5,560.2,572.8,313.9,966.8,994.2,904.9,1036.7,603.1,541.3,511.5,700.8,326.1,746.0,541.6,357.3,104.7,1032.8,927.2,349.6,898.2,416.3,662.2,618.0,871.8,542.4,808.4,444.8,396.6
CG,717.6,131.1,278.4,616.0,162.2,602.8,208.0,497.9,735.1,243.1,522.4,0.0,848.5,891.5,148.8,171.9,456.1,361.0,686.5,390.2,232.5,179.7,565.4,802.6,818.5,586.8,598.3,65.7,578.5,383.8,252.2,611.9,803.3,458.7,2303.2,676.9,279.9,277.0,204.6,178.2,774.4,839.7,291.6,816.4,144.2,782.9,792.4,257.6,212.8,329.7,132.6,696.4,283.5,198.5,76.0,668.4,179.1,1078.6,951.4,629.2,11.1,545.7,776.5,498.6,274.3,296.6,435.9,749.5,319.6,585.1,209.1,211.2,1033.5,842.5,760.3,351.3,726.8,634.3,1083.1,200.0,197.2,162.0,254.3,718.8,290.7,248.8,301.1,767.5,794.9,705.6,837.4,316.6,169.1,225.0,658.8,313.3,676.3,176.5,186.4,405.5,833.5,727.9,306.2,698.9,188.4,375.7,331.5,672.5,105.0,521.9,432.0,383.8
CJ,175.4,753.8,644.4,285.4,955.3,314.8,830.7,594.0,447.1,758.7,1078.2,878.3,0.0,560.9,941.9,794.6,755.1,762.2,398.5,726.0,704.6,858.8,458.3,472.0,530.5,560.8,572.3,822.0,317.3,785.0,925.8,323.9,515.3,1014.5,2185.7,346.3,600.2,650.3,664.7,699.5,122.8,509.1,858.0,528.4,937.3,494.9,461.8,773.2,1005.9,896.1,808.5,408.4,1021.8,894.7,832.3,380.4,875.3,748.0,102.8,522.1,869.1,442.6,488.5,435.3,598.3,970.2,771.7,418.9,727.5,613.4,1002.2,658.1,184.9,554.5,163.2,518.8,396.2,530.0,234.5,993.1,990.3,717.5,950.5,611.7,913.4,688.1,745.9,66.9,464.3,417.6,506.8,562.3,962.2,655.1,551.7,733.8,569.2,969.6,852.1,961.3,502.9,439.9,872.6,410.9,811.1,564.1,673.9,384.5,861.3,595.2,614.5,785.0
CX,465.7,812.5,703.1,303.0,1014.0,373.5,889.4,652.7,505.8,817.4,1136.9,937.0,596.6,0.0,1000.6,853.3,813.8,820.9,457.2,784.7,763.3,917.5,517.0,162.6,589.2,619.5,631.0,880.7,376.0,843.7,984.5,382.6,574.0,1073.2,2225.4,240.4,658.9,709.0,723.4,758.2,522.5,89.0,916.7,587.1,996.0,553.6,228.6,831.9,1064.6,954.8,867.2,467.1,1080.5,953.4,891.0,439.1,934.0,187.0,699.5,580.8,927.8,501.3,547.2,494.0,657.0,1028.9,830.4,164.7,786.2,672.1,1060.9,716.8,781.6,613.2,508.4,577.5,432.3,588.7,831.2,1051.8,1049.0,776.2,1009.2,670.4,972.1,746.8,804.6,515.6,107.0,476.3,542.9,621.0,1020.9,713.8,610.4,792.5,627.9,1028.3,910.8,1020.0,187.5,498.6,931.3,469.6,869.8,622.8,732.6,443.2,920.0,653.9,673.2,843.7
DL,803.1,211.1,363.9,701.5,60.8,688.3,234.9,510.1,820.6,331.8,534.6,154.2,934.0,977.0,0.0,198.8,468.3,373.2,772.0,402.4,320.2,191.9,634.5,888.1,904.0,599.0,610.5,163.1,664.0,396.0,264.4,697.4,888.8,470.9,2388.7,762.4,365.4,365.7,293.3,266.0,859.9,925.2,303.8,901.9,4.6,868.4,877.9,346.3,63.9,341.9,144.8,781.9,380.9,210.7,173.4,753.9,191.3,1164.1,1036.9,670.6,145.0,614.4,862.0,584.1,363.0,308.8,448.1,835.0,331.8,670.6,60.2,299.9,1119.0,928.0,845.8,436.8,812.3,646.5,1168.6,84.6,95.8,247.5,266.5,787.9,359.2,337.5,313.3,853.0,880.4,791.1,922.9,402.1,67.7,310.5,700.2,325.5,745.4,75.1,198.6,417.7,919.0,813.4,318.4,784.4,215.3,461.2,417.0,758.0,202.4,607.4,444.2,396.0
EF,624.2,32.2,185.0,522.6,202.1,509.4,36.0,398.8,641.7,187.2,423.3,161.9,755.1,798.1,188.7,0.0,357.0,261.9,593.1,291.1,176.6,104.1,472.0,709.2,725.1,487.7,499.2,132.5,485.1,284.7,171.1,518.5,709.9,359.6,2209.8,583.5,186.5,190.9,190.4,84.8,681.0,746.3,192.5,723.0,184.1,689.5,699.0,201.7,252.7,230.6,53.8,603.0,332.3,140.0,142.8,575.0,120.6,985.2,858.0,535.8,152.7,456.3,683.1,405.2,250.5,215.5,336.8,656.1,220.5,491.7,249.0,197.0,940.1,749.1,666.9,257.9,633.4,535.2,989.7,239.9,237.1,68.6,195.8,625.4,168.7,192.9,202.0,674.1,701.5,612.2,744.0,223.2,209.0,131.6,565.4,214.2,582.9,216.4,97.4,306.4,740.1,634.5,207.1,605.5,16.4,282.3,238.1,579.1,171.8,428.5,332.9,284.7
EJ,617.0,329.0,481.8,515.4,451.3,502.2,352.8,210.8,634.5,484.0,472.1,411.1,747.9,790.9,437.9,316.7,0.0,156.1,585.9,119.9,472.4,280.9,335.2,702.0,717.9,299.7,311.2,420.0,477.9,178.9,400.3,511.3,702.7,408.4,2266.6,576.3,483.3,487.7,477.6,383.9,673.8,739.1,251.9,715.8,433.3,682.3,691.8,498.5,501.9,290.0,303.0,595.8,629.1,316.8,430.3,567.8,297.4,978.0,850.8,371.3,401.9,315.1,675.9,461.8,547.3,444.7,165.6,648.9,121.4,639.9,498.2,484.2,932.9,741.9,659.7,554.7,626.2,347.2,982.5,489.1,437.8,365.4,372.6,488.6,477.1,489.7,139.8,666.9,694.3,605.0,736.8,521.2,458.2,428.4,400.9,127.7,446.1,458.5,274.2,355.2,732.9,627.3,266.5,598.3,333.2,579.1,534.9,571.9,459.3,621.7,144.9,178.9
EQ,612.1,261.9,414.7,510.5,384.2,497.3,285.7,205.9,629.6,416.9,405.0,344.0,743.0,786.0,370.8,249.6,164.1,0.0,581.0,98.2,405.3,213.8,330.3,697.1,713.0,294.8,306.3,352.9,473.0,22.7,333.2,506.4,697.8,341.3,2261.7,571.4,416.2,420.6,410.5,316.8,668.9,734.2,184.8,710.9,366.2,677.4,686.9,431.4,434.8,222.9,235.9,590.9,562.0,249.7,363.2,562.9,230.3,973.1,845.9,366.4,334.8,310.2,671.0,456.9,480.2,377.6,143.9,644.0,54.3,721.4,431.1,417.1,928.0,737.0,654.8,487.6,621.3,342.3,977.6,422.0,370.7,298.3,305.5,483.7,410.0,422.6,72.7,662.0,689.4,600.1,731.9,454.1,391.1,361.3,396.0,60.6,441.2,391.4,207.1,288.1,728.0,622.4,199.4,593.4,266.1,512.0,467.8,567.0,392.2,616.8,140.0,22.7
EW,258.0,562.2,452.8,156.4,763.7,73.6,639.1,402.4,148.6,567.1,886.6,686.7,388.9,431.9,750.3,603.0,563.5,570.6,0.0,534.4,513.0,667.2,266.7,343.0,232.0,369.2,380.7,630.4,125.7,593.4,734.2,64.6,216.8,822.9,1887.2,217.3,408.6,458.7,473.1,507.9,314.8,380.1,666.4,229.9,745.7,196.4,332.8,581.6,814.3,704.5,616.9,109.9,830.2,703.1,640.7,119.0,683.7,619.0,491.8,330.5,677.5,251.0,190.0,243.7,406.7,778.6,580.1,289.9,535.9,421.8,810.6,466.5,573.9,149.8,300.7,327.2,267.2,338.4,623.5,801.5,798.7,525.9,758.9,420.1,721.8,496.5,554.3,307.9,335.3,119.1,377.8,370.7,770.6,463.5,360.1,542.2,377.6,778.0,660.5,769.7,373.9,141.4,681.0,112.4,619.5,372.5,482.3,103.1,669.7,403.6,422.9,593.4
FH,596.0,271.2,424.0,494.4,393.5,481.2,295.0,189.8,613.5,426.2,414.3,353.3,726.9,769.9,380.1,258.9,148.0,98.3,564.9,0.0,414.6,223.1,314.2,681.0,696.9,278.7,290.2,362.2,456.9,121.1,342.5,490.3,681.7,350.6,2245.6,555.3,425.5,429.9,419.8,323.8,652.8,718.1,194.1,694.8,375.5,661.3,670.8,440.7,444.1,232.2,245.2,574.8,571.3,259.0,372.5,546.8,239.6,957.0,829.8,350.3,344.1,298.0,654.9,440.8,489.5,386.9,45.6,627.9,63.6,730.7,440.4,426.4,911.9,720.9,638.7,496.9,605.2,326.2,961.5,431.3,380.0,307.6,314.8,467.6,419.3,431.9,82.0,645.9,673.3,584.0,715.8,462.2,400.4,370.6,379.9,69.9,425.1,400.7,216.4,297.4,711.9,606.3,208.7,577.3,275.4,521.3,477.1,550.9,401.5,600.7,123.9,121.1
FM,541.7,143.3,49.8,440.1,321.9,425.9,220.2,525.2,558.2,54.0,568.5,244.9,672.6,715.6,308.5,184.1,501.2,406.1,510.6,435.3,0.0,248.3,389.5,626.7,642.6,491.0,502.5,188.6,402.6,428.9,315.3,435.0,627.4,503.8,2127.3,501.0,104.0,44.4,192.9,139.8,598.5,663.8,336.7,640.5,303.9,607.0,616.5,68.5,372.5,374.8,198.0,520.5,388.4,267.6,198.9,492.5,248.2,902.7,775.5,453.3,235.7,369.8,600.6,322.7,168.0,360.7,481.0,572.6,364.7,409.2,368.8,199.5,857.6,665.6,584.4,175.4,550.9,460.2,906.2,360.7,356.9,125.8,323.4,542.9,302.9,17.2,346.2,590.6,619.0,529.7,661.5,139.7,328.8,92.2,482.9,358.4,500.4,336.2,241.6,450.6,657.6,552.0,351.3,523.0,200.6,199.8,155.6,496.6,227.9,346.0,477.1,428.9
FU,706.3,114.3,267.1,604.7,191.8,591.5,138.1,340.9,723.8,241.5,365.4,154.5,837.2,880.2,181.3,102.0,299.1,204.0,675.2,233.2,229.9,0.0,465.3,791.3,807.2,429.8,441.3,163.1,567.2,226.8,185.6,600.6,792.0,301.7,2291.9,665.6,268.6,273.0,203.0,169.2,763.1,828.4,134.6,805.1,176.7,771.6,781.1,256.0,245.3,172.7,72.5,685.1,362.9,35.8,173.4,657.1,16.4,1067.3,940.1,501.4,145.3,449.1,765.2,487.3,272.7,230.0,278.9,738.2,162.6,573.8,240.7,209.6,1022.2,831.2,749.0,340.0,715.5,477.3,1071.8,216.3,156.8,150.7,91.6,618.7,262.4,247.2,144.1,756.2,783.6,694.3,826.1,305.3,184.9,213.7,531.0,156.3,576.2,177.5,6.6,248.5,822.2,716.6,149.2,687.6,118.5,364.4,320.2,661.2,202.4,510.6,275.0,226.8
FW,307.8,522.8,361.7,206.2,645.1,193.0,546.6,181.7,325.3,476.0,665.9,604.9,438.7,481.7,631.7,510.5,342.8,349.9,276.7,313.7,421.9,474.7,0.0,392.8,408.7,148.5,160.0,613.8,168.7,372.7,594.1,202.1,393.5,602.2,1957.4,267.1,317.5,367.6,382.0,416.8,364.6,429.9,445.7,406.6,627.1,373.1,382.6,490.5,695.7,483.8,496.8,286.6,822.9,510.6,624.1,258.6,491.2,668.8,541.6,109.8,595.7,30.3,366.7,152.6,315.6,638.5,359.4,339.7,315.2,330.7,692.0,375.4,623.7,432.7,350.5,236.1,317.0,117.7,673.3,682.9,631.6,434.8,566.4,153.3,670.9,405.4,333.6,357.7,385.1,295.8,427.6,279.6,652.0,372.4,139.4,321.5,110.8,652.3,468.0,549.0,423.7,318.1,460.3,289.1,527.0,281.4,391.2,262.7,653.1,312.5,202.2,372.7
FX,365.5,712.3,602.9,202.8,913.8,273.3,789.2,552.5,405.6,717.2,1036.7,836.8,496.4,141.3,900.4,753.1,713.6,720.7,357.0,684.5,663.1,817.3,416.8,0.0,489.0,519.3,530.8,780.5,275.8,743.5,884.3,282.4,473.8,973.0,2165.2,140.2,558.7,608.8,623.2,658.0,422.3,89.5,816.5,486.9,895.8,453.4,128.4,731.7,964.4,854.6,767.0,366.9,980.3,853.2,790.8,338.9,833.8,328.4,599.3,480.6,827.6,401.1,447.0,393.8,556.8,928.7,730.2,64.5,686.0,571.9,960.7,616.6,681.4,513.0,408.2,477.3,332.1,488.5,731.0,951.6,948.8,676.0,909.0,570.2,871.9,646.6,704.4,415.4,44.7,376.1,442.7,520.8,920.7,613.6,510.2,692.3,527.7,928.1,810.6,919.8,87.3,398.4,831.1,369.4,769.6,522.6,632.4,343.0,819.8,553.7,573.0,743.5
FY,379.6,683.8,574.4,278.0,885.3,195.2,760.7,524.0,68.5,688.7,1008.2,808.3,510.5,553.5,871.9,724.6,685.1,692.2,201.6,656.0,634.6,788.8,388.3,464.6,0.0,490.8,502.3,752.0,247.3,715.0,855.8,186.2,308.7,944.5,1747.9,338.9,530.2,580.3,594.7,629.5,436.4,501.7,788.0,108.1,867.3,288.3,454.4,703.2,935.9,826.1,738.5,161.8,951.8,824.7,762.3,240.6,805.3,740.6,613.4,452.1,799.1,372.6,241.9,365.3,528.3,900.2,701.7,411.5,657.5,543.4,932.2,588.1,695.5,357.6,422.3,448.8,388.8,460.0,745.1,923.1,920.3,647.5,880.5,541.7,843.4,618.1,675.9,429.5,456.9,96.8,499.4,492.3,892.2,585.1,481.7,663.8,499.2,899.6,782.1,891.3,495.5,233.3,802.6,103.2,741.1,494.1,603.9,224.7,791.3,525.2,544.5,715.0
GB,441.9,478.9,495.8,340.3,601.2,327.1,502.7,137.8,459.4,633.9,622.0,561.0,572.8,615.8,587.8,466.6,298.9,306.0,410.8,269.8,622.3,430.8,160.1,526.9,542.8,0.0,11.5,569.9,302.8,328.8,550.2,336.2,527.6,558.3,2091.5,401.2,451.6,501.7,627.5,531.5,498.7,564.0,401.8,540.7,583.2,507.2,516.7,648.4,651.8,439.9,452.9,420.7,779.0,466.7,580.2,392.7,447.3,802.9,675.7,196.2,551.8,140.0,500.8,286.7,449.7,594.6,315.5,473.8,271.3,464.8,648.1,509.5,757.8,566.8,484.6,370.2,451.1,172.1,807.4,639.0,587.7,515.3,522.5,313.5,627.0,639.6,289.7,491.8,519.2,429.9,561.7,414.9,608.1,578.3,225.8,277.6,271.0,608.4,424.1,505.1,557.8,452.2,416.4,423.2,483.1,415.5,525.3,396.8,609.2,446.6,158.3,328.8
GC,456.9,493.9,510.8,355.3,616.2,342.1,517.7,152.8,474.4,648.9,637.0,576.0,587.8,630.8,602.8,481.6,313.9,321.0,425.8,284.8,637.3,445.8,175.1,541.9,557.8,14.9,0.0,584.9,317.8,343.8,565.2,351.2,542.6,573.3,2106.5,416.2,466.6,516.7,642.5,546.5,513.7,579.0,416.8,555.7,598.2,522.2,531.7,663.4,666.8,454.9,467.9,435.7,794.0,481.7,595.2,407.7,462.3,817.9,690.7,211.2,566.8,155.0,515.8,301.7,464.7,609.6,330.5,488.8,286.3,479.8,663.1,524.5,772.8,581.8,499.6,385.2,466.1,187.1,822.4,654.0,602.7,530.3,537.5,328.5,642.0,654.6,304.7,506.8,534.2,444.9,576.7,429.9,623.1,593.3,240.8,292.6,286.0,623.4,439.1,520.1,572.8,467.2,431.4,438.2,498.1,430.5,540.3,411.8,624.2,461.6,173.3,343.8
GD,686.3,99.8,247.1,584.7,156.1,571.5,176.7,491.8,703.8,211.8,516.3,70.7,817.2,860.2,142.7,140.6,450.0,354.9,655.2,384.1,200.2,173.6,534.1,771.3,787.2,580.7,592.2,0.0,547.2,377.7,246.1,580.6,772.0,452.6,2271.9,645.6,248.6,245.7,173.3,149.2,743.1,808.4,285.5,785.1,138.1,751.6,761.1,226.3,206.7,323.6,126.5,665.1,232.2,192.4,10.2,637.1,173.0,1047.3,920.1,597.9,61.5,518.4,745.2,467.3,243.0,290.5,429.8,718.2,313.5,553.8,203.0,179.9,1002.2,811.2,729.0,320.0,695.5,605.8,1051.8,193.9,191.1,130.7,248.2,687.5,259.4,217.5,295.0,736.2,763.6,674.3,806.1,286.5,163.0,193.7,627.5,307.2,645.0,170.4,180.3,399.4,802.2,696.6,300.1,667.6,157.1,344.4,300.2,641.2,39.2,490.6,425.9,377.7
GE,179.4,456.8,347.4,77.8,658.3,64.6,533.7,297.0,196.9,461.7,781.2,581.3,310.3,353.3,644.9,497.6,458.1,465.2,148.3,429.0,407.6,561.8,161.3,264.4,280.3,263.8,275.3,525.0,0.0,488.0,628.8,73.7,265.1,717.5,1943.1,138.7,303.2,353.3,367.7,402.5,236.2,301.5,561.0,278.2,640.3,244.7,254.2,476.2,708.9,599.1,511.5,158.2,724.8,597.7,535.3,130.2,578.3,540.4,413.2,225.1,572.1,145.6,238.3,138.3,301.3,673.2,474.7,211.3,430.5,316.4,705.2,361.1,495.3,304.3,222.1,221.8,188.6,233.0,544.9,696.1,693.3,420.5,653.5,314.7,616.4,391.1,448.9,229.3,256.7,167.4,299.2,265.3,665.2,358.1,254.7,436.8,272.2,672.6,555.1,664.3,295.3,189.7,575.6,160.7,514.1,267.1,376.9,134.3,564.3,298.2,317.5,488.0
