from_stop,AE,AF,BJ,BK,BO,BP,BS,BY,CD,CG,CK,CL,CR,CW,DC,DJ,DQ,DY,EC,ED,EG,EQ,ER,ES,EZ,FG,FK,FN,FQ,FS,FZ,GB,GJ,GL,GP,GV,GW,HC,HU,IB,IG,IK,IN,IO,IP,IQ,IX,JA,JC,JD,JE,JI,JJ,JT,KH,LJ,LO,MA,MB,MF,MO,MP,NA,NE,NF,NG,NL,NM,NO,OB,OC,OF,OG,OI,PT,QE,QJ,QL,QO,RL,RN,RT,RU,RV,RX,SJ,SK,SR,ST,SY,TE,TJ,TL,TQ,UE,UI,UL,UN,UQ,UZ,VH,VV,VW,WQ,WS,WX,XF,XP,XR,YF,YK,YM,YP,YS,YT,YW,YY,ZD,ZE,ZI,ZL,ZN,ZP,ZQ,ZV
CK,682.1,763.8,516.0,490.4,578.7,507.5,207.2,345.8,285.1,726.3,0.0,476.1,548.3,541.3,432.4,418.4,555.2,577.0,472.3,712.5,623.0,624.5,611.4,363.8,579.0,683.8,638.2,626.7,408.9,510.4,559.1,463.4,147.7,673.2,645.7,438.4,502.1,493.4,317.1,751.1,693.8,547.4,688.3,584.7,529.1,529.2,89.8,575.8,605.9,348.3,99.6,489.3,383.5,497.5,677.2,432.5,553.1,462.4,761.0,480.0,481.9,848.3,542.0,259.3,664.0,522.8,525.8,548.9,757.4,508.2,650.7,528.8,474.3,776.6,786.3,2077.8,492.6,145.7,668.0,859.5,379.0,292.2,718.9,673.5,595.0,430.4,462.3,485.0,316.6,559.0,610.9,598.0,338.6,231.7,860.6,256.0,493.7,716.9,267.4,833.0,352.4,691.3,797.4,695.6,120.5,710.6,786.5,677.3,573.7,924.0,651.2,642.2,399.1,215.3,591.0,670.2,595.1,777.8,713.9,410.6,456.9,508.4,329.3,657.2,441.9
CL,230.0,284.0,553.6,146.5,385.6,344.7,332.9,383.4,432.3,533.2,443.9,0.0,385.5,129.4,470.0,74.5,143.3,614.6,354.5,519.4,289.6,312.8,211.1,511.0,167.1,373.3,327.7,664.3,446.5,548.0,596.7,501.0,294.9,710.8,335.2,27.6,90.2,531.0,354.7,788.7,383.3,384.6,199.2,172.8,566.7,566.8,344.7,613.4,412.8,385.9,335.5,77.4,421.1,535.1,266.7,470.1,590.7,500.0,378.1,317.2,519.5,465.4,65.8,406.5,470.9,560.4,113.9,586.5,374.5,545.8,198.6,366.0,311.5,296.8,603.8,2051.4,530.2,277.4,314.8,379.7,416.6,439.4,336.0,480.4,183.1,86.5,50.4,522.6,354.2,596.6,199.0,404.9,376.2,357.4,380.8,403.2,330.9,302.3,241.2,639.9,390.0,498.2,308.3,278.1,313.4,327.7,403.6,714.9,161.8,434.9,340.7,231.7,66.9,252.9,628.6,307.3,284.6,298.0,403.4,448.2,339.1,96.5,366.9,246.7,394.7
CR,550.2,597.6,644.7,398.7,519.7,93.4,424.0,474.5,523.4,364.4,535.0,384.4,0.0,449.6,561.1,326.7,463.5,705.7,445.6,507.0,590.3,633.0,531.3,602.1,487.3,693.5,647.9,755.4,537.6,639.1,687.8,592.1,386.0,801.9,655.4,346.7,410.4,622.1,445.8,879.8,703.5,133.3,519.4,493.0,657.8,657.9,435.8,704.5,514.7,477.0,426.6,397.6,512.2,626.2,586.9,561.2,681.8,591.1,696.8,223.4,610.6,784.1,450.3,497.6,351.2,651.5,434.1,677.6,693.2,636.9,518.8,272.2,65.5,610.4,782.6,2041.1,621.3,368.5,633.5,693.3,507.7,530.5,654.7,468.0,503.3,338.7,370.6,613.7,445.3,687.7,519.2,417.0,467.3,448.5,694.4,494.3,237.1,615.9,332.3,471.1,481.1,323.9,621.9,591.7,404.5,646.4,722.3,806.0,482.0,748.5,660.9,551.9,307.4,344.0,719.7,627.5,604.8,611.6,723.6,539.3,430.2,416.7,458.0,566.9,573.5
CW,194.7,219.2,628.5,204.8,350.3,419.6,407.8,458.3,507.2,497.9,518.8,119.1,460.4,0.0,544.9,149.4,126.8,689.5,429.4,484.1,211.9,277.5,175.8,485.8,37.6,321.4,275.8,739.2,521.4,622.9,671.6,575.9,369.8,785.7,283.3,102.5,101.5,605.9,429.6,863.6,331.4,459.5,158.9,43.3,641.6,641.7,419.6,688.3,377.5,460.8,410.4,88.7,496.0,610.0,231.4,545.0,665.6,574.9,318.4,392.1,594.4,405.7,185.0,481.4,435.6,635.3,16.2,661.4,314.8,620.7,163.3,440.9,386.4,232.0,568.5,2126.3,605.1,352.3,255.1,314.9,491.5,514.3,276.3,445.1,53.6,161.4,78.6,597.5,429.1,671.5,69.5,369.6,451.1,432.3,316.0,478.1,405.8,237.5,316.1,604.6,464.9,462.9,243.5,213.3,388.3,268.0,343.9,789.8,98.2,370.1,288.8,196.4,141.8,327.8,703.5,272.0,249.3,233.2,351.5,523.1,414.0,107.8,441.8,211.4,359.4
DC,680.1,725.9,393.3,528.6,744.9,545.7,353.5,178.9,452.9,816.7,464.5,514.3,586.5,579.5,0.0,443.2,593.4,410.1,510.5,880.3,720.2,762.9,661.2,531.6,617.2,823.4,776.2,194.2,286.2,345.1,126.6,340.7,313.9,507.9,785.3,476.6,538.7,370.7,194.4,320.5,833.4,585.6,649.3,622.9,400.5,363.9,365.3,451.5,773.7,183.0,350.1,525.9,261.0,373.2,715.2,55.6,428.8,339.7,826.7,516.6,316.6,914.0,580.2,427.1,801.9,400.1,562.4,116.4,823.1,385.5,648.7,567.0,512.5,740.3,954.1,2061.6,60.1,298.0,763.4,823.2,256.3,460.0,784.6,841.3,633.2,468.6,500.5,52.5,151.3,393.7,649.1,764.2,173.3,378.0,824.3,423.8,531.9,745.8,305.6,923.4,229.7,776.2,751.8,720.0,334.0,776.3,850.6,244.8,611.9,876.8,790.8,681.8,435.7,235.2,425.7,757.4,734.7,741.5,851.9,286.3,495.1,545.0,164.0,696.8,608.1
DJ,240.3,284.2,515.9,71.9,392.4,307.0,271.8,345.7,394.6,543.5,406.2,74.5,347.8,139.7,430.4,0.0,153.6,576.9,316.8,529.7,276.9,323.1,221.4,473.3,177.4,373.0,334.5,626.6,408.8,510.3,559.0,463.3,257.2,673.1,334.9,36.8,97.0,493.3,317.0,727.6,383.0,346.9,209.5,183.1,524.7,529.1,307.0,552.3,423.1,348.2,291.8,84.2,383.6,497.4,273.5,432.4,553.0,462.3,370.0,256.1,481.8,457.3,140.4,368.8,481.2,522.7,120.7,548.8,366.4,508.1,208.9,328.3,273.8,283.6,614.1,2013.7,492.5,239.7,306.7,366.5,378.9,401.7,327.9,490.7,193.4,11.9,60.7,484.9,316.5,558.9,209.3,411.7,338.5,319.7,367.6,365.5,293.2,289.1,203.5,650.2,352.3,508.5,295.1,264.9,275.7,319.6,408.9,677.2,172.1,435.1,340.4,242.0,5.8,215.2,590.9,317.6,294.9,284.8,403.1,410.5,301.4,106.8,329.2,257.0,401.5
DQ,86.6,140.6,643.3,179.8,242.2,434.4,422.6,473.1,522.0,389.8,533.6,133.9,475.2,106.7,559.7,164.2,0.0,704.3,444.2,376.0,146.2,169.4,67.7,377.7,99.9,229.9,184.3,754.0,536.2,637.7,686.4,590.7,384.6,800.5,191.8,117.3,53.6,620.7,444.4,878.4,239.9,474.3,55.8,63.3,656.4,656.5,434.4,703.1,269.4,475.6,425.2,66.4,510.8,624.8,123.3,559.8,680.4,589.7,234.7,406.9,609.2,322.0,199.8,432.3,327.5,650.1,123.0,676.2,231.1,635.5,55.2,455.7,401.2,153.4,460.4,2141.1,619.9,367.1,171.4,236.3,506.3,399.6,192.6,337.0,115.9,176.2,93.4,612.3,443.9,686.3,131.8,261.5,465.9,447.1,237.4,492.9,420.6,158.9,330.9,496.5,479.7,354.8,164.9,134.7,403.1,184.3,260.2,804.6,18.4,291.5,197.3,88.3,156.6,342.6,718.3,163.9,141.2,154.6,260.0,537.9,428.8,46.5,456.6,103.3,251.3
DY,821.7,869.1,534.9,670.2,888.1,687.3,495.1,242.7,594.5,958.3,606.1,655.9,728.1,721.1,426.8,584.8,735.0,0.0,652.1,1021.9,861.8,904.5,802.8,673.2,758.8,965.0,919.4,623.0,427.8,108.6,555.4,482.3,457.1,271.4,926.9,618.2,681.9,512.3,336.0,747.4,975.0,727.2,790.9,764.5,543.7,127.4,506.9,594.7,915.3,300.0,497.7,669.1,402.4,516.4,858.4,428.8,572.0,481.3,968.3,659.8,310.7,1055.6,721.8,568.7,945.1,541.7,705.6,545.2,964.7,527.1,790.3,708.6,654.1,881.9,1095.7,2224.2,488.9,439.6,905.0,964.8,397.9,601.6,926.2,982.9,774.8,610.2,642.1,481.3,272.4,512.7,790.7,907.4,249.6,519.6,965.9,565.4,673.5,887.4,447.2,1065.0,371.3,917.8,893.4,863.2,475.6,917.9,993.8,673.6,753.5,1020.0,932.4,823.4,578.9,376.8,189.2,899.0,876.3,883.1,995.1,429.5,636.7,688.2,259.0,838.4,751.3
EC,565.7,613.1,575.2,414.2,747.5,431.3,354.5,405.0,453.9,702.3,465.5,399.9,472.1,465.1,491.6,342.2,479.0,636.2,0.0,881.3,605.8,648.5,546.8,532.6,502.8,709.0,663.4,685.9,468.1,569.6,618.3,522.6,316.5,732.4,670.9,362.2,425.9,552.6,376.3,810.3,719.0,471.2,534.9,508.5,588.3,588.4,366.3,635.0,774.7,407.5,357.1,413.1,442.7,556.7,602.4,491.7,612.3,521.6,712.3,403.8,541.1,799.6,465.8,428.1,689.1,582.0,449.6,608.1,708.7,567.4,534.3,452.6,398.1,625.9,955.1,2073.2,551.8,299.0,649.0,708.8,438.2,461.0,670.2,842.3,518.8,354.2,386.1,544.2,375.8,618.2,534.7,766.8,397.8,379.0,709.9,424.8,417.5,631.4,262.8,809.0,411.6,661.8,637.4,607.2,335.0,661.9,737.8,736.5,497.5,764.0,676.4,567.4,322.9,274.5,650.2,643.0,620.3,627.1,739.1,469.8,19.6,432.2,388.5,582.4,610.7
ED,394.8,476.5,959.1,515.4,226.7,404.0,650.3,788.9,539.4,207.8,719.8,526.3,486.7,500.3,875.5,556.6,392.3,1020.1,818.1,0.0,335.7,337.2,324.1,406.9,493.5,396.5,350.9,1069.8,852.0,953.5,1002.2,906.5,572.2,1116.3,358.4,509.7,446.0,936.5,760.2,1194.2,406.5,363.9,401.0,456.9,972.2,972.3,620.6,1018.9,221.7,791.4,611.4,458.8,826.6,940.6,389.9,875.6,996.2,905.5,473.7,595.9,925.0,561.0,592.2,461.5,145.5,965.9,516.6,992.0,470.1,951.3,363.4,644.7,438.0,489.3,489.6,2413.6,935.7,588.8,380.7,572.2,822.1,428.8,431.6,44.0,509.5,568.6,485.8,928.1,759.7,1002.1,525.4,124.0,781.7,674.8,573.3,541.1,609.6,429.6,704.8,314.5,795.5,172.8,510.1,408.3,589.3,423.3,499.2,1120.4,412.0,636.7,363.9,354.9,549.0,658.4,1034.1,382.9,307.8,490.5,426.6,853.7,802.7,438.9,772.4,369.9,280.5
EG,149.8,164.8,778.2,186.0,185.1,528.9,557.5,608.0,453.1,332.7,633.5,281.3,611.6,203.0,692.7,285.6,147.3,839.2,579.1,318.9,0.0,133.5,79.1,320.6,196.2,109.4,63.8,888.9,671.1,772.6,821.3,725.6,485.9,935.4,71.3,264.7,201.0,755.6,579.3,1013.3,119.4,488.8,84.5,159.6,787.0,791.4,534.3,838.0,212.3,610.5,525.1,213.8,645.7,759.7,144.9,694.7,815.3,724.6,162.3,541.8,744.1,249.6,347.2,375.2,270.4,785.0,219.3,811.1,158.7,770.4,118.4,590.6,562.9,177.6,403.3,2276.0,754.8,502.0,93.6,260.5,641.2,342.5,120.2,279.9,212.2,250.2,240.8,747.2,578.8,821.2,228.1,204.4,600.8,582.0,261.6,454.8,555.5,118.2,465.8,439.4,614.6,297.7,189.1,96.9,503.0,111.9,187.8,939.5,167.0,315.7,76.8,109.9,291.5,477.5,853.2,119.9,37.8,178.8,139.5,672.8,563.7,193.9,591.5,124.9,194.2
EQ,159.9,241.6,800.8,280.5,195.1,538.9,580.1,630.6,463.1,342.7,643.5,291.4,621.6,265.4,717.2,321.7,157.4,861.8,601.7,328.9,122.0,0.0,89.2,330.6,258.6,182.8,137.2,911.5,693.7,795.2,843.9,748.2,495.9,958.0,144.7,274.8,211.1,778.2,601.9,1035.9,192.8,498.8,166.1,222.0,813.9,814.0,544.3,860.6,222.3,633.1,535.1,223.9,668.3,782.3,155.0,717.3,837.9,747.2,238.8,564.4,766.7,326.1,357.3,385.2,280.4,807.6,281.7,833.7,235.2,793.0,128.5,613.2,572.9,254.4,413.3,2298.6,777.4,524.6,167.0,337.3,663.8,352.5,196.7,289.9,274.6,333.7,250.9,769.8,601.4,843.8,290.5,214.4,623.4,604.6,338.4,464.8,578.1,194.7,488.4,449.4,637.2,307.7,275.2,173.4,513.0,188.4,264.3,962.1,177.1,401.8,150.2,120.0,314.1,500.1,875.8,148.0,94.1,255.6,212.9,695.4,586.3,204.0,614.1,135.0,204.2
ER,70.6,161.6,711.5,200.8,174.4,518.2,490.8,541.3,442.4,322.0,601.8,202.1,600.9,176.1,627.9,232.4,68.1,772.5,512.4,308.2,78.4,101.6,0.0,309.9,169.3,162.1,116.5,822.2,604.4,705.9,754.6,658.9,452.8,868.7,124.0,185.5,121.8,688.9,512.6,946.6,172.1,478.1,76.8,132.7,724.6,724.7,502.6,771.3,201.6,543.8,493.4,134.6,579.0,693.0,65.7,628.0,748.6,657.9,166.9,475.1,677.4,254.2,268.0,364.5,259.7,718.3,192.4,744.4,163.3,703.7,39.2,523.9,469.4,174.4,392.6,2209.3,688.1,435.3,103.6,257.3,574.5,331.8,124.8,269.2,185.3,244.4,161.6,680.5,512.1,754.5,201.2,193.7,534.1,515.3,258.4,444.1,488.8,122.8,399.1,428.7,547.9,287.0,185.9,101.5,471.3,116.5,192.4,872.8,87.8,312.5,129.5,30.7,224.8,410.8,786.5,96.1,73.4,175.6,192.2,606.1,497.0,114.7,524.8,45.7,183.5
ES,360.8,442.5,614.7,481.4,257.4,601.2,305.9,444.5,195.0,405.0,375.4,492.3,683.9,466.3,531.1,522.6,358.3,675.7,571.0,391.2,301.7,303.2,290.1,0.0,459.5,362.5,316.9,725.4,507.6,609.1,657.8,562.1,227.8,771.9,324.4,475.7,412.0,592.1,415.8,849.8,372.5,561.1,367.0,422.9,627.8,627.9,276.2,674.5,284.6,447.0,267.0,424.8,482.2,596.2,355.9,531.2,651.8,561.1,439.7,578.7,580.6,527.0,558.2,117.1,342.7,621.5,482.6,647.6,436.1,606.9,329.4,627.5,635.2,455.3,465.0,2176.5,591.3,244.4,346.7,538.2,477.7,84.4,397.6,352.2,475.5,534.6,451.8,583.7,415.3,657.7,491.4,276.7,437.3,330.4,539.3,196.7,592.4,395.6,366.1,511.7,451.1,370.0,476.1,374.3,244.9,389.3,465.2,776.0,378.0,602.7,329.9,320.9,515.0,314.0,689.7,348.9,273.8,456.5,392.6,509.3,555.6,404.9,428.0,335.9,120.6
EZ,196.7,221.2,655.0,206.8,352.3,446.1,434.3,484.8,533.7,499.9,545.3,145.6,486.9,26.4,571.4,175.9,128.8,716.0,455.9,486.1,213.9,279.5,177.8,487.8,0.0,323.4,277.8,765.7,547.9,649.4,698.1,602.4,396.3,812.2,285.3,129.0,128.0,632.4,456.1,890.1,333.4,486.0,160.9,45.3,668.1,668.2,446.1,714.8,379.5,487.3,436.9,115.2,522.5,636.5,233.4,571.5,692.1,601.4,320.4,418.6,620.9,407.7,211.5,507.9,437.6,661.8,42.7,687.9,316.8,647.2,165.3,467.4,412.9,234.0,570.5,2152.8,631.6,378.8,257.1,316.9,518.0,509.7,278.3,447.1,15.9,187.9,105.1,624.0,455.6,698.0,31.9,371.6,477.6,458.8,318.0,504.6,432.3,239.5,342.6,606.6,491.4,464.9,245.5,215.3,414.8,270.0,345.9,816.3,100.2,372.1,290.8,198.4,168.3,354.3,730.0,274.0,251.3,235.2,353.5,549.6,440.5,134.3,468.3,213.4,361.4
FG,210.5,252.9,851.4,274.1,204.5,548.3,583.4,681.2,472.5,352.1,652.9,342.0,631.0,291.1,767.8,350.3,208.0,912.4,652.3,338.3,88.0,152.9,139.8,340.0,284.3,0.0,84.2,962.1,744.3,845.8,894.5,798.8,505.3,1008.6,91.7,325.4,261.7,828.8,652.5,1086.5,139.8,508.2,172.6,247.7,864.5,864.6,553.7,911.2,231.7,683.7,544.5,274.5,718.9,832.9,205.6,767.9,888.5,797.8,250.4,615.0,817.3,332.9,407.9,394.6,289.8,858.2,307.4,884.3,241.1,843.6,179.1,663.8,582.3,265.7,422.7,2349.2,828.0,521.9,114.0,348.6,714.4,361.9,208.3,299.3,300.3,338.3,301.5,820.4,652.0,894.4,316.2,223.8,674.0,607.9,349.7,474.2,628.7,206.3,539.0,458.8,687.8,317.1,277.2,185.0,522.4,200.0,275.9,1012.7,227.7,403.8,21.1,170.6,364.7,550.7,926.4,198.6,57.2,266.9,159.9,746.0,636.9,254.6,664.7,185.6,213.6
