from_stop,AT,BF,BI,BL,CM,CO,CX,DB,EE,EQ,ET,FI,FM,FO,FV,GB,GL,GN,GW,HE,JT,KY,LO,LQ,ND,NR,OJ,OP,PC,PE,PJ,PL,PT,QW,RE,RP,SE,SK,SL,SN,TE,TO,TV,UP,VI,VU,WD,XN,XU,YT,ZR
FO,143.9,215.4,152.9,367.3,356.0,239.9,2382.6,166.1,142.5,306.2,375.0,128.2,139.9,0.0,320.7,291.6,293.7,315.8,301.5,346.0,209.9,348.5,281.6,337.7,220.2,123.9,303.1,252.4,165.0,352.6,204.0,128.2,306.1,226.8,175.3,338.9,301.6,295.8,308.9,13.3,255.9,274.9,146.6,48.3,140.2,290.8,273.2,250.3,239.7,39.8,300.0
FV,331.2,122.4,298.5,46.5,107.8,93.3,2141.9,354.5,332.6,96.1,78.5,344.0,252.4,324.0,0.0,97.7,96.7,126.5,154.2,126.2,113.0,27.7,115.6,16.9,99.0,269.5,69.5,84.1,277.5,19.4,116.3,344.0,116.8,125.0,302.9,18.1,112.3,62.2,153.7,310.1,93.5,41.4,259.1,275.8,334.8,39.2,39.3,79.0,80.6,288.2,129.4
GB,318.2,93.7,290.1,106.5,167.7,109.1,2100.7,343.1,319.6,71.0,138.4,331.0,211.0,286.9,147.3,0.0,127.2,24.2,60.4,183.1,135.1,129.5,74.9,139.8,145.4,261.1,100.0,121.9,241.4,130.3,175.1,331.0,14.4,122.4,294.5,143.3,9.9,92.7,51.3,273.0,34.8,71.8,217.7,238.7,321.8,93.3,70.1,127.5,39.9,246.5,93.2
GL,297.3,169.2,281.1,145.9,62.2,117.2,2175.4,322.2,298.7,129.6,81.2,310.1,218.5,294.7,94.0,135.8,0.0,160.0,187.7,57.3,79.1,121.7,149.1,111.0,65.1,240.2,64.9,129.7,248.9,120.2,100.4,310.1,150.3,104.1,273.6,112.2,145.8,53.7,187.2,280.8,172.8,75.0,225.2,246.5,301.0,116.6,77.4,80.8,114.1,255.4,167.5
GN,330.0,123.1,313.8,82.3,143.5,106.9,2076.5,354.9,331.4,46.8,114.2,342.8,240.4,316.3,123.1,29.3,156.6,0.0,36.2,151.0,164.5,105.3,90.7,115.6,174.8,272.9,133.3,97.7,270.8,110.1,204.5,342.8,11.8,121.2,306.3,119.1,17.2,122.1,27.1,302.4,64.2,101.2,247.1,268.1,333.7,122.7,99.5,156.9,69.3,277.0,69.0
GW,337.9,115.9,321.7,90.2,151.4,114.8,2084.4,362.8,339.3,54.7,122.1,350.7,235.3,303.7,131.0,56.2,172.9,26.8,0.0,158.9,165.8,113.2,54.4,123.5,176.1,280.8,149.6,105.6,265.7,118.0,205.8,350.7,38.7,129.1,314.2,127.0,44.1,138.4,7.3,289.8,91.1,117.5,242.0,255.5,341.6,139.0,115.8,173.2,96.2,264.4,32.7
HE,307.7,118.3,279.6,98.4,10.0,84.6,2133.2,332.6,309.1,87.4,29.0,320.5,266.6,342.8,48.8,93.6,48.0,117.8,145.5,0.0,127.2,79.5,106.9,68.8,113.2,250.6,38.8,75.4,291.7,67.9,148.5,320.5,108.1,98.9,284.0,70.0,103.6,31.5,145.0,328.9,84.8,32.8,273.3,294.6,311.3,48.5,35.2,128.9,71.9,302.4,125.3
JT,218.1,90.0,190.0,155.9,146.0,38.0,2150.1,243.0,219.5,104.3,165.0,230.9,139.3,215.5,107.7,125.4,83.7,149.6,170.6,136.0,0.0,138.4,156.2,127.7,10.2,161.0,112.4,50.5,169.7,130.2,39.9,230.9,139.9,24.9,194.4,128.9,135.4,105.1,161.5,201.6,93.6,84.2,146.0,167.3,221.7,82.0,82.5,40.3,135.9,176.2,174.6
KY,349.0,144.8,320.9,18.8,105.7,111.1,2159.7,373.9,350.4,113.9,76.4,361.8,270.2,346.4,17.7,120.1,114.5,144.3,172.0,121.0,130.8,0.0,133.4,10.2,116.8,291.9,91.2,101.9,300.6,39.5,134.1,361.8,134.6,155.8,325.3,38.2,130.1,80.0,171.5,332.5,111.3,59.3,276.9,298.2,352.7,57.0,61.7,96.8,98.4,307.0,151.8
LO,292.5,61.4,312.8,128.8,190.0,100.2,2123.0,320.4,293.9,93.3,160.7,305.3,206.7,277.0,169.6,94.8,140.3,65.4,38.5,122.3,166.0,151.8,0.0,162.1,176.3,283.8,113.1,91.0,237.1,160.0,206.0,305.3,77.3,145.1,317.2,165.6,82.7,105.8,45.9,263.1,65.9,84.9,213.4,228.8,296.2,106.4,83.2,140.6,49.7,236.6,18.4
LQ,338.7,134.5,310.6,34.8,116.4,100.8,2149.4,363.6,340.1,103.6,87.1,351.5,259.9,336.1,12.0,109.8,104.2,134.0,161.7,131.8,120.5,10.7,123.1,0.0,106.5,281.6,80.9,91.6,290.3,32.5,123.8,351.5,124.3,145.5,315.0,27.9,119.8,69.7,161.2,322.2,101.0,48.9,266.6,287.9,342.3,52.3,51.4,86.5,88.1,296.8,141.5
ND,232.1,104.0,204.0,147.0,135.7,52.0,2164.1,257.0,233.5,118.3,154.7,244.9,153.3,229.5,97.4,139.4,73.4,163.6,184.6,125.7,13.9,128.1,170.2,117.4,0.0,175.0,107.4,64.5,178.4,129.0,29.6,244.9,153.9,25.9,208.4,118.6,149.4,100.1,175.5,215.6,107.6,98.2,160.0,181.3,235.8,65.8,96.5,30.0,149.9,190.2,188.6
NR,71.4,198.5,28.9,262.0,278.2,144.1,2256.2,96.3,72.8,210.4,293.9,84.2,216.9,222.1,239.9,242.1,215.9,266.3,276.7,268.2,132.1,270.6,264.7,259.9,142.4,0.0,218.5,156.6,242.0,262.4,152.3,84.2,256.6,131.0,65.7,261.1,252.1,211.2,267.6,235.4,210.3,190.3,223.6,125.3,75.0,206.2,188.6,172.5,212.9,116.8,283.1
OJ,322.2,112.6,273.9,98.0,34.3,80.9,2129.5,353.5,323.6,81.7,53.3,335.0,266.7,297.9,45.1,89.9,62.3,114.1,141.8,22.3,131.2,75.9,101.2,65.1,113.3,244.9,0.0,71.7,291.8,67.6,148.6,314.8,104.4,139.3,280.3,64.3,99.9,4.7,139.3,329.0,81.1,29.0,273.4,294.7,325.8,44.8,31.5,129.0,68.2,290.9,121.6
OP,232.2,57.5,216.0,105.3,81.0,9.1,2099.5,257.1,233.6,53.7,137.2,245.0,171.4,247.6,72.8,101.1,89.0,125.3,120.0,76.1,60.1,128.3,123.7,89.8,70.4,175.1,65.7,0.0,201.8,130.0,100.1,245.0,115.6,23.4,208.5,91.0,111.1,54.5,110.9,233.7,69.3,33.6,178.1,199.4,235.9,55.1,31.9,89.3,56.2,206.7,142.1
PC,110.8,226.0,129.1,340.4,361.3,245.2,2387.9,135.7,112.2,316.8,380.3,123.6,145.2,203.3,285.5,296.9,299.0,321.1,306.8,356.6,220.5,316.3,292.2,305.5,225.5,100.1,308.4,257.7,0.0,308.0,180.2,128.9,311.4,204.9,151.5,312.0,306.9,301.1,314.2,229.5,261.2,280.2,157.2,58.9,114.4,259.8,278.5,218.1,245.0,46.2,305.3
PE,372.9,160.4,336.5,42.6,79.2,138.2,2179.4,407.4,374.3,129.5,49.9,385.7,285.8,388.3,48.8,135.7,142.7,164.0,191.7,74.6,161.9,70.6,160.5,65.5,132.4,307.5,131.4,129.0,331.7,0.0,161.2,385.7,154.3,186.9,340.9,13.0,149.8,138.2,198.6,348.1,138.4,90.4,292.5,313.8,383.8,93.7,77.3,123.9,125.5,334.1,167.4
PJ,236.2,144.2,211.9,154.8,161.5,92.2,2204.3,261.1,237.6,158.5,180.5,249.0,193.5,269.7,108.2,179.6,99.2,203.8,224.8,156.6,54.1,135.9,210.4,125.2,40.1,171.0,119.1,104.7,223.9,156.6,0.0,249.0,194.1,79.1,204.4,126.4,189.6,107.9,215.7,255.8,147.8,138.4,200.2,212.3,239.9,73.6,136.7,37.8,190.1,203.8,228.8
PL,12.7,260.5,105.4,344.1,360.3,226.2,2338.3,34.9,11.3,292.5,376.0,0.0,258.8,118.8,322.0,343.9,298.0,368.1,365.3,350.3,214.2,352.7,326.7,342.0,224.5,76.4,304.5,238.7,289.2,353.6,234.3,0.0,358.4,203.7,127.8,343.2,353.9,293.3,372.7,132.1,312.1,272.4,265.5,167.2,9.0,288.3,270.7,254.6,306.4,158.7,345.1
PT,335.7,111.2,319.5,97.1,153.2,116.6,2086.2,360.6,337.1,56.5,123.9,348.5,228.5,304.4,132.8,17.5,144.7,9.7,45.9,160.7,152.6,115.0,92.4,125.3,162.9,278.6,121.4,107.4,258.9,119.8,192.6,348.5,0.0,126.9,312.0,128.8,5.4,110.2,36.8,290.5,52.3,89.3,235.2,256.2,339.4,110.8,87.6,145.0,57.4,265.1,78.7
QW,208.7,67.4,167.6,130.9,106.6,13.0,2125.1,227.0,210.1,88.7,162.8,221.5,147.9,224.1,95.4,113.4,114.6,135.2,145.6,96.6,10.2,153.9,144.2,138.0,20.5,138.6,87.4,25.5,173.0,117.9,76.6,208.5,125.5,0.0,172.0,139.2,121.0,80.1,136.5,210.2,79.2,68.6,154.6,175.9,212.3,75.1,66.9,77.0,81.8,183.7,152.0
RE,91.3,329.7,145.9,366.6,382.8,248.7,2360.8,116.9,89.9,315.0,398.5,75.6,254.2,114.2,344.5,346.7,320.5,370.9,381.3,372.8,236.7,382.2,395.9,364.5,247.0,116.9,323.1,261.2,279.3,376.1,256.9,75.6,361.2,226.2,0.0,365.7,356.7,315.8,372.2,127.5,314.9,294.9,267.9,162.6,87.6,310.8,293.2,277.1,354.0,154.3,414.3
RP,363.1,158.9,335.0,50.7,89.6,125.2,2173.8,388.0,364.5,128.0,60.3,375.9,284.3,360.5,36.4,134.2,153.1,158.4,186.1,105.0,144.9,31.8,147.5,21.1,130.9,306.0,145.1,116.0,314.7,10.4,148.2,375.9,148.7,169.9,339.4,0.0,144.2,94.1,185.6,346.6,125.4,73.4,291.0,312.3,366.7,76.7,75.8,110.9,112.5,321.1,165.9
SE,330.3,105.8,314.1,96.5,157.7,121.1,2090.7,355.2,331.7,61.0,128.4,343.1,223.1,299.0,137.3,12.0,139.3,14.2,50.4,165.2,147.2,119.5,87.0,129.8,157.5,273.2,116.0,111.9,253.5,124.3,187.2,343.1,4.5,121.5,306.6,133.3,0.0,104.8,41.3,285.1,46.9,83.9,229.8,250.8,334.0,105.4,82.2,139.6,52.0,259.7,83.2
SK,297.2,107.8,269.1,87.9,27.5,74.1,2122.7,322.1,298.6,76.9,46.5,310.0,226.6,293.1,38.3,83.1,55.5,107.3,135.0,17.5,138.5,69.1,96.4,58.3,124.5,240.1,7.2,64.9,257.0,60.8,159.8,310.0,97.6,101.4,273.5,59.5,93.1,0.0,134.5,279.2,74.3,22.4,233.3,244.9,300.9,38.0,24.7,77.8,61.4,252.7,114.8
SL,329.5,124.0,301.4,81.8,143.0,106.4,2076.0,354.4,330.9,46.3,113.7,342.3,243.4,311.8,122.6,47.8,164.5,18.4,8.0,158.4,157.4,104.8,62.5,115.1,167.7,272.4,137.3,97.2,273.8,101.6,197.4,342.3,30.3,120.7,305.8,118.6,35.7,130.0,0.0,297.9,82.7,109.1,250.1,263.6,333.1,130.6,107.4,164.8,87.8,272.5,40.8
SN,121.3,202.1,139.6,354.0,342.7,226.6,2369.3,146.2,122.7,292.9,361.7,142.1,126.6,13.9,304.4,278.3,280.4,302.5,288.2,332.7,196.6,335.1,268.3,324.4,206.9,110.6,289.8,239.1,151.7,326.9,190.7,142.1,292.8,213.5,162.0,325.6,288.3,282.5,295.6,0.0,242.6,261.6,133.3,35.0,124.9,272.8,259.9,237.0,226.4,26.7,286.7
TE,278.3,58.8,262.1,138.3,87.3,55.2,2132.5,303.2,279.7,102.8,106.3,291.1,176.1,252.0,79.1,31.7,95.3,55.9,92.2,82.4,100.2,106.8,63.0,96.1,110.5,221.2,72.0,46.0,206.5,166.1,132.9,291.1,46.2,69.5,254.6,97.3,41.7,60.8,83.1,238.1,0.0,39.9,182.8,203.8,282.0,61.4,38.2,95.6,28.0,212.7,125.0
TO,274.8,85.5,246.6,105.8,47.3,51.7,2100.3,299.8,276.2,54.5,66.3,287.6,229.2,305.2,36.1,60.4,55.3,84.9,112.6,37.3,89.6,66.8,73.9,56.1,75.6,217.7,32.0,42.5,259.4,67.7,92.9,287.6,75.2,101.6,244.2,57.3,70.7,20.8,112.1,291.3,51.9,0.0,235.7,257.0,278.4,15.8,2.3,55.6,39.0,265.8,92.3
TV,134.5,244.4,152.8,358.8,385.0,268.9,2411.6,162.4,135.9,335.2,404.0,147.3,168.9,227.0,312.2,320.6,322.7,344.8,330.5,375.0,238.9,339.9,310.6,329.2,249.2,123.8,336.0,281.4,18.3,360.6,203.9,147.3,335.1,228.6,168.2,330.4,330.6,324.8,337.9,253.2,284.9,303.9,0.0,77.3,138.2,283.5,302.2,241.8,268.7,68.8,329.0
UP,131.7,167.0,150.0,324.2,307.6,191.5,2334.2,156.6,133.1,257.8,326.6,144.5,91.5,48.1,269.3,243.2,245.3,267.4,253.1,297.6,161.5,300.0,233.2,289.3,171.8,121.0,258.6,204.0,116.6,291.8,201.5,144.5,257.7,178.4,172.4,290.5,253.2,247.4,260.5,34.2,207.5,226.5,98.2,0.0,135.4,237.7,224.8,201.9,191.3,8.8,251.6
VI,3.6,251.4,96.3,334.9,351.2,217.1,2329.2,34.2,2.3,283.3,366.9,9.0,243.7,130.8,312.9,334.7,288.9,359.0,356.2,341.2,205.0,343.6,317.5,332.9,215.3,67.3,291.5,229.6,268.6,335.4,225.2,9.0,349.3,194.6,111.7,334.0,344.8,284.2,363.5,144.2,303.0,263.3,250.2,151.9,0.0,279.2,261.6,245.5,297.3,144.5,336.0
VU,286.3,163.8,258.2,75.2,60.7,106.2,2133.9,323.2,287.7,88.1,113.1,299.1,207.5,289.3,31.5,88.4,68.7,118.5,146.2,44.8,73.7,62.3,107.6,51.5,59.7,229.2,41.5,118.7,232.6,54.0,71.4,304.7,108.8,80.1,262.6,52.7,104.3,34.2,145.7,269.8,161.8,33.4,219.8,235.5,289.9,0.0,35.9,34.1,72.6,243.3,120.1
WD,272.4,83.0,244.3,103.7,49.0,49.3,2097.9,297.3,273.8,52.1,68.0,285.2,230.7,306.9,37.8,58.3,57.0,82.5,110.2,39.0,91.3,68.5,71.6,57.8,77.3,215.3,33.7,40.1,261.1,128.4,94.6,285.2,72.8,103.3,248.7,59.0,68.3,22.5,109.7,293.0,49.5,1.7,237.4,258.7,276.1,17.5,0.0,57.3,36.6,267.5,90.0
XN,252.1,124.0,235.9,122.2,96.5,72.0,2184.1,277.0,253.5,138.3,148.9,264.9,173.3,249.5,70.3,159.4,99.0,183.6,204.6,91.6,33.9,98.0,143.4,87.3,19.9,195.0,81.2,84.5,203.7,118.7,37.2,264.9,173.9,58.9,228.4,88.5,169.4,70.0,195.5,235.6,127.6,69.3,180.0,201.3,255.8,35.7,116.5,0.0,108.4,210.2,161.8
XU,273.5,75.0,257.3,120.9,82.5,50.4,2199.3,298.4,274.9,73.2,101.5,286.3,192.3,268.2,74.3,44.9,90.5,100.4,73.5,77.6,101.4,102.0,34.9,91.3,110.8,216.4,67.2,41.2,222.7,122.7,128.1,286.3,59.4,64.7,249.8,92.5,54.9,56.0,80.9,254.3,16.1,35.1,199.0,220.0,277.2,56.6,33.4,90.8,0.0,228.9,53.3
YT,122.9,175.3,142.2,327.2,315.9,199.8,2342.5,154.2,124.3,265.2,334.9,135.7,99.8,39.2,280.6,251.5,253.6,275.7,261.4,305.9,168.9,308.3,240.6,296.7,179.2,112.1,266.9,212.3,130.2,309.2,209.8,135.7,266.0,186.7,156.6,297.9,261.5,255.9,267.9,25.4,215.8,234.8,105.6,7.4,126.5,246.0,233.3,210.2,199.6,0.0,259.0
ZR,314.2,83.1,330.0,115.5,171.6,135.0,2104.6,339.1,315.6,74.9,142.3,327.0,228.4,298.7,155.8,76.4,162.0,47.0,20.1,187.0,187.7,133.4,21.6,143.7,198.0,301.0,138.7,125.8,258.8,130.2,227.7,327.0,58.9,162.3,334.4,147.2,64.3,127.5,27.5,284.8,111.3,106.6,235.1,250.5,317.8,128.1,104.9,162.3,71.4,259.3,0.0
