from_stop,AM,AO,BE,BS,BW,CB,CI,CQ,DB,DM,DZ,EL,ER,EU,FE,FR,GD,GH,GZ,HK,HU,HZ,IH,IM,IY,IZ,JH,JK,JL,JO,KB,KI,KQ,KS,LN,LP,MA,MR,MU,MZ,NH,NM,OD,OF,OH,OQ,OS,OV,PA,PL,PM,QG,QM,QV,RC,RH,RM,RS,SC,SD,SM,SR,TR,TW,UK,UL,UR,VL,VP,VZ,XC,XH,XN,XO,XS,XT,XU,XZ,YI,YN,YO,YU,ZA,ZB,ZK,ZQ,ZX
DZ,78.0,247.6,331.7,96.9,77.9,228.1,113.0,55.1,137.1,189.2,0.0,79.9,164.0,149.7,73.7,342.1,249.7,122.6,150.7,175.2,94.3,144.8,114.9,111.8,46.9,77.4,149.9,227.4,316.4,447.4,106.8,126.6,74.4,104.2,352.8,194.4,175.5,115.3,350.8,293.8,180.4,377.5,135.1,314.1,88.3,192.7,259.9,336.5,265.8,366.9,119.3,104.2,379.7,346.6,180.3,155.3,445.4,168.5,319.6,257.8,160.9,69.5,213.3,288.5,57.5,318.1,145.3,115.6,245.2,187.8,326.2,88.1,175.8,38.4,217.1,128.2,236.5,63.6,1420.8,245.7,132.3,313.6,327.7,196.4,267.3,147.6,197.4
EL,103.3,257.7,305.8,16.9,97.8,248.0,132.9,73.7,157.0,199.7,88.8,0.0,202.7,169.6,111.6,316.2,223.8,52.6,54.3,149.3,24.3,153.4,44.4,131.7,66.8,97.3,188.6,201.5,290.5,421.5,26.8,172.1,5.9,129.5,358.0,194.7,195.4,45.3,341.7,267.9,208.1,351.6,163.6,288.2,88.0,212.6,234.0,345.1,239.9,341.0,179.4,63.2,353.8,320.7,154.3,179.0,419.5,184.4,293.7,231.9,191.5,115.3,133.3,262.6,29.8,292.2,30.4,135.5,221.3,161.9,300.3,18.1,149.9,104.6,227.2,148.1,229.6,96.0,1340.8,219.8,80.3,287.7,301.8,216.3,187.3,209.6,249.5
ER,162.6,160.9,322.7,181.5,100.2,228.7,47.6,139.7,136.2,120.9,141.2,164.5,0.0,143.1,176.3,348.8,240.7,207.2,243.1,130.4,178.9,80.8,209.0,105.2,104.0,132.5,19.7,153.2,307.4,455.0,191.4,79.7,159.0,188.8,343.8,115.9,168.9,233.2,341.8,284.8,129.3,384.2,71.2,305.1,209.1,186.1,250.9,327.5,256.8,373.6,87.0,217.8,386.4,353.3,156.2,68.6,465.9,81.8,310.6,248.8,74.2,180.9,274.4,279.5,142.1,309.1,185.0,109.0,176.3,150.2,317.2,172.7,151.7,179.7,130.4,76.3,167.6,201.6,1528.5,177.8,216.9,304.6,318.7,189.8,188.5,125.2,170.7
EU,179.6,191.5,348.7,206.5,89.7,194.7,132.3,156.7,103.7,151.5,158.2,189.5,142.9,0.0,221.2,330.6,271.3,212.9,182.8,161.0,165.2,93.4,234.0,49.7,121.0,149.5,128.8,183.8,338.0,435.9,216.8,76.5,184.0,199.8,363.0,146.5,19.4,143.4,365.6,303.4,147.0,366.0,83.7,338.6,226.1,42.9,280.8,358.1,287.4,355.4,67.9,248.9,368.2,332.9,168.7,99.2,431.7,112.4,341.2,279.4,104.8,197.9,287.0,322.6,159.1,345.1,159.3,168.8,202.4,176.3,347.8,170.5,164.3,196.7,161.0,147.5,198.2,218.6,1541.1,208.4,233.9,334.9,339.8,36.7,201.1,114.2,164.0
FE,71.5,261.9,394.5,118.6,92.2,242.4,127.3,89.4,151.4,203.5,72.9,101.6,178.3,164.0,0.0,432.0,323.9,125.0,76.9,224.3,77.3,159.1,146.1,126.1,61.2,91.7,164.2,242.4,390.6,538.2,128.9,142.2,96.1,45.3,410.7,208.7,183.5,85.4,424.8,356.0,194.7,467.4,149.4,388.3,158.8,207.0,333.4,410.7,340.0,456.8,133.6,161.0,462.8,434.3,234.4,169.6,551.4,182.8,393.8,332.0,175.2,112.6,235.0,362.7,91.8,392.3,71.4,129.9,256.4,239.4,400.4,82.6,230.0,111.4,231.4,142.5,250.8,133.3,1442.5,261.0,166.6,387.8,387.5,200.8,289.0,161.9,211.7
FR,430.8,276.2,22.3,319.6,340.9,269.1,328.0,407.9,307.8,269.3,409.4,336.4,337.7,338.3,444.5,0.0,118.4,389.1,390.8,302.7,360.8,256.2,343.4,300.4,372.2,400.7,323.6,281.6,162.6,106.1,310.9,274.9,342.3,457.0,101.9,264.3,364.1,381.8,118.8,162.5,277.7,35.3,266.4,126.4,477.3,381.3,93.2,143.1,134.5,24.7,282.2,362.2,41.4,4.5,314.5,289.6,117.0,274.3,159.4,126.5,281.4,449.1,348.4,100.8,410.3,130.4,366.9,304.2,189.4,278.6,152.9,354.6,310.1,447.9,224.8,356.7,197.7,469.8,1503.0,187.9,349.7,42.0,76.8,385.0,262.5,317.5,319.1
GD,314.5,159.6,99.2,206.8,229.4,172.8,211.4,296.4,196.3,152.7,297.9,223.6,221.1,225.5,333.0,129.9,0.0,276.3,278.0,186.1,248.0,143.4,230.6,187.6,259.5,289.2,207.0,165.0,66.6,236.1,197.8,160.8,229.5,345.5,117.3,147.7,245.0,268.5,100.8,32.0,161.1,165.3,153.6,89.1,365.8,268.5,32.0,86.7,16.0,154.7,169.4,249.4,167.5,132.2,197.9,173.0,249.3,157.7,69.8,8.0,164.8,337.6,235.6,73.1,298.8,84.8,254.2,164.8,72.1,162.0,76.4,241.8,193.5,336.4,108.2,240.1,81.1,358.3,1462.2,67.0,236.9,85.4,99.8,262.3,149.7,200.9,202.5
GH,105.8,303.6,371.9,83.0,133.9,284.1,169.0,102.9,193.1,245.2,132.6,66.0,220.0,205.7,129.5,382.3,289.9,0.0,71.1,215.4,41.1,200.8,110.5,167.8,102.9,133.4,205.9,267.6,356.6,487.6,92.9,182.6,60.5,108.1,424.1,250.4,231.5,62.1,407.8,334.0,236.4,417.7,191.1,354.3,154.1,248.7,300.1,411.2,306.0,407.1,175.3,129.3,419.9,386.8,220.5,211.3,485.6,224.5,359.8,298.0,216.9,172.3,199.4,328.7,65.9,358.3,47.2,171.6,287.4,228.0,366.4,47.0,216.0,170.7,273.1,184.2,292.5,162.1,1406.9,285.9,103.8,353.8,367.9,252.4,253.4,203.6,253.4
GZ,88.5,330.9,366.5,82.2,161.2,251.7,196.3,113.3,220.4,272.5,151.9,65.2,247.3,233.0,78.9,381.5,289.1,88.6,0.0,214.6,40.9,228.1,109.7,195.1,132.3,115.6,233.2,312.5,355.8,486.8,93.6,211.2,59.7,57.5,425.2,278.0,252.5,30.1,406.8,321.2,264.8,416.9,218.4,356.4,182.7,276.0,298.6,410.4,305.2,406.3,202.6,124.6,419.1,383.8,219.7,238.6,482.6,251.8,360.1,297.2,244.2,191.6,198.6,327.9,65.1,360.1,35.0,219.7,324.0,227.2,366.7,46.2,215.2,190.4,300.4,211.5,320.9,161.3,1406.1,280.8,103.0,352.7,456.5,269.8,252.6,230.9,280.7
HK,203.7,113.9,196.5,222.6,120.4,181.7,88.7,180.8,71.2,73.9,182.3,205.6,98.4,149.2,217.4,211.5,119.1,248.3,284.2,0.0,220.0,66.9,250.1,111.3,145.1,173.6,84.3,96.8,185.8,316.8,232.9,84.5,200.1,229.9,220.3,68.9,168.7,239.7,220.0,151.2,82.3,246.9,77.3,186.4,250.2,192.2,128.6,205.9,135.2,236.3,93.1,258.9,249.1,216.0,49.6,50.3,312.6,35.0,189.0,127.2,42.1,222.0,260.5,170.4,183.2,192.9,255.6,49.7,120.8,57.2,195.6,213.8,45.2,220.8,83.4,117.4,120.6,242.7,1514.6,115.1,258.0,182.7,197.1,195.9,174.6,60.2,123.7
HU,64.0,261.8,330.1,41.2,92.1,242.3,127.2,61.1,151.3,203.4,90.8,24.2,178.2,163.9,105.9,340.5,248.1,47.6,29.9,173.6,0.0,159.0,68.7,126.0,61.1,91.6,164.1,225.8,314.8,445.8,51.1,140.8,18.7,90.2,382.3,208.6,189.7,20.9,366.0,292.2,194.6,375.9,149.3,312.5,112.3,206.9,258.3,369.4,264.2,365.3,133.5,87.5,382.0,345.0,178.7,169.5,443.8,182.7,318.0,256.2,175.1,130.5,157.6,286.9,24.1,316.5,6.0,129.8,245.6,186.2,324.6,5.2,174.2,128.9,231.3,142.4,250.7,120.3,1365.1,244.1,62.0,312.0,326.1,210.6,211.6,161.8,211.6
HZ,143.3,117.8,226.7,162.2,53.4,178.4,39.5,120.4,87.4,77.8,121.9,145.2,49.2,82.0,157.0,237.1,144.7,187.9,223.8,70.2,194.3,0.0,189.7,44.1,84.7,113.2,35.1,122.4,211.4,342.4,172.1,18.6,139.7,169.5,288.6,72.8,107.8,172.1,272.3,188.8,86.2,272.5,10.1,209.1,189.8,125.0,154.9,275.7,160.8,261.9,25.9,198.5,274.7,241.6,75.3,25.5,340.4,38.7,214.6,152.8,31.1,161.6,193.5,183.5,122.8,213.1,188.5,47.9,142.2,82.8,221.2,153.4,70.8,160.4,87.3,68.2,124.5,182.3,1447.6,140.7,197.6,208.6,222.7,128.7,107.6,82.1,127.6
IH,103.3,254.8,302.9,82.0,149.4,299.6,184.5,73.7,208.6,196.8,106.8,54.5,199.8,221.2,163.2,313.3,220.9,107.2,108.9,146.4,78.9,150.5,0.0,183.3,118.4,148.9,185.7,198.6,287.6,418.6,23.9,169.2,60.4,129.5,355.1,191.8,247.0,99.9,338.8,265.0,205.2,348.7,160.7,285.3,51.8,264.2,231.1,342.2,237.0,338.1,176.5,18.7,354.8,317.8,151.5,176.1,416.6,181.5,290.8,229.0,188.6,131.8,130.4,259.7,100.8,289.3,85.0,187.1,218.4,159.0,297.4,72.7,147.0,122.6,224.3,199.7,226.7,112.5,1337.9,216.9,67.8,284.8,298.9,267.9,184.4,206.7,246.6
IM,129.8,141.7,303.5,148.7,39.9,144.9,82.5,106.9,53.9,101.7,108.4,131.7,93.1,37.8,143.5,280.8,221.5,174.4,167.7,111.2,150.1,43.6,176.2,0.0,71.2,99.7,79.0,134.0,288.2,386.1,158.6,25.4,126.2,156.0,315.1,96.7,63.6,127.9,316.0,265.6,97.2,316.2,33.9,285.9,176.3,80.8,231.7,308.3,237.6,305.6,18.1,185.0,318.4,285.3,118.9,49.4,384.1,62.6,291.4,229.6,55.0,148.1,237.2,260.3,109.3,289.9,144.3,3.8,157.1,126.5,298.0,155.4,114.5,146.9,111.2,97.7,148.4,168.8,1491.3,158.6,184.1,285.4,290.0,84.5,151.3,64.4,114.2
IY,53.7,200.6,339.0,77.4,29.9,121.4,65.0,35.6,89.1,142.2,37.1,60.4,117.0,101.7,72.2,370.7,261.6,103.1,140.0,162.0,74.8,97.8,104.9,64.8,0.0,30.4,102.9,180.1,329.3,476.9,88.9,80.9,54.9,84.7,349.4,147.7,121.2,95.3,363.5,294.7,132.4,406.1,88.1,329.9,105.0,145.7,272.1,349.4,278.7,394.5,72.3,109.8,407.3,373.0,172.1,107.3,490.1,120.5,331.5,270.7,113.9,76.8,193.8,312.9,38.0,333.6,80.8,173.2,193.7,178.1,339.1,68.6,168.7,75.6,169.1,80.2,188.5,97.5,1401.3,204.2,112.8,326.2,325.2,139.5,247.8,100.6,150.4
IZ,95.1,215.2,359.2,114.0,45.5,195.7,80.6,72.2,104.7,156.8,73.7,97.0,131.6,117.3,80.4,385.3,277.2,139.7,122.1,177.6,122.5,112.4,141.5,79.4,36.5,0.0,117.5,195.7,343.9,491.5,123.9,94.2,91.5,90.5,365.9,162.0,143.1,131.1,378.3,321.3,148.0,420.7,102.7,341.6,141.6,160.3,287.4,364.0,293.3,410.1,86.9,150.3,426.8,389.8,187.7,122.9,502.4,136.1,347.1,285.3,128.5,113.4,230.4,316.0,74.6,345.6,116.7,83.2,212.8,192.7,353.7,127.8,183.3,112.2,184.7,95.8,204.1,134.1,1437.9,214.3,149.4,341.1,340.8,164.0,220.1,115.2,165.0
JH,142.9,141.2,303.0,161.8,80.5,209.0,27.9,120.0,116.5,101.2,121.5,144.8,14.0,123.4,156.6,329.1,221.0,187.5,223.4,110.7,159.2,61.1,189.3,85.5,84.3,112.8,0.0,133.5,287.7,435.3,171.7,60.0,139.3,169.1,324.1,96.2,149.2,213.5,322.1,265.1,109.6,364.5,51.5,285.4,189.4,166.4,231.2,307.8,237.1,353.9,67.3,198.1,366.7,333.6,136.4,48.9,446.2,62.1,290.9,229.1,54.5,161.2,254.7,259.8,122.4,289.4,165.3,89.3,156.6,130.5,297.5,153.0,132.0,160.0,110.7,56.6,147.9,181.9,1508.8,158.1,197.2,284.9,299.0,170.1,168.8,105.5,151.0
JK,234.2,105.3,208.9,253.1,144.3,67.4,124.0,211.3,111.2,47.3,212.8,236.1,133.7,184.5,247.9,223.9,131.5,278.8,314.7,98.7,250.5,102.2,280.6,146.6,174.4,204.1,119.6,0.0,198.2,329.2,263.4,119.8,230.6,260.4,232.7,42.3,204.0,275.0,232.6,163.6,55.7,259.3,112.6,195.9,280.7,227.5,141.7,218.3,147.6,248.7,140.5,289.4,261.5,226.2,62.0,85.6,325.0,70.3,201.4,139.6,77.4,252.5,295.8,170.3,213.7,199.9,256.7,327.2,116.2,26.1,208.0,244.3,57.6,251.3,74.8,152.7,112.0,273.2,1549.9,122.2,288.5,195.4,209.5,231.2,209.9,113.5,97.1
JL,397.2,237.5,129.2,284.7,307.3,235.5,289.3,374.3,274.2,230.6,375.8,301.5,299.0,303.4,410.9,165.5,77.8,354.2,355.9,264.0,325.9,221.3,308.5,265.5,338.6,367.1,284.9,242.9,0.0,247.0,276.0,240.0,307.4,423.4,50.6,225.6,329.2,346.9,34.3,21.4,239.0,200.9,231.5,53.6,443.7,346.4,97.3,20.0,61.7,190.3,247.3,327.3,207.0,170.0,275.9,250.9,250.3,235.6,3.2,69.7,242.7,415.5,313.5,79.2,376.7,49.6,332.0,269.3,150.7,239.9,9.7,319.7,271.4,414.3,186.1,318.0,159.0,436.2,1540.1,149.2,314.8,121.3,74.0,350.1,227.6,278.8,280.4
JO,470.3,392.8,138.9,390.3,380.4,385.7,366.5,447.4,424.4,385.9,448.9,407.1,376.2,409.0,484.0,116.5,235.0,459.8,461.5,419.3,431.5,326.9,414.1,371.1,411.7,440.2,362.1,398.2,225.2,0.0,381.6,345.6,413.0,496.5,218.5,380.9,434.8,452.5,235.4,279.1,394.3,71.7,337.1,243.0,466.0,452.0,209.8,205.7,251.1,82.3,352.9,432.9,65.6,109.8,431.2,406.2,10.8,390.9,222.0,243.1,398.0,488.6,419.1,217.4,449.8,247.0,437.6,374.9,306.0,395.2,215.5,425.3,426.7,487.4,341.4,395.2,314.3,509.3,1591.2,304.5,420.4,158.6,193.4,455.7,333.2,434.1,435.7
KB,90.7,230.4,273.9,8.9,123.6,192.5,165.7,85.6,193.3,172.4,100.7,25.7,175.4,208.2,137.4,288.9,196.5,78.4,81.1,122.0,50.1,126.1,32.7,170.3,93.6,123.1,161.3,174.2,263.2,394.2,0.0,143.5,31.6,117.1,330.7,167.1,227.7,70.6,314.4,228.6,180.8,324.3,136.3,260.9,84.6,251.2,206.0,317.8,212.6,313.7,152.1,51.5,326.5,293.4,127.4,151.7,390.0,157.1,266.4,204.6,164.2,158.1,106.0,235.3,55.6,264.9,56.3,164.2,193.3,134.6,273.0,43.9,122.6,116.5,199.9,194.4,202.3,138.8,1313.5,188.2,39.0,260.4,274.5,245.0,160.0,182.3,222.2
KI,121.1,114.9,272.1,144.8,36.0,161.0,56.6,103.0,70.0,74.9,104.5,127.8,66.3,64.6,139.6,254.0,194.7,170.5,206.4,84.4,176.9,16.8,172.3,26.7,67.3,95.8,52.2,107.2,261.4,359.3,155.1,0.0,122.3,152.1,295.9,69.9,84.1,155.1,289.0,226.8,83.3,289.4,7.2,259.1,172.4,107.6,204.9,281.5,210.8,278.8,8.5,177.2,291.6,258.5,92.1,22.6,355.1,35.8,264.6,202.8,28.2,144.2,210.4,233.5,105.4,263.1,171.2,357.3,130.9,99.7,271.2,136.0,87.7,143.0,84.4,93.8,121.6,164.9,1464.5,131.8,180.2,258.2,272.7,101.4,124.5,79.2,124.7
KQ,63.8,263.2,311.3,22.4,91.9,242.1,127.0,79.2,151.1,205.2,94.3,5.5,208.2,163.7,105.7,321.7,229.3,46.7,48.4,154.8,18.4,158.9,49.9,125.8,60.9,91.4,194.1,207.0,296.0,427.0,32.3,177.6,0.0,85.4,363.5,200.2,189.5,39.4,347.2,273.4,213.6,357.1,169.1,293.7,93.5,206.7,239.5,350.6,245.4,346.5,184.9,68.7,359.3,326.2,159.9,184.5,425.0,189.9,299.2,237.4,197.0,120.8,138.8,268.1,23.9,297.7,24.5,129.6,226.8,167.4,305.8,12.2,155.4,110.1,232.7,142.2,235.1,101.5,1346.3,225.3,74.4,293.2,307.3,210.4,192.8,161.6,255.0
KS,26.1,274.4,418.4,95.9,104.7,254.9,139.8,55.7,163.9,216.0,103.4,78.9,190.8,176.5,64.0,395.2,336.4,102.3,54.2,228.3,54.6,171.6,123.4,138.6,73.7,100.7,176.7,254.9,403.1,500.5,105.8,153.4,73.4,0.0,425.1,221.2,202.3,63.2,420.7,380.5,207.2,430.6,161.9,400.8,125.1,219.5,346.6,423.2,352.5,420.0,146.1,133.8,432.8,399.7,233.3,182.1,498.5,195.3,406.3,344.5,187.7,143.1,212.3,375.2,76.1,404.8,48.8,142.4,272.0,240.9,412.9,59.9,228.9,141.9,243.9,155.0,263.3,151.1,1419.8,273.5,150.9,400.3,400.0,223.2,266.3,174.4,224.2
LN,395.9,264.1,79.6,287.6,308.9,260.4,265.7,377.8,275.8,257.2,379.3,306.3,275.4,306.3,412.5,114.8,104.4,359.0,361.7,288.7,330.7,226.1,313.3,270.3,340.9,370.6,261.3,267.6,60.6,221.0,280.5,243.5,312.2,426.9,0.0,251.9,325.8,349.3,16.9,106.4,265.6,150.2,236.3,111.4,447.2,351.2,81.7,41.1,122.4,137.7,252.1,328.2,150.5,117.1,300.5,275.6,231.5,260.3,57.4,112.5,269.3,419.0,316.4,99.3,380.2,107.7,336.9,302.5,181.5,266.5,50.9,324.5,298.0,417.8,210.8,292.5,183.7,439.7,1544.9,171.5,319.6,70.3,21.4,353.0,232.4,288.2,289.4
LP,187.0,59.0,216.5,210.7,101.9,25.0,97.7,168.9,68.8,5.0,170.4,193.7,107.7,162.3,205.5,247.2,138.8,236.4,273.3,72.7,208.1,76.2,238.2,110.6,132.0,161.7,93.6,33.6,205.8,353.4,221.3,106.7,188.2,218.0,240.3,0.0,181.5,239.0,240.0,170.9,13.6,282.6,86.6,206.4,238.3,205.0,148.6,225.9,155.2,272.0,98.1,243.1,288.7,249.5,66.6,59.3,366.6,44.3,209.0,146.9,51.4,210.1,269.5,190.1,171.3,210.1,214.3,66.6,70.2,30.6,215.3,201.9,62.1,208.9,28.8,126.4,65.7,230.8,1523.9,80.7,246.1,202.7,216.8,198.8,183.9,79.3,54.7
MA,188.5,200.4,357.6,215.4,98.6,203.6,141.2,165.6,112.6,160.4,167.1,198.4,151.8,8.8,230.1,339.5,280.2,221.8,192.7,169.9,174.1,102.3,242.9,58.6,128.7,158.4,137.7,192.7,346.9,444.8,225.7,85.4,192.9,208.7,371.9,155.4,0.0,152.3,374.5,312.3,155.9,374.9,92.6,344.6,235.0,23.4,289.7,367.0,296.3,364.3,76.8,257.8,381.0,344.0,177.6,108.1,440.6,121.3,350.1,288.3,113.7,206.8,295.9,331.5,168.0,354.0,168.2,177.7,211.3,185.2,356.7,179.4,173.2,205.6,169.9,156.4,207.1,227.5,1550.0,217.3,242.8,343.7,348.7,32.9,210.0,123.1,172.9
MR,82.5,283.6,347.3,63.0,113.9,264.1,149.0,82.9,173.1,225.2,112.6,46.0,200.0,185.7,77.7,362.3,269.9,69.4,39.3,195.4,21.7,180.8,90.5,147.8,82.9,113.4,185.9,247.6,336.6,467.6,73.3,163.9,40.5,56.3,406.0,230.7,205.2,0.0,387.8,302.0,216.4,397.7,171.1,334.3,134.1,228.7,280.1,391.2,286.0,387.4,155.3,105.4,399.9,364.6,200.8,191.3,463.4,204.5,339.8,278.0,196.9,152.3,179.4,308.7,45.9,340.9,15.8,151.6,267.4,208.0,346.4,27.0,196.0,150.7,253.1,164.2,272.5,142.1,1386.9,261.6,83.8,333.8,347.9,222.5,233.4,183.6,233.4
