from_stop,AA,AN,AT,AZ,BD,BE,BG,BK,BT,BW,CC,CE,CI,CO,CR,CV,CX,DG,DN,DQ,DR,DU,DY,EB,ED,EG,EI,EL,EM,EN,ES,EU,FJ,FO,GE,GF,GO,GR,GY,HL,HN,HS,HU,IA,IC,ID,IV,JF,JG,JO,KF,KO,KR,KX,KY,LA,LD,LG,LJ,LN,LO,LT,MD,MM,MO,MS,MT,NE,NT,NX,OB,OI,OL,OR,PB,PD,PP,PS,PV,PW,PZ,QK,QV,QX,SD,SO,SS,ST,SY,TA,TF,TM,UD,UE,UL,VI,VK,WB,WF,WH,WJ,WR,WW,XG,XH,XT,XY,YA,YF,YG,YI,YZ,ZC,ZD,ZG,ZJ
CC,89.2,269.1,235.9,109.3,254.3,201.5,288.9,127.9,296.2,190.7,0.0,141.1,320.0,114.7,393.5,171.6,124.3,133.3,269.8,106.4,273.3,395.6,195.7,136.8,70.0,171.2,392.2,297.3,167.4,91.1,104.6,210.2,158.0,252.1,224.0,26.8,409.5,350.8,68.3,116.2,265.7,110.1,274.8,321.5,156.7,85.7,363.0,82.6,108.1,132.7,126.7,282.7,203.1,284.7,305.6,350.8,79.8,272.5,102.7,331.7,92.2,59.3,275.1,221.0,276.6,121.2,328.7,234.6,179.8,169.5,235.6,50.7,134.1,101.3,400.1,313.1,196.4,98.6,141.9,161.5,191.1,250.6,281.7,316.8,254.9,143.5,238.4,79.1,215.3,256.7,243.8,297.7,71.5,155.1,208.5,383.1,206.1,95.8,274.3,225.6,179.0,386.0,212.1,293.8,193.1,155.8,248.0,280.4,387.6,100.0,119.8,283.1,2073.9,257.8,90.4,210.2
CE,153.1,313.9,303.4,176.7,299.1,262.0,339.9,195.3,406.5,258.1,154.8,0.0,371.0,182.1,460.9,216.4,191.7,103.7,320.8,173.8,324.3,463.0,240.5,181.6,155.4,216.0,449.0,348.3,227.9,158.5,163.4,255.0,202.8,322.2,268.8,181.6,472.1,401.8,203.3,96.8,347.9,103.4,319.6,368.2,201.5,148.5,430.4,209.5,124.5,200.1,194.1,333.7,261.8,335.7,356.6,448.1,147.2,382.8,206.0,442.0,108.6,164.8,319.9,288.4,327.6,188.6,379.7,302.0,247.7,219.0,303.0,185.7,178.9,31.8,467.5,364.1,241.2,166.0,209.3,228.9,258.5,295.4,332.7,370.0,299.7,95.0,288.7,121.3,260.1,301.5,311.2,342.5,172.7,222.5,275.9,450.5,273.5,119.0,325.3,270.4,223.8,453.4,256.9,344.8,228.5,200.6,292.8,331.4,455.0,142.2,187.2,327.9,2118.7,325.2,225.4,280.1
CI,341.3,584.6,124.3,200.8,577.2,480.8,122.4,177.1,130.6,169.3,318.0,345.7,0.0,332.2,193.1,476.7,330.0,357.6,123.6,203.8,147.4,137.5,518.8,441.9,425.9,494.3,153.8,73.6,446.7,214.5,322.1,533.3,481.1,531.4,547.1,344.8,146.6,30.7,377.5,350.7,150.7,357.3,597.7,64.3,461.8,441.6,121.3,390.7,312.7,172.3,250.3,35.3,482.4,84.4,93.4,77.0,285.5,106.9,356.1,96.7,296.8,415.2,558.1,139.2,94.7,185.9,107.3,201.4,284.9,492.6,209.2,393.9,457.2,305.9,171.9,57.8,519.5,211.0,278.4,308.8,168.9,573.5,89.3,104.6,570.4,348.9,214.7,283.7,538.4,579.8,165.7,620.8,360.9,291.6,219.9,119.8,153.8,372.9,137.0,548.7,502.1,157.8,535.2,24.8,514.9,460.9,571.1,130.9,145.9,348.1,257.2,598.6,2098.0,163.7,356.4,489.5
CO,112.8,252.3,208.9,81.5,244.9,148.5,243.1,100.1,309.7,162.9,102.4,163.4,274.2,0.0,365.7,144.4,76.2,156.9,224.0,78.6,227.5,377.0,186.5,109.6,93.6,162.0,363.4,251.5,114.4,64.7,10.1,201.0,148.8,199.1,214.8,75.6,386.1,305.0,45.2,139.8,251.1,133.7,265.4,271.4,129.5,109.3,335.2,58.4,130.4,104.9,43.8,236.9,150.1,238.9,259.8,351.3,103.2,286.0,23.8,339.4,114.5,82.9,225.8,193.2,230.8,93.4,282.9,206.8,80.8,160.3,207.8,61.6,124.9,123.6,381.5,267.3,187.2,70.8,59.0,46.7,163.3,241.2,235.9,271.0,238.1,166.6,193.5,101.4,206.1,247.5,216.0,288.5,95.1,72.2,180.7,364.7,178.3,119.4,228.5,216.4,169.8,367.4,202.9,248.0,174.5,128.6,238.8,234.6,359.8,122.3,36.9,266.3,2046.7,230.0,55.4,157.2
CR,423.6,681.9,148.4,281.2,674.5,578.1,147.3,257.5,214.1,194.2,398.4,426.1,172.9,429.5,0.0,574.0,410.4,438.0,166.4,284.2,222.1,98.1,616.1,539.2,468.5,591.6,73.8,156.1,544.0,294.9,410.8,630.6,578.4,628.7,644.4,425.2,89.0,142.9,474.8,431.1,180.6,437.7,695.0,129.2,559.1,482.8,26.6,428.2,393.1,252.7,392.8,208.3,579.7,166.9,156.2,158.9,365.9,237.8,453.4,184.4,377.2,457.8,655.4,164.1,177.2,266.3,132.2,226.3,425.1,589.9,234.1,491.2,554.5,386.3,55.3,140.3,616.8,291.4,420.9,453.4,193.8,670.8,171.8,142.3,667.7,429.3,257.4,364.1,635.7,677.1,190.6,718.1,441.3,434.1,244.8,110.6,178.7,453.3,161.9,646.0,599.4,69.4,632.5,197.8,612.2,558.2,668.4,155.8,48.8,385.0,399.7,695.9,2133.2,204.6,485.0,586.8
CV,154.2,186.5,354.5,227.1,189.5,134.4,388.7,245.7,455.3,308.5,176.4,228.2,419.8,145.5,477.8,0.0,168.5,164.7,369.6,224.2,373.1,522.6,130.9,34.1,98.0,106.4,508.6,397.1,100.1,208.9,155.6,145.4,93.2,212.6,159.2,149.6,531.7,450.6,145.9,127.0,398.1,117.5,182.4,417.0,14.9,109.3,480.8,150.7,178.0,250.5,189.4,386.2,121.3,384.5,405.4,496.9,200.7,431.6,122.0,485.0,162.1,107.4,210.3,338.8,376.4,239.0,428.5,359.4,190.7,109.4,353.4,128.3,69.3,193.0,527.1,412.9,131.6,216.4,199.1,156.6,308.9,185.8,381.5,418.8,190.1,168.9,339.1,174.8,150.5,102.4,361.6,141.0,136.5,185.9,326.3,498.4,323.9,103.2,374.1,85.4,114.2,513.0,147.3,393.6,118.9,19.9,129.8,380.2,505.4,195.7,182.5,172.5,1902.2,375.6,127.7,152.5
CX,90.8,270.7,249.2,122.6,255.9,175.3,299.0,141.2,309.5,204.0,80.4,179.1,330.1,128.0,406.8,171.2,0.0,134.9,279.9,119.7,283.4,408.9,197.3,136.4,71.6,172.8,394.9,307.4,141.2,104.4,109.3,211.8,159.6,225.9,225.6,53.6,418.0,360.9,42.1,117.8,282.1,111.7,276.4,327.3,156.3,87.3,376.3,17.8,121.3,146.0,140.0,296.5,176.9,294.8,315.7,407.2,44.4,285.8,76.5,345.0,130.2,60.9,252.6,234.3,286.7,134.5,338.8,247.9,144.4,171.1,248.9,39.6,135.7,139.3,413.4,323.2,198.0,111.9,155.2,122.4,204.4,252.2,291.8,329.1,256.5,145.1,234.6,117.1,216.9,258.3,257.1,299.3,73.1,168.4,221.8,396.4,219.4,97.4,284.4,227.2,180.6,399.3,213.7,303.9,193.4,155.4,249.6,290.5,400.9,138.0,133.1,284.7,2073.5,271.1,64.2,184.0
DG,126.6,245.1,274.9,148.3,230.3,193.2,327.9,166.9,335.2,229.7,126.4,150.9,359.0,153.7,432.5,147.6,163.3,0.0,308.8,145.4,312.3,434.6,171.7,112.8,68.6,147.2,420.6,336.3,159.1,130.1,135.0,186.2,134.0,253.4,200.0,120.2,448.5,389.8,116.5,68.4,304.7,75.0,250.8,356.2,132.7,52.2,402.0,130.8,96.1,171.7,165.7,321.7,193.0,323.7,344.6,389.8,118.8,311.5,150.9,364.9,80.2,78.0,251.1,260.0,315.6,160.2,367.7,273.6,218.8,150.2,274.6,98.9,110.1,111.1,439.1,352.1,172.4,137.6,180.9,185.5,230.1,226.6,320.7,355.8,230.9,10.1,260.3,92.9,191.3,232.7,282.8,273.7,107.1,194.1,247.5,422.1,245.1,90.6,313.3,201.6,155.0,425.0,188.1,332.8,163.4,131.8,224.0,319.4,426.6,113.8,158.8,259.1,2049.9,296.8,138.6,211.3
DN,312.4,492.8,64.9,175.8,485.4,389.0,19.0,174.0,105.6,110.7,287.2,310.3,101.4,240.4,142.4,384.9,293.7,321.7,0.0,178.8,55.6,195.1,427.0,350.1,334.1,402.5,181.1,39.3,354.7,193.0,230.3,441.5,389.3,439.6,455.3,314.0,204.2,111.8,285.7,316.2,28.4,326.5,505.9,59.2,370.0,348.0,145.4,298.9,281.9,169.2,221.7,67.8,390.6,26.7,47.6,140.1,249.2,81.9,264.3,135.3,266.0,323.4,466.3,80.6,18.6,182.8,70.7,57.2,254.0,405.5,76.0,302.1,365.4,275.1,199.6,55.1,427.7,186.0,249.8,282.3,110.3,481.7,23.7,61.0,478.6,318.1,90.9,252.9,446.6,488.0,65.2,529.0,330.1,263.0,92.9,170.9,95.2,342.1,4.4,456.9,410.3,185.5,443.4,75.2,415.0,364.9,483.0,10.5,170.0,256.3,228.6,506.8,2073.0,40.0,295.9,397.7
DQ,139.3,337.7,130.2,2.9,330.3,233.9,184.6,21.4,189.7,84.2,114.1,137.2,215.7,85.3,253.5,229.8,126.1,148.6,165.5,0.0,169.0,289.1,271.9,195.0,184.2,247.4,275.1,193.0,199.6,14.2,75.2,286.4,234.2,284.5,300.2,140.9,298.2,246.5,130.6,143.1,159.2,153.4,350.8,212.9,214.9,196.7,256.5,143.9,108.8,26.2,72.8,182.1,235.5,180.4,201.3,244.3,81.6,166.0,109.2,219.4,92.9,173.5,311.2,114.5,172.3,14.7,224.4,135.1,105.1,250.4,129.1,147.0,210.3,102.0,293.6,208.8,272.6,7.2,100.9,133.4,84.6,326.6,177.4,214.7,323.5,145.0,114.8,79.8,291.5,332.9,137.3,373.9,157.0,114.1,102.0,264.9,99.6,169.0,170.0,301.8,255.2,279.5,288.3,189.5,259.9,209.8,327.9,176.1,281.1,100.7,79.7,351.7,2132.1,151.3,140.8,242.6
DR,322.7,505.0,110.1,154.4,497.6,401.2,63.4,130.4,126.2,125.9,299.4,327.1,113.6,252.6,220.3,397.1,305.9,339.0,44.3,157.1,0.0,215.7,439.2,362.3,346.3,414.7,201.7,71.8,367.1,170.0,233.9,453.7,401.5,451.8,467.5,326.2,224.8,144.3,297.9,332.1,71.4,338.7,518.1,96.0,382.2,362.0,189.8,311.1,294.1,125.6,203.6,80.0,402.8,59.2,80.1,180.8,261.4,102.5,276.5,161.7,278.2,335.6,478.5,125.0,51.1,139.2,103.2,74.2,265.5,417.7,40.5,314.3,377.6,287.3,220.2,87.6,439.9,164.3,231.7,264.2,125.5,493.9,56.2,91.3,490.8,330.3,35.2,265.1,458.8,500.2,78.0,541.2,342.3,244.9,56.8,203.4,110.4,354.3,48.8,469.1,422.5,206.1,455.6,87.4,427.2,381.3,491.5,54.9,214.4,268.5,210.5,519.0,2093.6,79.3,308.1,409.9
DU,400.3,598.7,125.1,257.9,591.3,494.9,124.0,234.2,154.7,170.9,375.1,402.8,118.8,346.3,107.5,490.8,387.1,414.7,143.1,260.9,198.8,0.0,532.9,456.0,445.2,508.4,77.8,132.8,460.8,271.6,336.2,547.4,495.2,545.5,561.2,401.9,9.1,88.8,391.6,407.8,157.3,414.4,611.8,105.9,475.9,459.5,75.7,404.9,369.8,229.4,321.8,154.2,496.5,143.6,132.9,99.5,342.6,178.4,370.2,125.0,353.9,434.5,572.2,140.8,153.9,243.0,108.9,203.0,353.4,506.7,210.8,408.0,471.3,363.0,95.9,117.0,533.6,268.1,349.9,380.3,170.5,587.6,148.5,121.2,584.5,406.0,234.1,340.8,552.5,593.9,167.3,634.9,418.0,363.1,221.5,12.5,155.4,430.0,138.6,562.8,516.2,81.8,549.3,143.7,520.9,475.0,585.2,132.5,140.4,361.7,328.7,612.7,2117.6,181.3,401.8,503.6
DY,181.4,159.0,384.8,257.4,171.0,179.6,433.9,276.0,444.3,338.8,203.6,255.4,465.0,190.7,508.1,85.5,205.2,191.9,414.8,254.5,418.3,543.7,0.0,119.2,125.2,80.5,529.7,442.3,145.3,239.2,200.8,14.4,60.9,197.0,110.5,176.8,552.8,495.8,173.1,154.2,413.8,144.7,143.3,462.2,100.4,136.5,511.1,187.4,205.2,280.8,234.6,431.4,83.7,429.7,450.6,542.1,227.9,420.6,167.2,474.0,189.3,134.6,185.5,369.1,421.6,269.3,473.7,389.7,235.9,47.0,383.7,155.5,71.5,220.2,548.2,458.1,116.4,246.7,244.3,201.8,339.2,170.2,426.7,464.0,173.2,196.1,369.4,202.0,119.2,60.9,391.9,101.9,163.7,231.1,356.6,519.5,354.2,130.4,419.3,29.8,40.1,534.1,39.6,438.8,68.0,105.5,82.8,425.4,535.7,222.9,227.7,145.0,1939.6,405.9,172.9,76.8
EB,120.0,170.1,320.3,192.9,155.3,100.2,354.5,211.5,421.1,274.3,142.2,194.0,385.6,111.3,443.6,34.7,134.3,130.5,335.4,190.0,338.9,488.4,96.7,0.0,63.8,72.2,474.4,362.9,65.9,174.7,121.4,111.2,59.0,178.4,125.0,115.4,497.5,416.4,111.7,92.8,363.9,83.3,175.8,382.8,19.8,75.1,446.6,116.5,143.8,216.3,155.2,352.0,149.4,350.3,371.2,462.7,166.5,397.4,87.8,450.8,127.9,73.2,176.1,304.6,342.2,204.8,394.3,325.2,156.5,75.2,319.2,94.1,35.1,158.8,492.9,378.7,97.4,182.2,164.9,122.4,274.7,151.6,347.3,384.6,155.9,134.7,304.9,140.6,116.3,137.2,327.4,175.8,102.3,151.7,292.1,464.2,289.7,69.0,339.9,126.6,80.0,478.8,113.1,359.4,84.7,14.7,152.7,346.0,471.2,161.5,148.3,184.1,1937.0,341.4,93.5,118.3
ED,56.1,199.0,280.1,152.7,184.2,147.1,332.3,171.3,339.6,234.1,78.3,150.7,363.4,105.7,403.4,101.5,79.9,69.2,313.2,149.8,316.7,439.0,125.6,66.7,0.0,101.1,425.0,340.7,112.8,134.5,115.8,140.1,87.9,207.3,153.9,51.5,448.1,394.2,47.8,49.5,309.1,40.0,204.7,360.6,86.6,13.8,406.4,62.1,100.5,176.1,149.6,329.8,182.6,328.1,349.0,394.2,123.2,315.9,82.2,369.3,84.6,9.4,205.0,264.4,320.0,164.6,372.1,285.0,150.1,104.1,279.0,30.2,64.0,115.5,443.5,356.5,126.3,142.0,158.5,116.8,234.5,180.5,325.1,362.4,184.8,73.4,264.7,97.3,145.2,186.6,287.2,227.6,38.4,145.3,251.9,414.8,249.5,25.7,317.7,155.5,108.9,429.4,142.0,337.2,113.6,81.5,181.6,323.8,431.0,118.2,142.7,213.0,2003.8,301.2,69.9,165.2
EG,156.9,114.3,359.5,232.9,99.5,155.1,409.4,251.5,419.8,314.3,179.1,235.5,440.5,166.2,517.1,122.7,180.7,161.4,390.3,230.0,393.8,519.2,70.5,94.7,100.7,0.0,515.8,417.8,121.0,214.7,176.3,75.4,50.8,122.6,69.2,152.3,528.3,471.3,148.6,126.3,392.4,120.2,120.0,437.7,114.6,113.8,486.6,162.9,180.7,256.3,210.1,403.2,62.2,405.2,426.1,517.6,203.4,396.1,142.7,449.5,164.8,110.1,120.3,344.6,397.1,244.8,449.2,358.2,211.4,67.0,359.2,131.0,47.0,195.7,523.7,433.6,41.6,222.2,219.8,177.3,314.7,95.8,402.2,437.3,100.1,171.6,362.0,177.5,60.5,124.3,367.4,147.6,139.2,206.6,332.1,506.7,329.7,105.9,394.8,100.7,100.0,509.6,40.8,414.3,12.4,113.7,96.9,400.9,511.2,198.4,203.2,128.3,1996.3,381.4,148.4,55.3
EI,415.8,608.0,145.9,273.4,600.3,504.2,144.1,254.3,158.7,191.0,389.9,417.9,138.9,355.6,102.9,500.1,401.9,429.8,163.2,276.0,218.5,86.7,542.2,465.3,449.3,517.4,0.0,152.9,470.1,288.9,345.9,556.7,504.5,554.8,570.9,416.7,85.4,132.3,400.9,422.9,178.4,429.5,621.5,132.6,485.2,465.0,49.0,414.5,384.9,249.1,318.9,170.4,505.8,163.7,153.0,103.5,357.7,182.4,379.9,129.4,368.7,438.3,581.2,160.9,190.0,262.7,129.0,222.7,350.9,521.1,230.9,417.0,480.6,378.1,18.4,137.1,542.9,283.2,347.0,379.9,190.6,596.9,168.6,138.7,593.5,421.1,259.8,355.9,561.8,603.6,187.4,644.2,433.1,360.2,241.6,73.8,198.9,444.8,158.3,572.1,525.5,4.3,558.6,163.8,530.6,484.3,598.6,152.6,73.2,371.9,325.8,622.0,2062.2,224.8,411.1,512.9
EL,330.5,510.9,104.4,193.9,503.5,407.1,69.0,158.8,123.7,150.2,305.3,328.4,91.3,258.5,126.2,403.0,311.8,339.8,49.9,196.9,73.7,161.2,445.1,368.2,352.2,420.6,177.1,0.0,372.8,211.1,248.4,459.6,407.4,457.7,473.4,332.1,170.3,72.4,303.8,334.3,78.4,344.6,524.0,19.8,388.1,366.1,129.2,317.0,300.0,154.0,239.8,85.9,408.7,10.7,19.7,100.7,267.3,100.0,282.4,126.2,284.1,341.5,484.4,120.1,21.0,167.6,42.8,107.2,272.1,423.6,126.0,320.2,383.5,293.2,195.6,15.7,445.8,204.1,267.9,300.4,149.8,499.8,15.6,33.1,496.7,336.2,109.0,271.0,464.7,506.1,115.2,547.1,348.2,281.1,142.9,137.0,134.7,360.2,54.4,475.0,428.4,181.5,461.5,93.3,433.1,383.0,501.1,60.5,153.8,274.4,246.7,524.9,2091.1,90.0,314.0,415.8
