from_stop,AK,AM,AS,AU,AV,AX,AY,AZ,BF,BJ,BY,CB,DG,DN,DS,DW,EH,EP,ER,FB,FD,FS,FT,GA,GN,GT,HD,HE,HI,HL,HV,HX,IF,IG,II,IN,IZ,JH,JL,JT,KS,KT,LH,LQ,MC,MF,MS,MT,NA,ND,NF,NI,NM,NT,NV,NZ,OJ,OK,OQ,OX,QL,QW,RN,RR,RU,SC,SE,SJ,SK,SO,SW,TG,TW,TY,VC,VE,VF,VN,VP,VS,VZ,WA,WD,WH,WK,WL,WS,WU,XG,XJ,XQ,XR,XS,XW,YF,YO,YP,YQ,YR,YW,ZJ,ZL,ZM,ZQ,ZT,ZY
BY,675.9,323.8,439.3,439.1,268.1,413.1,500.8,571.2,580.7,125.0,0.0,370.2,335.9,538.6,306.1,387.7,394.1,275.7,119.5,169.9,406.1,582.3,356.1,413.5,349.8,248.3,569.3,291.5,1992.4,105.2,505.2,251.9,378.1,677.9,500.3,618.1,711.9,366.1,377.8,702.8,352.4,444.6,388.2,598.6,282.8,309.4,416.1,176.7,596.7,577.9,267.3,480.5,337.0,582.3,548.7,270.3,129.5,246.6,94.6,360.3,450.6,480.5,104.4,239.9,99.4,121.4,409.5,566.6,510.1,398.2,391.2,535.4,123.5,318.8,573.8,541.7,287.9,463.6,386.8,720.3,239.8,758.3,392.8,367.3,447.8,305.1,388.3,302.2,525.7,301.4,474.1,406.7,270.1,306.4,294.3,381.3,422.9,350.5,624.1,317.6,269.6,519.4,150.0,309.9,328.8,198.6
CB,362.6,130.5,126.0,504.8,305.7,221.1,130.5,200.9,267.4,347.1,372.8,0.0,53.6,435.3,142.2,17.5,160.3,276.4,370.4,420.8,214.1,648.0,193.2,100.2,36.5,359.4,199.0,320.0,1868.7,252.0,572.9,371.8,2.6,743.6,130.0,245.4,398.6,252.1,443.5,389.5,361.4,510.3,453.9,285.3,320.4,266.3,102.8,242.4,662.4,643.6,378.4,378.5,94.2,212.0,446.7,307.9,380.4,113.7,316.7,47.0,137.3,546.2,360.7,351.0,321.5,235.8,227.5,253.3,144.5,27.9,195.2,601.1,379.5,115.2,260.5,171.4,256.0,150.3,73.5,786.0,350.9,824.0,278.8,433.0,77.5,342.7,274.3,413.3,212.4,337.2,103.8,93.4,228.3,344.0,273.7,214.3,109.6,416.2,689.8,258.1,335.3,149.1,400.3,195.9,234.0,276.8
DG,366.0,76.8,129.4,497.6,252.0,177.6,184.0,254.4,270.8,339.9,365.6,53.4,0.0,429.4,88.5,70.9,116.8,232.9,363.2,413.6,170.6,640.8,149.7,103.6,39.9,305.7,252.5,318.8,1815.0,244.8,563.7,309.3,61.3,736.4,183.5,301.3,402.0,244.9,436.3,392.9,354.2,503.1,446.7,288.7,266.7,222.8,106.2,235.2,655.2,636.4,324.7,371.3,40.5,265.5,439.5,254.2,373.2,106.5,309.5,50.4,140.7,539.0,348.1,297.3,314.3,228.6,184.0,256.7,193.3,81.4,151.7,593.9,367.2,61.5,263.9,224.9,212.5,153.7,76.9,778.8,297.2,816.8,271.6,425.8,131.0,289.0,267.1,359.6,215.8,343.0,157.3,96.8,221.1,290.3,230.2,161.8,113.0,409.0,682.6,214.6,328.1,202.6,393.1,188.7,203.4,223.1
DN,746.3,513.6,509.7,542.5,683.3,614.4,563.9,634.7,649.2,538.3,565.9,433.7,436.7,0.0,523.4,451.2,553.6,689.0,563.5,612.0,607.4,685.7,586.5,482.0,420.2,661.6,632.8,706.7,2251.8,445.1,610.6,681.7,434.5,781.3,563.8,679.2,780.4,181.7,481.2,773.2,206.3,548.0,491.6,667.1,696.1,659.6,484.6,362.2,696.8,679.4,680.6,77.1,477.3,643.9,178.2,681.4,573.5,310.1,509.8,428.8,521.8,583.8,553.8,655.1,514.6,428.9,620.8,637.0,576.4,461.7,586.6,636.9,570.7,498.3,642.3,605.2,701.2,532.1,457.2,823.7,655.0,861.7,156.7,468.8,509.4,720.3,181.9,687.3,596.1,723.6,537.6,475.2,425.8,721.6,712.7,605.7,493.3,453.9,725.6,649.5,371.1,581.0,592.1,237.9,625.4,613.8
DS,454.9,14.1,218.3,586.5,163.4,185.8,272.9,343.3,359.7,219.7,454.5,142.3,88.8,517.0,0.0,159.8,125.0,214.4,342.3,502.5,178.8,729.7,157.9,192.5,128.8,217.1,341.4,230.2,1726.4,333.7,654.6,229.5,145.0,825.3,272.4,387.8,490.9,333.8,525.2,481.8,443.1,592.0,535.6,377.6,178.1,231.0,195.1,324.1,744.1,725.3,236.1,460.2,89.9,354.4,528.4,161.5,462.1,195.4,250.1,139.3,229.6,627.8,288.1,208.7,245.3,317.5,192.2,345.6,286.9,170.3,159.9,682.8,260.5,89.7,352.8,313.8,229.3,242.6,165.8,867.7,208.6,905.7,360.5,514.7,219.9,200.4,356.0,271.0,304.7,250.3,246.2,185.7,310.0,201.7,243.8,143.3,201.9,497.9,771.5,222.8,417.0,291.5,235.4,277.6,198.7,134.5
DW,380.1,148.0,143.5,522.3,323.2,238.6,113.0,183.4,284.9,364.6,390.3,17.5,71.1,454.1,159.7,0.0,177.8,293.9,387.9,438.3,231.6,665.5,210.7,117.7,54.0,376.9,181.5,337.5,1886.2,269.5,588.4,380.5,9.5,761.1,112.5,230.3,416.1,269.6,461.0,407.0,378.9,527.8,471.4,302.8,337.9,283.8,120.3,259.9,679.9,661.1,395.9,396.0,111.7,194.5,464.2,325.4,397.9,131.2,334.2,64.5,154.8,563.7,372.8,368.5,339.0,253.3,245.0,270.8,122.3,10.4,212.7,618.6,391.9,132.7,278.0,153.9,273.5,167.8,91.0,803.5,368.4,841.5,296.3,450.5,60.0,360.2,291.8,430.8,229.9,361.7,86.3,110.9,245.8,361.5,291.2,222.8,127.1,433.7,707.3,275.6,352.8,131.6,417.8,213.4,264.4,294.3
EH,449.3,160.5,212.7,511.8,145.9,105.5,285.3,355.7,354.1,172.1,322.7,154.7,109.3,538.8,142.8,172.2,0.0,116.0,294.7,365.1,113.7,655.0,32.8,186.9,123.2,169.5,353.8,159.6,1829.1,257.2,577.9,173.1,162.6,750.6,284.8,402.6,485.3,354.3,450.5,476.2,463.6,517.3,460.9,372.0,160.6,146.1,189.5,344.6,669.4,650.6,188.5,480.7,110.4,366.8,548.9,148.1,324.7,215.9,202.5,133.7,224.0,553.2,240.5,161.1,197.7,273.4,67.1,340.0,294.6,182.7,34.8,608.1,218.7,92.2,347.2,326.2,128.2,237.0,160.2,793.0,161.0,831.0,381.0,440.0,232.3,182.9,376.5,223.4,299.1,183.8,258.6,180.1,330.5,184.2,215.5,44.9,196.3,423.2,696.8,137.9,437.5,303.9,187.8,298.1,126.7,86.9
EP,551.1,253.8,314.5,490.8,158.2,137.3,386.7,457.5,455.9,151.1,301.7,256.5,211.1,640.6,236.1,274.0,131.5,0.0,273.7,344.1,130.3,634.0,96.0,288.7,225.0,128.2,455.6,39.2,1833.6,236.2,558.9,68.9,259.2,729.6,386.6,504.4,587.1,456.1,429.5,578.0,483.4,496.3,439.9,473.8,172.9,33.6,291.3,307.7,645.1,629.6,129.2,582.5,212.2,468.6,650.7,160.4,303.7,317.7,181.5,235.5,325.8,532.2,219.5,119.8,176.7,252.4,133.7,441.8,401.1,284.5,131.1,587.1,191.9,194.0,449.0,428.0,12.1,338.8,262.0,772.0,95.6,810.0,482.8,419.0,334.1,195.2,478.3,202.4,400.9,56.4,360.4,281.9,432.3,196.5,83.0,130.2,298.1,402.2,675.8,41.8,400.6,405.7,166.8,399.9,75.6,88.7
ER,650.7,298.6,414.1,440.8,242.9,387.9,486.7,557.1,555.5,126.7,103.6,356.1,310.7,540.3,280.9,373.6,368.9,250.5,0.0,98.3,380.9,584.0,330.9,388.3,324.6,223.1,555.2,266.3,1967.2,106.9,506.9,226.7,364.0,679.6,486.2,604.0,686.7,367.8,379.5,677.6,354.1,446.3,389.9,573.4,257.6,284.2,390.9,178.4,598.4,579.6,242.1,482.2,311.8,568.2,550.4,245.1,57.9,248.3,96.3,335.1,425.4,482.2,50.8,214.7,101.1,123.1,384.3,541.4,496.0,384.1,366.0,537.1,69.9,293.6,548.6,527.6,262.7,438.4,361.6,722.0,214.6,760.0,394.5,369.0,433.7,279.9,390.0,277.0,500.5,276.2,460.0,381.5,271.8,281.2,269.1,356.1,397.7,352.2,625.8,292.4,271.3,505.3,96.4,311.6,303.6,173.4
FB,685.5,329.9,448.9,495.6,277.7,422.7,521.5,591.9,590.3,181.5,158.4,390.9,345.5,593.8,315.7,408.4,403.7,285.3,82.7,0.0,415.7,638.8,365.7,423.1,359.4,257.9,590.0,301.1,2002.0,161.7,563.7,276.1,393.6,734.4,521.0,636.4,721.5,422.6,434.3,712.4,408.9,501.1,444.7,608.2,292.4,319.0,425.7,233.2,649.9,634.4,276.9,537.0,346.6,603.0,605.2,275.8,27.9,303.1,151.1,369.9,460.2,536.9,91.0,249.5,155.9,177.9,419.1,576.2,535.5,418.9,400.8,591.9,109.8,328.4,583.4,562.4,297.5,473.2,396.4,776.8,249.4,814.8,449.3,423.8,468.5,314.7,444.8,311.8,535.3,313.0,494.8,416.3,326.6,316.0,307.1,399.9,432.5,407.0,680.6,327.2,326.1,540.1,131.9,366.4,361.0,208.2
FD,502.9,214.1,266.3,547.8,181.9,6.9,338.9,409.3,407.7,208.1,358.7,208.3,162.9,592.4,196.4,225.8,83.3,145.8,330.7,401.1,0.0,691.0,86.8,240.5,176.8,205.5,407.4,185.1,1882.7,293.2,613.9,209.1,216.2,786.6,338.4,456.2,538.9,407.9,486.5,529.8,517.2,553.3,496.9,425.6,196.6,102.1,243.1,398.2,705.4,686.6,224.5,534.3,164.0,420.4,602.5,184.1,360.7,269.5,238.5,187.3,277.6,589.2,276.5,197.1,233.7,309.4,51.3,393.6,348.2,236.3,61.8,644.1,254.7,145.8,400.8,379.8,133.6,290.6,213.8,829.0,197.0,867.0,434.6,476.0,285.9,218.9,430.1,259.4,352.7,209.3,312.2,233.7,384.1,220.2,180.4,80.9,249.9,459.2,732.8,93.9,491.1,357.5,224.6,351.7,82.7,122.9
FS,942.3,670.9,705.7,139.4,615.2,748.0,760.3,830.7,847.1,560.9,586.6,629.7,632.7,642.7,653.2,647.2,737.0,622.8,584.2,634.6,741.0,0.0,703.2,679.9,616.2,684.2,828.8,638.6,2339.5,465.8,77.7,652.5,637.6,95.5,759.8,877.6,978.3,562.9,197.6,969.2,456.5,134.8,186.2,865.0,629.9,656.5,682.5,382.9,14.3,3.8,642.6,584.6,673.3,841.8,652.8,617.4,594.2,506.1,530.5,626.7,717.0,102.4,569.1,675.8,535.3,449.6,756.6,833.0,769.6,657.7,738.3,47.5,588.2,665.9,840.2,801.2,635.0,730.0,653.2,137.9,664.6,175.9,537.9,209.2,707.3,652.2,563.1,597.0,792.1,662.8,733.6,673.1,529.6,653.5,641.3,728.4,689.3,227.7,41.7,664.7,289.7,778.9,593.7,569.4,675.9,545.7
FT,487.3,198.5,250.7,492.0,126.1,105.7,323.3,393.7,392.1,152.3,302.9,192.7,147.3,576.8,180.8,210.2,37.9,83.1,274.9,345.3,113.9,635.2,0.0,224.9,161.2,149.7,391.8,126.7,1867.1,237.4,558.1,153.3,200.6,730.8,322.8,440.6,523.3,392.3,430.7,514.2,501.6,497.5,441.1,410.0,140.8,113.2,227.5,308.9,649.6,630.8,168.7,518.7,148.4,404.8,586.9,128.3,304.9,253.9,182.7,171.7,262.0,533.4,220.7,141.3,177.9,253.6,67.3,378.0,332.6,220.7,35.0,588.3,198.9,130.2,385.2,364.2,95.3,275.0,198.2,773.2,141.2,811.2,419.0,420.2,270.3,163.1,414.5,203.6,337.1,150.9,296.6,218.1,368.5,164.4,195.7,25.1,234.3,403.4,677.0,105.0,401.8,341.9,168.0,336.1,93.8,67.1
GA,262.3,197.8,25.7,572.1,373.0,270.4,217.5,287.9,167.1,414.4,440.1,86.9,120.9,502.6,209.5,104.4,209.6,325.7,437.7,488.1,263.4,715.3,242.5,0.0,103.8,379.2,286.0,369.3,1936.0,319.3,640.2,391.6,89.6,810.9,217.0,332.4,298.3,319.4,510.8,289.2,428.7,577.6,521.2,185.0,387.7,315.6,2.6,309.7,728.3,710.9,398.2,445.8,161.5,299.0,514.0,371.1,447.7,181.0,384.0,114.3,37.8,613.4,428.0,370.8,388.8,303.1,276.8,153.0,231.5,114.9,244.5,668.4,446.8,121.2,160.2,258.4,305.3,50.0,24.9,853.3,370.7,891.3,346.1,500.3,164.5,410.0,341.6,433.1,112.1,393.5,190.8,51.0,295.6,411.3,323.0,263.6,9.3,483.5,757.1,307.4,402.6,236.1,467.6,263.2,283.3,296.6
GN,326.0,203.6,89.4,577.9,378.8,276.2,223.3,293.7,230.8,420.2,445.9,92.7,126.7,509.7,215.3,110.2,215.4,331.5,443.5,493.9,269.2,721.1,248.3,63.6,0.0,385.0,291.8,375.1,1941.8,325.1,644.0,388.6,100.6,816.7,222.8,340.6,362.0,325.2,516.6,352.9,434.5,583.4,527.0,248.7,393.5,321.4,66.2,315.5,735.5,716.7,404.0,451.6,167.3,304.8,519.8,381.0,453.5,186.8,389.8,10.4,100.7,619.3,428.4,376.6,394.6,308.9,282.6,216.7,232.6,120.7,250.3,674.2,447.5,127.0,223.9,264.2,311.1,113.7,36.9,859.1,376.5,897.1,351.9,506.1,170.3,415.8,347.4,438.9,175.8,399.3,196.6,56.8,301.4,417.1,328.8,260.4,73.0,489.3,762.9,313.2,408.4,241.9,473.4,269.0,302.0,302.4
GT,599.9,225.4,363.3,433.6,173.2,191.3,435.9,506.3,504.7,136.0,286.6,305.3,259.9,688.1,211.2,322.8,180.3,106.3,258.6,329.0,184.3,576.8,202.4,337.5,273.8,0.0,504.4,128.3,1882.4,221.1,501.7,69.2,308.0,672.4,435.4,553.2,635.9,504.9,372.3,626.8,459.6,439.1,382.7,522.6,187.9,111.5,340.1,292.6,587.9,572.4,50.0,631.3,261.0,517.4,699.5,171.3,288.6,366.5,166.4,284.3,374.6,474.9,204.4,8.4,161.6,237.3,205.7,490.6,449.9,333.3,215.2,529.9,176.8,242.8,497.8,476.8,94.1,387.6,310.8,714.8,42.5,752.8,531.6,361.8,382.9,210.2,527.1,155.0,449.7,104.1,409.2,330.7,386.0,211.5,49.2,234.3,346.9,345.0,618.6,119.7,385.5,454.5,152.5,448.7,153.5,103.7
HD,549.8,317.7,313.2,692.0,492.9,386.9,68.5,245.5,454.6,534.3,560.0,187.1,240.8,623.8,329.4,169.6,326.1,442.2,557.6,608.0,379.9,835.2,359.0,287.4,223.7,495.7,0.0,485.8,2055.9,439.2,758.1,499.3,179.2,930.8,174.6,48.7,585.8,439.3,630.7,576.7,548.6,697.5,641.1,472.5,507.6,432.1,290.0,429.6,849.6,830.8,514.7,565.7,281.4,12.9,633.9,495.1,567.6,300.9,503.9,234.2,324.5,733.4,542.5,487.3,508.7,423.0,393.3,440.5,184.4,159.4,361.0,788.3,561.6,237.7,447.7,27.6,421.8,337.5,260.7,973.2,487.2,1011.2,466.0,620.2,110.4,529.9,461.5,549.6,399.6,510.0,85.1,280.6,415.5,531.2,439.5,371.1,296.8,603.4,877.0,423.9,522.5,49.8,587.5,383.1,412.7,413.1
HE,600.4,219.7,363.8,496.6,164.0,186.6,436.4,506.8,505.2,156.9,307.5,305.8,260.4,689.9,202.0,323.3,167.6,49.2,279.5,349.9,179.6,639.8,129.6,338.0,274.3,108.3,504.9,0.0,1882.9,242.0,562.7,63.6,313.7,735.4,435.9,553.7,636.4,505.4,435.3,627.3,489.2,502.1,445.7,523.1,178.7,82.9,340.6,313.5,654.2,635.4,109.3,631.8,261.5,517.9,700.0,166.2,309.5,367.0,187.3,284.8,375.1,538.0,225.3,99.9,182.5,258.2,183.0,491.1,445.7,333.8,164.7,592.9,203.5,243.3,498.3,477.3,61.4,388.1,311.3,777.8,75.7,815.8,532.1,424.8,383.4,201.0,527.6,208.2,450.2,24.1,409.7,331.2,406.9,202.3,154.3,154.8,347.4,408.0,681.6,91.1,406.4,455.0,172.6,449.2,102.3,94.5
HI,1868.1,1605.0,1631.5,2028.3,1591.1,1631.5,1704.1,1774.5,1772.9,1647.4,1798.0,1573.5,1577.1,1960.1,1616.7,1591.0,1617.2,1615.0,1770.0,1840.4,1624.5,2171.5,1612.3,1605.7,1542.0,1644.8,1772.6,1657.9,0.0,1775.5,2094.4,1648.4,1581.4,2267.1,1703.6,1821.4,1904.1,1775.6,1967.0,1895.0,1884.9,2033.8,1977.4,1790.8,1605.8,1620.2,1608.3,1765.9,2185.9,2167.1,1663.8,1902.0,1617.7,1785.6,1970.2,1593.3,1800.0,1637.2,1677.8,1552.5,1642.8,2069.7,1715.8,1636.4,1673.0,1759.3,1628.6,1758.8,1713.4,1601.5,1596.3,2124.6,1694.0,1538.6,1766.0,1745.0,1602.8,1655.8,1579.0,2309.5,1636.3,2278.1,1802.3,1956.5,1651.1,1628.1,1797.8,1698.7,1717.9,1682.1,1677.4,1598.9,1751.8,1629.4,1620.5,1578.8,1615.1,1939.7,2213.3,1628.4,1858.8,1722.7,1663.9,1719.4,1639.6,1562.2
HL,577.5,293.8,340.9,333.8,238.1,383.1,395.5,465.9,482.3,95.0,120.7,264.9,267.9,433.3,276.1,282.4,364.1,245.7,118.3,168.7,376.1,477.0,326.1,315.1,251.4,218.3,464.0,261.5,1962.4,0.0,399.9,221.9,272.8,572.6,395.0,512.8,613.5,260.8,272.5,604.4,247.1,339.3,282.9,500.2,252.8,279.4,317.7,71.4,491.4,472.6,237.3,375.2,307.0,477.0,443.4,240.3,128.3,141.3,64.6,261.9,352.2,375.2,103.2,209.9,69.4,16.2,379.5,468.2,404.8,292.9,361.2,430.1,122.3,288.8,475.4,436.4,257.9,365.2,288.4,615.0,209.8,653.0,287.5,262.0,342.5,275.1,283.0,272.2,427.3,271.4,368.8,308.3,164.8,276.4,264.3,351.3,324.5,245.2,518.8,287.6,164.3,414.1,148.8,204.6,298.8,168.6
