from_stop,AC,AV,AY,AZ,BC,BG,BH,BJ,BP,BW,CB,CC,CH,CJ,CP,CS,CY,DH,DL,DX,EC,EI,EO,ES,EX,EY,FD,FG,FJ,FQ,FV,FX,FY,GG,GH,GQ,GV,HC,HE,HG,HN,HS,HV,IG,II,IK,IL,IN,IR,JI,KA,KB,KF,KG,KL,KN,KS,KT,KZ,LB,LS,LW,MD,MG,MI,MJ,MN,NJ,NM,NQ,NT,NX,NZ,OE,OK,OQ,OZ,PD,PE,PH,PR,PT,PZ,QD,QI,QL,QR,RE,RH,RJ,RL,RM,RP,RR,RT,RV,RZ,SI,SK,SM,ST,SY,SZ,TI,TP,TQ,TW,UA,UC,UH,UM,UP,UQ,UR,UX,UY,UZ,VL,VO,VQ,VS,VT,VU,WB,WD,XA,XF,XK,XL,XM,XV,YB,YH,YP,YR,ZA,ZB,ZF,ZH,ZP,ZR
CB,867.2,788.8,767.3,889.9,265.2,972.0,924.5,376.7,1182.7,747.0,0.0,827.4,975.8,648.1,935.7,134.9,520.9,1070.8,839.8,991.4,863.3,279.5,214.1,236.7,127.5,1059.0,885.6,240.4,737.0,1388.8,771.5,2726.6,810.7,816.5,749.9,268.3,254.6,822.6,135.0,945.7,175.0,854.4,539.2,908.8,722.6,225.9,714.4,873.4,1359.3,1182.9,1024.3,719.5,36.3,1130.4,135.3,975.8,316.2,546.7,380.9,739.9,804.9,969.7,187.4,981.4,981.5,224.4,1173.8,828.6,238.3,25.2,1118.2,780.5,341.1,14.4,471.5,264.8,1084.5,296.4,260.4,1150.5,712.5,710.0,224.7,706.1,1184.6,754.4,279.6,526.2,520.4,193.2,36.3,893.4,121.4,1055.7,727.5,159.3,280.1,422.2,1152.3,817.0,110.7,531.4,156.6,1333.3,607.0,265.3,712.0,261.1,765.0,235.1,312.9,985.4,885.9,762.3,732.6,579.4,542.5,960.0,870.8,755.2,532.5,836.1,550.7,1076.2,795.7,801.2,285.8,793.4,785.6,95.9,435.2,1005.5,1191.9,673.9,777.3,1042.4,226.1,929.9,208.4,1249.8,697.3
CC,300.4,47.3,216.2,353.0,878.4,435.1,382.1,690.6,649.6,214.4,910.8,0.0,442.7,177.7,402.6,741.5,794.7,537.7,297.4,458.3,1138.2,586.9,662.8,640.8,748.9,491.3,343.2,637.5,203.9,855.7,65.0,2193.5,35.1,1091.4,1024.8,863.4,742.6,47.0,742.3,412.6,788.2,312.0,624.7,366.4,140.5,839.1,172.0,1148.3,826.2,649.8,491.2,120.5,851.7,597.3,863.1,442.7,744.7,385.6,694.8,188.8,262.5,436.6,800.6,448.3,448.4,652.0,637.7,1103.5,851.5,866.5,585.1,247.4,627.8,880.8,397.0,679.1,551.4,617.1,735.8,617.4,129.5,201.1,819.8,163.8,651.5,81.7,636.9,801.1,359.3,683.2,851.7,351.0,755.0,522.6,194.4,717.1,893.3,446.3,619.2,274.6,776.6,326.4,784.1,800.2,881.9,730.9,986.9,856.2,250.3,848.3,683.3,459.8,334.8,130.4,111.6,854.3,316.9,417.6,372.1,145.7,807.4,1111.0,380.6,543.1,1070.6,160.5,710.4,242.3,240.9,826.1,496.2,472.4,658.8,151.1,1052.2,509.3,709.1,396.8,669.4,716.7,213.3
CH,439.5,396.8,355.3,424.9,985.4,25.9,415.3,797.6,306.9,516.6,1017.8,471.6,0.0,368.4,43.1,848.5,901.7,195.0,404.4,101.6,1245.2,693.9,769.8,747.8,855.9,344.3,450.2,744.5,296.5,513.0,465.7,2174.5,426.2,1198.4,1131.8,970.4,849.6,440.6,849.3,31.5,895.2,426.8,731.7,436.4,427.5,946.1,317.5,1255.3,483.5,307.1,48.4,327.5,958.7,254.6,970.1,0.0,851.7,492.6,801.8,327.9,408.0,79.9,907.6,5.6,91.7,759.0,295.0,1210.5,958.5,973.5,242.4,370.6,734.8,987.8,504.0,786.1,208.7,724.1,842.8,274.7,320.5,507.3,926.8,457.5,308.8,362.4,743.9,908.1,466.3,790.2,958.7,384.2,862.0,165.9,317.6,824.1,1000.3,553.3,276.5,381.6,883.6,433.4,891.1,457.5,988.9,837.9,1093.9,963.2,324.5,955.3,790.3,117.1,385.1,505.8,426.8,961.3,423.9,380.0,405.8,506.6,914.4,1218.0,487.6,200.4,1177.6,391.3,817.4,381.4,383.5,933.1,603.2,115.7,316.1,395.4,1159.2,166.6,816.1,146.5,776.4,374.0,519.5
CJ,256.6,178.2,156.7,279.3,674.5,361.4,228.8,486.7,572.1,117.0,696.2,186.7,365.2,0.0,325.1,537.6,590.8,460.2,93.5,380.8,934.3,383.0,458.9,436.9,545.0,448.4,139.3,433.6,126.4,778.2,156.7,2116.0,200.1,887.5,820.9,659.5,538.7,181.9,538.4,335.1,584.3,243.8,420.8,205.8,74.4,635.2,103.8,944.4,748.7,572.3,411.0,108.9,647.8,519.8,659.2,365.2,540.8,181.7,490.9,129.3,141.0,359.1,596.7,370.8,370.9,448.1,563.2,899.6,647.6,662.6,507.6,169.9,423.9,676.9,193.1,475.2,473.9,413.2,531.9,539.9,101.9,107.7,615.9,57.9,574.0,143.8,433.0,597.2,155.4,481.0,647.8,282.8,551.1,445.1,116.9,513.2,689.4,242.4,541.7,70.7,570.1,122.5,580.2,722.7,678.0,527.0,783.0,652.3,154.4,644.4,479.4,374.8,275.3,114.1,117.8,650.4,113.0,264.3,260.2,107.0,603.5,907.1,176.7,465.6,866.7,190.6,506.5,182.8,175.0,622.2,292.3,394.9,581.3,25.7,848.3,431.8,505.2,319.3,465.5,639.2,119.9
CP,380.6,353.6,312.1,381.7,942.2,32.4,372.1,754.4,263.7,473.4,963.9,428.4,40.0,325.2,0.0,805.3,858.5,151.8,361.2,58.4,1202.0,650.7,726.6,704.6,812.7,474.0,407.0,701.3,253.3,469.8,422.5,2131.3,383.0,1155.2,1088.6,927.2,806.4,397.4,806.1,10.0,852.0,383.6,688.5,393.2,384.3,902.9,274.3,1212.1,440.3,263.9,88.5,284.3,915.5,211.4,929.3,40.0,808.5,449.4,758.6,284.7,364.8,36.7,864.4,45.6,48.5,715.8,254.8,1167.3,915.3,930.3,199.2,327.4,691.6,944.6,460.8,742.9,165.5,680.9,799.6,231.5,277.3,464.1,883.6,414.3,265.6,319.2,700.7,864.9,423.1,747.0,915.5,341.0,818.8,122.7,274.4,780.9,957.1,510.1,233.3,338.4,840.4,390.2,847.9,414.3,945.7,794.7,1050.7,920.0,281.3,912.1,747.1,73.9,341.9,462.6,383.6,918.1,380.7,336.8,362.6,463.4,871.2,1174.8,444.4,157.2,1134.4,348.1,774.2,338.2,338.0,889.9,560.0,72.5,272.9,352.2,1115.3,129.9,772.9,103.3,733.2,330.8,476.3
CS,732.2,653.8,632.3,754.9,216.3,833.2,789.5,241.7,1047.7,612.0,178.3,692.4,840.8,513.1,800.7,0.0,455.2,935.8,704.8,856.4,798.7,144.5,165.2,156.7,7.4,924.0,750.6,153.4,602.0,1253.8,636.5,2591.6,675.7,751.9,685.3,219.4,205.7,687.6,86.1,810.7,126.1,719.4,474.6,773.8,587.6,177.0,579.4,808.8,1224.3,1047.9,889.3,584.5,119.2,995.4,130.6,840.8,267.3,411.7,245.9,604.9,669.9,834.7,138.5,846.4,846.5,89.4,1035.8,764.0,189.4,134.0,983.2,645.5,206.1,148.3,336.5,129.8,949.5,168.2,211.5,1015.5,577.5,575.0,175.8,571.1,1049.6,619.4,152.8,461.6,385.4,58.2,119.2,758.4,13.4,920.7,592.5,24.3,231.2,287.2,1017.3,682.0,61.8,398.0,42.5,1198.3,542.4,216.4,647.4,212.2,630.0,186.2,199.2,857.9,750.9,627.3,597.6,514.8,407.5,825.0,735.8,620.2,467.9,771.5,415.7,941.2,731.1,666.2,226.3,658.4,648.3,93.6,300.2,870.5,1056.9,540.1,712.7,907.4,177.2,794.9,159.5,1114.8,562.3
CY,781.9,734.9,713.4,836.0,412.3,914.3,870.6,208.8,1128.8,693.1,528.0,773.5,921.9,594.2,881.8,450.6,0.0,1016.9,785.9,937.5,343.4,322.5,371.9,349.9,457.9,906.8,832.8,346.6,683.1,1334.9,717.6,2672.7,756.8,296.6,228.9,362.3,241.5,768.7,395.0,891.8,349.1,800.5,278.3,854.9,668.7,379.1,660.5,352.4,1305.4,1129.0,967.7,665.6,478.5,1076.5,492.3,921.9,188.9,458.2,204.6,686.0,752.1,915.8,340.6,927.5,927.6,361.1,1121.0,308.7,391.5,493.3,1064.3,726.6,384.1,507.6,484.2,388.2,1030.6,289.1,250.6,1096.6,658.6,656.1,318.7,652.2,1130.7,700.5,346.0,5.3,446.2,394.0,478.5,840.6,451.8,1001.8,673.6,426.2,397.4,465.2,1098.4,763.1,400.8,477.5,487.0,1279.4,87.1,255.5,192.1,355.1,712.2,388.3,303.1,931.5,832.0,708.4,678.7,59.5,488.6,906.1,816.9,701.3,12.6,316.2,496.8,1022.3,275.8,747.3,276.0,739.5,731.7,452.9,478.2,951.6,1138.0,620.0,256.7,992.2,418.2,876.0,378.5,1195.9,643.4
DH,367.4,489.9,435.9,361.4,1078.5,209.3,347.5,890.7,111.8,609.7,1100.2,564.7,213.1,461.5,173.0,941.6,994.8,0.0,487.2,180.9,1338.3,787.0,862.9,840.9,949.0,458.3,441.4,837.6,389.6,317.9,558.8,2267.6,519.3,1291.5,1224.9,1063.5,942.7,533.7,942.4,183.0,988.3,359.0,824.8,368.6,520.6,1039.2,410.6,1348.4,288.4,308.2,258.9,420.6,1051.8,59.5,1065.6,213.1,944.8,585.7,894.9,421.0,482.4,187.0,1000.7,218.7,190.8,852.1,103.6,1303.6,1051.6,1066.6,47.3,463.7,827.9,1080.9,597.1,879.2,13.6,817.2,935.9,206.9,413.6,600.4,1019.9,550.6,113.7,455.5,837.0,1001.2,559.4,883.3,1051.8,316.4,955.1,196.1,410.7,917.2,1093.4,646.4,81.4,474.7,976.7,528.1,984.2,262.4,1082.0,931.0,1187.0,1056.3,417.6,1048.4,883.4,96.0,317.3,598.9,519.9,1054.4,517.0,312.2,380.5,599.7,1007.5,1311.1,580.7,175.1,1270.7,484.4,910.5,409.8,468.7,1026.2,696.3,166.8,121.0,488.5,1251.6,24.6,909.2,246.8,869.5,178.9,612.6
DL,154.0,283.5,133.0,233.9,676.4,504.5,135.2,488.6,719.0,312.4,708.8,317.4,512.1,202.7,472.0,539.5,592.7,607.1,0.0,527.7,936.2,384.9,460.8,438.8,546.9,351.4,45.7,435.5,196.5,925.1,261.5,2262.9,305.4,889.4,822.8,661.4,540.6,312.6,540.3,482.0,586.2,146.8,422.7,112.2,223.3,637.1,154.1,946.3,895.6,719.2,560.6,214.2,649.7,666.7,661.1,512.1,542.7,183.6,492.8,152.9,89.3,506.0,598.6,517.7,517.8,450.0,707.1,901.5,649.5,664.5,654.5,316.8,425.8,678.8,195.0,477.1,620.8,415.1,533.8,686.8,207.2,303.1,617.8,253.3,720.9,249.1,434.9,599.1,157.3,481.2,649.7,185.8,553.0,592.0,263.8,515.1,691.3,244.3,688.6,24.1,574.6,124.4,582.1,869.6,679.9,528.9,784.9,654.2,168.5,646.3,481.3,529.2,215.7,301.6,222.6,652.3,114.9,170.7,253.0,302.4,605.4,909.0,178.6,612.5,868.6,337.5,508.4,123.2,107.3,624.1,294.2,541.8,728.2,258.6,850.2,578.7,507.1,466.2,467.4,786.1,315.3
DX,366.8,401.3,359.8,353.2,989.9,112.9,339.3,802.1,282.1,521.1,1022.3,476.1,120.5,372.9,80.4,853.0,906.2,170.2,408.9,0.0,1249.7,698.4,774.3,752.3,860.4,268.3,433.2,749.0,301.0,488.2,470.2,2179.0,430.7,1202.9,1136.3,974.9,854.1,445.1,853.8,90.4,899.7,350.8,736.2,360.4,432.0,950.6,322.0,1259.8,458.7,326.9,169.0,332.0,963.2,229.8,974.6,120.5,856.2,497.1,806.3,332.4,412.5,21.6,912.1,126.1,9.8,763.5,270.2,1215.0,963.0,978.0,217.6,375.1,739.3,992.3,508.5,790.6,183.9,728.6,847.3,198.7,325.0,511.8,931.3,462.0,284.0,366.9,748.4,912.6,470.8,794.7,963.2,308.2,866.5,64.2,322.1,828.6,1004.8,557.8,251.7,386.1,888.1,437.9,895.6,432.7,993.4,842.4,1098.4,967.7,329.0,959.8,794.8,92.3,309.1,510.3,431.3,965.8,428.4,304.0,372.3,511.1,918.9,1222.5,492.1,124.4,1182.1,395.8,821.9,385.9,388.0,937.6,607.7,14.1,291.3,399.9,1163.7,141.8,820.6,80.9,780.9,349.2,524.0
EC,1144.5,1066.1,1044.6,1167.2,743.5,1249.3,1201.8,540.0,1460.0,1024.3,868.8,1104.7,1253.1,925.4,1213.0,781.8,331.1,1348.1,1117.1,1268.7,0.0,653.7,703.1,681.1,789.1,1336.3,1162.9,677.8,1014.3,1666.1,1048.8,3003.9,1088.0,44.3,108.6,693.5,572.7,1099.9,726.2,1223.0,680.3,1131.7,609.5,1186.1,999.9,710.3,991.7,10.0,1636.6,1460.2,1301.6,996.8,809.7,1407.7,821.1,1253.1,520.1,789.4,535.8,1017.2,1082.2,1247.0,671.8,1258.7,1258.8,692.3,1448.1,32.8,722.7,824.5,1395.5,1057.8,715.3,838.8,815.4,719.4,1361.8,613.5,581.8,1427.8,989.8,987.3,649.9,983.4,1461.9,1031.7,677.2,324.7,777.4,723.5,809.7,1170.7,783.0,1333.0,1004.8,757.4,728.6,796.4,1429.6,1094.3,734.6,810.3,818.2,1610.6,243.9,586.7,142.8,686.3,1042.3,719.5,634.3,1270.2,1163.2,1039.6,1009.9,271.5,819.8,1237.3,1148.1,1032.5,318.4,25.7,828.0,1353.5,118.9,1078.5,607.2,1070.7,1060.6,784.1,809.4,1282.8,1469.2,952.4,81.9,1319.7,749.4,1207.2,709.7,1527.1,974.6
EI,587.6,509.2,487.7,610.3,291.4,688.6,644.9,103.6,903.1,467.4,323.8,547.8,696.2,368.5,656.1,154.5,317.1,791.2,560.2,711.8,660.6,0.0,75.8,53.8,161.9,779.4,606.0,50.5,457.4,1109.2,491.9,2447.0,531.1,613.8,547.2,276.4,155.6,543.0,155.3,666.1,201.2,574.8,336.5,629.2,443.0,252.1,434.8,670.7,1079.7,903.3,744.7,439.9,264.7,850.8,276.1,696.2,193.4,267.1,107.8,460.3,525.3,690.1,213.6,701.8,701.9,65.0,891.2,625.9,264.5,279.5,838.6,500.9,61.5,293.8,191.9,92.1,804.9,30.1,148.8,870.9,432.9,430.4,232.8,426.5,905.0,474.8,49.9,323.5,240.8,96.2,264.7,613.8,168.0,776.1,447.9,130.1,306.3,142.6,872.7,537.4,189.6,253.4,197.1,1053.7,404.3,143.9,509.3,269.2,485.4,261.3,96.3,713.3,606.3,482.7,453.0,376.7,262.9,680.4,591.2,475.6,329.8,633.4,271.1,796.6,593.0,521.6,123.4,513.8,503.7,239.1,155.6,725.9,912.3,395.5,574.6,762.8,122.1,650.3,82.4,970.2,417.7
