from_stop,AG,AL,AQ,AS,BC,BF,BG,BH,BO,BW,CJ,CK,CM,CO,CW,DS,DT,DY,EB,EI,EP,ES,ET,FE,FH,FI,FL,FU,FZ,GC,GJ,GL,GO,GZ,HA,HJ,HL,HV,IB,IM,IU,JH,JQ,JU,JV,JW,KA,KE,KJ,KK,LO,LP,LR,LT,LU,MD,MK,MN,MR,NG,NI,NN,NY,NZ,OC,OM,OO,OP,OX,PD,PI,PM,PX,QB,QD,QH,QJ,QN,RD,RF,RG,RL,RQ,RV,SC,SE,SI,SK,SP,SV,TC,TI,TM,TQ,TU,TW,UC,UE,UF,UI,US,UW,UZ,VI,VM,VP,VS,VY,WD,WG,WP,XE,YI,YT,YU,YY,ZC,ZG,ZQ,ZR,ZT
CJ,91.3,146.8,64.6,124.9,163.4,152.0,85.9,113.5,145.6,74.1,0.0,96.0,246.7,222.5,74.8,131.0,73.4,242.5,237.5,80.9,230.3,59.7,111.3,83.2,255.1,179.1,92.5,121.6,133.8,93.7,66.1,148.3,329.6,168.4,136.3,77.4,136.9,64.9,140.5,35.2,185.0,110.8,73.6,169.2,56.0,186.5,17.2,130.0,27.3,212.1,266.1,86.8,105.9,33.1,68.6,93.9,70.8,104.2,132.6,130.9,288.7,101.1,206.4,157.5,132.6,1315.6,18.0,155.8,98.2,146.0,68.4,83.8,148.1,137.8,235.8,89.5,103.4,110.9,84.9,131.3,37.8,90.8,41.6,55.1,215.3,59.4,104.0,119.4,141.7,137.5,161.4,83.2,232.1,48.5,156.1,94.9,24.7,217.5,7.9,75.3,104.9,245.4,116.6,85.4,136.4,21.3,174.7,153.7,68.4,87.8,70.0,122.0,78.2,209.2,201.2,227.9,123.8,216.0,116.2,180.1,84.1
CK,129.6,185.1,166.2,169.5,202.0,190.3,208.2,168.8,190.3,141.3,64.2,0.0,285.0,260.8,113.3,225.2,111.7,281.9,304.9,149.2,285.6,162.9,204.4,168.8,293.4,217.4,142.6,182.3,170.5,200.1,31.7,196.1,398.1,223.7,191.6,116.8,198.8,111.2,238.7,141.0,240.3,166.6,113.0,207.5,160.5,248.6,83.7,185.3,91.2,251.5,305.5,126.2,152.3,54.5,106.9,133.3,81.7,197.3,209.2,165.0,387.9,93.5,267.7,219.2,172.0,1353.9,82.6,195.2,136.5,185.4,162.6,123.2,208.7,158.1,274.1,128.9,201.2,204.0,120.2,169.6,101.7,134.7,65.7,75.4,253.6,119.4,124.3,157.7,180.0,179.0,223.5,120.6,270.4,68.8,194.7,188.0,91.2,284.4,72.2,42.4,143.2,300.7,156.0,153.3,213.0,59.6,225.5,192.0,88.7,126.1,109.4,225.1,172.4,247.5,256.5,266.2,216.9,267.9,150.5,219.5,158.5
CM,163.0,312.8,329.5,341.9,364.1,307.0,233.0,302.1,378.8,341.2,264.8,310.8,0.0,237.1,180.0,389.6,290.4,74.7,287.6,404.0,271.8,325.7,348.9,363.0,48.8,148.3,310.6,385.9,389.5,240.8,331.0,348.6,380.8,333.7,324.9,173.6,402.9,329.8,423.6,301.2,317.1,334.6,263.3,94.7,322.0,317.1,284.3,318.6,292.2,208.4,47.3,276.5,320.3,273.1,257.2,263.6,267.8,355.1,321.2,395.8,367.4,298.1,296.3,441.7,246.1,1344.5,283.2,131.2,156.8,294.2,335.5,168.5,348.5,383.8,134.4,166.0,367.3,411.8,323.0,128.2,302.7,353.7,306.5,294.0,48.5,320.0,342.9,205.3,119.8,362.9,342.2,315.5,82.3,287.4,378.1,395.5,291.7,279.6,272.8,294.2,148.6,256.7,341.9,350.3,357.9,243.5,318.7,285.4,312.9,276.4,189.6,430.0,381.4,178.4,300.9,70.1,406.9,266.2,369.5,82.7,357.2
CO,233.0,75.6,329.4,194.5,153.4,69.8,227.6,171.2,143.4,259.6,237.9,283.9,273.3,0.0,216.7,188.9,222.4,242.8,86.9,203.3,71.1,199.9,148.2,255.4,298.9,320.8,204.1,242.2,258.5,235.4,304.1,139.7,180.1,123.9,167.4,223.9,252.7,300.6,222.9,224.2,116.4,180.1,193.0,168.4,240.4,116.4,242.1,154.7,265.3,163.3,297.4,192.8,194.4,259.5,158.2,218.7,240.9,154.4,147.9,299.8,169.9,271.2,90.1,241.0,275.4,1313.3,256.3,213.3,180.8,288.8,227.9,226.6,147.8,183.1,297.7,232.3,223.6,211.1,321.7,152.2,275.8,297.9,279.6,243.2,214.5,264.1,200.0,261.1,283.4,162.2,141.5,213.6,294.0,248.3,167.4,194.8,234.3,73.4,245.9,267.3,249.9,56.0,104.7,316.5,135.5,216.6,118.0,295.4,228.5,136.1,212.8,229.3,180.7,350.9,100.2,289.8,206.2,65.5,275.7,180.4,275.6
CW,76.3,242.5,160.9,173.3,183.4,237.3,52.9,133.5,165.6,172.5,95.4,134.4,231.7,166.8,0.0,229.4,121.8,168.5,217.3,179.4,201.5,157.1,278.6,180.6,240.1,164.1,141.9,220.1,223.0,60.7,162.3,275.1,310.7,263.4,156.3,3.6,234.3,161.5,237.9,133.7,246.8,159.2,94.6,94.3,153.4,246.8,115.6,150.0,123.6,138.1,210.6,107.8,154.3,104.5,88.6,94.4,99.2,284.8,152.6,227.2,297.1,129.5,226.0,256.0,149.9,1300.6,114.3,141.9,23.3,114.1,166.8,69.8,286.6,208.1,220.8,15.7,200.8,208.3,154.4,56.2,134.1,187.1,137.9,125.4,140.2,151.4,174.2,104.4,126.7,288.9,271.9,155.9,217.1,118.8,176.1,192.3,123.1,214.9,104.2,125.6,89.8,186.4,137.7,181.7,156.4,74.9,248.4,120.7,138.7,107.8,56.1,219.4,176.7,194.2,230.6,212.9,221.2,205.8,200.9,106.1,181.5
DS,239.5,209.3,222.3,129.6,138.5,209.1,234.1,176.2,150.4,149.2,166.2,244.8,394.9,197.8,223.0,0.0,171.6,384.2,163.9,92.9,198.7,89.5,37.7,145.0,403.3,327.3,150.0,134.6,145.7,241.9,245.3,156.2,257.1,185.4,156.7,226.7,142.3,182.7,111.4,112.7,171.9,142.0,204.5,309.8,130.0,144.8,131.7,175.9,251.2,304.7,417.1,191.3,146.9,173.9,216.8,243.2,245.7,44.0,195.9,188.7,215.1,276.0,197.0,129.5,281.9,1454.7,219.2,305.1,246.4,295.3,117.5,233.1,112.2,100.9,384.0,238.8,113.2,100.4,207.3,279.5,240.6,192.8,220.8,157.6,355.9,153.7,124.9,267.6,289.9,92.1,119.7,128.0,380.3,162.7,146.2,84.4,123.7,208.1,200.1,236.0,253.1,183.6,198.9,209.4,192.1,169.5,169.4,301.9,147.2,230.3,219.3,114.0,70.3,357.4,188.1,376.1,94.7,172.4,186.6,321.8,165.2
DT,112.5,149.1,197.1,51.4,101.9,154.9,107.1,64.3,90.2,110.5,89.0,158.2,267.9,224.8,96.2,158.2,0.0,264.8,204.8,79.3,181.1,93.0,137.4,123.1,276.3,200.3,20.1,146.0,162.3,114.9,182.2,96.0,298.0,119.2,87.1,103.4,163.0,151.5,166.6,75.1,135.8,44.1,92.6,190.4,91.3,147.0,93.0,80.8,116.4,234.4,315.3,79.4,29.8,79.5,89.8,116.2,74.0,130.3,104.7,203.6,287.8,104.3,167.6,184.7,154.9,1336.8,107.4,178.1,121.3,168.3,95.6,106.1,99.0,106.2,257.0,111.8,127.4,137.3,159.6,152.5,126.9,165.6,130.7,63.2,236.5,115.0,74.9,140.6,162.9,123.6,121.9,25.0,253.3,68.3,88.6,121.0,85.2,184.3,97.0,133.3,129.4,196.2,128.9,184.2,117.1,105.6,125.4,174.9,48.5,109.0,92.3,155.5,105.4,230.4,152.0,249.1,149.9,179.6,143.4,202.4,126.5
DY,236.3,300.8,329.0,384.1,352.1,296.6,221.0,301.6,366.8,340.7,264.3,302.5,73.2,225.1,168.0,377.6,289.9,0.0,275.6,392.0,259.8,325.2,336.9,362.5,98.8,221.6,310.1,433.7,389.0,228.8,330.5,336.6,368.8,321.7,365.7,165.1,441.4,329.3,411.6,301.8,305.1,378.4,262.8,82.7,321.5,305.1,283.8,360.1,291.7,196.4,89.1,276.0,322.4,272.6,256.7,263.1,267.3,343.1,358.3,395.3,355.4,297.6,284.3,429.7,318.1,1417.8,282.7,177.3,146.7,282.2,335.0,238.0,336.5,371.8,207.7,154.0,412.3,399.5,322.5,116.2,302.2,353.2,306.0,293.5,36.5,319.5,342.4,272.5,193.1,347.2,330.2,315.0,155.6,286.9,366.1,383.5,291.3,273.2,272.3,293.7,224.7,244.7,329.9,349.8,345.9,243.0,306.7,288.8,312.4,275.9,224.2,440.2,369.4,251.7,288.9,120.1,394.9,264.1,369.0,70.7,356.7
EB,282.0,166.3,316.3,163.2,138.7,160.5,276.6,185.8,143.8,246.5,264.3,306.9,294.8,77.9,265.7,166.0,191.1,264.3,0.0,173.1,91.3,186.8,125.3,242.3,320.4,288.3,172.8,219.3,235.6,284.4,330.9,107.0,93.1,137.2,136.1,219.1,229.8,287.5,200.0,211.1,123.3,148.8,193.6,189.9,227.3,93.5,229.0,169.3,291.7,184.8,318.9,180.4,163.1,228.2,245.8,281.7,265.2,131.5,189.3,276.9,82.9,295.5,134.3,218.1,324.4,1334.8,303.0,234.8,202.3,337.8,214.8,275.6,124.9,160.2,319.2,211.5,200.7,188.2,308.6,173.7,302.2,284.8,304.6,211.9,236.0,251.0,168.7,310.1,262.9,139.3,118.6,194.4,315.5,217.0,148.2,171.9,221.2,117.6,297.4,290.3,298.9,63.7,192.3,303.4,176.9,254.3,77.1,344.4,197.2,223.7,261.8,206.4,157.8,318.4,112.5,311.3,183.3,24.6,262.6,201.9,262.5
EI,163.6,116.3,143.1,36.6,69.1,120.5,158.2,99.4,57.4,73.3,90.3,162.3,319.0,192.0,147.3,87.1,84.5,315.9,172.0,0.0,154.3,13.6,66.3,69.1,327.4,251.4,66.2,77.7,88.8,166.0,155.9,66.2,265.2,92.4,63.7,150.8,85.4,114.7,95.5,36.8,109.0,49.0,121.2,241.5,54.1,115.7,55.8,82.9,118.5,285.5,345.5,108.0,56.5,91.4,140.9,209.3,158.6,59.2,102.9,132.5,255.0,188.9,134.8,113.6,206.0,1387.9,129.8,229.2,170.5,219.4,41.6,157.2,81.6,43.2,308.1,162.9,56.3,65.9,135.4,203.6,129.0,113.6,131.4,75.1,287.6,77.8,31.9,191.7,214.0,64.1,90.6,52.1,304.4,80.2,61.8,49.9,47.8,145.9,124.2,153.5,177.2,169.4,105.9,130.2,90.5,93.6,92.6,226.0,64.7,137.3,143.4,106.6,34.3,281.5,125.2,300.2,78.8,135.0,89.4,253.5,89.3
EP,243.6,106.6,302.4,149.3,109.3,100.8,238.2,116.7,106.9,232.6,248.5,293.0,308.0,79.8,227.3,189.8,177.2,277.5,87.8,159.2,0.0,172.9,149.1,228.4,333.6,331.4,158.9,243.1,259.4,246.0,317.0,93.1,181.0,61.8,122.2,234.5,253.6,273.6,223.8,197.2,45.2,134.9,155.2,203.1,213.4,117.3,215.1,100.2,275.9,198.0,332.1,142.0,149.2,214.3,189.2,243.3,251.3,155.3,138.2,300.7,170.8,281.6,68.8,241.9,286.0,1348.0,289.1,248.0,252.4,299.4,200.9,237.2,148.7,162.0,388.1,242.9,224.5,212.0,294.7,186.9,286.4,270.9,290.7,198.0,249.2,237.1,154.8,271.7,294.0,163.1,120.5,162.8,384.4,203.1,123.3,195.7,207.3,52.1,283.5,276.4,260.5,15.0,135.7,289.5,125.8,240.4,63.2,306.0,183.3,167.1,223.4,230.2,181.6,361.5,29.0,380.2,207.1,66.4,248.7,215.1,248.6
ES,149.9,138.6,129.4,58.9,91.4,144.4,144.5,86.6,79.7,59.6,77.4,163.0,305.3,214.3,133.6,72.3,82.0,302.2,177.7,22.2,176.6,0.0,51.5,55.4,313.7,237.7,60.4,60.1,76.4,152.3,142.2,85.5,270.9,114.7,86.0,140.8,70.6,100.6,80.7,24.2,131.3,64.5,114.9,227.8,40.4,126.7,42.1,103.1,104.8,271.8,352.7,101.7,70.1,84.3,127.2,153.6,156.1,44.4,127.0,117.7,228.9,186.4,157.1,98.8,192.3,1374.2,116.1,215.5,158.7,205.7,27.9,143.5,96.7,65.5,294.4,149.2,41.5,51.4,121.7,189.9,115.3,97.9,117.7,68.0,273.9,64.1,60.1,178.0,200.3,74.0,101.6,48.2,290.7,73.1,78.1,35.1,34.3,173.8,110.5,146.4,166.8,191.7,128.2,116.5,112.8,79.9,114.9,212.3,53.3,146.4,129.7,69.6,19.5,267.8,147.5,286.5,64.0,169.1,75.7,239.8,75.6
ET,201.6,171.4,181.1,91.7,100.6,171.2,196.2,138.3,112.5,111.3,129.1,214.7,357.0,160.0,185.3,40.6,133.7,353.9,126.1,55.0,179.3,51.6,0.0,107.1,365.4,289.4,112.1,93.9,110.2,204.0,193.9,118.3,219.3,147.5,118.8,192.5,104.4,152.7,74.6,75.9,134.0,97.3,166.6,279.5,92.1,106.9,93.8,138.0,156.5,323.5,404.4,153.4,111.6,136.0,178.9,205.3,207.8,6.1,158.0,151.5,177.3,238.1,159.1,92.7,244.0,1425.9,167.8,267.2,210.4,257.4,79.6,195.2,76.9,63.0,346.1,200.9,75.3,62.8,173.4,241.6,167.0,149.6,169.4,119.7,325.6,115.8,87.0,229.7,252.0,54.2,81.8,99.9,342.4,124.8,110.9,46.5,86.0,175.8,162.2,198.1,218.5,145.8,161.0,168.2,145.6,131.6,131.5,264.0,105.0,192.4,181.4,81.0,32.4,319.5,150.2,338.2,57.9,124.7,127.4,291.5,127.3
FE,188.8,175.7,80.3,96.0,128.5,180.9,183.4,125.5,110.0,97.6,116.0,144.0,344.2,251.4,172.5,115.2,120.9,353.3,214.8,65.1,213.7,37.0,88.6,0.0,352.6,276.6,105.1,54.5,68.0,191.2,128.7,122.6,313.8,151.8,123.1,169.2,50.0,65.7,117.8,67.8,168.4,101.6,153.8,259.9,79.3,163.8,81.0,142.0,102.8,322.9,357.9,133.8,109.0,123.2,166.1,192.5,195.0,81.5,162.3,104.5,266.0,223.2,194.2,129.1,224.4,1413.1,95.2,264.6,195.7,256.8,12.5,194.6,131.2,102.6,333.3,200.3,66.9,88.5,90.7,228.8,98.6,48.8,96.8,106.9,312.8,119.6,97.1,216.9,239.2,111.1,138.7,87.1,329.6,112.0,115.2,72.2,66.2,210.9,106.3,183.0,195.6,228.8,171.1,74.8,149.9,118.8,152.0,251.2,92.2,185.3,161.8,97.2,56.6,306.7,184.6,325.4,101.1,194.4,26.6,290.9,49.8
FH,166.5,328.0,341.4,353.8,379.3,322.2,248.2,314.0,346.1,353.1,276.7,322.7,58.4,252.3,195.2,404.8,302.3,89.9,302.8,419.2,287.0,337.6,364.1,374.9,0.0,162.7,322.5,397.8,401.4,256.0,342.9,363.8,396.0,348.9,336.8,188.8,414.8,341.7,438.8,313.1,332.3,346.5,275.2,109.9,333.9,332.3,296.2,330.5,304.1,223.6,38.9,288.4,332.2,285.0,269.1,275.5,279.7,370.3,333.1,407.7,382.6,310.0,311.5,456.9,250.4,1403.0,295.1,134.7,172.0,309.4,347.4,172.0,363.7,399.0,137.9,181.2,379.2,427.0,334.9,143.4,314.6,365.6,318.4,305.9,63.7,331.9,354.8,236.1,123.3,378.1,357.4,327.4,88.2,299.3,393.3,410.7,303.6,294.8,284.7,306.1,152.1,271.9,357.1,362.2,373.1,255.4,333.9,316.0,324.8,288.3,193.1,445.2,396.6,192.8,316.1,36.7,422.1,281.4,381.4,97.9,369.1
FI,175.7,216.2,210.3,222.7,232.8,222.0,120.3,182.9,215.0,222.0,145.6,191.6,219.7,275.2,129.4,278.9,171.2,294.5,325.7,228.8,309.9,206.5,258.1,243.8,228.1,0.0,191.4,266.7,270.3,128.1,211.8,244.9,414.1,237.8,205.7,136.6,283.7,210.6,287.3,182.0,254.4,215.4,144.1,290.7,202.8,355.2,165.1,199.4,173.0,285.6,267.1,157.3,201.1,153.9,138.0,144.4,148.6,251.0,202.0,276.6,363.9,178.9,334.4,305.4,106.7,1288.6,164.0,129.9,212.8,181.5,216.3,181.2,270.3,257.5,208.8,222.0,248.1,258.0,203.8,203.9,183.5,234.5,187.3,174.8,268.3,200.8,223.7,92.4,132.5,278.4,254.3,196.3,205.1,168.2,219.5,241.7,172.5,317.7,153.6,175.0,161.3,294.8,187.1,231.1,214.4,124.3,356.8,146.0,193.7,157.2,63.5,276.2,226.1,30.1,339.0,200.9,270.6,304.3,250.3,302.5,238.0
FL,130.8,128.9,193.6,31.2,81.7,134.1,125.4,40.8,70.0,107.0,106.5,146.9,286.2,204.6,114.5,146.3,18.2,283.1,184.6,59.1,157.6,72.8,125.5,113.2,294.6,218.6,0.0,136.9,148.0,133.2,178.7,75.8,277.8,95.7,63.6,118.0,144.6,148.0,154.7,70.5,112.3,17.2,69.1,208.7,87.8,126.8,89.5,57.3,134.7,252.7,312.7,55.9,9.7,76.0,108.1,157.2,92.3,118.4,81.2,191.7,267.6,122.6,147.4,172.8,173.2,1355.1,125.4,196.4,137.7,186.6,92.1,124.4,70.4,86.0,275.3,130.1,115.5,142.6,169.1,170.8,145.2,162.1,165.1,59.7,254.8,111.5,54.7,158.9,181.2,107.1,101.7,21.5,271.6,64.8,74.4,126.6,81.5,164.1,115.3,138.1,144.4,172.7,105.4,180.7,85.0,102.1,105.2,193.2,49.3,108.1,110.6,161.1,93.5,248.7,128.5,267.4,138.0,147.6,139.9,220.7,115.9
