from_stop,AC,AZ,BB,BP,CP,CR,CT,CU,DL,EB,EI,EJ,EP,ET,FC,FJ,GB,GE,GG,GN,HJ,HV,II,IL,IW,JC,JG,KE,KQ,KX,LB,LG,MS,MT,NF,NZ,OA,OD,ON,PN,PQ,PR,PU,QD,QP,RA,RF,RO,RQ,SI,SL,SM,TA,TC,TL,UE,UF,UL,UZ,WD,WE,XA,XL,YA,YL,YT,YW,YZ,ZE,ZF,ZI
FJ,201.1,227.5,33.4,8.5,186.6,460.6,159.0,85.6,84.3,273.4,429.3,60.2,430.3,197.3,310.0,0.0,80.6,370.3,128.2,127.3,153.8,232.2,149.5,183.1,419.6,215.4,97.7,313.7,276.7,177.1,352.7,141.8,271.8,137.5,224.2,72.1,461.7,178.4,247.6,149.8,159.7,287.4,415.5,199.2,49.8,142.8,155.0,24.2,86.5,65.5,2727.9,192.4,247.3,259.8,165.9,149.4,209.5,328.0,226.4,184.6,164.2,112.8,338.7,172.4,144.1,125.7,365.1,298.8,47.6,329.6,126.9
GB,170.5,190.5,112.8,81.4,276.7,323.3,106.0,119.2,163.7,363.5,519.4,30.3,332.5,169.7,400.1,90.0,0.0,460.4,106.3,117.3,100.8,313.2,239.6,130.1,509.7,162.4,44.7,403.8,223.8,124.1,299.7,112.0,361.9,94.5,314.3,25.1,404.1,268.5,337.7,96.8,251.2,377.5,406.4,289.3,40.7,89.8,102.0,114.3,33.5,25.0,2674.9,282.5,216.7,349.9,112.9,232.7,299.6,418.1,316.5,131.6,83.5,202.9,428.8,119.4,91.1,72.7,455.2,388.9,137.7,419.7,160.5
GE,564.8,584.8,397.1,372.2,340.1,464.1,522.7,449.3,448.0,426.9,432.8,423.9,433.8,561.0,463.5,363.6,444.3,0.0,523.0,491.0,517.5,409.5,255.2,546.8,423.1,579.1,461.4,317.2,640.4,540.8,466.6,505.5,425.3,513.4,227.7,441.8,465.2,331.9,401.1,513.5,460.9,440.9,419.0,352.7,413.5,506.5,641.1,338.1,450.2,429.2,3091.6,298.1,611.0,286.7,529.6,329.0,363.0,481.5,319.7,548.3,527.9,266.3,339.1,536.1,507.8,489.4,518.6,302.3,348.8,333.1,490.6
GG,184.1,208.0,158.5,127.1,322.4,263.9,64.6,164.9,209.4,409.2,565.1,76.0,264.3,132.7,445.8,185.2,93.3,506.1,0.0,163.0,111.9,368.0,285.3,141.2,414.0,58.5,40.5,370.0,173.5,73.9,230.6,37.6,407.6,29.3,360.0,64.1,344.7,314.2,432.9,107.9,345.0,472.7,338.2,384.5,86.4,39.6,174.2,160.0,64.0,70.7,2624.7,328.2,227.8,395.6,30.2,285.2,345.3,463.8,362.2,48.9,46.5,248.6,348.1,130.5,18.2,51.8,500.9,434.6,232.9,354.1,159.3
GN,73.7,93.7,139.5,108.1,303.4,373.1,193.2,145.9,190.4,390.2,546.1,96.9,382.3,257.6,426.8,116.7,117.3,487.1,193.5,0.0,91.1,339.9,266.3,61.8,536.4,249.6,134.4,430.5,311.0,211.3,349.5,229.4,388.6,184.2,341.0,114.8,453.9,295.2,364.4,122.0,277.9,404.2,532.3,316.0,86.5,184.0,191.7,141.0,123.2,102.2,2762.1,309.2,119.9,376.6,202.6,259.4,326.3,444.8,343.2,221.3,200.9,229.6,455.5,72.5,178.3,153.5,481.9,415.6,164.4,446.4,187.2
HJ,69.6,89.6,165.5,134.1,329.4,281.9,102.0,171.9,216.4,416.2,572.1,83.0,291.1,244.5,452.8,142.7,100.3,513.1,102.3,91.1,0.0,365.9,292.3,29.3,440.8,158.4,94.4,456.5,219.8,120.1,258.3,212.4,414.6,131.0,367.0,65.1,362.7,321.2,390.4,30.8,303.9,430.2,365.0,342.0,93.4,85.8,138.5,167.0,56.7,77.7,2670.9,335.2,115.8,402.6,137.2,285.4,352.3,470.8,369.2,155.9,158.3,255.6,371.8,18.6,87.1,62.3,507.9,441.6,190.4,380.9,213.2
HV,381.4,405.3,211.2,186.3,207.1,488.1,336.8,263.4,269.1,293.9,449.8,238.0,450.8,382.1,330.5,184.7,258.4,397.8,306.0,305.1,331.6,0.0,177.0,360.9,440.1,393.2,282.5,341.2,454.5,361.9,484.5,326.6,292.3,326.0,244.7,249.9,489.2,198.9,275.1,334.6,282.0,314.9,436.0,226.7,227.6,327.6,455.2,152.2,264.3,243.3,2905.7,212.9,425.1,280.3,343.7,56.7,230.0,348.5,246.9,362.4,342.0,133.3,356.1,350.2,321.9,303.5,392.6,319.3,169.9,350.1,304.7
II,339.5,365.9,171.8,146.9,114.8,361.0,297.4,224.0,222.7,201.6,329.7,198.6,330.7,335.7,238.2,138.3,219.0,270.7,297.7,265.7,292.2,184.2,0.0,321.5,320.0,353.8,236.1,214.1,415.1,315.5,364.4,280.2,200.0,288.1,124.6,216.5,362.1,106.6,175.8,288.2,235.6,215.6,315.9,127.4,188.2,288.2,293.4,112.8,224.9,203.9,2866.3,42.8,385.7,160.2,304.3,110.5,137.7,256.2,126.8,323.0,302.6,41.0,236.0,310.8,282.5,264.1,293.3,199.2,123.5,230.0,265.3
IL,40.3,60.3,194.8,163.4,358.7,311.2,131.3,201.2,245.7,445.5,601.4,112.3,320.4,273.8,482.1,172.0,129.6,542.4,131.6,61.8,29.3,395.2,321.6,0.0,470.1,187.7,123.7,485.8,249.1,149.4,287.6,241.7,443.9,160.3,396.3,94.4,392.0,350.5,419.7,60.1,333.2,459.5,394.3,371.3,122.7,122.1,167.8,196.3,86.0,107.0,2700.2,364.5,86.5,431.9,166.5,314.7,381.6,500.1,398.5,185.2,187.6,284.9,401.1,10.6,116.4,91.6,537.2,470.9,219.7,410.2,242.5
IW,457.0,477.0,448.0,423.1,391.0,175.0,406.8,500.2,498.9,477.8,267.1,432.1,144.7,531.3,514.4,414.5,449.4,404.7,389.1,478.5,387.3,460.4,306.1,416.6,0.0,452.3,417.7,110.0,524.6,424.9,177.5,500.4,476.2,417.8,250.4,414.2,176.1,382.8,452.0,366.2,513.2,491.8,129.9,403.6,442.5,390.6,425.3,389.0,405.8,426.8,2985.0,349.0,503.2,337.6,424.0,379.9,413.9,532.4,370.6,442.7,445.1,317.2,85.0,405.9,373.9,429.4,569.5,136.6,399.7,94.1,541.5
JC,238.4,258.4,257.4,226.0,421.3,319.0,83.5,234.9,308.3,508.1,591.0,174.9,328.2,200.1,544.7,234.6,162.5,605.0,104.6,259.9,168.7,457.8,384.2,198.0,477.9,0.0,107.8,433.9,177.4,77.7,295.4,169.2,506.5,86.6,458.9,157.0,399.8,413.1,482.3,164.7,395.8,522.1,402.1,433.9,185.3,110.5,112.1,258.9,148.6,169.6,2628.5,427.1,284.6,494.5,31.7,377.3,444.2,562.7,461.1,64.9,113.9,347.5,408.9,187.3,82.1,131.1,599.8,460.5,282.3,418.0,217.3
JG,153.0,179.4,129.9,98.5,293.8,293.0,106.5,136.3,180.8,380.6,536.5,47.4,302.2,163.2,417.2,107.1,64.7,477.5,37.8,134.4,83.3,330.3,256.7,112.6,526.8,96.4,0.0,420.9,178.1,124.6,268.5,68.1,379.0,49.7,331.4,35.5,373.8,285.6,354.8,79.3,266.9,394.6,376.1,306.4,57.8,90.3,57.2,131.4,35.4,42.1,2675.4,299.6,199.2,367.0,68.1,256.6,316.7,435.2,333.6,86.8,77.0,220.0,442.8,101.9,91.6,23.2,472.3,406.0,154.8,436.8,177.6
KE,428.8,448.8,337.9,313.0,280.9,146.8,378.6,390.1,388.8,367.7,157.0,364.7,116.5,501.8,404.3,304.4,385.1,294.6,360.9,431.8,359.1,350.3,196.0,388.4,105.8,424.1,389.5,0.0,496.3,396.7,150.2,408.0,366.1,379.6,140.3,376.6,147.9,272.7,341.9,338.0,401.7,381.7,101.7,293.5,354.3,362.4,497.0,278.9,377.6,370.0,2956.8,238.9,475.0,227.5,395.8,276.6,303.8,422.3,260.5,414.5,416.9,207.1,24.9,377.7,345.7,401.2,459.4,26.5,289.6,15.8,431.4
KQ,195.5,215.5,192.6,161.2,356.5,286.0,86.7,179.1,243.5,443.3,558.0,110.1,295.2,144.3,479.9,169.8,106.7,540.2,22.0,197.1,125.8,393.0,319.4,155.1,444.9,89.4,62.6,400.9,0.0,104.8,262.3,49.2,441.7,31.5,394.1,89.7,366.8,348.3,417.5,108.3,329.6,457.3,369.1,369.1,120.5,70.5,0.7,194.1,98.1,104.8,2655.6,362.3,241.7,429.7,61.1,312.5,379.4,497.9,396.3,79.8,58.1,282.7,375.9,144.4,49.1,85.9,535.0,427.5,217.5,385.0,161.5
KX,176.0,193.5,192.5,161.1,356.4,282.0,18.6,198.9,243.4,443.2,554.0,110.0,291.2,226.9,479.8,169.7,127.3,540.1,121.6,195.0,103.8,392.9,319.3,133.1,440.9,71.1,129.2,396.9,99.5,0.0,257.3,131.8,441.6,115.6,394.0,98.1,362.8,348.2,417.4,99.8,329.5,457.2,365.1,369.0,120.4,41.0,121.2,194.0,83.7,104.7,2550.7,362.2,219.7,429.6,102.9,312.4,379.3,497.8,396.2,121.5,140.7,282.6,371.9,122.4,69.8,107.3,534.9,423.5,217.4,381.0,240.2
LB,278.3,298.3,336.1,304.7,420.3,24.6,228.1,342.5,386.8,507.1,296.4,253.6,33.6,352.6,543.7,313.1,270.9,434.0,210.4,300.0,208.8,489.9,335.4,238.1,183.3,273.8,240.1,138.4,346.1,246.4,0.0,258.6,505.5,239.1,279.7,235.5,132.8,412.1,480.4,187.5,474.0,520.2,107.5,432.0,264.0,218.9,246.6,337.6,227.3,248.3,2806.5,378.3,324.7,366.9,245.5,409.4,443.2,561.7,399.9,265.1,267.5,346.5,114.5,227.4,195.4,250.9,597.9,165.9,360.8,123.4,370.0
LG,228.0,248.0,170.3,138.9,334.2,332.6,163.5,143.3,221.2,421.0,576.9,87.8,341.8,108.5,457.6,147.5,57.4,517.9,77.4,174.8,158.3,379.8,297.1,187.6,567.2,142.3,102.2,461.3,157.7,155.7,307.9,0.0,419.4,34.8,371.8,82.6,413.4,326.0,395.2,154.3,307.3,435.0,415.7,346.8,98.2,154.3,64.9,171.8,91.0,82.5,2700.1,340.0,274.2,407.4,107.7,290.2,357.1,475.6,374.0,126.4,22.3,260.4,483.2,176.9,95.7,130.2,512.7,446.4,195.2,477.2,125.7
MS,465.7,485.7,298.0,273.1,115.6,535.0,423.6,350.2,348.9,95.0,503.7,324.8,504.7,461.9,38.1,264.5,345.2,444.7,423.9,391.9,418.4,310.4,223.9,447.7,494.0,480.0,362.3,388.1,541.4,441.7,537.5,457.3,0.0,412.1,298.6,342.7,536.1,155.8,225.0,414.4,363.2,109.0,489.9,62.5,314.4,414.4,419.6,239.0,351.1,330.1,2992.5,266.8,511.9,334.2,430.5,229.9,138.5,149.6,300.8,449.2,428.8,161.7,413.1,437.0,408.7,390.3,186.7,373.2,249.7,404.0,391.5
MT,248.9,272.8,188.7,157.3,352.6,297.7,70.6,148.2,249.6,439.4,595.3,106.2,301.4,112.7,476.0,163.7,75.8,536.3,28.2,193.2,176.7,398.2,313.3,206.0,451.1,101.9,120.6,384.8,138.3,88.7,267.7,28.3,437.8,0.0,390.2,95.0,378.5,344.4,411.4,170.5,323.5,451.2,375.3,363.0,116.6,76.7,146.1,200.2,109.4,100.9,2666.1,358.4,292.6,425.8,67.3,315.4,375.5,494.0,392.4,86.0,26.5,278.8,385.2,195.3,55.3,148.6,528.9,464.8,211.4,391.2,130.6
NF,413.3,433.3,245.6,220.7,188.6,264.4,371.2,297.8,296.5,275.4,233.1,272.4,234.1,409.5,312.0,212.1,292.8,202.3,371.5,339.5,366.0,258.0,103.7,395.3,223.4,427.6,309.9,117.5,489.0,389.3,266.9,404.9,273.8,359.7,0.0,290.3,265.5,180.4,249.6,362.0,310.8,289.4,219.3,201.2,262.0,362.0,367.2,186.6,298.7,277.7,2940.1,146.6,459.5,135.2,378.1,177.5,211.5,330.0,168.2,396.8,376.4,114.8,142.5,384.6,356.3,337.9,367.1,102.6,197.3,133.4,339.1
NZ,147.8,171.7,100.3,68.9,264.2,304.1,80.8,106.7,145.2,351.0,506.9,17.8,307.3,200.3,387.6,77.5,35.1,441.9,67.5,104.8,75.6,309.8,227.1,104.9,497.2,137.2,25.5,385.3,198.5,104.9,273.6,96.3,349.4,87.5,301.8,0.0,384.9,256.0,325.2,77.6,237.3,365.0,381.2,276.8,28.2,64.6,199.2,101.8,8.4,12.5,2649.7,270.0,191.5,337.4,105.2,227.0,287.1,405.6,304.0,112.4,102.6,190.4,413.2,94.2,65.9,59.1,442.7,376.4,125.2,407.2,148.0
OA,393.8,417.7,448.9,417.5,414.5,136.8,341.1,455.3,499.8,501.3,290.6,366.4,106.5,465.6,537.9,426.1,383.7,428.2,323.4,412.8,321.6,483.9,329.6,350.9,177.5,386.6,352.0,133.5,458.8,359.2,140.2,370.5,499.7,352.1,273.9,354.5,0.0,406.3,475.5,300.5,535.3,515.3,87.7,427.1,376.8,331.9,459.5,412.5,340.1,361.1,2873.3,372.5,437.5,361.1,358.3,410.2,437.4,555.9,394.1,377.0,379.4,340.7,108.5,340.2,308.2,363.7,593.0,160.1,423.2,117.6,482.8
OD,359.5,379.5,191.8,166.9,77.8,428.8,317.4,244.0,242.7,164.6,397.5,218.6,398.5,355.7,201.2,158.3,239.0,338.5,317.7,285.7,312.2,204.2,117.7,341.5,387.8,373.8,256.1,281.9,435.2,335.5,431.3,351.1,163.0,305.9,192.4,236.5,429.9,0.0,69.1,308.2,257.0,178.6,383.7,90.4,208.2,308.2,313.4,132.8,244.9,223.9,2886.3,160.6,405.7,228.0,324.3,123.7,100.7,219.2,194.6,343.0,322.6,55.5,306.9,330.8,302.5,284.1,256.3,267.0,143.5,297.8,285.3
ON,445.3,465.3,277.6,252.7,163.6,514.6,403.2,329.8,328.5,250.4,483.3,304.4,484.3,441.5,287.0,244.1,324.8,424.3,403.5,371.5,398.0,290.0,203.5,427.3,473.6,459.6,341.9,367.7,520.9,421.3,517.1,386.0,248.8,392.4,278.2,322.3,515.7,85.7,0.0,394.0,341.4,264.4,469.5,176.2,294.0,394.0,521.6,218.6,330.7,309.7,2972.1,246.4,491.5,313.8,410.1,216.3,186.5,305.0,280.4,428.8,408.4,141.3,392.7,416.6,388.3,369.9,342.1,352.8,229.3,383.6,371.1
PN,90.7,117.1,171.7,140.3,335.6,251.0,108.2,178.1,222.6,422.4,578.3,89.2,260.2,218.4,459.0,148.9,106.5,519.3,76.2,112.2,21.0,372.1,298.5,50.3,409.9,164.6,100.6,365.9,225.9,126.3,226.5,123.3,420.8,104.9,373.2,77.3,331.8,327.4,396.6,0.0,308.7,436.4,334.1,348.2,99.6,99.0,112.4,173.2,62.9,83.9,2677.1,341.4,136.9,408.8,111.1,298.4,358.5,477.0,375.4,129.8,132.2,261.8,344.0,39.6,61.0,68.5,514.1,447.8,196.6,350.0,219.4
PQ,344.2,368.1,174.0,149.1,285.9,559.9,299.6,226.2,201.5,372.7,528.6,200.8,529.6,337.9,409.3,140.5,221.2,469.6,299.9,267.9,294.4,331.5,248.8,323.7,518.9,356.0,238.3,413.0,417.3,317.7,562.4,282.4,371.1,288.1,323.5,218.7,561.0,277.7,346.9,290.4,0.0,386.7,514.8,298.5,190.4,290.4,418.0,166.9,227.1,206.1,2868.5,291.7,387.9,359.1,306.5,248.7,308.8,427.3,325.7,325.2,304.8,212.1,434.9,313.0,284.7,266.3,464.4,398.1,102.8,428.9,267.5
PR,489.5,515.9,321.8,296.9,139.4,558.8,447.4,374.0,372.7,13.1,527.5,348.6,528.5,485.7,135.4,288.3,369.0,468.5,416.6,415.7,442.2,334.2,247.7,471.5,517.8,503.8,386.1,411.9,565.1,465.5,561.3,430.2,97.2,425.9,322.4,360.5,559.9,179.6,248.8,438.2,385.6,0.0,513.7,86.3,338.2,438.2,443.4,262.8,374.9,353.9,3016.3,290.6,535.7,358.0,454.3,260.5,162.3,90.2,324.6,473.0,452.6,185.5,433.8,460.8,432.5,414.1,153.3,397.0,273.5,427.8,415.3
PU,382.3,402.3,439.9,408.5,398.0,100.3,332.1,446.3,490.8,484.8,274.1,357.4,70.0,456.6,521.4,417.1,374.7,411.7,314.4,403.8,312.6,467.4,313.1,341.9,161.0,377.6,343.0,117.0,449.9,350.2,102.8,425.7,483.2,343.1,257.4,339.5,97.4,389.8,459.0,291.5,520.2,498.8,0.0,410.6,367.8,315.9,350.6,396.0,331.1,352.1,2910.3,356.0,428.5,344.6,349.3,386.9,420.9,539.4,377.6,368.0,370.4,324.2,92.0,331.2,299.2,354.7,576.5,143.6,406.7,101.1,473.8
QD,403.1,429.5,235.4,210.5,53.0,472.4,361.0,287.6,286.3,74.1,441.1,262.2,442.1,399.3,110.7,201.9,282.6,382.1,361.3,329.3,355.8,256.9,161.3,385.1,431.4,417.4,299.7,325.5,478.7,379.1,474.9,343.8,72.5,339.5,236.0,280.1,473.5,93.2,162.4,351.8,299.2,88.1,427.3,0.0,251.8,344.8,357.0,176.4,288.5,267.5,2929.9,204.2,449.3,271.6,367.9,174.1,75.9,128.7,238.2,386.6,366.2,99.1,347.4,374.4,346.1,327.7,165.8,310.6,187.1,341.4,328.9
QP,150.3,170.3,72.0,40.6,235.9,326.4,109.1,78.4,122.9,322.7,478.6,10.4,335.6,190.1,359.3,49.2,30.7,419.6,109.4,76.5,103.9,272.4,198.8,133.2,468.9,165.5,47.8,363.0,226.9,127.2,302.8,142.8,321.1,97.6,273.5,28.2,407.2,227.7,296.9,99.9,210.4,336.7,464.8,248.5,0.0,99.9,105.1,73.5,36.6,15.6,2678.0,241.7,196.5,309.1,116.0,191.9,258.8,377.3,275.7,134.7,114.3,162.1,388.0,122.5,94.2,75.8,414.4,348.1,96.9,378.9,119.7
RA,132.4,162.0,161.0,120.0,315.3,240.9,9.2,167.4,202.3,402.1,512.9,78.5,259.7,221.3,448.3,128.6,95.8,499.0,43.9,153.9,72.3,360.9,287.8,101.6,409.4,72.5,88.1,365.4,133.8,27.2,226.5,126.2,400.5,107.8,352.9,66.6,321.7,307.1,376.3,58.7,288.4,416.1,333.6,337.5,88.9,0.0,89.7,162.5,42.6,73.2,2585.0,321.1,178.6,388.5,104.3,280.9,338.2,456.7,364.7,115.9,135.1,241.5,330.8,81.3,28.7,75.8,503.4,392.0,176.3,339.9,208.7
