from_stop,AA,AL,AO,AY,BD,BF,BN,BQ,BU,CI,CP,CY,DA,DB,DI,DS,DV,DW,DY,EH,FD,FG,FL,FV,FY,GK,GO,GT,HD,HF,HH,HI,HT,HZ,IE,IL,IP,IV,JR,JW,KF,KJ,KN,KZ,LA,LC,LG,LH,LW,MD,ME,MI,MP,MS,MY,ND,NH,NM,NS,NT,NV,OA,OT,PB,PS,PT,QA,QE,QN,QO,QQ,QY,RB,RE,RF,RN,RS,SB,SD,SP,SR,TM,TN,TX,UB,UC,UK,UR,VJ,VM,VO,VP,VV,WI,WM,WN,WW,WX,XD,XJ,XM,XO,YJ,YP,YT,YZ,ZJ,ZV
CP,213.7,220.0,221.2,194.2,125.9,94.2,138.0,256.4,115.4,168.4,0.0,70.4,193.6,91.9,248.0,129.8,168.5,248.6,138.7,92.5,95.8,166.8,151.6,241.0,65.3,134.8,8.1,86.9,196.0,88.5,105.6,123.1,173.0,131.3,98.6,123.7,131.2,216.5,248.2,145.9,97.4,110.5,77.7,178.7,118.6,96.2,148.3,105.7,153.6,170.8,120.6,129.7,67.5,137.3,103.2,218.5,211.6,175.4,185.0,202.0,165.6,209.8,35.4,215.1,149.9,88.6,92.6,119.5,137.3,80.4,2390.5,101.8,146.9,70.5,120.2,64.6,87.9,143.8,193.1,113.0,44.4,116.6,109.0,145.5,121.8,92.2,138.7,129.0,105.1,151.4,238.9,243.0,323.2,225.1,152.9,121.2,98.6,120.2,174.6,76.7,144.4,135.6,248.3,139.4,161.2,47.2,14.0,90.8
CY,210.7,195.3,197.7,174.2,113.0,74.7,131.6,239.9,109.3,130.3,75.9,0.0,190.7,70.4,249.5,105.1,143.8,232.1,146.7,114.4,53.1,145.3,148.6,217.5,88.8,115.8,84.0,44.2,182.7,57.9,62.9,117.7,148.3,122.7,95.4,120.5,158.1,191.8,231.7,137.3,94.2,86.4,74.5,162.2,123.3,93.0,105.6,99.3,128.9,165.2,114.2,120.9,64.3,135.1,78.5,204.1,208.4,172.2,179.6,197.0,138.3,185.1,59.1,179.9,157.0,87.8,53.1,94.8,147.1,35.4,2401.3,98.6,133.6,49.3,95.5,43.4,84.7,130.9,165.8,105.5,25.9,79.6,84.3,116.7,97.1,101.1,147.8,104.3,110.8,145.4,215.4,218.3,309.9,208.6,157.6,99.7,77.4,117.0,146.5,6.3,137.6,120.2,224.8,136.2,133.4,70.9,58.6,87.6
DA,157.2,216.5,69.0,40.3,150.7,171.3,96.1,78.5,104.3,184.6,203.6,199.0,0.0,128.3,112.9,89.3,165.0,70.7,177.9,149.7,137.3,135.1,159.1,49.2,171.6,97.7,210.7,146.2,129.9,270.7,127.5,188.0,129.5,241.3,146.9,145.5,161.9,158.1,56.2,230.4,251.9,291.0,188.8,109.4,161.0,141.7,161.3,173.9,70.7,69.6,188.8,186.4,199.0,121.4,133.7,50.5,91.8,107.6,144.9,82.1,63.1,206.3,171.3,155.8,117.3,226.8,137.3,120.9,121.4,152.7,2452.5,248.8,96.5,248.4,123.4,242.5,150.4,168.6,149.6,132.6,232.5,163.0,117.9,77.7,96.2,256.4,195.4,113.5,152.2,98.8,51.3,239.5,185.5,50.0,217.1,106.4,276.5,113.7,45.3,192.7,111.8,160.4,90.0,161.2,64.3,159.5,213.9,245.3
DB,209.6,124.8,138.1,114.6,119.1,42.5,122.2,187.6,77.6,147.2,91.7,70.2,138.4,0.0,186.2,45.5,73.3,179.8,146.3,116.3,90.1,85.7,131.9,157.9,108.0,56.2,98.8,81.2,134.2,134.4,95.9,107.5,88.7,112.5,18.5,104.0,156.6,132.2,179.4,127.1,115.6,156.4,60.0,113.7,129.4,68.9,142.6,86.4,69.3,100.3,101.3,108.0,70.2,124.7,68.3,152.9,116.0,151.1,107.0,125.6,99.6,114.6,78.1,164.1,135.9,113.3,90.1,84.6,123.3,72.4,2398.7,120.0,96.0,119.6,35.9,113.7,75.3,137.0,106.2,45.1,96.2,114.1,13.9,57.1,37.5,120.1,122.6,81.9,120.6,136.0,155.8,147.8,261.4,156.3,163.7,29.2,147.7,72.2,113.8,63.9,120.1,128.8,165.2,119.7,73.8,89.9,77.6,109.0
DI,208.7,72.2,181.4,130.3,149.6,175.7,147.8,172.3,190.1,76.6,216.5,200.6,128.9,144.7,0.0,111.5,77.0,164.5,158.6,128.0,147.4,60.5,244.9,139.2,154.3,169.2,227.8,156.3,25.3,264.8,137.6,112.1,66.1,104.3,163.3,217.0,86.0,53.2,117.5,81.5,248.8,287.1,193.2,44.2,183.4,163.9,94.9,181.4,138.9,67.3,196.3,208.2,203.4,174.4,148.0,143.4,159.4,194.5,79.4,169.0,114.8,62.0,184.2,202.2,169.0,241.3,147.4,135.2,218.3,162.8,2328.1,253.2,104.0,250.0,130.9,244.1,172.6,131.7,48.6,140.1,226.6,123.4,134.3,145.9,118.4,251.8,217.6,127.8,170.4,185.7,141.3,123.7,108.2,146.8,141.2,122.8,278.1,185.2,96.3,194.3,163.5,139.9,188.5,232.7,132.5,172.4,202.4,242.2
DS,211.0,148.1,139.5,116.0,102.7,76.7,120.1,142.1,82.1,140.1,127.1,102.4,92.9,63.0,146.1,0.0,96.6,134.3,136.4,99.9,89.3,40.1,133.5,159.3,93.6,57.6,131.0,98.2,94.1,160.4,79.5,139.7,43.1,144.7,68.7,105.4,150.1,86.6,133.9,145.6,147.8,186.9,92.2,73.6,113.0,52.3,113.3,69.8,70.7,67.4,84.7,91.4,102.4,123.6,85.7,106.3,117.4,152.5,107.5,128.8,80.1,137.9,110.3,160.2,137.3,139.0,89.3,72.9,106.7,104.6,2392.2,152.2,35.8,151.8,19.3,145.9,61.0,120.6,60.6,29.3,128.4,87.3,69.9,58.5,6.9,152.3,106.0,65.5,104.2,133.9,157.2,171.1,221.3,110.8,147.3,58.4,179.9,73.6,48.7,96.1,117.9,109.9,166.6,121.1,75.2,111.5,109.8,141.2
DV,244.3,51.4,159.8,188.5,108.0,112.2,189.9,156.5,148.4,73.2,162.6,137.9,107.3,67.6,92.2,75.7,0.0,148.7,149.3,125.2,94.6,54.2,199.8,179.6,98.9,123.9,170.7,103.5,90.2,195.9,84.8,109.3,57.2,101.5,86.2,171.7,83.2,63.1,148.3,78.7,183.3,224.1,127.7,69.7,118.3,136.6,92.1,154.1,85.1,81.8,169.0,175.7,137.9,193.4,91.0,120.7,183.7,218.8,33.6,207.4,146.4,41.2,128.6,250.8,203.6,174.5,94.6,78.2,191.0,112.3,2325.3,187.7,50.2,187.3,103.6,181.4,143.0,128.9,74.7,113.6,163.9,118.1,57.2,95.5,82.6,187.8,190.3,70.8,109.5,203.7,177.5,74.4,217.4,125.2,138.4,45.7,215.4,139.9,63.1,131.6,184.2,139.6,166.9,187.4,81.3,116.8,145.3,176.7
DW,191.0,232.8,141.3,112.6,240.0,239.9,130.1,7.7,177.1,236.5,290.3,265.6,60.7,199.6,160.4,163.1,181.3,0.0,273.7,237.2,226.6,142.8,228.5,121.5,230.9,152.6,298.4,235.5,146.2,323.6,216.8,272.6,145.8,264.8,218.2,200.4,246.5,174.4,14.4,242.0,311.0,350.1,255.4,125.7,250.3,215.5,255.4,233.0,190.5,120.7,247.9,254.6,265.6,157.7,223.0,42.8,141.7,176.8,210.2,153.1,105.7,222.6,273.5,184.5,161.6,302.2,226.6,210.2,269.9,244.3,2488.6,315.4,155.6,315.0,182.5,309.1,224.2,257.9,163.3,192.5,291.6,224.6,189.2,200.9,170.0,315.5,269.2,202.8,241.5,168.0,123.6,255.8,206.5,47.3,301.7,177.7,343.1,168.6,146.1,259.3,142.2,247.2,162.3,216.1,186.7,248.8,273.0,304.4
DY,293.6,157.4,209.3,238.0,41.8,145.8,242.5,206.0,182.5,113.0,138.6,144.3,144.4,143.5,200.8,125.2,105.9,198.2,0.0,58.3,85.7,112.8,237.3,229.1,71.8,161.6,142.5,94.6,148.8,193.0,75.9,75.9,115.8,80.9,153.7,209.4,102.0,159.3,197.8,95.5,218.9,196.0,163.3,128.3,23.1,177.6,89.7,195.1,134.6,123.6,210.0,216.7,173.5,245.0,151.6,171.3,268.3,308.0,137.8,258.7,232.3,147.2,101.8,300.3,307.2,126.0,85.7,167.9,245.0,101.1,2266.2,214.7,99.7,178.2,144.6,172.3,195.6,59.7,133.3,160.0,152.1,61.2,124.7,145.0,132.1,132.8,244.3,177.4,63.3,256.3,227.0,180.4,276.0,174.7,17.4,113.2,205.0,177.6,112.6,138.0,248.5,49.0,216.4,225.1,128.2,89.9,121.3,212.3
EH,266.0,129.8,181.7,210.4,53.5,118.8,210.9,178.4,155.4,85.4,88.4,115.3,116.8,114.5,173.2,97.6,78.3,170.6,80.7,0.0,58.1,85.2,209.7,201.5,26.2,134.0,97.5,67.0,123.2,179.5,48.3,48.3,88.2,53.3,140.2,181.8,41.8,131.7,170.2,67.9,189.9,201.0,134.3,100.7,65.4,150.0,62.1,169.5,107.0,96.0,184.4,194.7,144.5,213.4,122.6,145.7,240.7,280.4,112.2,233.1,189.7,119.6,56.1,267.4,229.3,128.0,58.1,138.9,213.4,73.5,2299.7,194.3,72.1,164.7,117.0,158.8,158.7,71.4,108.3,128.2,136.1,33.6,97.1,114.0,104.5,134.8,203.7,148.4,55.0,224.7,199.4,152.8,248.4,147.1,112.8,85.6,192.8,150.0,96.6,109.0,223.8,63.2,188.8,197.5,100.6,44.3,74.3,185.3
FD,269.1,138.1,197.6,174.1,59.8,74.6,184.8,186.7,140.2,77.1,95.8,53.1,137.5,70.3,181.5,105.0,86.6,178.9,93.5,57.0,0.0,93.5,191.6,217.4,50.7,115.7,99.7,8.9,129.5,111.1,9.8,56.6,96.5,61.6,96.0,163.5,106.0,140.0,178.5,76.2,145.7,139.6,90.1,109.0,70.1,128.4,52.4,145.9,128.8,112.0,160.8,167.5,100.3,188.3,78.4,150.9,175.5,210.6,128.7,186.9,138.2,127.9,79.0,218.3,195.4,107.7,0.0,94.7,182.8,17.7,2348.1,150.1,80.4,102.5,95.4,96.6,137.1,77.7,114.0,105.4,79.1,26.4,84.2,116.6,97.0,121.0,182.1,104.2,61.3,198.6,215.3,161.1,256.7,155.4,104.4,99.6,130.6,131.7,93.3,46.8,176.0,67.0,224.7,179.2,133.3,68.6,78.5,139.1
FG,228.9,130.0,144.4,136.1,121.7,117.1,162.5,141.1,121.4,100.5,166.3,144.8,100.5,96.8,116.6,42.3,78.5,133.3,173.9,141.3,116.9,0.0,175.7,172.8,121.0,100.0,173.4,125.8,64.6,209.0,98.5,136.0,3.0,128.2,119.7,147.8,109.9,37.8,132.9,96.8,198.8,229.3,134.6,35.5,132.0,103.3,110.2,112.2,69.7,67.1,135.7,142.4,144.8,165.0,104.7,106.4,168.4,194.9,58.7,193.8,129.8,77.3,152.7,230.1,169.4,192.8,116.9,91.9,165.0,132.3,2352.0,194.6,34.8,202.8,61.7,196.9,112.0,155.6,11.8,70.9,170.8,103.8,86.4,76.7,49.2,194.7,148.4,84.5,123.2,185.4,170.7,153.0,191.8,109.8,156.5,74.9,222.3,124.6,67.9,138.5,160.3,128.9,160.1,163.5,65.9,130.5,160.8,192.2
FL,147.7,251.5,187.7,147.9,212.6,138.4,88.3,255.9,51.4,246.5,147.0,145.0,208.2,131.6,223.1,130.5,200.0,263.7,239.8,209.8,185.9,170.7,0.0,207.5,203.4,70.5,138.9,177.0,224.8,133.8,189.4,203.4,173.7,208.3,117.0,26.4,253.5,217.2,208.9,222.9,107.4,111.5,124.3,204.2,224.5,81.9,223.2,68.2,100.9,190.2,83.2,81.3,114.1,91.9,164.1,233.9,165.2,115.6,233.8,155.6,119.2,241.3,173.9,149.1,80.5,172.1,185.9,180.4,70.3,168.2,2431.8,103.0,127.6,125.1,100.8,119.2,73.7,230.5,191.2,98.9,119.0,194.7,140.5,88.7,122.4,161.7,71.0,175.4,214.1,102.1,205.4,274.5,295.6,230.5,257.3,155.9,120.5,55.8,154.5,159.7,100.2,219.8,214.8,11.5,105.4,185.7,173.5,114.0
FV,125.1,245.4,19.7,8.8,199.1,141.2,64.2,136.8,111.2,234.4,191.6,166.9,65.9,127.5,142.0,137.7,193.9,144.6,232.8,196.3,185.7,154.5,162.6,0.0,190.0,86.7,195.5,194.6,171.4,224.9,175.9,204.2,157.5,209.2,133.2,134.5,240.0,201.0,159.1,223.6,212.3,253.4,156.7,150.9,209.4,134.8,209.7,152.3,119.1,135.8,167.2,173.9,166.9,91.8,182.1,115.8,75.8,110.9,221.9,87.2,39.8,235.2,219.7,118.6,95.7,203.5,185.7,169.3,189.2,203.4,2500.9,216.7,114.1,216.3,101.8,210.4,143.5,217.0,175.0,111.8,192.9,183.7,166.3,129.5,144.6,216.8,188.5,161.9,200.6,102.1,2.0,268.4,214.6,111.4,243.7,154.8,244.4,102.7,101.2,160.6,76.3,206.3,40.7,150.2,115.3,207.9,174.3,205.7
FY,286.8,142.4,215.5,192.0,46.1,90.5,200.2,191.0,154.5,98.0,65.3,89.0,129.4,88.2,185.8,122.9,90.9,183.2,73.3,27.1,88.9,97.8,209.3,235.3,0.0,133.6,73.4,80.0,133.8,153.2,60.9,60.9,100.8,65.9,113.9,181.4,69.0,144.3,182.8,80.5,163.6,172.7,108.0,113.3,56.4,146.3,74.7,163.8,146.7,108.6,178.7,185.4,118.2,202.7,96.3,156.3,193.4,228.5,122.8,203.0,163.4,132.2,29.9,241.5,213.3,98.0,88.9,112.6,202.7,73.5,2325.1,168.0,84.7,138.4,113.3,132.5,153.3,64.0,120.9,128.7,109.8,46.2,102.1,134.5,114.9,108.5,200.0,122.1,47.6,213.6,233.2,165.4,261.0,159.7,90.7,117.5,166.5,149.6,109.2,82.7,197.5,53.3,201.4,197.1,115.8,18.1,48.0,157.0
GK,155.7,181.0,117.2,93.7,142.1,67.8,76.8,202.2,21.3,176.0,117.0,95.5,137.7,56.1,169.0,60.0,129.5,194.4,169.3,139.3,115.4,100.2,75.6,137.0,132.8,0.0,128.3,106.5,154.2,159.7,118.9,132.8,103.2,137.8,61.8,47.7,183.0,146.7,154.9,152.4,140.9,182.0,85.3,133.7,152.4,63.4,152.7,80.9,30.4,119.8,95.8,102.5,95.5,79.3,93.6,167.5,95.1,117.4,163.2,144.0,65.1,170.8,103.4,157.1,102.2,132.1,115.4,109.9,79.3,97.7,2443.9,145.3,57.1,144.9,30.4,139.0,72.1,160.0,120.7,39.6,121.5,124.2,70.0,18.2,52.0,145.4,117.1,104.9,143.6,90.6,134.9,204.0,241.6,170.9,186.7,85.4,173.0,16.0,100.4,89.2,82.8,149.3,144.3,63.4,34.9,115.2,102.9,134.3
GO,205.6,228.1,217.3,186.1,129.8,87.1,130.9,264.5,107.7,179.7,8.1,66.5,185.5,99.0,265.6,137.9,176.6,256.7,146.8,96.4,99.7,173.9,143.5,232.9,73.4,130.9,0.0,90.8,203.1,81.4,113.7,130.2,176.9,139.4,90.5,115.6,138.3,224.6,256.3,154.0,89.3,99.2,73.8,186.8,129.9,88.1,152.2,98.6,157.2,177.9,113.5,121.6,59.4,129.2,107.1,225.6,203.5,167.3,192.1,193.9,161.7,217.9,43.5,207.0,152.1,96.7,99.7,123.4,129.2,88.5,2394.4,97.9,154.0,66.6,123.9,56.5,84.0,147.7,201.2,104.9,40.5,123.7,112.9,145.0,129.9,99.3,130.6,137.1,113.2,140.5,235.0,251.1,330.3,233.2,160.0,128.3,90.5,112.1,185.3,72.8,136.3,137.0,240.2,131.3,161.7,51.1,21.2,82.7
GT,260.2,147.0,188.7,165.2,68.7,65.7,175.9,195.6,131.3,86.0,86.9,44.2,146.4,61.4,190.4,96.1,95.5,187.8,102.4,65.9,8.9,102.4,182.7,208.5,59.6,106.8,90.8,0.0,138.4,102.2,18.7,65.5,105.4,70.5,87.1,154.6,114.9,148.9,187.4,85.1,136.8,130.7,81.2,117.9,79.0,119.5,61.3,137.0,119.9,120.9,151.9,158.6,91.4,179.4,69.5,159.8,166.6,201.7,137.6,178.0,129.3,136.8,70.1,209.4,186.5,98.8,8.9,85.8,173.9,8.7,2357.0,141.2,89.3,93.6,86.5,87.7,128.2,86.6,122.9,96.5,70.2,35.3,75.3,107.7,88.1,112.1,173.2,95.3,70.2,189.7,206.4,170.0,265.6,164.3,113.3,90.7,121.7,122.8,102.2,37.9,167.1,75.9,215.8,170.3,124.4,77.5,69.6,130.2
HD,240.5,91.1,156.0,137.5,168.5,169.1,155.0,146.9,172.9,95.5,218.3,196.8,103.5,130.8,109.4,94.3,95.9,139.1,177.5,144.9,166.3,74.0,227.7,175.8,173.2,152.0,225.4,175.2,0.0,261.0,156.5,131.0,77.0,123.2,149.4,199.8,104.9,28.1,144.5,100.4,242.2,281.3,186.6,18.8,181.5,146.7,113.8,164.2,121.7,41.9,179.1,191.0,196.8,217.0,166.9,118.0,166.6,201.7,69.1,205.4,108.4,80.9,203.1,209.4,176.2,233.4,166.3,154.1,201.1,181.7,2347.0,246.6,86.8,246.2,113.7,240.3,155.4,150.6,64.9,129.1,222.8,142.3,120.4,128.7,101.2,246.7,200.4,146.7,172.7,228.3,173.7,114.1,127.1,121.4,160.1,108.9,274.3,168.0,70.9,190.5,167.1,161.3,163.1,215.5,115.3,191.3,204.2,235.6
HF,213.7,259.5,232.9,205.9,177.2,106.9,146.5,304.1,127.1,193.1,84.1,64.1,205.3,134.6,281.2,169.3,208.0,296.3,198.6,178.6,117.3,209.5,112.6,252.7,153.2,146.5,80.2,108.4,246.9,0.0,127.1,181.9,212.5,186.9,110.3,139.2,222.3,256.0,295.9,201.5,58.4,22.2,89.4,226.4,172.2,107.9,169.8,123.4,177.0,221.7,107.1,99.7,79.2,150.0,142.7,269.4,223.3,181.6,243.8,213.7,170.0,249.3,123.3,220.4,146.5,105.5,117.3,159.0,82.9,101.9,2382.3,54.0,197.8,14.8,139.5,20.6,99.6,195.1,232.6,130.6,38.1,141.3,148.5,168.9,161.3,98.7,83.6,168.5,175.0,160.3,250.6,282.5,353.8,272.8,216.0,163.9,13.2,131.9,210.7,70.4,162.6,184.4,260.0,124.3,184.6,135.1,101.4,65.0
