from_stop,AE,AO,AV,BB,BD,BG,BU,BW,CH,CX,CY,DE,DI,DM,DN,DR,DU,EA,EH,EK,EM,EQ,EV,EZ,FB,FF,FG,FK,FP,FT,GO,GP,GQ,GR,GW,HC,HL,HO,HR,HS,HW,HX,IC,IF,II,IN,IV,JD,JE,JJ,JW,KI,KK,KM,KO,KP,KQ,KR,KS,KW,KX,KZ,LE,LO,LV,MB,ML,MN,MY,NF,NK,NO,OD,OJ,OK,OO,PG,PJ,PK,PP,PU,PV,PW,PY,QA,QD,QR,QS,QZ,RE,RR,SC,SD,SJ,SK,SY,TB,TK,TQ,TV,UB,UD,VH,VP,VV,VW,VX,VZ,WB,WM,WQ,XE,XI,XL,XY,XZ,YB,YZ,ZF,ZN,ZP,ZQ
CY,234.4,239.9,222.8,106.5,233.8,135.6,201.6,124.7,188.7,184.2,0.0,133.6,244.6,236.1,22.9,113.5,93.9,108.1,105.2,248.9,16.3,144.4,195.5,157.8,83.9,80.0,43.6,218.5,146.2,60.6,134.7,158.9,140.2,215.9,200.8,205.5,238.5,146.1,222.9,176.0,206.0,124.3,149.3,124.5,178.2,90.8,92.4,214.3,100.8,76.8,46.2,96.8,215.7,2241.1,18.0,171.1,99.9,96.9,183.2,186.9,29.8,163.9,81.7,216.9,115.8,170.1,154.6,149.5,112.9,106.1,223.5,165.5,179.6,144.7,49.3,136.3,115.8,161.9,90.9,114.3,74.5,173.9,120.6,40.3,218.3,136.8,200.8,32.1,75.1,53.1,184.6,189.1,98.9,124.2,157.4,109.2,154.9,140.9,184.4,183.0,135.6,187.9,199.4,177.7,90.8,80.3,143.7,145.2,108.6,120.1,88.3,67.7,130.0,125.6,71.0,153.6,162.7,220.1,143.0,32.5,134.1,194.0
DE,157.9,99.1,159.3,114.1,127.8,204.4,54.4,136.7,110.5,99.6,156.8,0.0,108.1,266.7,179.8,97.1,66.3,84.6,177.6,256.5,175.1,66.2,262.7,24.1,151.5,95.1,155.1,82.0,215.0,160.7,224.1,113.8,62.0,170.8,247.0,168.2,175.0,213.3,315.6,274.3,256.8,131.9,156.9,9.0,100.0,96.3,114.9,136.1,59.4,144.0,113.4,65.9,297.6,2184.7,138.7,242.0,167.1,162.2,267.1,233.1,168.3,67.6,187.9,236.1,183.0,91.9,59.8,212.1,176.8,170.0,87.0,211.7,134.5,152.3,200.8,203.5,35.2,83.7,159.7,265.8,115.0,203.2,33.9,107.5,77.5,288.3,115.8,169.5,228.8,99.8,106.4,196.7,165.8,275.7,20.9,176.4,218.3,52.2,264.0,104.8,211.5,114.0,121.2,223.9,158.0,94.6,210.9,165.5,200.9,84.0,152.1,108.2,244.5,160.5,138.2,224.0,229.9,118.2,9.9,193.3,48.3,115.8
DI,176.8,14.6,189.1,144.9,145.6,304.5,56.5,164.2,51.8,101.2,241.5,100.0,0.0,366.8,264.5,128.6,156.4,174.7,294.6,278.8,261.8,97.1,376.6,78.1,273.6,186.2,245.2,25.7,315.1,280.0,346.2,144.6,121.6,182.2,347.1,192.6,204.8,335.4,346.4,304.7,287.6,162.7,187.7,109.1,62.8,181.1,206.0,51.2,149.5,263.3,235.5,161.7,328.4,2284.8,223.4,364.1,289.2,284.3,297.9,333.2,258.4,97.7,299.5,266.9,293.0,109.7,90.6,338.8,249.0,242.2,20.5,311.8,145.9,183.1,290.9,325.6,135.3,75.4,259.8,355.9,162.9,234.0,131.2,241.6,39.8,378.4,142.3,256.4,316.7,184.5,56.1,227.5,288.2,368.6,97.9,298.5,239.5,121.1,328.0,54.8,242.3,131.8,66.4,324.0,280.1,185.7,333.0,208.8,322.0,110.3,224.3,170.5,275.3,191.3,260.3,254.8,352.0,136.0,90.3,278.0,107.4,43.3
DM,352.2,430.4,338.0,311.5,337.1,77.9,392.6,282.7,375.7,370.6,192.7,281.1,426.2,0.0,168.7,320.6,280.9,241.0,167.5,189.7,209.1,331.4,162.5,305.3,168.1,267.0,240.9,400.1,97.2,186.2,124.7,359.0,327.2,285.2,63.1,272.8,353.7,172.2,189.9,143.4,173.0,295.5,267.6,272.0,365.2,232.4,268.4,401.3,287.8,203.1,207.1,288.5,182.7,2141.8,210.8,65.3,152.3,177.8,150.2,66.5,227.1,338.9,149.4,224.8,170.1,313.8,353.2,129.5,225.1,231.9,405.1,90.5,301.0,261.3,193.5,142.7,243.6,348.9,122.2,126.9,279.5,228.2,248.4,212.8,408.5,104.0,313.8,224.9,163.7,258.1,371.6,234.5,153.3,114.1,350.4,159.8,235.0,324.2,163.8,370.0,215.7,291.3,386.4,75.7,161.5,267.3,128.7,281.6,140.8,339.1,216.8,272.7,184.3,254.1,181.4,207.8,116.3,327.5,290.5,224.7,321.1,386.1
DN,272.1,263.9,228.5,130.5,235.4,112.6,219.2,148.7,212.7,201.8,23.9,159.0,268.6,174.9,0.0,140.2,117.9,113.8,87.5,272.9,38.3,168.4,219.5,183.2,108.3,104.0,49.3,242.5,123.2,69.4,120.4,182.9,164.2,194.9,186.5,182.5,244.2,170.1,246.9,200.0,230.0,148.3,173.3,149.9,202.2,98.2,116.4,238.3,124.8,100.8,70.2,125.5,239.7,2218.1,42.0,156.8,123.9,102.9,207.2,172.6,35.5,187.9,71.6,252.5,139.8,216.1,178.6,148.8,136.9,130.1,247.5,151.2,185.3,168.7,35.0,140.2,121.5,185.9,67.9,100.0,98.5,197.9,123.2,64.3,242.3,122.5,206.5,52.7,63.0,77.1,208.6,213.1,122.6,109.9,181.4,125.8,178.4,164.9,220.8,207.0,159.6,193.6,223.4,163.4,114.8,104.3,167.7,167.0,95.3,153.0,112.3,91.7,157.7,149.6,95.0,177.6,166.6,225.8,169.0,56.5,150.5,218.0
DR,286.7,124.2,288.1,16.2,256.6,248.5,79.5,33.1,112.9,206.3,110.4,114.3,145.5,320.9,135.8,0.0,121.3,139.5,179.0,158.6,130.7,167.9,247.9,92.4,158.1,129.0,156.5,182.7,296.8,151.3,230.7,40.0,190.8,290.0,292.3,313.1,300.6,223.6,217.7,176.1,162.6,34.0,59.0,122.8,123.9,148.0,86.8,163.5,111.1,134.6,134.4,103.0,199.7,2299.1,98.4,258.9,173.7,168.8,166.8,282.9,140.3,62.6,178.5,138.2,164.3,220.7,38.9,224.0,120.3,113.5,169.3,261.5,256.9,54.4,159.8,210.1,149.6,180.5,225.2,227.2,34.2,102.9,142.3,112.9,102.6,249.7,245.4,127.7,190.2,55.8,117.2,98.8,172.7,237.1,121.6,180.6,91.8,77.9,206.4,148.9,111.2,242.8,178.4,273.7,179.4,104.9,217.5,80.1,207.5,13.3,96.3,41.8,146.6,62.6,142.4,126.1,250.2,247.0,128.0,149.3,175.0,140.6
DU,163.7,161.0,166.8,126.5,139.4,193.5,122.7,145.8,118.0,112.9,92.8,62.9,156.6,275.6,126.0,106.5,0.0,18.2,146.2,268.9,113.1,73.7,231.3,87.1,120.1,57.9,88.7,130.5,204.1,129.3,192.7,124.6,69.5,171.9,258.8,192.9,182.5,181.9,258.7,212.8,269.2,144.3,169.3,53.8,107.5,24.6,115.6,143.6,6.8,112.6,82.0,66.6,251.5,2210.2,74.7,210.6,135.7,130.8,219.0,244.9,101.9,57.9,148.8,248.5,151.6,99.4,72.2,185.3,148.7,141.9,135.5,223.5,135.6,164.7,134.4,172.1,94.2,91.2,148.8,199.4,115.7,215.6,99.0,74.4,139.4,221.9,123.3,105.5,160.2,100.5,113.9,209.1,134.7,209.3,69.4,145.0,204.5,34.9,232.6,112.3,171.4,121.5,128.7,235.7,126.1,95.3,179.5,168.4,168.5,96.4,152.8,108.9,169.5,156.7,106.8,189.4,198.5,125.7,72.9,129.3,63.4,128.4
EA,181.8,182.7,182.9,148.2,151.7,175.2,138.0,153.9,144.2,123.5,89.2,79.3,178.3,272.0,107.7,131.2,21.6,0.0,142.6,254.9,107.5,90.1,227.7,112.3,116.5,54.3,70.4,152.2,185.8,125.7,189.1,146.3,85.9,176.0,255.2,173.5,198.6,178.3,255.1,208.2,238.2,166.0,191.0,70.2,133.7,11.6,137.3,160.0,28.5,109.0,78.4,88.3,247.9,2207.9,71.1,207.0,132.1,127.2,215.4,241.3,83.6,79.6,152.9,270.2,148.0,115.8,93.9,177.1,145.1,138.3,157.2,219.9,139.7,165.0,116.1,168.5,75.9,107.6,130.5,181.1,137.4,206.1,77.6,72.5,161.1,203.6,160.9,101.9,144.1,103.3,140.1,212.4,130.8,191.0,91.1,141.4,186.6,56.6,229.0,140.1,167.8,148.0,145.1,232.1,123.0,86.2,175.9,187.9,165.9,118.1,120.5,130.6,165.9,157.8,103.2,185.8,194.9,142.1,98.1,125.7,72.2,151.1
EH,319.9,299.5,276.3,180.6,283.2,123.6,266.3,160.7,244.8,239.7,89.6,189.7,295.2,172.8,94.3,189.6,155.1,161.5,0.0,184.6,100.9,200.5,162.6,213.9,46.2,136.0,97.0,269.2,93.5,42.4,71.4,228.1,196.3,242.3,123.3,229.9,291.9,108.0,184.9,138.9,167.9,174.0,178.3,192.5,234.3,146.0,137.5,270.4,156.9,59.2,76.2,157.5,177.7,2286.7,107.7,107.8,61.9,8.3,145.1,123.6,78.1,207.9,70.6,213.2,77.8,226.2,222.3,99.3,106.9,115.7,274.2,102.2,233.0,142.4,44.5,91.3,169.2,218.0,84.4,51.0,148.6,135.8,168.9,81.8,277.6,73.5,254.3,118.5,19.9,127.2,240.7,142.2,60.9,61.0,219.5,71.2,133.7,193.3,153.5,239.1,97.5,241.3,255.5,114.4,52.7,136.3,105.7,162.8,28.4,203.0,97.9,141.7,95.6,135.2,50.4,115.5,117.6,273.5,199.6,80.9,195.3,255.2
EK,383.5,291.9,378.1,150.8,350.7,167.3,253.6,160.1,280.6,324.2,217.6,274.2,307.9,188.9,240.6,165.5,234.5,247.5,185.8,0.0,223.5,285.0,96.6,298.4,122.1,229.1,259.2,350.4,157.0,205.8,194.1,202.4,280.8,374.6,225.1,371.8,393.8,134.3,60.9,35.6,57.6,132.7,104.8,265.1,291.6,253.9,193.0,331.2,241.4,178.9,160.7,237.4,42.9,2302.0,208.0,123.9,105.9,163.4,37.9,228.5,245.4,230.2,223.8,69.0,123.7,310.7,206.6,123.6,176.7,185.5,337.0,224.9,346.9,152.4,211.8,136.8,272.0,302.5,211.6,145.2,196.5,102.1,267.9,168.1,270.3,122.3,334.6,233.7,184.4,211.7,284.9,104.1,106.9,132.4,289.3,153.9,135.8,238.6,59.5,323.6,146.7,332.8,340.0,237.1,115.6,220.9,102.3,148.6,204.8,172.1,178.9,195.6,137.9,160.6,143.5,131.5,110.4,337.0,283.6,196.9,283.2,302.9
EM,241.4,250.7,249.7,117.3,216.8,147.1,212.4,135.5,199.5,194.4,26.8,144.4,255.4,235.2,49.8,129.6,104.7,135.0,100.9,259.7,0.0,155.2,206.3,168.6,94.7,95.4,70.5,229.3,157.7,44.2,133.8,169.7,151.0,242.8,186.8,232.4,265.4,156.9,233.7,187.8,216.8,135.1,160.1,135.3,189.0,117.7,103.2,225.1,111.6,46.6,57.0,112.2,226.5,2346.5,28.8,170.2,110.7,107.7,194.0,186.0,56.7,174.7,65.3,227.7,126.6,180.9,165.4,160.3,111.9,103.1,234.3,164.6,206.5,129.8,70.1,147.1,142.7,172.7,119.7,113.4,85.3,184.7,147.5,49.4,229.1,135.9,227.7,21.5,74.2,63.9,195.4,199.9,109.7,123.3,168.2,120.0,165.7,160.0,195.2,193.8,146.4,214.8,210.2,176.8,101.1,91.1,154.5,153.8,107.7,130.9,85.3,78.5,144.5,122.6,81.8,164.3,173.5,207.2,153.8,16.1,144.9,209.9
EQ,142.7,87.7,144.1,149.5,112.6,240.9,67.5,168.8,44.2,84.4,149.1,47.4,96.3,331.9,172.1,132.5,95.7,92.5,202.5,291.9,167.4,0.0,287.6,82.7,176.4,124.5,152.7,70.2,251.5,185.6,249.0,149.2,46.8,157.1,283.5,166.5,159.8,238.2,351.0,268.1,292.2,167.3,192.3,56.5,33.7,104.2,144.3,108.9,88.8,168.9,138.3,95.3,333.0,2232.2,131.0,266.9,192.0,187.1,302.5,269.6,165.9,103.0,212.8,271.5,207.9,76.7,95.2,237.0,206.2,199.4,75.2,248.2,120.8,187.7,198.4,228.4,82.7,68.0,196.2,246.6,144.4,238.6,81.4,132.4,66.1,269.1,100.6,161.8,226.4,129.2,40.1,232.1,190.7,256.5,36.2,201.3,253.7,81.6,288.9,58.1,246.9,98.8,94.0,260.4,182.9,124.0,235.8,194.9,225.8,119.4,181.5,137.6,225.8,195.9,163.1,259.4,254.8,103.0,94.9,185.6,17.8,69.1
EV,368.7,366.3,375.6,225.2,344.1,164.8,328.0,233.8,326.8,321.7,215.1,271.7,377.3,177.9,238.1,239.9,232.0,245.0,183.3,109.8,212.5,282.5,0.0,295.9,119.6,218.1,256.7,351.2,154.5,202.0,191.6,285.3,278.3,372.1,222.6,360.8,391.3,123.3,101.5,55.6,84.6,207.1,179.2,262.6,316.3,256.7,219.5,352.4,238.9,176.4,158.2,234.9,94.3,2204.0,197.0,112.9,103.4,160.9,61.8,226.0,242.9,290.0,220.3,136.4,121.2,308.2,281.0,121.1,176.2,183.0,356.2,222.4,344.4,212.4,209.3,134.3,269.5,300.0,209.1,142.7,230.6,179.3,265.4,163.9,344.7,119.8,332.1,227.8,179.5,209.2,322.7,178.5,104.4,129.9,301.5,151.4,203.0,267.3,75.4,321.1,166.8,330.3,337.5,234.6,112.6,218.4,90.6,225.2,201.6,248.8,167.9,223.8,139.1,205.2,132.5,158.9,107.9,334.5,281.7,194.4,272.2,337.2
EZ,179.8,74.9,181.2,89.9,149.7,226.3,30.2,112.5,75.8,101.6,186.5,21.8,109.9,288.6,209.5,72.9,101.4,119.7,199.5,232.3,204.8,69.0,321.6,0.0,173.4,145.6,134.5,83.8,236.9,225.0,246.0,89.6,83.9,192.7,268.9,189.0,196.9,235.2,291.4,250.1,232.6,107.7,132.7,30.9,65.3,131.4,160.5,122.5,94.5,208.3,135.3,116.4,273.4,2206.6,168.4,263.9,189.0,184.1,242.9,255.0,147.7,43.4,252.2,211.9,238.0,113.8,35.6,234.0,194.0,187.2,88.8,233.6,156.4,128.1,180.2,225.4,57.1,81.6,181.6,243.6,107.9,179.0,55.8,129.4,53.3,266.1,137.7,199.2,208.2,129.5,71.7,172.5,187.7,253.5,22.7,198.3,194.1,66.4,285.4,71.7,187.3,135.9,107.6,245.8,179.9,147.7,232.8,153.8,222.8,59.8,169.3,115.5,220.3,136.3,160.1,199.8,251.8,140.1,12.1,223.0,70.2,82.7
FB,261.7,262.2,256.3,143.3,228.9,142.3,224.4,114.1,207.5,202.4,95.4,152.4,257.6,155.4,118.8,150.3,112.7,125.7,50.0,146.8,92.8,163.2,111.5,176.6,0.0,98.8,139.5,231.9,132.0,72.2,72.5,190.4,159.0,261.0,138.6,270.4,272.0,61.7,138.5,92.0,121.6,124.7,116.2,142.9,197.0,132.1,100.2,233.1,119.2,57.1,38.9,115.6,131.3,2251.3,77.3,90.4,15.5,41.6,98.8,124.7,125.7,171.4,93.3,159.6,31.4,188.9,185.0,65.5,54.9,63.7,236.9,103.3,225.1,93.1,108.2,51.9,150.2,180.7,137.9,70.1,111.3,89.5,145.7,46.3,240.3,92.6,212.4,111.9,80.8,89.9,203.4,95.8,14.9,82.8,182.2,24.8,66.8,163.0,100.0,201.8,47.1,211.0,218.2,115.5,5.9,99.1,59.3,115.6,77.4,156.9,48.6,104.5,45.6,85.9,12.8,69.1,78.3,215.2,161.8,75.1,152.9,217.9
FF,172.2,184.0,179.1,116.3,147.6,190.6,139.3,133.2,130.3,125.8,76.5,75.2,178.3,259.3,99.5,100.1,35.5,48.5,129.9,258.7,86.5,86.0,215.0,99.4,103.8,0.0,67.5,152.2,201.2,111.4,176.4,91.9,81.8,184.2,242.5,193.6,194.8,165.6,242.4,195.5,225.5,134.1,159.1,66.1,119.8,60.2,100.9,155.9,42.4,96.3,65.7,16.7,235.2,2267.1,58.4,194.3,119.4,114.5,202.7,228.6,80.7,93.5,132.5,226.7,135.3,111.7,98.7,169.0,132.4,125.6,157.2,207.2,147.9,154.5,113.2,155.8,110.2,103.5,145.9,174.0,101.0,205.4,68.9,58.1,162.4,196.5,135.6,64.3,139.0,85.8,126.2,198.9,118.4,183.9,91.1,128.7,194.3,70.8,203.9,124.6,155.1,133.8,141.0,219.4,110.3,80.6,163.2,151.5,153.2,81.7,107.8,94.2,149.5,142.0,90.5,173.1,182.2,138.0,85.2,102.7,75.7,135.6
