from_stop,AB,AE,AF,AH,AM,AN,AO,AP,AW,AX,AZ,CF,CG,CH,CJ,CX,DL,DR,DS,DT,DZ,EF,EJ,EN,EQ,EW,FH,FM,FU,FW,FX,FY,GB,GC,GD,GE,GH,GN,GQ,GS,GW,GX,GY,HD,HG,HH,HJ,HK,HS,HT,IE,IJ,IK,IX,JG,JN,JR,JS,JU,JV,JX,JY,KF,KJ,KK,KN,KO,KS,KT,KZ,LA,LQ,LU,LV,LX,LY,MB,MF,MY,NG,NT,NW,NZ,OB,OG,OK,OP,OY,PI,PN,PQ,PT,PW,PX,QC,QD,QH,QI,QM,QO,RC,RN,RU,RV,SF,SN,SW,SX,SY,SZ,TG,TM,TP,TS,UL,UO,US,UT,UX,VB,VF,VU,VY,WK,WN,WS,WX,XN,YA,YI,YJ,YK,YQ,YS,YZ,ZC,ZH,ZQ
AZ,62.2,196.7,36.1,124.2,116.3,54.7,94.1,183.7,77.8,138.9,0.0,121.6,98.6,139.7,91.3,61.1,166.3,98.0,199.8,175.3,157.0,138.7,154.3,214.5,92.6,165.4,85.8,15.0,73.0,118.3,79.2,153.5,33.8,51.9,79.8,138.1,97.2,161.0,78.5,142.9,134.8,2168.1,112.5,65.0,165.4,31.7,133.5,66.0,92.4,108.2,38.4,118.2,179.2,170.5,100.5,178.1,124.5,41.4,59.0,145.4,169.5,110.6,177.7,158.7,120.5,128.9,90.3,39.8,83.8,92.2,97.2,33.0,72.4,135.7,102.0,113.7,178.6,144.4,127.9,128.2,136.7,81.8,174.8,106.6,78.3,104.1,84.0,153.0,106.6,90.0,123.8,231.9,100.1,101.7,84.6,87.3,124.6,187.9,76.5,46.4,113.3,43.0,145.0,201.2,19.5,112.5,155.3,54.0,160.0,68.9,115.9,61.8,103.9,74.1,153.3,121.9,138.2,39.0,90.2,202.0,86.8,142.8,80.3,148.4,210.2,131.7,128.2,165.2,145.5,217.2,110.9,54.2,95.4,166.1,57.3,139.4,68.2,78.8
CF,186.9,83.5,145.4,214.6,206.7,96.5,223.4,54.7,202.5,268.2,124.6,0.0,129.1,293.1,218.5,122.9,129.8,159.8,218.2,179.2,311.7,73.4,32.6,339.1,208.3,320.3,182.0,144.3,89.6,243.0,225.7,283.2,158.5,176.6,110.3,228.5,176.6,64.1,207.8,296.8,13.1,2346.2,202.9,143.0,169.3,141.0,194.7,113.6,176.5,242.2,167.7,50.2,238.9,330.4,94.6,239.9,254.3,166.1,153.6,89.8,298.8,5.4,307.0,59.9,275.2,158.7,120.8,77.4,85.8,221.3,288.7,123.4,166.4,262.9,226.7,123.1,313.0,206.2,252.6,250.0,261.4,112.7,61.6,194.9,191.1,219.8,208.7,214.8,61.2,104.5,251.0,361.2,224.8,226.4,196.2,212.0,270.8,249.7,108.3,116.8,188.2,137.2,269.7,84.4,152.5,190.7,267.8,183.3,313.8,199.7,240.6,103.6,165.0,198.8,208.8,223.3,262.9,109.4,152.0,356.7,70.2,21.1,170.7,152.3,257.8,245.7,60.2,307.3,80.2,264.8,235.6,132.4,224.7,248.2,122.3,272.7,192.9,175.0
CG,158.3,107.5,116.8,168.0,160.1,105.3,218.8,149.5,146.0,269.9,96.0,122.2,0.0,264.4,190.0,135.4,68.6,164.7,243.6,247.3,281.7,165.2,90.5,312.1,145.2,297.7,118.9,107.7,112.0,210.7,179.1,284.9,129.9,148.0,18.8,181.9,113.5,71.8,171.2,272.5,110.0,2260.8,156.3,80.1,237.4,112.4,197.8,32.5,69.1,208.1,131.1,93.6,223.0,313.0,65.4,231.4,231.7,143.5,90.5,46.7,300.5,131.4,308.7,113.7,245.2,195.6,8.3,101.6,53.2,184.9,191.5,76.8,110.9,234.4,198.1,15.0,284.5,211.1,224.0,227.4,232.8,49.6,85.6,87.5,168.5,156.7,180.1,219.7,76.0,41.4,222.5,324.6,196.2,197.8,167.6,183.4,224.5,241.2,75.9,52.1,80.8,90.6,241.1,116.3,146.8,127.6,234.5,181.5,291.0,167.6,212.0,95.0,57.6,170.2,217.6,115.9,234.3,59.5,156.9,326.7,123.4,102.0,124.1,202.0,254.0,223.1,81.0,289.9,172.0,261.0,200.4,69.3,188.1,230.4,41.2,239.3,152.8,111.9
CH,110.5,372.3,232.5,105.1,107.6,235.4,53.6,361.0,192.1,79.7,181.2,302.3,284.2,0.0,113.1,211.5,333.4,177.0,131.7,177.9,17.2,320.7,334.1,73.1,228.9,83.3,198.8,195.7,261.4,151.6,88.7,55.4,166.1,188.2,266.7,88.0,212.7,336.6,119.9,63.0,315.5,2143.6,116.6,218.1,169.3,185.0,156.9,251.3,239.3,74.0,162.7,298.9,111.1,54.0,288.7,118.2,49.1,146.0,207.4,311.5,62.8,291.3,53.3,339.4,17.5,206.6,277.2,220.5,254.0,67.5,93.9,204.9,161.2,87.3,189.8,279.8,38.8,133.6,223.0,52.8,122.7,227.1,350.4,220.9,118.3,240.4,147.3,126.6,276.8,235.3,95.0,168.1,84.5,142.6,102.9,158.9,75.4,129.3,257.2,232.0,227.6,186.7,194.0,379.8,150.6,226.8,46.3,116.9,37.4,111.9,107.2,243.8,250.8,145.7,176.7,258.2,233.3,224.6,180.6,62.2,267.0,324.8,154.4,211.7,142.1,56.3,311.4,30.9,327.5,147.8,163.2,207.5,70.9,188.2,244.2,102.0,204.5,193.1
CJ,38.4,296.5,158.3,150.9,143.0,164.6,128.3,300.3,108.0,161.4,109.1,231.5,209.8,116.8,0.0,128.2,257.6,129.6,226.5,212.2,125.1,248.6,264.2,144.4,116.4,169.9,128.0,124.9,182.9,46.7,113.4,148.4,80.9,75.7,191.5,164.8,121.0,260.8,112.7,146.4,244.7,2202.3,139.2,190.1,202.3,118.7,164.1,177.1,163.5,59.2,72.6,232.5,205.9,147.4,214.5,209.7,103.9,67.4,130.1,235.7,152.7,220.5,143.2,260.7,124.8,160.5,202.0,149.7,179.8,126.4,121.0,130.0,99.1,44.3,84.8,204.0,94.4,176.0,117.3,99.6,65.1,152.9,274.6,148.8,40.7,127.9,34.8,184.6,202.6,161.1,32.4,251.1,41.8,30.1,30.8,55.7,62.6,219.5,186.4,158.1,155.5,116.7,85.4,305.3,129.4,148.7,84.8,88.2,130.8,21.8,62.3,171.7,175.0,70.1,183.9,145.7,127.6,150.7,121.8,170.1,201.1,252.7,107.0,166.9,236.9,95.3,242.5,124.3,255.4,243.9,57.3,141.2,129.6,196.7,169.0,91.5,92.0,121.0
CX,118.2,204.2,112.9,113.3,96.4,48.2,164.1,197.8,172.2,215.2,94.3,133.1,146.5,207.6,117.3,0.0,159.8,36.8,147.1,140.2,224.9,150.2,165.8,261.8,187.0,233.5,180.2,84.9,84.5,164.1,115.4,229.8,128.2,146.3,127.7,127.2,194.0,168.5,122.5,210.0,146.3,2237.0,101.6,141.8,130.3,108.5,106.2,120.1,199.0,144.4,82.4,126.1,126.5,247.2,94.0,116.9,167.5,111.0,153.4,143.4,245.8,122.1,254.0,170.2,188.4,67.7,138.2,51.3,103.2,136.2,194.0,72.4,61.5,161.7,198.2,145.6,211.8,83.2,230.7,163.2,182.5,130.1,182.3,201.0,104.3,198.5,152.2,91.8,100.1,121.9,149.8,314.7,141.6,147.5,110.6,166.6,160.8,126.7,64.5,100.5,210.7,59.1,202.8,213.0,78.9,208.1,184.6,117.8,230.6,94.9,174.6,55.3,187.5,153.4,126.0,216.3,241.0,93.1,29.0,269.9,94.7,154.3,69.4,74.1,157.5,158.9,136.1,224.1,157.0,164.5,174.7,131.0,139.4,138.8,111.4,175.6,162.6,173.2
DL,232.0,157.2,177.3,241.8,233.3,106.7,242.6,183.5,201.8,287.4,156.5,146.2,121.8,327.6,254.2,136.8,0.0,173.7,284.0,272.1,344.9,199.6,140.2,372.6,201.0,353.5,174.7,163.5,137.8,274.9,252.3,302.0,190.4,208.5,103.0,255.7,169.3,121.5,227.0,330.0,157.3,2316.6,230.1,135.9,262.2,172.9,243.1,106.3,152.0,281.3,186.9,137.7,263.4,375.5,47.0,253.8,287.5,199.3,146.3,96.4,318.0,155.4,326.2,163.4,308.4,204.6,113.5,133.5,78.5,240.7,169.3,150.6,190.0,298.6,258.6,98.6,348.7,220.1,284.5,283.2,293.3,105.4,135.3,170.4,224.3,212.5,240.6,228.7,95.4,97.2,286.7,380.4,269.9,258.3,241.3,257.1,297.7,263.6,83.0,125.9,163.7,160.6,301.6,166.0,168.0,183.4,312.9,202.5,308.5,231.8,272.5,96.4,140.5,243.9,262.9,198.8,294.8,133.3,165.9,389.9,144.5,151.7,197.9,211.0,294.4,278.9,132.0,352.4,206.4,301.4,267.5,125.1,243.9,275.7,115.0,312.5,208.6,167.7
DR,144.0,235.2,131.9,106.6,59.5,82.7,128.4,217.9,206.7,182.4,128.8,167.6,181.0,172.7,136.3,34.4,194.3,0.0,110.2,110.9,191.3,184.7,211.6,188.4,226.0,217.9,214.7,103.9,123.1,192.0,78.5,197.4,162.7,180.8,162.2,109.5,228.5,199.5,95.8,186.4,194.3,2200.1,73.7,160.8,101.0,127.5,69.3,139.1,233.5,107.5,95.4,156.7,89.6,222.6,128.5,80.0,158.8,130.0,187.9,177.9,213.0,161.1,221.2,204.7,154.8,29.5,172.7,85.8,137.7,109.3,116.1,90.4,80.9,135.8,216.1,180.1,143.0,46.3,234.7,162.5,158.1,164.6,213.3,235.5,119.3,233.0,168.3,54.9,134.6,156.4,143.5,274.8,118.0,166.5,136.4,189.2,123.9,89.8,104.5,119.5,245.2,72.9,230.7,244.0,97.9,242.6,124.6,80.9,203.5,113.9,137.7,89.8,222.0,179.2,89.1,250.8,241.7,112.1,4.8,236.3,124.8,202.3,67.2,35.9,120.6,116.8,166.7,199.5,191.5,127.6,149.3,150.0,112.7,101.9,130.4,138.7,197.1,207.7
DS,217.4,282.9,204.5,64.9,133.9,176.6,86.7,277.8,299.0,150.7,218.9,230.9,245.3,132.3,227.9,128.3,288.2,93.8,0.0,55.4,149.6,242.9,261.5,207.1,311.6,176.2,307.0,176.5,203.5,274.7,165.7,165.3,252.8,270.9,226.5,67.8,310.8,247.2,101.3,152.7,242.0,2176.4,77.7,233.4,61.8,200.1,41.1,212.7,310.1,180.9,146.5,204.4,20.6,180.9,222.4,56.3,117.1,214.0,276.7,256.7,181.3,214.8,185.7,262.9,113.1,123.4,237.0,179.7,230.5,102.8,310.8,165.0,122.3,219.7,297.4,260.4,171.2,50.4,329.9,120.8,209.8,225.4,261.0,327.8,186.3,323.1,262.8,43.4,228.5,233.6,227.4,243.7,191.4,258.1,209.8,265.8,207.8,66.1,192.9,193.1,326.2,151.7,313.4,291.7,170.5,324.9,147.9,132.0,164.3,205.5,188.1,183.7,303.0,252.6,94.1,340.9,292.1,185.7,98.7,194.6,173.0,250.0,114.2,129.8,39.5,124.3,214.4,157.8,249.7,46.5,193.1,222.6,146.1,81.8,204.0,189.1,287.2,300.0
DT,216.9,227.4,211.6,103.9,89.0,161.3,125.7,210.1,267.3,183.2,189.4,175.4,245.8,170.0,216.0,132.1,241.2,82.0,38.9,0.0,188.6,187.4,203.8,244.5,282.1,210.3,275.3,183.6,148.0,259.1,108.0,198.2,223.3,241.4,227.0,106.8,293.3,191.7,140.3,187.2,186.5,2264.6,116.7,240.5,6.4,207.2,80.1,201.2,287.9,137.0,124.9,148.9,59.6,219.9,211.3,95.3,156.1,209.7,248.5,201.2,213.8,163.8,222.0,207.4,152.1,85.7,237.5,142.2,202.5,181.3,293.3,170.8,101.1,165.3,245.6,234.5,210.2,89.4,264.2,159.8,187.6,229.4,205.5,306.3,148.8,293.6,197.8,82.4,177.9,221.2,173.0,278.0,147.5,246.2,209.3,218.7,153.4,105.1,177.6,181.6,299.6,152.6,301.5,236.2,177.6,307.4,192.2,110.4,203.3,193.6,167.2,168.4,276.4,252.1,54.9,311.4,271.2,174.2,114.5,233.6,117.0,194.5,96.7,79.3,78.5,163.3,160.1,196.8,194.2,85.5,178.8,229.7,178.6,67.7,192.5,168.2,257.7,268.3
DZ,127.0,388.8,249.0,121.6,123.9,253.2,70.1,391.0,208.6,96.2,197.7,320.1,302.0,16.4,114.3,228.0,349.9,193.5,148.2,194.2,0.0,337.2,352.8,57.4,230.1,104.7,216.6,213.5,271.5,138.0,105.0,71.5,194.6,189.4,283.2,104.5,229.2,353.1,134.9,81.2,333.3,2160.1,134.4,234.8,184.3,201.5,171.9,267.8,255.8,90.5,179.2,316.7,127.6,70.5,305.2,136.0,65.6,162.5,225.2,328.0,44.0,309.1,34.5,357.2,35.3,223.1,293.7,238.3,270.5,84.2,229.2,221.7,179.0,88.5,172.5,296.3,40.0,150.1,191.1,69.3,105.4,243.6,366.9,237.4,134.8,241.6,148.5,143.1,293.3,251.8,96.2,185.9,101.0,133.8,119.4,169.4,76.6,145.8,275.0,249.8,244.1,208.4,176.7,397.6,171.9,243.3,57.5,133.4,53.9,128.4,108.4,260.3,267.3,162.2,191.7,259.4,201.4,242.4,198.4,44.9,285.3,341.3,170.9,229.5,158.6,72.8,326.7,47.4,344.0,165.6,113.4,224.0,87.4,204.5,260.7,84.7,205.7,209.6
EF,217.2,85.4,175.7,244.9,218.0,126.8,253.7,58.8,232.8,340.4,154.9,84.8,173.9,323.4,248.8,153.2,163.5,190.1,246.4,215.5,342.0,0.0,93.2,369.4,249.9,345.7,226.8,174.6,113.5,273.3,237.0,355.4,188.8,206.9,155.1,258.8,221.4,97.8,238.1,325.4,75.9,2320.5,233.2,187.8,205.6,171.3,203.9,158.4,210.2,266.0,198.0,95.0,267.1,360.7,139.4,270.2,284.6,196.4,198.4,123.5,371.0,90.2,379.2,46.0,305.5,195.0,165.6,107.7,130.6,251.8,221.4,153.7,193.1,294.3,257.0,156.8,301.5,236.5,282.9,280.3,291.7,157.5,84.4,228.6,221.4,259.1,239.0,245.1,106.0,149.3,281.3,391.5,255.1,256.7,226.5,242.3,282.4,293.3,147.4,147.1,221.9,167.5,300.0,88.5,179.1,235.5,298.1,239.4,344.1,242.5,270.9,133.9,198.7,229.1,181.4,257.0,293.2,139.7,182.3,387.0,100.5,83.9,201.0,188.6,275.7,276.0,105.0,337.6,6.8,268.7,265.9,177.2,255.0,220.8,158.0,297.2,223.2,219.8
EJ,218.6,50.8,177.1,258.7,241.6,128.2,255.1,82.1,216.5,299.9,156.3,29.4,115.5,324.8,250.2,154.6,97.1,189.3,253.2,212.0,343.4,100.8,0.0,370.8,220.2,347.1,189.4,176.0,109.8,271.0,260.6,314.9,190.2,208.3,119.9,272.6,186.2,33.6,239.5,326.8,17.3,2389.8,244.8,152.6,204.3,172.7,229.7,123.2,143.8,273.9,199.4,57.6,273.9,362.1,104.2,269.4,286.0,197.8,161.0,57.1,330.5,34.8,336.5,57.0,304.7,193.7,123.8,106.9,95.4,253.0,279.4,167.7,210.5,294.6,258.4,90.4,344.7,237.9,284.3,281.7,294.2,122.3,28.9,162.2,222.8,229.4,240.4,246.5,70.8,114.1,282.7,392.9,256.5,258.1,227.9,243.7,306.0,281.4,110.0,140.6,155.5,179.1,299.2,59.6,184.2,200.3,294.8,215.0,345.5,231.4,272.3,131.3,132.3,230.5,229.7,190.6,294.6,138.9,181.5,388.4,85.2,11.4,214.8,185.1,292.8,277.4,71.0,339.0,109.8,297.6,260.7,142.0,256.4,275.6,131.9,304.4,224.6,184.6
