from_stop,AC,AE,AK,AO,AV,BH,BI,BK,CB,CH,CO,CT,CX,EF,EI,EX,FG,FI,FN,FU,GD,GH,GI,GQ,GW,GZ,HH,HI,HQ,HR,HT,HV,HX,IP,JB,JQ,JS,KE,KK,KO,LE,MB,MX,NA,NH,NJ,NP,NS,NT,NV,NX,OA,OE,OF,OL,OO,OV,OW,PM,QN,QQ,QT,RY,SH,SU,SW,SY,TJ,TK,TQ,TS,TX,UB,UE,UI,UL,UQ,UX,VA,WW,XF,XY,YC,YT,YY,ZA,ZN,ZW
CO,687.3,603.5,159.3,664.5,632.3,485.0,435.6,440.9,660.4,562.2,0.0,3340.4,731.0,701.4,474.6,424.3,528.1,895.3,106.6,830.4,849.7,19.6,678.7,575.4,495.0,383.5,607.2,598.7,585.3,712.6,454.2,640.2,723.3,814.5,408.2,17.5,399.6,125.3,343.4,782.4,265.6,593.5,626.2,632.1,616.7,403.3,135.7,633.0,768.4,832.6,602.1,596.8,786.2,528.7,610.6,498.9,528.9,629.6,887.3,644.3,191.2,88.5,661.3,488.1,656.0,771.6,584.7,870.2,925.9,439.2,312.9,651.7,553.6,670.0,617.0,636.0,669.6,28.3,618.0,498.8,358.8,614.0,551.1,26.5,660.6,566.1,601.1,788.8
CT,2834.8,2525.7,3277.0,2583.4,2622.0,2682.4,2977.8,2802.9,2470.2,2568.0,3117.6,0.0,2765.8,2783.0,2652.9,2711.1,2689.5,2719.0,3010.9,2639.5,2766.5,3097.9,2594.0,2673.3,2692.4,2925.7,2671.6,2714.6,2673.7,2810.0,2757.1,2525.7,2850.3,2718.9,2858.8,3135.1,2812.7,2992.2,2885.6,2809.0,3181.8,2772.9,2731.8,2587.6,2778.1,2731.1,2981.8,2551.9,2929.8,2459.6,2763.5,2636.4,2690.6,2691.0,2728.5,2790.7,2599.2,2745.5,2804.1,2760.2,3107.4,3206.2,2548.4,2639.4,2803.5,2676.0,2764.1,2896.8,2749.6,2697.1,2928.9,2767.6,2733.0,2627.3,2535.9,2597.2,2588.5,3089.2,2797.4,2860.8,2853.5,2651.6,2668.6,3144.2,2690.1,2653.6,2611.3,2626.9
CX,716.2,407.1,865.4,464.8,277.3,563.8,481.4,306.5,407.3,449.4,706.0,2953.0,0.0,698.7,534.3,606.1,177.8,240.3,599.3,175.4,194.7,686.3,475.4,220.4,573.8,429.3,553.0,596.0,555.1,709.9,260.7,366.3,720.6,159.5,362.4,723.5,316.3,580.6,389.2,127.4,770.2,654.3,626.8,487.0,233.5,585.1,570.2,433.3,281.8,634.5,115.5,241.8,131.2,529.3,255.6,294.3,480.6,626.9,232.3,641.6,695.8,794.6,447.8,520.8,684.9,116.6,645.5,215.2,270.9,621.0,432.5,649.0,614.4,508.7,417.3,281.0,469.9,677.6,678.8,364.4,357.1,533.0,551.7,732.6,305.6,553.0,492.7,133.8
EF,271.5,228.0,861.8,235.1,361.0,237.3,643.8,541.9,284.9,253.6,702.4,2964.9,631.4,0.0,276.8,295.9,428.5,782.1,595.7,702.6,750.1,682.7,214.0,412.3,227.3,591.7,205.1,113.6,227.0,68.8,496.1,264.7,72.6,714.9,597.8,719.9,551.7,577.0,551.6,682.8,766.6,331.0,404.2,344.6,517.1,315.9,566.6,203.0,668.8,425.5,502.5,375.4,686.6,306.7,467.5,529.7,284.8,82.7,787.7,68.0,692.2,791.0,305.4,278.4,240.2,672.0,366.9,770.6,812.7,281.9,521.1,60.6,335.8,242.6,218.2,336.2,291.1,674.0,306.5,599.8,567.0,186.6,329.1,729.0,416.3,344.1,296.9,689.2
EI,231.7,128.8,624.0,189.8,261.8,29.4,406.0,411.3,185.7,87.5,464.6,2865.7,532.2,245.8,0.0,58.1,329.3,682.9,357.9,603.4,650.9,444.9,207.2,313.1,39.4,353.9,132.5,143.1,110.6,257.0,396.9,165.5,267.7,615.7,378.6,482.1,370.0,339.2,313.8,583.6,528.8,119.9,151.5,157.4,417.9,78.1,328.8,158.3,569.6,357.9,403.3,276.2,587.4,54.0,368.3,430.5,54.2,174.0,688.5,188.7,454.4,553.2,186.6,13.5,200.4,572.8,111.1,671.4,713.5,44.1,283.3,196.1,80.0,198.5,142.3,237.0,194.9,436.2,144.4,469.2,329.2,156.7,76.4,491.2,329.9,91.4,126.4,590.0
EX,259.1,175.3,569.3,236.3,308.3,56.8,351.3,356.6,232.2,134.0,409.9,2912.2,578.7,273.2,46.4,0.0,375.8,729.4,303.2,649.9,697.4,390.2,250.5,359.6,66.8,299.2,179.0,170.5,157.1,284.4,369.9,211.2,306.2,662.2,323.9,427.4,315.3,284.5,259.1,630.1,474.1,165.3,198.0,203.9,464.4,23.5,274.1,204.8,616.1,404.4,449.8,322.7,633.9,100.5,414.8,414.6,100.7,201.4,743.2,216.1,399.7,498.5,240.4,59.9,227.8,619.3,156.5,717.9,760.0,11.0,228.6,223.5,125.4,216.8,188.8,283.5,241.4,381.5,189.8,414.5,274.5,185.8,122.9,436.5,376.4,137.9,172.9,636.5
FG,538.3,229.2,687.5,286.9,99.4,385.9,303.5,128.6,229.4,271.5,528.1,2909.4,202.8,520.8,356.4,428.2,0.0,367.1,421.4,302.2,321.5,508.4,297.5,42.5,395.9,251.4,375.1,418.1,377.2,532.0,82.8,188.4,553.8,286.3,184.5,545.6,138.4,402.7,211.3,254.2,592.3,476.4,448.9,309.1,88.5,407.2,392.3,255.4,240.2,456.6,73.9,63.9,258.0,351.4,77.7,116.4,302.7,449.0,359.1,463.7,517.9,616.7,269.9,342.9,507.0,243.4,467.6,342.0,397.7,443.1,254.6,471.1,436.5,330.8,239.4,103.1,292.0,499.7,500.9,186.5,179.2,355.1,373.8,554.7,114.9,375.1,314.8,260.6
FI,855.1,546.0,1045.7,603.7,457.6,702.7,661.7,486.8,546.2,588.3,886.3,2882.2,236.3,837.6,673.2,786.4,358.1,0.0,779.6,110.0,237.0,866.6,614.3,400.7,712.7,609.6,691.9,734.9,694.0,848.8,441.0,505.2,859.5,189.4,542.7,903.8,496.6,760.9,569.5,279.5,950.5,793.2,765.7,625.9,413.8,765.4,750.5,572.2,462.1,555.7,295.8,422.1,161.1,668.2,435.9,474.6,619.5,765.8,274.6,780.5,876.1,974.9,586.7,659.7,823.8,146.5,784.4,367.3,30.5,801.3,612.8,787.9,753.3,647.6,556.2,461.3,608.8,857.9,817.7,544.7,537.4,671.9,690.6,912.9,473.1,691.9,631.6,97.4
FN,580.6,496.8,266.0,557.8,525.6,378.3,328.9,334.2,553.7,455.5,106.6,3233.7,624.3,594.7,367.9,317.6,421.4,788.6,0.0,723.7,743.0,86.9,572.0,468.7,388.3,276.8,500.5,492.0,478.6,605.9,347.5,533.5,616.6,707.8,301.5,124.1,292.9,18.7,236.7,675.7,170.8,486.8,519.5,525.4,510.0,296.6,29.1,526.3,661.7,725.9,495.4,490.1,679.5,422.0,503.9,392.2,422.2,522.9,780.6,537.6,96.4,195.2,554.6,381.4,549.3,664.9,478.0,763.5,819.2,332.5,206.2,545.0,446.9,563.3,510.3,529.3,562.9,78.2,511.3,392.1,252.1,507.3,444.4,133.2,553.9,459.4,494.4,682.1
FU,821.7,512.6,986.9,570.3,398.8,669.3,602.9,428.0,512.8,554.9,827.5,2848.8,177.5,804.2,639.8,727.6,299.3,136.1,720.8,0.0,178.2,807.8,580.9,341.9,679.3,550.8,658.5,701.5,660.6,815.4,382.2,471.8,826.1,130.6,483.9,845.0,437.8,702.1,510.7,220.7,891.7,759.8,732.3,592.5,355.0,706.6,691.7,538.8,403.3,522.3,237.0,363.3,102.3,634.8,377.1,415.8,586.1,732.4,215.8,747.1,817.3,916.1,553.3,626.3,790.4,87.7,751.0,308.5,166.7,742.5,554.0,754.5,719.9,614.2,522.8,402.5,575.4,799.1,784.3,485.9,478.6,638.5,657.2,854.1,427.1,658.5,598.2,38.6
GD,854.9,545.8,1004.1,603.5,416.0,702.5,620.1,445.2,546.0,588.1,844.7,2973.7,194.7,837.4,673.0,748.6,316.5,261.0,738.0,196.1,0.0,825.0,614.1,359.1,712.5,568.0,691.7,734.7,693.8,848.6,399.4,505.7,859.3,180.2,501.1,862.2,455.0,719.3,527.9,237.9,908.9,793.0,765.5,625.7,372.2,723.8,708.9,572.0,420.5,647.2,254.2,380.5,151.9,668.0,394.3,433.0,619.3,765.6,228.8,780.3,834.5,933.3,579.2,659.5,823.6,137.3,784.2,325.7,291.6,759.7,571.2,787.7,753.1,640.7,556.0,418.5,608.6,816.3,817.5,503.1,495.8,671.7,690.4,871.3,444.3,691.7,631.4,154.5
GH,667.6,583.8,179.0,644.8,612.6,465.3,415.9,421.2,640.7,542.5,19.6,3320.7,711.3,681.7,454.9,408.4,508.4,875.6,86.9,810.7,830.0,0.0,659.0,555.7,475.3,363.8,587.5,579.0,565.6,692.9,434.5,619.7,714.7,794.8,388.5,37.2,379.9,105.6,323.7,762.7,245.9,573.8,606.5,611.8,597.0,383.6,116.0,613.3,748.7,812.9,582.4,577.1,766.5,509.0,590.9,479.2,509.2,609.9,875.8,624.6,171.5,108.2,648.9,468.4,636.3,751.9,565.0,850.5,906.2,419.5,293.2,632.0,533.9,625.3,597.3,616.3,649.9,8.7,598.3,479.1,339.1,594.3,531.4,46.2,640.9,546.4,581.4,769.1
GI,240.7,56.6,791.2,63.7,189.6,196.6,545.4,370.5,113.5,82.2,631.8,2793.5,460.0,223.2,167.1,221.8,257.1,610.7,525.1,531.2,578.7,612.1,0.0,240.9,196.5,493.3,77.5,120.5,99.4,234.4,324.7,92.5,256.2,543.5,426.4,649.3,380.3,506.4,453.2,511.4,696.0,287.1,259.6,173.2,345.7,245.3,496.0,31.6,497.4,265.1,331.1,204.0,515.2,162.1,296.1,358.3,113.4,151.4,616.3,166.1,621.6,720.4,126.7,153.6,209.4,500.6,278.3,599.2,641.3,211.3,450.5,173.5,247.2,26.5,46.8,164.9,119.7,603.4,275.7,428.4,421.1,57.5,184.5,658.4,257.7,199.5,125.5,517.8
GQ,521.2,212.1,703.9,269.8,82.3,368.8,319.9,145.0,212.3,254.4,544.5,2892.3,234.5,503.7,339.3,444.6,31.6,398.8,437.8,333.9,353.2,524.8,280.4,0.0,378.8,267.8,358.0,401.0,360.1,514.9,99.2,171.3,536.7,318.0,200.9,562.0,154.8,419.1,227.7,285.9,608.7,459.3,431.8,292.0,120.2,423.6,408.7,238.3,271.9,439.5,105.6,46.8,289.7,334.3,56.6,132.8,285.6,431.9,390.8,446.6,534.3,633.1,252.8,325.8,489.9,275.1,450.5,373.7,429.4,459.5,271.0,454.0,419.4,313.7,222.3,86.0,274.9,516.1,483.8,202.9,195.6,338.0,356.7,571.1,72.3,358.0,297.7,292.3
GW,192.2,178.3,634.4,247.4,311.3,9.9,416.4,421.7,235.2,137.0,475.0,2915.2,581.7,206.3,49.4,65.0,378.8,732.4,368.3,652.9,700.4,455.3,183.6,362.6,0.0,364.3,137.4,103.6,159.3,217.5,435.0,215.7,228.2,665.2,389.0,492.5,380.4,349.6,324.2,633.1,539.2,148.3,201.0,206.3,467.4,88.5,339.2,215.3,619.1,407.4,452.8,325.7,636.9,103.5,417.8,479.7,103.7,134.5,738.0,149.2,464.8,563.6,243.4,62.9,160.9,622.3,139.5,720.9,763.0,54.5,293.7,156.6,108.4,149.9,230.5,287.7,244.4,446.6,172.8,479.6,339.6,118.9,125.9,501.6,379.4,140.9,175.9,639.5
GZ,556.6,472.8,552.9,523.1,335.6,354.3,52.0,144.2,465.6,431.5,393.5,3145.6,434.3,570.7,343.9,293.6,231.4,598.6,286.8,533.7,553.0,373.8,548.0,278.7,364.3,0.0,476.5,468.0,454.6,581.9,157.5,424.6,592.6,517.8,111.5,411.0,102.9,268.1,40.0,485.7,457.7,462.8,495.5,501.4,320.0,272.6,257.7,491.6,471.7,692.8,305.4,300.1,489.5,398.0,313.9,202.2,398.2,498.9,590.6,513.6,383.3,482.1,530.6,357.4,525.3,474.9,454.0,573.5,629.2,308.5,120.0,521.0,422.9,539.3,475.6,339.3,528.2,365.1,487.3,202.1,62.1,483.3,420.4,420.1,363.9,435.4,470.4,492.1
HH,211.6,131.3,746.0,138.4,264.3,151.4,528.0,445.2,188.2,139.6,586.6,2868.2,534.7,194.1,121.9,180.1,331.8,685.4,479.9,605.9,653.4,566.9,74.6,315.6,161.4,475.9,0.0,91.4,21.9,205.3,399.4,168.0,216.0,618.2,500.6,604.1,455.0,461.2,435.8,586.1,650.8,241.9,214.4,220.3,420.4,200.1,450.8,106.3,572.1,339.8,405.8,278.7,589.9,116.9,370.8,433.0,106.3,122.3,691.0,137.0,576.4,675.2,208.7,108.4,180.3,575.3,233.1,673.9,716.0,166.1,405.3,144.4,202.0,65.9,121.5,239.5,194.4,558.2,246.6,503.1,451.2,28.4,139.3,613.2,332.4,154.3,178.5,592.5
HI,157.8,194.3,748.1,201.4,327.3,123.6,530.1,508.2,251.2,219.9,588.7,2931.2,597.7,102.6,163.1,178.7,394.8,748.4,482.0,668.9,716.4,569.0,137.6,378.6,113.6,478.0,91.4,0.0,113.3,113.8,462.4,231.7,124.5,681.2,502.7,606.2,494.1,463.3,437.9,649.1,652.9,217.3,290.5,296.4,483.4,202.2,452.9,169.3,635.1,402.8,468.8,341.7,652.9,193.0,433.8,496.0,193.2,30.9,754.0,45.6,578.5,677.3,264.4,164.7,126.5,638.3,253.2,736.9,779.0,168.2,407.4,52.9,222.1,103.9,184.5,302.6,257.4,560.3,192.8,566.1,453.3,72.9,215.4,615.3,395.4,230.4,263.2,655.5
HQ,233.5,153.2,724.1,160.3,286.2,129.5,506.1,467.1,210.1,117.7,564.7,2890.1,556.6,216.0,100.0,158.2,353.7,707.3,458.0,627.8,675.3,545.0,96.5,337.5,139.5,454.0,21.9,113.3,0.0,227.2,421.3,189.9,249.0,640.1,478.7,582.2,470.1,439.3,413.9,608.0,628.9,220.0,192.5,198.4,442.3,178.2,428.9,128.2,594.0,361.7,427.7,300.6,611.8,95.0,392.7,454.9,84.4,144.2,712.9,158.9,554.5,653.3,227.6,86.5,202.2,597.2,211.2,695.8,737.9,144.2,383.4,166.3,180.1,87.8,143.4,261.4,216.3,536.3,244.5,525.0,429.3,50.3,117.4,591.3,354.3,132.4,156.6,614.4
HR,271.7,291.6,772.1,298.7,424.6,237.5,644.0,605.5,348.5,317.2,702.6,2980.6,695.0,77.8,277.0,296.1,492.1,845.7,595.9,766.2,813.7,682.9,251.5,475.9,227.5,591.9,205.3,113.8,227.2,0.0,559.7,328.3,90.8,778.5,616.6,720.1,608.0,577.2,551.8,746.4,766.8,331.2,404.4,408.2,580.7,316.1,566.8,266.6,732.4,487.1,566.1,439.0,750.2,306.9,531.1,593.3,307.1,82.9,851.3,68.2,692.4,791.2,369.0,278.6,240.4,735.6,367.1,834.2,876.3,282.1,521.3,60.8,336.0,242.8,281.8,399.8,354.7,674.2,306.7,663.4,567.2,186.8,329.3,729.2,492.7,344.3,360.5,752.8
HT,607.3,306.8,603.6,364.5,177.0,405.0,219.6,44.7,307.0,349.1,444.2,2987.0,275.7,621.4,394.6,348.1,72.8,440.0,337.5,375.1,394.4,424.5,375.1,120.1,415.0,167.5,527.2,518.7,505.3,632.6,0.0,265.5,643.3,359.2,100.6,461.7,54.5,318.8,127.4,327.1,508.4,513.5,546.2,386.7,161.4,323.3,308.4,333.0,313.1,534.2,146.8,141.5,330.9,448.7,155.3,43.6,448.9,549.6,432.0,564.3,434.0,532.8,340.2,408.1,576.0,316.3,504.7,414.9,470.6,359.2,170.7,571.7,473.6,401.7,317.0,180.6,369.6,415.8,538.0,102.6,95.3,432.7,471.1,470.8,192.5,486.1,392.4,333.5
HV,349.1,41.2,835.3,97.7,97.0,196.7,452.8,277.9,41.4,83.5,675.9,2721.4,365.9,331.6,168.4,221.9,164.5,516.6,525.2,438.6,484.6,612.2,109.5,146.8,207.9,400.7,185.9,228.9,188.0,344.0,232.1,0.0,353.5,450.9,333.8,649.4,286.2,506.5,360.6,418.8,696.1,288.4,259.7,121.1,251.6,245.4,496.1,67.4,404.8,128.3,237.0,109.9,422.6,162.2,202.0,265.7,113.5,259.8,523.7,275.7,665.7,720.5,73.4,153.7,317.8,408.0,279.6,506.6,547.2,212.6,402.4,281.9,248.5,134.9,51.4,70.7,102.8,603.5,312.9,334.3,328.5,165.9,184.6,658.5,163.6,185.9,126.8,425.2
HX,272.4,288.6,873.8,306.8,432.7,249.3,644.7,602.5,356.6,314.2,714.4,3025.5,692.0,60.5,288.8,304.4,489.1,842.7,596.6,763.2,810.7,683.6,252.2,472.9,228.2,592.6,217.1,114.5,227.9,89.7,556.7,324.5,0.0,786.6,617.3,720.8,608.7,577.9,552.5,754.5,778.6,331.9,416.2,416.3,577.7,316.8,578.6,274.7,729.4,486.1,563.1,436.0,747.2,307.6,528.1,601.4,307.8,83.6,848.3,80.0,704.2,803.0,358.7,290.4,241.1,732.6,378.9,842.3,873.3,282.8,522.0,72.6,336.7,218.5,289.9,396.9,362.8,674.9,307.4,660.4,579.0,187.5,330.0,729.9,488.0,345.0,368.6,760.9
IP,835.6,526.5,984.8,584.2,396.7,683.2,600.8,425.9,526.7,568.8,825.4,2902.0,175.4,818.1,653.7,729.3,297.2,189.3,718.7,124.4,176.1,805.7,594.8,339.8,693.2,548.7,672.4,715.4,674.5,829.3,380.1,485.2,840.0,0.0,481.8,842.9,435.7,700.0,508.6,218.6,889.6,773.7,746.2,606.4,352.9,704.5,689.6,552.7,401.2,575.5,234.9,361.2,23.5,648.7,375.0,413.7,600.0,746.3,221.9,761.0,815.2,914.0,559.9,640.2,804.3,35.7,764.9,306.4,219.9,740.4,551.9,768.4,733.8,621.4,536.7,400.4,589.3,797.0,798.2,483.8,476.5,652.4,671.1,852.0,425.0,672.4,612.1,82.8
JB,574.3,401.5,570.6,459.2,271.7,372.0,186.6,80.3,401.7,449.2,411.2,3081.7,370.4,588.4,361.6,311.3,167.5,534.7,304.5,469.8,489.1,391.5,469.8,214.8,382.0,134.5,494.2,485.7,472.3,599.6,93.6,360.7,610.3,453.9,0.0,428.7,39.0,285.8,94.4,421.8,475.4,480.5,513.2,519.1,256.1,290.3,275.4,427.7,407.8,628.9,241.5,236.2,425.6,415.7,250.0,138.3,415.9,516.6,526.7,531.3,401.0,499.8,442.2,375.1,543.0,411.0,471.7,509.6,565.3,326.2,137.7,538.7,440.6,557.0,411.7,275.4,464.3,382.8,505.0,138.2,62.3,501.0,438.1,437.8,300.0,453.1,488.1,428.2
JQ,704.8,621.0,141.8,682.0,649.8,502.5,453.1,458.4,677.9,579.7,17.5,3357.9,748.5,718.9,492.1,445.6,545.6,912.8,124.1,847.9,867.2,37.2,696.2,592.9,512.5,401.0,624.7,616.2,602.8,730.1,471.7,656.9,740.8,832.0,425.7,0.0,417.1,142.8,360.9,799.9,283.1,611.0,643.7,649.6,634.2,420.8,153.2,650.5,785.9,850.1,619.6,614.3,803.7,546.2,628.1,516.4,546.4,647.1,904.8,661.8,208.7,71.0,686.1,505.6,673.5,789.1,602.2,887.7,943.4,456.7,330.4,669.2,571.1,662.5,634.5,652.3,687.1,45.9,635.5,516.3,376.3,631.5,568.6,9.0,665.3,583.6,618.6,806.3
JS,552.7,362.4,549.0,420.1,232.6,350.4,165.0,41.2,362.6,427.6,389.6,3042.6,331.3,566.8,340.0,289.7,128.4,495.6,282.9,430.7,450.0,369.9,430.7,175.7,360.4,112.9,472.6,464.1,450.7,578.0,54.5,321.6,588.7,414.8,46.0,407.1,0.0,264.2,72.8,382.7,453.8,458.9,491.6,497.5,217.0,268.7,253.8,388.6,368.7,589.8,202.4,197.1,386.5,394.1,210.9,99.2,394.3,495.0,487.6,509.7,379.4,478.2,403.1,353.5,521.4,371.9,450.1,470.5,526.2,304.6,116.1,517.1,419.0,535.4,372.6,236.3,425.2,361.2,483.4,99.1,40.7,479.4,416.5,416.2,248.1,431.5,466.5,389.1
