from_stop,AD,AN,BN,BO,CH,CU,DF,EA,EC,EF,EH,EM,EQ,ER,ES,ET,FL,FO,FQ,FV,GE,GF,GJ,GW,IN,IU,IY,IZ,JC,KD,KH,LR,LW,MI,MS,MU,MY,NK,NV,PH,RF,RH,SE,SS,TQ,TU,TW,VJ,VM,VP,WR,XK,XO,XT,XV,XW,YI,YN,YO,YX,ZE,ZH,ZK,ZL
KD,218.6,195.5,115.4,238.8,136.7,249.0,227.8,138.4,239.1,275.6,253.0,243.5,241.8,236.3,260.3,154.8,281.2,233.7,241.9,167.2,238.3,257.4,274.9,177.6,236.3,260.4,99.5,153.1,243.7,0.0,180.9,235.4,186.1,233.2,158.8,173.5,195.2,146.4,160.2,246.6,160.6,213.5,128.4,277.3,171.2,212.3,220.9,115.6,118.1,161.5,248.5,149.4,252.8,270.7,182.0,199.4,240.6,255.6,231.8,144.3,139.1,2619.6,212.4,146.9
KH,225.4,284.5,202.0,266.6,168.0,280.3,259.1,153.2,167.5,303.4,118.7,59.0,140.7,182.3,90.9,186.1,108.1,141.5,279.6,263.4,216.8,288.7,306.2,224.9,190.6,297.7,198.9,184.4,198.0,224.9,0.0,50.9,186.4,187.3,120.0,124.3,99.8,177.7,191.5,246.9,201.0,167.8,192.5,308.6,202.5,143.5,169.2,184.7,165.9,192.8,145.9,180.7,159.5,302.0,178.8,199.7,74.9,209.9,225.4,144.6,170.4,2605.9,27.9,220.4
LR,254.1,344.6,265.6,330.2,179.3,288.2,319.2,191.9,123.0,314.5,89.6,8.0,96.7,131.3,64.0,186.5,63.6,146.1,304.6,323.5,172.3,348.8,305.2,154.2,188.0,293.4,259.0,244.5,195.4,278.5,53.5,0.0,221.6,142.9,155.2,140.5,141.6,237.8,251.6,282.1,155.4,165.2,252.6,368.7,197.7,196.7,114.7,244.8,226.0,207.4,94.9,166.6,88.2,309.4,217.5,234.9,48.0,207.3,264.1,179.8,230.5,2547.5,31.0,280.5
LW,36.6,319.5,256.7,393.1,291.0,403.3,382.1,75.1,317.5,429.9,233.8,256.7,222.6,325.8,241.1,309.1,212.7,248.9,397.9,308.5,366.8,411.7,429.2,331.9,155.0,420.7,240.8,307.4,162.4,341.4,204.1,248.6,0.0,152.0,77.5,92.2,144.3,300.7,314.5,64.6,314.9,132.2,269.7,431.6,325.5,125.9,309.2,256.9,288.9,315.8,169.3,303.7,268.0,425.0,69.4,12.0,221.4,174.3,46.6,48.4,293.4,2714.4,225.6,288.2
MI,183.0,345.2,282.4,436.4,266.6,375.5,425.4,120.8,210.3,401.8,164.5,168.3,154.9,218.6,162.2,271.5,105.5,207.1,391.9,334.2,259.6,418.0,392.5,241.5,116.9,374.7,266.5,303.1,124.3,366.3,173.8,175.3,150.5,0.0,84.1,69.4,126.1,310.2,357.8,211.0,232.8,94.1,295.4,428.4,285.0,125.6,202.0,282.6,285.1,294.7,109.9,253.8,175.5,396.7,146.4,163.8,172.3,136.2,193.4,108.7,298.7,2634.8,205.3,313.9
MS,98.8,261.0,198.2,379.1,277.0,389.3,368.1,36.6,239.9,415.9,156.2,179.1,145.0,248.2,163.5,295.1,135.1,198.6,383.9,250.0,289.2,397.7,415.2,280.6,77.4,406.7,182.3,293.4,84.8,327.4,126.5,171.0,66.3,74.4,0.0,14.6,66.7,226.0,257.0,126.8,300.9,54.6,211.2,417.6,311.5,48.3,231.6,198.4,200.9,301.8,91.7,289.7,217.7,411.0,62.2,79.6,143.8,96.7,108.8,24.5,214.5,2664.1,148.0,229.7
MU,113.5,275.7,212.9,366.9,264.8,377.1,355.9,51.3,225.7,403.7,144.0,166.9,132.8,234.0,159.1,282.9,120.9,226.0,378.8,264.7,275.0,385.5,403.0,256.9,62.7,394.5,197.0,281.2,70.1,315.2,104.3,158.8,81.0,59.6,14.6,0.0,61.0,240.7,288.3,141.5,248.2,39.9,225.9,405.4,299.3,56.1,217.4,213.1,215.6,289.6,81.3,277.6,190.9,398.8,76.9,94.3,131.6,82.0,126.7,39.2,229.2,2650.2,135.8,244.4
MY,172.1,334.3,274.3,338.9,236.8,349.1,327.9,109.9,189.1,375.7,109.5,138.9,104.8,197.4,123.3,257.2,84.3,200.7,350.0,332.2,238.4,357.5,375.0,229.8,103.1,360.5,267.7,253.2,110.5,287.2,79.8,130.8,139.6,118.0,73.2,73.6,0.0,248.8,260.3,200.1,222.6,80.3,261.3,377.4,271.3,96.7,180.8,253.5,234.7,261.6,79.7,249.5,154.3,370.8,135.5,152.9,113.2,122.4,185.3,97.8,239.2,2613.6,107.8,289.2
NK,306.1,282.3,25.4,138.8,80.6,149.0,127.8,225.9,121.1,175.6,254.8,218.8,256.8,126.7,221.6,78.1,221.4,255.1,151.8,85.6,129.6,157.4,174.9,98.6,328.8,160.4,68.6,35.1,336.2,98.4,165.7,220.2,273.6,302.9,258.2,266.0,240.3,0.0,90.2,334.1,126.0,306.0,14.8,177.3,53.2,286.8,129.4,54.4,55.4,43.5,249.4,90.3,210.8,170.9,269.5,286.9,239.5,348.1,321.6,231.8,40.1,2544.5,197.2,65.3
NV,323.9,300.1,72.0,136.0,98.4,146.2,125.0,243.7,159.3,172.8,281.8,246.1,281.0,173.8,248.6,95.9,248.4,282.1,149.0,75.7,137.9,154.6,172.1,128.3,346.6,157.6,86.4,70.9,354.0,122.5,183.5,238.0,291.4,330.0,276.0,283.8,258.2,46.5,0.0,351.9,143.8,323.8,59.0,174.5,89.0,304.6,162.1,72.2,73.2,79.3,276.4,108.1,237.8,168.1,288.2,304.7,267.9,365.9,337.1,249.6,57.9,2541.7,215.0,28.8
PH,41.0,356.4,293.6,447.9,345.8,458.1,436.9,112.0,354.4,484.7,270.7,293.6,259.5,362.7,278.0,363.9,249.6,303.7,452.7,345.4,403.7,466.5,484.0,385.6,191.9,475.5,277.7,362.2,199.3,396.2,241.0,285.5,110.4,188.9,114.4,129.1,181.2,321.4,369.3,0.0,369.7,169.1,306.6,486.4,380.3,162.8,346.1,293.8,296.3,370.6,206.2,358.5,322.8,479.8,106.3,123.7,258.3,211.2,51.0,85.3,309.9,2769.2,262.5,325.1
RF,309.7,325.8,128.6,193.2,33.7,213.3,192.1,257.4,67.3,229.4,145.2,117.6,161.7,66.7,127.2,67.1,129.1,140.2,206.2,206.7,89.2,211.8,211.0,35.7,244.6,199.2,139.0,105.3,252.0,133.4,187.1,124.6,278.2,198.4,211.8,196.1,200.6,110.7,124.5,338.7,0.0,221.8,125.5,241.6,87.2,252.3,49.1,131.4,80.9,96.9,152.1,21.0,109.6,215.2,273.1,291.5,156.9,263.9,320.7,236.4,117.1,2530.6,155.7,153.4
RH,163.5,325.7,262.9,416.9,278.7,387.6,405.9,111.9,222.4,413.9,194.0,180.4,182.8,230.7,201.3,285.9,117.6,219.2,421.7,314.7,271.7,435.5,404.6,263.1,22.7,392.8,247.0,331.2,30.1,365.2,164.3,208.8,131.0,74.4,64.6,49.9,95.1,290.7,338.3,191.5,254.8,0.0,275.9,455.4,297.1,106.1,214.1,263.1,265.6,306.8,74.2,266.0,187.6,408.8,126.9,144.3,181.6,42.0,170.9,89.2,279.2,2646.9,185.8,294.4
SE,304.6,297.1,12.9,153.6,92.3,163.8,142.6,224.4,135.9,190.4,262.2,233.6,268.8,141.5,244.2,90.6,236.2,257.2,158.4,70.8,142.1,172.2,189.7,113.4,343.6,181.2,83.4,49.9,351.0,85.9,190.5,235.0,272.1,315.5,273.0,280.8,246.3,14.8,77.8,332.6,116.2,320.8,0.0,192.1,68.0,296.5,144.2,69.2,70.2,58.3,267.5,105.0,225.6,185.5,268.0,285.4,259.0,362.9,314.6,230.3,54.9,2553.1,212.0,50.5
SS,479.4,461.4,233.3,141.0,246.8,53.3,130.0,417.2,188.6,79.6,314.9,286.3,321.5,180.3,296.9,229.6,288.9,309.9,107.5,274.5,196.8,81.4,61.9,217.1,413.3,73.7,247.7,237.4,420.7,287.0,346.9,293.3,446.9,368.2,380.5,365.8,366.9,205.5,198.7,507.4,239.5,390.5,220.3,0.0,219.3,422.0,196.9,233.5,234.5,229.0,320.2,234.1,278.3,57.7,442.8,460.2,326.6,432.6,489.4,405.1,219.2,2491.4,324.4,227.6
TQ,358.6,327.1,81.0,163.6,79.5,173.8,152.6,270.7,67.8,200.4,194.1,165.5,200.7,73.4,176.1,62.3,168.1,189.1,168.4,138.9,74.0,182.2,195.8,70.3,292.5,184.0,113.4,18.1,299.9,154.0,226.1,172.5,326.1,247.4,259.7,245.0,246.1,53.2,85.0,386.6,77.3,269.7,68.0,202.1,0.0,301.2,76.1,99.2,100.2,9.7,199.4,66.8,157.5,195.5,322.0,339.4,205.8,311.8,368.6,284.3,84.9,2569.3,203.6,118.6
TU,159.2,316.7,258.6,389.9,290.9,400.1,378.9,97.0,255.4,426.7,160.5,189.9,160.5,259.0,182.1,308.2,145.9,264.4,402.9,305.7,304.7,408.5,426.0,291.4,106.2,411.5,238.0,304.2,113.6,342.9,127.3,181.8,122.0,107.8,55.6,48.1,88.7,299.8,313.9,182.5,284.2,83.4,266.9,428.4,322.3,0.0,242.4,254.1,285.7,312.6,106.3,300.6,215.9,422.0,122.6,135.3,164.2,125.5,167.7,80.2,290.2,2675.2,158.8,285.4
TW,282.4,319.8,164.0,205.0,66.4,173.4,194.0,220.2,8.2,199.7,125.3,89.3,124.5,16.5,99.9,69.4,91.9,112.9,196.1,221.9,57.5,215.9,190.4,48.9,216.3,178.6,150.2,101.0,223.7,166.1,156.4,96.3,249.9,171.1,183.5,168.8,163.4,136.2,157.2,310.4,32.6,193.5,151.0,226.3,82.9,225.0,0.0,136.0,113.6,92.6,123.2,53.6,81.3,194.4,245.8,263.2,129.6,235.6,295.6,208.1,121.7,2502.3,127.4,186.1
VJ,274.5,292.1,57.9,169.6,87.3,179.8,158.6,194.3,142.7,206.4,251.7,223.1,258.8,151.0,233.7,67.6,225.7,246.7,174.4,109.7,152.0,188.2,205.7,90.4,338.6,197.2,14.2,83.9,346.0,55.8,185.5,230.0,242.0,305.0,268.0,275.8,241.3,85.7,116.7,302.5,124.9,315.8,70.9,208.1,102.0,291.5,133.7,0.0,65.2,92.3,257.0,114.4,215.1,201.5,237.9,255.3,254.0,357.9,284.5,200.2,16.1,2540.0,207.0,89.4
VM,271.1,275.2,73.9,172.5,52.4,182.7,161.5,190.9,143.7,209.3,231.5,202.9,238.6,152.0,213.5,88.5,205.5,226.5,177.3,125.7,154.0,191.1,208.6,110.4,321.7,200.1,58.0,86.8,329.1,52.4,168.6,209.9,238.6,284.8,251.1,258.9,224.4,101.7,93.9,299.1,76.3,298.9,86.9,211.0,104.9,274.6,135.4,74.1,0.0,95.2,236.8,65.1,194.9,204.4,234.5,251.9,237.1,341.0,281.1,196.8,90.2,2556.0,190.1,105.4
VP,368.3,317.4,71.3,153.9,89.2,164.1,142.9,261.0,77.5,190.7,203.8,175.2,210.4,83.1,185.8,72.0,177.8,198.8,158.7,129.2,83.7,172.5,190.0,80.0,302.2,181.5,103.7,8.4,309.6,144.3,210.8,182.2,335.8,257.1,269.4,254.7,255.8,43.5,75.3,396.3,87.0,279.4,58.3,192.4,9.7,310.9,85.8,89.5,90.5,0.0,209.1,76.5,167.2,185.8,331.7,349.1,215.5,321.5,378.3,294.0,75.2,2559.6,213.3,108.9
WR,191.1,350.0,299.3,341.1,206.2,313.3,333.9,128.9,144.3,335.8,104.1,106.1,92.2,156.4,101.8,213.4,39.5,146.7,331.5,339.0,193.6,352.0,330.3,175.5,103.7,315.5,271.3,240.9,111.1,300.3,132.7,113.1,155.3,90.6,88.9,72.6,74.9,277.9,311.6,215.8,177.8,80.9,290.9,366.2,222.8,111.4,136.0,275.9,251.6,232.5,0.0,193.5,113.3,336.3,154.5,168.6,154.9,123.0,201.0,113.5,261.6,2572.6,160.7,340.5
XK,330.8,304.7,117.5,182.0,9.6,192.2,171.0,250.9,78.5,218.8,173.7,137.7,172.9,86.8,140.5,64.4,140.2,174.0,195.0,185.6,88.8,200.6,210.6,45.2,264.7,192.8,117.9,96.3,272.1,112.3,188.1,144.7,298.3,219.5,231.9,217.2,211.8,91.9,106.0,358.8,35.7,241.9,104.4,220.5,86.8,278.5,70.1,96.6,59.8,96.5,168.3,0.0,129.7,214.1,294.2,311.6,158.4,284.0,341.1,256.5,82.3,2587.7,175.8,132.3
