from_stop,AA,AU,BA,BD,BI,BQ,BT,CJ,CQ,CZ,DE,DJ,DP,DT,DY,EI,EK,EP,EQ,EU,EV,FJ,FL,FM,FO,FU,GC,GD,GW,GZ,HG,HV,HZ,IC,IJ,IX,JH,JR,JW,KG,KN,KP,KU,LJ,LN,ME,MI,ML,MP,MQ,MW,NJ,NV,OF,PJ,PL,PU,QU,QZ,RD,RI,SP,SQ,TG,TT,TU,TX,UA,WC,WF,WN,WX,YH,YL,YU,ZF,ZM,ZO,ZU
DE,81.0,329.6,196.9,148.4,166.7,340.3,293.1,374.4,254.0,254.1,0.0,329.7,276.9,349.9,296.7,246.1,306.3,308.7,95.3,255.0,305.7,254.4,175.6,292.3,234.6,286.1,118.9,363.0,207.9,233.6,129.5,162.2,328.2,224.7,279.3,206.7,12.3,195.7,268.5,283.3,105.5,295.7,172.1,102.6,337.6,96.1,282.0,113.4,155.5,268.1,98.2,304.6,241.8,267.6,309.7,274.3,225.3,188.4,356.1,288.6,65.5,245.1,1239.4,288.2,237.9,290.4,201.8,280.6,84.8,332.6,366.1,340.5,124.6,323.1,224.5,9.4,284.4,25.6,231.1
DJ,299.2,128.9,341.5,239.0,311.3,163.8,408.7,169.8,367.1,225.5,259.3,0.0,100.4,145.3,120.2,69.6,129.8,135.4,238.4,356.1,277.1,225.8,320.8,263.7,376.0,402.5,276.8,158.2,351.0,378.8,287.1,305.9,152.3,358.5,389.8,351.1,247.3,340.9,384.9,409.8,363.1,267.1,315.2,259.4,164.3,351.4,105.5,270.2,308.8,94.6,255.0,103.9,40.5,412.2,131.5,101.0,196.7,333.0,179.6,112.1,301.5,390.8,1382.5,409.8,354.3,113.9,346.4,397.0,229.3,156.1,161.5,192.3,215.4,125.4,369.1,268.7,256.4,285.0,307.4
DP,326.4,161.7,375.8,273.5,345.6,117.5,443.0,169.6,401.4,259.8,293.6,121.8,0.0,146.1,100.4,49.8,29.3,35.1,272.7,383.3,311.4,261.2,354.5,298.0,408.1,436.8,312.2,166.0,385.3,412.5,320.8,332.5,118.4,393.9,424.1,385.6,281.6,367.5,419.2,444.3,395.2,301.4,349.5,293.9,96.5,384.1,22.3,297.6,344.2,72.9,289.5,129.6,68.8,446.5,88.3,78.0,231.0,367.3,86.3,49.8,336.0,425.1,1416.8,437.0,388.6,31.8,381.8,431.3,263.6,116.0,162.3,123.8,249.7,98.5,403.4,303.0,290.1,319.3,341.7
DT,431.3,112.2,473.6,371.3,443.4,280.2,540.8,83.8,499.2,357.6,391.4,131.4,190.5,0.0,221.0,171.5,211.0,177.5,370.5,488.2,409.2,357.9,452.3,395.8,505.9,534.6,408.9,13.0,483.1,510.3,418.6,437.4,293.3,490.6,521.9,483.4,379.4,472.4,517.0,542.1,491.9,399.2,447.3,391.7,198.0,480.3,212.9,402.2,440.9,144.8,387.3,139.6,172.6,544.3,193.2,138.6,328.8,465.1,262.8,225.1,433.8,522.9,1514.6,541.9,486.4,221.3,478.5,529.1,361.4,297.7,16.1,225.8,347.5,226.2,501.2,400.8,384.2,417.1,439.5
DY,356.9,144.1,399.2,296.9,369.0,196.4,466.4,185.0,424.8,283.2,317.0,103.6,103.7,160.5,0.0,53.3,108.2,74.7,296.1,413.8,334.8,283.5,377.9,321.4,431.5,460.2,334.5,173.6,408.7,435.9,344.2,363.0,190.5,416.2,447.5,409.0,305.0,398.0,442.6,467.7,417.5,324.8,372.9,317.3,53.2,405.9,126.1,327.8,366.5,54.2,312.9,119.2,92.2,469.9,118.8,60.4,254.4,390.7,160.0,128.7,359.4,448.5,1440.2,467.5,412.0,134.5,404.1,454.7,287.0,194.9,176.7,204.6,273.1,49.4,426.8,326.4,309.8,342.7,365.1
EI,303.5,114.4,345.8,243.5,315.6,139.9,413.0,152.7,371.4,229.8,263.6,71.3,91.5,128.2,50.5,0.0,96.0,62.5,242.7,360.4,281.4,230.1,324.5,268.0,378.1,406.8,281.1,141.3,355.3,382.5,290.8,309.6,127.8,362.8,394.1,355.6,251.6,344.6,389.2,414.3,364.1,271.4,319.5,263.9,95.2,352.5,113.9,274.4,313.1,21.9,259.5,86.9,38.8,416.5,65.4,28.1,201.0,337.3,147.8,116.5,306.0,395.1,1386.8,414.1,358.6,122.3,350.7,401.3,233.6,132.2,144.4,186.5,219.7,55.7,373.4,273.0,256.4,289.3,311.7
EK,365.7,177.0,408.0,305.7,377.8,88.1,475.2,183.5,433.6,292.0,325.8,136.5,39.7,159.0,116.2,82.0,0.0,31.0,304.9,422.6,343.6,292.3,386.7,330.2,440.3,469.0,343.3,172.1,417.5,444.7,353.0,371.8,82.2,425.0,456.3,417.8,313.8,440.4,451.4,476.5,426.3,333.6,381.7,326.1,88.4,414.7,54.5,336.6,375.3,84.0,321.7,152.1,101.0,478.7,127.6,77.8,263.2,399.5,51.7,20.4,368.2,457.3,1449.0,476.3,420.8,62.9,412.9,463.5,295.8,86.6,175.2,96.3,281.9,117.6,435.6,335.2,318.6,351.5,373.9
EP,362.5,145.9,404.8,302.5,374.6,121.6,472.0,155.8,430.4,288.8,322.6,105.4,36.0,131.3,85.1,78.8,33.4,0.0,301.7,419.4,340.4,289.1,383.5,327.0,439.7,465.8,339.2,144.4,414.3,441.5,349.8,368.6,115.7,421.8,453.1,414.6,310.6,403.6,448.2,473.3,423.1,330.4,378.5,322.9,53.5,418.8,51.3,333.7,372.1,52.9,318.5,120.9,97.8,475.5,124.4,46.7,260.0,396.3,91.4,53.9,365.0,453.0,1445.8,473.1,417.6,59.7,404.4,460.3,292.6,120.1,147.5,129.8,278.7,39.0,432.4,332.0,319.1,348.3,370.7
EQ,276.5,504.8,168.1,266.9,157.1,512.9,218.6,547.0,128.6,426.7,286.5,501.7,449.5,522.5,469.3,418.7,478.9,481.3,0.0,117.6,478.3,427.0,138.6,464.9,135.3,211.6,205.9,535.6,112.5,157.3,218.0,66.8,500.8,160.4,336.3,155.1,274.5,153.3,235.6,190.2,387.0,468.3,76.7,304.8,514.0,375.4,454.6,199.2,241.6,440.7,300.4,477.3,414.4,214.1,482.3,446.9,397.9,196.8,522.5,461.2,211.7,192.7,1144.0,234.7,239.4,463.0,210.2,206.1,211.0,505.2,538.7,513.1,273.0,474.5,232.9,295.9,453.3,312.2,221.5
EU,210.9,448.3,89.9,201.3,91.5,459.0,140.5,493.1,11.0,372.8,220.9,448.4,388.8,468.6,415.4,364.8,425.0,427.4,168.1,0.0,424.4,373.1,73.0,411.0,14.8,133.5,139.4,481.7,73.7,62.4,152.4,124.6,446.9,42.7,270.7,79.7,208.9,59.6,151.9,112.1,321.4,414.4,37.9,239.2,456.3,313.1,400.7,133.9,176.0,386.8,234.8,423.3,360.5,96.4,428.4,393.0,344.0,130.3,474.8,407.3,213.4,73.9,1223.1,117.0,161.2,409.1,149.4,128.0,208.9,451.3,484.8,459.2,207.4,441.8,145.0,230.3,403.1,246.6,155.9
EV,322.6,354.3,364.9,262.6,334.7,362.4,432.1,396.5,390.5,80.8,282.7,351.2,299.0,372.0,318.8,268.2,328.4,330.8,261.8,379.5,0.0,144.2,343.6,13.4,397.2,425.9,300.2,385.1,374.4,401.6,309.9,328.7,350.3,381.9,413.2,374.7,270.7,363.7,408.3,433.4,383.2,41.0,338.6,283.0,363.5,371.6,304.1,293.5,332.2,290.2,278.6,326.8,263.9,435.6,331.8,296.4,115.1,356.4,372.0,310.7,325.1,414.2,1405.9,433.2,377.7,312.5,369.8,420.4,252.7,354.7,388.2,362.6,238.8,324.0,392.5,292.1,25.0,308.4,330.8
FJ,253.4,288.7,295.7,193.4,265.5,293.2,362.9,327.3,321.3,96.0,213.5,282.8,223.0,302.8,249.6,199.0,259.2,261.6,192.6,310.3,146.3,0.0,274.4,132.9,333.4,356.7,230.1,315.9,305.2,332.4,240.7,259.5,281.1,323.5,344.0,305.5,201.5,328.1,339.1,364.2,319.1,136.3,269.4,213.8,290.5,309.7,234.9,224.6,266.4,221.0,209.4,257.5,194.7,366.4,262.6,227.2,24.7,287.2,309.0,241.5,257.2,343.9,1336.7,364.0,308.5,244.5,295.3,351.2,183.5,285.5,319.0,293.4,169.6,247.7,323.3,222.9,125.0,239.2,261.6
FL,137.8,377.8,66.6,128.2,18.4,385.9,156.5,420.0,90.3,299.7,147.8,375.5,315.7,395.5,342.3,291.7,351.9,354.3,95.0,79.3,351.3,300.0,0.0,337.9,97.0,149.5,66.3,408.6,121.0,103.3,79.3,161.9,373.8,83.6,197.6,76.4,135.8,65.4,131.9,153.0,248.3,341.3,85.2,166.1,383.2,236.7,327.6,60.8,106.3,313.7,161.7,350.2,287.4,137.3,355.3,319.9,270.9,58.1,401.7,334.2,140.3,114.8,1239.1,156.8,101.3,336.0,77.2,144.0,135.8,378.2,411.7,386.1,134.3,368.7,94.2,157.2,330.0,173.5,82.8
FM,309.2,338.3,351.5,249.2,321.3,349.0,418.7,383.1,377.1,67.4,269.3,337.8,285.6,358.6,305.4,254.8,315.0,317.4,248.4,366.1,13.4,130.8,330.2,0.0,383.8,412.5,286.8,371.7,361.0,388.2,296.5,315.3,336.9,368.5,399.8,361.3,257.3,350.3,394.9,420.0,369.8,27.6,325.2,269.6,350.1,358.2,290.7,280.1,318.8,276.8,265.2,313.4,250.5,422.2,318.4,283.0,101.7,343.0,358.6,297.3,311.7,400.8,1392.5,419.8,364.3,299.1,356.4,407.0,239.3,341.3,374.8,349.2,225.4,310.6,379.1,278.7,11.6,295.0,317.4
FO,203.0,448.4,70.0,193.4,109.2,461.6,120.6,485.2,8.9,364.9,225.7,451.0,396.5,471.2,418.0,367.4,427.6,419.5,170.7,14.8,427.0,375.7,90.5,413.6,0.0,103.1,142.9,481.8,91.4,32.0,157.2,139.4,449.5,22.8,257.6,64.9,211.5,37.2,132.0,97.3,329.1,417.0,57.8,231.3,448.4,315.7,403.3,134.0,178.6,386.9,226.9,415.4,352.6,76.5,455.7,395.6,346.6,110.4,466.9,409.9,205.5,55.1,1243.0,97.1,141.3,411.7,123.8,108.1,211.5,453.9,487.4,461.8,210.0,423.2,125.1,232.9,407.9,249.2,173.6
FU,233.9,472.2,113.3,209.5,134.7,482.9,6.9,517.0,132.9,396.7,267.5,472.3,412.7,492.5,439.3,388.7,448.9,451.3,191.1,143.9,448.3,397.0,158.0,434.9,129.1,0.0,224.9,505.6,99.9,81.8,175.4,219.5,470.8,90.3,144.8,125.6,255.5,129.7,57.1,22.2,368.0,438.3,135.7,285.8,480.2,356.4,424.6,218.5,128.7,410.7,281.4,447.2,384.4,78.6,452.3,416.9,367.9,122.0,498.7,431.2,236.4,94.9,1318.0,63.6,84.7,433.0,105.2,5.9,201.3,475.2,508.7,483.1,223.8,465.7,108.8,276.9,427.0,293.2,123.6
GC,162.5,364.9,170.8,129.5,140.6,374.7,141.7,408.8,227.9,288.5,154.6,364.3,304.5,384.3,331.1,280.5,340.7,344.0,151.7,228.9,340.1,290.3,149.5,326.7,208.5,147.3,0.0,397.4,262.4,208.4,104.0,219.5,362.6,198.6,122.8,180.6,142.6,169.6,129.7,154.8,260.2,330.1,228.5,172.9,372.9,250.8,316.4,105.6,39.0,302.5,168.5,339.0,276.2,169.6,344.1,308.7,259.7,109.8,390.5,323.0,220.2,219.0,1295.8,154.6,99.1,326.0,85.9,141.8,142.6,367.0,400.5,374.9,123.1,329.2,123.2,164.0,318.8,180.3,52.2
GD,418.2,96.8,460.5,358.2,430.3,267.1,527.7,70.7,486.1,344.5,378.3,119.1,176.3,103.3,207.9,158.4,197.9,164.4,357.4,475.1,396.1,344.8,439.2,382.7,495.0,521.5,394.9,0.0,470.0,497.2,405.5,424.3,280.2,488.3,508.8,470.3,366.3,459.3,503.9,529.0,482.1,386.1,434.2,378.6,181.1,467.2,199.8,389.4,427.8,131.7,374.2,126.4,159.5,531.2,180.1,125.5,315.7,452.0,253.3,212.0,420.7,508.7,1501.5,528.8,473.3,208.2,460.1,516.0,348.3,284.6,3.0,212.7,334.4,166.6,488.1,387.7,374.8,404.0,426.4
GW,252.6,448.7,122.9,243.0,133.2,459.4,106.0,493.5,95.8,373.2,262.6,448.2,396.0,469.0,415.8,365.2,425.4,427.8,209.8,93.7,424.8,373.5,114.7,411.4,89.1,99.0,182.0,482.1,0.0,44.7,194.1,119.5,447.3,64.0,243.9,112.7,250.6,92.6,123.0,77.6,363.1,414.8,35.7,280.9,460.5,351.5,401.1,175.3,217.7,387.2,276.5,423.8,360.9,104.4,428.8,393.4,344.4,163.3,469.0,407.7,158.2,83.0,1218.0,125.0,149.0,409.5,169.5,93.5,157.5,451.7,485.2,459.6,249.1,421.0,173.1,272.0,399.8,288.3,197.6
GZ,221.6,459.0,78.1,212.0,120.2,469.7,78.0,503.8,51.0,383.5,231.6,458.5,399.5,479.3,426.1,375.5,435.7,438.1,178.8,62.0,435.1,385.3,109.1,421.7,39.6,71.0,150.1,492.4,54.8,0.0,163.1,174.4,457.6,8.4,215.9,67.9,219.6,26.3,95.0,49.6,337.2,425.1,90.6,249.9,467.0,320.5,411.4,144.6,186.7,397.5,245.5,434.0,371.2,59.6,439.1,403.7,354.7,118.5,485.5,418.0,224.1,37.1,1272.9,80.2,121.0,419.8,131.9,65.5,219.6,462.0,495.5,469.9,218.1,424.2,133.2,241.0,413.8,257.3,175.8
HG,94.8,353.4,220.2,196.2,209.2,364.1,270.7,398.2,180.7,277.9,120.0,352.9,293.9,373.7,320.5,269.9,330.1,332.5,52.0,169.7,329.5,278.2,190.7,316.1,187.4,263.7,193.4,386.8,164.6,209.4,0.0,118.9,352.0,217.9,388.4,207.2,108.0,229.4,287.7,242.3,148.7,319.5,128.8,177.1,361.4,137.1,305.8,187.9,233.4,291.9,172.7,328.4,265.6,266.2,356.0,298.1,249.1,248.9,379.9,312.4,97.3,243.7,1196.1,286.8,291.5,314.2,268.0,258.2,62.2,356.4,389.9,364.3,172.4,325.7,285.0,124.5,308.2,122.2,273.6
HV,141.7,398.8,166.8,264.9,155.8,406.9,216.6,441.0,126.6,320.7,162.8,396.5,344.5,416.5,363.3,312.7,372.9,375.3,232.4,115.6,372.3,321.0,136.6,358.9,130.4,209.6,158.0,429.6,110.5,155.3,216.0,0.0,394.8,163.8,334.3,153.8,150.8,175.3,233.6,188.2,263.3,362.3,74.7,140.8,404.2,255.1,348.6,151.6,193.7,334.7,136.4,371.2,308.4,212.8,399.6,340.9,291.9,194.8,422.7,355.2,105.7,190.7,1119.7,232.7,237.4,357.0,208.2,204.8,105.0,399.2,432.7,407.1,271.7,389.7,230.9,172.2,351.0,188.5,219.5
HZ,352.5,185.6,394.8,292.5,364.6,129.8,462.0,221.6,420.4,278.8,312.6,140.8,47.4,197.1,119.4,68.8,63.5,90.4,291.7,409.4,330.4,280.6,373.5,317.0,424.2,455.8,329.2,210.2,404.3,431.5,339.8,358.6,0.0,411.8,443.1,404.6,300.6,393.6,438.2,463.3,416.4,320.4,368.5,312.9,144.0,401.5,41.3,323.7,362.1,90.8,308.5,155.7,87.8,465.5,114.4,97.0,250.0,386.3,99.6,32.1,355.0,443.0,1435.8,463.1,407.6,49.7,394.4,450.3,282.6,4.4,213.3,120.0,268.7,129.5,422.4,322.0,309.1,338.3,360.7
IC,202.3,450.5,58.8,192.7,100.9,450.4,97.7,484.5,31.7,364.2,212.3,440.0,380.2,460.0,406.8,356.2,416.4,418.8,159.5,42.7,415.8,366.0,89.8,402.4,12.3,90.7,130.8,483.9,74.5,8.8,154.6,167.4,449.1,0.0,224.8,48.6,200.3,17.8,109.1,69.3,317.9,405.8,80.7,241.4,458.5,308.5,392.1,136.1,170.8,378.2,226.2,414.7,351.9,53.6,419.8,384.4,335.4,99.2,466.2,398.7,204.8,31.1,1265.9,74.2,130.1,401.7,118.3,85.2,200.3,442.7,476.2,450.6,198.8,404.9,113.9,221.7,394.5,238.0,165.3
IJ,166.8,393.9,128.8,159.4,69.9,404.6,128.4,438.7,183.6,318.4,184.5,393.4,334.4,414.2,361.0,310.4,370.6,373.0,124.0,172.6,370.0,320.2,93.2,356.6,170.2,121.4,141.9,427.3,206.6,169.2,108.3,190.9,392.5,160.3,0.0,141.1,172.5,131.3,103.8,128.9,288.3,360.0,178.5,202.8,401.9,273.4,346.3,135.5,83.5,332.4,198.4,368.9,306.1,143.7,374.0,338.6,289.6,83.9,420.4,352.9,169.3,160.0,1268.1,128.7,73.2,354.7,67.1,115.9,172.5,396.9,430.4,404.8,153.0,387.4,97.3,193.9,348.7,210.2,56.5
IX,174.4,416.7,12.9,164.8,73.0,422.5,132.4,456.6,79.3,336.3,184.4,412.1,360.1,432.1,378.9,328.3,388.5,390.9,131.6,68.3,387.9,336.6,61.9,374.5,68.6,125.4,102.9,445.2,110.0,67.6,115.9,160.9,410.4,58.7,200.5,0.0,172.4,29.7,107.8,117.3,288.2,377.9,74.2,202.7,419.8,273.3,364.2,97.4,139.5,350.3,198.3,386.8,324.0,101.6,391.9,356.5,307.5,71.3,438.3,370.8,176.9,80.2,1259.4,122.2,84.2,372.6,90.4,119.9,172.4,414.8,448.3,422.7,170.9,384.1,86.0,193.8,366.6,210.1,137.4
JH,93.0,322.1,184.5,136.0,154.3,327.9,280.7,362.0,241.6,241.7,11.9,316.7,264.5,337.5,284.3,233.7,293.9,296.3,82.9,242.6,293.3,242.0,163.2,279.9,234.9,273.7,107.4,350.6,195.5,221.2,117.1,149.8,315.8,201.5,266.9,194.3,0.0,216.9,256.1,270.9,112.4,283.3,159.7,90.2,329.0,100.8,269.6,100.7,143.1,255.7,85.8,292.3,229.4,255.2,297.3,261.9,212.9,176.0,337.5,276.2,77.5,233.8,1227.0,275.8,225.5,278.0,189.4,268.2,72.4,320.2,353.7,328.1,112.2,289.5,212.1,21.3,268.3,37.6,218.7
JR,197.7,416.0,54.2,164.1,96.3,445.8,104.8,455.9,24.6,335.6,183.7,434.6,358.4,431.4,402.2,327.6,411.8,390.2,154.9,35.6,411.2,337.4,61.2,373.8,5.2,97.8,102.2,468.5,81.6,26.7,139.2,160.3,433.7,17.8,241.8,44.0,195.7,0.0,116.2,76.4,289.3,401.2,73.6,202.0,443.1,296.6,363.5,96.7,162.8,349.6,197.6,386.1,323.3,60.7,391.2,355.8,330.8,70.6,461.6,394.1,200.2,49.3,1258.8,81.3,101.5,371.9,89.7,92.3,195.7,414.1,447.6,422.0,170.2,428.6,85.3,217.1,365.9,233.4,160.7
JW,228.0,464.7,96.2,203.6,117.6,470.5,46.2,504.6,128.7,384.3,250.4,459.3,407.1,480.1,426.9,376.3,436.5,438.9,185.2,139.7,435.9,384.6,140.9,422.5,122.0,39.2,207.8,493.2,124.4,83.3,169.5,252.1,458.4,96.9,138.9,108.5,238.4,104.0,0.0,46.7,350.9,425.9,160.2,268.7,471.6,339.3,412.2,201.1,119.4,398.3,264.3,434.9,372.0,43.5,439.9,404.5,355.5,104.9,480.1,418.8,230.5,59.0,1329.3,28.5,67.6,420.6,88.1,33.7,238.4,462.8,496.3,470.7,217.9,432.1,91.7,259.8,410.9,276.1,117.7
KG,236.4,463.5,99.9,229.0,121.3,474.2,28.3,508.3,110.6,388.0,254.1,463.0,410.8,483.8,430.6,380.0,440.2,442.6,193.6,121.6,439.6,388.3,144.6,426.2,99.2,21.3,211.5,496.9,77.6,59.5,177.9,197.2,462.1,68.0,166.2,112.2,242.1,107.4,45.3,0.0,354.6,429.6,113.4,272.4,471.5,350.3,415.9,205.1,146.7,402.0,268.0,438.5,375.7,65.2,443.6,408.2,359.2,108.6,490.0,422.5,238.9,80.7,1295.7,50.2,71.3,424.3,84.7,15.8,242.1,466.5,500.0,474.4,222.6,457.0,95.4,263.5,418.3,279.8,126.1
KN,64.1,352.6,169.9,170.3,139.7,360.0,234.9,392.3,201.4,272.0,57.9,349.4,295.8,369.6,316.4,265.8,326.0,326.6,72.7,193.7,325.4,274.1,146.8,312.0,208.5,240.5,93.1,386.0,185.3,209.9,101.0,136.1,346.1,186.9,216.0,177.9,63.9,166.9,222.9,248.0,0.0,315.4,149.5,74.1,355.5,108.7,301.7,90.0,128.8,291.1,74.8,324.3,261.5,240.6,327.6,294.0,245.0,161.4,374.0,308.3,48.6,219.2,1216.8,246.0,192.3,310.1,174.8,235.0,58.1,352.3,385.8,360.2,175.0,321.6,197.5,46.2,302.3,43.9,145.4
KP,304.6,336.3,346.9,244.6,316.7,344.4,414.1,378.5,372.5,62.8,264.7,333.2,281.0,354.0,300.8,250.2,310.4,312.8,243.8,361.5,53.0,126.2,325.6,39.6,379.2,407.9,282.2,367.1,356.4,383.6,291.9,310.7,332.3,363.9,395.2,356.7,252.7,345.7,390.3,415.4,365.2,0.0,320.6,265.0,345.5,353.6,286.1,275.5,314.2,272.2,260.6,308.8,245.9,417.6,313.8,278.4,97.1,338.4,354.0,292.7,307.1,396.2,1387.9,415.2,359.7,294.5,351.8,402.4,234.7,336.7,370.2,344.6,220.8,306.0,374.5,274.1,28.0,290.4,312.8
