from_stop,AE,AH,AJ,AK,AT,AZ,BK,BO,BX,CF,CG,CM,CO,CW,CY,DC,DD,DM,DP,DS,DV,DX,DZ,EG,EJ,EK,ER,EW,EX,EY,FB,FK,FS,FZ,GA,GC,GF,GK,GL,HC,HL,HT,HU,HZ,IC,IF,IN,JA,JE,JO,JV,JX,KJ,KK,KL,KR,KU,LA,LD,LG,LL,LM,LN,LX,MD,MI,MR,MS,MU,MY,NF,NH,NN,NP,NQ,NR,NX,OI,OQ,OS,OU,OX,PP,PS,QE,QM,QQ,QS,RB,RG,RN,RQ,RV,SQ,TM,TT,TZ,UG,UH,UJ,UM,UV,VJ,VK,VU,WB,WD,WG,WR,WT,WY,XC,XJ,YO,ZB,ZC,ZH,ZV
CG,347.7,246.9,422.7,405.5,418.1,311.6,155.0,389.9,38.4,69.1,0.0,127.7,196.5,367.9,105.1,36.8,59.3,411.5,332.0,297.2,228.9,178.8,399.2,230.0,246.5,176.2,403.8,263.0,232.1,506.3,358.1,315.8,450.7,303.5,329.7,185.4,173.6,322.2,186.2,54.6,307.2,90.2,414.9,223.6,299.5,206.2,201.4,240.3,179.7,259.5,382.1,405.6,161.7,427.7,184.5,236.6,176.2,309.0,125.0,317.6,165.0,352.5,171.5,24.4,314.4,277.1,163.7,164.9,468.0,272.8,45.0,388.5,260.6,389.7,111.3,2133.2,280.1,442.3,285.3,300.2,404.8,335.7,173.3,409.0,254.0,313.5,424.8,70.8,200.3,123.2,396.0,347.3,406.6,198.0,421.1,390.8,209.3,274.3,206.3,234.6,332.2,196.6,302.4,239.4,124.4,98.6,208.1,352.8,156.6,293.8,257.1,279.7,289.0,214.9,161.9,328.0,383.6,153.2
CM,254.2,200.3,376.1,358.9,371.5,265.0,110.8,343.3,168.1,198.8,129.6,0.0,126.6,321.3,108.3,135.3,94.9,318.0,285.4,250.6,105.9,139.9,352.6,88.0,300.1,129.6,357.2,173.3,288.4,426.4,311.5,222.3,361.0,256.9,273.7,95.7,63.4,228.7,139.6,65.9,260.6,106.0,368.3,277.2,252.9,92.1,157.3,150.6,135.5,212.9,335.5,358.0,209.2,338.0,228.0,242.6,269.1,262.4,64.8,271.0,150.2,262.8,197.5,118.9,267.8,187.4,49.6,120.7,428.7,149.8,133.8,341.9,167.5,296.2,103.1,2142.8,194.2,352.6,238.7,253.6,358.2,289.1,129.1,315.5,203.3,237.4,335.1,107.9,129.4,79.0,349.4,300.7,313.1,224.0,374.5,344.2,162.7,321.8,159.7,129.6,285.6,244.1,208.9,277.7,160.0,90.4,149.7,306.2,42.5,217.7,134.1,186.2,242.4,86.5,252.4,375.5,337.0,206.8
CO,363.0,254.3,391.7,338.6,416.1,254.5,46.0,356.4,172.3,203.1,150.1,135.6,0.0,351.7,68.5,137.8,130.1,375.8,323.5,285.2,168.7,13.2,387.2,113.0,220.6,213.2,391.8,136.0,128.0,399.1,346.1,339.0,327.3,313.0,236.4,51.5,96.7,318.8,223.2,91.1,294.0,113.2,384.8,197.7,273.7,136.7,92.5,106.6,70.7,269.0,370.1,320.7,128.7,310.7,134.6,120.0,241.5,264.7,80.7,296.2,23.5,225.5,70.8,115.7,251.7,150.9,136.4,40.7,391.4,216.8,141.0,355.0,260.2,401.5,55.2,2006.3,189.6,315.3,273.3,266.3,373.4,324.9,64.3,410.8,215.6,250.3,297.8,115.1,174.2,33.5,340.1,335.3,370.8,97.3,395.6,378.8,246.3,196.5,236.6,141.9,320.2,130.8,298.6,250.1,137.7,57.1,84.9,344.3,118.2,230.0,194.0,313.3,276.9,135.2,192.8,257.7,350.1,150.5
CW,183.3,129.9,192.0,32.3,232.1,74.8,280.6,159.2,434.5,465.9,402.0,322.0,283.6,0.0,320.8,389.7,372.4,178.5,232.2,107.8,196.4,291.7,231.2,251.2,496.8,209.7,217.8,186.2,411.7,194.2,166.4,234.6,130.1,164.0,58.7,215.8,281.0,172.1,199.7,345.7,115.5,365.5,177.6,473.9,115.9,280.6,324.8,170.1,303.0,119.6,192.7,32.4,404.9,103.5,395.5,396.2,531.4,106.9,290.0,106.5,299.7,71.7,347.0,369.3,74.3,200.3,250.0,230.3,194.2,157.0,393.3,160.1,233.3,194.3,307.5,2277.4,129.2,118.1,93.6,86.6,194.4,144.0,296.6,215.9,152.9,187.6,100.6,367.4,232.9,288.1,142.9,155.6,175.9,373.5,208.4,199.1,176.4,480.2,195.0,215.4,142.8,407.0,199.7,528.6,439.8,309.4,317.2,253.0,257.1,167.3,170.4,214.4,97.3,259.0,471.3,533.9,152.9,434.2
CY,362.7,273.4,437.3,386.7,440.7,302.6,76.1,400.6,146.8,177.5,108.3,129.2,91.9,385.9,0.0,114.0,86.8,423.8,354.6,329.4,176.3,124.9,425.7,147.2,236.1,202.7,430.3,184.1,232.5,433.3,379.2,330.8,375.1,330.0,290.2,106.5,68.4,337.2,212.7,84.3,333.7,112.1,422.9,213.2,321.8,128.2,122.6,157.5,100.8,286.0,408.6,368.8,161.1,354.5,138.7,153.3,253.4,312.8,73.9,330.4,115.9,273.6,122.4,108.9,299.8,198.2,120.0,86.0,439.5,225.9,134.2,403.1,281.7,400.8,10.1,2057.9,237.7,363.4,311.8,314.4,417.6,362.2,94.4,424.0,273.7,307.8,345.9,108.3,199.8,44.3,388.2,373.8,424.6,148.9,437.8,417.3,235.8,268.9,240.3,200.0,358.7,191.2,313.5,274.4,156.7,50.3,115.0,379.3,112.9,288.1,200.6,294.7,315.5,110.8,191.0,327.4,398.2,146.1
DC,375.3,247.2,423.0,405.8,418.4,311.9,155.3,390.2,67.9,98.6,29.4,144.2,159.6,368.2,123.4,0.0,77.6,409.5,332.3,297.5,229.2,141.9,399.5,230.3,216.8,176.5,404.1,263.3,195.2,506.6,358.4,322.6,451.0,303.8,330.0,185.7,169.5,327.6,186.5,72.9,307.5,98.2,415.2,193.9,299.8,206.5,164.5,240.6,180.0,259.8,382.4,405.9,124.8,428.0,147.6,199.7,139.3,309.3,125.3,317.9,128.1,352.8,134.6,24.7,314.7,277.4,164.0,165.2,468.3,273.1,74.5,388.8,267.8,395.1,129.6,2095.5,280.4,442.6,285.6,300.5,405.1,336.0,173.6,414.4,254.3,313.8,425.1,100.1,200.6,123.5,396.3,347.6,404.6,161.1,421.4,391.1,209.6,237.4,206.6,234.9,332.5,159.7,307.4,202.5,112.8,116.9,171.2,353.1,156.9,294.1,257.4,286.5,289.3,200.9,125.0,291.1,383.9,126.3
DD,365.2,283.0,458.5,441.6,454.2,347.7,133.7,426.0,85.7,116.5,47.2,100.9,140.7,409.2,96.3,52.9,0.0,429.1,368.1,333.3,211.4,133.0,435.3,208.7,207.2,212.3,439.9,241.7,193.4,494.8,394.2,333.3,429.4,339.6,342.1,164.1,147.9,339.7,222.3,27.8,343.3,108.9,456.7,184.3,335.6,197.6,155.6,219.0,158.4,295.6,418.2,426.4,114.2,406.4,138.7,189.1,174.1,345.1,103.7,353.7,119.2,331.2,125.7,62.1,350.5,255.8,155.1,143.6,497.1,255.3,92.3,424.6,278.1,407.2,102.5,2061.2,295.3,421.0,321.4,336.3,440.9,371.8,152.0,426.5,290.1,343.5,403.5,110.8,234.9,101.9,432.1,383.4,424.1,152.2,457.2,426.9,245.4,226.8,226.9,235.1,368.3,149.1,319.9,182.7,65.0,89.8,162.3,388.9,148.0,323.2,239.6,297.2,325.1,188.1,157.4,280.5,419.7,115.7
DM,87.9,178.7,140.0,146.9,75.9,134.3,363.4,104.7,366.5,382.1,407.2,295.8,368.7,135.5,445.3,428.6,449.1,0.0,136.8,103.1,268.6,374.5,56.9,277.3,547.6,234.5,61.5,271.3,543.0,221.2,105.5,144.7,180.7,205.9,152.4,304.8,317.9,76.7,224.5,412.8,95.1,329.2,106.8,541.8,175.6,251.8,409.9,261.7,388.1,151.7,88.4,129.0,492.0,154.1,480.6,481.3,505.2,185.1,409.7,148.9,384.8,156.8,432.1,405.1,137.1,286.2,322.2,315.4,182.8,226.9,384.3,21.3,137.9,47.4,432.0,2119.0,196.0,168.7,115.9,122.9,119.7,70.1,381.7,66.6,169.9,230.0,151.2,358.4,263.5,407.9,36.2,111.7,5.3,458.6,141.8,97.1,201.2,552.8,229.6,285.3,96.6,550.4,104.3,524.9,455.5,419.3,402.3,157.6,330.4,209.7,242.6,119.0,111.7,331.2,459.4,561.9,98.4,473.7
DP,158.5,52.9,205.9,189.0,201.6,95.1,307.1,173.4,363.5,394.2,325.0,250.1,304.9,156.6,340.7,312.7,349.6,192.8,0.0,80.7,190.3,318.2,182.7,226.7,529.6,132.7,187.3,215.0,440.5,289.8,141.6,194.1,249.7,69.0,113.2,248.5,300.1,147.3,122.7,320.6,89.5,306.1,204.1,506.7,83.0,201.3,353.6,198.9,331.8,43.0,165.6,189.1,437.6,223.1,424.3,425.0,452.1,92.5,288.6,101.1,328.5,147.9,375.8,290.0,97.9,229.1,250.9,259.1,251.5,143.1,333.9,172.0,192.8,185.1,335.5,2245.8,112.2,237.7,68.8,83.7,188.3,120.4,325.4,204.4,86.1,145.6,220.2,308.0,161.7,311.4,179.5,130.8,187.8,402.3,210.5,174.3,99.4,509.0,128.7,196.0,115.7,435.8,159.2,515.3,414.7,322.8,346.0,20.8,258.0,125.9,158.8,173.9,72.5,259.9,437.8,562.7,167.1,439.1
DS,77.7,61.2,144.5,125.1,120.8,31.2,283.3,109.5,328.9,360.3,333.3,258.4,288.6,92.7,321.0,321.0,357.9,112.0,126.6,0.0,198.6,294.4,101.9,235.0,501.8,141.0,106.5,191.2,416.7,225.9,60.8,129.0,185.5,95.3,49.3,224.7,286.0,66.5,131.0,328.9,8.8,281.6,123.3,478.9,72.5,209.6,329.8,184.0,308.0,48.6,84.8,125.2,409.9,159.2,400.5,401.2,460.4,82.0,296.9,37.2,304.7,84.0,352.0,298.3,34.0,205.3,259.2,235.3,187.6,151.4,336.6,91.2,127.7,104.3,312.5,2165.0,120.5,173.8,12.8,19.8,124.4,38.4,301.6,123.6,94.4,153.9,156.3,310.7,170.0,290.8,115.6,50.0,107.0,378.5,146.6,93.5,107.7,485.2,136.1,204.3,34.9,412.0,94.1,523.6,423.0,314.4,322.2,147.4,266.3,134.2,167.1,108.8,8.5,268.2,446.1,538.9,103.2,447.4
DV,226.0,143.6,319.4,289.1,314.8,174.5,162.8,286.6,244.4,275.1,222.2,123.2,171.9,264.6,170.9,209.9,202.7,289.8,205.2,193.9,0.0,185.2,295.9,54.7,376.3,75.4,300.5,86.5,307.5,339.6,254.8,215.2,274.2,200.2,186.9,109.3,107.8,200.5,77.0,173.7,203.9,185.3,319.6,353.4,158.4,54.3,209.3,63.8,187.5,156.2,278.8,271.2,301.3,251.2,280.0,294.6,349.3,149.4,91.2,214.3,195.5,176.0,242.8,188.9,171.7,100.6,53.5,128.9,341.9,43.8,213.1,285.2,213.9,268.0,165.7,2178.3,88.2,265.8,182.0,186.3,301.5,232.4,181.1,287.3,97.3,131.4,248.3,187.2,36.4,131.0,290.6,244.0,284.9,269.3,317.8,287.5,106.0,376.0,66.9,16.6,228.9,302.8,180.3,385.5,267.8,142.4,201.7,226.0,60.6,111.7,28.1,195.0,185.7,62.5,335.0,429.7,280.3,283.0
DX,380.7,274.1,406.9,356.3,423.8,272.2,63.7,374.1,190.0,220.7,167.8,153.3,17.6,354.2,78.1,155.5,137.8,393.4,341.2,302.9,186.4,0.0,404.9,120.7,207.3,230.9,409.5,153.7,122.2,406.8,363.8,351.2,341.4,330.7,254.1,76.1,114.4,336.5,240.9,108.8,312.9,130.9,386.8,184.4,291.4,144.4,105.4,131.0,88.4,286.7,387.8,338.4,115.4,318.4,121.3,106.7,228.2,282.4,98.4,303.9,10.2,243.2,57.5,134.5,269.4,167.8,144.1,55.6,409.1,224.5,158.7,372.7,267.9,409.2,72.9,1993.0,207.3,333.0,291.0,284.0,391.1,341.4,82.0,428.5,233.3,267.4,315.5,132.8,191.9,51.2,357.8,353.0,388.5,84.0,407.4,396.5,264.0,190.7,253.4,159.6,337.9,117.5,316.3,236.8,124.4,74.8,112.1,362.0,137.0,247.7,211.7,331.0,294.7,152.9,179.5,244.4,367.8,144.7
DZ,228.3,248.4,142.0,242.3,182.1,218.4,462.5,202.0,479.5,510.9,520.2,445.6,460.3,211.9,496.9,508.2,544.7,234.8,277.2,202.1,385.8,473.6,0.0,417.6,681.0,328.2,167.8,370.4,595.9,170.7,229.4,279.6,196.7,282.5,236.5,397.7,465.2,217.1,318.2,515.7,212.1,432.2,180.4,658.1,259.7,392.2,509.0,354.3,487.2,235.8,228.8,224.4,589.1,251.4,579.7,580.4,647.6,269.2,479.7,224.4,483.9,255.9,531.2,487.2,221.2,384.5,442.0,417.3,154.1,346.7,487.2,179.7,278.3,187.7,491.7,2112.3,307.7,190.1,200.0,207.0,126.9,211.2,480.8,207.0,281.6,341.1,210.1,461.3,357.2,470.0,194.6,252.1,185.0,557.7,125.2,237.5,294.9,664.4,324.2,391.5,237.0,591.2,244.7,693.0,609.8,493.6,501.4,298.0,449.1,321.4,362.4,259.4,195.7,451.0,627.5,718.1,195.7,618.4
EG,289.6,180.9,318.0,265.2,332.7,181.1,130.1,283.0,232.2,262.9,193.7,66.2,115.7,266.0,109.6,181.4,161.2,302.4,250.1,211.8,95.3,121.5,313.8,0.0,349.1,86.6,318.4,62.6,243.8,315.7,272.7,201.9,253.6,239.6,163.0,89.9,40.0,208.3,96.6,132.2,220.6,172.3,301.4,326.2,200.3,23.6,176.6,33.2,104.8,195.6,296.7,247.3,274.1,227.3,247.3,261.9,320.8,191.3,78.5,212.8,131.8,152.1,179.1,160.4,178.3,76.7,40.8,65.2,318.0,133.4,200.1,281.6,147.1,318.1,104.4,2122.4,116.2,241.9,199.9,192.9,300.0,250.3,148.4,337.4,142.2,176.3,224.4,174.2,100.8,98.3,266.7,261.9,297.4,205.6,322.2,305.4,119.7,312.3,101.2,68.5,246.8,239.1,225.2,344.0,226.3,124.3,169.0,270.9,49.0,156.6,120.6,165.8,203.6,55.6,306.5,366.0,276.7,255.8
EJ,567.2,462.0,632.3,581.7,633.2,497.6,303.3,599.5,265.0,231.0,226.5,298.2,243.0,579.6,232.9,214.7,202.5,618.8,547.1,512.3,371.2,225.3,614.3,346.1,0.0,391.3,618.9,379.1,97.8,632.2,573.2,535.3,566.8,518.6,479.5,301.5,301.4,541.7,401.3,225.1,522.3,306.2,612.2,19.7,514.6,357.3,261.0,356.4,313.2,474.6,597.2,563.8,100.2,543.8,189.7,175.1,120.3,507.8,276.2,529.3,211.5,468.6,155.3,239.5,494.8,393.2,314.9,281.0,634.5,415.1,271.6,598.1,480.5,609.2,239.1,1912.8,432.7,558.4,500.4,509.4,616.5,550.8,306.8,628.5,458.7,492.8,540.9,297.4,394.7,261.2,583.2,562.4,613.9,129.6,632.8,605.9,424.4,76.7,421.4,385.0,547.3,105.2,521.9,128.9,132.6,226.4,267.7,567.9,307.8,473.1,399.4,499.2,504.1,339.9,141.1,130.4,593.2,83.7
EK,198.7,70.6,246.4,229.2,241.8,135.3,210.4,213.6,230.7,261.4,192.2,117.3,218.5,191.6,207.9,179.9,216.8,232.9,155.7,120.9,57.5,231.8,222.9,93.9,396.8,0.0,227.5,133.1,375.2,330.0,181.8,165.7,286.3,127.2,153.4,155.9,167.3,151.0,9.9,187.8,130.9,173.3,238.6,373.9,123.2,68.5,256.9,110.4,235.1,83.2,205.8,229.3,304.8,263.3,327.6,342.2,319.3,132.7,155.8,141.3,242.1,188.1,289.4,158.9,138.1,147.2,118.1,175.5,291.7,101.2,201.1,212.2,164.4,218.5,202.7,2138.9,103.8,277.9,109.0,123.9,228.5,159.4,228.7,237.8,77.7,137.2,260.4,175.2,28.9,178.6,219.7,171.0,228.0,315.9,244.8,214.5,33.0,417.4,30.0,63.2,155.9,339.7,130.8,382.5,281.9,190.0,249.3,176.5,125.2,117.5,85.5,145.5,112.7,127.1,305.0,471.1,207.3,306.3
ER,120.2,196.6,187.8,222.6,14.2,166.6,418.7,155.0,371.4,402.8,412.1,328.1,416.5,185.0,432.0,422.0,436.6,81.8,169.1,135.3,300.9,429.8,107.2,309.5,620.5,266.8,0.0,326.6,552.1,232.0,121.3,171.5,227.4,238.2,184.7,353.9,350.1,109.0,256.8,407.6,126.4,324.1,153.5,614.7,207.9,284.1,465.2,310.5,443.4,184.0,120.7,222.7,546.9,204.4,535.9,536.6,561.4,217.4,404.5,172.6,440.1,219.4,487.4,401.0,169.4,340.7,354.5,373.5,233.1,259.2,379.1,71.6,170.2,79.6,426.8,2139.9,228.3,219.0,148.2,155.2,169.9,103.1,437.0,98.9,202.2,261.7,201.5,353.2,295.8,402.7,86.5,144.0,76.9,513.9,186.2,129.4,233.5,625.7,262.8,317.6,128.9,547.4,136.6,597.8,501.7,414.1,457.6,189.9,361.6,242.0,274.9,151.3,143.9,363.5,519.4,634.8,148.7,548.4
