from_stop,AE,AK,AY,BA,BF,BL,CD,CU,DB,DD,DG,DI,DJ,DS,DX,DZ,EF,EJ,EN,EO,EY,FB,FE,FL,FV,GL,GO,GZ,HB,HP,HV,IB,IU,JE,JO,KD,KM,KN,KO,KQ,LD,LI,LK,MI,MK,MO,MP,MR,MV,MY,NC,ND,NH,NI,NY,OD,OM,OQ,OT,OU,PF,PG,PH,PY,QI,QU,QZ,RU,RX,SZ,TI,TS,UB,US,UW,VF,VO,WA,WB,WC,WH,WT,WW,WY,XH,YD,YI,YJ,YW,ZC,ZV,ZY
DG,306.7,624.0,426.7,299.2,292.3,521.0,142.3,547.5,469.0,832.5,0.0,569.9,197.2,469.1,245.3,179.9,246.7,636.8,838.6,72.3,261.3,472.9,503.9,863.8,96.6,843.9,549.6,693.9,514.7,245.4,421.5,691.8,308.8,435.7,449.5,129.5,537.7,214.6,298.4,284.0,617.9,1178.0,781.9,917.0,701.3,778.3,841.1,122.9,877.5,266.7,725.7,709.0,386.9,606.8,802.6,187.5,684.1,702.9,921.3,176.0,438.9,955.2,395.2,896.8,733.0,304.7,569.9,2984.7,900.1,578.5,866.6,481.9,305.6,787.3,31.4,517.8,539.7,267.7,657.0,476.3,522.3,277.7,539.3,276.4,296.9,66.1,552.3,247.1,926.6,549.5,596.2,326.7
DI,378.4,1082.2,884.9,415.0,408.1,77.1,471.1,73.7,479.6,354.5,582.7,0.0,463.5,528.6,495.8,495.8,754.8,356.3,379.9,655.0,377.1,469.0,796.1,405.1,516.4,385.2,71.6,172.5,113.4,442.5,432.1,280.9,424.6,406.4,741.7,525.8,60.4,403.4,360.8,326.5,69.7,1306.5,303.9,458.3,179.9,319.6,382.4,519.2,418.8,456.5,285.0,231.8,702.0,334.0,343.9,472.8,206.1,244.2,462.6,572.3,660.0,496.5,365.9,438.1,640.9,468.1,91.9,2716.2,441.4,486.4,407.9,682.5,407.6,498.6,614.1,581.1,551.0,472.3,179.0,376.0,430.2,593.8,118.0,446.8,447.2,574.2,1007.2,517.2,467.9,457.4,118.2,784.9
DJ,143.0,610.3,413.0,135.5,128.6,357.3,61.1,371.5,305.3,668.8,172.7,406.2,0.0,305.4,158.3,85.8,344.8,473.1,674.9,245.0,97.6,309.2,490.2,700.1,106.4,680.2,385.9,530.2,351.0,81.7,257.8,528.1,145.1,272.0,435.8,115.8,374.0,50.9,134.7,120.3,454.2,1027.0,618.2,753.3,537.6,614.6,677.4,109.2,713.8,172.8,562.0,545.3,373.2,443.1,638.9,62.8,520.4,539.2,757.6,162.3,425.2,791.5,231.5,733.1,569.3,193.2,406.2,2821.0,736.4,414.8,702.9,459.3,161.5,623.6,204.1,357.9,376.0,156.2,493.3,312.6,358.6,183.8,375.6,182.5,185.4,164.2,538.6,122.4,762.9,385.8,432.5,313.0
DS,315.6,553.5,356.2,308.1,301.2,358.7,364.2,385.2,178.6,423.8,529.9,407.6,356.6,0.0,388.9,388.9,702.0,214.5,416.3,602.2,270.2,50.6,267.4,441.5,463.6,421.6,387.3,531.6,352.4,345.6,131.1,269.5,317.7,43.8,213.0,420.1,375.4,296.5,253.9,219.6,455.6,1238.3,488.0,494.7,539.0,356.0,418.8,427.1,455.2,349.6,303.4,286.7,173.3,184.5,380.3,365.9,312.5,280.6,499.0,371.1,131.3,532.9,94.7,474.5,304.0,361.2,407.6,2940.2,477.8,156.2,444.3,153.8,300.7,365.0,561.3,52.4,117.4,366.5,363.1,486.8,100.0,486.9,377.0,339.9,340.3,521.4,481.8,410.3,504.3,127.2,391.0,256.2
DX,180.2,669.6,472.3,110.1,103.2,397.5,120.4,424.0,345.5,709.0,232.0,446.4,151.8,345.6,0.0,102.7,404.1,513.3,715.1,198.7,114.5,349.4,549.5,740.3,165.7,720.4,426.1,570.4,391.2,193.2,298.0,568.3,131.4,312.2,495.1,175.1,414.2,144.1,174.9,160.5,494.4,1004.9,658.4,793.5,577.8,654.8,717.6,168.5,754.0,232.1,602.2,585.5,432.5,483.3,679.1,85.4,560.6,579.4,797.8,221.6,477.0,831.7,271.7,773.3,609.5,59.3,446.4,2861.2,776.6,455.0,743.1,499.5,201.7,663.8,239.6,398.1,416.2,22.3,533.5,332.2,398.8,243.1,415.8,240.9,51.5,223.5,597.9,25.8,803.1,426.0,472.7,372.3
DZ,198.8,576.5,379.2,191.3,184.4,413.1,27.3,427.3,361.1,724.6,138.9,462.0,89.3,361.2,92.7,0.0,311.0,528.9,730.7,211.2,153.4,365.0,456.4,755.9,72.6,736.0,441.7,586.0,406.8,137.5,313.6,583.9,224.2,327.8,402.0,82.0,429.8,106.7,190.5,176.1,510.0,1072.8,674.0,809.1,593.4,670.4,733.2,75.4,769.6,158.8,617.8,601.1,339.4,498.9,694.7,79.6,576.2,595.0,813.4,128.5,391.4,847.3,287.3,788.9,625.1,152.1,462.0,2876.8,792.2,470.6,758.7,434.4,197.7,679.4,170.3,413.7,431.8,115.1,549.1,368.4,414.4,169.8,431.4,168.5,144.3,130.4,504.8,118.6,818.7,441.6,488.3,279.2
EF,416.0,756.4,559.1,431.6,424.7,653.4,274.7,667.6,601.4,964.9,227.0,702.3,329.6,601.5,405.1,312.3,0.0,769.2,971.0,299.3,393.7,604.2,636.3,996.2,229.0,976.3,682.0,826.3,647.1,377.8,553.9,824.2,441.2,568.1,581.9,261.9,670.1,347.0,430.8,416.4,750.3,1338.4,914.3,1049.4,833.7,910.7,973.5,255.3,1009.9,382.3,858.1,841.4,519.3,739.2,935.0,319.9,816.5,835.3,1053.7,308.4,571.3,1087.6,527.6,1029.2,865.4,450.3,702.3,3117.1,1032.5,710.9,999.0,614.3,438.0,919.7,258.4,650.2,672.1,439.1,789.4,608.7,654.7,410.1,671.7,408.8,442.5,181.2,681.4,379.5,1059.0,681.9,728.6,459.1
EJ,450.3,755.1,557.8,442.8,435.9,301.5,498.9,298.1,313.3,258.5,610.5,335.6,491.3,201.5,523.6,523.6,782.6,0.0,251.0,682.8,404.9,140.8,469.0,276.2,544.2,256.3,272.9,367.5,337.8,480.3,265.8,104.2,452.4,178.5,414.6,621.7,284.8,431.2,388.6,354.3,405.4,1439.9,322.7,329.4,374.9,190.7,253.5,628.7,289.9,484.3,138.1,121.4,374.9,19.2,215.0,500.6,147.2,115.3,333.7,572.7,332.9,367.6,229.4,309.2,313.8,495.9,252.3,2940.6,312.5,159.3,279.0,355.4,435.4,199.7,641.9,254.0,223.9,501.2,197.8,621.5,103.1,621.6,342.4,474.6,475.0,602.0,683.4,545.0,339.0,130.3,225.7,457.8
EN,638.9,996.3,799.0,675.5,668.6,324.5,731.6,321.1,554.5,281.5,843.2,358.6,724.0,442.7,756.3,756.3,1015.3,270.4,0.0,915.5,637.6,383.1,710.2,203.8,776.9,202.3,295.9,390.5,360.8,713.0,507.0,195.0,685.1,419.7,655.8,862.9,307.8,663.9,621.3,587.0,428.4,1681.1,345.7,257.0,397.9,118.3,181.1,779.7,217.5,733.8,179.1,144.4,616.1,248.1,38.1,733.3,170.2,132.8,261.3,813.9,574.1,295.2,470.6,236.8,555.0,728.6,275.3,2963.6,240.1,400.5,206.6,596.6,668.1,412.7,874.6,495.2,465.1,732.8,220.8,636.5,344.3,854.3,365.4,707.3,707.7,834.7,921.3,777.7,266.6,371.5,248.7,699.0
EO,353.3,696.3,499.0,283.2,276.3,570.6,214.6,584.8,518.6,882.1,72.3,619.5,269.5,518.7,173.0,230.9,319.0,686.4,888.2,0.0,287.6,522.5,576.2,913.4,168.9,893.5,599.2,743.5,564.3,317.7,471.1,741.4,304.5,485.3,521.8,201.8,587.3,286.9,348.0,333.6,667.5,1105.7,831.5,966.6,750.9,827.9,890.7,195.2,927.1,339.0,775.3,758.6,459.2,656.4,852.2,258.5,733.7,752.5,970.9,248.3,511.2,1004.8,444.8,946.4,782.6,232.4,619.5,3034.3,949.7,628.1,916.2,554.2,374.8,836.9,40.9,571.2,589.3,195.4,706.6,505.3,571.9,350.0,588.9,348.7,224.6,138.4,624.6,198.9,976.2,599.1,645.8,399.0
EY,45.5,646.4,449.1,37.8,30.9,282.9,97.2,297.1,230.9,594.4,208.8,331.8,89.6,231.0,118.6,121.9,380.9,398.7,600.5,281.1,0.0,233.7,498.5,625.7,142.5,605.8,311.5,455.8,276.6,68.6,183.4,453.7,47.4,197.6,444.1,151.9,299.6,29.5,60.3,45.9,379.8,929.3,543.8,678.9,463.2,540.2,603.0,145.3,639.4,136.0,487.6,470.9,404.4,368.7,564.5,98.9,446.0,464.8,683.2,198.4,362.4,717.1,157.1,658.7,488.2,90.9,331.8,2746.6,662.0,340.4,628.5,384.9,87.1,549.2,240.2,283.5,301.6,95.1,418.9,214.9,284.2,219.9,301.2,126.3,70.0,200.3,571.4,158.5,688.5,311.4,358.1,349.1
FB,264.2,613.1,415.8,300.8,293.9,351.4,356.9,377.9,171.3,374.2,468.5,400.3,349.3,59.5,381.6,381.6,640.6,164.9,366.7,540.8,262.9,0.0,327.0,391.9,402.2,372.0,380.0,483.2,345.1,328.3,123.8,219.9,310.4,36.5,272.6,479.7,368.1,289.2,246.6,212.3,448.3,1297.9,438.4,445.1,490.6,306.4,369.2,486.7,405.6,359.1,253.8,237.1,232.9,134.9,330.7,358.6,262.9,231.0,449.4,430.7,190.9,483.3,87.4,424.9,261.1,353.9,368.0,2932.9,428.2,106.6,394.7,213.4,293.4,315.4,499.9,112.0,81.9,358.1,313.5,479.5,50.4,479.6,369.7,332.6,333.0,460.0,538.1,403.0,454.7,77.6,341.4,315.8
FE,563.1,497.1,299.8,555.6,548.7,606.2,409.4,632.7,426.1,671.3,473.5,655.1,464.3,247.4,522.4,447.0,645.6,462.0,663.8,545.8,517.7,298.1,0.0,689.0,407.2,669.1,634.8,779.1,599.9,512.5,378.6,517.0,565.2,291.3,44.3,363.7,622.9,481.7,501.4,467.1,703.1,1181.9,735.5,742.2,786.5,603.5,666.3,370.7,702.7,533.8,550.9,534.2,116.9,432.0,627.8,454.6,560.0,528.1,746.5,314.7,116.0,780.4,342.2,722.0,558.2,581.8,655.1,3187.7,725.3,403.7,691.8,159.0,572.7,612.5,504.9,194.9,364.9,544.8,610.6,734.3,347.5,544.8,624.5,543.5,574.0,465.0,425.4,514.2,751.8,374.7,638.5,199.8
FL,722.8,1036.1,838.8,715.3,708.4,364.3,771.4,360.9,594.3,321.3,883.0,398.4,763.8,482.5,796.1,796.1,1055.1,310.2,188.4,955.3,677.4,421.8,750.0,0.0,816.7,242.1,335.7,430.3,400.6,752.8,546.8,234.8,724.9,459.5,695.6,902.7,347.6,703.7,661.1,626.8,468.2,1720.9,385.5,76.2,437.7,84.4,63.5,819.5,13.6,756.8,218.9,184.2,655.9,287.9,152.4,773.1,210.0,172.6,80.5,853.7,613.9,140.4,510.4,56.0,594.8,768.4,315.1,3003.4,122.5,440.3,89.0,636.4,707.9,452.5,914.4,535.0,504.9,773.7,260.6,676.3,384.1,894.1,405.2,747.1,747.5,874.5,964.4,817.5,149.0,411.3,288.5,738.8
FV,210.0,527.3,330.0,202.5,195.6,424.3,45.6,450.8,372.3,735.8,66.2,473.2,100.5,372.4,176.0,83.2,238.3,540.1,741.9,138.5,164.6,376.2,407.2,767.1,0.0,747.2,452.9,597.2,418.0,148.7,324.8,595.1,212.1,339.0,352.8,32.8,441.0,117.9,201.7,187.3,521.2,1109.3,685.2,820.3,604.6,681.6,744.4,26.2,780.8,170.0,629.0,612.3,290.2,510.1,705.9,90.8,587.4,606.2,824.6,79.3,342.2,858.5,298.5,800.1,636.3,221.2,473.2,2888.0,803.4,481.8,769.9,385.2,208.9,690.6,97.6,421.1,443.0,184.2,560.3,379.6,425.6,181.0,442.6,179.7,213.4,57.7,455.6,150.4,829.9,452.8,499.5,230.0
GL,655.3,1012.7,815.4,691.9,685.0,340.9,748.0,337.5,570.9,297.9,859.6,375.0,740.4,459.1,772.7,772.7,1031.7,286.8,233.4,931.9,654.0,399.5,726.6,258.6,793.3,0.0,312.3,406.9,377.2,729.4,523.4,211.4,701.5,436.1,672.2,879.3,324.2,680.3,637.7,603.4,444.8,1697.5,362.1,311.8,414.3,173.1,235.9,796.1,272.3,733.4,195.5,160.8,632.5,264.5,197.4,749.7,186.6,149.2,316.1,830.3,590.5,350.0,487.0,291.6,571.4,745.0,291.7,2980.0,294.9,416.9,261.4,613.0,684.5,429.1,891.0,511.6,481.5,749.2,237.2,652.9,360.7,870.7,381.8,723.7,724.1,851.1,937.7,794.1,321.4,387.9,265.1,715.4
GO,342.9,1010.5,813.2,379.5,372.6,28.5,435.6,25.1,444.1,282.8,547.2,62.6,428.0,456.9,460.3,460.3,719.3,284.6,308.2,619.5,341.6,397.3,724.4,333.4,480.9,313.5,0.0,158.0,64.8,417.0,396.6,209.2,389.1,433.9,670.0,490.3,11.8,367.9,325.3,291.0,132.4,1271.0,232.2,386.6,165.4,247.9,310.7,483.7,347.1,421.0,213.3,160.1,630.3,262.3,272.2,437.3,134.4,172.5,390.9,536.8,588.3,424.8,330.4,366.4,569.2,432.6,20.2,2667.6,369.7,414.7,336.2,610.8,372.1,426.9,578.6,509.4,479.3,436.8,107.3,340.5,358.5,558.3,69.4,411.3,411.7,538.7,935.5,481.7,396.2,385.7,46.5,713.2
GZ,493.1,1119.6,922.3,529.7,522.8,181.1,585.8,177.7,677.8,391.9,697.4,183.2,578.2,566.0,610.5,610.5,869.5,393.7,417.3,769.7,491.8,506.4,833.5,442.5,631.1,422.6,152.5,0.0,217.4,557.2,630.3,318.3,539.3,543.0,779.1,640.5,164.4,518.1,475.5,441.2,190.1,1421.2,341.3,495.7,7.4,357.0,419.8,633.9,456.2,571.2,322.4,269.2,739.4,371.4,381.3,587.5,243.5,281.6,500.0,687.0,697.4,533.9,480.6,475.5,678.3,582.8,131.9,2781.2,478.8,523.8,445.3,719.9,522.3,536.0,728.8,618.5,588.4,587.0,216.4,490.7,467.6,708.5,222.0,561.5,561.9,688.9,1044.6,631.9,505.3,494.8,155.6,822.3
HB,346.7,917.6,720.3,339.2,332.3,23.9,395.3,59.4,403.8,335.4,506.9,112.1,387.7,364.0,420.0,420.0,679.0,337.2,360.8,579.2,301.3,448.8,631.5,386.0,440.6,366.1,52.5,210.6,0.0,376.7,356.3,261.8,348.8,330.6,577.1,450.0,40.6,327.6,285.0,250.7,181.9,1230.7,284.8,439.2,218.0,300.5,363.3,443.4,399.7,380.7,265.9,212.7,537.4,314.9,324.8,397.0,187.0,225.1,443.5,496.5,495.4,477.4,290.1,419.0,621.8,392.3,72.8,2640.4,422.3,467.3,388.8,517.9,331.8,479.5,538.3,416.5,434.6,397.6,159.9,300.2,411.1,518.0,24.2,371.0,371.4,498.4,845.9,441.4,448.8,438.3,99.1,620.3
HP,138.4,648.0,450.7,154.0,147.1,375.8,98.8,402.3,323.8,675.4,210.4,424.7,91.2,323.9,196.0,123.5,370.6,491.6,681.5,282.7,104.2,314.7,527.9,718.6,144.1,698.7,392.5,536.8,369.5,0.0,264.4,546.6,163.6,290.5,473.5,153.5,392.5,57.5,141.3,138.8,472.7,1045.5,636.7,771.8,556.1,633.1,684.0,146.9,732.3,193.7,580.5,563.8,410.9,449.7,657.4,100.5,538.9,557.7,776.1,200.0,455.3,810.0,250.0,751.6,569.2,230.9,424.7,2839.5,754.9,433.3,721.4,477.8,180.0,642.1,241.8,376.4,394.5,219.7,511.8,331.1,377.1,209.6,394.1,219.2,211.2,201.9,561.1,160.1,769.5,404.3,451.0,350.7
HV,204.5,660.4,463.1,241.1,234.2,337.7,297.2,364.2,47.5,483.8,408.8,386.6,289.6,106.8,321.9,321.9,580.9,274.5,476.3,481.1,203.2,109.5,374.3,501.5,342.5,481.6,366.3,510.6,331.4,268.6,0.0,329.5,250.7,73.4,319.9,351.9,354.4,229.5,186.9,152.6,434.6,1132.6,548.0,554.7,518.0,416.0,478.8,345.3,515.2,282.6,363.4,346.7,280.2,244.5,440.3,298.9,372.5,340.6,559.0,478.0,238.2,592.9,101.2,534.5,364.0,294.2,386.6,2873.2,537.8,216.2,504.3,260.7,233.7,425.0,440.2,159.3,177.4,298.4,423.1,280.7,160.0,419.9,356.0,272.9,273.3,400.3,585.4,343.3,564.3,187.2,412.9,363.1
IB,546.4,851.2,653.9,538.9,532.0,227.2,595.0,236.1,409.4,184.2,706.6,261.3,587.4,297.6,619.7,619.7,878.7,125.3,176.7,778.9,501.0,236.9,565.1,201.9,640.3,182.0,198.6,293.2,263.5,576.4,361.9,0.0,548.5,274.6,510.7,717.8,210.5,527.3,484.7,450.4,331.1,1536.0,248.4,255.1,300.6,116.4,179.2,724.8,215.6,580.4,63.8,47.1,471.0,103.0,140.7,596.7,72.9,41.0,259.4,668.8,429.0,293.3,325.5,234.9,409.9,592.0,178.0,2866.3,238.2,255.4,204.7,451.5,531.5,267.6,738.0,350.1,320.0,597.3,123.5,539.2,199.2,717.7,268.1,570.7,571.1,698.1,779.5,641.1,264.7,226.4,151.4,553.9
IU,100.7,681.5,484.2,84.9,78.0,318.0,132.3,344.5,266.0,629.5,243.9,366.9,124.7,266.1,229.5,157.0,416.0,433.8,635.6,316.2,35.0,269.9,533.6,660.8,177.6,640.9,346.6,490.9,311.7,113.7,218.5,488.8,0.0,232.7,479.2,187.0,334.7,64.6,95.4,81.0,414.9,1058.0,578.9,714.0,498.3,575.3,638.1,180.4,674.5,171.1,522.7,506.0,439.5,403.8,599.6,134.0,481.1,499.9,718.3,233.5,397.5,752.2,192.2,693.8,530.0,264.4,366.9,2781.7,697.1,375.5,663.6,420.0,122.2,584.3,275.3,318.6,336.7,227.4,454.0,252.7,319.3,255.0,336.3,161.4,256.6,235.4,609.8,193.6,723.6,346.5,393.2,384.2
JE,271.7,586.9,389.6,264.2,257.3,314.8,320.3,329.0,134.7,410.3,431.9,363.7,312.7,33.3,345.0,345.0,604.0,201.0,402.8,504.2,226.3,37.1,300.8,428.0,365.6,408.1,343.4,487.7,308.5,301.7,87.2,256.0,273.8,0.0,246.4,453.5,331.5,252.6,210.0,175.7,411.7,1271.7,474.5,481.2,495.1,342.5,405.3,368.4,441.7,305.7,289.9,273.2,206.7,171.0,366.8,322.0,299.0,267.1,485.5,404.5,164.7,519.4,50.8,461.0,297.2,317.3,363.7,2896.3,464.3,142.7,430.8,187.2,256.8,351.5,463.3,85.8,103.9,322.6,349.6,442.9,86.5,443.0,333.1,296.0,296.4,423.4,515.2,366.4,490.8,113.7,377.5,289.6
JO,506.3,452.7,255.4,511.2,504.3,561.8,365.0,576.0,381.7,626.9,429.1,610.7,419.9,203.0,478.0,402.6,601.2,417.6,619.4,501.4,473.3,252.6,54.3,644.6,362.8,624.7,590.4,734.7,555.5,458.1,334.2,472.6,520.8,246.9,0.0,319.3,578.5,437.3,457.0,422.7,658.7,1137.5,691.1,697.8,742.1,559.1,621.9,326.3,658.3,472.6,506.5,489.8,72.5,387.6,583.4,410.2,515.6,483.7,702.1,270.3,71.6,736.0,297.8,677.6,513.8,537.4,610.7,3143.3,680.9,359.3,647.4,114.6,528.3,568.1,460.5,150.5,320.5,526.2,566.2,689.9,303.1,500.4,580.1,499.1,529.6,420.6,377.7,469.8,707.4,330.3,594.1,155.4
