from_stop,AC,AI,AL,AR,AU,AW,BD,BI,BJ,BZ,CD,CH,CO,CV,DG,DI,DJ,DK,DL,DN,DP,DT,DZ,EF,EG,EH,EI,ET,EV,EW,EX,FB,FF,FG,FI,FJ,FO,FZ,GB,GT,GU,HG,HO,HU,HZ,IN,IO,IP,JF,JI,JJ,JK,JQ,JS,KG,KK,KL,KM,KU,KV,LM,LO,LS,LV,MH,MJ,MK,MP,MW,NC,NG,NP,NX,OE,OQ,OR,OX,PH,PJ,PN,PO,PR,QG,QK,QO,QZ,RU,RX,SJ,SQ,SW,TD,TI,UB,UH,UU,UX,VF,VG,VH,VT,VX,WA,WI,WW,XB,XD,XN,XW,XZ,YB,YH,YI,YJ,YN,YO,YT,YZ,ZE,ZO,ZU,ZY
CD,278.2,374.5,526.5,633.3,246.9,224.7,512.3,125.1,214.3,457.0,0.0,89.8,175.1,483.7,401.6,448.0,593.4,127.8,74.3,487.5,276.1,225.4,70.9,343.8,443.0,302.7,133.0,61.8,581.5,80.5,188.9,105.1,240.5,186.1,412.2,142.5,232.2,95.9,664.0,71.7,137.0,1916.9,715.3,441.8,568.8,375.9,132.9,668.9,140.0,365.8,92.4,263.5,192.5,360.0,296.9,659.7,53.7,157.7,81.6,137.7,117.1,85.5,291.0,70.0,26.1,311.5,84.5,577.1,125.3,169.1,629.2,322.3,90.4,330.4,75.5,353.6,120.4,648.9,622.7,395.7,89.3,177.8,563.2,90.7,592.3,190.1,142.9,111.0,294.8,92.7,96.6,544.7,217.3,386.1,289.3,157.1,305.9,290.4,47.3,246.9,530.7,65.0,110.1,175.3,316.2,206.7,344.4,252.6,147.9,613.5,177.5,261.3,616.1,147.9,541.7,154.3,248.5,218.2,202.3,493.4,116.4,386.0
CH,372.2,453.9,600.6,712.7,326.3,304.1,591.7,77.9,293.7,536.4,84.0,0.0,254.5,563.1,481.0,527.4,672.8,206.2,15.4,566.9,355.5,304.8,53.7,423.2,522.4,395.0,148.6,92.8,660.9,111.5,268.3,104.5,318.9,218.6,491.6,190.5,311.6,175.3,692.9,130.8,186.4,1827.0,789.8,521.2,647.2,455.3,212.3,748.3,171.0,445.2,90.0,342.9,271.9,439.4,376.3,739.1,70.9,164.8,79.2,216.5,196.4,118.0,370.4,149.4,111.1,388.4,163.9,656.5,197.6,248.5,708.6,401.7,121.4,409.8,154.9,433.0,199.8,755.2,702.1,475.1,120.3,257.2,642.6,121.7,670.7,269.5,222.3,21.2,374.2,123.7,151.2,624.1,296.7,465.5,368.7,236.5,385.3,369.8,79.8,277.9,610.1,64.2,189.5,213.5,395.6,286.1,422.8,332.0,178.9,692.9,242.8,340.7,650.7,224.5,621.1,233.7,327.9,297.6,259.5,572.8,195.8,465.4
CO,179.6,261.3,408.0,520.1,133.7,111.5,399.1,284.5,101.1,343.8,197.5,271.8,0.0,373.8,291.3,334.8,480.2,59.1,256.3,374.3,162.9,108.3,268.5,230.6,329.8,217.3,256.1,219.7,468.3,207.2,75.7,275.8,126.3,162.4,299.0,132.6,170.8,123.0,549.8,134.0,164.1,1767.8,602.1,328.6,454.6,262.7,123.0,555.7,180.4,252.6,168.1,150.3,131.1,246.8,202.7,210.2,258.8,156.3,181.7,75.7,106.6,200.5,177.8,104.4,159.1,195.8,111.6,463.9,152.4,110.5,516.0,209.1,248.3,217.2,183.0,257.8,96.5,534.7,509.5,282.5,247.2,66.6,450.0,267.8,478.1,76.9,84.3,293.0,181.6,192.7,204.1,431.5,104.2,272.9,176.1,98.5,191.2,196.2,232.2,132.9,417.5,194.5,137.2,141.0,222.0,93.5,230.2,139.4,165.6,500.3,118.9,134.4,458.1,86.5,428.5,120.0,135.3,105.0,117.5,380.2,56.3,272.8
CV,450.8,154.6,99.7,209.2,330.5,360.0,49.7,584.1,360.8,46.3,522.1,592.9,366.5,0.0,129.8,95.6,169.3,417.1,580.9,55.9,411.4,314.8,627.2,196.8,101.8,418.2,580.7,544.3,151.7,528.3,338.9,559.8,337.9,487.8,97.5,471.8,392.1,447.6,235.4,458.6,485.2,1971.4,255.7,89.4,137.2,125.2,457.9,248.7,534.7,160.6,492.7,398.8,375.8,182.3,323.5,548.6,583.4,491.2,506.3,400.3,427.7,521.6,406.3,429.0,483.7,467.0,436.2,153.0,477.0,435.1,201.6,210.9,547.1,203.1,504.1,136.3,421.1,221.1,195.9,104.9,560.0,391.2,136.4,592.4,163.7,340.0,408.9,646.4,208.4,531.1,525.2,117.9,363.8,139.9,447.3,423.1,197.0,322.4,550.5,475.5,103.9,523.9,461.8,465.6,298.3,356.7,193.7,242.4,490.2,146.2,440.0,371.4,144.5,411.1,110.1,441.1,384.6,353.9,442.1,8.8,380.9,114.6
DG,353.0,27.0,119.5,231.6,273.4,299.5,110.6,515.9,271.1,55.3,428.9,503.2,273.3,82.8,0.0,59.3,191.7,323.9,487.7,129.9,330.0,257.7,499.9,66.4,41.3,328.5,487.5,451.1,179.8,438.6,245.7,495.9,280.8,393.8,36.3,364.0,298.9,354.4,261.3,365.4,395.5,1937.8,313.6,65.5,166.1,148.2,354.4,267.2,411.8,36.5,399.5,338.3,282.6,147.6,239.2,441.6,490.2,385.5,413.1,307.7,338.0,431.9,343.1,335.8,390.5,386.3,343.0,175.4,383.8,341.9,227.5,175.4,479.7,168.4,414.4,133.4,327.9,246.2,221.0,127.9,478.6,298.0,161.5,499.2,189.6,264.9,315.7,553.2,114.4,424.1,435.5,143.0,274.1,12.3,364.1,329.9,103.4,232.7,460.8,382.3,129.0,425.9,368.6,372.4,251.4,263.5,159.0,152.7,397.0,171.3,350.3,336.1,169.6,320.7,162.1,351.4,323.3,293.0,348.9,91.7,287.7,137.6
DI,402.2,82.6,105.3,217.4,295.9,325.4,93.2,548.7,326.7,41.1,484.5,558.8,328.9,71.1,64.2,0.0,177.5,346.1,543.3,83.1,376.8,280.2,592.6,162.2,102.7,371.2,543.1,506.7,162.4,494.2,301.3,540.0,303.3,449.4,25.5,436.4,354.5,410.0,247.1,421.0,451.1,1982.3,266.6,6.2,148.7,88.8,426.8,256.7,500.1,92.1,455.1,364.2,338.2,147.7,314.2,514.0,545.8,460.1,468.7,362.7,393.6,487.5,433.5,391.4,446.1,424.1,398.6,161.2,439.4,397.5,213.3,175.5,512.5,168.5,470.0,94.3,383.5,232.0,206.8,68.5,525.4,353.6,147.3,554.8,175.4,305.4,371.3,608.8,170.0,496.5,491.1,128.8,329.8,67.9,415.2,385.5,159.4,322.8,519.2,437.9,114.8,481.5,424.2,428.0,289.0,319.1,159.1,208.3,452.6,157.1,405.9,398.6,155.4,373.5,137.3,407.0,349.2,384.6,404.5,77.5,343.3,78.2
DJ,598.2,257.0,197.3,116.3,527.4,514.9,183.3,738.2,537.7,161.1,677.0,776.7,521.4,257.7,229.9,287.2,0.0,572.0,761.2,213.0,567.6,464.6,811.2,351.7,217.4,576.6,744.7,699.2,171.1,686.7,493.8,718.2,520.0,641.9,289.1,625.9,547.0,602.5,102.1,613.5,643.6,1867.8,178.7,281.0,224.9,316.8,616.3,80.1,689.6,266.5,647.6,580.8,530.7,337.2,478.4,116.5,801.5,649.6,661.2,555.8,586.1,680.0,530.4,583.9,638.6,593.6,591.1,39.2,631.9,590.0,93.0,365.0,702.0,358.0,791.6,294.7,576.0,145.6,100.2,296.5,714.9,546.1,157.2,747.3,53.4,515.7,563.8,797.9,362.5,686.0,812.7,123.5,532.9,242.3,571.4,578.0,351.5,480.8,708.9,630.4,132.7,680.3,616.7,620.5,453.2,549.6,348.6,400.8,645.1,104.0,598.4,501.5,146.5,568.8,159.6,599.5,538.7,487.5,597.0,248.6,535.8,306.2
DK,202.2,283.9,430.6,542.7,156.3,134.1,421.7,180.4,123.7,366.4,208.4,254.8,84.5,393.9,311.0,357.4,502.8,0.0,243.2,396.9,185.5,130.9,224.3,253.2,352.4,225.0,307.4,149.8,490.9,161.8,98.3,160.4,148.9,113.8,321.6,113.3,141.6,86.7,572.4,97.7,143.9,1790.4,624.7,351.2,477.2,285.3,121.4,578.3,131.8,275.2,131.8,172.9,101.9,269.4,206.3,569.1,234.0,100.7,145.4,46.5,70.3,168.3,200.4,68.1,122.8,218.4,75.3,486.5,158.4,78.5,538.6,231.7,144.2,239.8,272.3,263.0,60.2,557.3,532.1,305.1,157.1,87.2,472.6,211.2,500.7,99.5,52.3,276.0,204.2,128.2,240.7,454.1,126.7,295.5,198.7,66.5,213.8,199.8,172.8,173.1,440.1,241.0,172.7,48.4,225.6,116.1,252.8,162.0,73.0,522.9,86.9,170.7,480.7,54.5,451.1,27.4,157.9,127.6,111.7,402.8,25.8,295.4
DL,356.7,438.4,585.1,697.2,310.8,288.6,576.2,86.3,278.2,520.9,69.5,15.4,239.0,550.9,468.4,511.9,657.3,177.5,0.0,551.4,340.0,285.4,62.1,407.7,506.9,366.6,133.1,77.3,645.4,96.0,252.8,97.9,303.4,203.1,476.1,175.0,296.1,159.8,708.4,115.3,170.9,1842.5,779.2,505.7,631.7,439.8,196.8,732.8,155.5,429.7,74.5,327.4,256.4,423.9,360.8,133.9,71.8,151.5,63.7,201.0,180.9,102.5,354.9,133.9,95.6,372.9,148.4,641.0,182.1,233.0,693.1,386.2,105.9,394.3,139.4,434.9,184.3,711.8,686.6,459.6,104.8,241.7,627.1,106.2,655.2,254.0,206.8,36.6,358.7,108.2,135.7,608.6,281.3,450.0,353.2,221.0,368.3,354.3,60.4,262.4,594.6,53.7,174.0,198.0,380.1,270.6,407.3,316.5,163.4,677.4,227.3,311.5,635.2,209.0,605.6,218.2,312.4,282.1,244.0,557.3,180.3,449.9
DN,394.8,133.1,82.6,222.5,341.3,340.3,95.2,563.6,344.6,115.3,542.0,616.3,386.4,40.9,114.7,74.1,182.6,403.6,600.8,0.0,391.7,295.1,607.5,177.1,153.2,389.1,600.6,564.2,118.1,551.7,319.2,554.9,333.9,506.9,76.0,451.3,372.4,467.5,252.2,478.5,512.2,1925.1,302.4,67.9,129.5,103.7,441.7,237.5,515.0,142.6,512.6,379.1,356.1,162.6,303.8,528.9,603.3,475.0,526.2,420.2,451.1,545.0,350.3,448.9,503.6,411.0,456.1,166.3,496.9,455.0,252.0,190.4,527.4,183.4,527.5,109.2,441.0,237.1,211.9,83.4,540.3,411.1,151.0,612.3,180.5,329.6,428.8,626.7,187.9,511.4,548.6,132.5,347.7,118.4,391.3,443.0,177.3,306.2,576.7,495.4,118.0,539.0,481.7,485.5,278.6,337.0,174.0,226.2,510.1,167.7,463.4,315.4,159.1,431.0,54.1,464.5,364.1,301.4,462.0,35.5,400.8,93.1
DP,95.9,300.8,447.5,559.6,147.3,52.4,438.6,404.2,56.2,383.3,317.2,350.5,161.6,413.3,330.8,374.3,519.7,178.8,366.0,413.8,0.0,101.6,404.3,270.1,369.3,291.1,356.3,339.4,507.8,326.9,98.7,395.5,154.7,282.1,338.5,252.3,274.4,242.7,589.3,253.7,283.8,1713.9,641.6,368.1,494.1,302.2,242.7,595.2,300.1,292.1,287.8,13.2,250.8,240.1,214.7,356.3,413.1,284.6,301.4,195.4,226.3,320.2,131.8,224.1,278.8,81.6,231.3,503.4,272.1,230.2,555.5,202.4,368.0,210.5,302.7,297.3,216.2,574.2,549.0,322.0,366.9,186.3,489.5,387.5,517.6,134.4,204.0,329.3,221.1,338.8,323.8,471.0,51.2,312.4,101.0,218.2,230.7,208.2,351.9,270.6,457.0,314.2,256.9,260.7,234.0,68.1,223.5,178.9,285.3,499.3,238.6,140.9,497.6,206.2,468.0,239.7,28.6,116.3,237.2,419.7,176.0,312.3
DT,98.6,237.9,389.9,496.7,41.7,45.1,380.8,329.6,97.7,320.4,239.0,316.9,81.9,347.1,265.0,311.4,456.8,132.5,296.3,293.1,96.5,0.0,308.5,207.2,306.4,257.3,296.1,259.7,444.9,252.3,72.3,304.5,49.1,202.4,280.7,172.6,210.8,163.0,459.5,174.0,209.2,1764.4,578.7,305.2,436.3,200.8,168.1,483.3,220.4,229.2,208.1,83.9,171.1,138.4,151.8,455.6,291.3,187.8,221.7,116.3,146.6,240.5,162.9,144.4,199.1,141.3,151.6,440.5,192.4,150.5,482.1,96.8,288.3,108.8,228.1,174.6,136.5,516.4,486.1,220.6,287.2,106.6,423.8,307.8,459.8,25.1,129.4,333.0,163.3,232.7,244.1,405.3,100.7,249.5,134.9,138.5,169.3,145.3,269.4,190.9,394.1,242.8,177.2,181.0,171.1,90.1,121.8,121.1,205.6,409.4,164.0,154.2,479.5,129.3,347.3,160.0,68.9,98.1,157.5,356.8,96.3,210.9
DZ,359.0,440.7,587.4,699.5,313.1,290.9,578.5,67.4,280.5,523.2,66.1,53.7,241.3,553.2,470.7,514.2,659.6,179.8,42.1,553.7,342.3,287.7,0.0,410.0,509.2,368.9,168.0,91.9,647.7,110.6,255.1,79.0,305.7,217.7,478.4,189.6,298.4,162.1,729.2,137.9,185.5,1880.8,781.5,508.0,634.0,442.1,199.1,735.1,170.1,432.0,116.7,329.7,258.7,426.2,363.1,148.5,9.7,166.1,105.9,203.3,195.5,117.1,357.2,136.2,92.2,375.2,150.7,643.3,191.5,235.3,695.4,388.5,115.7,396.6,141.7,437.2,186.6,714.1,688.9,461.9,119.4,244.0,629.4,120.8,657.5,256.3,209.1,74.9,361.0,122.8,150.3,610.9,283.6,452.3,355.5,223.3,370.6,356.6,75.0,277.0,596.9,95.9,176.3,212.6,382.4,272.9,409.6,318.8,178.0,679.7,241.9,313.8,637.5,211.3,607.9,220.5,314.7,284.4,258.6,559.6,182.6,452.2
EF,301.1,30.6,177.3,289.4,206.9,233.0,168.4,449.4,204.6,113.1,362.4,436.7,206.8,143.1,60.6,104.1,249.5,224.0,421.2,143.6,263.5,191.2,433.4,0.0,99.1,249.1,421.0,384.6,237.6,372.1,179.2,440.7,214.3,327.3,68.3,297.5,232.4,287.9,319.1,298.9,329.0,1871.3,371.4,97.9,223.9,149.3,287.9,325.0,345.3,22.0,333.0,271.8,216.1,81.1,172.7,375.1,423.7,321.2,346.6,240.6,271.5,365.4,276.6,269.3,324.0,317.3,276.5,233.2,317.3,275.4,285.3,108.9,413.2,101.9,347.9,154.8,261.4,304.0,278.8,129.0,412.1,231.5,219.3,432.7,247.4,198.4,249.2,486.7,47.9,357.6,369.0,200.8,207.7,42.2,297.6,263.4,37.3,166.2,397.1,315.8,186.8,359.4,302.1,305.9,192.0,197.0,92.5,86.2,330.5,229.1,283.8,255.9,227.4,251.4,197.8,284.9,256.8,226.5,282.4,149.5,221.2,138.7
EG,406.4,65.8,129.7,284.9,312.2,338.3,69.2,554.7,309.9,60.2,467.7,542.0,312.1,121.5,38.7,87.6,196.6,362.7,526.5,167.3,368.8,296.5,538.7,105.2,0.0,354.4,526.3,489.9,138.4,477.4,284.5,534.7,319.6,432.6,113.2,402.8,337.7,393.2,266.2,404.2,434.3,1976.6,272.2,93.8,124.7,176.5,393.2,225.8,450.6,75.3,438.3,377.1,321.4,186.4,278.0,480.4,529.0,418.0,451.9,345.9,376.8,470.7,381.9,374.6,429.3,425.1,381.8,180.3,422.6,380.7,260.2,214.2,518.5,207.2,453.2,172.2,366.7,307.8,267.4,156.2,517.4,336.8,184.1,538.0,194.5,303.7,354.5,592.0,153.2,462.9,474.3,201.1,312.9,51.1,402.9,368.7,142.2,271.5,499.6,421.1,197.7,464.7,407.4,411.2,290.2,302.3,197.8,191.5,435.8,206.6,389.1,361.2,173.0,356.7,167.0,390.2,362.1,331.8,387.7,131.2,326.5,165.9
EH,292.1,201.3,353.3,460.1,185.8,228.2,339.1,406.9,201.5,283.8,321.4,386.1,216.6,297.6,228.4,274.8,420.2,206.8,370.6,314.3,266.7,165.0,390.9,170.6,256.9,0.0,370.4,342.1,408.3,321.5,176.1,386.9,193.2,276.7,226.1,246.9,111.3,245.4,467.4,248.3,290.1,1881.1,529.2,268.6,394.6,202.7,237.3,482.2,302.8,192.6,282.4,267.0,86.9,164.3,139.7,450.6,365.6,262.1,296.0,178.2,229.0,322.9,268.4,218.7,273.4,324.4,225.9,403.9,266.7,224.8,490.0,113.7,362.6,121.8,297.3,167.5,218.9,461.8,449.5,209.6,361.5,158.6,377.1,390.2,418.1,208.2,206.7,415.4,121.6,315.1,326.5,371.5,217.4,200.0,296.5,220.9,131.2,133.2,343.7,312.7,344.6,323.2,259.6,263.4,167.1,193.9,147.7,96.0,288.0,417.3,233.2,292.6,385.2,200.8,353.7,234.3,239.1,236.5,259.3,320.2,178.7,212.8
