from_stop,AE,AL,AM,AQ,BA,BE,BH,BI,BM,BP,BS,CJ,CM,CV,DN,DP,DY,ED,EG,EJ,EY,FB,FF,FI,FV,GB,GE,GT,HP,IH,IJ,IV,JD,JG,KG,KK,KQ,LE,LG,LK,LW,LX,MM,MP,MS,NA,NS,NY,OP,OQ,PF,PX,QP,QQ,QT,QV,QY,RH,RL,RP,RT,SF,SI,TE,TP,TR,TU,UE,UO,UW,UZ,VF,VU,WG,WH,WJ,XF,XL,XR,YE,YK,YP,YR,YS,ZB,ZE,ZI,ZO,ZU,ZW,ZX
BS,262.7,142.2,101.9,232.5,307.3,149.5,234.9,102.6,44.4,24.2,0.0,132.3,147.8,159.9,174.9,70.9,167.4,202.3,102.5,271.6,49.0,362.5,64.1,258.1,289.1,136.9,212.0,394.6,174.6,337.3,108.6,312.0,331.8,291.3,131.6,212.9,291.3,310.3,114.0,268.9,285.8,326.5,241.7,150.3,102.5,306.1,2127.8,283.7,288.2,107.2,41.4,266.6,202.9,115.6,313.4,408.5,318.3,182.2,290.8,322.6,166.1,73.7,260.4,177.5,102.9,51.0,197.1,33.0,323.1,314.9,254.8,385.9,224.4,68.5,125.8,228.0,120.7,131.8,296.5,136.8,247.9,261.1,258.9,56.7,284.8,347.1,296.2,96.0,336.5,121.3,48.8
CJ,160.6,112.1,91.4,191.0,277.7,139.0,251.3,92.1,96.9,90.5,110.3,0.0,164.0,75.8,164.4,131.1,83.3,218.7,168.8,169.5,115.3,295.7,57.1,179.0,192.3,151.0,130.0,327.8,81.5,331.1,179.1,292.2,232.3,189.2,174.3,177.0,198.4,269.2,180.3,189.8,206.7,314.1,268.2,48.2,186.8,250.4,2072.1,201.5,204.2,38.6,151.8,178.6,165.4,129.7,285.6,388.9,239.2,198.6,249.7,293.0,155.6,130.5,183.8,101.3,117.0,131.6,107.3,99.3,267.4,226.0,175.7,319.1,240.8,152.8,6.7,138.2,205.0,198.1,212.6,68.0,210.4,225.7,275.3,141.0,308.6,247.8,240.5,49.6,273.6,135.4,72.4
CM,172.9,113.6,72.8,111.5,277.4,85.6,95.9,93.2,146.9,133.1,134.9,161.6,0.0,132.5,52.2,136.5,140.0,63.3,106.3,157.4,152.3,277.4,118.1,199.4,189.6,14.7,95.0,290.7,156.2,194.3,42.8,172.7,186.6,154.0,38.0,97.5,145.2,182.2,94.8,220.8,170.1,187.5,107.9,160.9,120.3,271.2,2036.6,201.2,201.5,145.8,176.4,190.9,85.9,26.1,174.4,269.5,230.8,43.2,162.7,292.7,128.9,86.4,143.4,148.9,44.1,90.2,182.0,141.9,232.6,225.7,210.6,299.4,85.4,133.7,155.1,212.9,102.1,77.0,159.4,109.4,119.8,135.1,119.9,121.9,145.8,202.1,259.1,156.8,255.3,17.9,133.4
CV,129.6,85.1,61.9,164.0,201.8,113.1,225.4,80.6,131.2,118.9,138.7,75.7,134.5,0.0,138.5,159.5,7.5,192.8,197.2,142.5,143.7,219.8,85.5,103.1,145.1,121.5,103.0,264.8,54.5,274.6,149.6,216.3,198.6,162.2,144.8,148.4,155.7,204.9,201.6,113.9,130.8,238.2,241.2,39.2,182.3,185.3,2007.0,125.6,133.2,72.9,180.2,111.6,138.4,100.2,229.1,323.8,163.3,172.7,222.7,217.1,129.7,101.0,156.8,74.3,87.5,145.1,80.3,127.7,202.3,150.1,99.8,243.2,214.9,148.3,82.2,99.7,200.5,183.8,141.5,23.0,183.4,198.7,249.4,136.5,245.9,214.1,175.4,83.9,197.7,105.9,100.8
DN,120.6,61.3,102.6,59.2,254.2,33.3,86.8,90.2,173.0,159.2,161.0,170.9,45.2,146.8,0.0,181.8,154.3,54.2,151.6,129.5,184.0,254.2,126.2,147.1,152.3,60.0,42.7,248.5,93.7,185.2,88.1,163.6,162.5,130.8,83.3,43.6,122.0,141.0,140.1,183.5,146.9,178.4,98.8,157.2,165.6,248.0,2023.9,178.0,164.2,171.9,202.5,138.6,33.6,71.4,176.7,260.4,192.3,34.1,121.5,269.5,76.6,98.2,91.1,96.6,89.4,135.5,116.2,168.0,191.4,202.5,187.4,258.2,76.3,145.5,164.4,147.1,147.4,122.3,136.2,135.5,78.6,93.9,110.8,133.7,136.7,178.0,235.9,182.9,232.1,63.2,141.5
DP,278.6,158.1,117.8,248.4,377.7,165.4,247.9,118.5,91.9,46.7,79.9,148.2,151.9,175.8,190.8,0.0,183.3,215.3,31.5,287.5,21.9,395.7,80.0,279.0,305.0,136.1,227.9,427.8,190.5,346.3,142.5,324.7,347.7,307.2,113.9,228.8,307.2,326.2,43.0,289.8,306.7,339.5,254.7,192.0,77.4,347.8,2169.5,304.6,309.1,150.4,83.1,288.3,218.8,149.5,326.8,421.5,339.2,195.2,306.7,393.0,182.0,107.6,276.3,193.4,136.8,81.2,213.0,37.9,364.8,335.8,275.7,419.1,237.4,96.6,141.7,243.9,95.6,60.8,319.4,152.7,263.8,277.0,271.9,90.6,297.8,363.0,337.9,139.5,369.7,155.2,64.7
DY,122.1,92.6,69.4,171.5,194.3,120.6,232.9,88.1,138.7,126.4,146.2,83.2,142.0,7.5,146.0,167.0,0.0,200.3,204.7,150.0,151.2,212.3,93.0,95.6,137.6,129.0,110.5,257.3,62.0,267.1,157.1,208.8,191.1,169.7,152.3,155.9,148.2,197.4,209.1,106.4,123.3,230.7,248.7,46.7,189.8,177.8,1999.5,118.1,125.7,80.4,187.7,104.1,145.9,107.7,221.6,316.3,155.8,180.2,216.9,209.6,137.2,108.5,164.3,81.8,95.0,152.6,87.8,135.2,194.8,142.6,92.3,235.7,222.4,155.8,89.7,92.2,208.0,191.3,134.0,30.5,190.9,206.2,267.5,144.0,238.4,206.6,167.9,91.4,190.2,113.4,108.3
ED,145.1,106.2,124.3,65.8,214.0,78.2,32.5,135.1,194.7,180.9,182.7,213.1,66.9,184.0,44.8,197.4,191.5,0.0,173.3,94.0,205.7,214.0,162.0,171.6,120.9,81.7,87.6,227.3,138.6,130.9,109.8,109.6,123.2,90.6,105.0,88.5,81.8,118.8,161.8,157.4,106.7,124.1,39.3,202.1,187.3,207.8,1973.2,140.9,138.1,197.3,224.2,162.3,78.5,93.1,111.4,206.1,167.4,22.7,99.3,229.3,121.5,119.9,99.7,141.5,111.1,154.2,161.1,189.7,169.2,172.1,147.2,236.0,22.0,167.2,206.6,192.0,169.1,144.0,96.0,160.9,56.4,69.6,56.5,155.4,82.4,138.7,195.7,205.4,191.9,84.9,184.9
EG,302.7,182.2,141.9,231.9,355.8,189.5,216.3,142.6,116.0,70.7,104.0,172.3,120.3,199.9,172.6,30.1,207.4,183.7,0.0,277.8,45.9,411.0,104.1,303.1,334.4,104.5,215.4,410.1,214.6,314.7,128.7,293.1,307.0,274.4,82.3,216.3,265.6,302.6,11.5,313.9,290.5,307.9,228.3,198.8,44.3,354.6,2176.3,325.6,333.2,174.5,89.9,311.6,206.3,146.8,294.8,389.9,363.3,163.6,283.1,371.1,206.1,104.9,263.8,217.5,134.1,96.5,237.1,61.9,371.6,350.1,299.8,434.4,205.8,63.5,165.8,268.0,62.5,29.2,279.8,176.8,240.2,255.5,240.3,72.5,266.2,322.5,344.7,163.6,388.9,152.5,88.8
EJ,51.0,144.9,185.7,51.0,154.9,133.1,107.4,174.5,255.0,242.7,259.3,181.5,143.5,134.6,121.4,274.0,142.1,76.5,249.9,0.0,267.5,161.0,209.3,77.5,32.1,158.3,97.8,193.1,114.3,161.5,186.4,157.9,62.7,19.6,181.6,68.1,28.8,99.6,238.4,63.3,53.7,172.7,98.6,145.0,263.9,154.8,1976.5,89.8,44.0,196.7,300.8,68.2,79.7,169.7,115.3,254.7,122.5,99.3,80.1,170.2,176.4,196.5,91.1,123.8,187.7,233.8,120.1,251.5,148.7,113.0,93.1,184.4,95.7,243.8,188.2,151.0,245.7,220.6,41.0,146.8,61.6,74.8,110.5,232.0,139.0,78.0,136.6,204.8,135.0,161.5,224.6
EY,256.7,136.2,95.9,222.5,355.8,143.5,246.9,96.6,70.0,24.8,58.0,126.3,159.8,153.9,168.9,15.8,161.4,214.3,53.4,265.6,0.0,373.8,58.1,257.1,288.4,148.9,206.0,405.9,168.6,345.3,120.6,323.7,325.8,285.3,143.6,208.5,285.3,304.3,64.9,267.9,284.8,338.5,258.9,174.6,99.3,339.3,2161.0,279.6,287.2,128.5,99.5,265.6,196.9,127.6,340.0,420.5,317.3,194.2,284.8,371.1,160.1,85.7,254.4,171.5,114.9,59.3,191.1,15.9,354.7,304.1,253.8,397.2,236.4,80.5,119.8,222.0,117.5,82.7,295.5,130.8,241.9,257.2,270.9,68.7,296.8,341.3,329.4,117.6,351.7,133.3,42.8
FB,197.4,302.1,290.2,192.0,32.6,274.1,201.6,308.9,359.5,347.2,367.0,293.6,284.5,228.2,262.4,393.9,220.7,217.5,390.9,160.9,372.0,0.0,313.8,170.9,186.9,299.3,246.1,32.0,275.3,203.8,327.4,157.7,122.3,140.6,322.6,209.1,143.7,130.1,379.4,155.7,118.8,179.9,192.8,254.9,404.9,85.0,1920.1,86.0,175.0,301.2,302.6,179.4,220.7,310.7,153.6,212.8,105.0,240.3,149.6,17.3,317.4,329.3,232.1,284.8,315.8,371.8,265.2,356.0,86.2,65.6,116.3,23.3,209.2,376.6,300.3,229.1,386.7,361.6,129.5,251.3,189.9,176.7,206.4,364.8,177.3,137.8,36.6,312.2,22.0,302.5,329.1
FF,198.5,78.0,37.7,168.3,289.9,85.3,197.6,38.4,72.7,33.3,60.7,68.1,110.3,95.7,110.7,80.0,103.2,165.0,111.6,199.7,58.1,307.9,0.0,198.9,224.9,97.3,140.1,353.6,110.4,300.0,125.4,266.7,267.6,227.1,120.6,142.6,227.1,246.1,130.7,209.7,226.6,289.2,196.7,100.5,129.6,273.4,2102.8,224.5,221.3,70.3,102.2,208.2,138.7,76.0,281.1,363.5,259.1,144.9,226.6,312.9,101.9,69.1,190.0,99.4,63.3,78.1,132.9,49.7,288.8,248.0,195.6,339.0,179.4,95.6,61.6,163.8,147.8,140.9,239.3,72.6,176.0,196.9,221.6,83.8,247.5,282.9,293.6,78.4,289.6,81.7,22.8
FI,26.4,141.4,182.2,137.5,145.9,146.8,193.9,171.0,251.5,239.2,259.0,178.0,184.4,124.5,139.1,285.9,117.0,163.0,290.8,86.4,264.0,162.6,205.8,0.0,89.2,199.2,94.3,194.7,110.8,218.7,227.3,160.4,142.7,106.1,222.5,139.7,99.8,149.0,279.3,58.0,74.9,182.3,188.8,141.5,302.6,127.8,1949.5,72.8,77.3,193.2,238.1,8.4,129.7,210.6,172.5,266.3,107.4,185.8,166.6,161.2,186.0,221.3,108.1,120.3,207.8,265.4,116.6,248.0,144.8,104.0,43.9,186.0,182.2,268.6,184.7,125.4,286.6,261.5,85.6,143.3,148.1,161.3,197.0,256.8,190.0,158.0,117.9,201.3,136.6,202.4,221.1
FV,64.7,158.6,199.4,88.8,162.9,164.0,145.2,188.2,268.7,256.4,276.2,195.2,186.6,148.3,156.3,297.8,155.8,114.3,293.0,43.0,281.2,186.2,215.4,91.2,0.0,201.4,106.2,225.9,128.0,208.6,229.5,177.4,105.8,57.4,224.7,112.8,66.6,137.4,276.2,31.1,91.9,199.3,136.4,153.4,307.0,174.7,1996.4,97.0,17.2,210.4,312.4,81.9,122.8,212.8,158.4,281.3,124.4,137.1,123.2,178.2,203.2,233.2,115.3,137.5,225.0,273.9,133.8,265.2,168.8,121.0,66.2,204.3,138.8,285.8,201.9,164.7,288.8,263.7,84.1,160.5,104.7,117.9,153.6,274.0,176.8,121.1,158.9,218.5,154.9,204.6,233.0
GB,188.7,129.4,80.8,127.3,293.2,101.4,111.7,101.2,132.1,118.3,120.1,169.6,15.7,140.5,68.0,121.7,148.0,79.1,91.5,173.2,137.5,293.2,138.2,215.2,205.4,0.0,110.8,306.5,161.8,210.1,28.0,188.5,202.4,169.8,23.2,113.3,161.0,198.0,80.0,236.6,185.9,203.3,123.7,168.9,105.5,287.0,2052.4,217.0,217.3,153.8,161.6,206.7,101.7,34.1,190.2,285.3,246.6,59.0,178.5,308.5,144.7,107.8,159.2,164.7,52.1,75.4,184.3,127.1,248.4,241.5,226.4,315.2,101.2,122.6,163.1,215.2,87.3,62.2,175.2,117.4,135.6,150.9,135.7,110.8,161.6,217.9,274.9,179.7,271.1,25.9,122.9
GE,77.8,80.4,139.7,64.9,241.7,52.4,131.6,109.3,210.5,178.7,198.5,150.9,90.0,104.0,44.7,220.5,111.5,113.2,196.4,86.7,203.5,247.8,145.3,104.3,104.2,104.8,0.0,250.2,83.7,227.9,132.9,219.7,149.5,106.4,128.1,45.3,115.6,142.7,184.9,140.7,140.5,223.2,138.4,114.4,210.4,232.2,2025.6,174.7,121.4,166.1,240.0,95.0,35.3,116.2,177.7,305.2,194.0,78.9,123.2,257.0,95.7,143.0,92.8,93.2,134.2,177.3,89.5,187.5,193.1,199.8,148.3,259.9,121.1,190.3,157.6,120.4,192.2,167.1,129.8,116.2,80.3,93.5,155.6,178.5,180.7,164.8,237.7,177.1,225.7,108.0,160.6
GT,248.9,306.1,339.3,196.0,87.4,257.4,210.8,335.0,387.9,396.3,416.1,322.0,304.1,256.6,270.4,434.6,269.8,237.1,389.8,197.8,421.1,32.0,355.3,199.3,224.7,321.3,229.4,0.0,291.5,192.4,326.3,127.4,143.0,177.5,321.5,192.4,175.8,98.0,378.3,204.8,175.1,170.0,181.3,304.0,424.5,52.9,1904.7,135.1,224.1,352.7,355.3,207.8,224.7,330.3,142.9,234.9,102.4,259.9,138.2,72.1,321.4,336.4,229.9,321.7,327.6,391.4,293.6,384.4,74.8,96.2,165.4,32.8,197.7,404.4,328.7,257.5,385.6,360.5,161.6,300.4,160.4,165.8,195.0,392.6,145.2,128.1,67.2,358.4,80.7,322.1,357.5
HP,93.7,30.5,90.5,124.1,250.9,58.5,170.8,60.1,161.3,129.5,149.3,101.8,129.2,54.9,83.9,170.1,62.4,138.2,207.8,102.6,154.3,263.7,96.1,120.2,125.4,144.0,63.1,295.8,0.0,264.2,172.1,247.6,165.4,122.3,167.3,108.5,131.5,202.3,219.3,156.6,156.4,262.4,182.8,65.3,210.9,240.3,2062.0,174.7,137.3,117.0,190.8,111.7,98.5,128.8,218.7,344.4,212.4,118.1,182.8,266.2,75.1,129.6,116.9,19.7,116.1,170.6,22.4,138.3,251.4,199.2,148.9,287.1,160.3,176.9,108.5,53.3,229.1,206.3,145.7,67.1,143.5,158.8,194.8,165.1,220.7,180.9,230.4,128.0,241.6,134.5,111.4
IH,213.3,233.0,251.1,155.7,195.7,205.0,96.4,261.9,321.5,307.7,305.5,347.8,193.7,300.4,171.6,320.2,292.9,122.7,300.1,162.2,332.5,219.5,288.8,243.1,193.1,208.5,209.8,186.4,265.4,0.0,236.6,76.7,112.0,145.9,227.8,176.8,168.0,105.7,288.6,227.9,196.9,91.5,91.6,307.3,314.1,153.2,1954.1,160.1,210.3,324.1,347.0,234.5,188.4,219.9,60.8,173.5,125.5,145.5,109.2,211.0,248.3,242.7,193.6,254.4,237.9,281.0,286.4,312.5,129.3,153.8,193.2,191.4,104.0,294.0,333.4,306.0,291.9,270.8,184.2,287.7,144.8,131.6,83.5,282.2,77.8,97.3,191.7,332.2,240.8,211.7,307.7
IJ,227.2,188.2,128.8,165.8,331.7,139.9,150.2,148.6,104.0,90.2,92.0,178.3,54.2,188.5,106.5,121.4,196.0,117.6,91.2,211.7,115.0,331.7,110.1,253.7,243.9,38.4,149.3,344.0,212.2,248.6,0.0,227.0,240.9,208.3,22.9,150.2,199.5,236.5,79.7,302.5,224.4,241.8,162.2,216.9,79.3,325.5,2090.9,255.5,255.8,166.8,133.5,245.2,140.2,72.6,228.7,323.8,285.1,97.5,217.0,347.0,212.1,79.7,197.7,223.5,108.9,47.3,238.0,99.0,286.9,280.0,288.4,353.7,139.7,94.5,171.8,268.9,61.1,61.9,213.7,165.4,174.1,189.4,174.2,82.7,200.1,256.4,313.4,151.6,309.6,64.4,94.8
IV,187.6,214.8,232.6,151.5,128.2,186.8,81.9,243.4,303.3,289.2,291.3,298.3,175.5,232.9,153.1,305.7,225.4,108.5,281.6,136.5,314.0,165.3,270.6,175.3,163.4,190.3,195.9,132.2,246.9,70.3,218.4,0.0,81.7,116.5,213.6,168.3,142.3,75.7,270.4,160.4,136.8,14.7,76.8,259.3,295.9,144.7,1863.5,90.4,180.9,305.6,332.5,184.9,179.9,201.4,30.4,96.7,57.7,131.0,94.9,143.2,229.8,228.2,191.6,235.9,219.4,262.8,256.7,298.0,74.8,86.0,120.7,141.9,89.5,275.8,314.9,233.8,277.7,252.3,154.8,269.5,137.8,122.8,58.6,264.0,29.8,67.1,109.6,316.9,179.8,193.2,293.5
JD,105.8,199.7,240.5,102.2,88.3,180.7,95.4,229.3,309.8,297.5,304.5,236.3,188.7,189.4,166.6,325.3,196.9,121.7,295.1,54.7,322.3,131.0,264.1,132.3,86.9,203.5,152.6,141.6,169.1,98.7,231.6,95.1,0.0,34.4,226.8,115.7,60.5,47.0,283.6,118.1,85.4,109.9,86.6,199.8,309.1,105.1,1918.4,73.8,98.8,251.5,346.0,123.8,127.3,214.9,53.2,191.9,67.8,144.5,66.5,103.6,224.0,241.7,138.7,188.9,232.9,279.0,174.9,306.3,85.9,39.1,99.1,132.9,103.0,289.0,243.0,205.8,290.9,265.8,74.7,201.6,83.7,68.4,105.3,277.2,76.2,15.4,70.0,262.5,153.1,206.7,279.4
JG,71.3,165.2,206.0,68.2,135.2,150.3,87.7,194.8,275.3,263.0,276.5,201.8,160.7,154.9,138.6,291.2,162.4,93.7,267.1,20.2,287.8,158.2,229.6,97.8,52.4,175.5,118.1,186.1,134.6,145.8,203.6,138.2,43.0,0.0,198.8,85.3,26.0,79.9,255.6,83.6,50.9,153.0,78.9,165.3,281.1,152.0,1961.5,85.1,64.3,217.0,318.0,88.5,96.9,186.9,96.3,235.0,114.7,116.5,60.4,150.5,193.6,213.7,108.3,144.1,204.9,248.0,140.4,271.8,129.0,93.3,91.4,179.8,95.3,261.0,208.5,171.3,262.9,237.8,40.2,167.1,76.0,60.7,90.8,249.2,119.3,58.5,131.2,225.1,132.2,178.7,244.9
KG,210.9,151.6,103.0,153.5,315.4,123.6,133.9,123.4,135.5,121.7,123.5,191.8,37.9,162.7,90.2,92.3,170.2,101.3,68.2,195.4,114.2,315.4,140.7,237.4,227.6,22.1,133.0,327.7,184.0,232.3,31.4,210.7,224.6,192.0,0.0,133.9,183.2,220.2,56.7,258.8,208.1,225.5,140.7,191.1,82.2,309.2,2074.6,242.3,239.5,176.0,158.2,228.9,123.9,56.3,212.8,307.5,268.8,81.2,200.7,330.7,166.9,111.2,181.4,186.9,74.3,75.8,206.5,130.2,270.6,273.5,248.6,337.4,123.4,110.7,185.3,237.4,64.0,38.9,195.4,139.6,157.8,171.0,157.9,119.7,183.8,240.1,297.1,184.1,289.4,48.1,126.3
KK,102.8,91.3,152.2,17.9,208.9,64.9,97.5,120.2,221.4,189.6,209.4,186.3,100.9,139.4,57.2,233.0,146.9,66.2,208.9,88.9,216.0,208.9,148.6,129.3,121.1,115.7,35.3,204.8,120.7,176.9,145.4,172.7,117.2,85.5,139.0,0.0,76.7,97.3,195.8,152.3,101.6,187.5,112.7,149.8,221.3,202.7,1978.6,135.8,133.0,201.5,250.9,120.8,9.9,128.7,130.7,269.5,147.0,89.0,76.2,224.2,106.6,153.9,41.2,112.7,145.1,192.8,124.9,200.0,146.1,168.6,142.1,212.9,85.4,201.2,193.0,155.8,203.1,178.0,88.9,153.2,33.3,48.1,121.5,189.4,154.4,132.5,192.2,209.6,186.8,120.5,171.5
