from_stop,AA,AE,AK,AL,AN,AU,BB,BJ,BU,CU,DN,DX,EB,ER,EY,FA,FL,FM,FS,FV,GA,GK,GL,GM,GZ,HE,HO,IB,IF,II,IJ,IS,IW,IY,JT,KF,KJ,KY,LD,LP,MH,NA,NF,NH,NL,NQ,NR,OL,OQ,OS,OV,OZ,PJ,PM,PO,PZ,QC,QM,QN,QZ,RD,RG,RH,RJ,RS,RU,SE,SQ,SS,ST,SW,SX,SY,SZ,TG,TH,TY,UC,UD,UI,UP,UR,VA,VC,VJ,VL,VO,VR,VY,WA,WB,WH,WK,XA,XE,XF,XJ,XR,XS,XW,XX,XY,YE,YP,ZP,ZU
DN,271.5,58.7,73.0,205.5,205.8,337.3,376.6,1990.8,62.4,89.3,0.0,65.6,75.9,287.5,277.6,215.5,247.3,266.4,76.2,182.1,311.7,121.8,21.5,205.9,256.5,153.6,88.3,78.2,90.2,263.0,329.2,308.1,91.3,1.5,162.8,88.6,159.6,135.6,253.8,328.0,392.8,182.9,237.9,312.2,209.1,68.4,35.0,318.9,333.5,361.3,213.2,65.8,97.3,240.7,118.3,143.1,134.1,284.9,356.2,85.1,215.0,150.8,375.4,118.1,356.9,73.1,75.0,266.0,313.4,303.7,267.8,200.4,140.0,182.5,30.4,107.1,117.9,230.2,249.6,258.2,125.8,191.8,154.1,304.6,65.0,361.2,65.6,163.7,68.4,209.7,273.9,228.7,202.5,75.9,41.6,168.8,342.5,184.4,352.8,365.2,225.8,103.0,95.2,238.0,97.2,179.8
DX,246.4,85.3,50.6,191.9,203.8,312.2,354.3,2004.6,84.3,57.7,45.6,0.0,89.7,273.9,253.6,191.9,222.2,241.3,115.8,168.5,286.6,108.2,67.2,190.1,231.4,152.9,100.3,99.8,60.1,237.9,319.7,283.0,49.7,44.1,139.2,107.7,158.9,127.2,228.7,302.0,367.7,169.3,212.8,287.1,185.5,26.8,66.8,286.4,308.4,336.2,195.8,63.6,114.4,215.9,132.1,164.7,101.4,259.8,331.1,98.9,218.5,137.2,350.3,93.0,331.8,94.7,104.5,240.9,288.3,278.6,254.2,176.8,114.9,168.9,62.2,65.5,131.7,205.1,225.2,244.6,84.2,178.2,175.7,279.5,104.6,336.1,33.9,150.1,22.2,186.1,248.8,204.2,206.0,10.3,72.0,159.0,317.4,134.4,327.7,340.1,200.7,61.4,109.0,224.4,65.6,161.5
EB,311.2,117.9,121.2,233.1,245.0,371.3,427.6,1954.2,77.4,116.9,94.9,109.7,0.0,315.1,322.1,259.6,295.5,314.6,121.8,209.7,359.9,149.4,73.7,223.0,304.7,170.7,55.8,28.3,127.8,311.2,375.0,356.3,135.4,94.4,206.9,77.5,176.7,152.7,293.5,361.1,441.0,221.8,286.1,351.9,253.2,112.5,97.1,345.5,370.4,409.5,230.3,36.0,104.2,284.4,125.2,98.9,174.2,321.4,404.4,9.1,232.1,178.4,423.6,165.8,405.1,64.5,137.1,305.7,360.2,343.4,295.4,244.5,187.7,210.1,92.5,151.2,87.2,278.4,293.7,285.8,169.9,219.4,109.9,338.6,110.6,395.2,119.6,191.3,96.0,240.2,322.1,272.7,219.6,107.9,103.7,185.9,376.5,201.5,401.0,413.4,274.0,147.1,19.2,265.6,144.7,209.5
ER,82.9,252.5,217.8,151.3,137.1,86.9,129.0,2149.9,264.9,260.2,280.9,255.8,320.6,0.0,143.2,88.5,145.3,156.4,300.3,152.2,61.3,257.1,272.2,188.3,72.3,296.2,342.0,284.3,240.4,98.8,122.0,143.9,234.9,279.4,149.0,292.2,302.2,276.1,65.2,76.7,142.4,180.4,135.9,88.7,104.9,228.9,245.8,61.1,67.4,110.9,179.5,315.4,282.1,106.4,299.8,349.2,229.0,62.5,105.8,311.4,179.6,146.4,125.0,220.6,106.5,279.2,271.7,77.4,45.0,97.2,19.6,113.6,242.5,116.4,250.4,250.7,343.9,128.2,115.7,55.8,269.4,154.7,360.2,54.2,289.1,109.3,221.8,161.2,259.3,117.8,89.7,94.7,192.1,266.1,239.2,266.8,81.8,191.8,102.4,114.8,155.0,246.6,302.9,77.1,289.1,165.2
EY,70.2,237.4,202.7,178.1,152.7,120.9,186.0,2182.1,249.8,298.1,265.4,240.3,311.9,151.5,0.0,72.0,25.2,13.1,327.1,162.0,155.6,283.9,287.4,195.7,82.8,315.6,331.8,311.1,229.0,53.2,134.0,52.6,219.8,263.9,115.9,330.8,321.6,315.2,87.9,130.6,237.1,210.3,35.4,58.5,75.1,213.4,230.3,146.2,80.5,201.3,189.3,299.4,257.2,47.2,230.1,376.0,197.1,108.0,145.9,321.1,210.7,171.8,219.7,205.1,200.8,317.4,220.6,75.7,112.9,48.3,170.8,81.4,192.3,152.5,232.5,213.2,362.8,43.6,37.9,142.5,196.8,124.9,387.0,148.9,315.9,144.8,213.2,193.9,262.5,100.9,99.8,58.8,223.2,250.6,223.7,302.0,105.6,227.2,197.8,209.5,45.3,217.3,331.2,113.7,324.6,132.1
FA,73.2,188.8,154.1,106.4,92.2,139.0,181.1,2110.0,201.2,215.3,213.6,190.0,257.7,108.9,62.4,0.0,81.6,75.6,255.4,116.9,113.4,212.2,235.2,153.0,58.2,253.5,268.3,239.4,169.5,64.7,168.2,105.0,171.2,212.1,84.3,247.3,259.5,231.2,55.5,128.8,194.5,135.5,72.2,108.8,41.2,165.2,182.1,113.2,130.1,163.0,144.2,231.6,218.4,24.7,236.1,304.3,165.3,86.6,157.9,266.9,138.6,101.5,177.1,156.9,158.6,234.3,208.0,67.7,115.1,100.3,128.6,49.9,178.8,71.5,186.7,187.0,299.7,64.5,34.0,99.9,205.7,73.9,315.3,106.3,244.2,162.9,158.1,116.3,212.2,29.2,75.6,13.0,151.1,200.3,175.5,221.9,144.2,146.9,154.5,166.9,91.3,182.9,258.0,87.4,244.2,86.6
FL,104.8,215.4,180.7,158.2,164.5,155.5,218.2,2203.6,227.8,276.5,243.8,218.7,290.3,148.1,34.5,84.0,0.0,19.0,320.1,158.4,152.6,264.0,265.4,194.5,97.4,312.0,312.0,291.2,203.3,87.8,168.8,87.6,197.8,242.3,111.9,308.8,318.0,283.0,94.7,165.6,233.7,191.1,10.1,91.4,49.8,191.8,208.7,152.4,112.7,202.2,185.7,275.3,241.7,81.8,247.4,356.1,191.9,125.8,180.9,299.5,201.0,153.3,216.3,183.5,197.8,295.8,234.6,106.9,145.1,82.9,167.8,58.5,205.4,129.6,213.3,213.6,343.4,18.3,72.9,139.1,213.7,99.6,367.1,145.5,308.9,179.4,184.7,171.9,240.9,113.3,114.8,70.2,211.6,229.0,202.1,273.7,140.2,205.6,193.7,206.1,53.6,209.5,309.6,126.6,305.4,128.1
FM,83.4,223.8,189.1,200.9,177.5,134.1,196.8,2195.3,236.2,284.9,252.2,227.1,298.7,164.7,13.1,85.2,29.7,0.0,328.5,148.8,169.2,271.7,273.8,184.9,96.0,302.4,318.2,298.9,211.7,66.4,147.4,66.2,206.2,250.7,102.3,317.2,308.4,304.4,101.1,144.2,250.3,199.5,39.9,70.0,79.6,200.2,217.1,159.8,91.3,214.9,176.1,281.5,248.7,60.8,228.3,363.8,200.3,121.2,159.5,307.9,216.1,161.0,232.9,191.9,214.4,304.2,218.8,88.9,123.7,61.5,184.4,88.3,190.1,159.4,221.7,211.4,349.6,48.1,51.5,155.7,194.6,129.4,374.8,162.1,317.3,158.0,193.1,180.3,249.3,114.5,113.4,72.5,226.7,237.4,210.5,288.8,118.8,214.0,210.3,222.7,34.5,215.1,318.0,126.9,292.8,118.5
FS,308.8,130.4,147.6,161.7,186.7,330.4,360.8,1927.9,132.7,80.2,74.5,115.8,119.7,302.0,328.9,268.1,312.2,318.1,0.0,155.7,309.5,78.3,53.3,129.6,316.2,77.3,139.7,83.4,130.7,327.9,395.5,373.0,165.6,76.0,203.0,81.1,83.3,59.3,291.1,320.2,395.0,128.4,302.8,347.4,266.8,142.7,109.6,304.6,357.3,341.2,136.9,129.8,171.0,292.9,192.0,146.9,208.7,308.3,331.2,110.5,138.7,176.0,377.6,192.7,320.5,78.3,149.6,303.3,347.1,341.0,282.3,258.1,214.6,199.9,105.0,181.4,143.0,295.1,302.2,272.7,200.1,217.0,135.9,297.7,11.2,354.3,139.9,148.5,93.6,237.8,333.6,281.3,126.2,105.5,116.2,92.5,335.6,108.1,337.7,367.4,272.7,177.3,102.0,263.2,72.3,184.6
FV,148.5,224.1,197.7,52.0,103.6,208.6,268.7,2067.9,219.9,135.0,168.2,156.3,195.4,152.4,175.5,117.9,156.4,162.3,175.1,0.0,201.0,131.9,147.0,36.0,165.6,153.5,216.8,159.1,142.1,172.1,259.2,217.2,206.1,169.7,47.2,167.0,159.5,150.9,130.8,198.4,282.1,55.2,147.0,189.2,111.5,183.2,203.3,182.8,207.7,250.6,27.2,212.5,250.0,142.7,267.7,224.0,208.9,158.7,259.7,186.2,67.2,21.2,264.7,200.5,249.0,154.0,243.3,143.0,197.5,180.7,132.7,102.8,222.4,47.4,198.7,221.9,218.7,139.3,152.0,123.1,240.6,56.7,235.0,175.9,163.9,232.5,190.3,36.0,134.1,77.5,183.0,131.0,77.8,146.0,209.9,139.9,213.8,66.6,242.1,254.5,116.9,217.8,177.7,102.9,163.9,28.8
GA,91.7,264.2,226.6,181.3,155.5,64.9,64.8,2152.1,273.7,290.2,289.7,264.6,336.2,45.6,152.0,97.3,154.1,165.2,330.3,182.2,0.0,287.1,302.2,218.3,81.1,298.4,360.9,314.3,255.7,107.6,119.8,152.7,243.7,288.2,157.8,322.2,304.4,300.4,74.0,54.7,81.0,210.4,144.7,112.5,113.7,237.7,254.6,46.5,94.2,49.5,209.5,326.1,290.9,115.2,308.6,379.2,245.4,71.3,44.4,341.4,181.8,176.4,63.6,229.4,45.1,309.2,280.5,86.2,71.8,121.0,65.3,122.4,251.3,146.4,259.2,259.5,373.9,137.0,124.5,64.6,278.2,163.5,390.2,32.2,317.2,88.8,237.5,191.4,286.8,126.6,98.5,103.6,194.3,274.9,248.0,284.8,70.1,221.8,41.0,53.4,163.8,255.4,332.9,85.9,298.1,174.0
GK,265.6,176.0,150.9,147.0,160.4,315.7,348.9,1977.0,171.8,86.9,120.1,108.2,147.3,269.5,287.4,224.9,270.7,289.8,98.3,141.0,294.8,0.0,98.9,114.9,273.0,44.6,168.7,111.0,76.0,289.7,375.6,330.0,158.0,121.6,182.3,118.9,50.6,18.9,247.9,305.5,380.3,113.7,261.3,306.3,223.6,135.1,155.2,289.9,324.8,330.8,122.2,157.8,201.9,249.7,219.6,175.9,144.1,275.8,316.5,138.1,124.0,132.8,362.9,135.7,305.8,105.9,195.2,260.1,314.6,297.8,249.8,214.9,157.6,164.5,150.6,173.8,170.6,253.6,259.0,240.2,192.5,173.8,185.0,283.0,109.5,339.6,142.2,134.1,86.0,194.6,290.4,238.0,111.5,97.9,161.8,77.8,320.9,93.4,322.3,352.7,252.0,169.7,129.6,220.0,91.4,163.9
GL,262.0,83.1,94.2,183.9,184.2,322.1,379.4,1976.8,80.2,67.7,21.1,69.0,92.9,265.9,283.4,221.3,267.1,286.2,54.6,160.5,314.5,100.2,0.0,184.3,269.4,132.0,107.7,56.6,83.9,284.2,350.4,326.4,112.5,22.6,178.7,64.5,138.0,114.0,244.3,312.8,395.6,161.3,257.7,304.8,220.0,89.6,56.2,296.3,321.2,362.2,191.6,87.0,121.8,246.2,139.5,121.5,155.3,272.2,359.0,83.7,193.4,129.2,378.2,139.3,154.2,51.5,96.2,256.5,311.0,294.2,246.2,211.3,161.2,160.9,51.6,128.3,116.2,250.0,255.4,236.6,147.0,170.2,132.5,289.4,41.5,346.0,86.8,142.3,46.8,191.0,286.8,234.5,180.9,58.7,62.8,147.2,327.3,162.8,356.4,368.0,247.0,124.2,75.2,216.4,96.6,160.3
GM,174.6,256.3,223.8,32.0,95.2,238.9,269.3,2031.8,234.5,161.1,194.3,182.4,221.5,178.5,201.6,144.0,182.5,188.4,153.1,26.0,218.0,138.4,173.1,0.0,191.7,117.4,241.5,185.2,161.7,198.2,285.1,243.3,232.2,195.8,73.3,185.0,123.4,119.4,156.9,228.7,303.5,31.0,173.1,216.2,137.6,209.3,229.4,220.5,233.8,249.7,7.2,231.6,272.8,168.8,293.8,250.1,242.6,184.8,239.7,212.3,47.2,47.3,286.1,226.6,101.0,180.1,269.4,169.1,223.6,206.8,158.8,128.9,248.5,73.5,224.8,248.0,244.8,165.4,178.1,149.2,266.7,82.8,239.8,206.2,164.3,262.8,206.5,51.1,160.2,103.6,209.1,157.2,57.8,172.1,236.0,103.8,244.1,92.7,245.5,275.9,143.0,243.9,203.8,129.0,167.2,52.8
GZ,58.0,203.2,168.5,145.7,131.5,123.8,165.9,2149.3,215.6,264.3,231.6,206.5,278.1,93.7,76.4,39.2,96.0,89.6,307.9,146.2,98.2,251.5,253.2,182.3,0.0,299.8,302.8,278.7,191.1,31.5,161.1,76.6,185.6,230.1,99.7,296.6,305.8,270.5,40.3,113.6,179.3,178.9,86.6,98.4,55.6,179.6,196.5,98.0,119.7,147.8,173.5,266.1,232.8,57.1,250.5,343.6,179.7,71.4,142.7,287.3,177.9,140.8,161.9,171.3,143.4,283.6,222.4,52.5,99.9,89.9,113.4,64.3,193.2,110.8,201.1,201.4,334.2,78.9,66.4,84.7,220.1,105.4,354.6,91.1,296.7,147.7,172.5,159.7,228.7,68.5,17.3,45.4,190.4,216.8,189.9,261.2,129.0,193.4,139.3,151.7,105.7,197.3,297.4,72.2,293.2,115.9
HE,287.6,206.8,194.6,145.0,158.4,313.7,346.9,1955.0,190.2,98.3,150.9,151.9,167.6,285.3,314.6,257.0,295.5,301.4,76.3,139.0,292.8,43.6,129.7,112.9,304.7,0.0,205.1,147.4,119.7,311.2,378.8,356.3,201.7,152.4,186.3,108.2,6.0,24.6,269.9,303.5,378.3,111.7,286.1,332.8,250.6,178.8,186.0,287.9,340.6,328.8,120.2,187.5,217.0,281.8,238.0,174.0,187.8,291.6,314.5,158.4,122.0,160.3,360.9,179.4,303.8,121.2,226.0,282.1,330.4,319.8,265.6,241.9,201.3,183.2,181.4,217.5,207.0,278.4,291.1,256.0,236.2,195.8,163.0,281.0,87.5,337.6,185.9,132.1,129.7,216.6,322.1,270.1,109.5,141.6,192.6,75.8,318.9,91.4,320.3,350.7,256.0,213.4,149.9,242.0,69.4,167.9
HO,336.0,134.2,144.7,256.1,256.4,396.1,448.8,1938.5,76.1,139.9,106.1,119.9,75.1,339.9,334.7,269.8,310.5,329.6,144.8,234.5,382.5,174.2,96.7,262.1,327.3,211.6,0.0,53.1,144.5,333.8,401.7,376.3,145.6,104.6,217.1,104.8,217.6,193.2,318.3,386.8,463.6,233.5,301.1,378.8,263.4,122.7,107.3,377.7,393.4,427.8,271.2,65.3,114.4,294.5,129.0,89.9,192.0,346.2,427.0,65.9,273.0,201.4,446.2,176.0,233.8,89.3,148.8,330.5,384.2,368.2,320.2,256.1,197.9,234.9,102.7,161.4,65.6,293.4,303.9,310.6,180.1,244.2,100.9,361.6,133.5,420.0,124.3,216.3,120.8,264.0,344.7,283.0,260.5,130.2,113.9,225.0,401.3,242.4,424.4,436.0,288.2,157.3,57.4,288.6,168.8,232.2
IB,282.8,122.4,139.1,204.7,216.6,342.9,403.0,1920.1,82.0,88.5,66.5,89.8,36.2,286.7,304.6,242.1,287.9,307.0,93.4,181.3,335.3,121.0,45.3,206.9,290.2,154.6,57.6,0.0,111.2,306.9,392.8,347.2,139.6,68.0,199.5,49.1,160.6,136.6,265.1,332.7,416.4,182.1,278.5,323.5,240.8,116.7,101.6,317.1,342.0,384.9,214.2,72.3,112.1,266.9,129.8,64.8,179.3,293.0,379.8,27.0,216.0,150.0,399.0,170.9,380.5,36.1,141.6,277.3,331.8,315.0,267.0,232.1,192.8,181.7,97.0,155.4,59.5,270.8,276.2,257.4,174.1,191.0,75.8,310.2,82.2,366.8,123.8,162.9,67.6,211.8,307.6,255.2,203.5,79.5,108.2,169.8,348.1,185.4,376.4,388.8,269.2,151.3,18.5,237.2,96.4,181.1
IF,237.5,112.2,81.3,171.2,171.5,303.3,342.6,2029.2,97.4,90.6,70.2,46.6,114.3,253.2,240.4,177.9,213.3,232.4,130.7,147.8,277.7,69.5,91.8,169.4,222.5,114.2,126.7,114.7,0.0,229.0,314.1,274.1,92.3,68.7,125.2,122.6,120.2,88.5,219.8,294.0,358.8,148.6,203.9,278.2,171.5,69.4,91.4,284.9,299.5,323.0,175.1,104.2,139.0,202.7,150.3,179.6,82.1,250.9,322.2,123.5,193.6,116.5,341.4,66.1,322.9,109.6,132.9,232.0,279.4,269.7,233.5,162.8,88.0,148.2,86.8,108.1,156.3,196.2,212.0,223.9,126.8,157.5,190.6,270.6,117.6,327.2,66.6,129.4,68.8,172.1,239.9,191.1,181.1,56.9,98.0,138.3,308.5,113.7,319.6,331.2,191.8,104.0,133.3,203.7,98.5,145.5
II,62.5,227.7,193.0,178.8,164.6,128.3,170.4,2173.8,240.1,287.7,256.1,231.0,302.6,98.2,44.8,63.7,70.1,58.0,327.8,170.7,102.7,284.6,277.7,206.8,29.5,324.3,327.3,311.8,215.6,0.0,129.5,45.0,210.1,254.6,124.2,319.7,330.3,303.6,44.8,118.1,183.8,203.4,80.3,66.8,80.1,204.1,221.0,102.5,88.1,152.3,198.0,290.6,257.3,62.0,242.6,376.7,204.2,75.9,147.2,311.8,211.0,173.9,166.4,195.8,147.9,306.7,233.1,57.0,104.4,58.3,117.9,88.8,204.4,143.9,225.6,225.7,358.7,88.5,52.7,89.2,208.9,129.9,387.7,95.6,316.6,152.2,197.0,184.2,253.2,93.0,46.9,69.9,223.5,241.3,214.4,294.3,115.6,217.9,143.8,156.2,92.6,221.8,321.9,76.7,295.6,140.4
