from_stop,AU,BC,BK,BS,CH,DM,DQ,DS,EC,EF,EU,FD,FK,FU,GB,GO,GU,GY,GZ,HA,HB,HJ,HU,HW,IF,IP,IX,JN,JZ,KS,KZ,LD,MI,MJ,OD,ON,QI,QN,RO,SF,SK,SS,SW,UC,UF,UG,UI,UR,VD,VH,VL,VX,WO,WV,WY,XH,XK,XP,YA,YJ,YS,ZL,ZN,ZO,ZV
EU,8.7,44.0,180.1,78.1,42.5,135.5,278.2,269.1,160.0,219.5,0.0,134.3,103.1,96.6,87.2,225.1,107.8,123.6,165.3,84.3,134.6,2319.2,289.3,300.9,203.8,161.4,75.1,172.2,266.4,151.7,241.1,272.7,261.4,249.9,68.1,208.9,167.6,276.7,86.4,30.9,70.2,118.1,96.2,201.9,104.8,69.3,147.8,90.1,200.4,93.8,256.6,225.5,185.1,240.8,99.0,160.2,122.3,228.1,126.1,257.7,211.8,86.5,243.1,108.3,21.8
FD,108.4,88.5,213.2,200.2,115.7,237.9,267.1,251.9,246.0,96.8,129.4,0.0,122.6,149.5,105.2,168.5,127.3,10.9,46.6,55.7,220.6,2298.0,256.0,328.4,277.0,231.7,134.3,221.1,295.7,222.0,268.6,305.2,204.8,274.7,172.2,74.3,253.6,291.7,75.1,98.5,135.9,91.0,183.3,252.4,104.3,170.4,89.2,71.4,65.8,196.2,285.9,207.7,85.4,184.2,43.4,225.4,63.7,260.6,67.5,236.4,244.3,88.0,186.5,53.2,143.9
FK,128.3,148.8,235.6,97.5,79.6,191.0,333.7,324.6,215.5,161.9,107.3,133.4,0.0,154.1,11.3,298.3,4.7,122.5,171.2,98.9,192.2,2396.3,344.8,356.4,263.4,216.9,130.6,227.7,321.9,207.2,296.6,328.2,336.6,300.9,123.6,151.3,223.1,320.5,134.4,138.2,87.3,43.7,151.7,257.4,30.4,124.8,90.2,138.1,142.8,149.3,312.1,294.8,215.2,314.0,89.9,223.4,102.0,283.6,68.5,340.1,267.3,57.4,316.3,156.3,95.3
FU,96.1,81.3,137.7,101.0,85.8,103.5,245.6,217.5,128.0,240.8,75.1,158.5,146.4,0.0,130.5,193.0,151.1,142.9,177.0,105.6,102.6,2277.6,234.5,268.9,175.9,129.4,60.8,140.8,234.4,121.7,211.1,240.7,217.3,213.4,36.1,228.2,137.6,233.0,107.7,96.2,113.5,161.4,66.2,169.9,148.1,77.0,169.1,109.4,221.7,61.8,224.6,169.8,217.5,205.8,139.3,128.2,143.6,196.1,145.4,202.0,179.8,129.8,209.0,129.6,83.1
GB,130.6,135.9,237.9,110.1,83.4,193.3,337.5,328.4,217.8,149.0,111.1,128.9,11.0,154.4,0.0,285.4,17.2,118.0,153.5,86.0,196.0,2359.1,347.1,360.2,265.7,226.7,134.4,230.0,325.7,211.0,298.9,330.5,323.7,303.2,136.3,138.4,226.9,324.3,124.3,128.8,89.6,30.9,154.0,259.7,17.5,128.6,77.3,128.0,129.9,151.6,315.9,297.1,202.3,298.2,91.7,227.2,89.1,285.9,55.6,331.6,269.6,61.2,303.4,146.2,97.6
GO,257.3,234.5,164.9,322.7,293.3,273.4,123.2,105.0,136.0,235.0,278.3,206.6,353.9,225.8,338.0,0.0,358.6,296.1,196.7,256.8,159.6,2151.8,112.1,159.8,171.5,220.9,250.0,170.5,143.3,211.2,100.0,170.1,60.9,126.8,224.8,224.4,185.9,147.8,258.9,247.4,321.0,322.1,198.0,98.3,335.4,282.5,227.2,262.6,215.9,231.7,133.5,94.8,233.7,15.6,292.5,158.5,294.8,143.4,298.6,89.5,127.1,337.1,42.6,187.1,290.6
GU,121.0,153.8,240.6,92.8,84.6,196.0,338.7,329.6,220.5,166.9,112.3,135.5,4.9,157.1,17.8,303.3,0.0,124.8,176.2,103.9,195.1,2391.6,349.8,361.4,264.3,221.9,135.6,232.7,326.9,212.2,301.6,333.2,339.6,310.4,128.6,156.3,228.1,337.2,139.4,143.2,92.3,48.7,156.7,262.4,35.4,129.8,95.2,143.1,147.8,154.3,317.1,299.8,220.2,319.0,94.9,220.7,107.0,288.6,73.5,345.1,272.3,62.4,321.3,161.3,100.3
GY,97.5,92.0,224.1,186.6,102.1,226.0,280.7,265.5,250.5,107.7,115.8,10.9,109.0,136.3,91.6,182.1,113.7,0.0,57.5,42.1,227.2,2311.6,266.9,342.0,290.6,251.3,124.1,232.0,309.3,235.6,283.3,316.1,220.4,288.3,165.4,87.9,258.1,293.6,80.4,84.9,125.0,77.4,186.7,266.0,90.7,159.8,75.6,84.1,79.4,187.0,299.5,218.6,99.0,194.9,29.8,235.6,50.1,274.2,53.9,250.0,257.9,74.4,200.1,66.8,130.3
GZ,122.5,98.6,223.3,221.7,140.0,248.0,277.2,262.0,256.1,84.5,143.5,43.7,126.1,161.6,113.5,178.6,130.8,57.3,0.0,99.5,232.8,2238.7,266.1,338.5,280.0,241.8,144.4,231.2,305.8,232.1,282.5,315.3,216.9,284.8,188.7,49.6,263.7,290.1,85.2,112.6,164.6,82.6,193.4,262.5,95.9,180.5,32.4,81.5,41.1,206.3,296.0,217.8,95.5,194.3,87.2,243.2,112.6,270.7,57.1,246.5,254.4,131.8,196.6,63.3,165.4
HA,64.9,49.8,181.2,151.8,59.9,191.4,289.1,261.0,224.2,135.1,73.6,49.9,108.7,96.1,96.1,221.4,113.4,39.2,128.4,0.0,198.8,2350.9,278.0,333.8,267.1,210.3,81.9,189.1,304.8,200.6,274.0,310.8,257.7,288.3,132.3,124.5,225.0,313.7,38.2,42.7,84.5,65.2,160.4,258.0,78.5,118.0,63.4,41.9,116.0,149.7,295.0,213.3,138.3,237.1,35.6,201.1,37.9,266.2,41.7,245.5,249.9,80.2,239.4,60.1,95.5
HB,131.6,167.0,43.3,163.3,133.6,113.7,143.5,134.4,23.2,329.5,122.9,233.6,194.2,96.5,176.8,176.6,198.9,222.7,248.9,198.1,0.0,2269.5,152.5,166.2,71.1,67.2,108.6,35.4,131.7,51.5,104.3,135.9,179.5,108.6,92.8,316.8,32.9,130.3,188.4,153.8,161.3,209.2,40.4,65.1,195.9,122.8,255.7,192.1,308.3,72.0,121.9,104.6,300.2,163.8,190.1,33.2,236.1,91.3,234.0,147.8,75.0,177.6,199.8,210.3,130.9
HJ,2153.1,2129.2,2158.9,2196.9,2187.3,2201.3,2035.8,2065.3,2116.5,2017.2,2174.1,2093.9,2173.4,2137.2,2160.8,2015.1,2178.1,2104.6,2047.2,2146.8,2140.1,0.0,2046.9,2098.6,2139.5,2201.4,2151.4,2151.0,2082.3,2191.7,2098.5,2102.7,2024.4,2066.1,2205.3,2027.8,2166.4,2054.3,2132.5,2143.2,2211.9,2129.9,2178.5,2078.8,2143.2,2187.5,2079.7,2128.8,2036.3,2159.6,2072.8,2115.1,2150.6,2030.8,2134.5,2139.0,2159.9,2123.9,2104.4,2080.8,2107.6,2179.1,2006.1,2110.6,2196.0
HU,271.1,268.2,158.2,302.8,273.1,253.2,11.0,64.6,115.8,337.9,262.4,343.4,333.7,233.9,316.3,121.3,338.4,329.8,299.6,290.5,137.3,2208.8,0.0,108.9,162.5,200.7,248.1,150.3,81.9,191.0,97.8,145.1,79.6,60.9,232.3,327.3,165.7,35.6,292.6,281.1,300.8,348.7,177.8,78.1,335.4,262.3,354.0,296.3,318.8,211.5,72.1,114.4,336.6,105.6,326.2,138.3,328.5,123.2,332.3,80.1,106.9,317.1,99.9,314.5,270.4
HW,306.6,318.1,181.4,326.0,296.3,268.9,101.7,74.6,139.0,388.3,285.6,390.4,356.9,257.1,341.0,153.2,361.6,379.7,350.0,340.4,162.6,2285.6,112.8,0.0,118.9,223.9,271.3,173.5,32.7,214.2,49.5,82.1,121.7,46.9,227.8,377.7,188.9,100.2,342.5,316.5,324.0,371.9,201.0,101.3,358.6,285.5,403.9,346.2,369.2,234.7,39.8,137.6,387.0,137.5,352.8,161.5,378.4,107.4,382.2,90.1,123.7,340.3,140.0,364.4,293.6
IF,217.8,245.9,86.9,242.2,212.5,153.7,203.0,193.9,55.2,362.1,201.8,319.8,264.1,171.3,257.2,236.1,259.1,298.9,323.8,274.8,76.7,2253.1,214.1,225.7,0.0,140.1,194.8,79.0,191.2,130.4,108.0,37.5,239.0,170.2,167.3,328.6,105.1,194.5,267.3,232.7,240.2,288.1,117.2,68.8,282.1,185.6,334.6,271.0,320.1,138.2,181.4,164.1,337.9,162.5,269.0,67.0,312.8,152.9,312.9,209.4,136.6,256.5,259.3,289.2,209.8
IP,174.5,191.3,90.5,193.9,164.2,82.2,188.6,179.5,70.4,304.8,153.5,264.2,224.8,128.0,207.4,204.6,229.5,253.3,266.5,213.6,47.1,2295.5,199.7,211.3,130.4,0.0,139.2,82.6,176.8,7.9,160.3,183.1,213.5,160.8,123.4,289.2,78.0,175.4,220.7,184.4,191.9,239.8,73.9,112.3,226.5,153.4,277.1,219.4,280.7,102.6,167.0,154.7,327.5,205.5,220.7,78.3,251.6,138.5,255.4,200.0,122.2,208.2,222.6,237.6,161.5
IX,62.8,70.3,164.8,85.6,64.8,120.2,262.9,244.9,144.7,227.8,54.1,142.6,125.4,80.0,109.5,201.0,130.1,131.9,162.6,92.6,119.3,2303.5,261.9,285.6,188.5,146.1,0.0,156.9,251.1,136.4,225.8,257.4,237.3,234.6,52.8,217.2,152.3,261.4,94.7,83.2,92.5,140.4,80.9,186.6,127.1,36.0,156.1,98.4,208.7,78.5,241.3,197.2,205.0,216.7,121.3,144.9,130.6,212.8,134.4,229.4,196.5,108.8,219.0,116.6,62.1
JN,171.5,176.3,7.8,190.9,161.2,141.3,164.4,155.3,46.2,333.8,150.5,251.5,221.8,120.6,204.4,169.1,226.5,237.9,264.5,198.6,25.4,2246.3,175.5,187.1,101.2,88.8,136.2,0.0,152.6,79.1,131.1,158.9,164.3,131.6,120.4,323.2,35.8,162.9,200.7,181.4,188.9,236.8,65.9,88.1,223.5,150.4,262.1,204.4,314.7,99.6,142.8,118.8,312.5,153.4,217.7,12.0,236.6,114.3,240.4,151.0,98.0,205.2,184.6,222.6,158.5
JZ,266.3,293.5,153.4,298.0,268.3,248.4,68.9,41.8,111.0,356.1,257.6,365.4,328.9,229.1,313.0,143.2,333.6,354.7,317.8,315.8,134.6,2252.8,80.0,26.9,116.8,195.9,243.3,145.5,0.0,186.2,93.0,80.0,88.9,14.1,199.8,345.5,160.9,67.4,317.9,288.5,296.0,343.9,173.0,73.3,330.6,257.5,379.3,321.6,337.0,206.7,7.0,109.6,354.8,127.5,324.8,133.5,353.8,105.3,357.6,57.3,102.1,312.3,107.2,339.8,265.6
KS,154.2,183.3,82.5,185.9,156.2,97.9,180.6,171.5,62.4,291.8,145.5,253.3,216.8,115.0,200.9,196.6,221.5,242.6,253.5,205.6,37.0,2287.5,191.7,203.3,106.2,9.7,131.2,74.6,168.8,0.0,143.5,175.1,207.5,152.3,87.7,281.2,70.0,179.1,207.7,176.4,183.9,231.8,60.9,104.3,218.5,145.4,269.1,211.4,272.7,94.6,159.0,141.7,319.5,194.6,212.7,62.6,243.6,130.5,247.4,187.0,114.2,200.2,214.6,229.6,153.5
KZ,257.0,273.0,131.8,280.9,251.2,226.8,88.5,83.9,89.4,338.7,240.5,343.7,307.3,205.5,289.9,108.1,312.0,330.1,304.9,290.8,110.9,2260.0,99.6,59.7,130.1,174.3,226.2,128.4,81.2,169.1,0.0,66.2,116.8,60.2,205.9,328.1,139.3,75.3,297.4,266.9,278.9,322.3,155.9,56.2,313.5,235.9,354.3,296.6,324.1,185.1,66.9,88.0,337.4,87.9,307.7,111.9,328.8,91.5,337.1,99.4,80.5,290.7,137.1,314.8,244.0
LD,243.5,278.9,130.6,275.2,245.5,186.7,131.2,124.0,88.2,372.2,234.8,345.5,306.1,204.3,288.7,211.2,310.8,331.9,333.9,307.8,109.7,2286.1,142.3,98.4,60.0,173.1,220.5,122.7,82.1,163.4,141.0,0.0,169.1,145.3,204.7,361.6,138.1,104.7,300.3,265.7,273.2,321.1,150.2,101.8,307.8,234.7,367.6,304.0,353.1,183.9,89.2,139.2,370.9,195.5,302.0,110.7,345.8,46.8,345.9,139.5,63.1,289.5,189.4,322.2,242.8
MI,264.5,231.4,161.8,319.6,297.5,277.8,93.1,47.0,140.7,267.1,275.2,304.6,360.6,220.7,343.2,84.5,365.3,295.7,228.8,253.7,164.2,2163.8,80.0,117.8,180.3,231.1,246.9,167.7,90.8,215.4,112.9,168.9,0.0,67.8,249.8,256.5,192.6,106.0,253.8,244.3,320.1,319.0,202.7,105.0,332.3,281.0,317.2,259.5,248.0,236.1,81.0,89.7,265.8,71.7,289.4,172.9,291.7,144.6,295.5,29.5,128.3,334.0,18.2,277.7,297.1
MJ,259.7,274.6,134.5,279.1,249.4,229.5,50.0,22.9,92.1,337.2,238.7,349.4,310.0,208.2,292.6,124.3,314.7,335.8,298.9,296.9,113.6,2233.9,61.1,47.9,161.1,177.0,224.4,126.6,20.9,167.3,74.1,101.0,68.0,0.0,208.6,326.6,142.0,41.5,299.0,269.6,277.1,325.0,154.1,54.4,311.7,238.6,360.4,302.7,318.1,187.8,11.1,90.7,335.9,108.6,305.9,114.6,334.9,99.5,338.7,38.4,83.2,293.4,88.3,320.9,246.7
OD,97.3,101.8,129.3,101.6,68.4,67.3,210.0,200.9,109.2,268.7,57.7,168.4,129.0,27.8,111.6,220.3,133.7,157.5,206.9,132.9,68.5,2304.9,238.5,232.7,164.2,99.2,43.4,104.0,198.2,83.5,194.1,204.5,244.6,194.6,0.0,251.6,99.4,196.8,123.2,88.6,96.1,144.0,28.0,133.7,130.7,76.2,190.5,126.9,243.1,43.0,188.4,171.1,235.0,230.3,124.9,99.7,170.9,177.3,168.8,216.4,161.0,112.4,238.3,145.1,65.7
ON,200.7,179.9,267.5,287.6,195.7,327.2,321.4,306.2,339.1,10.5,209.4,110.3,152.3,231.9,139.7,222.8,157.0,121.0,46.1,135.7,274.9,2234.2,310.3,382.7,356.6,286.0,217.7,275.4,350.0,276.3,322.9,359.5,259.1,333.5,267.2,0.0,307.9,346.0,164.2,178.5,220.3,108.8,237.6,306.7,122.1,253.8,58.6,160.5,8.5,285.5,340.2,262.0,139.7,238.5,141.4,287.4,138.8,314.9,83.3,290.7,298.6,186.0,240.8,142.3,231.3
QI,185.7,208.8,42.5,205.1,175.4,129.0,158.6,149.5,40.4,368.5,164.7,272.5,236.0,136.2,220.1,191.7,240.7,261.8,290.7,233.3,41.7,2281.0,169.7,181.3,84.2,103.0,150.4,34.6,146.8,93.3,121.5,153.1,196.6,130.3,106.9,357.9,0.0,157.1,230.2,195.6,203.1,251.0,80.1,82.3,237.7,164.6,296.8,233.9,349.4,113.8,137.0,119.7,342.0,176.0,231.9,22.6,271.3,108.5,275.1,165.0,92.2,219.4,214.9,252.1,172.7
QN,292.7,298.0,159.9,304.3,274.6,254.7,18.6,66.1,112.0,362.4,263.9,367.9,329.9,228.1,319.3,149.5,339.9,359.6,329.4,320.3,140.9,2238.6,37.5,105.3,153.1,202.2,249.6,146.5,83.4,192.5,97.8,109.4,111.4,70.2,206.1,357.1,167.2,0.0,330.2,294.8,297.0,350.2,187.1,74.3,336.9,258.5,383.8,326.1,348.6,207.7,73.6,110.6,366.4,133.8,331.1,139.8,358.3,132.5,362.1,81.6,108.4,318.6,129.7,344.3,266.6
RO,65.4,62.6,194.0,161.6,54.7,201.0,284.8,269.6,225.5,164.1,86.4,81.8,130.2,108.9,112.8,186.2,134.9,68.2,100.5,28.9,200.1,2282.1,273.7,346.1,273.4,229.1,94.7,201.9,313.4,213.4,290.1,322.9,224.5,292.4,136.0,153.5,233.1,297.7,0.0,55.5,79.3,94.2,161.7,267.4,107.5,130.8,92.4,3.7,145.0,159.3,303.6,225.4,111.7,201.9,64.6,213.9,66.9,278.3,70.7,254.1,262.0,109.2,204.2,21.8,105.3
SF,9.9,13.1,162.5,109.0,73.4,166.4,270.4,242.3,190.9,188.6,30.9,103.4,134.0,75.4,118.1,194.2,138.7,92.7,134.4,53.4,165.5,2288.3,259.3,315.1,234.7,191.6,63.2,170.4,286.1,181.9,255.3,292.1,230.5,269.6,99.0,178.0,198.5,295.0,55.5,0.0,101.1,118.7,127.1,232.8,132.0,99.3,116.9,59.2,169.5,124.7,276.3,194.6,154.2,209.9,89.1,182.4,91.4,247.5,95.2,226.8,231.2,117.4,212.2,77.4,52.7
SK,76.3,106.3,195.9,111.9,21.9,151.3,294.0,284.9,175.8,227.8,67.6,139.9,100.5,112.4,84.6,263.0,105.2,129.0,221.1,92.6,150.4,2437.4,305.1,316.7,223.7,177.2,90.9,188.0,282.2,167.5,256.9,288.5,299.3,261.2,83.9,217.2,183.4,280.8,76.7,98.5,0.0,115.5,112.0,217.7,102.2,85.1,156.1,80.4,208.7,109.6,272.4,255.1,188.5,278.7,96.4,176.0,130.6,243.9,134.4,300.4,227.6,83.9,281.0,98.6,55.6
SS,107.8,105.0,236.4,141.0,114.3,225.7,344.3,316.2,250.2,118.1,128.8,95.1,43.4,149.3,30.9,254.5,48.1,84.4,129.4,55.1,224.8,2336.6,333.2,389.0,294.0,251.6,137.1,244.3,356.6,241.9,329.2,362.9,290.8,340.1,158.3,107.5,257.8,366.9,93.4,97.9,122.0,0.0,186.4,292.1,13.3,159.5,46.4,97.1,99.0,184.0,346.8,268.5,171.4,270.2,60.8,250.4,58.2,318.3,24.7,300.7,302.0,92.1,272.5,115.3,130.0
SW,105.5,128.6,83.8,126.0,95.2,75.3,181.9,172.8,63.7,289.0,84.5,195.2,155.8,56.0,138.4,203.1,160.5,184.3,232.9,159.7,40.4,2299.2,193.0,204.6,111.6,65.1,70.2,75.9,170.1,55.4,144.8,176.4,217.2,149.1,26.7,278.4,71.3,168.7,150.0,115.4,122.9,170.8,0.0,105.6,157.5,84.4,217.3,153.7,269.9,33.6,160.3,143.0,261.8,202.2,151.7,71.6,197.7,131.8,195.6,188.3,115.5,139.2,221.1,171.9,92.5
UC,192.9,228.3,80.0,224.6,194.9,175.0,76.2,67.1,37.6,326.9,184.2,294.9,255.5,153.7,238.1,109.3,260.2,281.3,288.6,259.4,59.1,2253.5,87.3,98.9,77.2,128.5,169.9,72.1,64.4,112.8,42.9,89.6,112.2,43.4,154.1,316.3,87.5,74.7,249.7,215.1,222.6,270.5,99.6,0.0,257.2,184.1,317.0,253.4,307.8,133.3,54.6,36.2,361.5,96.5,251.4,67.8,297.4,45.0,295.3,82.6,28.7,238.9,132.5,271.6,192.2
UF,121.1,118.3,249.7,127.7,101.0,212.4,355.1,329.5,236.9,131.4,128.7,108.4,30.1,162.6,17.5,267.8,34.8,97.7,142.7,68.4,211.5,2349.9,346.5,377.8,280.7,238.3,150.4,249.1,343.3,228.6,318.0,349.6,304.1,326.8,145.0,120.8,244.5,353.6,106.7,111.2,108.7,13.3,173.1,278.8,0.0,146.2,59.7,110.4,112.3,170.7,333.5,281.8,184.7,283.5,74.1,237.1,71.5,305.0,38.0,314.0,288.7,78.8,285.8,128.6,116.7
UG,79.2,108.6,161.2,49.5,81.2,116.6,259.3,250.2,141.1,266.1,70.5,181.2,129.2,79.7,125.9,239.3,124.2,167.6,200.9,130.9,115.7,2341.8,270.4,282.0,189.0,142.5,38.2,153.3,247.5,132.8,222.2,253.8,275.6,226.5,58.1,255.5,148.7,257.8,133.0,101.4,99.1,156.8,77.3,183.0,143.5,0.0,194.4,136.7,247.0,74.9,237.7,220.4,243.3,252.1,137.7,141.3,168.9,209.2,172.7,265.7,192.9,115.3,257.3,154.9,78.5
UI,142.0,126.9,252.7,228.9,137.0,268.5,306.6,291.4,285.5,71.6,150.7,76.0,93.6,171.2,81.0,208.0,98.3,86.7,51.3,77.0,260.1,2290.1,295.5,367.9,305.3,271.2,159.0,260.6,335.2,261.5,308.1,344.7,244.3,318.7,208.5,61.0,293.1,331.2,114.6,119.8,161.6,50.1,222.8,291.9,63.4,195.1,0.0,110.9,52.5,226.8,325.4,247.2,124.9,223.7,82.7,272.6,80.1,300.1,24.7,275.9,283.8,127.3,226.0,92.7,172.6
UR,81.4,66.3,197.7,165.3,58.4,204.7,281.1,265.9,229.2,167.8,90.1,82.6,133.9,112.6,118.0,182.5,138.6,71.9,96.8,32.6,203.8,2278.4,270.0,342.4,273.0,226.8,98.4,205.6,309.7,217.1,282.6,319.2,218.8,293.2,137.3,157.2,236.8,305.7,3.7,59.2,83.0,97.9,165.4,266.4,111.2,134.5,96.1,0.0,148.7,163.0,299.9,221.7,108.0,198.2,68.3,217.6,70.6,274.6,74.4,250.4,258.3,112.9,200.5,18.1,109.0
VD,179.9,177.1,259.0,279.1,187.2,318.7,312.9,297.7,291.8,19.0,200.9,118.8,143.8,221.4,131.2,214.3,148.5,129.5,37.6,127.2,266.4,2276.4,301.8,374.2,311.6,277.5,209.2,266.9,341.5,267.8,314.4,351.0,250.6,325.0,258.7,8.5,299.4,337.5,165.5,170.0,211.8,100.3,229.1,298.2,113.6,245.3,50.1,117.2,0.0,277.0,331.7,253.5,131.2,230.0,132.9,278.9,130.3,306.4,74.8,282.2,290.1,177.5,232.3,99.0,222.8
VH,100.8,136.2,107.5,96.0,102.8,41.6,205.6,196.5,87.4,296.6,92.1,202.8,163.4,61.6,147.5,224.7,168.1,191.9,236.1,166.6,64.1,2305.1,216.7,228.3,135.3,88.8,77.8,99.6,193.8,79.1,168.5,200.1,240.1,172.8,34.3,286.0,95.0,192.4,157.6,123.0,130.5,178.4,23.6,129.3,165.1,92.0,224.9,161.3,277.5,0.0,184.0,166.7,269.4,225.9,159.3,87.6,204.6,155.5,203.2,212.0,139.2,146.8,242.7,179.5,100.1
VL,259.2,286.4,146.3,290.9,261.2,241.3,61.8,34.7,103.9,349.0,250.5,358.3,321.8,220.0,305.9,136.1,326.5,347.6,310.7,308.7,127.5,2245.7,72.9,36.7,126.6,188.8,236.2,138.4,9.7,179.1,85.9,89.8,81.8,7.0,192.7,338.4,153.8,60.3,310.8,281.4,288.9,336.8,165.9,66.2,323.5,250.4,372.2,314.5,329.9,199.6,0.0,102.5,347.7,120.4,317.7,126.4,346.7,111.3,350.5,50.2,95.0,305.2,100.1,332.7,258.5
