from_stop,AB,AC,AN,AU,BF,BG,BP,CQ,DJ,EG,EP,EU,EW,FE,GI,GY,JC,JO,KA,KI,KW,KY,LA,MD,ME,MF,MU,NA,NB,NI,NS,NV,NY,OE,OI,OS,OZ,PD,PS,QD,QJ,RE,RN,RT,RW,SG,TH,TJ,TM,TT,TY,TZ,UD,UE,UI,UJ,UO,UT,UV,VI,VN,VV,WP,WR,WU,WW,XA,XR,XY,YC,YN,YU,YZ,ZN
FE,212.4,344.1,269.2,111.3,49.1,73.5,100.3,353.5,100.9,246.7,207.6,56.7,20.7,0.0,82.9,173.2,328.8,279.0,347.8,344.9,185.4,213.1,60.0,100.1,64.4,373.3,51.2,166.0,94.9,44.2,133.5,219.2,157.4,200.5,296.1,74.8,290.6,50.0,118.0,215.2,84.9,8.2,194.9,1530.6,301.1,377.6,249.6,72.1,39.8,391.1,363.8,133.4,266.4,148.7,185.5,95.2,109.1,295.8,161.9,57.3,192.6,256.7,187.5,164.4,18.4,367.4,33.4,222.5,341.7,108.1,172.0,92.0,70.0,213.9
GI,193.0,346.1,252.4,51.2,97.5,75.5,35.1,355.5,42.7,272.1,206.5,136.0,96.6,75.8,0.0,172.1,330.8,265.2,352.8,346.9,139.9,212.0,27.2,17.1,27.1,330.2,59.1,164.9,18.7,74.9,176.7,218.1,156.3,123.5,285.7,126.9,273.8,98.4,56.2,224.2,73.2,82.8,152.8,1450.6,306.1,379.6,290.9,140.3,88.2,393.1,368.8,64.8,224.3,103.2,140.0,130.4,58.2,273.8,160.8,65.2,186.4,245.7,113.9,122.3,84.8,369.2,49.5,224.4,345.9,48.0,192.1,9.0,81.3,168.4
GY,77.6,222.4,95.9,232.8,182.8,236.3,247.2,233.7,226.3,92.6,34.3,251.0,215.0,194.2,224.7,0.0,207.1,105.7,226.1,223.2,359.5,50.8,206.8,165.4,211.2,200.0,196.0,60.1,203.7,209.0,199.5,45.9,15.5,308.5,126.2,119.2,117.3,133.8,271.6,101.4,224.2,199.2,366.9,1502.3,179.4,255.9,76.3,237.0,142.0,269.4,232.9,280.2,318.7,320.7,359.6,98.1,255.9,122.5,58.1,202.1,22.2,89.2,297.5,338.4,183.2,245.5,180.2,65.5,219.2,231.6,74.0,173.6,216.8,387.9
JC,291.6,15.3,114.9,394.0,396.8,361.9,377.9,24.7,383.6,256.4,181.7,465.0,425.9,408.2,346.1,213.9,0.0,102.9,18.9,49.3,486.1,266.8,420.8,324.6,425.2,22.6,412.0,276.1,365.5,423.0,408.3,169.2,229.4,469.7,85.8,333.2,91.3,347.8,402.4,297.4,351.8,416.4,495.6,1661.5,38.1,82.0,240.1,450.9,358.0,95.5,68.2,411.0,477.8,449.4,486.2,312.1,341.6,118.8,272.0,418.1,246.3,133.3,456.7,465.1,397.2,38.5,394.2,281.5,12.9,390.8,282.1,332.7,430.8,514.6
JO,188.6,116.6,11.9,332.0,293.8,349.3,358.1,126.0,321.6,153.4,78.7,362.0,322.9,305.2,280.7,110.9,101.3,0.0,120.3,117.4,465.3,163.8,317.8,262.6,322.2,67.9,309.0,173.1,303.5,320.0,305.3,66.2,126.4,407.7,17.1,230.2,11.5,244.8,382.6,194.4,342.7,313.4,474.8,1537.5,73.6,150.1,137.1,347.9,255.0,163.6,136.3,391.2,415.8,428.6,465.4,209.1,366.9,15.8,169.0,315.1,143.3,30.3,394.7,444.3,294.2,139.9,291.2,178.5,114.2,328.8,179.1,270.7,327.8,493.8
KA,320.2,3.7,133.9,413.0,415.8,380.9,396.9,5.7,404.5,275.4,194.0,484.0,444.9,427.2,361.7,232.9,18.9,121.9,0.0,68.3,505.1,285.8,439.8,343.6,444.2,41.6,431.0,295.1,384.5,442.0,427.3,188.2,248.4,488.7,101.8,352.2,104.6,366.8,421.4,309.4,459.2,434.2,514.6,1627.2,57.1,96.4,259.1,469.9,377.0,82.9,78.0,430.0,495.9,468.4,505.2,331.1,360.6,137.8,291.0,437.1,257.2,143.7,475.7,484.1,416.2,19.4,413.2,300.5,6.0,409.8,301.1,351.7,449.8,533.6
KI,242.6,80.5,126.9,406.0,408.8,373.9,389.9,89.9,395.6,211.5,193.7,477.0,437.9,420.2,354.7,225.9,65.2,114.9,84.2,0.0,498.1,278.8,432.8,336.6,437.2,111.2,424.0,288.1,377.5,435.0,420.3,181.2,241.4,481.7,97.8,345.2,103.3,359.8,414.4,213.9,363.8,428.4,507.6,1582.6,50.1,32.7,252.1,462.9,370.0,46.1,18.8,423.0,489.8,461.4,498.2,324.1,353.6,130.5,284.0,430.1,258.3,145.3,468.7,477.1,409.2,89.6,406.2,293.5,78.1,402.8,294.1,344.7,442.8,526.6
KW,376.8,497.6,433.6,119.5,231.3,227.0,150.5,512.7,111.0,411.1,378.3,206.4,166.9,188.3,145.4,337.6,482.3,443.4,501.3,498.4,0.0,377.5,161.0,162.6,157.5,489.7,182.4,330.4,123.7,226.4,230.4,383.6,321.8,195.2,462.6,239.2,456.1,232.2,93.5,386.7,210.6,181.0,88.1,1413.2,454.6,531.1,399.6,260.5,222.0,584.8,508.1,128.8,80.9,26.6,103.4,259.6,206.7,460.2,326.3,188.5,348.9,426.9,182.2,57.6,206.8,520.7,183.3,386.9,494.4,116.3,354.6,154.5,201.2,99.9
KY,19.7,285.2,158.7,264.6,212.6,268.1,276.9,294.6,256.1,74.9,97.1,280.8,244.8,224.0,256.5,62.7,269.9,168.5,288.9,274.3,389.2,0.0,236.6,195.2,241.0,262.8,227.8,91.9,235.5,238.8,229.2,108.7,45.2,340.3,187.7,149.0,180.1,163.6,301.4,50.5,256.0,231.0,398.7,1532.1,242.2,307.0,90.7,266.7,173.8,312.4,284.0,310.0,324.7,352.5,389.3,127.9,285.7,185.3,87.8,233.9,28.6,152.0,327.3,368.2,213.0,308.3,210.0,14.6,282.8,261.4,78.6,203.3,246.6,417.7
LA,233.5,369.0,290.3,74.3,70.2,98.4,40.2,378.4,63.9,267.8,228.7,105.3,69.3,48.5,19.8,194.3,353.7,300.1,372.7,369.8,159.6,234.2,0.0,40.0,4.4,394.4,28.4,187.1,45.8,83.3,156.6,240.3,178.5,150.0,317.2,95.9,311.7,71.1,64.7,236.3,62.1,56.7,169.1,1470.5,326.0,402.5,270.7,111.2,60.9,416.0,388.7,73.3,240.6,122.9,159.7,116.3,78.1,316.9,183.0,34.5,213.7,277.8,137.0,138.6,57.5,392.3,22.2,243.6,366.6,71.1,193.1,31.9,47.2,188.1
MD,194.1,328.9,235.2,69.3,119.0,58.3,53.2,338.3,58.9,254.9,189.3,161.6,125.6,104.8,18.0,154.9,313.6,245.0,332.6,329.7,161.4,194.8,48.7,0.0,45.2,320.7,77.3,147.7,40.8,57.7,211.5,200.9,139.1,145.0,262.1,131.3,256.6,119.9,77.7,196.9,48.2,113.0,170.9,1430.4,285.9,362.4,270.7,137.0,109.7,375.9,348.6,86.3,242.4,124.7,161.5,110.2,38.0,261.8,143.6,72.0,174.3,222.7,132.0,140.4,85.6,352.2,71.0,204.2,326.5,66.1,153.7,8.0,61.1,189.9
ME,237.0,364.6,293.8,69.9,73.7,94.0,35.8,374.0,59.5,271.3,232.2,108.8,72.8,52.0,18.4,197.8,349.3,303.6,368.3,365.4,155.2,237.7,3.5,35.6,0.0,397.9,31.9,190.6,41.4,86.8,160.1,243.8,182.0,145.6,320.7,99.4,315.2,74.6,60.3,239.8,65.6,60.2,164.7,1466.1,321.6,398.1,274.2,114.7,64.4,411.6,384.3,68.9,236.2,118.5,155.3,119.8,73.7,320.4,186.5,38.0,217.2,281.3,132.6,134.2,61.0,387.9,25.7,247.1,362.2,66.7,196.6,27.5,50.7,183.7
MF,257.9,38.6,102.7,370.4,384.9,349.7,354.3,47.7,361.9,227.7,166.9,452.8,397.2,396.3,322.5,201.6,79.3,74.2,42.3,57.1,462.5,254.9,408.6,312.4,396.5,0.0,399.8,264.2,341.9,394.3,396.4,157.0,217.2,457.8,71.5,321.0,56.9,335.9,390.5,261.7,428.3,386.5,483.7,1603.6,48.0,128.1,227.9,422.2,329.3,103.6,66.8,387.4,465.9,425.8,462.6,299.9,329.7,93.4,243.3,389.4,226.3,96.0,433.1,452.9,385.3,61.7,382.0,269.6,35.4,378.6,273.9,321.7,418.9,491.0
MU,241.0,348.7,292.8,94.1,72.7,78.1,60.0,358.1,85.6,270.3,231.2,107.8,71.8,51.0,42.6,196.8,333.4,302.6,352.4,349.5,179.4,236.7,19.7,59.8,24.1,370.6,0.0,189.6,65.0,77.5,159.1,242.8,181.0,169.8,321.8,98.4,314.2,73.6,84.5,245.9,28.2,58.0,188.9,1490.3,305.7,382.2,273.2,113.7,63.4,395.7,368.4,93.1,259.5,142.7,179.5,118.8,57.8,314.2,185.5,6.1,208.1,286.1,156.8,158.4,60.0,371.8,24.7,246.1,345.5,90.9,195.6,51.7,18.7,207.9
NA,46.3,281.3,165.4,214.9,162.9,218.4,227.2,290.7,206.4,80.6,103.8,231.1,195.1,174.3,163.6,69.4,266.0,175.2,285.0,238.8,339.5,71.1,186.9,145.5,191.3,255.0,178.1,0.0,185.8,189.1,179.5,115.4,53.6,290.6,195.7,99.3,192.5,113.9,251.7,56.2,206.3,181.3,349.0,1482.4,248.9,271.5,96.4,203.1,124.1,276.9,257.7,260.3,298.7,302.8,339.6,78.2,236.0,192.0,4.0,184.2,80.7,158.7,277.6,318.5,163.3,296.3,160.3,56.4,278.1,211.7,6.0,153.7,196.9,368.0
NB,266.7,368.4,274.7,28.4,102.8,97.8,57.6,386.8,19.9,293.8,261.9,137.9,101.9,81.1,18.6,226.9,352.5,283.9,371.5,368.6,120.5,266.8,32.5,38.8,29.0,359.6,61.0,219.7,0.0,96.6,157.3,272.9,210.2,104.1,301.0,129.1,295.5,104.3,53.7,276.6,89.8,88.7,130.0,1469.9,324.8,401.9,303.3,129.9,93.5,414.8,387.5,88.4,165.0,83.8,120.6,148.9,76.9,295.5,216.2,67.1,238.2,267.4,91.7,99.5,90.7,390.9,54.8,276.8,364.6,25.2,225.7,30.7,80.4,149.0
NI,165.0,299.8,206.1,152.0,86.7,29.2,117.9,309.2,141.6,199.3,160.2,103.8,67.8,47.0,97.5,125.8,284.5,215.9,303.5,300.6,232.5,165.7,77.6,117.7,82.0,291.9,68.8,118.6,123.5,0.0,173.1,171.8,110.0,227.7,233.0,102.2,227.5,87.6,142.4,167.8,102.5,55.2,242.0,1548.2,256.8,333.3,202.2,79.2,77.4,346.8,319.5,151.0,313.5,195.8,232.6,81.1,126.7,232.7,114.5,74.9,145.2,193.6,214.7,211.5,27.8,323.1,51.0,175.1,297.4,148.8,124.6,109.6,87.6,261.0
NS,256.4,383.1,308.2,85.8,88.1,112.5,139.3,392.5,77.3,285.7,246.6,57.0,17.5,38.9,88.7,212.2,367.8,318.0,386.8,383.9,159.9,252.1,99.0,108.9,99.1,386.0,81.6,205.0,69.4,83.2,0.0,258.2,196.4,175.0,337.2,113.8,329.6,89.0,92.5,261.3,109.8,31.6,169.4,1539.4,340.1,416.6,288.6,97.2,78.8,430.1,393.6,127.8,240.9,123.2,160.0,134.2,139.5,329.6,200.9,87.7,223.5,301.5,162.0,138.9,57.4,406.2,72.4,261.5,379.9,82.6,229.2,100.8,100.4,188.4
NV,131.9,176.4,49.9,275.7,227.5,283.0,291.8,187.7,267.2,87.1,9.6,295.7,256.6,238.9,224.4,44.6,161.1,59.7,180.1,177.2,399.0,97.5,251.5,206.3,255.9,154.0,242.7,106.8,246.6,253.7,239.0,0.0,60.1,351.4,78.9,163.9,71.3,178.5,316.3,121.1,270.9,245.9,408.5,1543.2,133.4,209.9,70.8,267.7,188.7,223.4,196.1,324.9,335.8,362.3,399.1,142.8,300.6,71.3,102.7,248.8,68.9,43.2,338.4,378.0,227.9,199.5,224.9,112.2,173.2,272.5,131.0,214.5,261.5,427.5
NY,71.7,238.2,111.7,219.3,167.3,222.8,231.6,256.6,210.8,108.4,53.7,235.5,199.5,178.7,168.0,15.7,222.9,121.5,241.9,239.0,343.9,55.6,191.3,149.9,195.7,215.8,182.5,46.6,190.8,193.5,183.9,61.7,0.0,295.0,140.7,103.7,133.1,118.3,256.1,102.9,210.7,185.7,353.4,1486.8,195.2,271.7,92.1,207.5,128.5,285.2,248.7,264.7,279.4,307.2,344.0,82.6,240.4,133.1,42.5,188.6,27.0,105.0,282.0,322.9,167.7,261.3,164.7,70.3,235.9,216.1,52.6,158.1,201.3,372.4
OE,387.6,484.3,390.6,87.3,219.3,213.7,173.5,493.7,95.8,410.3,384.1,217.1,177.6,197.6,138.1,343.4,469.0,400.4,488.0,485.1,224.3,383.3,149.0,155.3,145.5,476.1,177.5,336.2,115.8,213.1,241.1,389.4,327.6,0.0,420.9,245.0,417.7,220.2,156.9,392.5,205.7,191.7,233.8,1585.8,441.3,517.8,410.3,260.3,210.0,531.3,504.0,192.2,192.6,187.6,224.4,265.4,193.4,417.2,332.1,183.6,354.7,383.9,63.8,203.3,206.6,507.4,171.3,392.7,481.9,90.5,360.4,147.2,196.3,275.6
OI,218.7,97.4,32.4,339.1,313.0,369.8,323.0,106.6,330.6,172.6,91.9,382.5,342.1,324.4,291.2,130.0,80.8,19.1,100.2,96.9,431.2,184.3,337.0,269.7,341.4,74.1,328.2,193.6,311.3,339.2,324.5,85.4,147.0,416.1,0.0,249.4,1.8,265.3,347.5,206.6,356.4,331.4,440.7,1556.7,53.1,129.6,157.6,353.2,274.2,143.1,106.6,356.1,423.3,394.5,431.3,228.3,288.0,36.3,189.5,334.3,155.7,40.9,401.8,410.2,314.7,119.2,310.4,199.0,94.2,337.2,207.5,279.1,347.0,459.7
OS,137.5,320.8,194.3,161.9,63.5,119.0,127.8,332.1,153.4,171.8,132.3,131.7,95.7,74.9,110.4,98.3,305.5,204.1,324.5,321.6,240.1,138.2,87.5,127.6,91.9,298.4,78.7,91.1,132.8,89.7,80.1,144.3,82.5,237.6,223.3,0.0,215.7,14.5,152.3,147.4,106.9,81.9,249.6,1484.6,277.8,354.3,174.7,103.7,24.7,367.8,331.3,160.9,264.8,203.4,240.2,20.3,136.6,215.7,87.0,84.8,109.6,187.6,224.6,219.1,63.9,343.9,60.9,147.6,317.6,158.7,97.3,119.5,97.5,268.6
OZ,201.3,105.0,24.6,344.7,306.5,360.9,369.7,114.4,335.1,170.7,88.5,374.7,335.6,317.9,291.0,124.5,88.6,12.6,103.0,104.7,434.4,176.5,330.5,274.2,334.9,50.6,320.6,190.4,313.8,332.7,322.6,77.8,138.0,418.0,1.8,247.5,0.0,257.5,394.2,199.0,354.5,323.8,486.4,1550.2,60.9,137.4,149.8,360.6,272.3,150.9,123.6,402.8,428.5,397.7,434.5,221.8,378.5,28.5,180.6,332.4,146.8,33.3,405.0,455.9,306.9,128.1,303.9,195.8,101.5,340.4,199.5,282.4,340.5,505.4
PD,162.3,345.6,219.1,147.3,48.9,104.4,113.2,355.0,136.9,196.6,157.5,117.1,81.1,60.3,92.8,123.1,330.3,228.9,349.3,346.4,232.6,163.0,72.9,113.0,77.3,323.2,64.1,115.9,118.8,75.1,85.4,169.1,107.3,223.0,246.0,24.7,240.5,0.0,137.7,165.1,97.8,68.5,242.1,1543.5,302.6,379.1,199.5,103.0,10.1,392.6,365.3,146.3,313.6,195.9,232.7,45.1,122.0,245.7,111.8,70.2,142.5,206.6,210.0,211.6,49.3,368.9,46.3,172.4,343.2,144.1,121.9,104.9,82.9,261.1
PS,301.0,420.7,357.8,73.4,137.7,150.1,56.9,430.1,63.0,335.3,296.2,160.3,120.8,116.0,74.5,261.8,405.4,367.6,424.4,421.5,94.8,301.7,67.4,91.7,63.9,461.9,95.9,254.6,77.5,150.8,184.3,307.8,246.0,149.1,384.7,163.4,379.2,138.6,0.0,303.8,129.6,124.2,104.3,1437.6,377.7,454.2,338.2,178.7,128.4,467.7,440.4,35.2,175.8,58.1,94.9,183.8,129.8,384.4,250.5,102.0,281.2,345.3,136.1,73.8,125.0,444.0,89.7,311.1,418.3,70.2,260.6,83.6,114.7,123.3
QD,35.6,266.2,171.0,282.3,230.3,285.8,294.6,284.6,273.8,24.3,112.1,298.5,262.5,241.7,231.0,105.2,250.9,180.8,269.9,223.7,406.9,60.4,254.3,212.9,258.7,238.3,245.5,67.3,253.8,256.5,246.9,121.0,105.7,358.0,200.0,166.7,192.4,181.3,319.1,0.0,273.7,248.7,416.4,1549.8,235.8,256.4,40.1,270.5,191.5,261.8,233.4,327.7,366.1,370.2,407.0,145.6,303.4,192.4,71.4,251.6,89.0,164.3,345.0,385.9,230.7,281.2,227.7,45.7,263.0,279.1,54.3,221.9,264.3,435.4
QJ,185.7,320.5,226.8,118.4,97.0,49.9,84.3,329.9,109.9,220.0,187.7,132.1,96.1,75.3,66.9,146.5,305.2,236.6,324.2,321.3,203.7,186.4,44.0,84.1,48.4,312.6,24.3,139.3,89.3,49.3,183.4,192.5,130.7,194.1,257.1,122.7,248.2,97.9,108.8,195.6,0.0,82.3,213.2,1514.6,277.5,354.0,222.9,128.6,87.7,367.5,331.0,117.4,244.2,167.0,203.8,101.8,29.6,248.2,135.2,19.0,157.8,220.1,181.1,182.7,77.2,343.6,49.0,195.8,317.3,115.2,153.2,76.0,8.1,232.2
RE,224.7,351.4,276.5,104.3,56.4,80.8,107.6,360.8,95.8,254.0,218.5,49.7,13.7,7.2,90.2,180.5,336.1,286.3,355.1,352.2,178.4,220.4,67.3,107.4,71.7,380.9,58.5,173.3,87.9,51.5,126.5,226.5,164.7,193.5,306.8,82.1,297.9,57.3,111.0,229.6,86.7,0.0,187.9,1537.9,308.4,384.9,256.9,65.5,47.1,398.4,371.1,140.7,259.4,141.7,178.5,102.5,116.4,297.9,169.2,64.6,191.8,269.8,180.5,157.4,25.7,374.5,40.7,229.8,349.0,101.1,197.5,99.3,77.3,206.9
RN,386.3,501.1,443.1,129.0,240.8,230.5,160.0,512.4,120.5,420.6,384.2,215.9,176.4,197.8,154.9,347.1,485.8,452.9,504.8,501.9,75.7,387.0,170.5,172.1,167.0,547.2,191.9,339.9,132.6,242.1,239.9,393.1,331.3,204.7,473.4,248.7,464.5,241.7,103.0,396.2,220.1,190.5,0.0,1446.7,458.1,534.6,409.1,256.1,231.5,548.1,520.8,138.3,75.0,71.4,72.6,269.1,210.2,464.5,335.8,198.0,358.4,436.4,191.7,30.5,216.3,524.2,192.8,396.4,497.9,125.8,353.8,164.0,210.7,69.1
RT,1328.0,1374.3,1312.3,1411.2,1460.9,1366.3,1395.1,1383.7,1400.8,1296.9,1310.7,1496.0,1460.0,1439.2,1363.3,1342.9,1359.0,1322.1,1378.0,1331.8,1359.0,1352.8,1390.6,1341.8,1387.1,1346.4,1385.3,1340.8,1382.7,1365.7,1499.3,1298.2,1358.4,1486.9,1339.2,1440.2,1333.7,1454.8,1419.6,1299.3,1356.2,1447.4,1396.7,0.0,1343.9,1364.5,1312.7,1445.0,1465.0,1356.2,1350.7,1428.2,1344.1,1335.2,1415.2,1419.1,1346.0,1322.1,1344.9,1380.0,1373.3,1299.8,1473.9,1366.2,1393.6,1375.4,1412.9,1338.1,1371.9,1408.0,1334.8,1349.9,1369.1,1411.7
