from_stop,AE,AG,AS,AU,BC,BE,BI,CD,CE,CF,CH,CI,CK,CO,CP,CQ,CZ,DC,DQ,DX,ED,EH,ET,FC,FE,FF,FH,FN,FS,FX,GI,GV,GW,HA,HB,HD,HP,HX,HZ,IE,IG,IR,IV,IX,JA,JF,JI,JK,JQ,KH,KN,KY,KZ,LC,LE,LH,LJ,LQ,LV,LW,MH,MQ,NB,NI,NJ,NQ,NV,NX,OJ,OP,OU,PC,PO,PP,PQ,PY,QE,QI,QL,QQ,QS,QW,RH,RU,RW,RZ,SI,SL,SO,ST,SW,TC,TO,TP,TQ,TS,TW,UI,UO,UY,UZ,WE,WM,WP,WS,WZ,XQ,XW,YB,YT,YU,YY,YZ,ZC,ZF,ZS,ZT,ZU,ZY
DQ,720.9,685.7,287.9,215.7,671.1,42.6,696.7,218.0,371.2,348.8,747.5,178.7,164.5,801.7,740.3,362.7,860.8,301.9,0.0,81.2,828.4,224.1,674.8,904.3,812.1,629.4,2817.0,186.6,320.9,181.7,305.3,229.1,190.6,288.2,794.2,585.9,743.0,883.3,640.0,886.3,274.8,849.0,755.0,791.1,282.2,768.1,739.9,224.2,229.7,815.6,945.5,252.0,849.4,756.2,650.3,369.0,702.6,309.1,708.2,277.5,497.0,698.3,617.7,89.9,263.2,731.5,497.5,211.2,872.3,314.5,356.1,629.7,222.5,241.1,765.6,460.0,178.7,393.0,702.9,738.6,854.2,399.3,197.6,395.3,78.4,247.9,842.1,175.1,258.3,209.4,294.4,193.1,585.5,726.1,237.0,716.8,754.5,694.9,81.8,118.7,265.6,804.9,174.4,463.6,689.3,723.5,786.8,187.3,875.6,178.7,801.3,263.6,733.7,247.0,648.4,753.0,574.0,256.1,683.5
DX,710.8,666.1,268.3,196.1,651.5,136.9,686.6,198.4,351.6,329.2,727.9,159.1,144.9,791.6,720.7,343.1,850.7,282.3,94.3,0.0,808.8,204.5,655.2,884.7,792.5,609.8,2797.4,167.0,301.3,162.1,285.7,209.5,171.0,282.3,784.1,566.3,732.9,873.2,620.4,866.7,255.2,838.9,744.9,771.5,262.6,758.0,729.8,204.6,210.1,796.0,925.9,232.4,829.8,736.6,630.7,349.4,683.0,289.5,688.6,271.6,477.4,678.7,598.1,8.6,243.6,721.4,487.4,191.6,862.2,294.9,336.5,610.1,202.9,221.5,755.5,449.9,159.1,373.4,683.3,728.5,834.6,379.7,178.0,385.2,33.0,228.3,832.0,155.5,238.7,189.8,274.8,173.5,565.9,706.5,217.4,706.7,744.4,684.8,113.7,37.4,246.0,785.3,154.8,453.5,669.7,703.9,767.2,167.7,865.5,159.1,791.2,244.0,714.1,227.4,628.8,742.9,554.4,236.5,663.9
ED,426.0,475.2,774.6,646.9,358.9,846.3,401.8,806.5,678.0,536.7,435.3,648.9,729.7,432.8,150.4,651.4,491.9,645.1,803.7,796.6,0.0,812.6,273.7,281.1,188.9,418.9,2951.2,749.7,554.6,770.2,792.0,725.9,730.8,745.3,425.3,273.7,480.2,522.1,506.1,263.1,772.5,556.9,350.5,425.1,870.7,552.0,673.0,674.4,818.2,14.5,322.3,840.5,226.2,444.0,439.8,636.3,492.1,615.9,388.5,734.6,483.9,505.8,305.5,805.3,774.3,492.4,676.9,799.7,532.2,903.0,544.0,317.5,811.0,829.6,396.7,639.4,648.9,626.7,443.6,369.7,231.0,633.0,786.1,574.7,793.8,679.1,473.2,676.1,846.8,797.9,601.2,781.6,427.0,325.0,668.2,367.9,597.4,529.0,823.1,834.1,752.3,41.6,692.0,643.0,446.0,159.8,42.7,657.5,592.6,648.9,432.4,641.2,332.6,835.5,437.9,471.2,415.5,844.6,473.0
EH,597.6,624.9,111.6,230.9,610.3,253.0,573.4,41.7,386.4,300.3,686.7,193.9,179.7,678.4,679.5,377.9,737.5,233.4,210.4,203.3,767.6,0.0,614.0,843.5,751.3,568.6,2756.2,130.1,298.1,49.7,129.0,49.8,155.1,128.9,670.9,525.1,619.7,760.0,579.2,825.5,95.5,725.7,631.7,730.3,43.0,644.8,616.6,239.4,53.4,754.8,884.7,75.7,788.6,695.4,589.5,379.8,641.8,324.3,647.4,118.2,436.2,637.5,556.9,212.0,58.8,608.2,374.2,20.2,749.0,213.9,295.2,568.9,121.9,11.9,642.3,336.7,193.9,266.0,642.1,615.3,793.4,272.3,71.1,272.0,200.5,263.1,718.8,190.3,82.0,82.9,309.6,38.3,524.7,665.3,252.2,593.5,631.2,571.6,229.8,240.8,89.3,744.1,189.6,340.3,628.5,682.1,726.0,202.5,752.3,193.9,678.0,250.3,672.9,70.7,587.6,629.7,513.2,155.5,622.7
ET,256.9,333.4,632.8,505.1,217.1,704.5,232.7,664.7,536.2,393.5,293.5,507.1,587.9,263.7,177.4,509.6,322.8,503.3,661.9,654.8,265.5,670.8,0.0,341.4,249.2,277.2,2809.4,607.9,412.8,628.4,650.2,584.1,589.0,603.5,256.2,131.9,311.1,353.0,300.2,323.4,630.7,387.8,181.4,219.2,728.9,382.9,503.9,532.6,676.4,252.7,382.6,698.7,286.5,302.2,298.0,494.5,350.3,474.1,182.6,592.8,342.1,364.0,163.7,663.5,632.5,323.3,535.1,657.9,363.1,761.2,402.2,175.7,669.2,687.8,227.6,497.6,507.1,484.9,237.7,200.6,291.3,491.2,644.3,432.9,652.0,537.3,304.1,561.8,705.0,656.1,459.4,639.8,285.2,119.1,526.4,198.8,428.3,359.9,681.3,692.3,610.5,242.0,550.2,501.2,240.1,153.8,223.9,515.7,423.5,507.1,263.3,499.4,126.7,692.8,296.1,302.1,273.7,702.8,331.2
FC,476.1,518.0,817.4,689.7,401.7,889.1,451.9,849.3,720.8,579.5,478.1,691.7,772.5,482.9,143.5,694.2,542.0,687.9,846.5,839.4,293.2,855.4,316.5,0.0,116.6,461.7,2994.0,792.5,597.4,813.0,834.8,768.7,773.6,788.1,475.4,316.5,530.3,572.2,548.9,64.8,815.3,607.0,400.6,467.9,913.5,602.1,723.1,717.2,861.0,307.8,116.6,883.3,82.1,486.8,482.6,679.1,534.9,658.7,431.3,777.4,526.7,548.6,348.3,848.1,817.1,542.5,719.7,842.5,582.3,945.8,586.8,360.3,853.8,872.4,446.8,682.2,691.7,669.5,486.4,419.8,145.9,675.8,828.9,617.5,836.6,721.9,523.3,718.9,889.6,840.7,644.0,824.4,469.8,367.8,711.0,418.0,647.5,579.1,865.9,876.9,795.1,240.3,734.8,685.8,488.8,223.0,286.3,700.3,642.7,691.7,482.5,684.0,375.4,878.3,480.7,521.3,458.3,887.4,515.8
FE,383.8,425.7,725.1,597.4,309.4,796.8,359.6,757.0,628.5,485.8,385.8,599.4,680.2,390.6,51.2,601.9,449.7,595.6,754.2,747.1,200.9,763.1,224.2,136.5,0.0,369.4,2901.7,700.2,505.1,720.7,744.3,676.4,681.3,695.8,383.1,224.2,438.0,479.9,456.6,118.5,723.0,514.7,308.3,375.6,821.2,509.8,630.8,624.9,768.7,215.5,177.7,791.0,81.6,394.5,390.3,586.8,442.6,566.4,339.0,685.1,434.4,456.3,256.0,755.8,724.8,450.2,627.4,750.2,490.0,853.5,494.5,268.0,761.5,780.1,354.5,589.9,599.4,577.8,394.1,328.5,86.4,583.5,736.6,525.2,744.3,629.6,431.0,626.6,797.3,748.4,551.7,732.1,377.5,275.5,618.7,325.7,555.2,486.8,773.6,784.6,702.8,148.0,642.5,593.5,396.5,130.7,194.0,608.0,550.4,599.4,390.2,591.7,283.1,785.1,388.4,429.0,371.8,795.1,423.5
FF,438.3,123.2,613.8,486.1,275.0,685.5,414.2,645.7,517.3,374.6,351.4,488.1,568.9,445.1,344.2,490.6,504.2,484.3,642.9,635.8,432.3,651.8,278.7,508.2,416.0,0.0,2765.2,588.9,393.8,609.4,633.0,565.1,570.0,584.5,437.6,189.8,492.5,534.4,261.9,490.2,611.8,569.2,362.8,430.2,709.9,564.3,685.3,513.6,657.4,419.5,549.4,679.7,453.3,360.1,87.8,475.5,140.1,455.1,330.1,573.9,368.4,309.6,221.6,644.6,613.5,504.7,516.1,638.9,544.5,742.2,383.3,233.6,650.2,668.8,409.0,478.6,488.1,466.5,324.8,383.0,458.1,472.2,625.3,413.9,633.0,518.3,485.5,542.8,686.0,637.1,440.4,620.8,266.2,330.0,507.4,380.2,609.7,541.3,664.6,673.3,591.6,408.8,531.3,482.2,311.3,327.4,390.8,496.7,604.9,488.1,444.7,480.4,337.6,676.3,85.9,483.5,260.5,683.8,121.0
FH,2914.3,2765.6,2827.0,2699.3,2751.0,2906.6,2890.1,2858.9,2730.4,2589.1,2827.4,2701.3,2782.1,2921.1,2820.2,2703.8,2980.2,2697.5,2864.0,2787.7,2908.3,2865.0,2754.7,2984.2,2892.0,2709.3,0.0,2802.1,2607.0,2822.6,2844.4,2778.3,2783.2,2797.7,2913.6,2665.8,2933.2,2879.7,2673.2,2966.2,2824.9,2845.4,2838.8,2824.3,2923.1,2863.0,2930.1,2726.8,2870.6,2895.5,3025.4,2892.9,2929.3,2836.1,2730.2,2688.7,2782.5,2668.3,2741.4,2787.0,2576.9,2778.2,2697.6,2796.4,2826.7,2921.7,2729.3,2852.1,2868.7,2955.4,2596.4,2709.6,2863.4,2882.0,2885.0,2691.8,2701.3,2679.1,2736.1,2858.0,2934.1,2685.4,2838.5,2627.1,2802.7,2731.5,2961.5,2728.5,2899.2,2850.3,2653.6,2834.0,2665.4,2806.0,2720.6,2856.2,2849.4,2885.1,2883.4,2825.2,2804.7,2884.8,2744.4,2695.4,2722.5,2803.4,2866.7,2709.9,2970.5,2701.3,2920.7,2693.6,2813.6,2887.9,2728.3,2959.5,2653.9,2897.0,2763.4
FN,655.3,650.2,169.3,180.2,635.6,210.9,631.1,99.4,335.7,313.3,712.0,143.2,142.0,736.1,704.8,327.2,795.2,266.4,168.3,161.2,792.9,105.5,639.3,868.8,776.6,593.9,2781.5,0.0,285.4,63.1,186.7,110.5,52.0,183.3,728.6,550.4,677.4,817.7,604.5,850.8,156.2,783.4,689.4,755.6,163.6,702.5,674.3,188.7,111.1,780.1,910.0,133.4,813.9,720.7,614.8,333.5,667.1,273.6,672.7,172.6,461.5,662.8,582.2,169.9,144.6,665.9,431.9,92.6,806.7,195.9,320.6,594.2,103.9,122.5,700.0,394.4,143.2,323.7,667.4,673.0,818.7,330.0,79.0,329.7,158.4,212.4,776.5,139.6,139.7,90.8,258.9,74.5,550.0,690.6,201.5,651.2,688.9,629.3,187.7,198.7,147.0,769.4,67.6,398.0,653.8,688.0,751.3,151.8,810.0,143.2,735.7,228.1,698.2,128.4,612.9,687.4,538.5,137.5,648.0
FS,482.0,437.3,374.3,144.8,422.7,344.2,457.8,304.4,175.9,100.4,499.1,146.8,227.6,562.8,491.9,149.3,621.9,143.0,301.6,294.5,580.0,310.5,426.4,655.9,563.7,381.0,2568.6,247.6,0.0,268.1,391.7,315.5,228.7,388.3,555.3,337.5,504.1,644.4,391.6,637.9,361.2,610.1,516.1,542.7,368.6,529.2,501.0,172.3,316.1,567.2,697.1,338.4,601.0,507.8,401.9,134.2,454.2,113.8,459.8,377.6,248.6,449.9,369.3,303.2,349.6,492.6,258.6,297.6,633.4,400.9,107.7,381.3,308.9,327.5,526.7,221.1,146.8,72.0,454.5,499.7,605.8,78.3,284.0,156.4,291.7,177.0,603.2,174.0,344.7,295.8,99.1,279.5,337.1,477.7,166.1,477.9,515.6,456.0,321.0,332.0,352.0,556.5,189.9,224.7,440.9,475.1,538.4,155.4,636.7,146.8,562.4,139.1,485.3,333.4,400.0,514.1,325.6,342.5,435.1
FX,615.1,642.4,129.1,197.0,627.8,219.1,590.9,59.2,352.5,317.8,704.2,160.0,145.8,695.9,697.0,344.0,755.0,250.9,176.5,169.4,785.1,47.3,631.5,861.0,768.8,586.1,2773.7,96.2,302.2,0.0,146.5,70.8,121.2,149.9,688.4,542.6,637.2,777.5,596.7,843.0,116.5,743.2,649.2,747.8,105.4,662.3,634.1,205.5,70.9,772.3,902.2,93.2,806.1,712.9,607.0,350.3,659.3,290.4,664.9,139.2,453.7,655.0,574.4,178.1,104.9,625.7,391.7,29.5,766.5,180.0,312.7,586.4,88.0,64.3,659.8,354.2,160.0,283.5,659.6,632.8,810.9,289.8,21.3,289.5,166.6,229.2,736.3,156.4,99.5,33.1,275.7,11.3,542.2,682.8,218.3,611.0,648.7,589.1,195.9,206.9,106.8,761.6,155.7,357.8,646.0,699.6,743.5,168.6,769.8,160.0,695.5,244.9,690.4,88.2,605.1,647.2,530.7,121.6,640.2
GI,607.5,634.8,46.9,299.9,620.2,322.0,585.1,67.7,433.2,310.6,696.6,264.7,248.7,688.3,689.4,404.8,747.4,243.3,279.4,272.3,777.5,96.8,625.7,853.4,761.2,578.6,2766.1,199.1,308.0,136.7,0.0,118.8,224.1,197.9,680.8,535.0,629.6,769.9,589.1,835.4,164.5,737.4,641.6,740.2,154.9,654.7,626.5,308.4,102.5,764.7,894.6,109.2,798.5,705.3,599.4,389.7,651.7,369.3,657.3,187.2,446.1,649.2,566.8,281.0,152.9,618.1,384.1,107.2,758.9,282.9,305.1,578.8,190.9,113.8,652.2,348.4,264.7,276.5,652.0,626.2,803.3,282.2,144.0,281.9,269.5,332.1,728.7,286.8,131.1,154.0,354.6,125.3,534.6,675.2,321.2,603.4,641.1,581.5,301.1,309.8,30.0,754.0,258.6,352.0,640.2,692.0,737.7,271.5,762.2,264.7,687.9,260.2,682.8,90.8,597.5,639.6,528.9,224.5,632.6
GV,552.0,579.3,122.9,225.2,564.7,247.3,527.8,53.0,375.9,254.7,641.1,188.2,174.0,632.8,633.9,349.3,691.9,195.6,204.7,197.6,722.0,59.1,568.4,797.9,705.7,523.0,2710.6,124.4,252.5,71.6,140.3,0.0,149.4,79.0,625.3,479.5,574.1,714.4,533.6,779.9,46.5,680.1,586.1,684.7,80.1,599.2,571.0,233.7,64.7,709.2,839.1,87.0,743.0,649.8,543.9,334.2,596.2,313.8,601.8,68.3,390.6,591.9,511.3,206.3,48.3,562.6,328.6,49.5,703.4,208.2,249.6,523.3,116.2,76.1,596.7,291.1,188.2,220.4,596.5,569.7,747.8,226.7,67.5,226.4,194.8,257.4,673.2,184.6,93.3,79.3,299.1,67.6,479.1,619.7,246.5,547.9,585.6,526.0,224.1,235.1,100.6,698.5,183.9,294.7,582.9,636.5,680.4,196.8,706.7,188.2,632.4,234.1,627.3,82.0,542.0,584.1,467.6,149.8,577.1
GW,654.0,609.3,204.3,139.3,594.7,209.7,629.8,134.4,294.8,272.4,671.1,102.3,93.1,734.8,663.9,286.3,793.9,225.5,167.1,160.0,752.0,140.5,598.4,827.9,735.7,553.0,2740.6,42.0,244.5,98.1,221.7,145.5,0.0,218.3,727.3,509.5,676.1,816.4,563.6,809.9,191.2,782.1,688.1,714.7,198.6,701.2,673.0,147.8,146.1,739.2,869.1,168.4,773.0,679.8,573.9,292.6,626.2,232.7,631.8,207.6,420.6,621.9,541.3,168.7,179.6,664.6,430.6,127.6,805.4,230.9,279.7,553.3,138.9,157.5,698.7,393.1,102.3,316.6,626.5,671.7,777.8,322.9,114.0,328.4,157.2,171.5,775.2,98.7,174.7,125.8,218.0,109.5,509.1,649.7,160.6,649.9,687.6,628.0,186.5,197.5,182.0,728.5,48.3,396.7,612.9,647.1,710.4,110.9,808.7,102.3,734.4,187.2,657.3,163.4,572.0,686.1,497.6,172.5,607.1
HA,596.6,623.9,207.2,294.1,609.3,316.2,572.4,137.3,420.5,299.3,685.7,257.1,242.9,677.4,678.5,393.9,736.5,240.2,273.6,266.5,766.6,143.4,613.0,842.5,750.3,567.6,2755.2,193.3,297.1,155.9,224.6,84.2,218.3,0.0,669.9,524.1,618.7,759.0,578.2,824.5,74.9,724.7,630.7,729.3,164.4,643.8,615.6,302.6,149.0,753.8,883.7,171.3,787.6,694.4,588.5,378.8,640.8,358.4,646.4,9.7,435.2,636.5,555.9,275.2,132.6,607.2,373.2,133.8,748.0,210.9,294.2,567.9,118.9,160.4,641.3,335.7,257.1,265.0,641.1,614.3,792.4,271.3,151.8,271.0,263.7,326.3,717.8,253.5,177.6,163.6,343.7,151.9,523.7,664.3,315.4,592.5,630.2,570.6,293.0,304.0,184.9,743.1,252.8,339.3,627.5,681.1,725.0,265.7,751.3,257.1,677.0,278.7,671.9,166.3,586.6,628.7,512.2,152.5,621.7
HB,189.6,469.7,673.1,641.4,353.4,840.8,188.4,639.3,672.5,531.2,429.8,643.4,724.2,76.4,313.0,645.9,229.1,639.6,798.2,791.1,380.7,668.4,253.6,477.0,384.8,413.4,2945.7,744.2,549.1,764.7,690.5,624.4,725.3,643.8,0.0,268.2,171.6,259.3,486.0,459.0,671.0,294.1,192.7,405.0,704.6,195.6,364.4,668.9,674.1,367.9,518.2,680.8,422.1,438.5,434.3,630.8,486.6,610.4,368.4,633.1,478.4,500.3,300.0,799.8,672.8,183.8,535.7,674.0,269.4,791.6,538.5,312.0,699.6,685.4,133.9,498.2,643.4,518.7,423.5,106.9,426.9,525.0,692.0,433.5,788.3,673.6,210.4,670.6,702.7,703.8,595.7,692.1,421.5,304.9,662.7,136.5,241.0,220.4,817.6,828.6,650.8,357.2,686.5,445.6,425.9,243.1,339.1,652.0,329.8,643.4,169.6,635.7,312.5,660.8,432.4,162.6,410.0,733.2,467.5
HD,276.3,249.3,548.7,421.0,85.1,620.4,252.1,580.6,452.1,310.8,161.5,423.0,503.8,283.1,182.2,425.5,342.2,419.2,577.8,570.7,270.3,586.7,116.7,346.2,254.0,193.0,2725.3,523.8,328.7,544.3,566.1,500.0,504.9,519.4,275.6,0.0,330.5,372.4,221.6,328.2,546.6,407.2,200.8,268.1,644.8,402.3,523.3,448.5,592.3,257.5,387.4,614.6,291.3,170.2,213.9,410.4,266.2,390.0,231.5,508.7,258.0,279.9,31.7,579.4,548.4,342.7,451.0,573.8,382.5,677.1,318.1,43.7,585.1,603.7,247.0,413.5,423.0,400.8,286.6,220.0,296.1,407.1,560.2,348.8,567.9,453.2,323.5,450.2,620.9,572.0,375.3,555.7,201.1,168.0,442.3,218.2,447.7,379.3,597.2,608.2,526.4,246.8,466.1,417.1,289.0,165.4,228.7,431.6,442.9,423.0,282.7,415.3,175.6,609.6,212.0,321.5,189.6,618.7,247.1
HP,40.0,538.4,649.6,619.6,422.1,798.3,63.6,615.8,650.7,440.4,498.5,621.6,702.4,85.2,381.7,624.1,293.8,617.8,755.7,769.3,449.4,644.9,322.3,545.7,453.5,482.1,2844.4,722.4,527.3,672.6,667.0,600.9,703.5,620.3,165.4,336.9,0.0,265.7,566.7,527.7,647.5,231.4,261.4,495.7,681.1,117.8,191.7,647.1,650.6,436.6,586.9,657.3,490.8,507.2,503.0,609.0,555.3,588.6,437.1,609.6,547.1,569.0,368.7,778.0,649.3,11.1,512.2,650.5,254.7,768.1,433.2,380.7,676.1,661.9,250.4,474.7,621.6,495.2,514.2,223.4,495.6,501.5,668.5,410.0,766.5,651.8,312.5,648.8,679.2,680.3,573.9,668.6,490.2,373.6,640.9,223.2,136.9,47.7,749.3,806.8,627.3,425.9,664.7,422.1,494.6,311.8,407.8,630.2,258.0,621.6,286.1,613.9,381.2,637.3,501.1,8.9,478.7,709.7,536.2
HX,334.3,591.4,794.8,764.0,475.1,963.4,310.1,761.0,795.1,653.8,551.5,766.0,846.8,271.7,434.7,768.5,30.1,762.2,920.8,913.7,502.4,790.1,375.3,598.7,506.5,535.1,2838.4,866.8,671.7,887.3,812.2,746.1,847.9,765.5,264.2,389.9,343.7,0.0,432.2,580.7,792.7,34.7,314.4,361.2,826.3,224.5,346.0,791.5,795.8,489.6,639.9,802.5,543.8,560.2,538.3,753.4,608.3,733.0,404.0,754.8,601.0,536.7,421.7,922.4,794.5,288.2,657.4,795.7,10.0,913.3,661.1,433.7,821.3,807.1,125.3,619.9,766.0,640.4,379.7,152.7,548.6,646.7,903.2,555.2,910.9,796.2,48.8,793.2,824.4,915.0,718.3,898.7,544.1,337.1,785.3,258.2,166.9,251.6,940.2,951.2,772.5,478.9,809.1,567.3,461.5,364.8,460.8,774.6,101.9,766.0,89.6,758.3,344.7,782.5,554.1,334.7,532.6,854.9,589.2
HZ,452.6,328.7,610.1,482.4,289.3,681.8,428.4,642.0,513.5,372.2,365.7,484.4,565.2,459.4,358.5,486.9,488.1,480.6,639.2,632.1,446.6,648.1,293.0,522.5,430.3,272.4,2673.9,585.2,390.1,605.7,627.5,561.4,566.3,580.8,451.9,204.1,506.8,457.9,0.0,504.5,608.0,423.6,377.1,151.0,706.2,578.6,652.7,509.9,653.7,433.8,563.7,676.0,467.6,374.4,293.3,471.8,345.6,451.4,144.3,570.1,319.4,255.1,235.9,640.8,609.8,519.0,512.4,635.2,446.9,738.5,379.5,247.9,646.5,665.1,423.3,474.9,484.4,462.2,62.8,396.3,472.4,468.5,621.6,410.2,629.3,514.6,499.8,511.6,682.3,633.4,436.7,617.1,262.5,233.2,503.7,394.5,555.8,555.6,658.6,669.6,587.8,423.1,527.5,478.5,125.4,341.7,405.0,493.0,559.9,484.4,459.0,476.7,240.8,671.0,291.4,497.8,251.0,680.1,326.5
IE,457.6,499.5,798.9,671.2,383.2,870.6,433.4,830.8,702.3,561.0,459.6,673.2,754.0,464.4,125.0,675.7,523.5,669.4,828.0,820.9,274.7,836.9,298.0,84.3,98.1,443.2,2975.5,774.0,578.9,794.5,816.3,750.2,755.1,769.6,456.9,298.0,511.8,553.7,530.4,0.0,796.8,588.5,382.1,449.4,895.0,583.6,704.6,698.7,842.5,289.3,135.9,864.8,63.6,468.3,464.1,660.6,516.4,640.2,412.8,758.9,508.2,530.1,329.8,829.6,798.6,524.0,701.2,824.0,563.8,927.3,568.3,341.8,835.3,853.9,428.3,663.7,673.2,651.0,467.9,401.3,127.4,657.3,810.4,599.0,818.1,703.4,504.8,700.4,871.1,822.2,625.5,805.9,451.3,349.3,692.5,399.5,629.0,560.6,847.4,858.4,776.6,221.8,716.3,667.3,470.3,204.5,267.8,681.8,624.2,673.2,464.0,665.5,356.9,859.8,462.2,502.8,439.8,868.9,497.3
IG,590.6,617.9,168.7,271.0,603.3,293.1,566.4,98.8,414.5,291.9,679.7,234.0,219.8,671.4,672.5,387.9,730.5,234.2,250.5,243.4,760.6,104.9,607.0,836.5,744.3,561.6,2749.2,170.2,291.1,117.4,186.1,66.6,195.2,59.1,663.9,518.1,612.7,753.0,572.2,818.5,0.0,718.7,624.7,723.3,132.5,637.8,609.6,279.5,110.5,747.8,877.7,132.8,781.6,688.4,582.5,372.8,634.8,352.4,640.4,48.4,429.2,630.5,549.9,252.1,100.7,601.2,367.2,95.3,742.0,203.9,288.2,561.9,111.9,121.9,635.3,329.7,234.0,259.6,635.1,608.3,786.4,265.3,113.3,265.0,240.6,303.2,711.8,257.9,139.1,125.1,337.7,113.4,517.7,658.3,292.3,586.5,624.2,564.6,272.2,280.9,146.4,737.1,229.7,333.3,621.5,675.1,719.0,242.6,745.3,234.0,671.0,272.7,665.9,129.4,580.6,622.7,512.0,145.5,615.7
IR,306.0,594.2,769.1,729.2,536.1,928.6,344.4,735.3,760.3,617.6,612.5,731.2,812.0,306.0,469.0,733.7,64.4,727.4,886.0,878.9,536.7,764.4,373.1,633.0,540.8,519.3,2803.6,832.0,636.9,852.5,786.5,720.4,813.1,739.8,298.5,450.9,264.9,34.2,397.4,615.0,767.0,0.0,348.7,326.4,800.6,258.8,311.2,756.7,770.1,523.9,674.2,776.8,578.1,621.2,503.5,718.6,611.1,698.2,369.2,729.1,566.2,501.9,482.7,887.6,768.8,253.4,631.7,770.0,23.2,985.3,626.3,494.7,893.3,781.4,159.6,594.2,731.2,709.6,344.9,186.1,582.9,715.3,868.4,529.5,876.1,761.4,83.1,785.9,798.7,880.2,683.5,863.9,509.3,302.3,750.5,292.5,201.2,216.8,905.4,916.4,746.8,513.2,774.3,541.6,426.7,399.1,495.1,739.8,136.2,731.2,123.9,723.5,309.9,755.9,556.9,274.9,497.8,926.9,592.0
IV,226.0,407.5,706.9,579.2,291.2,778.6,201.8,738.8,610.3,469.0,367.6,581.2,662.0,232.8,250.8,583.7,291.9,577.4,736.0,728.9,318.5,744.9,191.4,414.8,322.6,351.2,2883.5,682.0,486.9,702.5,724.3,658.2,663.1,677.6,225.3,206.0,280.2,322.1,423.8,396.8,704.8,356.9,0.0,342.8,803.0,352.0,473.0,606.7,750.5,305.7,456.0,772.8,359.9,376.3,372.1,568.6,424.4,548.2,306.2,666.9,416.2,438.1,237.8,737.6,706.6,292.4,609.2,732.0,332.2,835.3,476.3,249.8,743.3,761.9,196.7,571.7,581.2,559.0,361.3,169.7,364.7,565.3,718.4,507.0,726.1,611.4,273.2,608.4,779.1,730.2,533.5,713.9,359.3,242.7,600.5,167.9,397.4,329.0,755.4,766.4,684.6,295.0,624.3,575.3,363.7,180.9,276.9,589.8,392.6,581.2,232.4,573.5,250.3,767.8,370.2,271.2,347.8,776.9,405.3
IX,420.0,496.5,769.1,641.4,380.2,840.8,395.8,801.0,672.5,529.8,456.6,643.4,724.2,426.8,340.5,645.9,395.0,639.6,798.2,791.1,428.6,807.1,210.9,504.5,412.3,440.2,2820.8,744.2,549.1,764.7,786.5,720.4,725.3,739.8,419.3,295.0,474.2,364.8,158.9,486.5,767.0,330.5,344.5,0.0,865.2,476.3,559.6,668.9,812.7,415.8,545.7,835.0,449.6,465.3,461.1,630.8,513.4,610.4,207.0,729.1,478.4,414.1,326.8,799.8,768.8,486.4,671.4,794.2,353.8,897.5,538.5,338.8,805.5,824.1,390.7,633.9,643.4,621.8,96.4,363.7,454.4,627.5,780.6,569.2,788.3,673.6,413.7,698.1,841.3,792.4,595.7,776.1,421.5,140.1,662.7,361.9,462.7,465.2,817.6,828.6,746.8,405.1,686.5,637.5,264.5,316.9,387.0,652.0,466.8,643.4,426.4,635.7,147.7,829.1,459.2,465.2,410.0,839.1,494.3
JA,622.2,649.5,169.7,289.0,634.9,311.1,598.0,99.8,444.5,324.9,711.3,252.0,237.8,703.0,704.1,419.5,762.1,265.8,268.5,261.4,792.2,53.0,638.6,868.1,775.9,593.2,2780.8,188.2,322.7,107.8,187.1,70.1,213.2,149.2,695.5,549.7,644.3,784.6,603.8,850.1,122.4,750.3,656.3,754.9,0.0,669.4,641.2,297.5,111.5,779.4,909.3,133.8,813.2,720.0,614.1,404.4,666.4,382.4,672.0,138.5,460.8,662.1,581.5,270.1,64.4,632.8,398.8,78.3,773.6,272.0,319.8,593.5,180.0,79.9,666.9,361.3,252.0,290.6,666.7,639.9,818.0,296.9,129.2,296.6,258.6,321.2,743.4,248.4,140.1,141.0,367.7,96.4,549.3,689.9,310.3,618.1,655.8,596.2,287.9,298.9,147.4,768.7,247.7,364.9,653.1,706.7,750.6,260.6,776.9,252.0,702.6,304.3,697.5,128.8,612.2,654.3,537.8,213.6,647.3
JF,137.1,631.5,673.4,643.4,515.2,822.1,160.7,639.6,674.5,464.2,591.6,645.4,726.2,130.5,474.8,647.9,202.2,641.6,779.5,793.1,542.5,668.7,415.4,638.8,546.6,575.2,2806.1,746.2,551.1,696.4,690.8,624.7,727.3,644.1,210.7,430.0,119.1,223.5,528.4,620.8,671.3,193.1,354.5,457.4,704.9,0.0,215.5,670.9,674.4,529.7,680.0,681.1,583.9,600.3,596.1,632.8,648.4,612.4,500.2,633.4,640.2,632.9,461.8,801.8,673.1,131.3,536.0,674.3,216.4,791.9,457.0,473.8,699.9,685.7,295.7,498.5,645.4,519.0,475.9,268.7,588.7,525.3,692.3,433.8,790.3,675.6,220.9,672.6,703.0,704.1,597.7,692.4,583.3,433.3,664.7,298.3,45.3,121.1,773.1,830.6,651.1,519.0,688.5,445.9,557.7,404.9,500.9,654.0,166.4,645.4,261.7,637.7,440.9,661.1,594.2,110.1,571.8,733.5,629.3
