from_stop,AE,AK,AL,AT,AX,BJ,BK,BL,BO,BP,CB,CK,CL,CW,DJ,DK,DO,DP,DS,EO,ER,ES,FA,FK,FO,FP,FU,FZ,GH,GJ,GY,HH,HL,HR,HS,HY,IE,IH,IK,IV,JE,JN,JO,JP,JR,JS,JV,JW,KA,KF,KI,KK,KL,KO,LC,LG,LH,LJ,LR,LS,LT,LU,LX,LZ,MA,MI,MJ,MO,MQ,NF,NM,NS,NX,OA,OD,OM,ON,OO,OQ,OV,PC,PH,PK,PQ,PU,PW,QA,QD,QI,QJ,QQ,QZ,RC,RE,RJ,RN,RU,RV,RY,SJ,SP,SQ,SZ,TE,TH,TK,TU,UA,UJ,UL,VD,VM,VO,WA,WO,WU,WX,XA,XE,XK,XN,XP,XQ,XR,XZ,YC,YG,YN,ZA,ZD,ZM,ZO,ZY
CB,451.6,385.3,505.8,526.1,1119.9,186.7,785.9,418.6,935.3,215.6,0.0,274.4,370.7,359.6,310.5,633.1,600.5,342.0,175.0,589.0,1092.1,195.7,310.8,252.2,982.7,381.6,1141.1,462.5,1026.0,1105.5,324.7,452.6,586.2,599.5,76.2,619.8,750.5,608.0,690.8,404.6,328.3,1039.2,172.0,409.3,682.5,377.9,470.1,610.9,320.1,108.1,338.3,87.2,411.8,665.8,1026.7,400.0,1000.3,378.5,615.2,373.2,177.6,410.8,153.8,561.6,1042.8,407.1,245.7,1485.6,665.2,454.7,965.5,200.4,411.5,1009.0,344.0,755.2,70.7,293.5,294.9,942.9,354.3,897.7,547.6,1046.1,215.5,608.9,274.7,481.3,665.1,991.4,541.9,651.2,701.7,1010.7,509.0,367.4,425.5,1079.5,235.0,256.6,263.1,317.6,71.6,614.9,609.9,356.5,495.5,517.8,567.8,243.0,685.6,777.0,1047.1,212.4,506.8,246.4,1101.2,182.2,499.2,279.4,137.5,448.0,454.2,431.6,305.6,676.6,340.6,269.9,572.3,915.9,1043.2,944.0,562.9
CK,263.7,278.1,401.2,338.2,1021.4,149.4,698.6,273.9,843.7,315.2,216.8,0.0,223.2,208.3,122.6,545.4,531.8,234.8,123.6,401.1,1025.4,297.4,203.6,296.7,884.2,266.9,1042.6,276.8,927.5,1007.0,314.8,266.9,522.9,413.7,293.1,588.3,654.4,520.3,586.2,257.1,179.5,940.7,251.9,221.4,594.8,213.3,364.2,425.1,296.8,188.0,231.1,185.1,223.9,480.0,935.1,285.0,908.7,233.8,537.3,267.3,279.3,236.3,136.4,373.7,976.1,221.3,120.5,1387.1,577.5,307.2,873.9,75.2,225.7,910.5,334.1,667.9,204.3,186.3,233.9,851.3,344.4,806.1,361.9,947.6,90.3,423.1,264.8,375.4,560.6,899.8,356.2,546.6,614.4,912.2,321.1,252.7,237.6,981.0,225.1,339.5,304.4,307.7,288.5,494.2,505.3,209.0,307.6,329.9,382.0,224.3,653.3,689.7,980.4,202.5,402.2,349.3,1034.5,144.9,283.8,228.0,182.0,262.2,266.3,243.7,190.9,572.0,233.4,293.2,384.4,824.3,944.7,852.4,377.2
CL,562.5,531.6,629.5,633.4,876.8,274.1,651.3,50.8,699.1,570.0,487.5,323.2,0.0,165.6,359.3,701.8,701.4,454.1,387.7,637.8,880.8,550.1,418.5,554.2,739.6,250.0,898.0,512.6,782.9,862.4,509.2,502.7,673.5,490.3,464.5,510.1,647.8,676.7,618.0,151.5,103.7,796.1,340.1,458.1,682.3,170.9,571.5,513.3,141.7,374.2,484.6,358.1,460.6,476.3,790.5,88.9,764.1,11.8,716.1,227.0,532.0,192.0,329.8,634.0,831.5,457.1,392.0,1242.5,699.6,135.8,729.3,346.7,523.5,765.9,528.5,674.2,393.0,439.8,217.0,706.7,538.8,661.5,563.9,803.0,361.8,529.6,517.5,582.7,464.4,755.2,558.2,578.4,606.5,767.6,616.8,235.8,474.3,836.4,477.8,554.4,557.1,560.4,459.0,702.2,629.8,85.9,521.1,600.6,502.0,439.2,627.4,642.4,835.8,456.6,586.8,568.7,889.9,278.6,530.7,492.1,432.4,554.1,503.0,480.4,174.0,621.0,486.9,545.9,621.1,679.7,800.1,707.8,579.2
CW,425.7,412.4,563.2,500.2,961.3,199.9,735.8,186.2,783.6,483.1,396.8,248.5,100.3,0.0,284.6,707.4,693.8,379.4,303.6,563.1,965.3,463.2,343.8,411.6,824.1,185.1,982.5,438.8,867.4,946.9,434.5,428.9,758.0,517.0,377.3,576.2,732.3,682.3,684.1,134.2,115.7,880.6,293.2,383.4,766.8,141.7,448.4,535.3,215.0,287.0,393.7,270.9,385.9,560.4,875.0,189.3,848.6,108.1,699.3,180.8,445.1,130.6,238.0,535.7,916.0,383.3,300.5,1327.0,784.1,184.3,813.8,255.2,387.7,850.4,453.8,758.7,346.1,363.3,152.1,791.2,464.1,746.0,523.9,887.5,270.3,516.2,470.6,459.6,548.5,839.7,518.2,644.5,691.0,852.1,483.1,170.9,399.6,920.9,430.9,479.7,464.4,445.4,371.8,656.2,667.3,86.1,547.8,491.9,488.6,364.5,711.9,726.9,920.3,368.3,564.2,515.1,974.4,204.4,445.8,404.4,362.0,424.2,428.3,405.7,109.1,684.6,396.0,453.2,546.4,764.2,884.6,792.3,540.6
DJ,141.0,127.7,278.5,215.5,840.6,200.6,615.1,338.2,662.9,290.7,251.8,130.8,287.5,272.6,0.0,422.7,409.1,94.7,205.9,280.1,844.6,252.8,108.3,176.1,703.4,331.2,861.8,183.3,746.7,826.2,149.8,173.4,400.2,320.2,328.1,413.5,531.7,397.6,463.5,321.4,243.8,759.9,294.7,98.7,472.1,277.6,192.9,331.6,361.1,230.8,109.0,227.9,101.2,386.5,754.3,349.3,727.9,298.1,414.6,331.6,234.7,300.6,199.4,251.0,795.3,127.8,194.7,1206.3,454.8,371.5,693.1,157.5,132.2,729.7,169.1,545.2,238.3,180.0,298.2,670.5,179.4,625.3,268.4,766.8,164.5,329.6,158.1,204.1,385.8,719.0,262.7,423.9,491.7,731.4,241.4,317.0,114.9,800.2,225.5,244.2,179.7,160.7,323.5,371.5,424.8,273.3,212.7,207.2,288.5,129.0,569.1,606.2,799.6,163.1,279.5,230.4,853.7,196.1,190.3,129.5,242.8,168.7,143.6,121.0,255.2,449.3,111.3,168.5,261.7,643.5,763.9,671.6,283.7
DK,328.1,513.1,172.0,293.8,586.2,633.0,182.6,770.6,485.2,629.1,605.6,563.2,719.9,705.0,432.3,0.0,60.0,519.2,638.3,157.4,590.2,609.2,540.7,554.7,449.0,763.6,607.4,420.1,492.3,571.8,481.4,410.2,82.7,354.9,670.7,226.9,117.6,22.2,179.8,753.8,676.2,616.0,696.4,486.6,49.3,710.0,352.3,330.9,836.2,642.2,526.1,621.3,402.0,334.3,574.1,781.7,576.5,730.5,67.2,764.0,591.1,733.0,631.8,286.7,540.9,477.7,627.1,1159.1,32.0,771.5,634.5,589.9,347.2,475.3,500.7,96.7,575.1,608.6,730.6,611.9,511.0,566.7,317.5,512.4,596.9,311.8,599.8,363.5,382.3,488.8,311.8,169.4,98.4,587.5,327.5,749.4,320.6,545.8,560.1,643.9,565.6,511.1,666.1,111.4,163.8,705.7,306.8,261.0,446.1,572.5,132.6,173.7,545.2,594.2,175.8,485.6,599.3,628.5,348.5,580.1,671.6,313.9,289.6,421.8,687.6,190.4,528.4,572.4,171.9,584.9,509.5,493.9,283.1
DO,296.1,478.5,187.9,282.6,586.4,601.0,217.3,715.7,485.4,594.5,571.0,531.2,687.9,673.0,400.3,57.6,0.0,484.6,606.3,124.6,590.4,574.6,508.7,520.1,449.2,731.6,607.6,438.3,492.5,572.0,446.8,428.4,50.7,366.0,637.0,227.1,160.7,66.1,190.9,721.8,644.2,616.2,661.8,443.5,107.0,678.0,320.3,330.8,801.6,607.6,494.1,586.7,358.9,305.6,574.3,749.7,576.7,698.5,14.6,732.0,556.5,701.0,599.8,254.7,541.1,495.9,595.1,1159.3,89.7,771.7,621.5,557.9,365.4,475.5,466.1,131.4,540.5,574.0,698.6,626.1,476.4,580.9,335.7,512.6,564.9,322.9,565.2,331.5,310.4,489.0,330.0,180.5,133.1,587.7,305.7,717.4,288.6,546.0,525.5,609.3,531.0,476.5,631.5,79.4,182.0,673.7,325.0,274.3,457.2,537.9,143.7,208.4,545.4,559.6,194.0,451.0,599.5,596.5,366.7,545.5,637.0,332.1,257.6,378.7,655.6,194.3,496.4,537.8,141.1,599.1,509.7,494.1,302.7
DP,264.9,177.0,388.7,349.3,903.6,218.3,678.1,396.3,725.9,281.7,258.3,211.8,384.3,373.2,110.1,540.2,519.3,0.0,172.6,388.6,907.6,259.3,65.1,150.9,766.4,395.2,924.8,246.3,809.7,889.2,217.1,236.4,529.9,383.2,335.5,476.5,656.8,515.1,579.8,418.2,324.8,822.9,296.0,208.9,589.6,389.6,255.9,398.7,425.1,232.1,130.0,229.2,211.4,449.5,817.3,430.3,790.9,392.1,524.8,386.8,241.2,424.4,167.4,361.2,858.3,190.8,151.5,1269.3,572.3,468.3,756.1,218.9,195.2,792.7,236.4,661.5,243.2,85.2,362.2,733.5,246.7,688.3,331.4,829.8,121.3,392.6,197.1,267.1,448.8,782.0,325.7,540.2,608.0,794.4,304.4,381.0,225.1,863.2,113.8,219.0,218.7,240.0,330.0,481.7,487.8,370.1,275.7,331.0,351.5,103.8,632.1,669.2,862.6,164.4,389.7,297.7,916.7,213.8,253.3,104.3,231.0,231.7,253.8,231.2,319.2,565.6,132.3,207.5,371.9,706.5,826.9,734.6,348.1
DS,319.5,247.9,457.0,394.0,969.2,215.8,765.5,388.2,791.5,201.0,180.1,203.7,381.8,370.7,178.4,612.7,580.1,204.6,0.0,456.9,973.2,181.1,173.4,185.2,832.0,392.7,990.4,311.9,875.3,954.8,208.2,302.0,565.8,448.8,256.4,542.1,730.1,587.6,642.0,415.7,316.7,888.5,217.8,277.2,662.1,387.1,321.5,464.3,426.1,153.9,200.9,151.0,279.7,515.1,882.9,422.2,856.5,393.7,594.8,384.3,163.0,373.5,164.9,429.5,923.9,256.4,149.0,1334.9,644.8,465.8,821.7,198.4,260.8,858.3,227.5,734.8,165.0,156.1,359.7,799.1,237.8,753.9,397.0,895.4,118.8,458.2,166.5,332.7,514.4,847.6,391.3,602.4,681.3,860.0,370.0,378.5,293.4,928.8,126.8,237.0,196.1,209.4,251.8,550.0,553.4,367.6,341.3,385.7,417.1,121.8,665.2,756.6,928.2,86.2,458.0,288.8,982.3,211.3,318.9,104.3,165.9,297.3,322.1,299.5,316.7,627.8,203.2,191.8,440.2,772.1,892.5,800.2,412.3
EO,171.4,330.7,81.1,157.9,665.7,476.3,330.2,613.9,531.9,504.3,480.8,408.3,563.2,548.3,275.6,152.5,130.6,355.1,481.6,0.0,669.7,528.5,384.0,429.9,528.5,606.9,686.9,342.5,571.8,651.3,352.8,332.6,123.6,289.5,545.9,216.4,272.0,127.4,287.4,597.1,519.5,695.5,570.4,301.7,201.9,553.3,195.6,231.2,636.8,506.5,369.4,496.5,227.9,280.3,623.3,625.0,596.9,577.9,136.1,607.3,510.4,576.3,475.1,130.0,620.4,403.5,470.4,1148.7,184.6,647.2,562.1,433.2,282.5,554.8,372.1,244.3,450.3,384.7,573.9,539.5,382.4,494.3,236.6,591.9,440.2,246.4,418.5,206.8,231.5,588.0,229.1,190.6,246.0,667.0,181.0,592.7,163.9,625.3,435.3,519.1,440.1,363.7,541.3,94.9,119.3,549.0,217.1,149.6,380.7,404.7,223.0,321.3,624.7,440.2,103.4,360.8,678.8,473.6,272.4,405.2,518.5,249.2,132.9,247.7,530.9,273.2,371.7,428.9,15.2,512.5,589.0,540.6,212.5
ER,769.3,924.7,677.4,751.6,80.8,915.8,541.8,929.6,326.9,1017.1,975.7,869.5,878.7,910.5,791.0,620.0,598.0,881.4,939.7,649.0,0.0,976.7,832.2,900.0,225.5,994.9,73.8,805.8,205.2,127.7,963.9,795.9,570.1,739.7,1052.9,505.4,538.3,573.3,571.2,822.9,902.1,77.9,1000.1,889.8,572.8,826.1,793.5,617.5,862.5,954.7,877.7,951.8,859.8,570.2,135.6,794.7,301.0,890.6,612.7,971.9,958.6,939.7,934.5,727.9,49.4,750.3,918.6,894.3,590.1,823.0,220.0,906.7,805.0,188.2,983.2,564.7,962.2,832.9,961.9,215.4,993.5,237.1,775.3,178.1,888.4,703.2,902.6,804.7,558.3,149.8,769.6,560.8,503.1,102.7,778.9,980.7,761.8,209.8,862.9,968.1,910.9,993.6,1047.4,598.8,669.2,848.8,770.5,718.8,830.9,852.9,524.0,532.9,44.9,888.4,681.2,968.1,49.4,920.3,806.3,853.4,966.7,771.7,730.8,879.6,918.9,517.6,880.0,917.7,664.3,309.5,137.6,335.6,740.9
ES,519.4,453.1,573.6,593.9,1187.7,254.5,853.7,467.6,1003.1,184.1,67.7,342.2,438.5,427.4,378.3,700.9,668.3,409.8,242.8,656.8,1159.9,0.0,378.6,320.0,1050.5,449.4,1208.9,530.3,1093.8,1173.3,392.5,520.4,654.0,667.3,144.9,687.6,818.3,675.8,758.6,472.4,396.1,1107.0,239.8,477.1,750.3,445.7,537.9,682.8,387.9,175.9,406.1,155.0,479.6,733.6,1094.5,467.8,1068.1,446.3,683.0,441.0,50.6,478.6,221.6,629.4,1110.6,474.9,313.5,1553.4,733.0,522.5,1033.3,268.2,479.3,1076.8,411.8,823.0,138.5,361.3,362.7,1010.7,422.1,965.5,615.4,1113.9,283.3,676.7,342.5,549.1,732.9,1059.2,609.7,719.0,769.5,1078.5,576.8,435.2,493.3,1147.3,302.8,266.4,330.9,385.4,139.4,682.7,677.7,424.3,563.3,585.6,635.6,310.8,753.4,844.8,1114.9,280.2,574.6,314.2,1169.0,250.0,567.0,347.2,205.3,515.8,522.0,499.4,373.4,744.4,408.4,337.7,640.1,983.7,1111.0,1011.8,632.1
FA,274.8,203.2,412.3,349.3,945.2,153.1,709.7,366.3,767.5,216.5,193.1,159.0,319.1,308.0,133.7,556.5,542.9,159.9,107.4,412.2,949.2,194.1,0.0,198.2,808.0,330.0,966.4,287.9,851.3,930.8,229.5,278.0,534.0,424.8,269.4,518.1,665.5,531.4,597.3,353.0,272.0,864.5,230.8,232.5,605.9,324.4,297.5,440.3,359.9,166.9,156.2,164.0,235.0,491.1,858.9,377.5,832.5,331.0,548.4,321.6,176.0,359.2,102.2,384.8,899.9,232.4,86.3,1310.9,588.6,403.1,797.7,153.7,236.8,834.3,248.8,679.0,178.0,111.4,297.0,775.1,259.1,729.9,373.0,871.4,56.1,434.2,179.5,308.7,490.4,823.6,367.3,557.7,625.5,836.0,332.2,315.8,248.7,904.8,139.8,263.0,209.1,222.4,264.8,505.3,516.4,304.9,318.7,341.0,393.1,147.8,664.4,700.8,904.2,99.2,413.3,262.8,958.3,148.6,294.9,135.3,165.8,273.3,277.4,254.8,254.0,583.1,158.5,207.9,395.5,748.1,868.5,776.2,388.3
FK,310.5,186.9,430.9,394.9,1010.3,304.1,719.7,506.4,832.6,212.4,188.9,318.5,485.1,474.0,216.8,566.9,534.3,207.0,292.4,432.5,1014.3,192.5,189.8,0.0,873.1,466.1,1031.5,293.9,916.4,995.9,103.0,284.0,520.0,489.9,254.9,583.2,684.3,541.8,615.9,519.0,431.5,929.6,279.7,207.1,616.3,468.5,301.5,482.2,419.5,225.5,236.7,204.6,230.7,533.8,924.0,499.4,897.6,497.0,549.0,487.6,174.4,525.2,271.2,403.4,965.0,297.5,293.6,1376.0,599.0,569.1,862.8,317.8,246.7,899.4,122.3,689.0,158.4,191.9,394.3,840.2,132.6,795.0,379.0,936.5,263.4,421.3,183.1,312.7,555.5,888.7,373.3,556.8,635.5,901.1,350.0,469.9,267.3,969.9,143.4,195.3,10.8,123.3,249.4,523.9,535.4,470.9,327.2,382.5,458.2,131.9,619.4,710.8,969.3,177.5,431.9,129.8,1023.4,299.6,304.8,163.4,254.9,283.2,296.0,228.4,410.6,601.7,239.0,17.6,414.1,813.2,933.6,841.3,394.3
