from_stop,AA,AB,BC,BH,BQ,BR,BV,BX,CA,CW,DC,DI,DS,EZ,FD,FG,FJ,FU,FZ,GA,GD,GE,GP,GS,GW,GX,IA,IM,IQ,JJ,JL,KI,KR,LF,LU,MM,MN,MV,MY,NI,NK,NX,OB,PA,PP,PS,PT,PZ,QA,RC,RH,RK,SG,TM,TQ,UK,UP,UV,UY,VE,VI,VK,WE,XO,XZ,YB,YT
DI,86.3,262.6,295.4,203.4,146.5,193.5,129.3,171.2,143.9,130.5,249.9,0.0,202.4,73.8,200.3,194.2,186.2,148.3,121.8,102.3,201.1,143.7,213.3,123.3,141.3,130.7,45.7,232.8,153.5,86.4,27.1,211.9,160.5,150.2,284.1,98.9,226.1,256.3,69.5,248.0,158.7,226.2,99.6,185.5,138.5,163.3,306.9,281.8,249.3,234.9,259.4,211.4,120.0,1574.0,116.6,229.3,73.5,114.8,142.1,153.8,130.5,297.7,111.6,244.7,156.3,127.2,327.5
DS,248.9,187.3,223.9,357.5,167.8,327.3,128.8,278.9,290.7,109.7,277.5,400.9,0.0,225.6,298.7,301.6,393.2,307.5,257.9,235.9,255.3,279.8,277.6,239.3,160.3,282.5,379.7,188.0,190.4,240.5,352.5,269.2,208.6,186.4,209.9,253.0,288.9,261.7,205.6,276.1,207.1,156.9,257.4,254.2,138.0,207.8,233.1,309.3,227.0,257.1,286.9,9.0,274.1,1710.1,259.4,26.8,157.9,162.7,179.0,295.0,266.6,355.5,221.0,290.3,320.3,260.9,375.4
EZ,157.6,294.8,326.1,129.5,192.5,120.5,168.1,97.3,70.0,287.5,320.9,119.1,265.5,0.0,126.4,120.3,113.7,81.8,116.2,139.6,263.0,138.1,291.3,49.4,187.3,56.8,84.5,276.7,142.0,49.4,64.8,273.8,147.5,220.7,312.3,25.0,288.0,355.3,63.9,319.3,84.8,299.2,130.8,111.6,177.3,192.8,337.6,333.1,293.2,278.8,330.7,284.4,46.1,1568.4,79.6,302.3,112.3,127.4,130.6,78.9,122.9,369.0,182.9,316.0,119.3,121.6,398.8
FD,166.6,362.1,353.9,192.1,201.5,185.5,313.3,46.3,145.2,296.5,329.9,246.0,293.4,136.4,0.0,195.5,240.6,157.0,212.5,200.6,290.8,234.4,293.6,90.2,196.3,64.5,221.0,304.5,151.0,185.9,201.3,307.0,156.9,238.7,390.5,114.6,315.8,336.6,200.4,328.8,93.8,334.8,231.7,36.3,322.5,254.2,355.1,362.1,321.0,306.6,339.7,302.4,108.1,1704.9,216.1,320.3,193.9,136.4,139.6,64.7,219.2,378.0,191.9,325.0,255.8,217.9,407.8
FG,239.0,377.7,402.0,197.2,273.9,134.7,244.0,165.6,58.1,245.2,402.3,117.5,341.4,109.5,202.0,0.0,113.2,115.0,85.1,215.5,338.9,74.4,383.0,157.5,252.5,125.1,154.7,353.4,250.1,107.3,144.2,355.1,256.6,296.6,388.2,133.1,363.9,423.9,139.8,401.2,192.9,375.1,257.8,179.9,253.2,270.6,413.6,409.0,369.1,354.7,412.1,360.3,114.4,1585.9,137.5,378.2,188.2,235.5,237.6,147.2,93.8,445.8,264.3,397.4,177.2,90.5,480.2
FJ,91.7,266.5,300.8,208.8,151.9,198.9,134.7,176.6,149.3,135.9,255.0,5.3,197.9,79.2,205.7,199.6,0.0,161.1,127.2,106.2,206.5,149.1,225.4,128.7,146.7,136.1,51.1,238.2,158.9,91.8,32.5,217.3,164.8,155.6,289.1,104.3,231.5,267.6,74.9,253.4,164.1,231.6,129.0,190.9,143.9,159.4,312.3,287.2,254.7,240.3,264.8,216.8,125.4,1579.4,122.0,234.7,118.4,120.2,147.5,158.2,133.9,303.1,117.0,250.1,161.7,132.6,332.9
FU,240.7,384.5,410.7,170.3,275.6,101.3,252.7,140.6,58.2,370.6,404.2,151.6,362.4,84.5,162.3,108.5,153.6,0.0,118.1,225.7,347.6,147.4,360.3,132.5,263.0,100.1,161.7,366.0,225.1,134.0,150.5,358.4,232.3,305.3,397.3,108.1,372.6,432.6,141.1,402.4,160.5,376.4,259.1,154.9,261.9,279.3,414.8,417.7,377.8,356.0,406.4,369.0,89.4,1626.3,164.2,386.9,242.1,210.5,206.3,123.2,132.2,452.1,266.0,391.7,203.9,130.9,481.9
FZ,186.4,318.1,349.4,189.4,221.3,211.2,191.4,157.5,130.2,192.6,350.1,142.4,288.8,60.1,186.6,95.9,137.0,134.6,0.0,162.9,286.3,21.8,313.4,109.6,216.1,117.0,107.8,300.8,202.2,54.7,89.2,297.1,207.7,244.0,335.6,85.2,311.3,371.3,87.2,348.1,145.0,322.5,154.1,171.8,200.6,224.3,360.9,356.4,316.5,302.1,359.5,307.7,106.3,1591.7,84.9,325.6,135.6,187.6,190.8,139.1,6.6,397.8,211.7,344.8,124.6,5.3,427.6
GA,219.5,160.2,194.5,327.8,138.4,298.7,97.9,249.5,251.2,81.1,250.3,370.0,148.9,197.0,270.1,272.2,364.6,273.0,227.0,0.0,225.9,250.4,256.9,210.8,131.7,253.9,341.7,189.7,163.3,211.1,323.1,236.7,170.6,157.0,183.2,223.6,249.4,216.4,174.7,248.5,178.6,126.0,258.8,224.8,108.6,188.1,206.0,282.3,187.5,216.3,258.4,155.5,244.7,1680.7,239.8,173.4,104.9,123.2,152.0,266.9,235.2,314.7,191.6,261.7,281.0,232.4,346.0
GD,145.1,117.0,105.9,389.8,183.9,370.5,126.9,277.0,315.9,128.1,161.5,265.9,104.9,259.6,291.8,335.4,261.6,341.5,291.7,116.4,0.0,313.6,179.0,239.8,162.5,316.5,243.8,57.3,209.3,272.2,233.3,16.2,215.8,82.6,92.1,264.2,25.0,127.8,221.7,160.4,207.6,138.6,185.9,252.3,136.1,44.5,117.5,193.7,73.0,58.6,171.3,123.8,305.8,1754.9,302.4,141.7,183.4,170.6,196.8,295.4,300.4,223.0,117.2,174.6,342.1,297.1,257.4
GE,164.5,296.2,327.5,168.4,199.4,189.3,169.5,135.6,108.3,170.7,327.8,119.4,266.9,38.2,172.0,158.6,115.1,120.1,117.6,141.0,264.4,0.0,308.5,87.7,178.0,95.1,80.2,278.9,180.3,32.8,69.7,280.6,186.8,222.1,313.7,63.3,289.4,356.7,65.3,326.7,123.1,300.6,160.7,149.9,178.7,196.1,339.1,334.5,294.6,280.2,337.6,285.8,84.4,1569.8,63.0,303.7,113.7,165.7,167.8,117.2,126.3,371.3,189.8,322.9,102.7,123.0,405.7
GP,135.2,98.5,100.3,389.1,192.4,354.2,210.0,280.9,313.1,211.2,26.9,276.0,156.1,258.9,303.0,326.2,270.6,327.0,282.5,164.7,100.1,304.4,0.0,250.1,187.2,309.4,258.5,120.2,205.8,265.1,280.4,110.9,206.6,131.6,155.8,268.1,131.5,36.2,230.2,35.1,211.5,183.5,148.2,256.2,225.6,128.4,54.7,61.7,130.3,122.3,39.3,173.7,298.7,1734.7,301.7,198.0,191.2,160.7,195.6,298.3,289.2,84.3,107.3,24.6,335.0,294.3,107.4
GS,108.1,303.9,295.4,168.1,143.0,158.5,254.8,88.9,108.0,238.0,271.6,208.8,225.0,59.4,111.0,158.3,203.4,112.4,175.3,140.6,232.3,197.2,235.1,0.0,137.8,94.8,144.0,250.7,92.5,108.9,128.0,248.5,99.7,180.2,331.6,24.3,257.3,284.0,123.4,269.8,35.3,276.3,173.2,64.2,264.0,193.8,296.6,303.6,262.5,248.1,281.2,243.9,84.1,1627.9,139.1,261.8,109.5,77.9,81.1,106.3,184.0,319.5,133.4,266.5,178.8,180.7,349.3
GW,209.5,291.8,323.1,194.8,5.1,166.9,165.1,162.6,119.4,166.3,326.9,98.1,262.5,65.2,191.7,138.9,92.7,139.7,95.2,136.6,260.0,117.1,290.6,114.7,0.0,122.1,81.5,274.5,207.3,77.8,65.3,270.8,212.8,217.7,309.3,90.3,285.0,352.3,42.9,325.8,150.1,296.2,156.3,176.9,174.3,184.5,334.6,330.1,290.2,275.8,336.7,281.4,111.4,1547.4,108.0,299.3,109.3,192.7,195.9,144.2,104.7,375.0,234.8,322.0,147.7,100.6,404.8
GX,184.0,384.9,393.0,121.6,218.9,115.9,235.0,39.5,75.6,313.9,347.3,176.4,332.4,66.8,54.5,125.9,171.0,136.6,142.9,206.5,329.9,164.8,311.0,107.6,212.9,0.0,151.4,343.6,168.4,116.3,131.7,346.1,173.9,287.6,407.5,90.4,354.9,354.0,130.8,345.7,111.2,352.2,197.7,53.7,244.2,267.9,372.5,379.5,360.1,345.7,357.1,351.3,38.5,1635.3,146.5,369.2,211.3,153.8,157.0,80.3,149.6,395.4,209.3,342.4,186.2,148.3,425.2
IA,40.5,216.8,249.6,349.6,100.7,262.5,83.5,233.6,289.5,84.7,203.8,272.6,148.0,219.4,255.7,234.5,267.2,293.9,190.8,56.5,155.3,212.7,168.8,196.4,95.5,276.3,0.0,191.7,107.7,232.0,193.1,166.1,113.2,104.4,237.9,244.5,180.3,210.5,138.5,202.7,164.2,180.4,53.8,208.9,92.7,108.2,261.1,236.0,203.5,189.1,213.6,165.6,265.6,1643.0,262.2,183.5,67.2,69.0,96.3,251.0,197.5,251.9,65.8,198.9,301.9,196.2,281.7
IM,150.7,59.6,99.8,395.7,207.9,391.3,165.7,301.5,336.7,162.7,155.4,273.5,77.2,265.4,322.9,341.9,267.4,347.3,297.5,140.2,69.3,320.1,155.8,264.3,202.7,322.3,256.0,0.0,214.2,278.7,239.1,84.8,221.4,104.0,35.5,288.7,108.6,128.2,256.3,154.3,232.1,68.8,163.7,276.8,160.6,68.3,110.5,186.8,26.6,46.7,164.4,84.5,312.3,1761.4,323.2,102.4,204.1,175.5,203.5,319.2,307.0,224.3,122.8,168.5,362.9,317.9,251.3
IQ,72.7,267.0,260.0,248.7,107.6,269.4,133.7,118.6,189.5,220.4,236.2,200.6,201.8,140.9,140.7,239.8,195.2,193.9,197.7,106.6,196.9,219.6,206.4,81.4,102.4,158.1,241.5,211.4,0.0,180.3,225.3,207.7,6.5,144.8,246.2,105.8,221.9,248.6,145.4,234.3,49.2,223.3,137.8,93.9,142.9,153.1,261.0,268.2,227.1,212.7,245.8,208.5,165.6,1577.7,210.5,226.4,100.0,42.5,16.9,137.0,204.4,284.1,98.0,231.1,250.2,203.1,313.9
JJ,131.6,324.4,318.9,356.8,166.5,328.3,192.6,324.0,280.8,193.8,294.9,258.4,248.5,226.6,249.8,300.3,254.1,308.5,256.6,164.1,255.8,278.5,275.6,276.1,145.1,283.5,294.7,270.3,153.5,0.0,284.2,272.0,160.0,203.7,305.1,251.7,280.8,307.5,204.3,293.8,165.6,282.2,196.7,210.3,201.8,219.2,320.0,327.1,286.0,271.6,304.7,267.4,272.8,1708.8,30.1,285.3,158.9,114.8,141.0,305.6,265.3,338.4,156.9,290.0,69.8,262.0,372.8
JL,56.7,231.3,265.8,364.9,116.9,281.1,99.5,249.8,305.7,100.7,220.0,291.2,175.2,235.6,271.9,250.7,285.8,310.1,206.8,72.7,171.5,228.9,192.8,216.1,111.7,292.3,16.2,207.9,123.7,248.2,0.0,182.3,131.1,120.6,254.5,260.7,200.0,226.7,154.5,218.4,180.2,199.0,69.8,225.1,108.9,136.1,280.8,261.6,179.8,205.3,229.8,181.8,281.8,1659.2,278.4,199.7,83.4,85.0,114.9,267.2,213.7,267.9,82.0,217.5,320.5,212.2,297.9
KI,159.0,130.9,119.8,402.8,197.8,384.4,136.1,290.9,329.8,137.3,175.6,276.2,131.1,273.5,308.3,349.3,275.5,348.0,300.9,131.8,13.8,327.5,171.1,249.0,192.6,325.7,258.7,70.4,223.2,286.1,244.8,0.0,230.4,96.5,106.4,278.1,8.7,144.3,230.9,173.8,216.8,147.8,195.1,266.2,150.0,50.1,131.3,202.9,82.2,67.8,180.5,137.7,319.7,1768.8,311.6,155.6,164.3,184.5,211.8,308.3,312.3,236.8,131.1,188.5,356.0,306.3,271.3
KR,79.2,272.9,266.5,255.5,114.1,275.3,140.9,125.1,196.7,226.5,241.9,205.0,196.8,146.4,146.2,246.3,200.7,200.4,203.2,113.2,203.4,226.1,206.9,88.6,107.9,163.6,247.4,221.8,6.5,186.8,229.4,214.2,0.0,151.3,252.1,112.3,227.4,248.6,150.9,240.9,56.4,228.8,143.3,100.4,149.4,167.5,267.7,273.7,194.4,218.6,251.7,215.0,172.1,1571.2,216.0,232.9,80.6,48.0,22.4,142.5,210.9,289.6,104.5,237.0,256.7,208.6,320.4
LF,62.4,152.0,152.4,324.9,119.6,314.1,84.7,234.8,263.3,85.9,163.6,213.3,44.7,194.7,249.6,282.8,209.0,276.6,239.1,74.2,71.3,261.0,144.3,197.6,98.2,251.6,178.9,103.8,126.6,207.3,168.4,87.5,133.1,0.0,138.6,219.8,96.3,181.6,157.4,162.5,165.4,78.4,103.2,210.1,93.9,26.1,164.0,195.8,119.5,105.1,173.4,63.6,240.9,1661.9,237.5,81.5,100.7,87.9,114.1,253.2,247.8,207.1,34.5,158.7,277.2,244.5,241.5
LU,144.0,132.2,165.0,353.3,163.9,325.7,143.4,293.9,277.8,107.7,220.6,294.5,73.4,224.0,315.6,297.7,290.6,298.5,253.6,134.8,150.4,275.9,227.4,256.7,158.3,280.5,266.2,136.7,208.2,236.6,247.6,161.2,213.7,81.5,0.0,281.1,175.0,186.9,201.7,219.0,224.5,33.6,154.4,269.2,153.0,112.6,176.6,252.4,159.5,187.9,230.0,80.0,270.2,1706.2,266.8,97.9,130.4,169.5,196.8,311.3,260.7,286.3,116.1,233.7,306.5,259.0,316.5
MM,132.5,328.3,319.8,143.7,167.4,134.1,279.2,110.9,83.6,262.4,295.8,183.3,249.4,35.0,128.1,133.9,179.0,95.4,150.9,165.0,256.7,172.8,276.5,24.3,146.0,70.4,113.9,271.2,116.9,84.5,103.4,272.9,123.4,204.6,356.0,0.0,281.7,308.4,99.0,294.7,59.7,300.7,165.9,88.6,288.4,220.1,320.9,328.0,286.9,272.5,305.6,268.3,59.7,1603.5,114.7,286.2,159.8,102.3,104.4,92.5,159.6,339.3,157.8,290.9,154.4,156.3,373.7
MN,166.6,138.5,127.4,410.7,205.4,392.0,148.4,298.5,337.4,149.6,183.0,288.5,136.3,281.1,320.6,356.9,283.1,355.6,313.2,137.9,21.4,335.1,183.4,261.3,200.2,338.0,271.0,78.0,230.8,293.7,251.3,12.2,236.3,104.1,113.6,285.7,0.0,156.6,243.2,181.9,229.1,160.1,207.4,273.8,157.6,65.1,138.9,215.2,94.5,80.1,192.8,145.3,327.3,1776.4,323.9,163.2,171.9,192.1,219.4,315.9,321.9,249.1,138.7,196.1,363.6,318.6,278.9
MV,168.4,58.9,33.4,439.5,232.9,425.3,250.5,321.4,376.6,251.7,33.6,320.4,129.3,317.2,336.2,396.1,322.3,384.4,352.4,205.2,140.6,374.3,33.1,276.9,227.7,366.8,299.8,106.3,232.6,329.8,288.5,144.1,238.5,165.7,136.5,342.3,165.6,0.0,263.4,24.7,244.7,170.6,216.5,296.7,259.7,160.3,12.5,65.8,104.8,72.3,36.1,154.1,363.4,1842.8,352.7,172.0,192.1,193.9,228.5,339.8,353.8,98.0,147.8,46.7,392.4,357.8,129.5
MY,141.5,311.2,401.7,218.8,273.6,123.9,184.5,194.7,76.4,185.7,304.8,55.1,257.6,112.4,223.8,95.9,49.7,136.7,52.2,156.0,256.3,74.1,268.5,161.9,268.4,154.2,100.9,352.3,254.5,107.0,81.2,267.1,260.4,205.4,387.9,137.5,281.3,423.6,0.0,303.2,197.3,281.4,154.8,209.0,193.7,203.9,413.2,408.7,368.8,354.4,314.6,266.6,143.5,1504.4,137.2,284.5,128.7,239.9,243.1,176.3,60.9,352.9,166.8,299.9,176.9,57.6,382.7
NI,182.1,83.8,60.2,455.3,239.3,443.2,256.9,327.8,393.2,258.1,1.2,344.8,174.3,326.5,349.2,412.7,338.9,400.5,369.0,213.1,147.0,390.9,40.4,376.0,234.1,382.9,316.4,143.7,245.6,338.6,297.3,157.8,252.8,172.1,169.6,351.1,171.3,32.6,321.7,0.0,257.7,202.6,195.1,303.1,266.1,158.4,45.2,33.2,137.3,104.3,10.9,180.9,372.2,1875.2,368.8,198.8,205.8,206.9,234.9,406.0,375.7,85.4,154.2,32.4,408.5,374.9,115.9
NK,72.7,268.5,260.0,200.3,107.6,190.7,219.4,69.3,140.2,202.6,236.2,241.0,199.5,91.6,91.4,190.5,235.6,152.0,197.7,105.2,196.9,219.6,199.7,32.1,102.4,108.8,176.2,210.6,57.1,141.1,160.0,213.1,64.3,144.8,296.2,56.5,221.9,248.6,145.4,234.9,0.0,240.9,137.8,44.6,228.6,160.3,261.2,268.2,227.1,212.7,245.8,208.5,116.3,1649.9,171.3,226.4,74.1,42.5,45.7,86.7,204.4,284.1,98.0,231.1,211.0,203.1,313.9
NX,112.9,164.5,203.9,320.1,129.8,291.6,90.8,240.9,244.1,74.0,259.9,222.8,155.9,189.9,263.0,263.6,217.4,264.4,219.9,218.2,235.3,241.8,259.9,203.7,124.6,246.8,206.2,169.7,154.8,202.5,187.6,246.1,160.3,166.4,192.2,215.0,260.3,225.8,167.6,257.9,171.5,0.0,148.3,216.2,100.0,190.8,215.4,291.7,198.4,227.2,269.3,164.9,236.1,1672.1,232.7,182.8,96.3,116.1,148.1,258.3,226.6,325.6,201.0,272.6,272.4,225.3,355.4
OB,83.8,209.4,226.8,270.8,141.0,261.2,100.3,238.9,224.6,101.5,174.7,196.9,129.2,141.5,268.0,261.9,216.6,195.6,161.7,71.8,162.7,192.2,144.7,163.2,135.8,170.6,131.4,148.9,148.0,167.1,128.2,173.5,130.0,111.6,254.7,166.6,160.2,193.5,137.2,185.2,131.6,161.6,0.0,225.4,109.5,115.6,199.5,206.5,165.4,151.0,184.1,175.3,200.7,1641.7,156.5,193.2,107.5,109.3,135.4,192.7,168.4,222.4,64.8,197.9,224.0,194.9,264.7
PA,130.2,326.0,317.5,187.7,165.1,181.1,276.9,24.6,140.8,260.1,293.5,240.5,247.1,113.3,39.4,191.1,236.2,152.6,208.1,162.7,254.4,230.0,274.2,53.8,143.7,64.1,192.2,268.9,114.6,162.8,181.7,270.6,121.1,202.3,353.7,78.2,279.4,306.1,177.3,292.4,57.4,298.4,195.3,0.0,286.1,217.8,318.6,325.7,284.6,270.2,303.3,266.0,103.7,1681.8,193.0,283.9,157.5,100.0,102.1,43.0,216.8,337.0,155.5,288.6,232.7,213.5,371.4
PP,112.9,237.3,276.7,271.8,147.8,262.2,188.2,140.8,211.7,171.4,276.2,311.4,218.8,163.1,155.6,262.0,307.1,223.5,279.0,145.4,308.1,300.9,256.9,103.6,126.4,180.3,242.0,242.5,77.3,212.6,231.5,324.3,83.8,239.2,265.0,128.0,333.1,305.9,227.1,275.1,71.4,209.7,178.0,116.1,0.0,262.9,288.3,308.4,271.2,300.0,286.0,237.7,187.8,1655.1,242.8,255.6,140.2,82.7,64.8,159.2,287.7,319.7,138.2,271.3,282.5,284.4,354.1
PS,100.5,144.3,126.2,363.0,139.3,298.9,74.2,232.4,260.7,75.4,182.0,259.6,72.6,224.7,261.6,273.1,239.0,315.6,227.2,73.3,45.1,251.3,131.5,193.0,131.9,263.8,214.6,81.5,164.7,245.4,204.1,55.9,171.9,38.0,112.8,219.6,69.4,162.6,169.0,180.2,160.8,85.9,111.3,207.7,91.5,0.0,131.4,213.6,53.4,88.4,193.5,79.2,279.0,1681.6,267.5,97.1,105.8,126.9,160.4,249.8,236.1,215.9,72.6,162.9,322.4,226.7,246.4
PT,186.1,39.4,15.0,457.7,243.3,443.0,260.9,331.8,387.0,262.1,44.3,338.1,129.0,327.6,353.9,406.5,332.7,409.5,362.8,217.1,151.0,384.7,44.4,294.6,238.1,384.5,317.5,98.4,250.2,340.2,297.8,161.8,256.7,176.1,124.3,352.7,176.0,10.3,281.1,42.4,262.4,158.0,199.1,307.1,270.1,163.6,0.0,76.2,92.2,59.7,53.8,135.6,373.8,1860.5,370.4,153.5,235.7,211.6,238.9,349.2,369.5,110.1,158.2,57.1,410.1,368.2,139.9
PZ,228.1,131.7,106.2,462.6,285.3,442.9,302.9,429.8,401.3,304.1,43.7,352.4,220.3,332.4,458.9,420.8,347.0,406.9,377.1,257.6,193.0,399.0,86.4,381.9,280.1,389.3,322.3,185.0,292.3,345.0,257.0,203.8,297.8,218.1,215.2,357.5,218.0,72.7,328.1,45.9,304.4,249.3,314.0,349.1,312.1,204.4,91.2,0.0,183.5,151.0,29.8,226.9,378.6,1828.8,375.2,244.8,251.8,253.6,280.9,411.4,385.8,132.1,200.2,79.1,414.9,382.5,161.9
QA,125.3,154.8,189.1,386.9,182.1,377.0,125.1,275.2,326.2,126.3,245.0,277.3,36.6,257.6,297.3,345.7,271.9,332.1,302.0,114.6,131.7,323.9,190.2,238.0,176.9,314.5,247.5,154.9,189.4,270.2,208.9,142.5,195.4,62.8,177.4,262.4,156.7,211.0,219.9,126.7,205.8,76.1,136.1,250.5,134.3,79.3,200.6,276.9,0.0,165.5,254.5,43.3,303.8,1724.4,300.4,61.2,148.6,150.8,178.1,292.5,279.5,274.6,97.4,221.6,340.1,307.4,304.4
