from_stop,AB,AN,AZ,BA,BB,BH,BI,DP,DQ,DU,ED,EJ,EQ,FI,GD,GG,GL,GU,IE,IU,IZ,JK,KU,KV,KW,LK,LN,LY,MI,MJ,MN,NA,NC,NE,NM,NQ,NZ,OD,OH,OW,OZ,PN,PU,QI,QN,QV,QY,RW,SK,SM,SP,SU,TJ,TP,TW,TX,UJ,UW,VH,VQ,WT,XH,XX,YC,YU,ZG,ZH,ZP,ZY
QI,320.0,181.5,108.8,118.5,128.1,161.3,99.8,118.9,219.3,61.6,123.6,138.7,180.0,223.2,89.4,243.9,94.8,15.6,149.5,29.0,135.3,292.4,143.2,40.5,66.5,292.4,109.7,176.8,111.5,80.8,230.1,181.2,336.9,204.3,141.5,182.7,254.8,16.1,233.4,180.7,95.3,169.4,349.8,0.0,136.2,144.3,138.4,201.1,109.1,127.7,317.4,80.4,227.4,23.6,231.7,32.0,137.8,218.3,336.5,167.6,226.5,202.1,137.9,206.7,1219.2,184.0,88.1,240.4,46.9
QN,339.7,239.6,149.2,159.2,186.2,219.4,157.9,177.0,277.4,119.7,181.7,161.1,238.1,254.4,147.5,293.1,152.9,73.7,207.6,87.1,193.4,312.1,201.3,60.2,107.2,312.1,129.4,196.5,169.6,138.9,236.1,204.2,353.7,262.4,199.6,240.8,294.1,35.8,291.5,229.9,153.4,260.0,369.5,58.0,0.0,169.5,196.5,259.2,167.2,185.8,375.5,195.2,266.7,81.7,289.8,90.1,195.9,238.0,356.2,225.7,275.7,260.2,196.5,255.9,1238.9,203.7,107.8,279.7,105.0
QV,234.1,231.4,61.5,244.1,178.0,226.2,184.9,262.9,294.7,213.1,203.1,98.3,332.9,89.5,272.7,128.7,273.8,159.6,287.0,173.0,203.2,192.0,287.2,96.4,192.1,206.5,38.6,92.2,167.0,163.5,123.7,54.8,221.7,302.2,208.0,332.3,134.4,119.6,377.4,65.5,224.8,291.5,249.4,143.9,261.8,0.0,282.4,327.6,255.1,275.1,210.5,226.7,122.0,165.9,307.5,176.0,213.6,130.3,250.6,294.9,126.5,277.5,281.9,139.2,1204.8,98.1,76.8,120.0,190.9
QY,459.1,168.2,268.6,257.6,196.0,148.0,222.1,98.5,231.5,183.9,103.2,280.5,177.6,373.8,211.7,410.4,92.4,171.4,181.1,151.3,144.4,431.5,32.8,179.6,205.6,431.5,248.8,315.9,179.4,130.7,355.5,323.6,473.1,243.6,128.2,180.3,413.5,155.2,230.1,347.2,47.4,79.2,488.9,139.0,275.3,288.9,0.0,62.6,106.7,125.3,481.0,131.4,386.1,145.9,211.3,174.3,117.4,357.4,475.6,163.0,393.0,214.3,0.5,373.2,1320.0,323.1,227.2,399.1,169.2
RW,429.0,257.0,203.0,227.5,203.6,236.8,150.3,288.7,320.3,119.6,293.4,232.9,372.7,322.1,223.0,338.1,260.1,109.8,135.2,83.8,228.8,401.4,223.0,149.5,175.5,401.4,218.7,285.8,192.6,134.4,323.3,269.4,431.1,192.6,217.0,300.5,349.0,125.1,339.2,274.9,237.6,16.5,458.8,108.9,245.2,238.5,190.1,0.0,214.1,239.9,411.6,68.7,321.6,92.2,401.5,126.2,307.6,325.2,445.5,358.1,320.9,303.1,197.4,353.8,1266.2,293.0,197.1,334.6,97.4
SK,440.0,167.1,251.8,238.5,181.6,146.9,70.9,97.4,110.1,164.8,102.7,253.9,77.8,359.4,97.5,393.4,3.0,138.8,254.7,132.2,143.3,417.0,92.9,160.5,186.5,412.4,229.7,298.1,170.6,165.5,329.9,310.5,454.0,307.5,128.7,75.2,394.4,136.1,124.2,330.2,56.1,178.5,472.1,119.9,256.2,254.8,96.9,152.1,0.0,20.0,463.2,185.9,369.3,125.1,217.7,155.2,120.9,336.2,456.5,56.6,378.5,92.9,89.4,384.3,1339.2,304.0,208.1,380.0,150.1
SM,518.6,227.7,328.1,317.1,255.5,204.1,149.5,158.0,291.0,250.9,163.3,336.6,61.1,438.0,70.9,466.5,186.9,230.9,276.7,210.8,203.9,487.6,74.3,235.7,265.1,491.0,308.3,376.7,244.5,226.1,416.0,389.1,532.6,336.6,185.9,242.0,473.0,214.7,290.5,406.7,106.9,172.2,545.0,198.5,334.8,333.4,96.3,155.6,168.2,0.0,540.5,224.4,442.2,203.7,267.4,233.8,176.9,414.8,531.7,34.2,452.7,273.8,96.3,459.5,1416.4,379.2,286.7,458.6,228.7
SP,305.5,279.3,91.9,315.5,200.1,259.1,269.9,275.0,329.3,231.7,233.6,128.7,380.2,20.0,259.5,123.2,300.0,173.3,319.6,199.1,253.1,277.9,321.6,167.8,263.5,277.9,110.0,162.3,183.5,307.2,175.1,126.2,216.2,374.4,239.3,387.9,199.8,191.0,438.6,60.0,282.5,362.9,286.3,215.3,333.2,71.3,325.6,388.3,314.3,327.9,0.0,250.5,172.4,193.7,260.9,156.2,219.4,203.8,334.0,367.8,105.8,312.1,325.6,86.0,1276.0,169.5,143.3,185.4,217.0
SU,390.3,218.3,164.3,188.8,164.9,198.1,111.6,219.9,281.5,72.5,224.6,194.2,312.7,283.3,154.1,299.4,168.2,71.1,66.4,45.1,190.1,362.6,154.2,110.8,136.7,362.6,179.9,248.4,153.9,169.7,284.5,230.6,392.3,123.7,179.8,261.8,310.3,86.4,270.4,236.1,168.8,93.7,420.1,70.2,206.5,199.8,121.3,139.5,186.4,201.1,372.9,0.0,282.8,56.8,279.4,87.5,185.4,288.5,406.8,291.5,282.1,264.3,121.7,315.0,1197.4,254.2,158.4,295.9,58.6
TJ,260.6,301.0,116.1,345.2,247.6,280.8,284.2,314.7,364.3,286.7,272.7,152.9,424.8,177.1,388.3,105.4,385.7,260.7,361.5,246.6,272.8,233.0,388.3,197.5,293.2,233.0,152.2,117.4,236.6,325.9,135.9,64.0,198.4,364.9,262.6,433.4,27.3,220.7,478.5,153.1,340.4,405.1,290.4,245.0,362.9,128.0,383.5,455.7,354.2,376.2,240.1,340.3,0.0,240.3,362.1,203.7,268.2,156.8,277.1,412.7,88.2,347.1,383.0,187.3,1231.3,124.6,167.5,12.9,264.5
TP,336.7,164.7,107.4,135.2,111.3,144.5,60.8,138.8,228.0,38.8,136.4,137.3,198.0,229.8,161.2,242.5,149.7,17.5,124.9,5.3,136.5,282.6,163.1,55.3,83.2,309.1,126.4,194.8,100.3,144.8,227.7,177.1,338.8,181.4,124.7,204.9,256.7,32.8,253.3,182.6,113.3,145.7,364.9,16.6,152.9,160.7,178.1,196.3,131.0,151.0,319.3,57.6,226.0,0.0,224.2,33.9,128.6,232.9,353.2,184.2,226.7,210.8,179.5,258.2,1235.9,200.7,104.8,242.3,23.2
TW,508.3,23.0,241.0,306.8,184.0,154.0,256.0,86.5,68.3,217.0,109.8,270.9,128.1,360.1,151.1,416.4,97.8,159.4,303.1,185.2,150.4,480.7,151.1,228.8,254.8,480.7,298.0,365.1,173.0,133.4,361.3,313.4,509.4,360.5,135.8,145.5,387.0,204.4,190.6,353.2,112.0,234.4,538.1,188.2,324.5,291.0,155.1,217.8,66.3,66.9,459.9,236.6,359.6,178.1,0.0,164.2,123.4,404.5,524.8,104.6,399.2,51.1,154.6,391.8,1407.5,372.3,276.4,372.6,203.1
TX,339.7,130.7,76.7,167.1,77.3,110.5,113.6,150.7,194.0,75.4,103.0,106.6,211.8,191.1,103.2,211.8,126.6,17.0,163.3,42.8,102.5,312.1,175.0,89.1,115.1,312.1,150.9,196.5,60.7,112.6,198.0,149.1,304.8,218.1,90.7,214.5,222.7,64.7,265.2,148.6,127.1,183.2,369.5,48.5,184.8,112.2,170.2,233.8,140.9,159.5,285.3,94.3,195.3,37.4,191.8,0.0,97.9,238.0,356.2,199.4,194.4,176.8,169.7,174.6,1298.9,203.7,101.2,208.3,60.7
UJ,441.7,59.8,178.7,265.7,153.0,39.6,225.0,55.5,123.1,186.8,13.5,208.6,182.9,321.0,102.1,292.9,99.9,128.4,272.1,154.2,26.9,390.9,102.1,187.7,213.7,414.1,256.9,298.5,136.4,102.4,299.0,251.1,385.9,329.5,21.4,174.0,324.7,163.3,219.1,229.7,63.0,185.4,486.1,147.1,283.4,228.7,106.1,168.8,96.8,121.7,363.5,205.7,297.3,148.0,93.8,149.9,0.0,337.9,458.2,161.6,275.7,105.9,105.6,374.8,1366.4,305.7,203.2,310.3,172.1
UW,101.6,348.7,161.7,322.8,295.3,328.5,263.6,341.6,442.0,291.8,346.9,188.7,411.6,186.1,363.8,109.6,352.5,238.3,297.1,251.7,358.0,74.0,365.9,173.0,270.8,74.0,117.3,40.7,284.3,242.2,40.7,87.4,115.6,298.4,310.3,408.9,171.3,198.3,456.1,188.0,315.9,368.1,131.4,222.6,340.5,107.4,361.1,418.7,333.8,353.8,161.3,303.3,141.8,244.6,452.3,254.7,360.5,0.0,120.2,386.0,94.5,424.8,358.5,85.5,1125.0,32.4,137.5,156.9,269.6
VH,282.8,305.2,120.3,357.5,251.8,285.0,296.5,318.9,368.5,282.6,276.9,157.1,437.4,154.8,400.6,80.4,352.2,225.0,319.8,250.8,277.0,232.0,400.6,214.2,305.5,255.2,156.4,81.4,240.8,352.9,45.8,92.2,169.8,323.2,266.8,445.7,145.8,233.0,490.8,157.3,352.7,409.3,276.8,257.3,375.2,132.2,395.8,459.9,368.5,385.1,130.0,344.5,118.4,244.6,366.3,207.9,272.4,179.0,0.0,425.0,63.2,351.3,395.3,56.3,1147.7,75.2,171.7,131.4,268.7
VQ,480.9,187.8,288.2,277.2,217.8,169.8,111.8,120.3,251.1,204.9,122.8,302.3,12.3,395.6,36.6,432.2,131.4,193.2,240.2,170.9,164.0,451.1,36.6,201.4,225.2,453.3,268.4,337.7,199.0,150.3,376.1,345.4,492.7,300.1,151.6,207.7,433.1,177.0,250.6,369.0,67.0,137.9,508.5,160.8,294.9,293.5,58.6,119.1,128.5,144.9,500.6,187.9,405.7,164.6,233.1,193.9,137.0,377.0,495.2,0.0,412.8,233.9,55.9,423.0,1378.7,344.9,249.0,418.7,188.8
WT,39.6,403.7,218.8,446.4,350.3,383.5,385.4,417.4,467.0,382.6,376.0,255.6,535.2,509.6,489.5,17.1,471.0,361.9,418.5,349.3,375.5,84.5,489.5,298.7,394.4,86.0,240.9,164.3,339.3,442.6,164.3,190.7,110.1,421.7,365.3,534.6,244.3,321.9,579.7,255.8,441.6,493.8,110.2,346.2,464.1,230.7,484.7,544.4,448.2,477.4,489.5,429.0,216.9,343.9,464.8,306.4,370.9,123.5,98.4,513.9,0.0,449.8,484.2,99.0,1178.6,158.1,261.1,229.9,367.2
XH,465.0,123.0,189.8,263.5,132.8,102.8,204.8,35.3,17.2,166.6,58.0,219.7,163.5,304.2,194.4,365.2,78.3,108.2,254.5,134.0,99.2,437.4,99.9,185.5,211.5,437.4,254.7,321.8,116.2,67.5,311.1,262.2,458.2,309.3,83.0,166.2,335.8,161.1,216.9,302.0,60.8,183.2,494.8,144.9,281.2,225.3,103.9,166.6,92.6,111.2,435.8,185.4,308.4,128.6,166.1,113.0,72.2,363.3,481.5,151.1,347.8,0.0,103.9,328.0,1364.2,329.0,214.3,321.4,151.9
XX,458.6,168.2,268.6,257.1,195.5,147.5,90.0,98.0,231.5,183.4,102.7,280.5,186.5,378.5,32.3,409.9,137.7,170.9,183.7,150.8,143.9,408.3,32.3,179.1,205.6,431.5,248.8,315.9,178.9,130.2,356.0,323.1,472.6,244.1,129.3,185.9,413.5,154.7,230.1,346.7,46.9,84.5,488.4,138.5,274.8,288.4,0.5,55.8,99.0,128.2,480.5,131.5,385.6,143.7,210.8,173.8,116.9,354.8,475.6,162.5,392.7,213.8,0.0,402.9,1320.5,322.6,226.7,398.6,168.7
YC,138.5,328.0,143.1,354.4,274.6,307.8,293.4,373.2,391.3,305.4,299.7,179.9,434.0,608.5,397.5,116.0,352.8,269.9,324.6,273.6,299.8,183.4,397.5,206.7,302.4,184.9,162.8,86.2,258.0,350.4,50.6,115.0,113.4,328.0,289.6,442.6,168.6,229.9,487.7,180.1,349.6,415.7,209.1,254.2,372.1,140.5,392.7,466.3,356.2,385.4,588.4,350.8,141.2,266.5,389.1,230.7,295.2,96.0,139.6,419.7,39.8,374.1,392.2,0.0,1152.5,80.0,183.0,154.2,291.5
YU,1265.7,1497.5,1283.0,1334.7,1405.8,1477.3,1377.5,1427.8,1497.0,1339.3,1432.5,1319.8,1477.2,1294.8,1367.1,1225.1,1372.5,1293.3,1307.3,1320.3,1413.0,1238.1,1362.1,1230.1,1325.8,1238.1,1217.6,1173.6,1389.2,1358.5,1153.1,1212.8,1279.7,1227.4,1457.5,1460.4,1302.7,1253.3,1443.7,1319.4,1376.7,1364.0,1295.5,1277.6,1352.4,1253.8,1329.2,1347.4,1386.8,1405.4,1274.7,1275.2,1275.3,1328.7,1540.6,1309.7,1446.7,1164.0,1282.2,1464.8,1207.7,1479.8,1329.7,1284.9,0.0,1165.9,1268.9,1288.3,1324.6
ZG,135.9,314.1,129.2,288.2,260.7,293.9,227.2,307.0,407.4,248.9,312.3,156.2,368.1,177.4,331.3,156.1,328.7,203.7,278.7,217.1,323.4,108.3,331.3,140.5,236.2,108.3,82.7,6.1,249.7,228.3,42.3,52.8,149.9,282.1,275.7,376.4,136.7,163.7,421.5,153.4,283.4,335.6,165.7,188.0,305.9,72.8,326.5,386.2,297.2,315.8,162.9,270.8,109.3,210.9,419.8,220.1,325.9,32.1,152.4,355.7,138.9,390.2,326.5,89.2,1106.6,0.0,102.9,122.3,235.0
ZH,248.7,219.3,41.3,185.7,165.9,199.1,185.4,204.5,304.9,147.2,209.2,53.2,265.6,155.7,175.0,185.2,180.4,101.2,235.1,114.6,220.9,221.1,228.8,58.5,133.7,221.1,71.2,105.5,149.3,166.4,162.6,113.7,262.7,289.9,179.3,268.3,187.3,61.2,319.0,122.0,180.9,240.3,278.5,85.5,203.4,76.8,224.0,290.9,194.7,213.3,281.4,175.4,159.9,109.2,317.3,117.6,223.4,147.0,265.2,251.0,167.8,287.7,224.0,148.0,1219.4,112.7,0.0,172.9,132.5
ZP,271.5,311.9,127.0,356.1,258.5,291.7,328.3,325.6,375.2,290.1,284.2,163.8,436.0,183.3,317.9,116.3,350.8,271.6,375.0,257.5,283.7,243.9,399.2,208.4,304.1,243.9,163.1,128.3,241.9,336.8,147.8,80.9,209.3,375.8,271.9,438.7,14.3,231.6,489.4,164.0,351.3,416.0,301.3,255.9,373.8,124.4,394.4,466.6,365.1,383.7,251.0,351.1,10.8,252.1,373.0,214.6,279.1,169.8,288.0,423.6,98.9,358.0,393.9,79.1,1242.2,135.5,178.4,0.0,275.4
ZY,428.8,205.8,238.3,227.3,152.4,185.6,52.8,161.2,269.1,14.7,178.1,250.2,222.3,343.5,42.4,385.7,137.1,145.8,241.5,121.0,159.6,401.2,185.5,149.3,175.3,401.2,218.5,285.6,135.8,105.1,325.2,293.3,442.8,296.3,165.8,225.0,383.2,124.9,275.7,322.5,137.6,261.4,458.6,108.7,245.0,258.6,180.7,243.4,151.4,170.0,429.4,172.5,355.8,115.6,266.9,144.0,173.0,327.1,445.3,209.9,368.3,251.9,180.7,348.5,1328.0,292.8,196.9,368.8,0.0
