from_stop,AB,AI,AJ,BD,BS,BT,BY,CK,CN,CW,DT,DV,EH,EM,FA,FG,FJ,FW,GC,GG,GN,GP,HF,HS,HZ,IB,II,IX,JB,JX,KD,KO,KR,KU,LG,LS,LT,LU,ML,MP,MW,NN,NP,NU,NY,OM,OX,OY,PI,PP,PY,QF,QI,RP,RR,RU,SB,SD,SP,SV,TK,TN,TP,TT,UC,UE,UK,UO,VB,VC,VD,WA,WC,WG,WH,WM,WN,WO,WT,XD,XW,YE,YG,YI,YV,YY,ZW,ZX
DT,258.5,117.5,542.6,380.7,267.4,274.6,472.6,487.3,167.0,461.9,0.0,157.2,174.6,371.0,187.3,560.1,645.1,568.8,354.5,192.8,576.7,121.3,184.3,35.4,379.4,205.6,532.5,109.5,325.1,60.4,176.2,590.0,219.1,290.9,342.3,276.4,112.3,546.1,189.5,132.8,69.9,384.5,452.0,578.3,293.6,83.8,656.3,339.1,88.9,424.1,338.2,117.4,145.9,191.9,603.7,178.9,545.5,225.0,163.7,609.9,310.6,452.2,180.6,177.1,321.0,101.3,504.3,268.3,569.9,568.8,559.4,47.1,99.1,297.2,543.2,10.9,245.7,509.2,173.2,539.1,626.3,169.3,107.2,194.0,522.8,1528.8,512.1,538.9
DV,310.2,144.3,522.0,397.3,194.2,291.2,493.3,503.9,246.7,478.1,176.4,0.0,93.0,333.9,109.1,576.7,648.0,559.2,371.1,119.6,650.7,110.2,211.1,211.9,396.0,231.9,511.9,124.3,335.8,222.4,203.0,608.8,270.8,311.6,305.2,328.1,172.3,566.8,123.1,124.2,195.8,401.1,431.4,599.0,345.3,138.1,635.7,359.8,186.4,439.0,389.9,221.6,205.9,108.9,620.3,154.9,615.2,151.8,237.1,589.3,362.3,472.9,114.2,19.8,254.6,125.9,483.7,324.1,613.9,638.2,605.7,149.4,131.9,348.9,541.1,167.4,297.4,525.8,189.8,533.5,632.1,180.0,158.9,36.7,502.2,1455.6,487.9,555.5
EH,240.6,51.2,476.3,314.4,294.9,208.3,418.1,421.0,246.2,395.6,112.7,90.9,0.0,380.5,158.6,501.5,602.3,502.5,288.2,140.9,575.5,83.4,118.0,123.8,313.1,139.3,466.2,71.6,334.6,130.8,117.6,563.1,208.9,228.7,351.8,258.5,173.8,483.9,238.6,143.7,96.8,318.2,385.7,516.1,275.7,204.3,590.0,276.9,184.9,357.8,320.3,216.5,207.4,8.4,537.4,112.6,577.2,252.5,161.9,551.3,292.7,390.0,229.7,110.8,319.2,180.8,438.0,262.2,561.0,555.8,560.0,164.9,65.3,287.0,476.9,128.7,227.8,442.9,106.9,472.8,595.3,178.8,89.3,127.7,456.5,1556.3,453.5,472.6
EM,467.2,268.0,549.9,468.7,227.2,325.8,564.7,575.3,248.0,549.5,342.8,286.6,250.1,0.0,180.5,634.5,675.9,587.1,461.5,191.0,679.4,267.2,310.2,378.3,474.1,344.5,539.8,281.3,195.8,375.4,278.4,636.7,427.8,346.2,117.6,485.1,243.5,624.6,213.8,299.2,329.5,472.5,459.3,656.8,502.3,228.8,663.6,472.8,306.3,466.9,546.9,312.3,197.3,266.0,678.1,226.3,643.1,184.8,308.5,617.2,519.3,544.3,204.9,306.5,136.4,216.6,511.6,481.1,641.8,684.9,633.6,324.4,288.9,505.9,569.0,333.8,454.4,597.2,261.2,561.4,660.0,171.5,315.9,246.9,530.1,1485.1,515.8,629.9
FA,310.4,87.4,460.5,288.1,132.7,182.0,384.1,394.7,200.1,369.3,186.0,106.0,104.6,277.7,0.0,467.5,586.5,476.2,261.9,10.4,541.5,121.8,109.7,197.1,286.8,130.5,450.4,144.9,291.8,204.1,101.6,547.3,271.0,202.4,249.0,328.3,130.6,457.6,100.9,135.8,162.4,291.9,346.2,489.8,353.9,114.6,574.2,250.6,202.8,331.5,340.4,165.7,164.2,120.5,511.1,44.7,553.7,90.3,127.9,527.8,362.5,363.7,92.0,125.9,232.4,105.8,422.2,324.3,534.7,528.7,544.2,161.0,138.6,349.1,461.1,179.0,297.6,416.6,80.6,454.9,571.8,146.0,176.3,66.3,440.7,1394.1,430.0,446.3
FG,375.2,537.7,96.5,286.8,687.7,527.5,195.9,273.2,721.9,211.7,612.3,556.3,624.9,675.4,554.9,0.0,122.6,103.0,366.9,544.9,126.1,560.0,531.9,618.4,391.8,510.8,180.6,548.2,688.9,636.6,531.9,83.4,482.2,547.9,646.7,354.6,665.7,161.0,655.9,617.6,579.5,320.9,451.2,22.2,364.4,642.0,277.7,355.6,690.7,309.5,391.7,693.1,673.2,649.6,43.5,516.6,89.8,645.3,493.4,63.9,321.6,217.3,647.0,576.2,685.0,663.0,227.0,359.3,96.2,132.1,80.3,642.8,541.9,333.8,164.6,623.3,508.8,295.1,476.1,131.1,107.9,655.4,510.3,595.4,145.2,1350.6,183.6,221.5
FJ,261.8,443.3,127.4,192.4,593.3,433.1,104.4,181.7,610.5,120.6,498.9,461.9,539.3,743.7,460.5,105.2,0.0,119.8,272.5,450.5,63.4,446.6,437.5,505.0,297.4,416.4,194.7,434.8,697.8,509.7,437.5,72.6,368.8,453.5,715.0,241.2,552.3,95.3,601.8,504.2,483.9,226.5,356.8,71.6,251.0,529.9,308.6,261.2,559.0,342.1,297.3,613.4,559.8,555.2,74.4,415.5,94.9,550.9,399.0,112.8,208.2,125.8,592.9,481.8,682.4,517.7,241.1,245.9,65.9,50.9,85.4,529.4,428.5,220.4,214.0,509.9,395.4,203.6,381.7,138.0,111.8,542.0,396.9,501.0,159.3,1360.7,173.5,233.3
FW,300.6,434.6,54.1,183.7,584.6,424.4,92.8,170.1,647.3,108.6,537.7,453.2,521.8,601.7,451.8,67.8,170.7,0.0,263.8,441.8,186.5,485.4,428.8,568.7,288.7,407.2,77.5,473.6,615.2,533.5,428.8,131.5,407.6,444.8,573.0,280.0,591.1,57.9,552.8,543.0,517.5,217.8,348.1,90.1,301.2,566.5,235.3,252.5,582.8,235.8,288.6,676.1,598.6,546.5,111.4,407.8,137.9,542.2,390.3,112.0,247.0,114.2,543.9,473.1,611.3,552.6,123.9,284.7,144.3,173.7,128.4,568.2,467.3,259.2,122.2,548.7,434.2,192.0,373.0,33.5,156.0,580.8,435.7,492.3,42.1,1414.7,80.5,118.4
GC,112.4,217.2,243.6,92.6,367.2,207.0,188.6,199.2,446.5,173.4,320.8,235.8,313.2,568.1,234.4,272.0,369.6,280.8,0.0,224.4,346.0,271.0,211.4,351.3,24.8,190.3,233.5,259.2,522.2,316.1,211.4,330.4,195.3,227.4,539.4,130.3,376.7,262.1,335.4,328.6,288.0,96.4,84.2,294.8,147.5,350.4,357.3,11.2,365.4,69.5,126.9,458.7,384.2,329.1,315.6,189.4,336.8,324.8,172.9,310.9,164.5,168.2,326.5,255.7,466.9,338.2,205.3,126.3,335.5,333.5,327.3,353.8,252.9,151.1,262.7,331.8,221.9,221.1,155.6,255.1,353.7,366.4,221.3,274.9,223.8,1314.7,209.5,250.8
GG,299.9,76.9,453.5,277.6,142.7,171.5,373.6,384.2,247.8,358.4,177.5,95.5,94.1,287.7,9.9,457.0,579.5,472.7,251.4,0.0,531.0,111.3,99.2,186.6,276.3,120.0,443.4,134.4,336.9,193.6,91.1,540.2,260.5,191.9,259.0,317.8,173.4,447.1,110.9,125.3,160.3,281.4,335.7,482.9,343.4,125.9,567.2,240.1,187.5,321.0,329.9,209.4,207.0,110.0,500.6,35.2,546.7,100.3,117.4,520.8,352.0,353.2,102.0,115.4,242.4,113.7,415.2,313.8,533.5,518.5,537.2,150.5,128.1,338.6,472.6,168.5,287.1,406.1,70.1,459.0,563.6,181.1,165.8,55.8,433.7,1404.1,419.4,435.8
GN,373.6,572.6,138.7,313.5,714.4,554.2,225.5,302.8,720.3,241.3,610.7,583.0,651.6,717.6,581.6,213.1,121.0,145.2,393.6,571.6,0.0,558.4,558.6,616.8,418.5,537.5,222.8,546.6,809.6,621.5,558.6,65.9,480.6,574.6,688.9,353.0,664.1,203.2,713.6,616.0,577.9,347.6,477.9,82.4,362.8,640.4,319.9,382.3,675.6,351.7,418.4,691.5,671.6,676.3,85.7,536.6,88.2,672.0,520.1,124.1,320.0,246.9,704.7,602.9,794.2,626.5,269.2,357.7,49.9,62.2,78.7,641.2,540.3,332.2,225.3,621.7,507.2,324.7,502.8,166.1,106.3,653.8,508.7,622.1,187.4,1354.0,225.8,263.7
GP,199.9,76.9,486.6,328.7,211.4,204.6,424.7,435.3,163.8,409.5,95.0,116.6,127.4,297.0,126.3,496.1,586.5,510.7,303.3,136.8,522.2,0.0,143.7,101.1,328.2,164.5,476.5,14.1,251.1,108.1,135.6,531.4,160.5,225.0,268.3,217.8,105.6,486.2,155.1,57.5,66.4,332.5,387.6,518.4,235.0,83.2,600.3,292.0,119.7,372.9,279.6,166.7,113.1,143.3,533.2,131.6,491.0,169.0,109.2,508.6,252.0,404.3,146.2,136.5,235.7,71.0,448.3,213.8,524.7,509.7,500.8,82.7,21.7,238.6,505.7,106.0,187.1,457.2,132.6,498.1,570.6,95.3,48.6,153.4,466.8,1472.8,452.5,486.9
HF,271.7,73.4,383.5,267.4,241.4,101.5,363.4,374.0,307.5,348.2,177.0,92.0,185.1,347.9,108.6,446.8,509.5,420.7,241.2,98.6,520.8,142.7,0.0,183.1,266.1,20.7,373.4,130.9,393.9,190.1,20.3,470.3,232.3,121.9,319.2,289.6,233.1,436.9,209.6,203.0,162.0,271.2,292.9,469.6,306.8,254.6,497.2,229.9,239.4,300.5,319.7,308.1,266.7,201.0,490.4,63.6,476.7,199.0,89.2,450.8,323.8,343.0,200.7,111.9,341.1,234.5,345.2,285.6,475.4,508.3,467.2,224.2,124.6,310.4,402.6,188.0,258.9,395.9,89.9,395.0,493.6,238.1,137.6,128.8,363.7,1464.3,349.4,425.6
HS,246.2,105.2,530.3,368.4,304.5,262.3,464.4,475.0,202.3,449.6,32.0,144.9,211.7,406.1,219.4,547.8,632.8,556.5,342.2,194.9,568.5,109.0,172.0,0.0,367.1,192.8,520.2,97.2,360.2,68.1,163.9,577.7,206.8,282.7,377.4,264.1,150.6,537.9,226.6,120.5,65.9,372.2,439.7,570.6,281.3,115.9,644.0,330.9,121.2,411.8,325.9,154.5,184.2,229.0,591.4,160.9,537.3,262.1,155.5,597.6,298.3,444.0,217.7,164.8,344.8,128.7,492.0,260.1,561.7,555.7,547.1,84.2,90.9,284.9,530.9,48.0,233.4,496.9,160.9,526.8,618.1,204.4,94.9,181.7,510.5,1442.4,499.8,526.6
HZ,145.6,250.4,244.5,141.3,400.4,240.2,237.3,247.9,479.7,222.1,354.0,269.0,346.4,484.2,267.6,320.7,370.5,281.7,33.1,257.6,374.0,304.2,244.6,384.5,0.0,223.5,234.4,292.4,555.4,349.3,244.6,331.3,228.5,260.6,455.5,163.5,409.9,310.8,368.6,361.8,321.2,145.1,85.1,343.5,189.1,383.6,358.2,44.4,398.6,70.4,160.1,491.9,417.4,362.3,364.3,222.6,337.7,358.0,206.1,311.8,197.7,216.9,359.7,288.9,500.1,371.4,206.2,159.5,336.4,379.5,328.2,387.0,286.1,184.3,263.6,365.0,255.1,269.8,188.8,256.0,354.6,399.6,254.5,308.1,224.7,1315.6,210.4,299.5
IB,250.9,94.5,362.7,246.6,262.5,80.7,342.1,353.2,326.6,327.3,193.1,113.1,197.4,369.0,129.7,425.5,488.7,395.1,220.4,119.7,499.5,166.5,21.0,204.7,245.3,0.0,352.6,154.7,417.7,211.6,41.4,449.5,211.5,100.6,340.3,268.8,254.2,416.1,230.7,224.1,165.3,250.4,272.1,448.3,286.0,277.5,476.4,208.6,265.7,279.7,298.9,341.9,279.7,214.7,469.6,91.4,455.4,220.1,67.9,429.5,303.0,321.7,221.8,133.0,402.3,261.2,324.4,264.8,461.8,487.5,446.4,245.3,148.4,289.6,363.3,209.1,238.1,375.1,69.1,376.2,473.5,261.9,116.8,149.9,342.4,1396.1,331.7,404.8
II,358.9,463.5,158.8,212.6,613.5,347.2,188.7,198.5,692.8,185.6,567.1,482.1,559.5,574.9,480.7,209.3,284.8,172.5,292.7,470.7,288.3,517.3,457.7,597.6,317.6,436.6,0.0,505.5,588.4,562.4,457.7,245.6,465.9,367.6,546.2,338.3,623.0,199.4,581.7,574.9,546.9,246.7,294.7,231.6,330.1,596.7,272.5,281.4,611.7,209.0,317.5,705.0,630.5,575.4,252.9,435.7,252.0,571.1,419.2,226.1,329.7,190.8,572.8,502.0,584.5,584.5,51.8,343.0,250.7,293.8,242.5,600.1,499.2,341.9,177.9,578.1,492.5,220.4,401.9,144.6,268.9,612.7,467.6,521.2,139.0,1451.9,124.7,188.1
IX,185.8,62.8,472.5,314.6,223.2,190.5,410.6,421.2,175.6,395.4,80.9,102.5,139.2,308.8,138.1,482.0,572.4,496.6,289.2,148.6,508.1,11.8,129.6,87.0,314.1,150.4,462.4,0.0,262.9,94.0,121.5,517.3,146.4,210.9,280.1,203.7,117.4,472.1,166.9,69.3,65.9,318.4,373.5,504.8,220.9,95.0,586.2,277.9,143.3,358.8,265.5,178.5,124.9,155.1,519.1,117.5,476.9,180.8,95.1,494.5,237.9,390.2,158.0,122.4,247.5,82.8,434.2,199.7,510.6,495.6,486.7,94.5,7.5,224.5,491.6,91.9,173.0,443.1,118.5,484.0,556.5,107.1,34.5,139.3,452.7,1484.6,438.4,472.8
JB,481.0,358.0,594.9,563.9,338.8,370.8,671.0,681.6,261.8,655.8,356.6,398.8,338.1,144.0,285.8,679.5,720.9,632.1,506.5,296.3,724.4,281.0,355.2,392.1,519.1,389.5,584.8,295.1,0.0,388.1,323.4,681.7,441.6,391.2,115.3,498.9,277.7,669.6,301.8,313.0,355.9,578.8,504.3,705.4,516.1,263.0,708.6,517.8,336.6,511.9,560.7,346.5,211.1,354.0,723.1,331.6,688.1,296.4,390.3,662.2,533.1,650.6,292.9,418.7,93.9,250.8,556.6,494.9,686.8,729.9,678.6,338.2,302.7,519.7,614.0,347.6,468.2,703.5,366.5,606.4,705.0,185.3,329.7,352.2,575.1,1561.8,560.8,674.9
JX,256.0,131.1,524.7,366.8,305.6,242.7,462.8,473.4,130.3,447.6,80.9,170.8,221.6,416.2,220.5,546.2,603.3,561.9,340.6,231.0,578.3,134.9,197.9,67.0,365.5,226.0,514.6,123.1,382.4,0.0,189.8,587.5,209.5,263.1,387.5,273.9,150.5,536.3,227.7,146.4,100.2,370.6,434.1,568.5,291.1,115.7,638.4,329.3,49.2,410.2,335.7,149.4,180.7,237.5,589.8,185.8,547.1,263.2,147.3,544.6,308.1,442.4,218.8,190.7,354.9,133.9,486.4,269.9,580.8,565.8,556.9,128.1,116.8,294.7,543.8,91.9,236.1,495.3,186.8,536.2,587.4,220.4,120.8,207.6,504.9,1386.1,490.6,525.0
KD,283.2,56.7,366.3,275.4,224.7,142.2,371.3,382.0,288.8,356.6,155.3,75.3,159.6,327.5,91.8,450.9,492.3,398.7,277.9,81.9,495.8,126.0,31.7,166.3,290.5,53.0,356.2,114.2,377.2,173.4,0.0,453.1,243.8,162.6,298.8,301.1,216.4,441.0,192.9,186.3,131.7,279.2,275.7,473.7,318.3,239.1,480.0,237.8,227.5,283.3,327.7,257.7,250.0,176.9,494.5,53.6,459.5,182.3,115.1,433.6,335.3,350.9,184.0,95.2,324.4,223.4,328.0,297.1,465.9,501.0,450.0,207.5,107.9,321.8,385.4,171.3,270.4,403.9,67.9,373.3,477.6,221.4,131.9,112.1,346.5,1443.9,335.8,446.3
KO,307.6,506.6,124.6,247.5,648.4,488.2,159.5,236.8,656.3,175.7,544.7,517.0,594.4,789.5,515.6,160.3,55.0,124.1,327.6,505.6,42.6,492.4,492.6,550.8,352.5,471.5,208.7,480.6,743.6,555.5,492.6,0.0,414.6,508.6,760.8,287.0,598.1,150.4,647.6,550.0,516.1,281.6,411.9,68.3,296.8,575.7,212.6,316.3,604.8,397.2,352.4,659.2,605.6,610.3,71.6,470.6,22.2,606.0,454.1,31.5,254.0,180.9,638.7,536.9,728.2,563.5,255.1,291.7,5.0,48.1,12.7,575.2,474.3,266.2,211.2,555.7,441.2,258.7,436.8,152.0,39.1,587.8,442.7,556.1,173.3,1288.0,187.5,249.6
KR,210.8,179.7,361.3,173.0,329.7,169.5,269.0,279.6,409.0,254.2,283.3,198.3,266.9,530.6,196.9,352.4,472.5,361.1,146.8,186.9,426.4,233.5,173.9,313.8,171.7,152.8,351.2,221.7,484.7,278.6,173.9,433.3,0.0,189.9,501.9,228.7,339.2,342.5,297.9,291.1,250.5,176.8,240.0,374.7,238.8,311.6,475.0,135.5,332.7,216.4,225.3,362.7,346.7,291.6,396.0,151.9,439.7,287.3,135.4,413.8,275.8,248.6,289.0,218.2,429.4,297.7,323.0,224.7,419.6,414.4,430.2,316.3,215.4,249.5,361.9,294.3,26.5,301.5,118.1,354.4,457.8,328.9,183.8,237.4,341.5,1402.8,330.8,331.2
KU,316.9,90.4,361.6,330.6,216.7,137.5,405.1,415.7,322.5,390.3,194.0,109.0,193.3,304.8,125.6,446.2,487.6,394.0,273.2,115.6,491.1,159.7,65.4,200.1,285.8,86.7,351.5,147.9,346.3,207.1,33.6,448.4,277.5,0.0,276.1,334.8,250.1,436.3,203.3,220.0,161.2,312.9,271.0,468.5,352.0,217.0,475.3,284.5,256.4,278.6,376.9,268.1,283.7,210.6,489.8,80.6,454.8,174.3,148.9,428.9,385.0,384.7,194.4,128.9,314.4,208.2,323.3,330.8,461.2,496.6,445.3,241.2,141.6,355.6,362.2,205.0,304.1,437.6,101.6,368.6,472.9,255.1,165.6,145.8,341.8,1421.2,331.1,441.6
LG,495.9,296.7,578.6,497.4,255.9,354.5,593.4,604.0,276.7,578.2,371.5,315.3,278.8,28.7,209.2,663.2,704.6,615.8,490.2,219.7,708.1,295.9,338.9,407.0,502.8,373.2,568.5,310.0,224.5,404.1,307.1,665.4,456.5,374.9,0.0,513.8,272.2,653.3,242.5,327.9,358.2,501.2,488.0,685.5,531.0,257.5,692.3,501.5,335.0,495.6,575.6,341.0,226.0,294.7,706.8,255.0,671.8,213.5,337.2,645.9,548.0,573.0,233.6,335.2,165.1,245.3,540.3,509.8,670.5,713.6,662.3,353.1,317.6,534.6,597.7,362.5,483.1,625.9,289.9,590.1,688.7,200.2,344.6,275.6,558.8,1513.8,544.5,658.6
LS,20.6,219.5,282.8,172.2,416.8,274.4,198.2,208.8,369.2,183.0,257.6,259.2,332.8,502.4,319.8,278.2,368.6,292.8,128.0,309.8,304.3,205.3,278.8,263.7,152.9,257.7,272.7,193.5,456.5,268.4,278.2,313.5,127.5,294.8,473.7,0.0,311.0,268.3,360.5,262.9,224.8,176.0,212.3,300.5,17.1,288.6,396.5,116.7,317.7,197.6,89.3,372.1,318.5,348.7,315.3,274.8,273.1,374.4,179.0,300.8,34.1,177.8,351.6,279.1,441.1,276.4,244.5,4.6,306.8,291.8,282.9,288.1,187.2,20.7,301.9,268.6,154.1,230.7,241.0,311.0,352.7,300.7,155.6,296.0,263.0,1386.6,248.7,260.4
LT,340.9,217.9,627.6,469.7,271.1,345.6,565.7,576.3,72.3,550.9,169.1,257.6,178.3,269.1,186.0,637.1,727.5,644.7,444.3,196.5,663.2,140.9,284.7,204.6,469.2,305.5,617.5,155.0,217.2,219.4,276.6,672.4,301.5,366.0,240.4,358.8,0.0,627.2,161.8,172.9,203.2,473.5,528.6,659.4,376.0,121.6,741.3,433.0,163.1,513.9,420.6,152.0,33.5,203.0,674.2,225.1,632.0,228.7,250.2,649.6,393.0,545.3,152.9,277.5,207.8,112.8,589.3,354.8,656.4,650.7,641.8,160.1,162.6,379.6,628.2,160.1,328.1,598.2,273.6,628.1,712.8,73.2,189.6,252.4,607.8,1509.6,597.1,627.9
