from_stop,AA,AF,BO,BR,BZ,CO,DL,DO,EJ,EQ,EV,FJ,GC,GR,HF,HW,HX,HZ,ID,IH,IK,IV,JI,JM,JN,KC,KJ,KT,LB,LD,LY,MX,NE,NM,NR,NS,NZ,OS,OZ,PC,PD,PO,PT,QD,QU,SG,SV,SW,TG,TO,TP,WH,WT,XO,XY,YT,YZ,ZC,ZF
PD,218.9,152.8,196.4,90.1,194.0,245.4,139.8,191.8,152.7,150.6,220.3,133.5,91.0,228.8,223.6,204.3,108.9,119.9,151.2,130.7,204.0,17.5,97.1,207.7,148.5,164.9,230.4,222.8,97.3,77.8,269.3,189.5,171.3,227.0,227.0,226.1,161.1,212.7,71.1,175.4,0.0,128.1,53.3,171.7,221.5,269.1,250.1,197.0,67.5,173.1,46.3,45.7,106.8,130.7,148.0,1518.3,248.6,202.7,144.8
PO,272.8,129.2,240.0,171.4,197.9,281.8,221.6,196.0,152.5,144.7,76.5,163.5,250.8,257.4,171.3,258.5,248.2,122.4,136.2,261.0,66.8,243.0,134.7,70.5,154.3,85.4,116.8,166.1,236.6,108.8,323.5,117.8,66.2,276.3,85.8,212.3,211.3,242.1,185.2,314.9,225.2,0.0,208.8,157.9,207.7,181.2,112.9,221.0,175.2,223.3,271.6,218.6,220.9,116.2,122.3,1712.6,234.8,215.1,16.6
PT,285.4,183.9,263.0,52.4,260.3,312.0,102.6,258.4,129.7,151.6,198.7,181.0,157.6,273.9,166.1,271.1,175.5,138.1,172.9,197.0,185.0,84.3,119.3,188.9,191.5,111.5,176.6,169.4,163.9,128.5,336.1,132.6,152.3,293.6,208.0,267.0,227.7,257.8,137.7,242.2,66.5,90.9,0.0,212.6,262.4,215.7,187.0,263.6,134.1,239.7,112.9,9.7,173.6,152.9,129.0,1590.5,289.5,269.3,107.6
QD,211.4,15.7,178.6,234.2,74.6,206.8,292.5,72.7,140.0,77.5,209.0,60.1,213.4,182.4,257.5,196.9,210.8,94.3,105.3,133.2,195.3,161.0,83.8,295.8,123.1,220.9,228.6,278.3,199.2,134.6,262.1,176.8,162.6,201.3,218.3,54.3,68.0,167.1,143.8,277.5,177.0,182.3,206.0,0.0,49.7,306.6,225.1,63.0,136.8,80.0,189.6,198.4,178.9,85.3,139.3,1661.6,76.8,57.1,199.0
QU,253.8,80.4,297.0,288.8,117.7,253.3,339.0,82.5,189.3,129.5,316.6,114.8,238.4,229.7,304.0,244.2,257.3,140.8,143.7,170.0,264.5,207.5,130.3,259.2,169.4,272.8,249.7,299.4,244.5,165.3,281.0,223.3,209.1,253.3,325.9,42.7,75.9,213.6,190.3,324.0,227.4,228.8,252.5,77.6,0.0,354.3,246.2,31.4,183.3,65.3,236.1,244.9,226.2,131.8,185.8,1672.4,27.0,25.5,245.5
SG,317.8,143.3,358.1,138.7,213.2,327.5,178.5,210.8,109.4,162.6,91.8,189.4,259.1,304.4,128.2,304.2,277.0,167.4,151.0,281.6,95.6,201.1,149.5,99.8,199.3,42.3,49.6,25.6,265.4,140.5,369.2,74.7,95.0,321.3,99.9,226.4,225.4,287.8,254.5,344.2,183.0,112.7,166.9,172.0,222.5,0.0,60.7,235.8,203.5,237.4,229.2,176.7,289.0,130.3,107.7,1670.2,248.9,229.9,128.2
SV,328.5,172.0,306.1,139.0,240.7,337.5,189.2,238.8,120.1,172.0,119.3,190.8,251.1,313.1,138.9,314.8,270.0,178.1,110.7,259.0,50.2,211.0,177.3,44.9,210.0,53.0,3.4,53.1,258.4,130.6,348.3,85.4,88.0,332.0,128.6,187.7,254.1,297.8,264.0,336.7,192.8,122.2,176.4,200.7,250.5,149.2,0.0,220.1,196.0,266.1,239.2,186.2,299.1,127.8,100.7,1680.2,277.6,214.2,138.9
SW,238.1,88.1,281.3,281.4,107.4,237.6,331.6,72.2,181.9,98.0,306.3,83.3,222.7,214.0,296.6,228.5,241.6,125.1,133.4,154.3,254.2,191.8,122.9,248.9,153.7,265.4,239.8,289.1,228.8,157.9,265.3,215.9,201.7,237.6,315.6,32.4,44.4,197.9,174.6,308.3,220.0,221.4,245.1,43.4,45.8,360.4,235.9,0.0,167.6,33.8,220.4,237.5,210.5,138.8,178.4,1662.1,72.9,5.6,238.1
TG,210.4,128.0,173.5,201.9,166.7,209.1,225.6,164.8,116.3,134.2,175.3,106.7,55.0,259.4,225.2,177.5,73.9,103.5,167.1,155.6,159.0,71.9,111.3,275.8,132.3,190.8,205.4,258.3,63.8,32.8,239.6,144.5,126.3,192.2,192.6,195.9,130.9,244.1,41.0,131.8,79.9,160.6,133.7,141.5,194.5,274.8,201.9,170.0,0.0,148.3,89.9,129.3,64.6,141.7,103.0,1561.9,232.2,175.7,163.5
TO,208.3,76.6,185.9,240.9,117.5,203.7,297.7,96.1,145.2,64.1,216.8,48.8,210.3,179.3,262.7,193.8,207.7,91.2,140.3,130.1,200.5,157.9,89.0,330.5,120.0,226.1,263.7,313.0,196.1,133.0,259.0,182.0,167.8,198.2,223.5,56.3,10.5,164.0,140.7,274.4,182.2,187.5,211.2,78.0,69.7,312.3,259.8,23.8,134.7,0.0,186.5,203.6,176.6,120.3,144.5,1658.5,96.8,29.5,204.2
TP,202.9,196.1,326.7,134.7,218.8,199.0,184.9,216.9,155.4,183.4,221.6,168.7,76.4,250.1,264.6,273.9,177.7,145.0,195.8,156.0,207.9,27.2,142.2,216.3,173.6,215.4,275.1,267.9,82.5,138.1,234.6,189.4,175.2,199.0,230.9,251.2,186.2,234.0,94.7,186.1,40.9,173.2,98.4,210.1,246.6,314.9,254.0,222.1,64.5,198.2,0.0,90.8,130.6,175.8,151.9,1471.9,273.7,227.8,189.9
WH,275.6,174.1,257.3,75.1,250.5,302.2,125.3,248.6,128.5,144.9,188.9,160.6,168.3,264.1,173.7,261.1,165.7,128.3,163.1,197.4,175.2,74.5,109.5,178.9,181.7,119.1,184.2,177.0,154.1,134.6,326.3,156.7,142.5,283.8,198.2,257.2,217.9,248.0,138.8,232.4,56.7,113.6,7.5,202.8,252.6,224.0,194.6,253.8,132.7,229.9,103.1,0.0,162.4,143.1,119.2,1598.1,279.7,259.5,130.3
WT,212.2,146.8,189.8,236.1,187.1,235.7,263.6,185.0,150.5,143.8,209.5,137.0,149.9,222.0,259.6,197.7,147.3,113.9,227.7,175.8,193.2,101.5,176.4,197.1,141.9,224.2,242.8,293.9,135.9,67.0,262.7,178.9,160.5,230.2,216.2,219.3,155.1,205.9,13.4,214.0,119.6,184.2,177.9,165.7,214.7,309.9,239.5,190.2,71.8,167.7,130.1,170.9,0.0,218.5,137.2,1602.1,241.8,195.9,202.3
XO,229.1,46.6,268.2,192.6,115.3,238.1,242.8,113.4,90.3,55.5,210.1,62.9,211.1,213.7,207.8,214.6,208.5,78.7,19.9,159.6,158.0,145.1,34.1,152.7,102.8,192.8,143.6,192.9,196.9,69.1,279.8,127.1,112.9,232.6,219.4,129.7,106.0,198.4,145.5,275.2,127.3,132.6,156.3,75.3,125.1,263.0,139.7,138.4,133.0,118.0,173.7,148.7,180.6,0.0,89.6,1645.7,152.2,132.5,149.3
XY,189.7,97.9,232.9,190.6,162.1,202.8,240.8,160.2,57.8,74.0,69.6,89.7,150.3,179.2,172.5,180.1,169.2,43.4,92.2,137.5,55.9,123.8,38.6,64.3,75.1,174.2,105.5,155.2,156.4,29.8,216.9,91.8,23.2,202.8,78.9,194.5,129.5,163.1,106.2,235.9,109.9,97.3,135.0,153.4,189.9,230.5,102.0,165.4,95.2,141.5,152.4,127.4,142.1,72.2,0.0,1624.4,217.0,171.1,114.0
YT,1724.0,1837.3,1847.8,1740.2,1816.3,1720.1,1790.4,1781.1,1760.9,1788.9,1825.3,1774.2,1718.7,1771.2,1752.5,1795.0,1698.8,1750.5,1778.8,1761.5,1813.4,1632.7,1747.7,1821.8,1779.1,1703.3,1763.0,1759.1,1712.1,1743.6,1755.7,1719.0,1780.7,1720.1,1834.6,1742.1,1819.0,1755.1,1700.2,1707.2,1646.4,1778.7,1703.9,1820.7,1779.2,1734.6,1773.4,1774.5,1670.0,1808.4,1605.4,1696.3,1736.1,1795.9,1757.4,0.0,1806.3,1768.6,1795.4
