from_stop,AV,BB,BI,BM,BY,CU,DR,EX,FV,GG,GM,HD,ID,IG,IN,IQ,JC,KQ,KV,MA,MN,NH,NX,OG,OH,OJ,PV,QL,QO,QR,QT,RO,RW,RX,SH,SJ,TA,TJ,TP,TY,UJ,UL,UW,UX,VB,VL,VO,VR,VS,WE,XO,XZ,YB,YK,YN,ZJ,ZL,ZP
GM,207.3,2057.6,199.1,176.3,109.1,115.7,159.2,228.3,72.6,171.5,0.0,30.6,84.4,70.7,188.6,74.9,201.4,102.2,167.5,60.6,288.5,131.4,184.8,67.8,98.9,179.4,178.4,93.6,81.7,215.0,247.0,205.1,121.0,252.0,134.4,40.8,152.2,81.7,119.1,150.7,97.0,195.5,191.2,148.0,100.6,198.9,154.4,163.1,185.4,299.0,211.2,176.9,161.0,10.6,134.1,277.6,120.7,195.2
HD,201.8,2082.8,193.6,145.6,160.0,85.0,128.5,219.0,41.7,140.8,46.8,0.0,66.8,70.8,183.1,93.6,170.7,91.6,136.8,29.9,235.0,112.0,154.1,110.4,137.4,226.3,198.3,75.7,51.0,203.6,225.3,231.9,90.3,210.3,145.6,65.0,145.4,51.0,119.2,197.6,64.0,164.8,209.9,141.2,100.7,168.2,165.6,210.0,179.9,248.2,199.8,149.4,130.3,32.1,127.3,255.9,90.0,242.1
ID,279.2,2149.9,274.0,228.9,237.4,217.1,205.9,296.4,173.4,218.2,222.4,192.7,0.0,137.9,260.5,211.5,248.4,17.5,240.4,161.6,312.7,229.1,257.7,224.0,336.2,311.8,275.7,8.9,218.8,281.0,298.3,213.6,195.5,287.7,89.8,177.4,78.5,164.8,138.0,289.6,180.1,242.2,148.0,74.3,119.8,271.8,98.7,299.2,257.3,325.6,277.5,226.8,208.0,202.7,60.4,333.3,167.4,327.9
IG,207.1,2088.1,198.9,150.9,165.3,127.1,178.6,225.0,83.8,146.1,83.6,103.0,14.0,0.0,188.4,73.5,176.0,38.0,178.9,71.9,240.3,124.8,196.2,134.3,174.2,239.7,209.2,22.9,127.5,213.8,226.2,237.2,114.4,249.9,95.6,22.6,92.6,75.1,48.3,214.7,88.1,170.1,162.1,88.4,29.8,210.3,105.7,227.1,185.2,253.5,205.1,154.7,135.6,67.4,74.5,261.2,95.3,255.5
IN,18.6,2057.1,10.4,121.5,59.4,137.0,149.2,192.8,190.7,116.7,160.7,175.5,197.8,201.8,0.0,235.7,146.6,221.8,141.0,178.9,210.9,109.3,123.7,118.8,268.6,210.3,179.8,206.7,182.0,184.4,201.2,251.1,98.9,227.7,279.4,207.1,276.4,200.0,250.2,185.3,213.0,140.7,345.9,272.2,231.7,175.5,289.5,197.7,155.8,224.1,175.7,125.3,90.9,171.4,258.3,231.8,239.0,226.1
IQ,259.9,2148.6,251.7,203.7,218.1,197.5,231.4,275.0,154.1,198.9,202.3,173.4,132.7,118.6,241.2,0.0,228.8,156.7,221.1,142.3,293.1,195.2,238.4,204.7,292.9,292.5,262.0,141.6,197.9,266.6,283.4,290.0,184.8,302.7,62.2,141.3,77.2,145.5,118.7,267.5,158.5,222.9,146.7,73.0,100.2,252.5,72.3,279.9,238.0,306.3,257.9,207.5,188.4,186.1,59.1,314.0,148.1,308.3
JC,97.2,1935.2,92.0,114.0,118.0,129.0,65.3,46.1,150.0,98.5,186.6,217.3,271.4,257.4,78.5,261.6,0.0,288.9,173.4,247.3,69.4,194.3,156.1,166.9,199.0,63.6,33.1,280.3,268.4,32.8,73.3,104.1,131.4,118.9,321.1,227.5,338.9,268.4,305.8,122.8,281.4,17.2,377.9,334.7,287.3,207.9,341.1,135.2,75.3,82.6,29.0,84.8,123.4,197.3,320.8,108.3,162.0,79.4
KQ,261.7,2125.9,249.7,198.1,212.5,192.8,181.9,269.4,148.5,194.2,197.6,167.9,127.7,113.9,236.5,187.5,224.1,0.0,216.4,137.6,287.5,205.1,233.7,199.3,312.2,287.8,251.7,136.9,194.8,256.2,280.8,189.6,171.5,263.7,65.8,153.4,54.5,140.8,114.0,265.6,156.1,218.2,130.5,50.3,94.6,246.9,73.9,274.4,233.3,300.8,259.7,202.8,182.8,178.7,36.4,315.8,142.6,302.7
KV,159.8,1990.1,154.6,103.6,118.0,61.7,187.6,174.9,95.5,98.8,140.1,139.7,176.9,169.7,141.1,215.1,128.7,201.2,0.0,108.6,193.0,88.7,17.3,98.2,165.6,192.4,161.9,186.1,161.4,161.6,178.9,184.1,73.3,162.5,256.0,186.5,255.8,129.8,187.8,170.2,145.1,122.8,325.3,251.6,169.3,34.4,276.0,179.8,137.9,206.2,157.8,107.4,70.3,153.6,237.7,213.9,107.6,208.2
MA,171.8,2052.8,163.6,115.6,130.0,55.0,143.3,189.7,11.7,110.8,77.9,31.0,71.3,75.3,153.1,124.7,140.7,95.3,106.8,0.0,205.0,70.7,124.1,80.2,168.5,204.4,173.9,80.2,55.5,178.5,195.3,201.9,60.3,214.6,152.9,96.1,149.9,21.0,123.7,179.4,34.0,134.8,219.4,145.7,105.2,138.2,163.0,191.8,149.9,218.2,169.8,119.4,100.3,60.4,131.8,225.9,60.0,220.2
MN,139.1,2035.3,133.6,103.6,147.8,153.6,83.0,172.2,196.6,78.1,242.0,241.0,281.0,271.0,120.4,317.0,128.7,298.8,101.2,209.9,0.0,171.2,83.9,206.3,256.7,186.1,203.1,290.2,265.5,161.6,176.2,128.7,138.5,50.3,360.1,288.9,359.9,231.1,289.1,146.7,244.1,120.1,309.2,355.7,273.3,135.7,380.1,159.1,117.2,10.5,155.1,86.7,135.5,255.5,341.8,211.2,208.9,201.9
NH,226.8,2041.3,235.9,137.8,34.7,113.3,168.1,256.5,81.4,180.4,98.4,66.1,88.1,92.4,222.7,126.3,195.7,105.9,176.4,69.5,260.0,0.0,193.7,135.3,76.8,181.1,185.7,97.3,74.2,228.6,260.5,214.0,121.3,236.2,178.3,92.2,167.0,90.6,140.8,103.9,105.9,204.4,225.2,162.8,122.3,193.2,175.9,76.8,219.5,273.2,224.8,189.0,66.2,64.8,148.9,280.9,123.6,275.2
NX,142.5,1972.8,134.3,86.3,100.7,76.6,163.5,160.4,112.9,81.5,122.8,137.6,159.9,163.9,123.8,197.8,111.4,183.9,17.3,125.9,175.7,71.4,0.0,80.9,124.3,175.1,144.6,168.8,144.1,149.2,161.6,166.8,61.0,143.4,241.5,169.2,238.5,147.1,205.1,150.1,160.1,105.5,308.0,234.3,186.6,51.7,251.6,162.5,120.6,188.9,140.5,90.1,53.0,133.5,220.4,196.6,124.9,190.9
OG,145.5,2031.6,137.3,144.3,41.2,157.6,154.1,180.0,114.3,128.8,41.6,72.5,126.2,112.6,126.9,116.7,165.3,151.3,209.4,102.4,237.6,26.4,105.5,0.0,46.6,110.4,127.3,135.4,123.6,163.9,210.3,75.9,162.8,191.2,187.3,88.1,194.0,123.5,160.9,70.9,136.6,163.7,232.9,189.7,142.3,240.8,196.1,83.3,123.7,242.6,160.1,115.2,72.7,52.3,176.0,245.2,162.6,126.2
OH,98.8,2050.4,103.9,99.8,97.3,193.5,173.0,130.5,220.7,92.7,161.5,153.0,237.9,218.9,95.7,223.1,129.1,261.9,198.8,208.8,188.0,284.6,192.1,112.4,0.0,79.2,96.2,241.8,234.9,132.8,163.5,181.5,274.2,159.9,285.4,199.5,300.4,229.9,267.3,39.8,247.9,127.4,313.6,296.2,262.2,257.3,307.6,47.2,92.5,201.2,129.0,84.0,195.1,163.8,282.3,198.5,258.3,103.4
OJ,214.2,1993.0,206.0,231.0,197.7,252.3,181.7,163.1,285.6,215.5,213.1,243.8,297.9,283.9,195.5,288.1,169.1,321.9,332.2,273.8,238.6,344.6,314.9,203.9,226.6,0.0,150.5,306.8,294.9,154.7,104.2,299.3,334.2,229.9,350.4,259.5,365.4,294.9,332.3,196.7,307.9,186.4,404.4,361.2,313.8,366.7,360.5,209.1,192.3,251.8,146.0,201.8,246.7,223.8,347.3,134.8,333.9,15.7
PV,100.9,1973.1,95.4,117.7,147.5,161.3,186.7,44.2,226.0,102.2,153.4,189.7,237.9,224.2,82.2,228.4,32.2,255.7,211.3,214.1,101.7,164.4,194.0,133.7,181.4,30.4,0.0,247.1,236.8,36.5,105.6,142.0,157.4,156.8,299.0,194.3,305.7,240.8,272.6,121.6,250.5,55.1,344.7,301.5,259.7,240.2,313.5,131.2,79.0,114.9,32.7,88.5,161.3,166.9,287.6,140.6,274.2,51.8
QL,270.3,2141.0,262.1,214.1,228.5,207.9,241.8,288.2,164.5,209.3,212.7,183.8,143.1,129.0,251.6,202.6,239.2,15.0,231.5,152.7,303.5,205.6,248.8,215.1,303.3,302.9,272.4,0.0,208.3,277.0,289.4,300.4,195.2,313.1,72.6,151.7,69.6,155.9,129.1,277.9,168.9,233.3,139.1,65.4,110.6,262.9,82.7,290.3,248.4,316.7,268.3,217.9,198.8,196.5,51.5,324.4,158.5,318.7
QO,225.3,2107.9,221.4,169.1,185.1,146.9,153.6,240.4,103.7,165.9,101.7,121.2,15.4,19.7,208.2,93.2,194.2,33.2,197.1,91.7,258.5,159.2,216.0,154.1,217.9,259.5,223.4,24.6,0.0,227.1,244.4,161.3,125.6,233.0,105.6,59.1,94.3,93.3,68.1,237.3,110.2,189.9,162.2,90.1,48.0,228.5,114.5,245.3,205.0,271.7,224.9,174.5,153.8,84.4,76.2,279.4,113.5,273.7
QR,63.2,1993.4,55.0,80.0,123.1,160.3,144.8,12.2,256.6,64.5,184.1,214.8,268.9,254.9,44.5,259.1,58.1,292.9,181.2,244.8,130.3,173.5,163.9,148.4,163.5,58.6,62.9,277.8,265.9,0.0,105.3,148.3,172.1,126.7,321.4,225.0,336.4,265.9,303.3,88.8,281.2,75.4,375.4,332.2,284.8,215.7,338.6,81.4,41.3,140.8,58.8,50.8,155.1,194.8,318.3,73.0,304.9,74.4
QT,109.9,2000.1,101.7,131.1,150.7,193.9,130.2,58.8,289.8,115.6,217.3,248.0,301.8,288.1,91.2,296.7,64.8,324.0,232.3,282.4,134.3,225.8,210.6,195.1,153.9,98.7,68.2,315.4,299.1,45.5,0.0,195.0,194.6,173.4,354.6,262.6,369.6,299.1,336.5,135.5,312.1,82.1,408.6,369.8,322.4,262.4,376.2,147.9,88.0,146.4,41.7,97.5,182.2,228.0,355.9,34.9,338.1,114.5
RO,213.7,1966.9,208.2,66.0,80.4,56.3,83.3,137.3,128.4,152.7,102.5,172.6,212.6,202.6,195.0,211.9,91.1,230.4,32.8,141.5,192.5,100.1,15.5,60.7,162.4,260.7,153.1,221.8,198.7,124.0,141.3,0.0,70.1,139.3,302.8,177.8,291.5,162.7,220.7,224.1,178.0,119.6,361.0,287.3,202.2,67.3,238.4,233.7,191.8,168.6,120.2,161.3,32.7,150.4,273.4,176.3,140.5,170.6
RW,136.8,2051.7,246.3,195.6,81.8,135.0,178.5,154.0,91.8,190.8,65.4,76.5,98.5,102.8,233.1,136.7,105.7,116.3,186.8,79.9,287.7,24.9,204.1,19.9,87.2,191.5,196.1,107.7,84.6,138.6,160.3,224.4,0.0,260.3,188.7,102.6,177.4,104.7,151.2,114.3,116.3,214.8,246.9,173.2,132.7,218.2,197.6,123.9,229.9,298.2,249.8,199.4,180.3,75.2,159.3,305.9,140.0,185.2
RX,235.3,1988.5,230.1,127.6,136.4,116.2,104.9,196.1,179.5,174.3,158.5,194.2,234.5,224.2,216.6,233.5,147.1,258.5,54.4,163.1,210.5,109.5,37.1,117.4,168.4,282.3,174.7,243.4,221.1,180.0,201.7,21.5,91.7,0.0,324.4,199.4,313.1,184.3,242.3,242.9,197.3,141.2,382.6,308.9,223.8,88.9,333.3,255.3,213.4,224.6,176.2,182.9,88.7,169.2,295.0,232.3,162.1,298.1
SH,197.6,2086.1,191.0,133.1,147.5,98.8,169.1,217.1,91.7,136.6,170.7,135.9,101.1,91.2,178.9,164.8,166.5,125.1,160.4,104.8,225.2,146.1,176.1,154.0,202.5,230.2,201.3,114.2,162.0,199.4,208.4,229.3,135.7,205.3,0.0,109.7,183.9,117.7,109.3,206.8,140.6,160.6,261.7,179.7,99.1,181.9,199.9,209.3,175.7,244.0,187.3,145.2,117.8,154.5,165.8,251.7,77.5,237.7
SJ,294.0,2112.5,226.0,237.8,252.2,231.6,158.2,248.7,108.3,170.5,236.4,207.5,38.0,24.3,212.8,50.8,262.9,55.8,203.3,96.3,327.2,163.8,220.6,158.7,175.5,240.4,228.0,47.2,136.1,233.3,313.1,165.9,130.2,302.5,121.4,0.0,116.9,99.5,72.7,214.5,114.8,194.5,167.1,112.7,134.3,234.7,130.3,224.1,209.6,277.9,292.0,179.1,160.0,42.0,98.8,348.1,119.7,256.2
TA,270.2,2071.3,262.0,214.0,228.4,171.4,241.7,288.1,164.4,209.2,229.4,200.5,159.8,145.7,251.5,219.3,239.1,183.8,246.1,169.4,303.4,217.1,263.4,226.6,270.0,302.8,272.3,168.7,225.0,276.9,289.3,300.3,206.7,313.0,107.3,168.4,0.0,172.6,145.8,277.8,185.6,233.2,69.4,234.2,127.3,277.5,99.4,290.2,248.3,316.6,268.2,217.8,198.7,213.2,220.3,324.3,158.4,318.6
TJ,291.1,2091.0,282.9,234.9,121.1,174.3,217.8,306.2,131.0,230.1,101.0,115.8,137.8,142.1,272.4,176.0,260.0,162.1,226.1,119.2,324.3,64.2,243.4,59.2,102.5,230.8,235.4,147.0,122.3,292.9,314.6,321.2,30.6,299.6,216.9,147.4,216.7,0.0,190.5,153.6,13.0,254.1,286.2,212.5,172.0,257.5,236.9,163.2,269.2,337.5,289.1,238.7,219.6,114.5,198.6,345.2,179.3,246.6
TP,195.5,2076.5,187.3,139.3,153.7,78.7,167.0,210.6,35.4,134.5,101.5,54.6,94.9,98.9,176.8,148.3,164.4,118.9,130.5,23.5,228.7,76.4,147.8,85.9,129.3,228.1,197.6,103.8,79.1,202.2,219.0,225.6,66.0,238.3,176.5,119.7,173.5,26.7,0.0,203.1,39.7,158.5,243.0,169.3,128.8,161.9,186.6,215.5,173.6,241.9,193.5,143.1,124.0,84.0,155.4,249.6,83.7,243.9
TY,154.5,2029.5,151.8,171.3,176.3,220.5,243.1,106.2,252.9,158.6,177.5,208.2,264.8,251.1,138.6,255.3,91.4,282.6,264.9,241.0,160.9,191.3,250.4,160.6,208.3,39.3,61.9,274.0,263.7,90.1,136.4,198.4,184.3,210.4,314.8,221.2,332.6,259.3,299.5,0.0,277.4,111.5,368.8,328.4,278.2,299.4,334.8,9.5,135.4,174.1,89.1,144.9,217.7,191.0,314.5,171.4,298.3,52.3
UJ,275.8,2078.0,272.6,224.1,105.8,161.3,204.8,290.9,118.1,217.1,85.7,100.5,124.8,129.1,259.4,163.0,244.7,142.6,210.8,106.2,309.0,51.2,230.4,43.8,113.5,217.8,222.4,134.0,110.9,277.6,294.9,250.7,17.6,284.3,215.0,128.9,203.7,125.0,177.5,140.6,0.0,241.1,270.9,199.5,159.0,242.2,223.9,147.9,256.2,322.2,273.8,225.7,204.3,101.5,185.6,329.9,164.0,233.6
UL,170.4,1917.9,162.2,187.2,201.9,177.8,107.2,121.4,311.9,171.7,239.4,270.1,324.2,310.2,151.7,314.4,125.3,348.2,288.4,300.1,194.8,190.6,271.1,230.2,252.9,154.8,124.3,333.1,321.2,110.9,56.0,255.5,180.2,235.1,376.7,285.8,391.7,321.2,358.6,196.0,334.2,0.0,430.7,387.5,340.1,322.9,386.8,208.4,148.5,208.0,102.2,158.0,172.2,250.1,373.6,91.0,360.2,170.6
UW,235.5,2132.3,227.3,179.3,193.7,155.1,162.2,250.6,111.8,174.5,159.9,131.0,90.0,76.2,216.8,149.8,204.4,107.8,196.7,99.9,268.7,164.1,214.0,162.3,258.9,268.1,232.0,99.2,155.5,237.3,259.0,265.6,133.8,244.0,35.0,98.9,168.9,103.1,76.3,243.1,116.1,198.5,0.0,164.7,57.8,228.1,37.0,255.5,213.6,281.9,233.5,183.1,164.0,141.0,150.8,289.6,123.7,283.9
UX,274.4,2075.5,266.2,218.2,232.6,175.6,245.9,289.5,168.6,213.4,233.6,204.7,164.0,149.9,255.7,223.5,243.3,188.0,250.3,173.6,307.6,221.3,267.6,230.8,274.2,307.0,276.5,172.9,229.2,281.1,297.9,304.5,210.9,317.2,111.5,172.6,4.1,176.8,150.0,282.0,189.8,237.4,73.6,0.0,131.5,281.7,103.6,294.4,252.5,320.8,272.4,222.0,202.9,217.4,224.5,328.5,162.6,322.8
VB,214.0,2095.0,205.8,157.8,172.2,97.2,140.7,229.5,54.0,153.0,120.0,73.1,113.4,117.4,195.3,166.8,182.9,130.9,149.0,42.0,247.2,94.9,166.3,104.6,147.8,246.6,210.5,122.3,97.6,215.8,233.1,186.6,75.9,222.5,192.2,132.7,192.0,45.2,18.5,224.4,58.2,177.0,261.5,187.8,0.0,180.4,212.2,234.0,192.1,260.4,212.0,161.6,142.5,102.5,173.9,268.1,102.2,262.4
VL,205.8,1998.2,197.6,149.6,164.0,84.6,227.6,220.9,118.2,144.8,186.1,162.6,202.6,192.6,187.1,256.3,174.7,226.9,45.9,131.5,239.0,134.7,63.2,144.2,186.4,238.4,202.3,211.8,187.1,207.6,224.9,230.9,119.3,209.3,292.8,215.3,281.5,152.7,210.7,213.4,165.7,168.8,351.0,277.3,192.2,0.0,301.7,225.8,183.9,252.2,203.8,153.4,116.3,192.0,263.4,259.9,130.5,254.2
VO,216.0,2097.0,210.5,162.0,174.2,118.0,187.5,231.1,74.9,155.0,122.8,93.9,53.2,39.1,197.3,112.7,184.9,70.7,169.8,62.8,249.2,130.3,187.1,125.4,221.8,248.6,218.1,62.1,118.4,217.8,239.5,246.1,96.7,224.5,132.0,78.6,131.8,66.0,39.2,223.6,79.0,179.0,201.3,127.6,20.7,201.2,0.0,236.0,194.1,257.1,214.0,163.6,144.5,103.9,113.7,270.1,104.2,264.4
VR,144.9,2017.1,136.7,161.7,166.7,210.9,230.7,93.8,240.4,146.2,167.9,198.6,252.4,238.7,126.2,242.9,81.8,270.2,255.3,228.6,151.3,155.7,238.0,148.2,185.3,26.9,43.9,261.6,249.7,80.5,131.2,186.0,289.0,200.8,302.4,208.8,320.2,249.7,287.1,133.3,262.7,99.1,359.2,316.0,268.6,289.8,322.4,0.0,123.0,164.5,76.7,132.5,205.3,178.6,302.1,161.8,288.7,42.7
VS,21.8,2060.3,13.6,124.7,62.6,140.2,152.4,196.0,193.9,119.9,163.9,178.7,201.0,205.0,3.1,238.9,149.8,225.0,144.2,182.1,214.1,112.5,126.9,122.0,271.8,213.5,183.0,209.9,185.2,187.6,200.0,254.3,102.1,230.9,282.6,210.3,279.6,203.2,253.4,188.5,216.2,143.9,349.1,275.4,234.9,178.7,292.7,200.9,0.0,227.3,178.9,128.5,94.1,174.6,261.5,235.0,242.2,229.3
WE,128.6,2024.8,123.1,92.6,137.3,143.1,72.5,161.7,191.6,67.6,231.5,230.5,270.8,260.5,109.9,306.5,115.5,288.3,90.7,199.4,182.5,143.4,73.4,195.8,172.6,175.6,192.6,279.7,256.6,148.4,171.2,118.2,128.0,36.2,352.4,277.9,349.4,220.6,278.6,136.2,233.6,109.6,298.7,345.2,260.1,125.2,369.6,148.6,106.7,0.0,144.6,76.2,125.0,242.2,331.3,200.7,198.4,191.4
XO,68.1,2022.1,62.6,84.9,108.9,165.2,153.9,17.0,261.7,69.4,189.0,219.7,273.8,259.8,49.4,264.0,110.0,297.8,186.1,249.7,174.3,160.8,168.8,153.3,201.0,133.1,137.6,282.7,272.4,3.7,160.2,153.2,177.0,131.6,334.6,235.4,341.3,270.8,308.2,96.5,283.8,104.1,380.3,337.1,289.7,220.6,343.5,106.1,46.2,187.5,0.0,55.7,140.4,202.5,323.2,195.2,309.8,148.9
XZ,52.3,1966.3,44.1,29.1,61.0,109.4,38.8,100.4,130.4,13.6,155.2,185.9,240.0,226.0,33.6,230.2,54.2,264.0,130.3,215.9,118.5,122.2,113.0,119.5,143.2,99.3,87.4,248.9,237.0,92.0,104.4,97.4,111.8,110.1,292.5,201.6,307.5,237.0,274.4,59.9,250.0,48.3,346.5,303.3,255.9,164.8,302.6,72.3,30.4,131.7,83.3,0.0,103.8,165.9,289.4,139.4,276.0,115.1
YB,259.8,2059.7,254.3,203.6,89.8,143.0,231.3,274.9,99.9,198.8,69.7,84.5,106.8,110.8,241.1,144.7,228.7,130.8,194.8,87.9,293.0,32.9,212.1,27.8,71.2,199.5,204.1,115.7,91.0,261.6,278.9,232.4,2.9,268.3,196.7,116.1,185.4,109.0,159.2,122.3,122.0,222.8,254.9,181.2,140.7,226.2,205.6,131.9,237.9,306.2,257.8,207.4,0.0,80.4,167.3,313.9,148.0,215.3
YK,226.2,2073.8,218.0,189.2,128.0,123.7,167.2,249.3,80.5,179.5,16.1,38.6,73.7,60.0,204.8,64.2,209.4,91.5,178.2,68.6,304.7,154.0,192.8,83.8,130.7,195.6,200.2,82.9,91.3,233.9,258.8,213.1,120.4,269.0,123.7,30.1,141.5,89.7,108.4,169.7,105.0,203.5,177.7,137.3,87.1,206.9,143.7,179.3,201.6,315.2,227.4,188.1,169.0,0.0,123.4,293.8,128.7,211.4
YN,288.3,2089.4,280.1,232.1,246.5,189.5,259.8,303.4,182.5,227.3,247.5,218.6,177.9,163.8,269.6,237.4,257.2,201.9,264.2,187.5,321.5,235.2,281.5,244.7,288.1,320.9,290.4,186.8,243.1,295.0,307.4,318.4,224.8,331.1,125.4,186.5,18.0,190.7,163.9,295.9,203.7,251.3,87.5,13.9,145.4,295.6,117.5,308.3,266.4,334.7,286.3,235.9,216.8,231.3,0.0,342.4,176.5,336.7
ZJ,79.3,1969.5,71.1,96.1,120.1,163.3,99.6,28.6,259.2,80.6,186.7,217.4,271.5,257.5,60.6,261.7,34.2,289.0,197.3,247.4,103.7,195.2,180.0,164.5,196.6,63.7,33.2,280.4,268.5,14.9,107.6,164.4,188.2,142.8,321.2,227.6,339.0,268.5,305.9,104.9,281.5,51.5,378.0,334.8,287.4,231.8,341.2,117.3,57.4,116.9,11.1,66.9,151.6,197.4,320.9,0.0,307.5,79.5
ZL,111.7,1992.7,103.5,55.5,69.9,89.0,38.4,126.7,140.0,50.7,110.0,124.8,146.8,151.1,93.0,185.0,80.6,171.9,93.0,128.2,144.9,58.6,75.7,68.1,135.5,144.3,108.2,156.0,131.3,113.5,130.8,141.8,43.2,120.2,225.9,156.4,225.7,149.3,199.5,119.3,162.3,74.7,295.2,221.5,181.0,127.5,243.7,131.7,89.8,158.1,109.7,59.3,40.2,123.5,207.6,165.8,0.0,160.1
