from_stop,AH,AJ,BG,BK,BT,BU,BV,CE,CG,CJ,CK,CN,CO,CP,DA,DQ,DZ,EG,EK,EQ,ER,FB,FF,FM,FQ,GV,GW,GZ,HN,HO,HP,IF,JM,KE,KF,KI,KL,KP,KV,KW,LQ,LW,MC,MH,MM,MO,MV,NA,ND,NH,NN,NO,NS,NT,OB,OC,OH,OI,OK,ON,OV,OW,OY,PE,PR,PX,QI,QN,QP,QS,RH,RI,RX,SG,SI,SJ,TC,TD,TT,TZ,UD,UJ,UP,UW,UZ,VL,VT,WA,WD,WW,XG,YR,YZ,ZJ,ZU
CK,49.7,238.3,260.6,205.6,471.8,272.5,174.6,289.0,135.0,99.2,0.0,67.8,155.7,87.5,11.9,193.2,106.9,230.8,313.5,120.7,173.3,441.1,164.6,159.6,380.1,172.0,325.4,435.3,173.4,306.0,1530.2,148.1,210.9,445.2,149.4,290.2,256.0,99.0,223.3,463.9,278.9,81.0,178.3,199.4,179.8,196.0,296.9,209.4,181.9,135.3,297.4,248.4,252.1,96.5,178.0,38.1,172.4,215.8,325.4,349.3,232.3,392.6,385.6,247.1,406.0,199.3,190.0,172.2,302.4,152.1,424.7,143.7,251.8,176.3,359.4,74.3,272.9,195.1,445.5,385.1,178.0,484.6,411.9,362.4,144.8,216.4,368.6,169.1,476.1,317.9,255.3,264.8,494.3,140.5,132.2
CN,81.5,296.6,318.9,263.9,222.1,330.8,232.9,249.4,170.7,156.0,58.2,0.0,191.4,145.8,48.2,275.9,103.5,177.1,273.9,179.0,231.6,191.4,225.1,224.4,65.3,230.3,285.8,206.4,231.7,169.6,1408.2,206.4,269.2,241.2,210.9,117.0,325.6,111.4,281.6,259.9,337.2,139.2,236.6,257.7,238.1,166.5,355.2,323.7,240.2,193.6,355.7,306.7,310.4,154.8,236.3,69.9,230.7,274.1,285.8,407.6,290.6,188.6,151.4,193.4,202.0,257.6,258.7,230.5,254.4,210.4,191.5,202.0,310.1,234.6,319.8,106.6,331.2,266.7,143.5,345.5,236.3,280.6,177.7,420.0,203.1,274.7,329.0,227.4,271.6,376.2,313.6,225.2,290.3,198.8,192.9
CO,195.0,257.1,279.4,224.4,410.0,291.3,193.4,251.5,153.8,118.0,215.0,263.4,0.0,106.3,226.7,236.4,171.6,193.3,276.0,139.5,192.1,379.3,185.6,178.4,274.4,190.8,287.9,323.0,192.2,268.5,1549.0,166.9,229.7,407.7,171.4,252.7,286.1,163.7,242.1,426.4,297.7,99.7,197.1,218.2,198.6,158.5,318.2,228.2,200.7,154.1,316.2,267.2,270.9,115.3,196.8,207.4,191.2,234.6,289.4,368.1,251.1,355.1,237.9,209.6,368.5,218.1,227.2,191.0,274.5,170.9,308.1,162.5,270.6,195.1,321.9,168.1,291.7,227.2,289.2,348.0,196.8,447.1,264.2,380.5,163.6,235.2,331.1,187.9,438.1,336.7,274.1,227.3,456.8,159.3,153.4
CP,145.4,209.2,233.4,176.5,384.2,243.4,96.3,375.4,98.7,69.7,100.3,174.6,119.4,0.0,112.0,188.5,123.3,314.1,396.2,73.6,46.3,353.5,137.7,137.0,140.5,142.9,408.7,352.0,144.3,315.2,1501.1,72.7,181.8,420.7,123.5,328.1,238.2,110.6,194.2,433.7,249.8,8.9,149.2,170.3,150.7,279.3,270.3,236.3,152.8,46.4,268.3,219.3,223.0,9.0,148.9,159.1,84.8,193.6,408.9,320.2,203.2,362.4,298.0,329.1,374.5,170.2,179.3,143.1,394.0,123.0,337.1,114.6,224.6,147.2,442.7,119.8,243.8,179.3,383.2,472.0,160.3,467.5,324.3,332.6,103.0,187.3,452.9,140.0,444.1,288.8,226.2,348.1,482.3,111.4,105.5
DA,42.4,248.3,270.6,215.6,481.8,282.5,184.6,302.1,140.5,109.2,9.9,55.8,161.2,98.8,0.0,227.6,99.6,240.8,322.9,130.7,183.3,451.1,176.8,176.1,28.1,182.0,335.4,449.6,183.1,332.9,1540.2,158.1,220.9,460.9,162.3,300.2,277.3,86.9,233.3,473.9,288.9,90.6,188.3,209.4,189.8,206.0,309.4,219.1,191.6,145.3,307.4,258.4,262.1,106.5,187.7,30.8,182.1,232.7,352.7,359.3,242.3,402.6,395.6,256.8,416.0,209.3,218.4,181.9,321.7,161.8,434.7,153.7,261.5,186.3,369.4,67.5,282.6,218.1,480.8,398.7,199.4,494.6,421.9,371.4,142.1,226.4,379.6,179.1,485.3,327.9,265.3,274.8,513.7,150.5,144.6
DQ,286.5,20.6,145.9,71.7,461.3,61.4,158.3,472.1,245.1,210.1,209.6,256.9,265.8,208.4,221.6,0.0,263.7,382.5,496.6,161.0,157.0,430.6,68.7,155.4,369.6,76.1,508.5,432.9,93.8,391.5,1399.5,131.8,123.0,492.1,173.6,405.2,74.0,255.0,113.3,510.8,85.6,216.5,120.8,118.3,176.4,390.2,109.7,72.1,34.3,172.7,104.1,68.4,41.0,196.0,90.4,299.5,148.6,127.1,512.4,156.2,208.4,439.5,375.1,398.8,456.8,85.4,90.9,57.5,481.0,147.9,414.2,140.3,58.5,120.2,542.5,260.2,97.8,144.9,435.0,571.0,173.8,544.6,401.4,193.0,79.7,37.2,552.7,80.0,521.7,121.0,75.3,447.9,553.5,167.8,159.5
DZ,69.6,316.6,338.9,283.9,497.9,350.8,252.9,339.4,67.1,52.4,117.6,91.7,87.8,165.8,132.3,271.5,0.0,281.2,363.9,199.0,251.6,467.2,242.9,237.9,362.3,250.3,375.8,406.6,251.7,356.4,1608.5,226.4,289.2,495.6,227.7,340.6,334.3,7.8,301.6,514.3,357.2,159.3,256.6,277.7,258.1,246.4,375.2,343.7,260.2,213.6,375.7,326.7,330.4,174.8,256.3,82.0,250.7,294.1,393.4,427.6,310.6,443.0,325.8,297.5,456.4,277.6,268.3,250.5,352.8,230.4,396.0,222.0,330.1,254.6,409.8,43.2,351.2,273.4,385.7,435.5,256.3,535.0,352.1,440.7,223.1,294.7,419.0,247.4,526.5,396.2,333.6,315.2,544.7,218.8,210.5
EG,453.6,564.6,595.0,545.0,216.6,605.4,509.0,58.1,460.4,424.6,403.8,295.9,481.1,465.4,415.8,532.6,478.2,0.0,82.6,424.5,460.2,185.9,499.0,499.0,240.2,506.4,94.5,189.9,512.8,234.3,1381.3,482.5,550.3,214.3,488.8,218.5,582.3,470.3,557.7,233.0,595.1,458.9,517.7,533.8,519.2,186.5,613.1,568.0,516.3,425.8,600.0,562.9,585.0,474.4,487.3,442.0,506.8,555.2,96.0,580.3,571.7,161.7,241.8,16.2,175.1,533.7,513.8,506.6,71.5,491.5,179.3,483.1,564.7,510.7,128.5,475.2,612.3,534.5,301.7,154.2,517.4,253.7,268.1,593.4,479.2,555.8,137.7,495.3,245.2,665.0,589.5,33.9,263.4,479.9,471.6
EK,552.8,663.8,694.1,644.2,305.8,704.6,608.2,334.4,559.5,523.8,503.0,395.1,580.3,564.5,514.9,643.1,577.4,276.3,0.0,523.7,559.4,275.1,598.1,598.1,339.3,605.6,11.8,283.3,612.6,283.9,1335.4,581.7,649.5,174.3,591.1,317.7,692.8,569.5,656.9,193.1,694.3,558.0,616.9,633.0,618.4,285.7,712.2,642.9,615.4,525.6,699.8,662.7,684.2,573.6,586.5,541.2,606.0,654.3,11.8,679.5,670.8,250.9,331.0,292.6,264.3,632.9,623.4,605.7,302.9,590.6,268.5,582.3,663.8,609.9,45.8,573.8,711.4,646.9,390.8,244.0,616.5,142.2,357.3,692.5,578.3,654.9,56.0,594.5,204.7,764.2,688.7,310.3,161.6,579.1,570.7
EQ,173.7,201.2,231.6,220.1,468.3,242.0,145.6,355.0,184.1,153.8,123.9,191.8,204.8,84.0,135.9,207.7,207.4,296.8,379.5,0.0,130.4,437.6,135.6,174.1,376.6,143.0,391.4,431.8,187.9,399.3,1501.2,119.1,225.4,511.2,253.7,356.2,218.9,199.5,194.3,529.9,231.7,77.5,192.8,170.4,229.0,262.0,249.7,204.6,152.9,131.8,236.6,199.5,221.6,93.0,123.9,162.1,143.4,230.3,391.4,363.8,246.8,458.6,382.1,313.1,472.0,170.3,150.4,143.2,368.4,166.6,421.2,158.2,201.3,147.3,425.4,204.4,287.4,209.6,442.0,451.1,192.5,550.6,408.4,376.9,115.8,230.9,434.6,131.9,542.1,332.4,269.8,330.8,560.3,155.0,146.7
ER,130.0,180.3,159.5,129.6,385.5,221.1,49.9,361.1,88.8,53.0,129.0,198.4,109.5,51.3,141.0,135.2,106.6,302.9,385.6,125.0,0.0,354.8,101.2,181.9,293.8,108.6,397.5,349.0,97.4,316.5,1466.8,26.3,162.9,416.3,171.7,329.4,198.0,98.7,122.2,435.0,217.9,60.2,120.3,136.0,202.1,268.1,235.9,190.8,118.5,49.0,222.8,185.7,200.7,38.9,71.5,142.4,39.7,167.8,397.5,301.3,254.6,363.7,299.3,319.2,377.1,98.2,98.0,108.8,374.5,174.4,338.4,166.0,193.8,112.9,431.5,103.6,233.1,147.1,359.2,457.2,200.3,468.8,325.6,314.4,81.4,158.4,440.7,79.5,447.2,280.7,197.3,336.9,478.5,162.8,154.5
FB,520.7,631.7,592.0,582.7,30.6,653.9,503.0,284.5,527.5,491.7,470.9,270.7,548.2,476.7,482.9,588.3,545.3,264.2,271.6,491.6,453.0,0.0,566.1,566.1,215.0,573.5,283.5,219.2,550.5,152.0,1293.5,479.4,616.0,108.5,555.9,164.9,649.4,537.4,575.3,127.2,612.8,526.0,573.4,600.9,586.3,253.6,612.8,581.1,583.4,418.6,613.1,584.1,652.1,464.3,524.6,509.1,492.8,620.9,301.1,573.1,638.8,96.6,271.1,280.5,86.7,551.3,551.1,573.7,279.9,558.6,208.6,550.2,631.8,577.8,145.6,542.3,679.4,600.2,331.0,183.5,584.5,165.9,297.4,586.2,546.3,611.5,154.8,532.6,139.4,687.7,610.7,260.3,175.6,547.0,538.7
FF,235.2,78.0,168.0,122.8,443.0,121.7,106.4,407.5,194.0,158.2,173.3,241.2,214.7,154.6,185.0,57.3,211.8,346.2,428.3,124.7,105.1,412.3,0.0,175.1,213.5,7.3,440.8,417.5,90.6,378.5,1365.5,79.9,156.1,479.5,161.6,386.9,107.0,199.1,91.1,492.5,136.6,168.3,113.5,34.7,188.8,311.4,157.1,66.7,32.6,154.4,98.7,106.1,98.4,144.1,64.7,247.6,104.2,167.9,458.4,213.6,241.3,421.2,356.8,362.5,434.6,67.1,109.6,40.0,427.4,161.1,395.9,152.7,81.0,11.6,474.8,208.3,130.8,153.6,442.0,504.1,198.4,547.6,383.1,226.0,33.0,74.1,485.0,72.7,504.2,178.4,113.0,380.2,555.1,149.5,143.6
FM,280.2,78.9,245.6,55.1,560.2,112.8,157.9,465.3,245.5,209.7,231.1,292.5,259.7,206.1,242.8,99.6,263.3,404.0,486.1,194.2,156.6,529.5,168.1,0.0,271.3,209.1,498.6,521.5,59.2,484.7,1449.2,131.4,51.2,596.7,132.6,504.1,108.1,250.6,208.3,609.7,119.2,216.9,104.4,201.3,159.8,369.2,146.4,161.9,129.3,199.2,193.9,144.9,92.4,195.6,86.1,299.1,155.7,63.0,509.7,189.6,195.3,538.4,474.0,420.3,545.3,184.3,116.5,150.7,485.2,132.1,513.1,123.7,153.5,203.2,532.6,259.8,118.3,42.2,559.2,561.9,169.4,643.5,500.3,202.0,168.2,129.6,542.8,77.2,621.4,172.4,168.5,438.0,646.7,185.4,179.5
FQ,359.0,470.0,500.4,450.4,196.1,322.1,414.4,168.0,180.1,330.0,309.2,68.3,386.5,372.1,320.9,449.3,383.6,102.5,188.8,329.9,413.1,165.4,406.6,410.9,0.0,411.8,201.3,137.2,418.2,67.4,1342.8,387.9,455.7,181.5,202.2,51.6,499.0,370.9,272.9,194.5,500.5,364.2,423.1,439.2,424.6,91.9,521.0,449.2,231.5,184.9,505.4,298.0,490.4,379.8,392.7,347.4,412.2,467.5,201.3,431.4,281.9,123.2,76.8,140.4,136.6,439.1,437.6,412.0,169.9,201.7,107.0,388.5,301.4,416.1,212.9,107.1,322.5,258.0,162.0,254.4,434.2,215.2,103.1,443.8,371.9,266.0,223.1,400.7,221.5,570.4,304.9,140.7,224.9,385.3,379.4
GV,245.2,88.0,160.6,132.8,493.2,128.8,116.4,414.4,204.0,168.2,183.3,284.9,224.7,166.5,195.3,138.4,221.8,356.2,438.9,134.7,115.1,462.5,10.0,178.6,401.5,0.0,450.8,456.7,100.6,424.2,1358.1,89.9,166.1,524.0,168.4,437.1,105.7,213.9,141.3,542.7,88.6,175.4,123.5,27.3,198.8,321.4,106.6,61.5,39.7,204.6,93.5,56.4,108.4,154.1,74.7,257.6,114.2,171.0,450.8,131.5,251.3,471.4,407.0,372.5,484.8,117.3,101.2,50.0,427.8,171.1,446.1,162.7,88.1,4.3,484.8,218.8,140.8,150.3,466.9,510.5,197.0,540.2,433.3,144.6,53.4,84.1,494.0,82.7,554.9,188.4,123.0,390.2,549.9,159.5,151.2
GW,540.9,651.9,682.3,632.3,293.9,692.7,596.3,322.6,547.7,511.9,491.1,383.2,568.4,552.7,503.1,619.9,565.5,264.4,177.9,511.8,547.5,263.2,586.3,586.3,327.5,593.7,0.0,267.2,600.1,272.0,1323.5,569.8,637.6,162.5,576.1,305.8,669.6,557.6,645.0,181.2,682.4,546.2,605.0,621.1,606.5,273.8,700.4,655.3,603.6,513.1,687.3,650.2,672.3,561.7,574.6,529.3,594.1,642.5,0.0,667.6,659.0,239.0,319.1,280.7,252.4,621.0,601.1,593.9,281.5,578.8,256.6,570.4,652.0,598.0,33.9,562.5,699.6,621.8,379.0,231.5,604.7,130.3,345.4,680.7,566.5,643.1,43.1,582.6,193.4,752.3,676.8,298.4,140.0,567.2,558.9
GZ,377.4,488.4,518.8,468.8,223.4,529.2,432.8,192.9,384.2,352.2,327.6,153.9,404.9,389.2,339.6,456.4,402.0,91.2,218.2,352.1,322.0,192.7,422.8,422.8,102.1,430.2,226.2,0.0,436.6,92.3,1371.5,406.3,474.1,200.7,419.6,76.5,517.4,389.3,481.5,223.2,518.9,386.5,441.5,457.6,446.8,76.8,480.5,471.4,443.9,283.8,478.3,486.7,512.6,398.2,411.1,365.8,430.6,482.8,247.6,442.1,495.5,148.1,43.7,103.7,161.5,457.5,448.0,430.4,194.8,419.1,131.9,406.9,488.5,434.5,237.8,398.5,536.1,471.6,128.9,279.9,452.6,240.1,70.0,450.7,390.3,483.4,250.8,419.1,231.1,588.8,513.3,165.6,256.2,407.5,395.4
HN,227.4,93.1,208.2,32.1,522.8,127.0,98.6,458.5,186.2,150.4,183.5,251.4,206.9,146.8,195.5,60.0,204.0,400.3,482.4,134.9,97.3,492.1,106.6,123.1,223.7,114.0,494.9,490.6,0.0,453.8,1463.4,72.1,65.4,553.6,109.6,466.7,128.8,195.5,170.9,572.3,133.4,157.6,45.1,165.1,136.8,365.5,160.6,138.4,94.4,146.4,164.2,115.2,106.6,136.3,26.8,239.8,96.4,77.2,512.5,203.8,189.3,501.0,436.6,416.6,514.4,146.9,49.2,122.3,481.5,109.1,475.7,100.7,118.6,118.3,528.9,200.5,139.0,62.9,496.5,554.6,146.4,606.1,462.9,216.2,74.1,83.2,539.1,17.9,584.0,186.6,122.1,434.3,625.5,126.1,120.2
HO,368.6,485.9,439.9,430.6,128.6,501.8,350.9,97.4,375.4,339.6,318.8,124.9,396.1,322.7,330.8,458.9,393.2,198.4,122.0,339.5,300.9,97.9,416.2,420.5,69.2,421.4,133.8,54.4,398.4,0.0,1289.2,327.3,463.9,108.3,407.0,12.8,514.9,384.7,423.2,140.9,460.7,373.8,421.3,448.8,434.2,101.5,460.7,412.9,431.2,264.9,461.0,432.0,500.0,312.2,372.5,357.0,340.7,482.0,133.8,421.0,486.7,69.6,102.0,134.7,69.1,399.2,417.4,421.6,151.4,406.5,39.5,398.1,486.0,425.7,145.4,389.7,527.3,461.4,144.0,197.2,450.1,161.6,128.3,433.4,387.8,459.4,168.5,386.8,138.7,535.6,458.6,73.2,157.4,394.9,386.6
HP,1644.6,1566.3,1689.9,1603.1,1315.8,1514.4,1626.9,1373.7,1651.4,1615.6,1594.8,1394.6,1672.1,1600.6,1606.8,1667.0,1669.2,1388.1,1398.2,1615.5,1576.9,1285.1,1538.5,1687.6,1338.9,1528.5,1410.1,1326.4,1625.2,1275.9,0.0,1603.3,1654.4,1250.4,1648.4,1288.8,1569.7,1661.3,1670.6,1269.1,1524.6,1649.9,1652.1,1538.7,1623.7,1377.5,1529.6,1528.7,1568.3,1542.5,1579.9,1547.8,1545.9,1588.2,1603.3,1633.0,1616.7,1659.3,1410.1,1489.9,1630.3,1220.5,1362.4,1404.4,1210.6,1646.6,1629.8,1578.6,1369.1,1680.1,1315.8,1613.6,1613.8,1522.6,1287.5,1666.2,1560.2,1638.6,1422.3,1325.4,1624.8,1223.0,1388.7,1503.0,1582.0,1612.7,1296.7,1611.3,1281.3,1548.2,1574.4,1349.5,1232.7,1688.1,1679.8
IF,155.2,153.9,133.1,103.2,447.7,194.7,23.5,386.3,114.0,78.2,154.2,223.6,134.7,76.5,166.2,108.8,131.8,328.1,410.8,150.2,25.1,417.0,74.8,178.0,356.0,82.2,422.7,411.2,71.0,378.7,1440.4,0.0,136.5,478.5,167.8,391.6,171.6,123.9,95.8,497.2,191.5,85.4,93.9,109.6,198.2,293.3,209.5,164.4,92.1,74.2,196.4,159.3,174.3,64.1,45.1,167.6,24.2,141.4,422.7,274.9,250.7,425.9,361.5,344.4,439.3,71.8,71.6,82.4,399.7,170.5,400.6,162.1,167.4,86.5,456.7,128.8,206.7,120.7,421.4,482.4,196.4,531.0,387.8,288.0,55.0,132.0,465.9,53.1,509.4,254.3,170.9,362.1,540.7,158.9,150.6
JM,418.5,111.4,278.1,169.2,592.7,113.3,289.7,535.7,377.3,341.5,304.6,384.4,398.0,339.8,316.6,251.4,395.1,477.5,560.2,292.4,288.4,562.0,200.1,203.8,501.0,207.5,572.1,556.2,191.3,523.7,1451.4,263.2,0.0,623.5,198.2,536.6,135.8,387.2,240.8,642.2,169.7,348.7,236.5,250.5,173.5,442.7,194.4,217.6,161.8,304.1,249.6,200.6,91.0,327.4,217.9,430.9,280.8,4.9,589.7,235.8,144.0,570.9,506.5,493.8,584.3,216.8,211.9,189.7,549.1,246.2,545.6,163.4,186.0,252.4,606.1,392.1,97.1,184.1,566.4,631.8,138.5,676.0,532.8,248.9,211.1,168.6,615.3,209.3,654.4,143.1,207.5,511.5,685.7,299.2,290.9
KE,490.5,607.2,637.6,587.6,155.3,648.0,551.6,179.0,497.3,467.2,446.4,246.4,518.0,509.3,458.1,586.5,520.8,276.9,199.8,467.1,437.0,124.6,543.8,548.1,220.9,549.0,212.3,109.2,555.4,132.2,1320.0,525.1,592.9,0.0,528.9,146.3,630.5,508.1,600.3,18.6,637.7,501.4,560.3,576.4,561.8,195.6,599.3,580.7,553.2,402.6,591.4,605.5,627.6,517.0,529.9,484.6,549.4,604.7,224.2,557.1,608.6,100.4,162.5,293.2,113.8,576.3,574.8,549.2,175.2,528.4,100.0,525.7,601.6,553.3,190.1,517.3,649.2,584.7,247.7,78.5,571.4,192.4,188.8,569.5,509.1,592.7,200.3,537.9,24.7,707.6,632.1,151.7,196.4,522.5,516.6
