from_stop,AH,AJ,BG,BK,BU,BV,CG,CJ,CK,CN,CO,CP,DA,DQ,DZ,EG,EK,EQ,ER,FF,FM,FQ,GV,HN,HO,HP,IF,JM,KF,KI,KL,KP,KV,LQ,LW,MC,MH,MM,MO,MV,NA,ND,NH,NN,NO,NS,NT,OB,OC,OH,OI,OK,ON,OV,OY,PX,QI,QN,QP,QS,RI,RX,SG,SI,SJ,TC,TD,TT,UD,UJ,UP,UW,UZ,VL,VT,WA,WW,XG,YS,YX,YZ,ZH,ZJ,ZK,ZS
CO,320.7,120.8,292.2,90.9,104.9,336.3,53.5,15.1,322.1,251.4,0.0,82.4,262.8,159.9,317.4,273.1,105.4,98.9,59.7,219.1,79.2,231.6,227.1,100.5,213.7,1751.8,325.6,140.3,88.6,284.4,63.2,292.1,284.4,158.7,62.7,128.1,159.7,69.4,240.6,23.3,189.5,317.4,30.4,192.3,181.5,100.3,140.4,298.9,329.1,45.8,185.0,78.3,113.3,74.8,261.8,327.8,319.5,367.6,111.0,55.4,103.2,330.0,244.7,149.5,305.5,68.7,33.0,32.9,82.3,167.2,54.5,131.9,380.6,44.8,171.0,286.8,79.0,71.5,107.6,300.4,424.6,205.0,78.1,176.8,344.5
CP,372.6,171.7,361.3,107.9,115.2,397.1,81.8,75.5,385.9,312.2,60.7,0.0,327.8,228.0,378.2,333.9,166.6,152.9,120.5,279.9,114.2,292.4,287.9,126.0,274.5,1739.2,386.4,132.6,65.0,345.2,124.0,352.9,361.8,226.8,130.8,188.9,220.4,44.8,301.4,82.6,275.6,407.5,91.2,253.1,235.9,171.2,201.2,379.2,389.2,113.9,202.0,139.1,164.7,93.8,386.0,387.9,369.0,429.5,177.1,90.4,74.4,417.7,330.2,200.4,355.8,79.0,50.0,72.4,70.2,228.0,82.8,154.9,461.3,105.6,215.1,354.4,96.0,132.3,167.6,361.2,485.4,255.3,146.2,237.6,432.2
DA,112.0,270.2,53.7,354.8,289.3,107.6,307.0,249.8,66.5,226.0,257.1,319.8,0.0,336.6,88.7,251.4,154.1,332.6,297.1,197.4,343.1,29.8,205.4,364.4,46.2,1534.6,96.9,393.8,352.5,262.7,196.7,83.4,55.7,320.8,307.4,293.8,154.2,333.3,218.9,241.3,95.0,136.2,267.8,106.6,350.9,249.7,377.8,121.8,120.4,290.5,360.7,181.2,282.7,338.7,240.1,60.7,90.8,138.9,149.4,319.3,367.1,152.5,223.0,298.9,96.8,322.2,296.9,296.8,346.2,332.9,308.0,286.7,202.4,220.2,320.4,128.8,309.4,240.9,345.0,224.7,186.1,183.3,322.8,175.1,167.0
DQ,249.5,132.3,229.9,216.9,151.4,274.0,172.8,112.2,267.1,189.1,125.9,181.9,200.5,0.0,255.1,210.8,40.5,198.4,159.2,156.8,205.2,169.3,164.8,226.5,151.4,1689.5,263.3,259.6,214.6,222.1,58.8,229.8,222.1,182.9,169.5,159.6,97.4,194.4,178.3,105.1,152.5,255.1,129.9,130.0,9.5,113.5,239.9,242.3,266.1,152.6,222.8,43.3,144.8,200.8,194.0,264.8,248.5,305.3,48.7,181.4,224.0,267.7,182.4,161.0,232.7,188.0,159.0,163.4,208.3,0.0,173.8,148.8,318.3,82.3,182.5,224.5,171.5,103.0,206.3,238.1,362.3,132.2,184.9,114.5,282.2
DZ,346.6,351.1,293.1,415.2,370.2,242.5,391.6,331.0,342.9,199.0,344.7,400.7,322.1,417.5,0.0,244.3,234.6,410.4,378.0,134.9,424.0,291.3,124.7,445.3,307.7,1836.4,234.1,376.4,430.8,232.0,277.6,326.9,289.8,394.7,388.3,378.4,220.8,413.2,211.8,323.9,214.8,217.4,348.7,260.1,425.4,332.3,458.7,206.7,363.2,371.4,376.9,262.1,354.2,419.6,173.5,271.7,247.4,257.0,227.0,400.2,442.8,227.6,142.3,379.8,329.8,406.8,377.8,382.2,432.1,417.5,392.6,356.9,278.2,301.1,394.5,181.9,390.3,321.8,425.1,198.0,322.2,159.6,403.7,238.0,242.1
EG,146.9,240.5,135.6,325.1,259.6,171.4,281.0,220.4,160.2,200.0,234.1,290.1,102.1,306.9,152.5,0.0,124.0,299.8,267.4,167.7,313.4,66.7,175.7,334.7,48.8,1636.8,160.7,367.8,322.8,233.0,167.0,127.2,136.1,291.1,277.7,267.8,128.3,302.6,189.2,213.3,163.4,206.1,238.1,76.9,314.8,221.7,348.1,195.8,163.5,260.8,331.0,151.5,243.6,309.0,204.9,162.2,143.3,202.7,116.4,289.6,332.2,216.3,193.3,269.2,130.1,296.2,267.2,271.6,321.5,306.9,282.0,233.8,277.9,190.5,283.9,232.9,279.7,211.2,314.5,249.0,373.2,143.1,293.1,145.4,230.8
EK,214.0,116.0,186.7,200.6,132.5,230.8,153.9,93.3,226.5,145.5,107.0,165.6,164.1,179.8,211.9,167.6,0.0,179.5,142.9,113.6,188.9,126.1,121.6,210.2,108.2,1646.3,220.1,240.7,195.7,178.9,42.5,186.6,198.1,159.9,153.2,140.7,53.7,175.5,134.7,86.2,111.9,211.5,113.6,86.8,187.7,94.6,223.6,206.2,225.5,136.7,206.5,27.0,123.9,184.5,153.4,224.2,205.3,262.1,13.4,165.1,210.3,224.5,139.2,144.7,192.1,169.1,142.7,144.5,194.4,179.8,154.9,106.7,275.1,66.0,156.8,181.4,155.2,86.7,191.4,194.9,319.1,91.6,166.0,71.3,239.0
EQ,418.2,217.3,392.5,153.5,160.8,442.7,127.4,121.5,435.8,357.8,106.3,188.8,369.2,273.6,423.8,379.5,209.2,0.0,166.1,325.5,159.8,338.0,333.5,171.6,320.1,1747.4,432.0,178.2,73.2,390.8,169.6,398.5,390.8,265.3,176.4,234.5,266.1,82.6,347.0,128.2,321.2,450.7,136.8,298.7,281.5,216.8,41.4,412.2,434.8,159.5,247.6,184.7,219.7,139.4,431.6,433.5,395.3,475.1,217.4,136.0,112.2,463.3,375.8,246.0,401.4,124.6,95.6,113.5,96.5,273.6,128.4,200.5,506.9,151.2,267.5,400.0,141.6,177.9,214.6,406.8,531.0,300.9,191.8,283.2,477.8
ER,395.3,194.4,384.0,130.6,137.9,419.8,104.5,98.2,408.6,334.9,83.4,22.6,350.5,250.7,400.9,356.6,189.3,175.6,0.0,302.6,136.9,315.1,310.6,148.7,297.2,1761.9,409.1,155.3,87.7,367.9,146.7,375.6,384.5,249.5,10.3,211.6,243.2,67.5,324.1,105.3,298.3,430.2,113.9,275.8,258.6,193.9,223.9,401.9,411.9,136.6,224.7,161.8,187.4,116.5,408.7,410.6,391.7,452.2,199.8,113.1,97.1,440.4,352.9,223.1,378.5,101.7,72.7,95.1,92.9,250.7,105.5,177.6,484.0,128.3,237.8,377.1,118.7,155.0,190.3,383.9,508.1,278.0,168.9,260.3,454.9
FF,229.8,216.1,176.3,300.7,235.2,125.7,256.6,196.0,226.1,64.0,209.7,265.7,205.3,282.5,193.2,109.3,99.6,275.4,243.0,0.0,289.0,174.5,7.9,310.3,190.9,1719.6,117.3,279.9,295.8,97.0,142.6,210.1,173.0,259.7,253.3,243.4,85.8,278.2,76.8,188.9,79.8,100.6,213.7,125.1,290.4,197.3,323.7,89.9,246.4,236.4,241.9,127.1,219.2,284.6,38.5,154.9,130.6,140.2,92.0,265.2,307.8,110.8,25.5,244.8,213.0,271.8,242.8,247.2,297.1,282.5,257.6,221.9,161.4,166.1,259.5,65.1,255.3,186.8,290.1,81.2,205.4,24.6,268.7,103.0,125.3
FM,484.2,212.8,430.7,116.5,207.0,380.1,173.3,209.9,480.5,376.6,194.1,261.6,459.7,335.1,447.6,411.8,291.7,271.3,238.9,312.5,0.0,428.9,305.8,21.2,399.6,1871.3,371.7,54.3,197.1,409.6,249.1,464.5,427.4,312.2,249.2,296.0,311.0,176.9,379.3,216.0,366.2,372.6,209.6,378.2,343.0,194.3,319.6,344.3,500.8,232.3,167.1,264.2,271.8,176.6,351.1,409.3,385.0,394.6,313.2,181.9,206.5,382.8,295.3,241.5,467.4,152.0,127.4,146.0,202.3,335.1,137.1,262.0,426.4,236.7,256.2,319.5,189.7,239.4,286.0,353.6,477.8,337.2,264.6,328.2,397.3
FQ,80.1,240.3,68.8,324.9,259.4,104.6,280.8,220.2,93.4,199.8,233.9,289.9,35.3,306.7,85.7,221.5,123.8,299.6,267.2,167.5,313.2,0.0,175.5,334.5,16.3,1570.0,93.9,367.6,322.6,232.8,166.8,60.4,69.3,290.9,277.5,267.6,128.1,302.4,189.0,213.1,163.2,139.3,237.9,76.7,314.6,221.5,347.9,129.0,96.7,260.6,330.8,151.3,243.4,308.8,204.7,95.4,76.5,135.9,116.2,289.4,332.0,149.5,193.1,269.0,63.3,296.0,267.0,271.4,321.3,306.7,281.8,233.6,211.1,190.3,283.7,128.3,279.5,211.0,314.3,248.8,221.5,142.9,292.9,145.2,164.0
GV,221.8,222.8,168.3,307.4,241.9,117.7,263.3,202.7,218.1,70.7,216.4,272.4,197.3,289.2,185.2,116.0,106.3,282.1,249.7,6.6,295.7,166.5,0.0,317.0,182.9,1711.6,109.3,251.6,302.5,103.7,149.3,202.1,165.0,266.4,260.0,250.1,92.6,284.9,83.5,195.6,86.5,92.6,220.4,131.8,297.1,204.0,330.4,81.9,238.4,243.1,248.6,133.8,225.9,291.3,45.2,146.9,122.6,132.2,98.7,271.9,314.5,102.8,17.5,251.5,205.0,278.5,249.5,253.9,303.8,289.2,264.3,228.6,153.4,172.8,266.2,57.1,262.0,193.5,296.8,73.2,197.4,31.3,275.4,109.7,117.3
HN,462.9,191.5,409.4,95.2,185.7,358.8,152.0,188.6,459.2,355.3,150.9,240.3,438.4,313.8,426.3,390.5,270.4,250.0,217.6,291.2,184.4,407.6,284.5,0.0,378.3,1850.0,350.4,33.0,175.8,388.3,227.8,443.2,406.1,290.9,227.9,274.7,289.8,155.6,358.0,197.7,344.9,351.3,188.3,356.9,321.7,173.0,298.3,323.0,479.5,211.0,145.8,242.9,250.5,155.3,329.8,388.0,363.7,373.3,291.9,160.6,185.2,361.5,274.0,220.2,446.1,130.7,106.1,142.6,181.0,313.8,153.0,240.7,405.1,215.4,234.9,298.2,168.4,218.1,264.7,332.3,456.5,315.9,243.3,306.9,376.0
HO,98.0,223.9,86.7,308.5,243.0,122.5,264.4,203.8,111.3,183.4,217.5,273.5,53.2,290.3,103.6,205.1,107.4,283.2,250.8,151.1,296.8,17.8,159.1,318.1,0.0,1587.9,111.8,351.2,306.2,216.4,150.4,78.3,87.2,274.5,261.1,251.2,111.6,286.0,172.6,196.7,146.8,157.2,221.5,60.3,298.2,205.1,331.5,146.9,114.6,244.2,314.4,134.9,227.0,292.4,188.3,113.3,94.4,153.8,99.8,273.0,315.6,167.4,176.7,252.6,81.2,279.6,250.6,255.0,304.9,290.3,265.4,217.2,229.0,173.9,267.3,146.2,263.1,194.6,297.9,232.4,239.4,126.5,276.5,128.8,181.9
HP,1803.7,1887.4,1772.4,1912.9,1830.9,1808.2,1781.8,1823.2,1688.9,1885.9,1808.4,1890.9,1700.5,1914.2,1789.3,1907.6,1854.3,1900.6,1868.2,1853.6,1828.4,1730.4,1861.6,1849.7,1746.8,0.0,1797.5,1850.7,1723.8,1918.9,1871.7,1746.1,1772.9,1848.9,1878.5,1875.1,1853.7,1831.1,1875.1,1830.3,1849.3,1842.9,1838.9,1807.2,1922.1,1910.5,1948.9,1832.6,1820.3,1861.6,1917.7,1881.8,1912.4,1809.5,1890.8,1716.8,1780.1,1763.3,1846.7,1790.4,1860.7,1853.1,1879.2,1916.1,1786.9,1794.7,1765.7,1760.3,1788.7,1914.2,1751.4,1818.2,1823.6,1853.3,1930.8,1831.9,1811.7,1880.0,1915.3,1934.9,1842.9,1829.0,1893.9,1828.4,1867.6
IF,128.8,313.9,75.3,347.8,333.0,68.3,354.4,293.8,160.1,273.4,307.5,363.5,102.0,380.3,92.2,295.1,197.4,373.2,340.8,127.5,386.8,73.5,120.8,408.1,89.9,1636.7,0.0,309.0,443.2,306.4,240.4,109.1,72.0,364.5,351.1,341.2,201.7,376.0,262.6,286.7,236.8,112.4,311.5,150.3,388.2,295.1,421.5,102.1,145.4,334.2,326.5,224.9,317.0,373.4,166.1,114.4,17.4,99.6,189.8,363.0,405.6,122.6,110.3,342.6,112.0,369.6,340.6,345.0,394.9,380.3,355.4,307.2,184.2,263.9,357.3,97.4,353.1,284.6,387.9,148.6,272.8,152.2,366.5,218.8,137.1
JM,429.8,158.4,361.9,62.1,152.6,325.7,118.9,155.5,430.4,322.2,162.5,207.2,409.0,280.7,393.2,357.4,234.3,223.7,184.5,258.1,151.3,374.5,251.4,80.2,345.2,1816.9,317.3,0.0,142.7,355.2,194.7,410.1,356.4,264.9,194.8,241.6,256.7,122.5,324.9,164.6,321.0,315.8,155.2,323.8,288.6,139.9,265.2,289.9,446.4,177.9,112.7,209.8,217.4,122.2,296.7,353.4,330.6,340.2,258.8,127.5,152.1,328.4,240.9,187.1,413.0,97.6,73.0,105.0,136.4,280.7,119.9,230.8,372.0,182.3,208.6,265.1,135.3,185.0,231.6,299.2,423.4,272.3,210.2,273.8,342.9
KF,403.8,195.2,370.4,131.4,138.7,420.6,157.8,99.4,413.7,335.7,91.5,166.7,347.1,251.5,401.7,357.4,187.1,183.2,144.0,303.4,190.2,315.9,311.4,211.5,298.0,1685.8,409.9,156.1,0.0,368.7,147.5,376.4,368.7,250.3,154.3,212.4,243.9,60.5,324.9,106.1,273.8,428.6,114.7,276.6,265.5,194.7,224.7,392.5,412.7,137.4,225.5,162.6,193.0,117.3,409.5,412.1,392.5,453.0,200.6,166.4,113.6,441.2,353.7,223.9,379.3,102.5,73.5,148.4,97.9,251.5,158.8,216.2,484.8,129.1,245.4,377.9,119.5,155.8,192.1,384.7,508.9,289.3,169.7,261.1,455.7
KI,164.2,297.4,152.9,382.0,316.5,188.7,337.9,277.3,177.5,256.9,291.0,347.0,119.4,363.8,169.8,278.6,180.9,356.7,324.3,224.6,370.3,84.0,232.6,391.6,73.4,1654.1,178.0,424.7,379.7,0.0,223.9,144.5,153.4,340.9,334.6,324.7,185.2,359.5,246.1,270.2,220.3,223.4,295.0,133.8,371.7,278.6,405.0,213.1,180.8,317.7,387.9,208.4,300.5,365.9,261.8,179.5,160.6,220.0,173.3,346.5,389.1,233.6,250.2,326.1,147.4,353.1,324.1,328.5,378.4,363.8,338.9,290.7,295.2,247.4,340.8,212.4,336.6,268.1,371.4,305.9,305.6,200.0,350.0,202.3,248.1
KL,247.5,72.4,236.2,157.0,91.5,272.0,112.9,52.3,260.8,187.1,66.0,122.0,202.7,111.5,253.1,208.8,41.5,131.7,99.3,154.8,145.3,167.3,162.8,166.6,149.4,1687.5,261.3,199.7,154.7,220.1,0.0,227.8,236.7,141.5,109.6,72.4,95.3,134.5,176.3,45.2,150.5,255.5,70.0,128.0,102.4,53.6,180.0,244.8,264.1,92.7,162.9,14.0,75.5,140.9,192.0,262.8,243.9,303.3,52.0,121.5,164.1,265.7,180.4,101.1,230.7,128.1,99.1,103.5,153.4,111.5,113.9,65.7,316.3,22.4,115.8,220.0,111.6,43.1,146.4,236.1,360.3,130.2,125.0,112.5,280.2
KP,168.9,292.5,157.6,377.1,311.6,193.4,333.0,272.4,182.2,252.0,286.1,342.1,124.1,358.9,174.5,273.7,176.0,351.8,319.4,219.7,365.4,88.7,227.7,386.7,70.8,1658.8,182.7,419.8,374.8,285.0,219.0,0.0,158.1,336.0,329.7,319.8,180.2,354.6,241.2,265.3,215.4,228.1,290.1,128.9,366.8,273.7,400.1,217.8,185.5,312.8,383.0,203.5,295.6,361.0,256.9,184.2,165.3,224.7,168.4,341.6,384.2,238.3,245.3,321.2,152.1,348.2,319.2,323.6,373.5,358.9,334.0,285.8,299.9,242.5,335.9,217.1,331.7,263.2,366.5,301.0,310.3,195.1,345.1,197.4,252.8
KV,207.0,352.7,162.6,437.3,371.8,190.1,393.2,332.3,107.5,312.2,339.6,402.3,86.1,419.1,171.2,333.9,236.6,418.8,379.6,279.9,425.6,112.3,287.9,446.9,128.7,1596.7,179.4,480.0,470.7,345.2,279.2,160.4,0.0,418.0,389.9,396.6,257.1,415.8,301.4,323.8,177.5,222.4,350.3,189.1,433.4,332.2,460.3,204.3,215.4,389.6,443.2,263.7,365.2,421.2,322.6,57.9,173.3,103.7,231.9,401.8,449.6,235.0,305.5,381.4,191.8,408.4,379.4,379.3,428.7,419.1,394.2,383.9,180.3,302.7,402.9,211.3,391.9,323.4,427.5,307.2,183.3,265.8,421.9,257.6,249.5
LQ,288.4,208.8,255.1,290.5,227.9,289.8,267.3,200.7,292.3,202.3,220.4,216.6,225.7,212.8,280.3,224.0,202.8,257.1,193.9,170.0,299.7,200.5,178.0,321.0,176.6,1660.9,281.4,329.6,184.7,235.3,169.2,261.0,253.3,0.0,210.2,167.7,92.1,219.6,185.5,193.6,152.4,268.3,224.4,161.2,226.8,184.0,298.6,260.0,297.3,205.3,299.3,184.3,163.5,276.4,201.2,323.5,257.8,304.3,216.3,275.9,243.2,280.9,195.6,237.5,257.9,261.6,232.6,257.9,233.5,206.8,268.3,120.5,331.5,176.8,259.0,229.2,248.0,137.9,259.0,251.3,369.5,145.4,237.6,67.0,289.4
LW,385.0,184.1,359.3,120.3,127.6,409.5,94.2,88.3,402.6,324.6,80.4,12.3,336.0,240.4,390.6,346.3,176.0,172.1,132.9,292.3,126.6,304.8,300.3,138.4,286.9,1751.6,398.8,145.0,77.4,357.6,136.4,365.3,357.6,232.1,0.0,201.3,232.9,57.2,313.8,96.5,288.0,417.5,103.6,265.5,254.7,184.7,213.6,387.1,401.6,126.3,214.4,151.5,177.1,106.2,403.9,400.3,384.0,441.9,184.2,102.8,86.8,430.1,342.6,212.8,368.2,91.4,62.4,80.3,82.6,240.4,95.2,205.1,473.7,118.0,234.3,369.3,108.4,144.7,180.8,373.6,497.8,267.7,158.6,250.0,444.6
MC,288.6,171.4,262.9,256.0,190.5,313.1,211.9,151.3,306.2,228.2,165.0,221.0,239.6,39.0,294.2,249.9,79.6,237.5,198.3,195.9,244.3,208.4,203.9,265.6,190.5,1728.6,302.4,298.7,253.7,261.2,97.9,268.9,261.2,214.9,208.6,0.0,136.5,233.5,217.4,142.5,166.3,294.2,169.0,169.1,46.9,150.9,279.0,273.3,305.2,191.7,261.9,82.4,174.5,239.9,233.1,315.6,287.6,344.4,87.8,220.5,263.1,306.8,221.5,200.1,271.8,227.1,198.1,198.0,247.4,39.0,212.9,164.7,357.4,121.4,214.8,261.1,210.6,142.1,246.2,277.2,401.4,171.3,224.0,153.6,321.3
MH,196.0,168.6,162.8,253.2,187.7,203.6,208.9,148.3,205.9,109.9,162.0,241.7,139.5,232.0,193.9,131.8,51.9,276.2,219.0,77.6,241.5,108.1,85.6,262.8,90.2,1624.3,195.2,295.7,209.8,142.9,95.1,168.8,160.9,166.7,229.4,192.8,0.0,238.8,99.3,139.7,66.2,175.9,166.0,68.8,239.9,147.9,317.8,157.6,204.9,230.5,258.9,79.4,193.4,236.9,114.8,232.6,165.6,217.9,44.5,217.5,268.3,188.7,103.2,197.1,171.7,224.3,195.3,195.2,252.7,231.9,209.9,135.9,239.1,118.4,218.8,142.8,207.6,163.0,285.5,159.1,283.3,53.0,262.7,17.0,203.2
MM,528.5,328.6,492.9,312.2,270.3,544.1,180.1,222.9,536.2,458.2,215.0,290.2,470.6,374.0,525.2,480.9,313.2,305.7,267.5,426.9,227.7,439.4,434.9,249.0,421.5,1738.6,533.4,249.0,110.6,492.2,271.0,499.9,492.2,365.7,276.8,334.9,366.5,0.0,448.4,231.1,397.3,524.2,238.2,400.1,389.3,308.1,348.2,529.8,536.9,260.9,362.8,286.1,321.1,286.3,552.3,535.6,527.3,590.3,318.8,189.7,34.7,537.8,491.0,357.3,513.3,234.1,249.7,164.1,13.8,374.0,149.7,339.7,622.1,252.6,378.8,517.7,252.1,279.3,314.6,508.2,632.4,412.8,292.2,384.6,552.3
