from_stop,AC,AD,BF,CJ,CL,CS,CT,DB,DJ,DS,ED,EL,FB,FI,FM,FV,GB,GI,GL,GP,GR,IN,IV,KF,KS,LH,MX,NE,NP,OO,PJ,PT,QL,QP,RC,SI,SO,SR,TC,UE,UO,UU,VC,WB,WL,XT,YB,YC
ED,298.0,213.7,156.8,186.9,97.1,149.7,203.5,33.2,187.8,123.7,0.0,72.0,144.6,100.7,204.8,235.8,111.5,140.4,255.7,163.8,128.4,171.1,137.7,168.1,42.9,239.3,197.7,231.5,187.0,140.3,52.3,38.8,98.2,155.0,127.8,267.0,1673.2,88.0,217.5,77.8,246.7,153.1,165.1,181.9,149.4,64.1,147.9,178.6
EL,246.1,224.2,117.5,150.8,118.7,110.4,174.2,61.7,175.0,134.2,144.0,0.0,84.2,28.6,215.3,159.7,96.2,150.9,242.9,174.3,154.3,158.3,124.9,128.8,36.6,226.5,158.4,192.2,197.5,103.9,28.8,49.3,108.7,115.7,115.0,247.3,1633.9,98.5,204.7,83.0,257.2,158.3,175.6,142.6,136.6,76.0,97.3,139.3
FB,219.6,248.7,63.6,62.2,133.0,92.8,160.6,83.8,260.8,158.7,55.4,74.8,0.0,105.8,259.8,144.2,154.7,195.4,283.9,137.9,177.9,244.1,210.7,125.2,61.1,237.1,138.4,174.8,95.4,186.9,73.3,71.4,130.8,171.0,171.0,235.4,1630.3,143.0,260.7,136.6,159.4,226.1,207.6,88.7,192.6,137.1,174.3,194.6
FI,263.8,251.1,144.4,177.7,134.5,137.3,191.1,78.2,146.3,145.5,170.9,26.9,132.2,0.0,212.8,186.6,70.0,148.4,214.2,201.2,182.7,129.6,96.2,173.5,65.0,197.8,185.3,219.4,224.4,75.2,55.7,76.2,135.6,142.6,86.3,218.6,1644.3,125.4,176.0,54.3,284.1,129.6,202.5,169.5,107.9,47.3,69.9,166.2
FM,352.6,281.4,281.5,245.1,97.4,274.4,328.2,175.9,127.1,81.1,304.4,194.8,248.2,204.4,0.0,290.4,169.4,63.4,120.5,236.7,196.1,108.2,124.7,292.8,167.2,122.1,322.4,354.3,241.6,176.3,177.0,156.7,213.4,279.7,133.1,131.8,1557.7,142.6,100.3,170.7,301.3,153.9,232.8,306.6,114.9,184.4,129.3,303.3
FV,129.0,328.6,107.2,111.1,182.6,37.4,97.3,153.5,306.9,209.2,120.2,157.1,197.8,184.1,290.3,0.0,230.6,225.9,317.1,194.3,258.7,290.2,256.8,82.4,141.0,312.3,106.9,82.2,64.1,235.8,133.2,153.7,213.1,140.1,246.9,313.7,1627.3,151.0,296.9,198.1,68.1,273.4,287.5,122.3,268.5,184.4,248.5,87.8
GB,295.5,211.2,174.0,194.6,105.7,173.5,230.7,68.4,212.8,133.9,257.5,91.7,140.7,107.7,202.3,206.0,0.0,137.9,229.1,178.0,151.5,196.1,162.7,203.1,60.1,276.9,204.7,248.9,194.7,163.5,59.3,39.0,77.7,162.0,163.0,240.4,1690.4,85.5,252.7,113.0,254.4,178.1,172.8,199.1,184.6,89.1,177.5,195.8
GI,289.1,222.8,218.0,178.0,33.9,217.5,264.7,112.4,63.6,17.6,240.9,133.2,184.7,140.9,64.3,226.9,105.9,0.0,91.1,164.9,137.5,46.9,61.2,229.3,104.1,92.7,258.9,292.7,178.1,112.8,113.5,93.2,149.9,216.2,69.6,102.4,1582.3,79.1,70.9,107.2,237.8,90.4,181.7,243.1,51.4,120.9,65.8,239.8
GL,480.2,404.7,399.9,363.5,224.5,392.8,456.6,294.3,162.3,196.8,422.8,315.1,387.7,305.1,232.1,408.8,243.7,181.8,0.0,346.8,321.3,179.0,209.2,411.2,286.0,109.7,440.8,474.6,360.0,278.8,295.4,275.1,331.7,398.1,217.6,92.0,1592.2,261.0,135.4,269.9,419.7,256.4,363.6,425.0,199.4,282.9,227.6,421.7
GP,288.1,128.1,199.0,177.0,78.3,198.5,255.7,93.4,176.3,96.3,239.9,114.2,165.7,142.9,173.4,225.9,171.7,110.5,201.7,0.0,42.8,159.6,173.9,228.1,85.1,203.3,239.9,273.7,177.1,188.5,94.5,74.2,130.9,197.2,188.0,213.0,1620.8,78.1,181.5,138.0,236.8,213.3,79.5,224.1,164.1,124.3,174.3,220.8
GR,441.9,68.4,376.6,325.2,201.4,354.5,419.8,256.0,207.2,161.2,384.5,276.8,347.6,284.5,128.3,385.5,239.3,160.4,200.6,312.9,0.0,205.5,220.0,372.9,249.2,217.4,417.7,451.5,336.9,256.4,257.1,253.7,293.5,375.0,228.2,211.9,1647.4,222.7,195.4,266.0,396.4,249.0,27.3,401.7,210.0,264.5,220.4,384.9
IN,348.4,273.2,238.7,228.4,93.0,231.6,285.4,133.1,16.7,68.0,291.3,152.9,226.5,126.0,130.1,277.3,64.6,68.2,84.5,215.3,189.6,0.0,30.1,267.8,124.8,68.1,279.6,313.4,228.5,99.7,134.2,113.9,152.6,236.9,38.5,95.8,1586.1,129.5,46.3,90.8,288.2,77.3,224.6,263.8,20.3,103.8,48.5,260.5
IV,346.2,255.9,208.5,229.5,90.7,208.0,255.2,102.9,50.0,65.5,288.8,122.7,196.3,95.8,130.1,274.8,34.4,65.7,117.9,212.8,172.3,33.3,0.0,237.6,96.1,101.5,249.4,283.2,226.0,105.1,104.0,83.7,122.4,206.7,8.3,129.2,1648.1,127.0,79.7,60.4,285.7,94.8,207.3,233.6,11.6,73.6,66.0,230.3
KF,203.7,314.4,146.5,185.4,188.0,146.0,69.2,138.8,301.1,213.8,173.0,129.8,113.2,171.6,292.4,106.4,235.0,241.1,332.3,232.0,231.4,297.5,264.1,0.0,115.2,303.7,128.0,157.1,152.8,232.6,105.9,139.5,198.9,44.5,241.1,304.4,1562.7,175.6,299.0,196.5,174.6,258.7,252.7,143.4,262.7,169.7,246.8,108.9
KS,233.8,186.0,112.3,160.7,74.2,111.8,170.5,23.5,178.1,100.0,222.1,27.5,79.0,56.2,178.6,154.5,113.5,112.7,203.9,136.1,117.6,162.9,128.0,141.4,0.0,209.4,153.2,187.2,160.8,101.8,9.3,12.6,70.5,110.5,119.6,215.2,1628.7,60.3,185.2,68.1,220.5,143.4,138.9,137.4,141.2,54.4,130.3,134.1
LH,401.2,322.6,311.3,284.5,145.1,304.9,355.6,203.3,53.4,120.5,340.7,223.1,282.3,196.2,153.1,326.7,137.9,102.1,60.2,264.7,242.1,70.1,100.3,323.3,199.6,0.0,352.9,386.2,281.0,169.9,204.4,184.1,222.8,307.1,111.1,69.1,1515.5,175.3,25.6,161.0,340.0,147.5,284.6,336.4,92.9,176.4,124.3,330.7
MX,176.7,376.3,154.9,162.3,230.1,85.1,145.0,213.8,354.6,256.8,167.8,204.8,184.2,231.8,337.9,47.6,288.5,273.5,409.9,250.3,291.0,337.9,304.5,130.1,188.7,360.0,0.0,129.9,111.7,283.5,180.9,201.4,260.8,187.8,294.6,361.4,1675.0,198.6,384.3,262.6,115.7,337.9,327.7,170.0,316.2,255.6,296.2,135.5
NE,53.5,325.9,203.3,165.7,191.2,133.4,193.6,174.3,300.6,217.8,141.2,213.1,157.4,241.8,296.7,96.2,252.5,234.8,325.8,202.9,242.5,283.7,278.8,191.5,185.4,329.8,202.9,0.0,103.1,281.3,193.6,179.8,239.5,236.2,268.9,337.3,1723.4,159.6,305.6,218.9,88.9,294.4,284.7,218.4,290.5,205.1,287.6,183.8
NP,152.0,253.0,156.0,46.9,129.9,79.6,152.2,145.0,227.5,145.0,111.7,183.8,180.5,212.5,226.1,48.7,233.5,161.7,252.9,130.5,167.7,210.8,249.5,131.2,154.7,256.9,155.7,131.2,0.0,252.1,164.1,150.6,210.0,188.9,239.6,264.2,1676.1,86.8,232.7,189.6,59.6,264.9,204.4,171.1,215.3,175.9,258.3,136.6
OO,327.3,311.4,207.9,275.7,131.6,200.8,264.6,107.0,117.8,112.6,245.7,101.6,207.0,74.7,179.9,250.1,98.8,115.5,185.7,262.6,226.1,101.1,95.4,230.5,120.6,169.3,248.8,282.6,275.8,0.0,128.4,148.1,186.8,217.4,103.8,197.0,1675.5,176.8,147.5,83.1,335.5,100.1,262.8,233.0,85.6,76.1,41.1,229.7
PJ,225.9,195.3,104.4,168.5,78.6,97.3,161.1,32.8,194.7,105.3,130.9,19.6,71.1,48.3,186.4,146.6,128.6,122.0,213.2,145.4,110.0,178.0,144.6,115.7,9.2,240.9,145.3,179.3,168.6,113.5,0.0,20.4,79.8,102.6,134.7,242.3,1620.8,69.6,193.0,77.4,228.3,152.7,154.2,129.5,156.3,63.7,117.0,126.2
PT,244.1,174.8,124.7,148.0,58.1,117.6,171.4,19.1,173.7,84.8,210.9,39.9,112.5,68.6,165.9,166.9,97.4,101.5,192.7,124.9,89.5,157.0,123.6,136.0,10.8,194.3,165.6,199.7,148.1,114.2,20.2,0.0,59.3,122.9,113.7,204.0,1641.1,49.1,172.5,63.7,207.8,139.0,133.7,149.8,135.3,50.0,128.2,146.5
QL,215.1,228.4,127.4,131.3,106.5,211.1,220.4,97.0,215.6,133.1,63.7,135.8,138.4,172.0,214.2,180.2,175.3,149.8,241.0,100.2,143.1,198.9,201.5,262.7,106.7,218.4,204.6,262.5,131.4,204.1,117.1,102.6,0.0,175.9,191.6,252.3,1732.2,74.9,220.8,141.6,191.1,216.9,179.8,152.5,213.2,127.9,206.1,185.5
QP,270.1,301.8,191.5,226.4,188.6,191.0,101.3,188.4,256.5,269.3,214.0,160.6,154.2,133.7,336.6,165.7,180.2,272.2,325.1,270.2,218.2,239.8,206.4,38.1,114.2,275.9,166.2,216.2,229.9,185.4,106.4,126.9,186.3,0.0,196.5,276.6,1518.1,176.1,286.2,164.5,233.9,239.8,260.7,181.6,218.1,157.5,196.8,147.1
RC,328.7,247.5,200.1,224.3,91.7,193.0,256.8,94.5,59.9,75.4,290.0,113.8,187.9,87.4,139.5,257.1,26.0,75.6,127.8,214.3,164.1,43.2,9.7,211.4,87.7,111.4,241.0,274.8,216.7,96.7,95.6,75.3,114.0,198.3,0.0,139.1,1658.0,118.2,89.6,78.3,280.5,104.7,206.4,225.2,21.5,65.2,80.1,221.9
SI,387.7,321.4,316.6,276.6,132.5,309.5,363.3,211.0,70.2,113.5,339.5,231.8,304.4,213.0,148.8,325.5,161.8,98.5,48.4,263.5,236.1,86.9,117.1,327.9,202.7,56.4,357.5,391.3,276.7,186.7,212.1,191.8,239.6,314.8,125.5,0.0,1539.6,177.7,56.4,177.8,336.4,164.3,272.8,341.7,107.3,190.8,135.5,338.4
SO,1734.4,1874.6,1797.1,1830.4,1741.2,1723.9,1757.5,1819.7,1742.3,1724.9,1828.2,1792.9,1825.1,1764.5,1684.6,1832.4,1803.0,1707.2,1728.7,1829.9,1791.2,1754.2,1768.7,1688.2,1764.3,1730.3,1816.3,1748.7,1773.4,1820.1,1756.5,1800.5,1857.2,1650.0,1776.9,1702.8,0.0,1782.8,1708.5,1788.4,1769.7,1797.7,1833.5,1831.7,1758.7,1828.2,1773.1,1797.2
SR,219.0,166.1,181.3,102.4,31.5,178.6,224.4,75.7,140.6,60.6,161.7,96.5,157.7,125.2,139.2,147.7,154.0,74.8,166.0,85.7,80.8,123.9,138.2,230.2,67.4,164.0,222.2,230.2,98.9,170.8,76.8,56.5,113.2,179.5,146.6,177.3,1657.2,0.0,145.8,120.3,158.6,167.4,117.5,206.4,128.4,106.6,138.6,203.1
TC,374.8,299.3,285.6,258.1,110.4,278.5,332.3,180.0,30.1,94.1,323.8,199.3,273.4,172.9,126.2,342.6,111.5,76.4,34.5,241.4,215.9,46.8,77.2,296.9,173.2,21.7,326.5,360.3,250.5,146.6,181.1,160.8,199.5,283.8,85.4,45.8,1539.7,152.0,0.0,114.9,314.3,124.2,258.2,310.7,67.2,150.7,99.6,307.4
UE,291.4,248.9,172.0,225.7,133.6,164.9,228.7,44.5,110.9,105.7,198.5,80.7,159.8,53.8,173.0,214.2,64.5,108.6,178.8,199.0,165.3,94.2,80.3,201.1,59.6,162.4,212.9,246.7,222.2,63.1,67.5,74.0,142.3,170.2,70.6,190.1,1654.6,123.2,140.6,0.0,281.9,49.1,200.3,197.1,78.7,13.6,64.4,193.8
UO,234.2,265.8,129.7,76.8,160.7,196.3,256.2,85.3,239.9,175.8,58.4,122.6,140.7,152.8,256.4,281.9,163.6,192.5,307.8,138.5,182.4,223.2,189.6,254.4,96.5,291.4,265.8,241.1,105.9,192.4,104.4,90.9,150.3,207.1,179.9,319.1,1725.3,136.5,269.6,156.0,0.0,205.2,224.7,154.8,201.5,116.2,198.6,246.7
UU,348.1,309.6,240.1,264.8,120.7,233.0,286.8,112.6,106.9,101.7,327.7,146.6,227.9,119.7,169.0,282.3,129.2,104.6,174.8,251.7,226.0,90.2,84.5,269.2,126.2,160.8,281.0,315.0,264.9,91.6,135.6,142.1,207.0,238.3,92.9,186.1,1687.0,165.9,136.6,68.0,324.6,0.0,261.0,265.2,74.7,81.7,40.4,261.9
VC,407.5,48.6,334.3,294.3,159.1,333.8,388.5,228.7,179.9,131.2,357.2,257.0,301.0,257.2,86.3,343.2,222.2,123.7,180.8,291.6,258.9,163.2,177.5,363.4,220.4,177.3,382.7,409.2,294.4,229.1,237.3,209.5,266.2,332.5,185.9,192.1,1605.1,195.4,153.1,231.0,354.1,206.7,0.0,359.4,167.7,244.7,177.9,356.1
WB,203.7,291.2,27.9,105.3,180.8,120.3,184.1,127.8,282.4,195.9,100.9,155.8,139.8,184.3,276.5,313.3,206.1,212.6,303.8,163.0,207.8,265.7,232.1,213.0,141.2,315.6,297.2,199.7,134.4,236.0,133.4,133.4,192.8,192.2,222.4,313.9,1744.8,141.3,312.1,198.5,198.2,247.7,250.1,0.0,244.0,158.7,241.1,278.1
WL,334.5,259.0,218.3,217.8,70.1,211.2,265.0,112.7,38.3,53.8,283.5,132.0,206.1,105.6,117.9,275.3,44.2,54.0,106.2,201.1,175.6,21.6,9.9,229.6,105.9,89.8,259.2,293.0,210.2,105.5,113.8,93.5,132.2,216.5,18.1,117.5,1636.4,111.7,68.0,73.8,274.0,83.1,217.9,243.4,0.0,83.4,58.5,240.1
XT,279.8,235.2,158.3,208.4,138.4,157.8,205.0,30.9,123.6,122.1,184.8,73.5,129.3,66.8,186.7,200.5,57.5,122.3,191.5,185.3,165.3,106.9,73.5,169.6,44.4,177.5,199.2,233.0,208.5,76.1,53.8,60.3,119.7,156.5,63.6,202.8,1667.6,109.5,153.3,13.6,268.2,88.9,186.6,183.4,85.2,0.0,82.3,180.1
YB,360.2,283.4,219.5,243.5,103.0,211.0,264.8,104.4,76.6,79.5,297.4,101.9,190.5,73.6,142.8,288.8,94.1,74.3,144.5,225.5,201.1,64.0,58.3,229.4,120.8,133.5,264.6,294.4,234.6,41.5,128.7,138.0,176.7,216.3,66.7,161.2,1660.8,139.7,110.4,61.1,298.4,64.3,243.6,244.6,48.5,73.5,0.0,239.9
YC,193.7,395.4,174.0,177.8,260.8,97.6,164.1,232.9,373.7,275.9,186.9,223.9,264.6,250.9,357.0,66.7,297.4,292.6,429.0,269.4,312.0,357.0,323.6,162.3,207.8,379.8,19.0,149.3,130.8,302.6,200.0,220.5,279.9,206.9,313.7,380.5,1694.1,217.7,403.4,281.7,134.8,357.0,354.3,189.1,335.3,274.7,314.0,0.0
