from_stop,AR,AZ,BA,BI,BS,CJ,CL,CP,CS,DA,DE,DH,DJ,DS,EC,EZ,FD,FO,FP,FS,GC,GD,GM,GO,GP,HM,IE,IG,IM,IY,JS,KB,LA,LJ,MF,MN,MR,MS,NK,NL,NN,NO,NY,OA,PG,PI,PK,PX,QF,QH,QN,RJ,RQ,RU,SB,SG,SM,SY,TJ,TN,TP,TV,TX,US,VU,WN,WO,XI,XW,YA,ZK,ZP,ZY
DE,317.9,265.1,198.7,276.2,255.1,316.3,93.8,100.2,332.1,18.8,0.0,217.9,302.6,229.1,48.7,87.1,140.4,117.8,126.1,283.4,242.6,203.2,356.3,119.3,176.8,179.1,161.9,333.8,63.7,182.6,128.0,182.2,102.0,307.1,44.4,2076.5,38.9,41.3,176.8,117.9,147.4,117.3,152.0,72.2,324.7,95.6,96.0,308.2,113.7,302.4,182.7,200.9,101.9,258.0,250.0,274.6,190.7,309.4,56.6,326.8,191.9,309.9,167.9,253.6,158.0,243.6,86.7,112.0,147.6,261.7,197.3,260.6,167.7
DH,360.8,186.7,225.8,369.6,184.2,212.4,173.3,234.7,382.7,150.6,164.4,0.0,380.1,322.5,135.7,221.6,286.0,263.4,284.5,360.9,164.4,163.8,393.1,40.6,133.9,337.2,283.8,384.4,227.9,107.0,273.6,106.6,199.5,216.5,203.4,2047.0,140.7,165.4,182.4,242.6,163.3,214.5,109.1,188.0,455.5,98.5,211.7,136.5,262.8,353.2,139.5,199.9,219.6,351.4,185.5,199.8,115.1,205.5,191.1,475.6,116.0,360.5,232.0,376.3,207.4,262.4,108.8,229.7,240.7,312.0,169.7,364.4,261.1
DJ,78.0,314.1,233.3,89.3,366.4,350.9,316.8,398.2,99.9,284.4,297.9,324.3,0.0,103.3,269.5,385.1,438.4,415.8,410.3,120.9,263.5,236.5,110.3,260.2,277.4,463.0,275.6,39.4,361.7,332.2,426.0,321.1,375.8,380.7,342.4,1830.3,274.5,315.1,288.4,413.0,259.0,390.8,252.6,369.5,162.1,235.5,393.2,269.8,258.4,25.5,283.0,232.6,213.2,151.7,284.6,327.2,307.6,344.0,354.6,164.2,341.2,15.5,251.9,31.3,192.6,289.6,227.5,203.5,157.9,146.9,231.9,19.4,137.8
DS,125.6,232.7,149.8,41.9,293.6,269.5,286.2,316.8,147.5,199.4,216.5,242.9,73.4,0.0,188.1,303.7,355.3,334.4,343.0,54.7,183.6,156.4,157.9,225.3,242.5,395.7,240.7,112.9,280.3,250.8,344.6,239.7,294.4,299.3,261.0,1930.8,193.1,233.7,199.8,331.6,177.6,309.4,217.7,288.1,170.7,200.6,311.8,188.4,238.7,118.0,248.1,151.2,131.8,48.3,203.2,246.6,226.2,274.2,273.2,172.8,257.6,89.0,193.8,104.8,111.2,201.7,192.6,122.1,76.5,80.0,150.5,98.4,56.4
EC,261.4,216.3,149.9,227.4,206.0,267.5,98.0,128.6,283.3,14.9,28.3,168.8,253.8,180.3,0.0,115.5,168.8,146.2,154.8,234.6,193.8,153.1,307.5,70.5,87.7,207.5,113.1,285.0,92.1,171.8,156.4,160.7,106.2,258.3,72.8,2027.7,5.0,45.5,128.0,146.3,98.6,121.2,62.9,99.9,275.9,45.3,123.6,186.4,64.9,253.6,93.3,152.1,53.1,209.2,201.2,225.8,147.2,260.6,85.0,278.0,180.8,261.1,132.0,204.8,109.2,194.8,37.8,63.2,98.8,212.6,148.5,214.5,118.9
EZ,407.2,233.1,270.1,352.8,214.2,258.8,99.0,13.0,429.1,127.3,105.3,205.4,403.8,330.3,131.4,0.0,210.0,189.1,210.2,385.1,212.3,210.2,439.5,136.6,129.6,262.9,173.1,336.8,169.1,153.4,199.3,153.0,54.8,257.9,129.1,2095.0,136.4,73.1,221.6,168.3,209.7,69.8,104.8,113.7,384.5,95.5,137.4,182.9,194.6,334.4,135.2,246.3,203.1,359.2,231.9,247.0,161.5,263.5,116.8,386.6,160.2,327.3,240.6,313.4,253.8,295.7,104.5,213.2,248.8,358.4,216.1,319.8,268.9
FD,416.5,235.6,274.7,380.7,208.1,261.3,120.3,34.3,431.6,123.3,104.1,207.9,407.1,333.6,152.7,21.2,0.0,129.4,150.5,388.4,227.0,212.7,455.8,139.1,150.9,203.2,266.4,433.3,115.5,155.9,139.6,155.5,76.1,260.4,51.4,2097.5,143.1,94.4,231.3,108.6,212.2,91.1,126.1,54.0,405.8,117.2,77.7,251.6,197.1,355.7,156.5,248.8,206.4,362.5,234.4,248.7,164.0,254.4,40.2,407.9,164.9,348.6,257.6,334.7,256.3,294.8,125.8,216.5,253.8,360.9,218.6,344.4,272.2
FO,396.7,222.6,259.6,380.9,203.7,248.3,167.7,118.1,418.6,196.0,170.2,194.9,416.0,358.4,186.9,105.0,216.1,0.0,216.3,397.3,201.8,199.7,429.0,126.1,185.1,269.0,228.6,420.3,181.3,142.9,205.4,142.5,141.5,247.4,117.2,2100.3,191.9,141.8,211.1,174.4,199.2,156.5,160.3,119.8,440.0,151.0,143.5,172.4,184.1,389.1,190.7,235.8,255.5,387.3,221.4,236.5,151.0,253.0,106.0,442.1,149.7,396.4,336.3,412.2,243.3,285.2,160.0,265.6,276.9,347.9,205.6,405.8,297.0
FP,452.9,274.7,310.2,454.0,243.6,296.8,208.2,122.2,467.1,211.2,192.3,243.4,464.5,406.9,235.4,109.1,87.8,83.2,0.0,445.8,248.8,248.2,491.3,174.6,233.6,52.6,277.1,468.8,203.4,191.4,75.4,191.0,164.0,295.9,139.3,2053.1,231.0,182.3,266.8,196.5,247.7,179.0,208.8,141.9,466.7,200.2,165.6,220.9,232.6,437.6,239.2,284.3,294.3,435.8,269.9,284.2,199.5,289.9,128.1,468.8,200.4,394.0,305.9,380.1,291.8,330.3,208.5,304.4,325.1,396.4,254.1,387.1,345.5
FS,104.4,336.4,252.5,75.8,385.1,369.6,336.0,416.9,118.6,303.1,316.9,343.0,18.6,122.0,288.2,403.8,457.1,434.5,429.0,0.0,295.9,255.2,142.8,278.9,296.1,481.7,304.6,58.1,380.4,350.9,444.7,339.8,394.5,399.4,361.1,1849.0,293.7,333.8,307.1,434.6,277.7,409.5,271.8,388.9,180.8,254.2,412.7,326.3,273.3,44.4,302.2,254.2,232.4,170.4,303.3,346.4,326.3,362.7,373.3,182.9,359.9,34.2,257.7,50.0,211.3,314.9,246.8,222.2,176.9,165.6,250.6,38.1,156.5
GC,335.5,163.5,164.2,312.1,108.2,185.6,273.4,302.5,355.9,176.5,202.5,47.0,326.3,265.0,161.6,289.4,344.2,320.1,328.7,319.3,0.0,138.3,380.1,99.9,203.8,381.4,144.2,357.6,266.0,68.0,324.1,69.1,280.1,166.7,246.7,2021.8,178.8,219.4,88.4,320.2,81.5,296.6,172.8,274.5,416.3,162.9,298.3,175.9,181.0,326.2,197.2,135.4,137.8,293.9,19.5,160.8,55.6,166.5,258.9,418.4,89.2,333.7,385.3,349.5,158.0,235.6,140.8,147.9,183.2,273.0,142.9,325.4,203.6
GD,264.1,105.6,61.6,205.7,142.9,113.0,241.2,272.8,279.3,159.0,172.8,86.7,230.8,158.3,144.4,259.7,313.3,290.4,299.0,213.1,27.4,0.0,289.7,127.4,190.1,351.7,188.3,270.3,236.3,107.4,299.6,96.6,250.4,143.1,217.0,1967.5,148.1,189.7,128.1,287.6,102.2,264.4,164.3,244.1,309.6,148.2,267.8,32.2,167.3,249.8,194.7,35.7,88.1,187.2,47.0,121.7,83.1,106.1,229.2,310.7,116.4,247.4,264.7,263.2,43.2,128.4,148.7,78.1,76.8,152.6,5.6,251.6,96.9
GM,116.8,341.3,256.9,90.9,390.0,360.7,377.4,421.8,131.0,294.2,321.8,334.1,141.2,104.9,293.1,408.7,448.2,439.4,448.0,122.0,300.8,260.1,0.0,279.8,297.0,500.7,318.4,41.0,385.3,355.8,449.6,344.7,399.4,404.3,366.0,1861.4,298.1,338.7,298.2,439.5,282.6,400.6,272.2,393.8,203.8,256.1,417.6,309.2,274.2,56.8,288.8,259.1,236.8,153.3,308.2,352.8,331.2,353.8,378.2,210.1,364.8,49.5,298.8,50.9,216.2,319.8,233.3,227.1,181.8,129.8,255.5,32.6,161.4
GO,316.2,146.0,183.0,258.7,134.9,171.7,98.3,159.7,338.1,72.0,89.1,118.3,309.7,236.2,60.7,146.6,209.3,188.4,209.5,291.0,125.2,123.1,348.5,0.0,58.9,262.2,102.4,266.1,152.9,66.3,198.6,65.9,124.5,175.8,128.4,2006.3,65.7,90.4,134.5,167.6,122.6,139.5,34.1,113.0,313.8,24.8,136.7,95.8,71.3,263.7,64.5,159.2,109.0,265.1,144.8,159.9,74.4,193.1,116.1,315.9,73.1,256.6,169.9,242.7,165.1,208.6,33.8,119.1,154.7,253.0,129.0,249.1,174.8
GP,369.7,225.8,256.1,311.1,206.9,251.5,39.3,100.7,391.6,85.6,63.6,198.1,362.1,288.6,108.2,87.6,150.3,129.4,150.5,343.4,205.0,202.9,402.0,129.3,0.0,203.2,194.2,393.3,127.4,146.1,139.6,145.7,65.5,250.6,69.4,2087.7,98.1,31.4,214.3,108.6,202.4,80.5,115.5,54.0,384.2,106.2,77.7,175.6,187.3,362.1,5.5,239.0,161.4,317.5,224.6,239.7,154.2,256.2,57.1,386.3,152.9,369.4,240.3,313.1,217.5,288.4,115.2,171.5,207.1,320.9,208.8,319.5,227.2
HM,427.3,253.2,290.2,391.3,234.3,278.9,155.5,69.5,449.2,165.8,139.6,225.5,442.3,368.8,187.9,56.4,33.4,30.5,185.7,423.6,232.4,230.3,459.6,156.7,186.1,0.0,274.4,450.9,150.7,173.5,22.7,173.1,111.3,278.0,86.6,2130.9,178.3,129.6,241.7,143.8,229.8,126.3,161.3,89.2,441.0,152.0,112.9,203.0,214.7,419.7,191.7,266.4,241.6,397.7,252.0,267.1,181.6,283.6,75.4,443.1,180.3,427.0,305.7,369.9,273.9,315.8,161.0,251.7,287.3,378.5,236.2,376.3,307.4
IE,301.3,165.8,105.9,252.1,128.5,200.7,219.4,250.0,315.5,130.4,150.0,88.9,276.1,202.6,121.3,236.9,290.2,267.6,276.2,256.9,124.6,83.9,339.7,129.6,151.3,328.9,0.0,315.6,213.5,91.9,272.0,80.8,227.6,178.4,194.2,2033.5,120.5,166.9,32.5,267.7,29.0,242.6,106.5,222.0,353.9,110.4,245.8,208.9,128.5,285.8,136.9,64.9,85.3,231.5,132.0,175.3,67.3,193.8,206.4,356.0,100.9,291.7,322.9,307.5,87.5,167.8,121.1,95.4,120.8,196.6,79.3,295.6,141.2
IG,160.0,296.6,215.8,49.8,348.9,333.4,350.1,380.7,174.2,266.9,280.4,306.8,100.1,63.8,252.0,367.6,420.9,398.3,406.9,80.9,259.7,220.3,184.6,289.2,306.4,459.6,304.6,0.0,344.2,314.7,408.5,303.6,358.3,363.2,324.9,1957.5,257.0,297.6,270.9,395.5,241.5,373.3,281.6,352.0,234.6,264.5,376.5,252.3,302.6,144.7,312.0,218.0,195.7,112.2,267.1,309.7,290.1,326.5,337.1,236.7,323.7,115.7,257.7,131.5,175.1,262.2,256.5,186.0,138.7,88.7,214.4,119.6,120.3
IM,507.9,333.8,370.8,492.1,314.9,359.5,270.9,184.9,529.8,281.2,255.0,306.1,527.2,469.6,298.1,171.8,148.8,145.9,62.6,508.5,313.0,310.9,540.2,237.3,296.3,115.3,339.8,531.5,0.0,254.1,138.1,253.7,226.7,358.6,202.0,2115.8,293.7,245.0,322.3,259.2,310.4,241.7,271.5,204.6,483.4,262.2,228.3,283.6,295.3,500.3,301.9,347.0,357.0,498.5,332.6,347.7,262.2,364.2,190.8,485.5,260.9,410.7,401.1,396.8,354.5,396.4,271.2,367.1,388.1,459.1,316.8,403.2,408.2
IY,260.8,83.2,118.7,262.5,173.3,105.3,299.3,329.9,275.6,216.1,229.9,118.1,273.0,215.4,201.2,316.8,370.1,347.5,356.1,253.8,65.0,57.0,299.8,158.8,247.2,408.8,187.6,277.3,293.4,0.0,357.7,128.0,307.5,135.1,274.1,1941.5,206.2,246.8,159.5,344.7,140.4,322.5,222.4,301.9,348.4,204.8,324.9,29.4,224.4,245.9,252.8,92.8,144.9,244.3,78.4,93.5,114.5,98.4,286.3,368.5,9.0,253.4,322.8,269.2,100.3,138.8,206.8,135.2,133.9,204.9,62.6,257.3,154.0
JS,422.1,248.0,281.7,393.1,220.5,273.7,132.7,46.7,444.0,135.7,116.5,220.3,419.5,346.0,165.1,33.6,12.4,141.8,162.9,400.8,225.7,225.1,454.4,151.5,163.3,215.6,278.8,445.7,127.9,168.3,0.0,167.9,88.5,272.8,63.8,2109.9,155.5,106.8,243.7,121.0,224.6,103.5,138.5,66.4,418.2,129.2,90.9,197.8,230.6,368.1,168.9,261.2,218.8,374.9,246.8,261.1,176.4,266.8,52.6,420.3,177.3,361.0,270.0,347.1,268.7,323.7,138.2,228.9,264.5,373.3,231.0,354.1,284.6
KB,264.8,90.7,127.7,249.0,53.8,116.4,247.0,277.6,286.7,160.2,177.3,52.3,284.1,226.5,148.9,264.5,316.1,295.2,303.8,265.4,69.9,67.8,297.1,93.0,178.9,356.5,177.1,288.4,241.1,11.0,305.4,0.0,160.5,97.5,221.8,1952.6,153.9,194.5,68.5,292.4,56.6,175.5,154.1,248.9,359.5,137.0,272.6,40.5,104.9,257.2,184.5,103.9,112.9,255.4,89.5,104.6,8.4,131.1,234.0,379.6,17.8,264.5,346.8,280.3,111.4,153.3,154.5,123.0,145.0,216.0,73.7,273.9,165.1
LA,332.0,300.6,219.5,274.5,281.7,326.3,114.1,175.5,353.9,87.8,104.9,272.9,325.5,252.0,76.5,162.4,225.1,204.2,225.3,306.8,279.8,226.1,364.3,102.8,74.7,278.0,118.2,281.9,168.7,220.9,214.4,220.5,0.0,325.4,144.2,2081.4,81.5,106.2,141.2,183.4,170.3,15.0,49.9,128.8,329.6,40.6,152.5,250.4,116.2,279.5,80.3,220.9,124.8,280.9,299.4,314.5,229.0,331.0,131.9,331.7,227.7,272.4,185.7,258.5,180.9,253.4,49.6,134.9,170.5,268.8,220.2,264.9,190.6
LJ,359.7,185.6,237.0,350.2,65.8,102.4,276.3,293.1,381.6,247.8,264.9,139.9,401.2,327.7,236.5,280.0,387.3,366.4,285.6,382.5,164.8,162.7,392.0,180.6,198.0,320.0,264.7,383.3,328.7,105.9,376.6,87.5,250.1,0.0,292.2,2044.7,241.5,250.4,156.1,345.6,144.2,265.1,173.2,291.0,479.0,163.9,314.7,135.4,192.5,352.1,203.6,195.2,200.5,356.6,184.4,199.5,96.0,70.0,281.0,481.1,112.7,359.4,296.1,375.2,220.7,287.9,172.9,210.6,246.2,310.9,212.5,368.8,266.3
MF,363.2,239.0,249.6,304.6,220.1,264.7,141.7,55.7,385.1,79.1,52.9,211.3,355.6,282.1,101.7,42.6,123.3,102.4,123.5,336.9,218.2,216.1,395.5,142.5,172.3,176.2,187.7,386.8,64.0,159.3,112.6,158.9,97.5,263.8,0.0,2100.9,91.6,94.3,222.6,81.6,200.4,112.5,147.5,27.0,377.7,138.2,50.7,188.8,200.5,355.6,177.9,251.0,154.9,311.0,237.8,252.9,167.4,269.4,12.1,379.8,166.1,362.9,219.0,306.6,211.0,283.5,147.2,165.0,200.6,314.4,222.0,313.0,220.7
MN,1940.6,2102.4,2138.0,2052.1,2118.9,2112.8,2146.6,2208.0,1962.5,2187.6,2204.7,2137.7,2032.7,2010.1,2176.3,2194.9,2200.3,2322.6,2132.4,2014.0,2171.8,2144.6,1972.9,2048.2,2107.2,2166.8,2182.4,1946.2,2268.5,2083.0,2189.6,2085.3,2172.8,2121.5,2249.2,0.0,2181.3,2221.9,2188.0,2215.9,2165.8,2187.8,2082.4,2161.3,1996.0,2142.3,2185.0,2176.6,2180.4,1915.0,2112.8,2139.4,2120.0,2058.5,2191.4,2116.3,2093.8,2105.5,2164.4,2016.1,2089.8,1922.3,2145.8,1938.1,2099.4,2087.9,2134.3,2110.3,2064.7,2053.7,2138.7,1931.7,2044.6
MR,279.2,226.4,160.0,237.5,216.1,277.6,93.0,123.6,293.4,9.9,23.6,178.9,263.9,190.4,10.0,110.5,163.8,141.2,149.8,244.7,203.9,164.2,317.6,80.6,176.0,202.5,96.0,295.1,87.1,181.8,151.4,170.8,101.2,268.4,67.8,2037.8,0.0,40.5,138.1,138.4,108.7,116.2,151.2,94.9,286.0,56.9,118.6,196.5,120.2,263.7,181.6,162.2,63.2,219.3,211.3,235.9,157.3,270.7,80.0,288.1,190.8,271.2,129.2,214.9,119.3,204.9,47.9,73.3,108.6,222.7,158.6,221.9,129.0
MS,338.2,220.9,224.6,279.6,202.0,246.6,52.4,113.8,360.1,54.1,32.1,193.2,330.6,257.1,76.7,100.7,163.4,142.5,158.6,311.9,200.1,198.0,370.5,124.4,135.4,211.3,162.7,361.8,95.9,141.2,152.7,140.8,60.6,245.7,76.6,2082.8,66.6,0.0,197.6,121.7,175.4,75.6,110.6,67.1,352.7,101.3,90.8,170.7,186.9,330.6,141.0,226.0,129.9,286.0,219.7,234.8,149.3,251.3,70.2,354.8,148.0,337.9,208.8,281.6,186.0,258.5,110.3,140.0,175.6,289.4,203.9,288.0,195.7
NK,258.8,132.0,75.7,219.5,196.7,168.1,256.3,286.9,285.9,173.1,186.9,141.5,245.9,172.4,158.2,273.8,327.1,304.5,313.1,226.7,80.7,53.7,296.3,182.2,204.2,365.8,202.4,285.4,250.4,162.5,314.7,151.4,264.5,197.9,231.1,2022.3,163.2,203.8,0.0,301.7,116.3,279.5,179.4,258.2,323.7,161.8,281.9,178.7,185.2,256.4,209.8,34.7,101.9,201.3,101.8,145.9,137.9,161.2,243.3,325.8,171.5,261.5,279.8,277.3,57.3,131.0,163.8,92.2,90.6,166.4,49.1,265.4,111.0
NL,494.8,316.6,352.1,493.0,282.6,338.7,250.1,164.1,509.0,250.2,233.9,285.3,503.5,448.8,274.4,151.0,129.7,125.1,41.8,487.2,304.4,291.4,533.2,216.5,275.5,94.5,352.3,507.8,245.3,233.3,114.4,232.9,205.9,337.8,181.2,2095.0,272.9,224.2,305.8,0.0,289.6,218.0,250.7,184.5,530.4,240.1,208.3,329.0,298.0,479.3,281.1,326.2,336.2,477.7,311.8,323.2,241.4,323.8,170.0,529.6,242.3,486.8,387.4,502.6,333.7,388.7,247.5,346.3,367.0,435.4,296.0,487.8,387.4
NN,264.5,152.8,103.0,205.9,115.9,197.5,190.3,220.9,286.4,103.5,120.6,70.1,256.9,183.4,92.2,207.8,259.4,238.5,247.1,238.2,111.6,84.4,296.8,105.0,122.2,299.8,120.4,288.1,184.4,73.1,248.7,62.0,198.5,159.6,165.1,2014.7,97.2,137.8,22.1,235.7,0.0,213.5,97.4,192.2,334.7,80.3,215.9,102.6,89.8,256.9,127.8,61.2,56.2,212.3,131.2,166.7,48.5,193.2,177.3,336.8,79.9,264.2,290.8,280.0,86.7,153.9,97.8,66.3,101.9,215.7,78.5,273.6,122.0
NO,324.1,289.2,206.6,284.1,258.1,311.3,99.1,160.5,338.9,76.4,89.9,257.9,310.5,237.0,61.5,147.4,211.8,189.2,210.3,291.3,264.8,209.8,329.5,87.8,59.7,263.0,113.5,266.9,153.7,205.9,199.4,205.5,125.3,310.4,129.2,2066.4,66.5,91.2,133.4,168.4,155.3,0.0,34.9,113.8,314.6,24.3,137.5,235.4,82.2,264.5,65.3,208.8,109.8,265.9,284.4,298.7,214.0,304.4,116.9,316.7,214.9,257.4,170.7,243.5,165.9,235.0,34.6,119.9,155.2,253.8,205.2,250.5,175.6
NY,401.6,250.6,283.0,360.5,223.1,276.3,64.1,125.5,416.4,103.1,88.4,222.9,386.9,313.4,133.0,112.4,176.8,154.2,175.3,368.2,236.0,227.7,440.6,154.1,24.8,228.0,219.0,418.1,152.2,170.9,164.4,170.5,90.3,275.4,94.2,2112.5,122.9,56.2,246.3,136.3,227.2,105.3,0.0,78.8,409.0,129.7,102.5,200.4,201.8,386.9,30.4,266.7,186.2,342.3,249.4,264.5,179.0,269.4,81.9,411.1,179.9,394.2,265.1,337.9,242.3,313.2,140.0,196.3,232.6,345.7,233.6,347.6,252.0
OA,479.8,301.6,336.4,478.0,269.8,323.0,217.6,132.3,494.0,220.6,202.1,269.6,490.7,431.6,250.0,119.2,97.9,75.3,96.4,472.2,289.4,276.4,518.2,201.5,248.9,149.1,337.3,495.0,213.5,218.3,84.8,217.9,174.1,322.8,149.4,2149.6,240.4,192.4,293.7,57.4,274.6,188.4,224.1,0.0,503.8,214.8,24.4,314.0,316.2,464.3,253.8,314.1,304.4,460.5,296.8,311.9,226.4,316.1,138.2,505.2,227.3,471.8,354.9,432.7,318.7,373.7,223.8,314.5,350.1,422.6,281.0,480.5,370.2
PG,110.2,338.8,255.9,148.0,399.7,375.6,392.3,422.9,132.1,305.5,322.6,349.0,142.3,106.0,294.2,409.8,461.4,440.5,449.1,123.6,289.7,262.5,142.5,280.9,298.1,501.8,296.3,42.1,386.4,356.9,450.7,345.8,400.5,405.4,367.1,1862.5,299.2,339.8,305.9,437.7,283.7,415.5,273.3,394.2,0.0,256.2,417.9,294.5,294.3,57.7,303.7,257.3,237.9,154.4,309.3,352.7,332.3,380.3,379.3,225.0,363.7,50.6,299.9,52.0,217.3,307.8,248.2,228.2,182.6,130.9,256.6,43.1,162.5
