from_stop,AA,AL,AM,AS,AU,BA,BG,BN,BP,BQ,BV,BW,CP,CR,CT,CV,CW,DU,DZ,EL,EZ,FN,FS,FT,GI,GJ,GN,GP,GR,GU,GX,HD,HE,HP,HX,ID,IF,IM,IU,IX,JA,JE,JJ,JN,JS,JZ,KE,LG,LV,MM,ND,NM,NU,NW,NZ,OL,OP,OS,OT,OV,OX,OY,PK,PO,PX,QN,QQ,QR,QW,RA,RC,RF,RI,RT,RW,RZ,SE,SM,SO,SQ,TB,TD,TE,TI,TJ,TP,TW,TY,UL,UM,UV,VI,VL,VM,VN,VO,VW,WJ,WU,XB,XH,XV,YC,YG,YU,ZB,ZJ,ZR,ZV
BW,452.4,354.9,475.2,128.0,480.1,121.1,418.2,425.6,465.0,219.4,2006.1,0.0,408.3,419.3,432.9,364.7,178.8,103.8,203.2,502.6,516.4,317.6,386.2,358.8,395.1,242.0,203.2,198.1,470.4,193.8,86.6,222.1,395.1,219.7,372.0,130.3,529.6,462.1,366.6,397.1,447.9,343.2,408.7,420.8,42.6,413.2,259.1,317.9,17.1,108.9,137.2,423.3,182.1,92.7,251.8,344.3,217.5,209.0,226.7,218.7,370.6,123.8,260.9,349.2,249.2,225.3,468.5,25.5,359.8,424.7,501.4,226.1,415.4,193.7,462.6,236.4,531.5,441.2,291.7,394.7,134.9,211.2,203.8,483.8,248.1,199.7,367.1,203.1,226.3,239.0,128.1,376.2,315.5,184.3,330.9,396.5,117.8,412.2,319.8,360.2,355.6,317.2,369.1,298.9,276.2,530.5,66.9,284.9,433.7
CP,52.9,231.8,162.6,299.3,199.3,306.2,128.3,135.1,123.4,549.3,2005.5,460.8,0.0,282.5,33.4,88.4,303.2,342.5,478.6,189.5,196.2,204.2,96.3,622.0,665.9,217.8,478.6,468.9,62.0,469.2,547.5,492.9,665.9,344.1,239.8,405.7,239.7,181.3,89.9,73.7,157.7,245.6,165.9,21.3,384.3,4.8,345.3,227.5,478.0,387.7,309.1,63.2,456.3,353.6,522.6,615.1,488.3,334.0,355.7,494.1,177.1,408.6,509.0,251.6,373.6,500.7,133.2,491.0,194.8,217.1,180.4,246.9,123.0,369.3,103.6,507.2,211.3,151.3,416.1,112.1,332.3,482.0,474.6,118.9,250.9,340.6,125.6,473.9,377.1,258.8,384.9,82.4,586.3,299.6,233.3,98.7,338.2,122.3,312.9,137.7,218.8,403.3,639.9,319.5,346.7,249.7,453.1,197.1,87.5
CR,230.1,321.4,252.2,525.3,301.0,532.2,230.0,224.7,349.4,715.4,1958.9,691.4,225.9,0.0,230.1,314.4,440.2,457.7,704.6,314.4,285.8,321.1,237.4,848.0,793.6,332.9,704.6,694.9,288.0,607.8,688.6,718.9,793.6,406.6,329.4,631.7,341.4,283.0,288.0,299.7,259.7,216.5,300.8,203.7,610.3,230.8,571.3,343.2,704.0,613.7,424.3,202.4,682.3,468.8,748.6,746.6,738.4,470.4,425.8,720.1,266.7,634.6,675.1,334.6,436.1,765.3,222.8,717.0,338.5,318.8,270.0,329.1,262.2,595.3,193.2,733.2,300.9,253.0,478.6,274.4,558.3,746.6,617.4,208.5,358.8,563.8,220.7,699.9,480.6,366.7,500.1,308.4,717.8,525.6,227.8,188.3,564.2,284.6,336.6,227.3,308.4,569.4,767.6,343.2,375.6,351.4,679.1,312.2,313.5
CT,144.2,287.9,240.1,317.4,249.5,324.3,178.5,203.7,173.6,515.8,2070.0,478.9,91.2,338.6,0.0,138.6,321.3,360.6,496.7,239.7,276.7,254.4,146.5,640.1,684.0,268.0,496.7,487.0,112.2,487.3,565.6,511.0,684.0,362.2,295.9,423.8,289.9,231.5,140.1,123.9,207.9,295.8,216.1,112.6,402.4,86.8,363.4,277.7,496.1,405.8,327.2,154.5,474.4,371.7,540.7,633.2,538.8,352.1,373.8,512.2,233.2,426.7,475.5,301.8,391.7,518.8,205.8,509.1,245.0,267.3,260.9,297.1,188.9,387.4,176.2,525.3,291.8,201.5,434.2,162.3,350.4,500.1,492.7,191.5,301.1,358.7,181.7,492.0,414.3,309.0,403.0,132.6,604.4,317.7,283.5,167.3,356.3,172.5,363.1,193.8,274.9,369.8,658.0,369.7,414.7,299.9,471.2,247.3,137.7
CV,174.0,174.7,188.2,273.4,197.6,280.3,126.6,163.9,121.7,464.3,2065.8,434.9,129.9,271.9,154.5,0.0,277.3,316.6,452.7,187.8,224.8,178.6,94.6,596.1,640.0,176.4,452.7,443.0,192.0,443.3,521.6,467.0,640.0,275.3,244.8,379.8,238.0,179.6,88.2,32.3,156.0,204.2,164.2,142.4,358.4,134.8,319.4,186.1,452.1,361.8,283.2,131.7,430.4,327.7,496.7,589.2,462.4,308.1,287.4,468.2,181.3,382.7,486.2,210.2,304.8,474.8,176.9,465.1,153.4,215.4,209.0,205.5,137.0,343.4,207.5,481.3,239.9,149.6,347.3,110.4,306.4,456.1,448.7,192.2,209.5,314.7,129.8,448.0,335.7,217.4,359.0,87.5,560.4,273.7,191.9,137.9,312.3,120.6,271.5,141.9,223.8,309.6,614.0,278.1,305.3,248.0,427.2,155.7,85.8
CW,273.5,134.8,300.9,231.7,308.4,238.6,239.3,246.7,290.7,422.6,2025.9,393.2,229.4,232.0,254.0,185.8,0.0,274.9,411.0,323.7,337.5,138.7,207.3,552.8,598.3,136.5,411.0,401.3,291.5,401.6,479.9,425.3,598.3,276.5,204.9,338.1,350.7,290.4,187.7,218.2,268.7,164.3,229.8,241.9,316.7,234.3,277.7,146.2,410.4,320.1,241.5,244.4,385.3,286.0,455.0,547.5,420.7,30.7,288.1,426.5,191.7,233.6,444.5,170.3,306.0,425.0,289.6,423.4,113.5,253.0,321.7,165.6,236.5,301.7,283.7,439.6,352.6,262.3,348.5,215.8,264.7,414.4,407.0,304.9,169.6,273.0,194.0,406.3,328.6,177.5,317.3,201.9,518.7,232.0,152.0,217.6,270.6,233.3,238.9,181.3,183.9,267.9,572.3,238.2,329.0,358.8,385.5,115.8,254.8
DU,348.5,251.0,375.9,78.4,376.2,71.5,314.3,321.7,365.7,320.3,1946.9,258.5,304.4,315.4,329.0,260.8,74.9,0.0,232.9,375.5,412.5,213.7,282.3,381.1,398.0,138.4,232.9,299.0,366.5,150.0,230.8,247.2,398.0,115.8,272.7,235.8,425.7,358.2,262.7,293.2,343.7,239.3,304.8,316.9,214.4,309.3,190.0,214.0,275.7,217.8,33.3,319.4,254.0,11.0,258.0,351.0,318.4,105.7,127.4,229.5,266.7,238.7,356.8,245.3,145.3,330.8,364.6,288.7,255.9,320.8,396.7,126.8,311.5,214.0,366.6,337.3,427.6,337.3,187.8,298.1,162.4,312.1,159.6,379.9,148.8,185.3,269.0,228.2,144.9,139.7,42.3,276.9,322.2,144.3,227.0,295.7,168.3,308.3,234.0,256.3,251.7,227.3,372.0,199.6,205.2,426.6,283.2,181.0,329.8
DZ,581.7,567.5,681.9,298.5,692.7,305.4,620.3,627.7,620.2,262.1,2069.2,204.1,528.7,631.9,562.2,566.8,391.4,316.4,0.0,704.7,718.5,519.7,588.3,212.4,248.7,454.6,0.0,186.9,567.7,207.9,286.2,14.2,248.7,432.3,589.2,151.3,731.7,674.7,568.7,579.4,649.7,545.3,610.8,550.1,235.5,524.3,350.4,530.5,216.7,265.9,349.8,592.0,195.0,305.3,193.8,194.1,260.2,421.6,443.9,154.8,572.7,244.2,303.6,551.3,461.8,272.6,670.6,229.7,572.4,637.3,702.7,443.3,617.5,332.1,632.4,225.2,733.6,643.3,504.3,604.1,209.4,253.9,257.8,647.7,465.3,338.9,569.2,132.8,443.3,456.2,340.7,544.7,165.3,304.7,533.0,601.7,203.4,614.3,532.4,562.3,568.2,455.6,222.7,516.1,488.8,743.1,271.1,497.5,584.3
EL,218.8,302.0,126.4,514.0,186.2,520.9,214.7,209.4,338.1,705.8,2103.8,680.1,214.6,352.7,218.8,303.1,485.9,526.6,693.3,0.0,160.0,305.8,202.9,844.3,880.6,378.0,693.3,683.6,276.7,683.9,762.2,707.6,880.6,475.5,310.0,620.4,50.2,168.2,276.7,288.4,144.9,341.9,285.5,192.4,599.0,219.5,560.0,323.8,692.7,602.4,493.2,191.1,667.6,537.7,737.3,829.8,728.8,539.3,464.4,708.8,251.4,515.9,665.5,315.2,505.0,747.6,97.0,705.7,319.1,180.8,145.0,405.7,250.9,584.0,128.2,721.9,175.1,138.2,547.5,255.8,547.0,737.0,686.3,101.4,386.5,552.5,205.4,688.6,531.5,417.6,569.0,297.1,801.0,514.3,329.6,176.1,552.9,273.3,416.5,212.0,289.0,559.8,854.6,392.6,448.2,236.6,667.8,355.9,302.2
EZ,143.7,231.0,118.3,438.9,178.1,445.8,139.6,134.3,263.0,630.7,2028.7,600.4,139.5,281.7,143.7,228.0,438.1,455.6,618.2,168.3,0.0,230.7,151.0,761.6,805.5,305.6,618.2,608.5,201.6,608.8,687.1,632.5,805.5,404.5,239.0,545.3,218.5,160.1,201.6,213.3,136.5,270.9,210.4,117.3,523.9,144.4,484.9,252.8,617.6,527.3,422.2,116.0,595.9,466.7,662.2,754.7,653.7,468.9,416.6,633.7,176.3,548.2,590.4,244.2,434.0,680.6,88.9,630.6,248.1,195.9,136.1,334.7,175.8,508.9,59.3,646.8,15.0,130.1,476.5,188.0,471.9,661.9,615.3,74.6,338.7,480.2,124.8,613.5,464.9,346.6,498.0,222.0,725.9,439.2,258.6,97.9,477.8,198.2,338.2,136.9,218.0,484.7,779.5,344.8,377.2,228.5,592.7,284.9,227.1
FN,134.7,209.9,162.1,390.0,171.5,396.9,100.5,137.8,214.1,580.9,2111.4,551.5,90.6,260.6,115.2,179.1,393.9,433.2,569.3,161.7,198.7,0.0,68.5,712.7,756.6,284.5,569.3,559.6,152.7,559.9,638.2,583.6,756.6,383.4,217.9,496.4,211.9,153.5,48.9,164.4,129.9,249.8,138.1,103.1,475.0,95.5,436.0,231.7,568.7,478.4,399.8,105.6,547.0,444.3,613.3,705.8,579.0,424.7,395.5,584.8,155.2,499.3,590.8,223.1,412.9,591.4,150.8,581.7,227.0,189.3,182.9,313.6,97.7,460.0,181.4,597.9,213.8,123.5,455.4,84.3,423.0,572.7,565.3,166.1,317.6,431.3,103.7,564.6,443.8,325.5,475.6,173.1,677.0,390.3,237.5,111.8,428.9,94.5,317.1,115.8,196.9,485.1,730.6,323.7,356.1,221.9,543.8,263.8,178.2
FS,106.7,162.5,114.7,383.6,124.1,390.5,53.1,90.4,207.7,639.2,2064.0,545.1,84.2,213.2,106.7,158.1,369.6,387.1,562.9,137.5,151.3,129.0,0.0,704.7,750.2,237.1,562.9,553.2,146.3,553.5,631.8,577.2,750.2,336.0,170.5,490.0,164.5,106.1,42.5,158.0,82.5,202.4,90.7,80.3,468.6,89.1,429.6,184.3,562.3,472.0,353.7,37.0,537.2,398.2,606.9,699.4,572.6,400.4,348.1,578.4,107.8,385.5,598.9,175.7,365.5,576.9,103.4,575.3,179.6,141.9,136.3,266.2,60.3,453.6,134.0,591.5,166.4,76.1,408.0,36.9,416.6,566.3,546.8,118.7,270.2,424.9,56.3,558.2,392.0,278.1,429.5,166.7,670.6,383.9,190.1,64.4,422.5,47.1,277.0,68.4,149.5,493.2,724.2,276.3,308.7,174.5,537.4,216.4,171.8
FT,585.7,553.1,678.0,310.1,678.3,317.0,616.4,623.8,624.2,273.7,2000.1,212.7,540.3,617.5,573.8,562.9,369.4,302.0,149.1,679.2,714.6,515.8,584.4,0.0,171.9,442.1,149.1,198.5,579.3,211.9,297.8,163.4,171.9,417.9,576.4,162.9,727.8,660.3,564.8,595.3,647.4,541.4,606.9,561.7,247.1,535.9,354.4,516.1,228.3,277.5,335.4,603.6,208.2,290.9,106.6,124.9,271.8,409.4,421.9,132.8,568.8,300.0,315.2,547.4,447.4,268.5,666.7,241.3,558.0,615.3,700.4,428.9,613.6,343.7,645.6,236.8,729.7,639.4,489.9,601.8,221.0,265.5,243.4,659.3,450.9,354.9,572.7,144.4,430.5,434.2,318.7,579.0,96.1,316.3,529.1,599.4,215.0,610.4,512.3,558.4,553.8,467.2,145.9,501.7,467.1,728.7,282.7,483.1,595.9
GI,698.2,637.2,762.1,415.0,762.4,421.9,700.5,707.9,736.7,312.9,1975.4,320.6,645.2,701.6,678.7,647.0,461.1,386.1,254.0,784.9,798.7,599.9,668.5,132.2,0.0,524.6,254.0,234.0,684.2,341.7,422.5,268.3,0.0,502.0,658.9,267.8,811.9,744.4,648.9,679.4,729.9,625.5,691.0,666.6,352.0,640.8,466.9,600.2,333.2,382.4,419.5,705.6,308.1,375.0,211.5,131.9,335.9,491.9,513.6,256.4,652.9,360.7,323.4,631.5,531.5,351.7,750.8,346.2,642.1,707.0,782.9,513.0,697.7,423.2,748.9,272.3,813.8,723.5,574.0,684.3,325.9,341.1,351.3,764.2,535.0,426.4,649.4,249.3,498.1,525.9,410.4,663.1,88.0,421.2,613.2,681.9,319.9,694.5,584.4,642.5,637.9,546.7,26.9,545.1,522.8,812.8,387.6,567.2,700.8
GJ,252.1,152.1,253.6,227.6,277.3,220.7,192.0,211.3,269.3,429.6,1938.4,404.8,208.0,216.5,232.6,164.4,131.3,148.8,381.5,276.4,290.2,117.3,185.9,537.6,546.9,0.0,381.5,408.3,270.1,298.9,379.7,396.1,546.9,97.7,173.8,345.1,303.4,259.3,166.3,196.8,221.7,128.9,197.6,220.5,323.7,212.9,262.7,115.1,417.4,327.1,115.4,223.0,392.3,159.9,406.9,499.9,427.7,161.5,109.5,378.4,163.5,240.6,429.8,134.9,127.2,432.0,242.3,430.4,157.0,221.6,275.2,27.6,215.1,287.0,248.3,446.6,305.3,215.0,169.7,194.4,271.7,421.4,308.5,257.6,31.9,255.5,152.8,377.1,153.7,39.5,190.9,180.5,470.8,217.3,116.6,182.2,277.6,211.9,142.4,145.9,152.8,274.9,520.9,100.4,127.7,327.7,392.5,41.4,233.4
GN,581.7,567.5,681.9,298.5,692.7,305.4,620.3,627.7,620.2,262.1,2069.2,204.1,528.7,631.9,562.2,566.8,391.4,316.4,0.0,704.7,718.5,519.7,588.3,212.4,248.7,454.6,0.0,186.9,567.7,207.9,286.2,14.2,248.7,432.3,589.2,151.3,731.7,674.7,568.7,579.4,649.7,545.3,610.8,550.1,235.5,524.3,350.4,530.5,216.7,265.9,349.8,592.0,195.0,305.3,193.8,194.1,260.2,421.6,443.9,154.8,572.7,244.2,303.6,551.3,461.8,272.6,670.6,229.7,572.4,637.3,702.7,443.3,617.5,332.1,632.4,225.2,733.6,643.3,504.3,604.1,209.4,253.9,257.8,647.7,465.3,338.9,569.2,132.8,443.3,456.2,340.7,544.7,165.3,304.7,533.0,601.7,203.4,614.3,532.4,562.3,568.2,455.6,222.7,516.1,488.8,743.1,271.1,497.5,584.3
GP,552.7,555.8,652.9,269.5,681.0,276.4,591.3,598.7,591.2,233.1,2057.5,170.5,499.7,620.2,533.2,537.8,379.7,304.7,125.8,652.5,689.5,490.7,559.3,193.1,237.0,443.2,125.8,0.0,538.7,178.9,257.2,140.1,237.0,420.6,577.5,122.3,702.7,663.0,539.7,550.4,620.7,516.3,581.8,521.1,206.5,495.3,321.4,518.8,187.7,236.9,338.1,563.0,166.0,293.6,182.1,182.4,231.2,410.5,432.2,143.1,543.7,257.8,274.6,522.3,450.1,243.6,641.6,200.7,465.5,625.6,673.7,431.6,588.5,303.1,603.4,38.2,704.6,614.3,492.6,575.1,180.4,224.9,184.3,618.7,453.6,312.7,546.0,121.1,431.6,444.5,329.0,515.7,153.6,275.7,504.0,572.7,174.4,585.3,513.4,533.3,556.5,426.6,211.0,504.4,477.1,731.4,242.1,485.8,555.3
GR,308.2,169.5,335.6,237.2,343.1,244.1,274.0,281.4,325.4,428.1,2060.6,398.7,264.1,266.7,288.7,220.5,241.1,280.4,416.5,335.2,372.2,173.4,242.0,559.9,603.8,171.2,416.5,406.8,0.0,407.1,485.4,430.8,603.8,282.0,239.6,343.6,385.4,325.1,222.4,252.9,303.4,199.0,264.5,276.6,322.2,269.0,283.2,180.9,415.9,325.6,247.0,279.1,394.2,291.5,460.5,553.0,426.2,271.9,293.6,432.0,226.4,346.5,450.0,205.0,311.5,438.6,324.3,428.9,148.2,287.7,356.4,200.3,271.2,307.2,326.3,445.1,387.3,297.0,354.0,257.8,270.2,419.9,412.5,339.6,204.3,278.5,228.7,411.8,330.5,212.2,322.8,20.3,524.2,237.5,186.7,255.4,276.1,268.0,266.3,216.0,218.6,273.4,577.8,272.9,300.1,393.5,391.0,150.5,289.5
