from_stop,AA,AB,AE,AN,AO,AR,AV,BC,BD,BP,BY,CB,CG,CS,CX,DA,DP,EA,EC,ED,EO,EV,EW,EZ,FG,FX,GM,GR,GS,GT,HH,HO,HV,IC,II,IK,IU,JD,JJ,JP,JQ,JS,JZ,KH,KS,LF,LN,MS,MU,MY,MZ,NA,NJ,NS,NZ,OF,OM,ON,PF,PQ,PS,QJ,QQ,QZ,RB,RK,RN,RR,RT,SO,SU,SW,TJ,TO,UK,UR,VC,VN,WL,XS,YA,YH,YN,ZC,ZE,ZG,ZK,ZM,ZQ,ZS,ZV
BY,276.6,118.7,182.4,221.5,115.8,170.8,251.6,94.7,136.0,327.3,0.0,286.6,140.5,257.8,273.0,250.2,258.9,113.9,197.8,265.5,52.8,89.6,277.1,218.6,239.5,148.0,71.6,147.3,133.9,221.5,218.8,231.9,127.1,285.8,147.3,214.4,309.4,164.6,226.3,246.7,128.8,215.5,231.3,201.6,316.1,44.5,261.4,209.3,159.3,210.2,238.6,139.6,257.1,194.0,169.8,223.7,288.1,306.3,186.4,234.8,160.9,214.4,115.3,149.1,289.6,187.4,165.8,175.9,300.7,211.4,229.2,148.9,2068.3,296.5,255.6,126.0,179.3,179.8,163.6,159.8,170.6,132.8,159.5,270.3,198.7,246.7,189.5,195.5,332.1,311.3,66.7
CB,7.5,203.5,146.9,103.4,314.9,158.7,146.0,315.7,249.7,337.2,344.7,0.0,156.5,385.5,154.9,22.0,142.5,285.8,108.8,367.6,260.8,248.9,107.9,349.0,134.9,160.3,279.6,193.3,210.5,75.8,245.2,115.5,289.5,329.9,193.3,182.0,329.8,330.4,149.7,77.5,211.4,163.1,345.0,206.8,210.5,252.4,225.9,124.3,123.7,65.2,369.0,141.9,139.1,214.2,143.7,185.3,89.2,19.6,256.8,237.7,274.6,224.9,325.8,133.9,113.3,163.7,115.7,182.3,153.8,163.1,174.7,256.6,2234.1,316.9,137.5,285.3,227.9,98.8,234.0,149.8,284.3,317.6,187.9,45.5,312.4,77.5,163.4,282.0,420.6,311.2,296.0
CG,151.6,53.5,65.0,80.9,142.0,45.4,111.0,177.3,135.2,333.5,188.1,161.6,0.0,256.4,132.4,125.2,118.3,171.3,51.0,264.7,167.0,92.3,152.1,314.0,98.9,30.6,185.8,49.9,68.7,80.9,232.2,91.3,175.0,285.0,49.9,73.8,294.8,215.9,127.2,121.7,61.4,140.6,230.5,171.1,175.5,95.8,144.0,68.7,59.2,85.2,334.0,76.6,114.9,178.5,29.2,103.4,163.1,181.3,192.9,202.0,160.1,189.2,179.9,70.0,149.0,49.2,65.7,118.4,160.1,140.6,152.2,142.1,2119.6,281.9,115.0,128.7,185.8,79.7,170.1,42.4,169.8,203.1,73.4,145.3,202.7,121.7,48.9,201.1,403.7,326.5,149.3
CS,338.2,236.6,286.5,305.4,307.5,266.9,232.3,265.2,310.3,70.0,355.1,348.2,263.2,0.0,356.9,328.0,331.5,235.4,292.2,83.6,393.5,354.7,376.6,127.3,232.0,252.7,412.3,216.5,218.7,297.9,370.0,317.6,233.7,27.9,216.5,185.2,108.1,208.3,352.3,346.2,224.1,368.7,192.7,393.5,208.5,315.6,366.1,249.5,280.7,310.3,146.7,292.8,330.3,385.3,246.9,327.8,394.6,368.5,377.7,407.9,228.2,406.3,239.1,302.9,347.0,223.7,287.8,329.1,267.5,364.6,382.4,323.2,2017.0,95.2,339.5,321.7,371.2,301.2,354.9,264.5,237.9,231.5,193.4,350.9,227.0,346.8,218.0,346.7,74.2,53.4,304.7
CX,198.1,193.5,148.3,81.2,300.2,134.1,208.9,299.1,233.1,450.5,328.1,208.1,139.9,354.9,0.0,151.1,234.2,259.7,164.7,362.6,267.7,232.3,178.0,411.9,196.8,167.5,286.5,176.7,193.9,141.0,135.1,207.2,272.9,382.9,176.7,171.7,392.7,313.8,52.0,147.6,199.3,65.4,328.4,88.9,273.4,235.8,227.3,184.6,125.1,111.1,431.9,143.3,230.8,96.3,127.1,189.6,189.0,227.8,207.4,115.0,258.0,107.0,309.2,135.3,226.6,144.7,117.1,122.0,232.3,65.4,81.1,246.0,2217.5,379.8,81.2,268.7,110.0,100.2,184.6,165.0,267.7,301.0,171.3,171.2,295.8,147.6,146.8,288.9,500.4,424.5,279.4
DA,26.3,181.4,124.8,81.3,292.8,136.6,119.5,293.6,227.6,317.7,327.4,36.3,139.2,366.0,132.8,0.0,116.0,263.7,82.3,348.1,238.7,231.6,85.8,322.5,108.4,138.2,257.5,171.2,188.4,53.7,223.1,89.0,267.4,310.4,171.2,156.5,303.3,308.3,127.6,55.4,189.3,141.0,322.9,184.7,184.0,235.1,203.8,102.2,101.6,43.1,342.5,119.8,112.6,192.1,121.6,163.2,67.1,69.4,234.7,215.6,252.5,202.8,303.7,111.8,93.8,151.0,93.6,160.2,127.3,141.0,152.6,234.5,2212.0,290.4,115.4,268.0,205.8,76.7,211.9,127.7,262.2,295.5,165.8,23.4,290.3,55.4,141.3,259.9,401.1,291.7,273.9
DP,58.3,198.6,142.0,98.5,311.9,153.8,151.5,310.8,244.8,349.7,359.4,68.3,171.2,398.0,150.0,31.9,0.0,280.9,114.3,380.1,255.9,263.6,103.0,354.5,140.4,155.4,274.7,188.4,205.6,70.9,248.1,128.9,284.6,342.4,188.4,188.5,335.3,325.5,144.8,72.6,208.7,158.2,340.1,201.9,216.0,267.1,221.0,119.4,118.8,60.3,374.5,137.0,144.6,209.3,138.8,183.3,84.3,88.0,251.9,228.0,269.7,220.0,320.9,129.0,125.8,184.7,110.8,177.4,159.3,163.2,169.8,257.7,2229.2,322.4,132.6,300.0,223.0,93.9,229.1,144.9,279.4,312.7,183.0,52.0,312.3,72.6,158.5,277.1,433.1,323.7,291.1
EA,280.4,130.7,176.7,243.8,73.6,169.6,198.3,66.0,70.3,266.1,155.9,290.4,157.3,192.1,256.7,254.0,265.1,0.0,204.0,199.8,167.6,142.9,280.9,170.1,186.2,142.3,186.4,110.6,113.4,227.7,260.7,250.6,3.6,224.6,110.6,161.1,201.9,44.5,256.0,250.5,118.8,265.4,170.1,298.8,262.8,115.8,260.2,215.5,170.9,214.0,185.6,178.8,263.9,291.2,146.1,218.0,291.9,310.1,284.4,332.0,99.7,311.6,39.9,192.8,291.3,129.6,181.9,225.8,221.7,261.3,298.0,83.2,1948.2,189.0,243.8,92.3,276.5,195.9,261.6,158.6,109.4,31.7,87.5,274.1,137.5,246.0,112.7,227.9,270.9,322.2,52.8
EC,109.7,110.4,128.5,91.3,194.9,99.9,101.2,240.6,165.6,295.2,242.6,119.7,56.8,289.2,151.8,83.3,61.0,201.7,0.0,325.6,223.9,155.8,122.9,304.2,90.1,85.1,240.3,106.8,132.2,32.3,240.9,46.5,207.8,294.1,106.8,97.8,285.0,248.7,137.6,94.9,115.9,153.4,263.3,194.7,165.7,152.7,200.9,42.5,113.7,82.6,318.0,131.1,66.0,202.1,59.6,160.8,121.2,139.4,256.4,229.8,192.9,215.2,234.4,126.9,97.9,79.6,122.6,172.9,109.0,151.0,162.6,178.5,2152.4,272.1,127.8,192.2,224.8,104.7,224.6,99.3,202.6,235.9,106.2,103.4,228.3,101.5,81.7,258.0,348.9,269.2,203.8
ED,378.1,301.1,351.6,414.2,275.2,332.0,293.6,260.1,245.2,109.5,350.0,388.1,327.7,39.4,431.6,388.7,362.5,230.3,323.2,0.0,364.7,344.5,451.3,157.7,263.0,317.2,383.5,281.0,283.8,328.9,401.0,343.4,228.6,68.0,281.0,216.2,138.5,203.2,426.4,420.9,289.2,399.7,126.5,423.9,269.2,304.8,430.6,280.5,345.8,384.4,177.7,353.7,361.3,416.3,321.0,392.9,455.9,407.8,408.7,438.9,162.0,436.7,234.0,363.2,407.7,304.5,352.3,360.1,298.5,395.6,436.8,258.1,2057.1,125.6,414.2,289.4,401.6,366.3,385.9,329.0,171.7,225.8,257.9,412.2,160.8,420.9,283.1,377.7,114.3,93.5,254.4
EO,262.7,89.2,152.9,192.0,86.4,133.3,222.1,121.1,83.1,274.4,150.5,272.7,111.0,204.3,243.5,236.3,229.4,137.2,162.1,212.6,0.0,36.7,263.2,165.7,210.0,118.5,18.7,117.8,104.4,192.0,253.6,202.4,140.9,232.9,117.8,184.9,312.5,181.8,225.2,232.8,97.1,214.4,178.4,293.4,286.6,58.2,231.9,179.8,147.1,196.3,185.7,132.3,226.0,285.8,140.3,191.3,274.2,292.4,279.0,331.4,108.0,306.2,142.3,141.8,260.1,160.3,153.6,174.8,271.2,214.4,251.5,90.0,2085.5,299.6,226.1,73.1,271.1,167.6,256.2,130.3,117.7,169.0,130.0,256.4,145.8,232.8,160.0,222.5,280.4,258.4,119.4
EV,380.7,207.2,270.9,310.0,48.0,259.3,316.0,84.3,46.3,237.6,214.4,390.7,229.0,159.0,361.5,354.3,347.4,100.4,277.9,175.8,192.9,0.0,381.2,128.9,303.9,236.5,211.7,235.8,222.4,310.0,309.7,317.7,104.1,196.1,235.8,187.4,275.7,145.0,343.2,350.8,215.1,332.4,141.6,357.3,380.5,133.0,349.9,297.8,265.1,314.3,148.9,250.3,344.0,349.7,258.3,312.2,392.2,410.4,342.9,390.5,71.2,370.1,120.3,259.8,378.1,251.8,271.6,292.8,339.4,328.3,369.5,59.2,2048.7,262.8,344.1,36.3,335.0,285.6,320.1,248.3,80.9,132.2,205.2,374.4,109.0,350.8,230.4,286.4,242.4,221.6,82.6
EW,73.4,211.5,154.9,145.5,324.8,158.7,182.2,323.7,257.7,378.5,352.7,65.9,164.5,426.8,162.9,88.0,195.4,284.3,130.4,408.9,268.8,256.9,0.0,385.2,170.1,168.3,287.6,201.3,218.5,83.8,261.0,168.4,297.5,371.2,201.3,190.0,366.0,338.4,157.7,85.5,219.4,171.1,353.0,214.8,246.7,260.4,233.9,132.3,131.7,73.2,405.2,149.9,192.0,222.2,151.7,196.2,27.0,51.1,264.8,240.9,282.6,232.9,333.8,141.9,154.6,169.3,123.7,190.3,206.7,176.1,182.7,270.6,2242.1,353.1,145.5,293.3,235.9,106.8,242.0,157.8,292.3,325.6,195.9,50.3,320.4,85.5,171.4,290.0,460.7,352.5,304.0
EZ,246.1,109.2,159.7,178.6,152.4,148.1,117.3,151.3,85.3,339.8,224.9,256.1,135.8,207.1,230.1,219.7,204.7,121.4,165.4,214.8,203.8,129.1,249.8,0.0,105.2,125.3,222.6,89.1,91.9,171.1,243.2,177.7,125.1,235.1,89.1,58.4,301.1,166.0,224.9,219.4,97.3,241.9,180.6,266.1,181.8,132.6,238.7,122.7,153.9,182.9,19.9,166.0,201.3,258.5,119.5,201.0,257.6,275.8,250.9,281.1,110.2,278.9,161.4,175.5,253.4,96.3,160.4,202.3,140.7,241.9,279.0,98.2,2069.7,288.2,212.7,166.6,243.8,174.4,228.1,137.1,119.9,153.2,66.0,239.8,152.8,219.4,91.2,219.9,408.8,341.1,131.6
FG,149.0,137.4,172.7,126.5,224.5,135.8,12.0,225.3,159.3,234.5,295.8,159.0,107.6,242.3,178.0,122.6,99.4,195.4,62.1,292.2,274.7,200.0,164.6,215.0,0.0,138.3,293.5,102.9,120.1,74.0,268.3,72.4,199.1,254.5,102.9,48.0,195.8,240.0,172.8,134.2,127.8,186.2,215.8,229.9,76.5,203.5,251.7,25.6,164.8,130.8,235.0,183.0,96.0,237.3,67.4,211.1,160.5,178.7,297.9,260.8,184.2,248.0,235.4,175.0,160.1,42.5,156.8,223.4,35.4,186.2,197.8,166.2,2143.7,182.9,160.6,240.6,251.0,139.9,275.1,150.1,193.9,227.2,97.5,142.7,226.8,134.2,73.0,275.4,304.7,235.8,205.6
FX,145.8,57.5,34.3,93.1,175.1,14.7,158.2,175.9,109.9,301.2,192.1,155.8,47.1,231.1,144.6,119.4,165.5,136.5,96.0,237.5,171.0,96.3,146.3,192.5,146.1,0.0,189.8,35.9,70.7,109.3,182.3,144.3,149.7,259.7,35.9,121.0,342.0,190.6,138.1,115.9,76.1,127.3,205.2,140.4,222.7,99.8,113.3,115.9,28.5,79.4,212.5,47.3,162.1,148.8,76.4,75.6,157.3,175.5,162.2,166.5,134.8,158.5,186.0,39.3,196.2,94.0,35.0,87.7,181.6,123.2,164.4,122.8,2094.3,329.1,127.2,132.7,155.1,49.0,139.4,11.7,144.5,177.8,48.1,139.5,172.6,115.9,75.6,187.4,306.0,373.7,156.2
GM,243.9,70.4,134.1,173.2,66.0,114.5,203.3,102.3,64.3,255.6,131.7,253.9,92.2,186.1,224.7,217.5,210.6,108.9,141.1,193.8,110.6,17.9,244.4,146.9,191.2,99.7,0.0,99.0,85.6,173.2,227.0,193.6,122.1,214.1,99.0,166.1,293.7,163.0,206.4,214.0,80.5,195.6,159.6,274.6,267.8,39.4,213.1,161.0,128.3,177.5,166.9,113.5,208.8,267.0,121.5,175.4,255.4,273.6,260.2,307.8,89.2,287.4,123.5,123.0,241.3,139.1,134.8,156.0,252.4,195.6,232.7,77.2,2066.7,280.8,207.3,54.3,252.3,148.8,237.4,111.5,98.9,150.2,111.2,237.6,131.8,214.0,141.2,203.7,260.4,239.6,100.6
GR,182.0,52.0,70.5,127.6,139.1,50.9,125.2,139.9,73.9,265.2,211.6,192.0,46.6,195.7,179.1,155.6,165.0,110.0,97.7,203.4,190.5,115.8,182.5,156.5,113.1,36.1,209.3,0.0,34.7,127.6,210.7,138.0,113.7,223.7,0.0,88.0,309.0,154.6,174.3,152.1,42.4,163.5,169.2,176.6,189.7,119.3,149.5,115.4,64.7,115.6,176.5,83.5,161.6,184.0,75.9,108.9,193.5,211.7,198.4,207.5,98.8,194.7,150.0,75.5,195.7,63.4,71.2,123.9,148.6,163.5,200.6,80.8,2058.3,296.1,161.7,155.2,191.3,85.2,175.6,47.9,108.5,141.8,12.1,175.7,136.6,152.1,39.6,226.5,271.2,373.2,120.2
GS,206.8,17.2,108.4,147.5,144.5,88.8,143.1,143.4,77.4,268.7,199.3,216.8,66.5,198.6,199.0,180.4,184.9,104.0,115.4,206.9,178.2,103.5,207.3,160.0,131.0,74.0,197.0,73.3,0.0,147.5,206.9,162.0,117.2,227.2,73.3,105.9,326.9,158.1,162.7,176.9,5.3,151.9,172.7,165.0,207.6,107.0,187.4,135.3,89.5,140.4,180.0,69.8,181.5,172.4,95.8,149.7,218.3,236.5,186.8,191.1,102.3,183.1,153.5,79.3,215.6,78.9,96.0,112.3,166.5,147.8,165.6,90.3,2061.8,314.0,181.6,158.7,179.7,110.0,164.0,96.2,112.0,145.3,32.3,200.5,144.9,176.9,57.5,212.0,273.5,252.7,123.7
GT,74.9,134.3,129.5,86.0,221.2,118.9,98.3,257.9,191.9,320.8,268.9,84.9,80.7,313.1,137.5,48.5,116.0,228.0,46.5,321.4,247.8,173.1,90.5,301.3,86.2,111.4,266.6,130.7,149.5,0.0,235.6,96.9,231.7,340.8,130.7,106.1,282.1,272.6,132.3,60.1,142.2,145.7,287.2,189.4,162.8,176.6,208.5,48.4,106.3,47.8,321.3,124.5,112.6,196.8,85.9,170.8,86.4,104.6,239.4,215.5,216.8,207.5,260.7,116.5,142.4,102.3,98.3,164.9,121.7,145.7,181.6,204.8,2176.3,269.2,120.1,209.5,210.5,81.4,216.6,123.2,226.5,259.8,130.1,68.6,259.4,60.1,105.6,264.6,389.8,322.1,230.1
HH,258.1,176.2,176.0,140.4,248.2,201.3,268.1,248.8,246.5,490.6,168.9,268.1,199.1,367.7,125.8,210.3,293.4,305.0,226.1,368.2,163.3,200.1,237.2,329.1,256.0,169.4,182.1,205.4,191.4,200.2,0.0,266.4,308.7,396.3,205.4,230.9,451.9,273.9,115.2,206.8,186.3,109.7,341.8,47.5,332.6,236.5,255.0,243.8,152.2,170.3,349.1,132.5,290.0,39.9,186.3,217.3,248.2,287.8,104.7,80.7,271.4,60.3,224.6,142.0,286.6,203.9,158.7,81.6,291.5,109.7,102.3,259.4,2103.5,439.0,140.4,236.5,25.2,159.4,81.9,158.9,281.1,242.1,230.5,230.4,309.2,206.8,206.0,141.3,560.8,484.5,235.7
HO,79.4,219.7,159.0,119.7,326.4,175.0,172.6,325.3,259.3,364.2,386.4,89.4,192.3,425.6,164.5,53.0,14.5,302.1,128.8,394.6,277.0,278.1,130.0,369.0,161.5,174.5,289.2,209.5,224.7,90.0,262.6,0.0,305.7,363.5,209.5,203.0,352.3,346.6,159.3,93.7,227.7,179.3,361.2,224.8,237.1,288.2,242.1,140.5,133.3,81.4,389.0,154.0,15.7,226.3,160.0,197.8,98.8,109.1,266.4,255.0,288.8,241.1,337.9,150.1,140.3,205.9,131.9,196.5,180.4,179.4,184.3,274.7,2250.3,343.5,153.7,321.2,237.5,120.9,256.1,166.0,300.5,333.8,204.1,73.1,322.0,95.5,179.6,291.6,454.3,338.2,308.1
HV,282.1,132.4,182.9,211.4,77.9,163.3,200.0,62.3,76.5,267.8,152.2,292.1,159.0,197.7,262.9,255.7,266.8,1.6,199.5,206.0,169.3,151.8,282.6,171.8,187.9,148.5,188.1,112.3,115.1,229.4,255.3,239.8,0.0,226.3,112.3,162.8,203.6,40.8,257.7,252.2,122.8,267.1,171.8,295.1,264.5,112.1,261.9,217.2,177.1,215.7,191.8,185.0,263.4,287.5,152.3,221.3,293.6,311.8,280.7,333.1,101.4,307.9,36.2,194.5,297.5,138.2,183.6,227.5,223.4,267.1,280.8,83.4,1944.5,190.7,245.5,94.0,272.8,197.6,257.9,160.3,111.1,28.0,89.2,275.8,144.0,252.2,114.4,224.2,273.8,323.9,59.0
IC,390.5,282.8,333.3,352.2,324.1,313.7,284.6,430.2,258.9,116.2,520.1,400.5,309.4,168.6,403.7,379.7,389.5,400.4,366.8,150.1,377.4,302.7,465.6,173.5,306.6,298.9,396.2,262.7,265.5,380.7,424.6,362.5,398.7,0.0,262.7,232.0,154.3,373.3,398.5,435.2,273.2,415.5,259.2,439.7,260.2,306.2,412.3,332.3,327.5,356.5,193.5,339.6,386.1,432.1,293.1,371.7,446.9,420.2,424.5,459.5,294.7,452.5,404.1,349.1,398.7,268.2,334.0,375.9,325.5,415.5,452.6,265.8,2182.0,141.4,386.3,340.2,417.4,348.0,401.7,310.7,304.4,395.9,239.6,403.2,228.2,435.2,264.8,393.5,47.4,75.7,305.2
II,182.0,52.0,70.5,127.6,139.1,50.9,125.2,139.9,73.9,265.2,211.6,192.0,46.6,195.7,179.1,155.6,165.0,110.0,97.7,203.4,190.5,115.8,182.5,156.5,113.1,36.1,209.3,0.0,34.7,127.6,210.7,138.0,113.7,223.7,0.0,88.0,309.0,154.6,174.3,152.1,42.4,163.5,169.2,176.6,189.7,119.3,149.5,115.4,64.7,115.6,176.5,83.5,161.6,184.0,75.9,108.9,193.5,211.7,198.4,207.5,98.8,194.7,150.0,75.5,195.7,63.4,71.2,123.9,148.6,163.5,200.6,80.8,2058.3,296.1,161.7,155.2,191.3,85.2,175.6,47.9,108.5,141.8,12.1,175.7,136.6,152.1,39.6,226.5,271.2,373.2,120.2
IK,187.6,116.6,167.1,120.1,159.8,129.4,58.8,158.7,92.7,281.3,232.3,197.6,101.2,213.9,171.6,161.2,146.2,128.8,98.5,222.2,211.2,136.5,191.3,261.8,46.7,132.7,230.0,96.5,99.3,112.6,250.6,129.2,132.5,242.5,96.5,0.0,242.6,173.4,166.4,160.9,104.7,179.8,188.0,223.5,123.3,140.0,246.1,64.2,161.3,124.4,281.8,173.4,144.4,230.9,61.0,208.4,199.1,217.3,258.3,249.6,117.6,241.6,168.8,182.9,194.9,37.8,150.4,209.7,82.2,184.8,215.7,105.6,2077.1,229.7,154.2,174.0,251.2,133.5,235.5,144.5,127.3,160.6,73.4,181.3,160.2,160.9,66.6,227.3,350.3,282.6,139.0
