from_stop,AG,AO,AS,AY,BL,DA,DB,DJ,DM,DP,DX,EP,EU,EW,FF,FS,GD,GJ,GK,GV,GY,HO,IG,IK,IQ,JD,JH,JQ,JU,KD,KI,MZ,NG,NY,OE,OG,OL,PV,QK,RC,RF,RG,RH,RW,RZ,SP,SS,SU,UN,VQ,VR,WB,WD,XJ,XR,YI,YM,YN,YP,ZD,ZX
DX,462.6,408.0,173.8,410.3,374.1,302.6,207.8,126.7,286.4,267.7,0.0,94.7,380.8,337.8,131.6,357.8,343.7,346.2,2304.4,380.2,391.9,210.4,361.7,153.8,437.3,114.8,48.9,325.3,67.1,231.8,353.1,161.7,424.8,106.7,456.3,89.4,164.0,326.9,100.1,426.7,31.8,466.2,325.7,224.0,159.9,420.1,220.2,196.8,374.4,329.1,477.7,312.8,251.3,392.8,250.3,340.9,305.8,342.6,391.4,298.1,447.3
EP,367.8,313.2,79.0,315.5,279.3,207.8,113.0,124.5,191.6,172.9,108.4,0.0,286.0,276.0,119.3,263.0,248.9,251.4,2300.1,285.4,297.1,115.6,266.9,59.0,342.5,62.7,99.1,230.5,146.8,137.0,258.3,66.9,330.0,11.9,361.5,28.1,69.2,232.1,148.0,331.9,100.0,371.4,230.9,129.2,65.1,325.3,125.4,102.0,279.6,234.3,382.9,218.0,156.5,298.0,155.5,246.1,211.0,247.8,296.6,203.3,352.5
EU,137.9,149.9,204.9,319.7,174.8,79.2,271.6,198.1,127.6,154.7,284.6,246.1,0.0,301.8,192.9,98.9,109.2,24.9,2297.2,289.6,240.7,241.5,80.8,244.4,214.4,308.9,333.6,70.7,272.7,210.6,311.4,227.5,186.4,267.3,131.6,274.3,254.6,50.7,273.9,194.1,316.5,141.5,51.9,287.8,250.5,217.7,284.0,260.6,136.0,74.5,229.5,218.9,230.1,156.0,264.2,250.3,81.6,114.2,47.8,179.8,98.7
EW,317.7,263.1,238.6,67.1,310.8,316.8,303.0,231.8,316.9,252.3,318.3,311.8,365.4,0.0,226.6,294.5,330.3,343.3,2135.1,37.0,235.8,275.2,298.4,331.4,281.2,391.8,367.3,355.8,306.4,244.3,126.4,261.2,298.8,301.0,311.4,328.7,341.6,311.5,307.6,289.4,350.2,321.3,310.3,208.6,337.5,282.7,228.4,207.2,279.4,359.6,332.8,249.5,263.8,339.2,169.0,124.8,312.9,314.8,376.0,282.7,302.4
FF,315.9,261.3,11.9,273.3,208.4,149.8,196.1,5.1,136.9,107.6,91.6,107.3,220.7,206.1,0.0,192.1,183.6,193.8,2261.0,243.2,211.2,48.5,196.0,142.1,256.6,93.7,140.6,184.0,79.7,45.0,183.2,33.8,272.4,73.7,313.4,102.0,152.3,166.8,80.9,261.0,167.2,319.5,165.6,63.9,148.2,254.4,208.5,185.1,222.0,176.7,331.0,147.1,65.9,227.1,65.5,209.3,152.6,190.2,242.5,138.0,297.9
FS,149.8,65.9,184.6,257.9,90.8,22.2,251.3,177.8,96.3,134.4,264.3,254.3,102.6,240.0,172.6,0.0,35.7,64.9,2244.7,227.8,190.4,221.2,24.4,269.2,130.4,266.9,313.3,139.3,252.4,187.0,271.8,258.2,102.4,246.4,147.3,282.5,275.3,96.8,253.3,110.1,319.2,153.4,98.0,223.9,275.3,133.7,263.7,240.3,52.0,132.0,177.0,145.4,199.0,72.0,225.9,188.5,18.3,20.2,113.2,106.3,131.8
GD,208.7,124.8,214.0,249.9,164.6,51.6,280.7,207.2,118.7,163.8,293.7,283.7,123.5,232.0,202.0,58.8,0.0,90.2,2315.8,219.8,182.4,250.6,83.3,298.6,227.8,346.5,342.7,157.0,281.8,211.5,263.8,236.6,161.3,276.4,202.4,311.9,308.8,117.7,283.0,217.2,325.6,212.3,118.9,253.3,304.7,210.6,293.1,269.7,110.9,160.8,235.9,121.3,231.0,183.3,255.3,180.5,47.7,79.1,134.1,82.2,155.3
GJ,108.5,146.0,205.3,290.3,170.9,60.3,272.0,198.5,128.0,158.4,285.0,246.5,37.6,272.4,193.3,75.6,79.8,0.0,2267.8,260.2,211.3,241.9,51.4,244.8,210.5,290.4,337.3,77.8,273.1,211.5,282.0,248.8,182.5,262.7,102.2,274.7,255.0,31.8,274.3,190.2,311.4,112.1,33.0,288.2,250.9,213.8,284.4,261.0,132.1,74.9,200.1,224.6,230.5,155.4,264.6,220.9,58.3,100.3,55.0,185.5,69.3
GK,2250.8,2178.2,2333.4,2277.2,2273.1,2268.2,2333.3,2326.6,2393.7,2377.0,2413.1,2280.8,2280.0,2258.0,2321.4,2245.9,2281.7,2287.7,0.0,2263.8,2365.7,2370.0,2267.8,2261.1,2312.7,2343.6,2380.0,2311.0,2401.2,2339.1,2243.4,2356.0,2213.9,2297.7,2244.5,2309.0,2271.3,2336.2,2402.4,2292.4,2380.9,2254.4,2335.0,2349.5,2267.2,2316.0,2344.3,2232.6,2194.5,2314.8,2190.6,2391.4,2358.6,2254.3,2287.2,2246.5,2265.1,2229.9,2270.1,2352.3,2235.5
GV,301.8,247.2,347.5,30.0,342.1,337.2,411.9,340.7,404.3,361.2,427.2,417.4,393.1,108.8,335.5,314.9,350.7,359.8,2095.9,0.0,344.7,384.1,355.4,440.3,381.7,480.2,476.2,426.6,415.3,353.2,277.2,370.1,282.9,409.9,295.5,437.6,450.5,387.3,416.5,361.4,459.1,305.4,388.5,317.5,446.4,385.0,337.3,312.8,263.5,430.4,296.2,358.4,372.7,323.3,277.9,108.9,333.3,298.9,403.7,421.3,286.5
GY,232.4,177.8,253.0,162.1,87.0,138.7,367.8,246.2,205.8,250.9,332.7,370.8,216.5,144.2,241.0,116.4,152.2,183.2,2228.0,132.0,0.0,289.6,138.3,385.7,45.3,433.6,381.7,244.7,320.8,298.6,171.8,275.6,175.2,315.4,226.1,399.0,395.9,171.6,322.0,53.5,364.6,236.0,170.4,340.4,391.8,46.8,242.8,207.4,124.8,248.5,247.5,261.9,318.1,68.2,183.4,92.7,134.8,100.4,227.1,222.8,217.1
HO,426.6,372.0,139.3,374.3,338.2,266.2,171.8,183.3,257.4,230.7,43.0,58.7,344.8,334.8,177.1,320.8,307.7,317.9,2341.5,344.2,355.9,0.0,328.6,117.8,401.3,45.1,91.0,300.4,31.1,200.7,316.1,97.7,388.8,69.7,424.1,52.4,134.3,291.1,142.9,390.7,108.1,430.2,289.7,188.0,123.9,384.1,184.2,160.8,338.4,293.1,441.7,276.8,225.3,355.8,214.7,304.9,268.8,305.6,366.6,262.1,408.6
IG,162.9,79.0,247.3,227.3,142.1,100.4,312.5,239.0,132.0,192.7,325.5,287.0,78.1,209.4,233.8,35.6,100.4,37.1,2257.8,197.2,159.8,283.4,0.0,304.9,143.5,327.6,371.6,119.8,313.6,218.4,241.2,321.2,115.5,304.7,160.4,312.3,321.4,72.1,314.5,123.2,349.0,166.5,73.5,259.6,311.0,188.0,324.9,301.5,65.1,115.4,190.1,210.1,247.3,85.1,222.8,157.9,54.0,33.3,99.9,171.0,81.4
IK,318.3,234.4,72.2,300.1,214.8,148.7,219.0,65.4,132.5,102.0,151.9,150.1,184.6,222.6,60.2,168.4,178.0,192.3,2277.5,270.0,232.6,108.8,192.9,0.0,278.0,225.4,200.9,171.4,140.0,77.9,199.7,94.8,270.9,134.6,312.0,162.3,10.2,162.4,141.2,267.4,183.8,321.9,161.2,80.4,6.1,260.8,231.4,208.0,220.5,175.2,345.5,163.6,97.4,233.5,82.4,230.7,151.1,188.7,226.9,132.4,266.1
IQ,177.2,93.3,255.7,201.7,41.6,93.3,322.4,248.9,160.4,205.5,335.4,325.4,171.1,183.8,243.7,71.0,106.8,137.8,2267.6,171.6,134.2,292.3,92.9,340.3,0.0,388.2,384.4,199.3,323.5,253.2,215.6,278.3,129.8,318.1,170.9,353.6,350.5,126.2,324.7,60.9,367.3,180.8,125.0,295.0,346.4,84.5,256.2,311.4,79.4,203.1,204.4,216.5,272.7,22.8,196.8,132.3,89.4,55.0,181.7,177.4,161.9
JD,465.0,410.4,176.7,412.7,377.0,305.5,210.7,124.1,289.3,226.7,2.8,97.6,383.2,335.2,129.0,360.7,346.1,353.0,2302.3,382.6,394.3,213.3,364.6,156.7,439.7,0.0,46.8,303.1,70.0,164.1,355.5,171.9,427.2,109.6,459.2,91.8,166.9,329.8,97.5,429.1,2.0,468.6,328.1,226.4,162.8,422.5,223.1,199.7,376.8,331.5,480.1,315.2,254.2,395.7,253.2,343.3,308.2,345.5,394.3,300.5,450.2
JH,398.6,344.0,72.0,356.0,291.2,232.9,283.8,77.7,216.7,190.3,181.0,170.7,303.4,288.8,82.6,274.8,266.3,315.9,2290.5,325.9,293.9,96.1,281.6,229.8,339.3,178.6,0.0,266.7,126.3,127.7,265.9,132.6,355.1,182.7,392.3,183.4,240.0,249.5,50.8,343.7,137.4,402.2,248.3,146.6,235.9,337.1,296.2,272.8,304.7,259.4,413.7,229.8,152.3,309.8,148.2,292.0,235.3,272.9,321.4,220.7,380.6
JQ,233.0,240.5,259.5,407.4,265.4,154.4,326.2,252.7,175.9,209.3,339.2,300.7,112.3,389.5,247.5,174.5,200.8,124.4,2300.5,377.3,339.9,296.1,199.0,299.0,305.0,363.5,388.2,0.0,327.3,270.1,406.5,281.4,277.0,321.3,226.7,328.9,309.2,168.5,328.5,284.7,365.6,236.6,167.3,342.4,305.1,308.3,338.6,315.2,226.6,147.1,324.6,278.8,291.0,246.6,318.4,338.0,157.2,194.8,102.4,239.7,193.8
JU,395.4,340.8,106.6,343.1,306.9,235.4,140.6,152.1,219.2,200.5,120.5,27.5,313.6,303.6,146.9,290.6,276.5,279.0,2310.3,313.0,324.7,143.2,294.5,86.6,370.1,74.8,111.2,258.1,0.0,164.6,285.9,94.5,357.6,39.5,389.1,22.2,96.8,259.7,175.6,359.5,112.1,399.0,258.5,156.8,92.7,352.9,153.0,129.6,307.2,261.9,410.5,245.6,184.1,325.6,183.1,273.7,238.6,275.4,324.2,230.9,380.1
KD,390.9,336.3,154.4,338.6,302.4,230.9,136.1,147.6,208.4,196.0,175.7,67.2,309.1,299.1,142.4,286.1,272.0,274.5,2238.5,308.5,320.2,192.0,290.0,82.1,365.6,130.0,166.4,264.7,222.2,0.0,281.4,111.1,353.1,84.1,384.6,95.4,92.1,255.2,223.1,355.0,132.1,394.5,254.0,152.3,88.2,348.4,148.5,125.1,302.7,257.4,406.0,241.1,12.0,321.1,178.6,269.2,233.3,270.9,327.1,226.4,375.6
KI,347.9,293.3,318.1,97.3,388.1,383.7,382.5,311.3,403.4,331.8,397.8,391.3,439.2,79.4,306.1,361.0,396.8,401.5,2163.2,67.2,315.3,354.7,401.5,410.9,427.8,400.4,446.8,446.4,385.9,328.7,0.0,386.0,329.0,379.9,345.4,408.2,417.0,433.4,386.8,407.5,473.4,351.5,434.6,288.1,417.0,431.1,307.9,286.7,309.6,439.1,363.0,329.0,353.3,369.4,248.5,155.0,379.4,345.0,449.8,362.2,329.9
MZ,395.4,340.8,71.9,353.0,297.4,227.1,162.2,80.5,219.2,160.2,151.6,64.2,313.6,291.6,106.3,290.6,260.6,288.9,2264.6,322.9,315.2,108.5,294.5,108.2,360.6,153.7,162.7,258.7,139.7,98.6,295.8,0.0,349.3,18.8,389.1,130.1,153.8,259.7,140.9,350.0,128.4,399.0,258.5,156.8,114.3,343.4,174.6,151.2,298.9,261.9,410.5,245.6,184.1,286.0,183.1,283.6,251.1,288.0,331.6,215.0,380.1
NG,47.3,69.0,306.3,230.9,169.5,161.3,373.0,299.5,226.0,256.1,386.0,347.5,138.6,213.0,294.3,152.6,160.9,105.3,2208.4,200.8,260.8,342.9,100.9,345.8,209.1,410.3,435.0,172.1,374.1,312.0,222.6,328.9,0.0,368.7,41.0,375.7,356.0,132.8,375.3,188.8,417.9,50.9,134.0,389.2,351.9,212.4,293.6,258.2,104.4,175.9,140.7,270.6,331.5,150.7,234.2,161.5,163.7,134.3,149.2,231.5,32.0
NY,376.5,321.9,66.5,324.2,288.0,216.5,121.7,75.1,194.6,179.7,146.7,24.3,294.7,284.7,80.5,272.3,255.2,260.1,2224.1,294.7,305.8,103.1,275.6,67.7,351.8,148.8,122.9,250.9,134.3,146.3,267.6,18.9,338.7,0.0,370.2,51.9,78.5,241.0,135.5,340.6,89.2,380.7,240.2,137.9,73.8,334.6,134.7,110.7,288.3,243.0,392.2,226.7,162.6,306.7,164.6,254.8,219.5,256.5,305.3,209.6,358.5
OE,6.2,27.9,287.4,280.7,128.3,123.9,352.6,279.1,197.6,235.7,365.6,355.6,203.1,262.8,273.9,97.4,137.0,162.1,2206.7,250.6,221.0,323.5,162.3,370.5,168.0,367.7,410.8,243.9,353.7,284.5,272.4,361.3,64.4,343.9,0.0,380.0,387.0,197.1,354.6,147.7,416.7,9.8,198.5,325.2,376.6,171.3,365.0,341.6,49.8,240.4,139.0,246.7,312.9,105.8,326.8,211.3,119.6,81.4,221.1,207.6,93.8
OG,501.5,446.9,266.9,449.2,409.5,343.0,276.4,260.1,320.9,296.7,233.5,214.3,379.3,409.7,254.9,363.1,372.7,394.7,2288.0,419.1,427.3,304.5,387.6,194.6,472.7,187.8,224.2,377.2,334.7,277.5,394.6,288.8,465.6,231.7,499.0,0.0,200.7,395.5,275.1,462.1,189.9,505.1,394.3,292.6,200.7,455.5,287.4,283.4,415.2,369.9,516.6,358.3,289.5,428.2,276.7,379.8,345.8,383.4,467.4,327.1,483.5
OL,308.1,224.2,63.5,289.9,204.7,138.1,208.8,55.2,129.3,91.2,141.7,139.9,174.4,212.4,49.4,162.3,167.8,189.8,2267.3,259.8,222.4,99.6,185.6,154.8,267.8,143.8,184.4,172.3,129.8,67.7,193.6,129.3,260.7,123.8,305.6,152.1,0.0,152.4,130.7,257.2,217.3,311.7,151.0,70.2,160.9,250.6,221.2,197.8,210.3,165.0,335.3,153.4,87.2,227.4,71.8,220.5,140.9,172.2,227.9,122.2,259.0
PV,198.0,114.1,223.0,280.4,138.9,28.0,288.2,214.7,103.3,171.3,301.2,262.7,53.8,262.5,209.5,48.1,74.4,89.8,2292.9,250.3,212.9,259.1,75.5,276.2,178.6,303.3,350.0,98.4,289.3,194.0,294.5,296.9,150.6,283.7,195.5,290.9,292.7,0.0,290.2,158.3,327.6,201.6,1.2,230.9,282.3,181.9,300.6,277.2,100.2,91.1,225.2,184.1,218.6,120.2,232.5,211.0,31.6,68.6,75.6,145.0,119.1
QK,396.8,342.2,68.9,354.2,289.4,230.7,246.5,75.9,221.9,188.2,136.4,144.3,301.6,287.0,80.8,272.7,264.5,314.1,2239.3,324.1,292.1,94.3,279.8,203.4,337.5,138.5,145.3,264.9,124.5,125.9,264.1,162.7,353.3,148.8,394.3,146.8,219.9,247.9,0.0,341.9,110.7,400.4,246.5,144.8,209.5,335.3,249.4,235.5,302.9,257.6,411.9,228.0,150.5,307.7,146.4,290.2,233.5,270.8,323.4,218.9,378.8
RC,197.5,113.6,276.0,214.7,54.6,113.6,342.7,269.2,180.7,225.8,355.7,345.7,191.4,196.8,264.0,91.3,127.1,158.1,2280.6,184.6,147.2,312.6,113.2,360.6,20.2,408.5,404.7,219.6,343.8,273.5,228.6,298.6,150.1,338.4,191.2,373.9,370.8,146.5,345.0,0.0,387.6,201.1,145.3,315.3,366.7,97.5,269.2,250.4,99.7,223.4,224.7,236.8,293.0,43.1,209.8,145.3,109.7,75.3,202.0,197.7,182.2
RF,432.9,378.3,105.0,390.3,325.4,266.2,251.4,112.0,258.0,224.6,43.5,138.3,337.7,323.1,116.9,309.1,300.6,310.8,2307.7,360.2,328.2,129.4,313.0,197.4,373.6,40.6,34.2,301.0,110.7,162.0,300.2,169.8,389.4,150.3,426.6,133.0,207.6,283.8,85.4,378.0,0.0,436.5,282.6,180.9,203.5,371.4,263.8,240.4,339.0,293.7,448.0,264.1,174.0,344.1,181.9,326.3,269.6,307.2,348.3,255.0,417.6
RG,101.9,18.0,276.0,270.8,118.5,113.6,342.7,269.2,180.7,225.8,355.7,345.7,193.2,252.9,264.0,91.3,127.1,159.9,2196.8,240.7,211.1,312.6,155.5,360.6,158.1,408.5,404.7,226.7,343.8,273.5,262.5,298.6,54.5,338.4,95.6,373.9,370.8,187.4,345.0,137.8,387.6,0.0,188.6,315.3,366.7,161.4,355.1,331.7,39.9,230.5,129.1,236.8,293.0,99.7,317.3,201.4,109.7,75.3,203.8,197.7,86.6
RH,196.8,112.9,222.7,279.2,137.8,27.2,289.4,215.9,95.1,172.5,302.4,263.9,55.0,261.3,210.7,46.9,73.2,43.4,2291.7,249.1,211.7,259.3,71.4,275.0,177.4,326.7,351.4,88.5,290.5,187.9,293.1,245.3,149.4,285.1,190.5,292.1,285.2,1.2,291.7,157.1,334.3,200.4,0.0,229.7,281.1,180.7,301.8,278.4,99.0,92.3,224.0,182.9,207.4,119.0,231.7,209.8,29.6,67.2,65.6,143.8,117.2
RW,276.7,192.8,250.3,241.7,156.4,107.1,317.0,243.5,155.0,43.6,330.0,320.0,156.7,223.8,238.3,126.8,119.6,145.1,2307.6,211.6,174.2,286.9,162.0,334.9,219.6,382.8,379.0,190.2,318.1,247.8,255.6,272.9,229.3,312.7,270.4,348.2,345.1,102.8,319.3,209.0,361.9,280.3,101.6,0.0,341.0,202.4,329.4,306.0,178.9,194.0,327.1,113.1,267.3,175.1,291.6,172.3,135.7,147.1,167.3,74.0,218.9
RZ,312.2,228.3,66.1,294.0,208.7,142.6,212.9,59.3,126.4,95.9,145.8,144.0,178.5,216.5,54.1,162.3,171.9,186.2,2271.4,263.9,226.5,102.7,186.8,158.9,271.9,219.3,194.8,165.3,133.9,71.8,193.6,88.7,264.8,128.5,305.9,156.2,4.0,156.3,135.1,261.3,177.7,315.8,155.1,74.3,0.0,254.7,225.3,201.9,214.4,169.1,339.4,157.5,91.3,227.4,76.3,224.6,145.0,182.6,220.8,126.3,260.0
SP,209.1,125.2,272.5,207.8,64.6,125.2,354.3,265.7,192.3,237.4,352.2,357.3,203.0,189.9,260.5,102.9,138.7,169.7,2273.7,177.7,140.3,309.1,124.8,372.2,31.8,420.1,401.2,231.2,340.3,285.1,221.7,295.1,161.7,334.9,202.8,385.5,382.4,158.1,341.5,40.0,384.1,212.7,156.9,326.9,378.3,0.0,262.3,243.5,111.3,235.0,236.3,248.4,304.6,54.7,202.9,138.4,121.3,86.9,213.6,209.3,193.8
SS,340.9,233.3,132.0,271.5,186.2,192.2,74.5,125.2,210.3,134.4,211.7,200.6,252.0,201.9,120.0,169.9,205.7,218.7,2188.5,241.4,204.0,168.6,173.8,224.8,249.4,285.2,260.7,249.2,199.8,137.7,179.0,154.6,269.8,194.4,334.6,222.1,235.0,193.6,201.0,238.8,243.6,344.5,192.4,90.7,230.9,232.2,0.0,96.0,219.4,253.0,356.0,124.9,157.2,204.9,62.4,202.1,188.3,187.6,262.6,164.8,252.2
SU,265.7,211.1,152.9,213.4,214.2,220.2,107.8,146.1,231.2,167.7,232.6,104.5,280.0,173.9,140.9,197.9,233.7,246.7,2113.3,183.3,188.1,189.5,201.8,102.8,233.5,167.3,203.7,270.1,220.7,158.6,156.2,175.5,246.8,121.4,259.4,132.7,113.0,226.9,221.9,266.8,204.6,269.3,225.7,124.0,108.9,260.2,71.3,0.0,227.4,273.9,280.8,152.9,178.1,232.9,83.3,144.0,217.1,262.8,290.6,198.1,250.4
UN,97.7,13.8,236.0,238.6,78.5,73.6,302.7,229.2,140.7,185.8,315.7,305.7,148.7,220.7,224.0,51.3,87.1,115.4,2192.6,208.5,171.1,272.6,111.0,320.6,118.1,368.5,364.7,179.6,303.8,233.5,252.5,258.6,50.3,298.4,91.4,333.9,330.8,142.9,305.0,97.8,347.6,101.3,144.1,275.3,326.7,121.4,315.1,291.7,0.0,183.4,124.9,196.8,253.0,59.7,277.3,169.2,69.7,35.3,159.3,157.7,82.4
VQ,240.3,247.8,266.8,414.7,272.7,162.1,333.5,260.0,189.5,216.6,346.5,308.0,119.6,396.8,254.8,181.8,208.1,127.3,2307.8,384.6,347.2,303.4,206.3,306.3,312.3,370.8,395.5,150.6,334.6,272.5,413.8,289.4,284.3,329.2,234.0,336.2,316.5,175.8,335.8,292.0,378.4,243.9,174.6,349.7,312.4,315.6,345.9,322.5,233.9,0.0,331.9,286.1,292.0,253.9,326.1,345.3,164.5,202.1,109.7,247.0,201.1
VR,248.5,175.9,386.5,274.9,270.8,265.9,495.0,379.7,333.0,378.1,466.2,445.5,464.5,255.7,374.5,243.6,279.4,306.5,2067.6,261.5,363.4,423.1,265.5,512.9,310.4,508.3,515.2,371.9,454.3,425.8,305.3,409.1,211.6,448.9,242.2,473.7,523.1,298.8,455.5,290.1,498.1,252.1,297.6,356.5,519.0,313.7,376.3,340.9,192.2,375.7,0.0,389.1,445.3,252.0,316.9,244.2,262.0,227.6,454.6,350.0,233.2
WB,192.2,108.3,229.6,234.2,148.9,67.2,296.3,222.8,134.3,179.4,309.3,299.3,127.0,216.3,217.6,44.9,80.7,93.7,2300.1,204.1,166.7,266.2,48.8,314.2,212.1,362.1,358.3,160.5,297.4,227.1,248.1,252.2,144.8,292.0,185.9,327.5,324.4,121.2,298.6,201.5,341.2,195.8,122.4,268.9,320.3,194.9,308.7,285.3,94.4,164.3,258.0,0.0,246.6,167.6,270.9,164.8,64.1,62.6,137.6,151.3,127.2
WD,376.3,321.7,141.3,324.0,287.9,215.9,121.5,133.0,193.8,184.0,161.1,52.6,294.5,284.5,121.5,261.5,257.4,267.6,2223.9,293.9,305.6,177.4,278.3,67.5,351.0,158.7,145.5,243.8,207.6,140.4,256.8,96.5,338.5,69.5,373.8,80.8,77.7,240.8,208.5,340.4,120.1,379.9,239.4,137.7,73.6,333.8,133.9,110.5,288.1,242.8,391.4,226.5,0.0,296.5,164.4,254.6,209.5,256.3,316.3,211.8,358.3
XJ,161.3,77.4,239.8,178.8,18.7,77.4,306.5,233.0,138.2,189.6,319.5,309.5,155.2,160.9,227.8,55.1,90.9,121.9,2244.7,148.7,111.3,277.4,77.0,324.4,58.3,322.1,368.5,194.5,307.6,242.2,192.7,262.4,113.9,301.6,155.0,337.7,330.5,110.5,308.5,38.0,375.4,164.9,109.1,279.1,330.5,61.6,233.3,214.5,63.5,187.2,188.5,200.6,256.8,0.0,173.9,109.4,74.3,39.1,165.8,161.5,143.3
