from_stop,AC,AF,AI,AJ,AK,AQ,AR,AX,AY,BC,BJ,BK,BP,BW,BZ,CG,CI,CN,CV,CZ,DF,DH,DL,DR,DS,DT,DV,DW,DY,DZ,EB,ED,EU,EW,FB,FF,FG,FJ,GE,GN,GT,HK,HO,HU,HV,HW,IF,IP,IR,IS,IW,IY,JG,JL,JN,JS,JY,KC,KF,KG,KI,KO,KT,KV,KX,KY,KZ,LB,LI,LM,LN,LP,LV,ME,MI,MK,MO,MQ,NA,NJ,NO,NQ,NY,OL,ON,OS,OY,PF,PK,PL,PN,PO,PP,PS,PT,QA,QF,QH,QM,QR,QU,QZ,RD,RK,RQ,RV,RY,SA,SC,SE,SH,SI,SJ,SM,SP,SW,SY,TB,TC,TG,TI,TL,TU,UG,UI,UJ,UL,UN,UP,UX,VR,VT,VY,WA,WF,WG,WZ,XD,XF,XH,XJ,XZ,YC,YQ,YR,ZF,ZJ,ZO,ZQ,ZR,ZV
BJ,816.3,240.7,280.9,794.2,224.4,613.0,330.5,817.5,706.3,117.3,0.0,153.4,330.8,93.5,457.6,193.9,792.6,623.5,137.7,748.0,835.2,517.6,143.9,127.3,693.2,816.6,676.9,751.1,993.4,839.9,163.9,477.7,702.3,840.6,353.6,263.6,232.0,196.7,720.1,680.6,638.1,303.8,767.7,273.2,788.5,183.5,187.5,182.2,597.3,397.5,895.6,631.8,590.9,387.6,707.4,315.8,607.9,206.0,623.0,286.5,467.7,321.7,431.3,431.8,615.6,671.2,728.2,37.7,498.4,192.2,784.9,321.1,180.5,581.6,725.6,833.3,550.7,643.3,662.0,683.6,480.0,148.5,173.8,182.0,591.8,791.9,723.9,714.5,666.0,658.2,669.7,443.8,514.1,776.9,878.0,207.7,448.9,725.0,137.8,8.7,365.6,656.1,661.0,528.0,532.2,789.3,75.4,709.0,479.2,206.7,707.6,749.7,819.4,369.6,407.2,729.8,836.5,199.3,122.5,62.1,572.9,814.4,378.7,227.0,339.4,809.5,702.3,240.9,238.4,320.6,760.9,163.7,780.9,214.8,82.9,742.9,741.4,682.3,56.4,586.1,814.3,473.5,728.9,482.6,136.8,264.2,341.4,256.7,387.1,464.6,357.7
BK,819.7,87.2,196.9,797.6,412.2,616.4,282.8,820.9,709.7,305.1,187.7,0.0,177.3,155.3,304.1,197.3,796.0,626.9,325.5,751.4,838.6,364.1,331.7,207.3,696.6,778.1,680.3,754.5,996.8,801.4,351.7,324.2,705.7,844.0,200.1,451.4,200.3,46.0,629.7,684.0,641.5,150.3,771.1,59.6,791.9,371.3,190.9,185.6,600.7,244.0,899.0,635.2,594.3,234.1,710.8,307.5,611.3,393.8,626.4,204.7,314.2,168.2,346.9,278.3,619.0,674.6,731.6,225.5,344.9,380.0,788.3,167.6,368.3,585.0,729.0,774.8,397.2,646.7,665.4,687.0,326.5,151.9,361.6,80.3,595.2,795.3,727.3,624.1,669.4,661.6,673.1,290.3,429.7,780.3,881.4,211.1,295.4,728.4,325.6,196.4,553.4,659.5,664.4,374.5,378.7,750.8,263.2,712.4,325.7,394.5,711.0,709.2,822.8,557.4,253.7,733.2,839.9,230.1,310.3,249.9,419.4,775.9,225.2,414.8,527.2,812.9,705.7,428.7,87.7,238.8,764.3,351.5,638.2,216.0,270.7,746.3,744.8,685.7,244.2,589.5,723.9,320.0,732.3,329.1,324.6,180.2,308.4,444.5,233.6,380.2,204.2
BP,709.3,233.6,361.5,1019.0,604.3,837.8,500.7,1042.3,931.1,497.2,379.8,180.6,0.0,319.9,168.8,361.9,908.6,848.3,517.6,730.4,865.0,228.8,523.8,371.9,628.5,642.8,644.8,867.1,1218.2,666.1,543.8,188.9,818.3,956.6,64.8,643.5,364.9,210.6,494.4,905.4,734.1,296.7,695.9,178.0,644.7,563.4,355.5,350.2,644.1,66.6,925.4,856.6,815.7,98.8,932.2,486.0,832.7,585.9,847.8,369.3,178.9,314.6,316.4,143.0,708.2,896.0,953.0,417.6,209.6,572.1,900.9,9.6,560.4,806.4,950.4,639.5,261.9,678.7,886.8,908.4,166.0,316.5,553.7,244.9,816.6,684.9,839.9,488.8,890.8,883.0,894.5,155.0,348.7,892.9,808.5,494.9,135.2,712.0,517.7,388.5,745.5,880.9,885.8,239.2,243.4,615.5,455.3,667.8,148.3,586.6,932.4,573.9,770.2,749.5,118.4,716.8,729.5,394.7,502.4,442.0,284.1,640.6,89.9,606.9,719.3,1034.3,818.3,620.8,252.3,403.4,686.2,543.6,502.9,380.6,462.8,967.7,857.4,907.1,436.3,810.9,588.6,184.7,953.7,168.0,516.7,344.8,511.6,636.6,56.2,339.8,26.8
BW,722.7,230.1,187.3,700.6,331.6,519.4,236.9,723.9,612.7,224.5,107.1,216.6,320.2,0.0,447.0,100.3,699.0,529.9,244.9,654.4,741.6,507.0,251.1,51.9,599.6,723.0,583.3,657.5,899.8,746.3,271.1,467.1,608.7,747.0,343.0,370.8,138.4,121.3,696.8,587.0,544.5,293.2,674.1,202.5,694.9,290.7,93.9,88.6,503.7,386.9,802.0,538.2,497.3,377.0,613.8,222.2,514.3,313.2,529.4,192.9,457.1,311.1,489.8,421.2,522.0,577.6,634.6,144.9,487.8,299.4,691.3,310.5,287.7,488.0,632.0,739.7,536.5,549.7,568.4,590.0,469.4,54.9,281.0,88.4,498.2,698.3,630.3,691.2,572.4,564.6,576.1,433.2,572.6,683.3,784.4,114.1,438.3,631.4,245.0,115.8,472.8,562.5,567.4,517.4,518.0,695.7,182.6,617.4,468.6,313.9,614.0,656.1,725.8,476.8,396.6,636.2,742.9,105.7,229.7,169.3,562.3,720.8,368.1,334.2,446.6,715.9,608.7,348.1,185.5,227.0,667.3,270.9,687.3,121.2,190.1,649.3,647.8,588.7,163.6,492.5,769.1,437.0,635.3,472.0,244.0,170.6,247.8,363.9,376.5,523.1,347.1
BZ,748.6,371.5,499.4,1058.3,742.2,877.1,467.0,1081.6,970.4,635.1,517.7,318.5,190.7,457.8,0.0,499.8,947.9,887.6,655.5,769.7,904.3,59.6,661.7,509.8,667.8,682.1,684.1,906.4,1257.5,705.4,681.7,228.2,857.6,995.9,115.6,781.4,502.8,348.5,533.7,944.7,773.4,434.6,735.2,315.9,684.0,701.3,529.2,488.1,683.4,200.3,964.7,895.9,855.0,81.6,971.5,452.3,872.0,723.8,887.1,555.1,27.7,452.5,355.7,36.9,747.5,935.3,992.3,555.5,248.9,710.0,940.2,190.2,698.3,845.7,989.7,678.8,119.3,718.0,926.1,947.7,22.3,528.3,691.6,382.8,855.9,724.2,879.2,528.1,930.1,922.3,933.8,24.7,388.0,932.2,847.8,461.2,98.4,751.3,655.6,526.4,883.4,920.2,925.1,70.0,132.6,654.8,593.2,707.1,43.7,724.5,971.7,613.2,809.5,887.4,62.0,756.1,768.8,566.6,640.3,579.9,323.4,679.9,90.5,744.8,857.2,1073.6,857.6,758.7,390.2,535.5,725.5,681.5,542.2,582.1,600.7,1007.0,896.7,946.4,574.2,850.2,627.9,151.0,993.0,132.1,654.6,482.7,477.9,774.5,143.2,379.1,163.8
CG,622.3,233.7,190.9,600.2,427.1,419.0,172.9,623.5,512.3,320.0,202.6,182.5,323.8,95.4,450.6,0.0,598.6,429.5,340.4,554.0,641.2,510.6,346.6,147.4,499.2,624.1,482.9,557.1,799.4,645.9,366.6,452.5,508.3,651.6,346.6,466.3,116.4,124.9,596.4,486.6,444.1,296.8,573.7,206.1,594.5,386.2,46.3,11.7,403.3,390.5,701.6,437.8,396.9,380.6,513.4,158.2,413.9,408.7,429.0,170.9,460.7,314.7,493.4,424.8,421.6,477.2,534.2,240.4,473.2,394.9,590.9,314.1,383.2,387.6,531.6,639.3,472.5,449.3,468.0,489.6,473.0,45.4,376.5,92.0,397.8,597.9,529.9,590.8,472.0,464.2,475.7,436.8,576.2,580.8,684.0,50.1,441.9,531.0,340.5,211.3,568.3,462.1,465.6,465.2,454.0,595.3,278.1,515.0,472.2,409.4,513.6,555.7,625.4,572.3,400.2,535.8,642.5,83.7,325.2,264.8,547.7,620.4,371.7,429.7,542.1,615.5,508.3,443.6,189.1,205.0,566.9,364.7,586.9,99.2,285.6,544.0,547.4,488.3,259.1,392.1,666.7,373.0,534.9,475.6,339.5,174.2,183.8,459.4,380.1,526.7,350.7
CI,364.4,724.9,682.1,481.1,918.3,239.1,664.1,504.4,393.2,811.2,693.8,673.7,815.0,586.6,941.8,491.1,0.0,197.2,831.6,296.1,383.3,933.4,837.8,638.6,241.3,364.7,225.0,114.2,680.3,388.0,857.8,694.8,74.9,215.4,837.8,957.5,607.6,616.1,375.9,367.5,168.2,788.0,315.8,697.3,336.6,877.4,537.5,502.9,418.2,881.7,443.7,318.7,277.8,871.8,303.6,649.4,294.8,899.9,309.9,662.1,951.9,805.9,669.4,916.0,163.7,358.1,415.1,731.6,673.6,886.1,200.4,805.3,874.4,268.5,345.8,381.4,852.6,191.4,258.2,303.8,964.2,536.6,867.7,583.2,278.7,340.0,139.4,381.4,352.9,345.1,356.6,928.0,701.7,107.0,426.1,541.3,933.1,273.1,831.7,702.5,1059.5,343.0,347.9,845.3,834.1,337.4,769.3,257.1,963.4,900.6,394.5,297.8,367.5,1063.5,891.4,277.9,384.6,574.9,816.4,756.0,815.6,362.5,862.9,920.9,1033.3,496.4,117.8,934.8,680.3,696.2,309.0,857.6,536.0,590.4,776.8,429.8,156.9,302.5,750.3,273.0,410.8,775.4,325.1,966.8,830.7,665.4,675.0,950.6,871.3,692.8,841.9
CN,298.6,605.8,563.0,362.0,799.2,41.8,545.0,385.3,274.1,692.1,574.7,554.6,695.9,467.5,822.7,372.0,211.3,0.0,712.5,230.3,317.5,882.7,718.7,519.5,175.5,298.9,159.2,169.8,561.2,322.2,738.7,629.0,121.0,226.7,718.7,838.4,488.5,497.0,310.1,248.4,120.4,668.9,250.0,578.2,270.8,758.3,418.4,383.8,299.1,762.6,377.9,199.6,158.7,752.7,106.3,530.3,175.7,780.8,190.8,543.0,832.8,686.8,603.6,796.9,97.9,239.0,296.0,612.5,607.8,767.0,171.0,686.2,755.3,149.4,148.5,315.6,786.8,125.6,60.9,106.5,845.1,417.5,748.6,464.1,159.6,274.2,57.8,315.6,233.8,226.0,237.5,808.9,635.9,195.6,360.3,422.2,814.0,207.3,712.6,583.4,940.4,223.9,228.8,779.5,768.3,271.6,650.2,193.3,844.3,781.5,275.4,232.0,301.7,944.4,772.3,212.1,318.8,455.8,697.3,636.9,749.8,296.7,743.8,801.8,914.2,377.3,88.4,815.7,561.2,577.1,243.2,738.5,470.2,471.3,657.7,310.7,127.5,105.2,631.2,153.9,345.0,745.1,127.8,847.7,711.6,546.3,555.9,831.5,752.2,627.0,722.8
CV,969.0,393.4,433.6,946.9,157.5,765.7,483.2,970.2,859.0,173.1,152.6,306.1,483.5,246.2,610.3,346.6,945.3,776.2,0.0,900.7,987.9,670.3,73.9,302.1,845.9,969.3,829.6,903.8,1146.1,992.6,219.7,630.4,855.0,993.3,506.3,319.4,384.7,349.4,872.8,833.3,790.8,456.5,920.4,425.9,941.2,239.3,340.2,334.9,750.0,550.2,1048.3,784.5,743.6,540.3,860.1,468.5,760.6,261.8,775.7,439.2,620.4,474.4,584.0,584.5,768.3,823.9,880.9,167.7,651.1,248.0,937.6,473.8,236.3,734.3,878.3,986.0,703.4,796.0,814.7,836.3,632.7,301.2,229.6,334.7,744.5,944.6,876.6,867.2,818.7,810.9,822.4,596.5,666.8,929.6,1030.7,360.4,601.6,877.7,193.6,144.4,421.4,808.8,813.7,680.7,684.9,942.0,160.3,861.7,631.9,139.8,860.3,902.4,972.1,425.4,559.9,882.5,989.2,352.0,178.3,82.0,725.6,967.1,531.4,160.1,395.2,962.2,855.0,296.7,391.1,473.3,913.6,219.5,933.6,367.5,138.7,895.6,894.1,835.0,179.1,738.8,967.0,626.2,881.6,635.3,192.6,416.9,494.1,312.5,539.8,617.3,510.4
CZ,129.3,705.5,662.7,461.7,898.9,280.5,644.7,485.0,373.8,791.8,674.4,654.3,795.6,567.2,789.0,471.7,341.3,291.0,812.2,0.0,223.7,809.3,818.4,619.2,139.5,240.6,116.6,299.8,660.9,263.9,838.4,570.7,251.0,389.3,702.2,938.1,588.2,596.7,251.8,348.1,166.8,768.6,207.4,677.9,212.5,858.0,518.1,483.5,398.8,862.3,284.1,299.3,258.4,736.2,374.9,630.0,275.4,880.5,290.5,642.7,816.3,786.5,545.3,780.4,140.9,338.7,395.7,712.2,549.5,866.7,333.6,785.9,855.0,249.1,393.1,257.3,728.5,111.4,329.5,351.1,811.4,517.2,848.3,563.8,259.3,104.9,272.6,257.3,333.5,325.7,337.2,792.4,577.6,325.6,129.9,521.9,797.5,48.6,812.3,683.1,1040.1,323.6,328.5,721.2,710.0,213.3,749.9,148.7,832.8,881.2,375.1,173.7,71.3,1044.1,755.8,53.4,149.5,555.5,797.0,736.6,691.5,238.4,727.3,901.5,1013.9,477.0,251.0,915.4,660.9,676.8,54.1,838.2,411.9,571.0,757.4,410.4,290.1,349.8,730.9,253.6,286.7,651.3,396.4,831.2,811.3,646.0,655.6,931.2,787.8,568.7,822.5
DF,293.4,778.6,735.8,534.8,972.0,353.6,717.8,558.1,446.9,864.9,747.5,727.4,868.7,640.3,918.4,544.8,414.4,364.1,885.3,205.3,0.0,938.7,891.5,692.3,246.6,370.0,230.3,372.9,734.0,393.3,911.5,700.1,324.1,462.4,891.5,1011.2,661.3,669.8,381.2,421.2,239.9,841.7,321.1,751.0,341.9,931.1,591.2,556.6,471.9,935.4,157.6,372.4,331.5,925.5,448.0,703.1,348.5,953.6,363.6,715.8,1005.6,859.6,674.7,969.7,214.0,411.8,468.8,785.3,678.9,939.8,406.7,859.0,928.1,322.2,466.2,386.7,857.9,225.1,402.6,424.2,940.8,590.3,921.4,636.9,332.4,269.0,345.7,386.7,406.6,398.8,410.3,981.7,707.0,398.7,281.7,595.0,986.8,156.6,885.4,756.2,1113.2,396.7,401.6,850.6,839.4,342.7,823.0,264.4,1017.1,954.3,448.2,303.1,223.1,1117.2,945.1,151.8,313.6,628.6,870.1,809.7,820.9,367.8,916.6,974.6,1087.0,550.1,324.1,988.5,734.0,749.9,218.2,911.3,541.3,644.1,830.5,483.5,363.2,422.9,804.0,326.7,416.1,780.7,469.5,1020.5,884.4,719.1,728.7,1004.3,925.0,698.1,895.6
